0	Index      	 *	Score 	Summary	Detail	
1	24423 15561	 * 	307.35	DCR|DCR|2VULN|1TLV|1MLV	1MBVNT|28VULN|3MLV|4RAT|5LIT|6TLV|7TBNT|9aRCR
20	24463 74354	   	287.89	DCR|DCR|2MLV|1VULN|1DMG	1MBVNT|2VULN|35MLV|45BASICY|5BPWR|6aRCR|7TBNT|8DMG|9LIT
21	51613 36111	 * 	287.29	DCR|4VULN|2TLV|2ASPD|1AAC	1BELT|278aVULN|3RPLT|48ASPD|58TLV|6AAC|8BPWR|9RCR
22	11433 32351	   	286.11	DCR|DCR|1TLV|1MLV|1DMG|1AAC	1BBNT|2RAT|3FEWX|4DMG|5LIT|6AAC|7TLV|8MLV|9aRCR
23	24238 73382	   	284.57	DCR|DCR|2VULN|1MLV|1ASPD	1MBVNT|25VULN|3FRZARM|4MLV|69RCR|7LHND|8CGEN|aASPD
24	24238 38382	   	284.47	DCR|DCR|2VULN|1MLV|1ASPD	1MBVNT|25VULN|3FRZARM|4MLV|6LEGI|79RCR|8CGEN|aASPD
25	24233 73382	   	284.28	DCR|DCR|2MLV|1VULN|1ASPD	1MBVNT|2VULN|35FRZARM|45MLV|5BPWR|69RCR|7LHND|8CGEN|aASPD
26	24233 78382	   	284.28	DCR|DCR|2MLV|1VULN|1ASPD	1MBVNT|2VULN|35FRZARM|45MLV|5BPWR|69RCR|7LWND|8CGEN|aASPD
27	24481 31671	 * 	284.24	DCR|2VULN|2MLV|2DMG|1TLV	1MBVNT|27VULN|37MLV|4DUR|5BEXP|67DMG|7BPWR|8TLV|9LWND|aRCR
28	24485 31121	   	284.24	DCR|2VULN|2MLV|2DMG|1TLV	1MBVNT|27VULN|37MLV|4DUR|5FEWX|67DMG|7BPWR|8LEGI|9TLV|aRCR
29	24233 38382	   	284.18	DCR|DCR|2MLV|1VULN|1ASPD	1MBVNT|2VULN|35FRZARM|45MLV|5BPWR|6LEGI|79RCR|8CGEN|aASPD
30	24233 75382	   	284.18	DCR|DCR|2MLV|1VULN|1ASPD	1MBVNT|2VULN|35FRZARM|45MLV|5BPWR|69RCR|7DUST|8CGEN|aASPD
31	24481 31121	   	284.14	DCR|2VULN|2MLV|2DMG|1TLV	1MBVNT|27VULN|37MLV|4DUR|5BEXP|67DMG|7BPWR|8LEGI|9TLV|aRCR
32	24463 73382	   	284.08	DCR|DCR|2MLV|1VULN|1ASPD	1MBVNT|2VULN|35MLV|45BASICY|5BPWR|69RCR|7LHND|8CGEN|aASPD
33	24463 38382	   	283.98	DCR|DCR|2MLV|1VULN|1ASPD	1MBVNT|2VULN|35MLV|45BASICY|5BPWR|6LEGI|79RCR|8CGEN|aASPD
34	24234 68384	   	283.57	DCR|DCR|2VULN|1MLV	1MBVNT|26VULN|3FRZARM|4MLV|5DUR|79RCR|8RMIN|aRAT
35	24431 81661	   	283.01	DCR|3VULN|2MLV|2TLV	1MBVNT|279VULN|37MLV|49CGEN|5DUR|67BEXP|79BPWR|89TLV|aRCR
36	24263 73831	   	281.64	DCR|3VULN|2MLV|2TLV	1MBVNT|24aVULN|3FRZARM|5aTLV|6RCR|7LHND|8RAT|9aMLV|aBPWR
37	24423 15161	   	281.15	DCR|DCR|1VULN|1TLV|1MLV	1MBVNT|2VULN|3MLV|4RAT|5LIT|6TLV|7TBNT|8RCVC|9aRCR
38	24451 22116	   	280.21	DCR|2VULN|2MLV|1TLV|1DMG|2RAT	1MBVNT|28VULN|38MLV|4DMG|5AART|6AEPOI|78RAT|8BPWR|9RCR|aTLV
39	24421 15111	   	279.76	DCR|2VULN|2MLV|2TLV|2RAT|1CDMG	1MBVNT|28VULN|36MLV|48RAT|58TLV|7BELT|8BPWR|9RCR|aCDMG
40	25541 15111	   	279.76	DCR|2VULN|2MLV|2TLV|2RAT|1CDMG	1MBVNT|28RAT|36MLV|48VULN|58TLV|7BELT|8BPWR|9RCR|aCDMG
41	24142 14835	 * 	279.23	ACR|DCR|3VULN|2MLV	1MBVNT|24aVULN|36ERES|59RCR|7aMLV|8aZMB|aBPWR
42	24263 73384	   	278.76	DCR|DCR|2VULN|1TLV	1MBVNT|24VULN|3FRZARM|5TLV|69RCR|7LHND|8CGEN|aRAT
43	24743 13661	   	278.76	DCR|DCR|2VULN|1TLV	1MBVNT|27VULN|3RAT|4CGEN|5LIT|6TLV|8BBNT|9aRCR
44	24121 43661	   	278.66	DCR|DCR|2VULN|1TLV	1MBVNT|27VULN|3ERES|4RAT|5TLV|6LIT|8BBNT|9aRCR
45	24121 47561	   	278.66	DCR|DCR|2VULN|1TLV	1MBVNT|28VULN|3ERES|4RAT|5TLV|6LIT|7BBNT|9aRCR
46	24123 13661	   	278.66	DCR|DCR|2VULN|1TLV	1MBVNT|27VULN|3ERES|4RAT|5LIT|6TLV|8BBNT|9aRCR
47	24123 17561	   	278.66	DCR|DCR|2VULN|1TLV	1MBVNT|28VULN|3ERES|4RAT|5LIT|6TLV|7BBNT|9aRCR
48	24263 38384	   	278.66	DCR|DCR|2VULN|1TLV	1MBVNT|24VULN|3FRZARM|5TLV|6LEGI|79RCR|8CGEN|aRAT
49	24711 43661	   	278.66	DCR|DCR|2VULN|1TLV	1MBVNT|27VULN|3RAT|4ERES|5TLV|6LIT|8BBNT|9aRCR
50	24713 13661	   	278.66	DCR|DCR|2VULN|1TLV	1MBVNT|27VULN|3RAT|4ERES|5LIT|6TLV|8BBNT|9aRCR
