0	Index      	 *	Score 	Summary	Detail	
1	34115 12433	 * 	274.64	DCR|DCR|2VULN|1MSLTOX|1MLV|1AART	1MSLTOX|2RMIN|3LHND|4MLV|5RPLT|67VULN|8AART|9aRCR
18	15333 32532	   	252.05	DCR|DCR|1VULN|1DMG|1MLV|2ASPD	14ASPD|2RPLT|3VULN|5DMG|69RCR|7CGEN|8MLV|aCANTOX
19	15333 32533	   	252.05	DCR|DCR|1VULN|1DMG|1MLV|2ASPD	14ASPD|2RPLT|3VULN|5DMG|69RCR|7CGEN|8MLV|aERES
20	15333 32534	   	252.05	DCR|DCR|1VULN|1DMG|1MLV|2ASPD	14ASPD|2RPLT|3VULN|5DMG|69RCR|7CGEN|8MLV|aTBNT
21	23215 22522	   	251.40	DCR|DCR|2DMG|1MLV|1DUR|1AART	17DMG|2MLV|3AART|4VENTOX|5DUR|6ZMB|8RPLT|9aRCR
22	31135 51322	 * 	249.12	DCR|2VULN|2DMG|2TLV|2MSLTOX|1NUKE	1aMSLTOX|2NUKE|3LHND|4aDMG|5ZMB|69TLV|7RCR|8aVULN|aBPWR
23	31235 51322	   	249.12	DCR|2VULN|2DMG|2TLV|2MSLTOX|1NUKE	1aMSLTOX|2NUKE|3FEWX|4aDMG|5ZMB|69TLV|7RCR|8aVULN|aBPWR
24	34115 13433	   	248.44	DCR|DCR|1VULN|1MSLTOX|1MLV|1AART	1MSLTOX|2RMIN|3LHND|4MLV|5RPLT|6VULN|7RCVC|8AART|9aRCR
25	33335 61433	   	248.34	DCR|DCR|1VULN|1MSLTOX|1MLV|1AART	1MSLTOX|2MLV|3ERES|4BEXP|5RPLT|6DMSP|7VULN|8AART|9aRCR
26	33315 11433	   	248.24	DCR|DCR|1VULN|1MSLTOX|1MLV|1AART	1MSLTOX|2MLV|3ERES|4LWND|5RPLT|6AEFBLL|7VULN|8AART|9aRCR
27	33335 11433	   	248.24	DCR|DCR|1VULN|1MSLTOX|1MLV|1AART	1MSLTOX|2MLV|3ERES|4BEXP|5RPLT|6AEFBLL|7VULN|8AART|9aRCR
28	33363 21433	   	248.24	DCR|DCR|1VULN|1MSLTOX|1MLV|1AART	1MSLTOX|2MLV|3ERES|4AEBURN|5RPLT|6LWND|7VULN|8AART|9aRCR
29	33363 36433	   	248.24	DCR|DCR|1VULN|1MSLTOX|1MLV|1AART	1MSLTOX|2MLV|3ERES|4AEBURN|5RPLT|6VULN|7LWND|8AART|9aRCR
30	33363 33433	   	248.14	DCR|DCR|1VULN|1MSLTOX|1MLV|1AART	1MSLTOX|2MLV|3ERES|4AEBURN|5RPLT|6VULN|7LEGI|8AART|9aRCR
31	56233 35323	 * 	248.05	DCR|DCR|3DUR|1TLV|1CDMG	1LHND|27AEWIND|348DUR|5CDMG|69RCR|aTLV
32	24221 62174	 * 	247.72	DCR|4VULN|1TLV|1DMG|1MSLTOX	1DMG|2RCVC|3679VULN|4MBVNT|5TLV|8MSLTOX|aRCR
33	46112 21521	 * 	247.33	DCR|DCR|2DMG|1VULN	14BEXP|2ASPD|3aDMG|5MGNBOS|68RCR|7VULN|9TBNT
34	23214 42522	 * 	246.27	DCR|DCR|2AART|1DMG|1MLV|1DUR	1DMG|2MLV|35AART|4VENTOX|6ZMB|7DUR|8RPLT|9aRCR
35	23321 81784	 * 	246.17	DCR|DCR|1TLV|1DMG|1MLV|1AART	1DMG|2MLV|3ZMB|4MBVNT|5TLV|6AART|7aRCR|8RMIN|9BBNT
36	24221 61174	 * 	246.14	DCR|3VULN|2DMG|1TLV|1MSLTOX	17DMG|2RCVC|369VULN|4MBVNT|5TLV|8MSLTOX|aRCR
37	23321 86264	   	246.07	DCR|DCR|1TLV|1DMG|1MLV|1AART	1DMG|2MLV|3ZMB|4MBVNT|5TLV|6AART|7TBNT|8aRCR|9MDPS
38	23426 61341	   	245.36	DCR|2VULN|2MLV|1FLTARM|1DMG|1DUR|1CDMG	1DMG|25MLV|3DUR|4FLTARM|6MBVNT|7RCR|8aVULN|9CDMG
39	23126 61332	 * 	244.95	DCR|2VULN|2DMG|3MLV|1FLTARM	1aDMG|25aMLV|39BEXP|4FLTARM|6MBVNT|7RCR|8aVULN|aBPWR
40	23126 61382	   	244.95	DCR|2VULN|2DMG|3MLV|1FLTARM	1aDMG|25aMLV|3BEXP|4FLTARM|6MBVNT|7RCR|8aVULN|9RCVC|aBPWR
41	23126 61145	 * 	244.71	DCR|DCR|2MLV|1FLTARM|1DMG	1DMG|25MLV|3BEXP|4FLTARM|6MBVNT|7aRCR|8AEBURN|9AEFBLL
