0	Index      	 *	Score 	Summary	Detail	
1	24141 33512	 * 	283.68	DCR|DCR|2VULN|3DUR|1DMG|1ZMB	13VULN|234DUR|3BPWR|5LWND|69RCR|7TBNT|8ZMB|aDMG
22	24141 33511	   	263.52	DCR|DCR|2VULN|3DUR|1ZMB	13VULN|234DUR|3BPWR|5LWND|69RCR|7TBNT|8ZMB|aAME
23	23111 65243	   	260.87	DCR|DCR|1VULN|1DMG|1CDMG|1AART	1VULN|2DMSP|3AART|4DMG|5ERES|69RCR|7CGEN|8MDPS|aCDMG
24	23114 62243	   	260.87	DCR|DCR|1VULN|1DMG|1CDMG|1AART	1VULN|2DMSP|3AART|4DMG|5RMIN|69RCR|7ERES|8MDPS|aCDMG
25	23412 62243	   	260.87	DCR|DCR|1VULN|1DMG|1CDMG|1AART	1VULN|2DMSP|3CGEN|4DMG|5AART|69RCR|7ERES|8MDPS|aCDMG
26	34212 33345	 * 	258.86	DCR|DCR|2DMG|1ASPD|1CDMG	1FRZARM|29DMG|3RCVC|4CGEN|5DUR|6CDMG|7aRCR|8ASPD
27	14113 31341	   	258.44	DCR|DCR|1VULN|1MLV|1ASPD|1AART	1FEWX|2AART|3ASPD|4MLV|5LHND|69RCR|7VULN|8AME|aRCVC
28	14113 31342	   	258.44	DCR|DCR|1VULN|1MLV|1ASPD|1AART	1FEWX|2AART|3ASPD|4MLV|5LHND|69RCR|7VULN|8AME|aBEXP
29	14113 31344	   	258.44	DCR|DCR|1VULN|1MLV|1ASPD|1AART	1FEWX|2AART|3ASPD|4MLV|5LHND|69RCR|7VULN|8AME|aCGEN
30	14113 31346	   	258.44	DCR|DCR|1VULN|1MLV|1ASPD|1AART	1FEWX|2AART|3ASPD|4MLV|5LHND|69RCR|7VULN|8AME|aAAC
31	14143 31341	   	258.44	DCR|DCR|1VULN|1MLV|1ASPD|1AART	1FEWX|2AART|3ASPD|4ERES|5LHND|69RCR|7VULN|8MLV|aRCVC
32	14143 31342	   	258.44	DCR|DCR|1VULN|1MLV|1ASPD|1AART	1FEWX|2AART|3ASPD|4ERES|5LHND|69RCR|7VULN|8MLV|aBEXP
33	14113 31345	   	258.34	DCR|DCR|1VULN|1MLV|1ASPD|1AART|1MSE	1FEWX|2AART|3ASPD|4MLV|5LHND|69RCR|7VULN|8AME|aMSE
34	61421 14121	   	258.27	ACR|DCR|2VULN|1DMG|1ASPD|1RPLT	1ASPD|27VULN|39RCR|4TSLFST|5RPLT|6RCVC|8DMG|aLHND
35	61421 14122	   	258.27	ACR|DCR|2VULN|1DMG|1ASPD|1RPLT	1ASPD|27VULN|39RCR|4TSLFST|5RPLT|6RCVC|8DMG|aFLTHEA
36	61421 14123	   	258.27	ACR|DCR|2VULN|1DMG|1ASPD|1RPLT	1ASPD|27VULN|39RCR|4TSLFST|5RPLT|6RCVC|8DMG|aFEWX
37	61411 21333	   	255.74	ACR|DCR|2VULN|1MLV|1ASPD|1RPLT	1ASPD|2aVULN|37RCR|4MDPS|5LWND|6AAC|8RPLT|9MLV
38	61416 21333	   	255.74	ACR|DCR|2VULN|1MLV|1ASPD|1RPLT	1ASPD|2aVULN|37RCR|4MDPS|5BEXP|6AAC|8RPLT|9MLV
39	15333 36324	 * 	255.14	DCR|DCR|3ASPD|1VULN	15FEWX|2BBNT|3VULN|4MDPS|6aRCR|789ASPD
40	63163 31243	   	254.45	DCR|DCR|1VULN|1ASPD|1CDMG|1AART	1ASPD|2ERES|3AART|4DUST|5LHND|69RCR|7VULN|8CGEN|aCDMG
