0	Index      	 *	Score 	Summary	Detail	
1	52541 43484	 * 	286.12	DCR|DCR|2VULN|1DMG|1MLV	1MLV|2RMIN|3MBVNT|4CGEN|57VULN|6BEXP|8aRCR|9DMG
14	62132 32137	   	271.64	DCR|DCR|2VULN|1CDMG|1RPLT	1aVULN|2NUKE|3CDMG|4RPLT|5AME|6BEXP|78RCR|9MBVNT
15	12135 52137	   	269.50	DCR|DCR|1VULN|1MLV|1CDMG|1RPLT	1DUR|2NUKE|3CDMG|4RPLT|5LHND|6MLV|78RCR|9MBVNT|aVULN
16	24541 33434	   	268.59	DCR|DCR|2VULN|1DMG	12FEWX|3MBVNT|4CGEN|57VULN|6BEXP|8aRCR|9DMG
17	24584 33434	   	268.59	DCR|DCR|2VULN|1DMG	12FEWX|3MBVNT|47VULN|5CGEN|6BEXP|8aRCR|9DMG
18	66514 33434	   	268.59	DCR|DCR|2VULN|1DMG	17VULN|2RCVC|3MBVNT|4LWND|5CGEN|6BEXP|8aRCR|9DMG
19	62321 11124	 * 	266.87	DCR|3VULN|3DMG|2CDMG|1RPLT	158VULN|2NUKE|358DMG|4RPLT|58BPWR|68CDMG|7RMIN|9BELT|aRCR
20	62132 32162	   	265.62	DCR|DCR|1VULN|1ASPD|1CDMG|1RPLT	1VULN|2NUKE|3CDMG|4RPLT|5AME|6BEXP|78RCR|9DUR|aASPD
21	42584 32132	   	263.58	DCR|DCR|1VULN|1DMG|1CDMG|1RPLT|1ZMB	1ZMB|2RMIN|3MBVNT|4VULN|5DMG|6BEXP|78RCR|9RPLT|aCDMG
22	42521 42133	   	261.93	DCR|DCR|2VULN|1CDMG|1ZMB	1ZMB|2RMIN|3MBVNT|4AAC|5aVULN|6LWND|78RCR|9CDMG
23	12132 32164	   	261.73	DCR|DCR|1VULN|1CDMG|1AART|1RPLT	1DUR|2NUKE|3CDMG|4RPLT|5TLV|6BEXP|78RCR|9AART|aVULN
24	12135 12164	   	261.73	DCR|DCR|1VULN|1CDMG|1AART|1RPLT	1DUR|2NUKE|3CDMG|4RPLT|5LHND|6RMIN|78RCR|9AART|aVULN
25	62121 35316	 * 	261.60	DCR|4VULN|2DMG|2CDMG	159aVULN|2NUKE|35CDMG|4MDPS|5aBPWR|6aFEWX|7aDMG|8RCR
26	22135 52137	   	261.19	DCR|DCR|1VULN|1MLV|1CDMG|1RPLT	1FEWX|2NUKE|3CDMG|4RPLT|5LHND|6MLV|78RCR|9MBVNT|aVULN
27	62135 12125	   	261.19	DCR|DCR|1VULN|1MLV|1CDMG|1RPLT	1VULN|2NUKE|3CDMG|4RPLT|5LHND|6RMIN|78RCR|9VENTOX|aMLV
28	62135 52111	   	261.19	DCR|DCR|1VULN|1MLV|1CDMG|1RPLT	1VULN|2NUKE|3CDMG|4RPLT|5LHND|6MLV|78RCR|9ERES|aLWND
29	62135 52112	   	261.19	DCR|DCR|1VULN|1MLV|1CDMG|1RPLT	1VULN|2NUKE|3CDMG|4RPLT|5LHND|6MLV|78RCR|9ERES|aAAC
30	62135 52121	   	261.19	DCR|DCR|1VULN|1MLV|1CDMG|1RPLT	1VULN|2NUKE|3CDMG|4RPLT|5LHND|6MLV|78RCR|9SPLARM|aTBNT
31	62135 52122	   	261.19	DCR|DCR|1VULN|1MLV|1CDMG|1RPLT	1VULN|2NUKE|3CDMG|4RPLT|5LHND|6MLV|78RCR|9SPLARM|aAAC
32	62135 52123	   	261.19	DCR|DCR|1VULN|1MLV|1CDMG|1RPLT	1VULN|2NUKE|3CDMG|4RPLT|5LHND|6MLV|78RCR|9SPLARM|aBBNT
33	62135 52131	   	261.19	DCR|DCR|1VULN|1MLV|1CDMG|1RPLT	1VULN|2NUKE|3CDMG|4RPLT|5LHND|6MLV|78RCR|9MBVNT|aBEXP
34	62135 52132	   	261.19	DCR|DCR|1VULN|1MLV|1CDMG|1RPLT	1VULN|2NUKE|3CDMG|4RPLT|5LHND|6MLV|78RCR|9MBVNT|aCGEN
35	62135 52133	   	261.19	DCR|DCR|1VULN|1MLV|1CDMG|1RPLT	1VULN|2NUKE|3CDMG|4RPLT|5LHND|6MLV|78RCR|9MBVNT|aBELT
36	62135 52113	   	261.09	DCR|DCR|1VULN|1MLV|1CDMG|1RPLT|1MSE	1VULN|2NUKE|3CDMG|4RPLT|5LHND|6MLV|78RCR|9ERES|aMSE
37	62135 52134	   	261.09	DCR|DCR|1VULN|1MLV|1CDMG|1RPLT	1VULN|2NUKE|3CDMG|4RPLT|5LHND|6MLV|78RCR|9MBVNT|aDUST
38	14212 35631	   	260.48	DCR|DCR|1VULN|3DUR|1DMG	149DUR|24FEWX|3DMSP|4BPWR|5AME|68RCR|7DMG|aVULN
39	16212 35631	   	260.48	DCR|DCR|1VULN|3DUR|1DMG	149DUR|2RCVC|34LWND|4BPWR|5AME|68RCR|7DMG|aVULN
40	14232 35631	   	260.38	DCR|DCR|1VULN|3DUR|1DMG	149DUR|2FEWX|3DMSP|5AME|68RCR|7DMG|aVULN
41	16232 35631	   	260.38	DCR|DCR|1VULN|3DUR|1DMG	149DUR|2RCVC|3LWND|5AME|68RCR|7DMG|aVULN
42	11242 35631	   	260.28	DCR|DCR|1VULN|3DUR|1DMG	139DUR|2ERES|4RMIN|5AME|68RCR|7DMG|aVULN
43	12334 16242	   	260.28	DCR|DCR|1VULN|3DUR|1DMG	147DUR|2NUKE|3DMG|5LIT|6MDPS|8VULN|9aRCR
44	62321 16422	   	260.25	DCR|3VULN|3DMG|1CDMG|1RPLT	159VULN|2NUKE|359DMG|4RPLT|59BPWR|6CDMG|7AELOIC|89FRZFST|aRCR
45	11232 35631	   	260.18	DCR|DCR|1VULN|3DUR|1DMG	139DUR|25ERES|4DUST|68RCR|7DMG|aVULN
46	42534 32138	   	258.24	DCR|DCR|1VULN|1DMG|1RPLT|1ZMB	1ZMB|2RMIN|3MBVNT|4DUR|5DMG|6BEXP|78RCR|9RPLT|aVULN
47	42534 42138	   	258.24	DCR|DCR|1VULN|1DMG|1RPLT|1ZMB	1ZMB|2RMIN|3MBVNT|4DUR|5DMG|6LWND|78RCR|9RPLT|aVULN
48	42584 42132	   	258.24	DCR|DCR|1VULN|1DMG|1RPLT|1ZMB	1ZMB|2RMIN|3MBVNT|4VULN|5DMG|6LWND|78RCR|9RPLT|aDUR
49	32121 11225	   	257.95	DCR|DCR|1VULN|1DMG|1MLV	1BLASTR|2MDPS|3LIT|46AAC|5VULN|7aRCR|8DMG|9MLV
50	16551 33444	   	256.59	DCR|DCR|2VULN|1ZMB	1DUR|2RCVC|3MBVNT|4CGEN|57VULN|6BEXP|8aRCR|9ZMB
51	16584 33444	   	256.59	DCR|DCR|2VULN|1ZMB	1DUR|2RCVC|3MBVNT|47VULN|5CGEN|6BEXP|8aRCR|9ZMB
52	66544 33444	   	256.59	DCR|DCR|2VULN|1ZMB	17VULN|2RCVC|3MBVNT|4DUR|5CGEN|6BEXP|8aRCR|9ZMB
