0	Index      	 *	Score 	Summary	Detail	
1	11161 42233	 * 	276.66	DCR|DCR|3DMG|3ASPD	15aDMG|2RMIN|35aASPD|4AAC|5aBPWR|6TBNT|78RCR|9BBNT
20	33463 22222	   	258.77	DCR|DCR|1VULN|1CDMG|1AART|1RPLT	1ERES|2CDMG|3BEXP|4AART|5VULN|6aRCR|7MDPS|8DUR|9RPLT
21	52463 22222	   	258.77	DCR|DCR|1VULN|1CDMG|1AART|1RPLT	1CDMG|2ERES|3BEXP|4AART|5VULN|6aRCR|7MDPS|8DUR|9RPLT
22	63122 51162	   	258.01	DCR|DCR|1DMG|2CDMG|1MLV|2DUR	1MLV|25CDMG|3DMSP|45DUR|5BPWR|6MGNSTR|78RCR|9DMG|aTLV
23	63122 51161	   	257.91	DCR|DCR|1DMG|2CDMG|1MLV|2DUR	1MLV|25CDMG|3DMSP|45DUR|5BPWR|6MGNSTR|78RCR|9DMG|aMULARM
24	63122 51163	   	257.91	DCR|DCR|1DMG|2CDMG|1MLV|2DUR	1MLV|25CDMG|3DMSP|45DUR|5BPWR|6MGNSTR|78RCR|9DMG|aDUST
25	11161 42225	   	257.76	DCR|DCR|2DMG|2ASPD	15DMG|2RMIN|35ASPD|4AAC|5BPWR|6TBNT|78RCR|9LHND|aDUR
26	11161 42231	   	257.76	DCR|DCR|2DMG|2ASPD	15DMG|2RMIN|35ASPD|4AAC|5BPWR|6TBNT|78RCR|9BBNT|aDUR
27	11161 42243	   	257.76	DCR|DCR|2DMG|2ASPD	15DMG|2RMIN|35ASPD|4AAC|5BPWR|6TBNT|78RCR|9RCVC|aDUR
28	11161 42215	   	257.66	DCR|DCR|2DMG|2ASPD	15DMG|2RMIN|35ASPD|4AAC|5BPWR|6TBNT|78RCR|9DUST|aDUR
29	25322 42632	   	257.35	DCR|DCR|2VULN|1CDMG	1CGEN|2MDPS|36VULN|4MULARM|5CDMG|7LHND|8aRCR|9FEWX
30	51213 66222	   	257.35	DCR|DCR|2VULN|1CDMG	1CDMG|2AELOIC|3LWND|4MSLTOX|5RMIN|68VULN|7aRCR|9TBNT
31	63122 51142	   	257.27	DCR|DCR|2CDMG|1MLV|2DUR|1AART|1RPLT	1MLV|25CDMG|3DMSP|45DUR|5BPWR|6MGNSTR|78RCR|9AART|aRPLT
32	51313 66222	   	257.25	DCR|DCR|2VULN|1CDMG	1CDMG|2AELOIC|3DUST|4MSLTOX|5RMIN|68VULN|7aRCR|9TBNT
33	25322 42622	   	257.25	DCR|DCR|2VULN|1CDMG	1CGEN|2MDPS|36VULN|4MULARM|5CDMG|7LHND|8aRCR|9DUST
34	53224 23612	   	256.98	DCR|DCR|1VULN|1MLV|1CDMG	1CDMG|2DUST|3BEXP|4MLV|5FEWX|6VULN|7SNITOX|8aRCR|9DUR
35	65332 33612	   	256.98	DCR|DCR|1VULN|1MLV|1CDMG	1MLV|2MDPS|3VULN|4BEXP|5DUR|6CDMG|7SNITOX|8aRCR|9FEWX
36	65332 33622	   	256.98	DCR|DCR|1VULN|1MLV|1CDMG	1MLV|2MDPS|3VULN|4BEXP|5DUR|6CDMG|7SNITOX|8aRCR|9LWND
37	12441 11216	   	256.44	DCR|DCR|3DMG|1MLV	123DMG|23BPWR|46LIT|5DMSP|79RCR|8BELT|aMLV
38	64336 12221	 * 	256.15	DCR|DCR|2DMG|2MLV|1ZMB	15MLV|2BBNT|3aDMG|4ZMB|6AAC|78RCR|9LHND
39	64363 12221	 * 	256.15	DCR|DCR|2DMG|2MLV|1ZMB	14MLV|2BBNT|3aDMG|5AAC|6ZMB|78RCR|9LHND
40	64336 12211	 * 	256.05	DCR|DCR|2DMG|2MLV|1ZMB	15MLV|2BBNT|3aDMG|4ZMB|6AAC|78RCR|9DUST
41	64363 12211	 * 	256.05	DCR|DCR|2DMG|2MLV|1ZMB	14MLV|2BBNT|3aDMG|5AAC|6ZMB|78RCR|9DUST
42	14635 22221	   	256.05	DCR|DCR|3DMG|1MLV|2ZMB	15aDMG|2BBNT|3AAC|45ZMB|5BPWR|6MLV|78RCR|9LHND
43	64335 12221	   	256.05	DCR|DCR|3DMG|1MLV|2ZMB	1MLV|2BBNT|35aDMG|45ZMB|5BPWR|6AAC|78RCR|9LHND
44	14635 22211	   	255.95	DCR|DCR|3DMG|1MLV|2ZMB	15aDMG|2BBNT|3AAC|45ZMB|5BPWR|6MLV|78RCR|9DUST
45	64335 12211	   	255.95	DCR|DCR|3DMG|1MLV|2ZMB	1MLV|2BBNT|35aDMG|45ZMB|5BPWR|6AAC|78RCR|9DUST
46	12163 44641	 * 	255.91	DCR|2VULN|3DMG|3MLV|1SELL	12aDMG|2aBPWR|3MBVNT|47aMLV|5SELL|6BBNT|8aVULN|9RCR
47	12163 45441	 * 	255.91	DCR|2VULN|3DMG|3MLV|1SELL	12aDMG|2aBPWR|3MBVNT|48aMLV|5SELL|6BBNT|7aVULN|9RCR
48	11623 62248	   	255.44	DCR|DCR|2DMG|1VULN	1aDMG|2RMIN|3MBVNT|4aLWND|5LHND|6VULN|78RCR|9aFEWX|aBPWR
49	11623 62218	   	255.24	DCR|DCR|2DMG|1VULN	1aDMG|2RMIN|3MBVNT|4aLWND|5LHND|6VULN|78RCR|9aDUST|aBPWR
50	11623 62241	   	255.24	DCR|DCR|2DMG|1VULN	1aDMG|2RMIN|3MBVNT|4LWND|5LHND|6VULN|78RCR|9FEWX
51	11623 62281	   	255.24	DCR|DCR|2DMG|1VULN	1aDMG|2RMIN|3MBVNT|4LWND|5LHND|6VULN|78RCR|9BEXP
52	11623 62227	   	255.19	DCR|DCR|1VULN|1DMG|1MLV	1DMG|2RMIN|3MBVNT|4LWND|59LHND|6VULN|78RCR|aMLV
53	11623 62211	   	255.14	DCR|DCR|2DMG|1VULN	1aDMG|2RMIN|3MBVNT|4LWND|5LHND|6VULN|78RCR|9DUST
54	11531 45434	   	254.89	DCR|DCR|1VULN|1DMG|2AART	1DMG|2RMIN|3BLASTR|4VULN|5MBVNT|69AART|7SPLJET|8aRCR
55	63362 43323	 * 	254.41	DCR|DCR|2MLV|3CDMG|1AART	1aMLV|245CDMG|39AAC|68RCR|7AART|aBPWR
56	63362 43312	   	254.31	DCR|DCR|2MLV|3CDMG|1AART	1aMLV|245CDMG|3AAC|68RCR|7AART|9DLOT
57	23362 43326	 * 	253.36	DCR|DCR|1VULN|3CDMG|1AART	1CGEN|245CDMG|39AAC|68RCR|7AART|aVULN
58	23362 43336	   	253.36	DCR|DCR|1VULN|3CDMG|1AART	1CGEN|245CDMG|3AAC|68RCR|7AART|9LWND|aVULN
59	23362 43361	   	253.36	DCR|DCR|1VULN|3CDMG|1AART	1CGEN|245CDMG|3AAC|68RCR|7AART|9VULN|aTLV
60	23362 43363	   	253.36	DCR|DCR|1VULN|3CDMG|1AART	1CGEN|245CDMG|3AAC|68RCR|7AART|9VULN|aLWND
61	33362 43361	   	253.26	DCR|DCR|1VULN|3CDMG|1AART	1ERES|245CDMG|3AAC|68RCR|7AART|9VULN|aTLV
62	33362 43363	   	253.26	DCR|DCR|1VULN|3CDMG|1AART	1ERES|245CDMG|3AAC|68RCR|7AART|9VULN|aLWND
63	23362 43353	   	253.26	DCR|DCR|1VULN|3CDMG|1AART	1CGEN|245CDMG|3AAC|68RCR|7AART|9DUST|aVULN
64	23362 43362	   	253.26	DCR|DCR|1VULN|3CDMG|1AART	1CGEN|245CDMG|3AAC|68RCR|7AART|9VULN|aDUST
65	33362 43353	   	253.16	DCR|DCR|1VULN|3CDMG|1AART	1ERES|245CDMG|3AAC|68RCR|7AART|9DUST|aVULN
66	33362 43362	   	253.16	DCR|DCR|1VULN|3CDMG|1AART	1ERES|245CDMG|3AAC|68RCR|7AART|9VULN|aDUST
67	12315 42221	   	252.56	DCR|DCR|3DMG|1ASPD	12aDMG|2BPWR|3CGEN|4AAC|5ASPD|6TBNT|78RCR|9LHND
68	12315 42261	   	252.56	DCR|DCR|3DMG|1ASPD	12aDMG|2BPWR|3CGEN|4AAC|5ASPD|6TBNT|78RCR|9FEWX
69	12515 42221	   	252.56	DCR|DCR|3DMG|1ASPD	12aDMG|2BPWR|3TLV|4AAC|5ASPD|6TBNT|78RCR|9LHND
70	12315 42211	   	252.46	DCR|DCR|3DMG|1ASPD	12aDMG|2BPWR|3CGEN|4AAC|5ASPD|6TBNT|78RCR|9DUST
71	12515 42211	   	252.46	DCR|DCR|3DMG|1ASPD	12aDMG|2BPWR|3TLV|4AAC|5ASPD|6TBNT|78RCR|9DUST
72	12412 48533	   	252.26	DCR|DCR|3DMG|1CDMG	123DMG|23BPWR|4DMSP|5MBVNT|6SPLREG|7CDMG|8aRCR|9DUST
73	63122 51114	   	251.60	DCR|DCR|2CDMG|1MLV|2DUR|1ASPD	1MLV|25CDMG|3DMSP|45DUR|5BPWR|6MGNSTR|78RCR|9AAC|aASPD
74	63122 51134	   	251.36	DCR|DCR|2CDMG|1MLV|2DUR|1ASPD|1ZMB	1MLV|25CDMG|3DMSP|45DUR|5BPWR|6MGNSTR|78RCR|9ZMB|aASPD
75	11623 62272	   	251.21	DCR|DCR|1VULN|1DMG|1ASPD	1DMG|2RMIN|3MBVNT|4LWND|5LHND|6VULN|78RCR|9AIRHEA|aASPD
76	25122 51334	   	251.11	DCR|DCR|1VULN|1DMG|1ASPD	1CGEN|2MDPS|3ASPD|4VULN|5DUST|6FEWX|7aRCR|8FRZFST|9DMG
77	35132 51334	   	251.01	DCR|DCR|1VULN|1DMG|1ASPD	1ERES|2MDPS|3ASPD|4VULN|5DUST|6FEWX|7aRCR|8FRZFST|9DMG
78	66311 21162	 * 	250.49	DCR|DCR|2MLV|1VULN|1SELL	16MLV|2ERES|3SELL|4LSRICY|5TLV|78RCR|9VULN|aBEXP
79	33462 22622	   	250.47	DCR|DCR|1VULN|1CDMG|1AART|1RPLT	1ERES|2CDMG|3BEXP|4AART|5LWND|6aRCR|7MDPS|8VULN|9RPLT
80	53323 22622	   	250.47	DCR|DCR|1VULN|1CDMG|1AART|1RPLT	1CDMG|2DUST|3AART|4LWND|5CGEN|6aRCR|7MDPS|8VULN|9RPLT
81	66313 21162	 * 	250.39	DCR|DCR|2MLV|1VULN|1SELL	16MLV|2ERES|3SELL|4LSRICY|5AME|78RCR|9VULN|aBEXP
82	66311 21161	 * 	250.39	DCR|DCR|2MLV|1VULN|1SELL	16MLV|2ERES|3SELL|4LSRICY|5TLV|78RCR|9VULN|aSPLJET
83	66311 21163	 * 	250.39	DCR|DCR|2MLV|1VULN|1SELL|1ZMB	16MLV|2ERES|3SELL|4LSRICY|5TLV|78RCR|9VULN|aZMB
84	11365 42221	   	250.31	DCR|DCR|2DMG|1ASPD|1CDMG|1SELL	1aDMG|2RMIN|3SELL|4CDMG|5ASPD|6TBNT|78RCR|9LHND
85	66313 21161	 * 	250.29	DCR|DCR|2MLV|1VULN|1SELL	16MLV|2ERES|3SELL|4LSRICY|5AME|78RCR|9VULN|aSPLJET
86	66313 21163	 * 	250.29	DCR|DCR|2MLV|1VULN|1SELL|1ZMB	16MLV|2ERES|3SELL|4LSRICY|5AME|78RCR|9VULN|aZMB
87	11365 42211	   	250.21	DCR|DCR|2DMG|1ASPD|1CDMG|1SELL	1aDMG|2RMIN|3SELL|4CDMG|5ASPD|6TBNT|78RCR|9DUST
88	63222 52152	 * 	249.71	DCR|2VULN|2MLV|3CDMG|1DMG|2DUR	13MLV|235CDMG|35BPWR|45DUR|6aVULN|7RCR|8ERES|9DMG
89	53561 21311	 * 	249.65	ACR|DCR|2DMG|1VULN|1CDMG|1RPLT	1CDMG|2DUST|35DMG|48RCR|6BELT|7AAC|9RPLT|aVULN
90	12146 28315	   	249.59	DCR|2VULN|3DMG|1MLV|1CDMG|1RPLT	129DMG|2BPWR|3MBVNT|4CDMG|5aVULN|6RPLT|7RCR|8MLV
91	13322 51114	 * 	249.55	DCR|4VULN|2DMG|2DUR	1aDMG|2aDUR|3LWND|4BELT|5BEXP|678aVULN|9RCR|aBPWR
92	11161 42224	   	249.45	DCR|DCR|2DMG|2ASPD	15DMG|2RMIN|35ASPD|4AAC|5BPWR|6TBNT|78RCR|9LHND|aLIT
93	11161 42226	   	249.45	DCR|DCR|2DMG|2ASPD	15DMG|2RMIN|35ASPD|4AAC|5BPWR|6TBNT|78RCR|9LHND|aBEXP
94	11161 42232	   	249.45	DCR|DCR|2DMG|2ASPD	15DMG|2RMIN|35ASPD|4AAC|5BPWR|6TBNT|78RCR|9BBNT|aLWND
95	11161 42241	   	249.45	DCR|DCR|2DMG|2ASPD	15DMG|2RMIN|35ASPD|4AAC|5BPWR|6TBNT|78RCR|9RCVC|aBELT
96	11161 42242	   	249.45	DCR|DCR|2DMG|2ASPD	15DMG|2RMIN|35ASPD|4AAC|5BPWR|6TBNT|78RCR|9RCVC|aLWND
97	53561 22311	   	249.41	ACR|DCR|2DMG|1VULN|1CDMG|1RPLT|1ZMB	1CDMG|2DUST|35DMG|48RCR|6BELT|7ZMB|9RPLT|aVULN
98	11163 42233	   	249.35	DCR|DCR|2DMG|2ASPD	1aDMG|2RMIN|3aASPD|4AAC|5aAELOIC|6TBNT|78RCR|9BBNT|aBPWR
99	11161 42214	   	249.35	DCR|DCR|2DMG|2ASPD	15DMG|2RMIN|35ASPD|4AAC|5BPWR|6TBNT|78RCR|9DUST|aLIT
100	11161 42216	   	249.35	DCR|DCR|2DMG|2ASPD	15DMG|2RMIN|35ASPD|4AAC|5BPWR|6TBNT|78RCR|9DUST|aBEXP
101	11161 42222	   	249.35	DCR|DCR|2DMG|2ASPD	15DMG|2RMIN|35ASPD|4AAC|5BPWR|6TBNT|78RCR|9LHND|aAME
102	11161 42223	   	249.35	DCR|DCR|2DMG|2ASPD	15DMG|2RMIN|35ASPD|4AAC|5BPWR|6TBNT|78RCR|9LHND|aBLAICY
103	11161 42235	   	249.35	DCR|DCR|2DMG|2ASPD	15DMG|2RMIN|35ASPD|4AAC|5BPWR|6TBNT|78RCR|9BBNT|aAME
104	11161 42236	   	249.35	DCR|DCR|2DMG|2ASPD	15DMG|2RMIN|35ASPD|4AAC|5BPWR|6TBNT|78RCR|9BBNT|aMSLTOX
105	11161 42252	   	249.35	DCR|DCR|2DMG|2ASPD	15DMG|2RMIN|35ASPD|4AAC|5BPWR|6TBNT|78RCR|9LWND|aAME
106	11161 42253	   	249.35	DCR|DCR|2DMG|2ASPD	15DMG|2RMIN|35ASPD|4AAC|5BPWR|6TBNT|78RCR|9LWND|aBLAICY
107	11161 42262	   	249.35	DCR|DCR|2DMG|2ASPD	15DMG|2RMIN|35ASPD|4AAC|5BPWR|6TBNT|78RCR|9FEWX|aAME
108	11161 42263	   	249.35	DCR|DCR|2DMG|2ASPD	15DMG|2RMIN|35ASPD|4AAC|5BPWR|6TBNT|78RCR|9FEWX|aBLAICY
109	12315 42235	   	249.35	DCR|DCR|2DMG|2ASPD	12DMG|2BPWR|3CGEN|4AAC|5aASPD|6TBNT|78RCR|9TLV
110	11161 42212	   	249.25	DCR|DCR|2DMG|2ASPD	15DMG|2RMIN|35ASPD|4AAC|5BPWR|6TBNT|78RCR|9DUST|aAME
111	11161 42213	   	249.25	DCR|DCR|2DMG|2ASPD	15DMG|2RMIN|35ASPD|4AAC|5BPWR|6TBNT|78RCR|9DUST|aBLAICY
112	13131 46622	   	249.09	DCR|2VULN|2DMG|1MLV|2DUR|1CDMG|1RPLT	19DMG|29DUR|3RPLT|4DMSP|5LWND|6MLV|79VULN|8RCR|9BPWR|aCDMG
113	11131 42221	   	248.97	DCR|DCR|2DMG|2ASPD|2ZMB	1aDMG|2RMIN|35ASPD|45ZMB|5BPWR|6TBNT|78RCR|9LHND
114	11131 42251	   	248.97	DCR|DCR|2DMG|2ASPD|2ZMB	1aDMG|2RMIN|35ASPD|45ZMB|5BPWR|6TBNT|78RCR|9LWND
115	11131 42261	   	248.97	DCR|DCR|2DMG|2ASPD|2ZMB	1aDMG|2RMIN|35ASPD|45ZMB|5BPWR|6TBNT|78RCR|9FEWX
116	11131 42246	   	248.91	DCR|DCR|2ASPD|1DMG|1MLV|2ZMB	1DMG|2RMIN|35ASPD|45ZMB|5BPWR|6TBNT|78RCR|9RCVC|aMLV
117	11131 42211	   	248.87	DCR|DCR|2DMG|2ASPD|2ZMB	1aDMG|2RMIN|35ASPD|45ZMB|5BPWR|6TBNT|78RCR|9DUST
118	14635 22231	   	248.70	DCR|DCR|2DMG|1MLV|2ZMB	15DMG|2BBNT|3AAC|45ZMB|5BPWR|6MLV|78RCR|9TBNT|aDUR
119	64335 12231	   	248.70	DCR|DCR|2DMG|1MLV|2ZMB	1MLV|2BBNT|35DMG|45ZMB|5BPWR|6AAC|78RCR|9TBNT|aDUR
120	53561 21321	   	248.30	ACR|DCR|2DMG|1VULN|1CDMG	1CDMG|2DUST|35DMG|48RCR|6BELT|7AAC|9VULN|aDUR
121	53561 22321	   	248.05	ACR|DCR|2DMG|1VULN|1CDMG|1ZMB	1CDMG|2DUST|35DMG|48RCR|6BELT|7ZMB|9VULN|aDUR
122	61332 51141	 * 	248.02	DCR|DCR|2MLV|1DMG|1AART|1SELL	15MLV|2RMIN|3SELL|45AME|5BPWR|6TSLARM|78RCR|9AART|aDMG
123	63122 51143	   	247.61	DCR|DCR|2CDMG|1MLV|2DUR|1AART	1MLV|25CDMG|3DMSP|45DUR|5BPWR|6MGNSTR|78RCR|9AART|aCGEN
124	12146 28324	   	247.59	DCR|2VULN|2DMG|1MLV|1ASPD|1CDMG|1RPLT	12DMG|2BPWR|3MBVNT|4CDMG|5aVULN|6RPLT|7RCR|8MLV|9ASPD
125	11623 62231	   	247.32	DCR|DCR|1VULN|1DMG|1RPLT	1DMG|2RMIN|3MBVNT|4LWND|5LHND|6VULN|78RCR|9LIT|aRPLT
126	11623 62274	   	247.22	DCR|DCR|1VULN|1DMG|1AART	1DMG|2RMIN|3MBVNT|4LWND|5LHND|6VULN|78RCR|9AIRHEA|aAART
127	64336 12231	 * 	246.87	DCR|DCR|2MLV|1DMG|1ZMB	15MLV|2BBNT|3DMG|4ZMB|6AAC|78RCR|9TBNT|aDUR
128	64363 12231	 * 	246.87	DCR|DCR|2MLV|1DMG|1ZMB	14MLV|2BBNT|3DMG|5AAC|6ZMB|78RCR|9TBNT|aDUR
