0	Index      	 *	Score 	Summary	Detail	
1	24342 12231	 * 	267.73	DCR|4VULN|2ASPD|1DMG|2DUR|1RPLT	17DUR|2DMG|37ASPD|4TBNT|5789VULN|6RPLT|7BPWR|aRCR
18	24342 16231	 * 	246.95	DCR|3VULN|2DMG|1ASPD|1RPLT	1DUR|27DMG|3ASPD|4TBNT|589VULN|6RPLT|aRCR
19	13113 51323	   	244.89	DCR|DCR|1VULN|1MLV|1AART	1FEWX|2RMIN|3MLV|4FRZICY|5VULN|6CGEN|7AART|8LIT|9aRCR
20	13115 11323	   	244.89	DCR|DCR|1VULN|1MLV|1AART	1FEWX|2RMIN|3MLV|4FRZICY|5CGEN|6VULN|7AART|8LIT|9aRCR
21	33113 16323	   	244.79	DCR|DCR|1VULN|1MLV|1AART	1LHND|2TLV|3MLV|4VENFST|5VULN|6AART|7CGEN|8LIT|9aRCR
22	33113 55323	   	244.79	DCR|DCR|1VULN|1MLV|1AART	1LHND|2TLV|3MLV|4VENFST|5VULN|6CGEN|7AART|8LIT|9aRCR
23	33115 15323	   	244.79	DCR|DCR|1VULN|1MLV|1AART	1LHND|2TLV|3MLV|4VENFST|5CGEN|6VULN|7AART|8LIT|9aRCR
24	12113 51323	   	244.69	DCR|DCR|1VULN|1MLV|1AART	1FEWX|2ERES|3MLV|4VENFST|5VULN|6CGEN|7AART|8LIT|9aRCR
25	12115 11323	   	244.69	DCR|DCR|1VULN|1MLV|1AART	1FEWX|2ERES|3MLV|4VENFST|5CGEN|6VULN|7AART|8LIT|9aRCR
26	62123 51323	   	244.69	DCR|DCR|1VULN|1MLV|1AART	1BASHEA|2MLV|3RMIN|4DUST|5VULN|6CGEN|7AART|8LIT|9aRCR
27	62125 11323	   	244.69	DCR|DCR|1VULN|1MLV|1AART	1BASHEA|2MLV|3RMIN|4DUST|5CGEN|6VULN|7AART|8LIT|9aRCR
28	24154 11321	   	244.25	DCR|2VULN|3DMG|1MLV|1AART	1DUR|24aDMG|3MLV|5LEGI|6AART|7RCR|89VULN
29	42233 23142	   	242.38	DCR|DCR|1DMG|1ASPD|1CDMG|1RPLT|1ZMB	1TBNT|2ZMB|3CDMG|4BELT|5LIT|6RPLT|7DMG|8aRCR|9ASPD
30	61316 32423	   	242.01	DCR|DCR|1VULN|2DUR|1AART	1BASHEA|2TLV|38DUR|4LIT|5VULN|6DUST|7AART|9aRCR
31	24153 22533	 * 	241.39	DCR|2VULN|2DMG|2MLV|2DUR	1aDUR|24DMG|3aMLV|5BBNT|6RCR|7LIT|8LHND|9aVULN|aBPWR
32	24153 22133	   	241.34	DCR|2VULN|3DMG|1MLV|2DUR	1aDUR|24aDMG|3MLV|5BBNT|6RCR|7LIT|8MBVNT|9aVULN|aBPWR
33	24146 22133	   	241.29	DCR|2VULN|2DMG|2MLV|2DUR	1aDUR|2aDMG|35MLV|4TBNT|6RCR|7LIT|8MBVNT|9aVULN|aBPWR
34	24153 22333	   	241.29	DCR|2VULN|2DMG|2MLV|2DUR	1aDUR|24DMG|3aMLV|5BBNT|6RCR|7LIT|8DUST|9aVULN|aBPWR
35	23411 61114	   	241.10	DCR|DCR|1MLV|2DUR|1CDMG|1AART	15DUR|2RMIN|3MBVNT|4AART|6AME|7aRCR|8CDMG|9MLV
36	23465 11114	   	241.10	DCR|DCR|1MLV|2DUR|1CDMG|1AART	15DUR|2RMIN|3MBVNT|4AME|6AART|7aRCR|8CDMG|9MLV
37	13312 43266	   	241.07	DCR|DCR|1DMG|1ASPD|1CDMG	1FEWX|2RMIN|3ASPD|4CANTOX|5CDMG|6DMG|7DUR|8MDPS|9aRCR
38	24312 13266	   	241.07	DCR|DCR|1DMG|1ASPD|1CDMG	1DUR|2DMG|3ASPD|4CANTOX|5CDMG|6LWND|7RMIN|8MDPS|9aRCR
39	23312 42266	   	241.07	DCR|DCR|1DMG|1ASPD|1CDMG	1DUR|2RMIN|3ASPD|4CANTOX|5CDMG|6DMG|7BEXP|8MDPS|9aRCR
40	41234 32632	 * 	240.65	DCR|3VULN|3DMG|1RPLT	1TBNT|2MDPS|39AME|469VULN|569DMG|69BPWR|7RPLT|8RCR|aLIT
41	41234 32633	   	240.65	DCR|3VULN|3DMG|1RPLT	1TBNT|2MDPS|39AME|469VULN|569DMG|69BPWR|7RPLT|8RCR|aFLTARM
42	41234 32631	   	240.55	DCR|3VULN|3DMG|1RPLT|1SELL	1TBNT|2MDPS|39AME|469VULN|569DMG|69BPWR|7RPLT|8RCR|aSELL
43	34342 11231	   	240.22	DCR|4VULN|1DMG|1ASPD|1RPLT	1LHND|2DMG|3ASPD|4TBNT|5789VULN|6RPLT|aRCR
44	14114 21326	   	238.81	DCR|DCR|2MLV|1DMG	1FEWX|2DMG|36MLV|4FRZICY|5RMIN|7aRCR|8LWND|9BELT
45	24146 22333	 * 	237.77	DCR|2VULN|3MLV|1DMG|2DUR	1aDUR|2DMG|35aMLV|4TBNT|6RCR|7LIT|8DUST|9aVULN|aBPWR
