0	Index      	 *	Score 	Summary	Detail	
1	13452 84428	 * 	282.29	DCR|3VULN|3DMG|3ASPD|1CDMG	19aVULN|2MBVNT|39aDMG|4CDMG|5DUST|69aASPD|7RCR|8LEGI|9aBPWR
29	12335 13338	 * 	261.32	DCR|DCR|1VULN|2ASPD|1AART|1ZMB	1VULN|2LEGI|3AART|4aASPD|5ZMB|6MBVNT|79RCR|8DUR
30	13782 42812	   	259.79	DCR|3VULN|3DMG|2DUR|1ASPD	18aVULN|2MBVNT|378FEWX|4ASPD|5aDUR|68aDMG|8aBPWR|9RCR
31	13278 44426	   	259.61	DCR|DCR|1VULN|1DMG|1CDMG	1VULN|2MBVNT|3LWND|4DUR|5CDMG|6DMG|7aRCR|8FRZARM|9BEXP
32	13384 46482	   	259.61	DCR|DCR|1VULN|1DMG|1CDMG	1VULN|2MBVNT|3DMSP|4AAC|5BEXP|6DMG|79RCR|8DUR|aCDMG
33	13278 43126	   	259.51	DCR|DCR|1VULN|1DMG|1CDMG	1VULN|2MBVNT|3LWND|4DUR|5CDMG|6DMG|7FEWX|8aRCR|9SPLREG
34	13353 46482	   	259.37	DCR|DCR|1VULN|1DMG|1CDMG|1ZMB	1VULN|2MBVNT|3DMSP|4BEXP|5ZMB|6DMG|79RCR|8DUR|aCDMG
35	12335 13333	   	258.53	DCR|DCR|1VULN|1ASPD|1AART|1RPLT|1ZMB	1VULN|2LEGI|3AART|4ASPD|5ZMB|6MBVNT|79RCR|8DUR|aRPLT
36	13431 36268	 * 	258.24	DCR|3VULN|2DMG|2MLV|1RPLT	169VULN|2MBVNT|39DMG|4LIT|5LWND|7RCR|89MLV|9BPWR|aRPLT
37	13324 66126	 * 	257.62	DCR|DCR|1VULN|1DMG|2CDMG	1VULN|2MBVNT|3DMSP|46CDMG|5TBNT|7DMG|8aRCR|9LSRICY
38	26532 13621	   	257.55	DCR|DCR|2VULN|1ASPD	13LIT|2RMIN|4ASPD|5AAC|6aVULN|78RCR|9CGEN
39	31532 13621	   	257.55	DCR|DCR|2VULN|1ASPD	1RMIN|23LIT|4ASPD|5AAC|6aVULN|78RCR|9CGEN
40	31532 13641	   	257.45	DCR|DCR|2VULN|1ASPD	1RMIN|23LIT|4ASPD|5AAC|6aVULN|78RCR|9ERES
41	31532 13661	   	257.45	DCR|DCR|2VULN|1ASPD	1RMIN|23LIT|4ASPD|5AAC|6aVULN|78RCR|9AME
42	13264 62126	   	257.42	DCR|DCR|1VULN|1DMG|2CDMG	1VULN|2MBVNT|3LWND|4MDPS|56CDMG|7DMG|8aRCR|9SPLREG
43	31534 13621	   	257.30	DCR|DCR|2VULN|1ASPD|1ZMB	1RMIN|23LIT|4ASPD|5ZMB|6aVULN|78RCR|9CGEN
44	36323 31151	   	257.18	DCR|DCR|1VULN|1MLV|1CDMG	1RMIN|2CDMG|35BEXP|4BELT|68RCR|7MLV|9DUR|aVULN
45	36326 31151	   	257.08	DCR|DCR|1VULN|1MLV|1CDMG	1RMIN|2CDMG|3BEXP|4BELT|5AELOIC|68RCR|7MLV|9DUR|aVULN
46	13431 36262	   	256.88	DCR|3VULN|2DMG|2MLV	169VULN|2MBVNT|39DMG|4LIT|5LWND|7RCR|89MLV|9BPWR|aDUR
47	12355 13633	   	256.63	DCR|DCR|1VULN|1DMG|1AART|1RPLT|1ZMB	1VULN|2LEGI|3AART|4DMG|5ZMB|6MBVNT|79RCR|8LHND|aRPLT
48	12355 13733	   	256.63	DCR|DCR|1VULN|1DMG|1AART|1RPLT|1ZMB	1VULN|2LEGI|3AART|4DMG|5ZMB|6MBVNT|79RCR|8LWND|aRPLT
49	13431 46262	 * 	255.74	DCR|2VULN|3DMG|2MLV|1CDMG	19VULN|2MBVNT|369DMG|4LIT|5LWND|7RCR|89MLV|9BPWR|aCDMG
50	13272 52433	   	255.62	DCR|DCR|1VULN|1DMG|1RPLT	1VULN|2MBVNT|3LWND|4DUR|5CGEN|6RPLT|7DMG|8BEXP|9aRCR
51	13417 56433	   	255.62	DCR|DCR|1VULN|1DMG|1RPLT	1VULN|2MBVNT|3DMG|4DUR|5RPLT|6LWND|7RMIN|8BEXP|9aRCR
52	13232 52233	   	255.52	DCR|DCR|1VULN|1DMG|1RPLT	1VULN|2MBVNT|3LWND|4ERES|5BEXP|6RPLT|7DMG|8DUR|9aRCR
53	13237 52233	   	255.52	DCR|DCR|1VULN|1DMG|1RPLT	1VULN|2MBVNT|3LWND|4ERES|5LHND|6RPLT|7DMG|8DUR|9aRCR
54	13252 52233	   	255.52	DCR|DCR|1VULN|1DMG|1RPLT	1VULN|2MBVNT|3LWND|4DUST|5CGEN|6RPLT|7DMG|8DUR|9aRCR
55	13274 52433	   	255.52	DCR|DCR|1VULN|1DMG|1RPLT	1VULN|2MBVNT|3LWND|4DUR|5ERES|6RPLT|7DMG|8BEXP|9aRCR
56	13417 57433	   	255.52	DCR|DCR|1VULN|1DMG|1RPLT	1VULN|2MBVNT|3DMG|4DUR|5RPLT|6LWND|7AME|8BEXP|9aRCR
57	13233 52233	   	255.42	DCR|DCR|1VULN|1DMG|1RPLT	1VULN|2MBVNT|3LWND|4ERES|5DUST|6RPLT|7DMG|8DUR|9aRCR
58	13254 52233	   	255.42	DCR|DCR|1VULN|1DMG|1RPLT	1VULN|2MBVNT|3LWND|4DUST|5ERES|6RPLT|7DMG|8DUR|9aRCR
59	12355 13331	   	255.28	DCR|DCR|1VULN|1DMG|1AART|1ZMB	1VULN|2LEGI|3AART|4DMG|5ZMB|6MBVNT|79RCR|8DUR|aBEXP
60	12355 13332	   	255.28	DCR|DCR|1VULN|1DMG|1AART|1ZMB	1VULN|2LEGI|3AART|4DMG|5ZMB|6MBVNT|79RCR|8DUR|aRCVC
61	12355 13334	   	255.28	DCR|DCR|1VULN|1DMG|1AART|1ZMB	1VULN|2LEGI|3AART|4DMG|5ZMB|6MBVNT|79RCR|8DUR|aCGEN
62	12355 13335	   	255.28	DCR|DCR|1VULN|1DMG|1AART|1ZMB	1VULN|2LEGI|3AART|4DMG|5ZMB|6MBVNT|79RCR|8DUR|aLHND
63	12355 13336	   	255.28	DCR|DCR|1VULN|1DMG|1AART|1ZMB	1VULN|2LEGI|3AART|4DMG|5ZMB|6MBVNT|79RCR|8DUR|aBELT
64	12355 13337	   	255.18	DCR|DCR|1VULN|1DMG|1AART|1ZMB	1VULN|2LEGI|3AART|4DMG|5ZMB|6MBVNT|79RCR|8DUR|aDUST
65	13411 74773	   	254.80	DCR|2VULN|2DMG|2ASPD|1MLV|1RPLT	18VULN|2MBVNT|38DMG|4DUR|5ERES|68ASPD|7RPLT|8BPWR|9RCR|aMLV
66	13441 74773	   	254.80	DCR|2VULN|2DMG|2ASPD|1MLV|1RPLT	18VULN|2MBVNT|38DMG|4AME|5DUR|68ASPD|7RPLT|8BPWR|9RCR|aMLV
67	33125 31366	   	254.55	DCR|DCR|1VULN|1ASPD|1CDMG|1RPLT	1RMIN|2RCVC|3BEXP|4CDMG|5ASPD|69RCR|7RPLT|8DUST|aVULN
68	12526 13125	   	253.36	DCR|DCR|2VULN|1RPLT	17VULN|2LEGI|3AAC|47DUST|5RPLT|67LHND|7BPWR|8aRCR|9SPLREG
69	34431 33421	   	253.36	DCR|DCR|2VULN|1RPLT	1RMIN|2RPLT|3SNIFST|4aVULN|5BEXP|6LHND|79RCR|8MULARM
70	34221 12411	   	253.26	DCR|DCR|2VULN|1RPLT	1RMIN|2RPLT|3ERES|4aVULN|5VENICY|6AIRHEA|79RCR|8TBNT
71	32231 22466	 * 	253.21	DCR|DCR|1VULN|2ASPD|1RPLT|1SELL	1RMIN|24BEXP|34ASPD|4BPWR|5DUST|6RPLT|7SELL|89RCR|aVULN
72	14222 36482	   	253.10	DCR|DCR|1VULN|1ASPD|1CDMG	1VULN|2NUKE|3ASPD|4MBVNT|56BEXP|79RCR|8DUR|aCDMG
73	12213 43125	   	253.07	DCR|DCR|2VULN|1RPLT|2ZMB	17VULN|2LEGI|3LWND|47ZMB|57BEXP|6RPLT|7BPWR|8aRCR|9SPLREG
74	12616 13125	   	253.07	DCR|DCR|2VULN|1RPLT|2ZMB	17VULN|2LEGI|3FEWX|47ZMB|5RPLT|67LHND|7BPWR|8aRCR|9SPLREG
75	16216 13125	   	253.07	DCR|DCR|2VULN|1RPLT|2ZMB	17VULN|2FEWX|37LWND|47ZMB|5RPLT|6LEGI|7BPWR|8aRCR|9SPLREG
76	13211 85733	   	253.01	DCR|DCR|2VULN|1RPLT|1ZMB	17VULN|2MBVNT|3LWND|4ZMB|5ERES|6RPLT|8MDPS|9aRCR
77	12335 13738	 * 	253.01	DCR|DCR|1VULN|2ASPD|1AART|1ZMB	1VULN|2LEGI|3AART|4aASPD|5ZMB|6MBVNT|79RCR|8LWND
78	34513 32611	   	252.99	DCR|DCR|1VULN|1MLV|1RPLT	1RMIN|2RPLT|3BBNT|4MLV|5MSLREG|69RCR|7BASARM|8DUR|aVULN
79	15216 13125	   	252.97	DCR|DCR|2VULN|1RPLT|2ZMB	17VULN|2DUST|37LWND|47ZMB|5RPLT|6LEGI|7BPWR|8aRCR|9SPLREG
80	12216 23125	   	252.87	DCR|DCR|2VULN|1RPLT|2ZMB	17VULN|2LEGI|3LWND|47ZMB|5RPLT|67DUST|7BPWR|8aRCR|9SPLREG
