0	Index      	Bounty	 *	Score 	Summary	Detail	
1	13133 43552	10	 * 	282.05	DCR|3VULN|3DUR|2DMG|1TLV	12aDUR|3BELT|4TLV|5RCVC|69aVULN|7aDMG|8RCR|aBPWR
74	12135 31136	3	   	256.01	DCR|3DUR|1VULN|2DMG|1TLV|2LIT|1CDMG	178DUR|2BEXP|38DMG|4TLV|5CDMG|68LIT|8BPWR|9RCR|aVULN
75	12126 21314	4	   	255.75	DCR|3VULN|3DUR|2DMG	168DUR|2BEXP|35DMG|469VULN|6BPWR|7CGEN|aRCR
76	16126 21314	4	   	255.75	DCR|3VULN|3DUR|2DMG	168DUR|2LHND|35DMG|469VULN|6BPWR|7CGEN|aRCR
77	13363 62214	7	   	255.75	DCR|3VULN|3DUR|2DMG	127DUR|3DUST|479VULN|5RCVC|67DMG|7BPWR|8CGEN|aRCR
78	13363 62323	8	   	255.75	DCR|3VULN|3DUR|2DMG	127DUR|3DUST|479VULN|5RCVC|67DMG|7BPWR|8DMSP|aRCR
79	13314 31514	6	   	255.65	DCR|3VULN|3DUR|2DMG	126DUR|3DUST|4CGEN|56DMG|6BPWR|789VULN|aRCR
80	13363 62123	7	   	255.65	DCR|3VULN|3DUR|2DMG	127DUR|38DUST|479VULN|5RCVC|67DMG|7BPWR|aRCR
81	15162 52133	7	   	255.54	DCR|2VULN|3DMG|2DUR|1CDMG	18DUR|2RPLT|38VULN|4ASPD|5LWND|678DMG|8BPWR|9RCR|aCDMG
82	15163 52133	7	   	255.54	DCR|2VULN|3DMG|2DUR|1CDMG	18DUR|2RPLT|38VULN|4ASPD|5LHND|678DMG|8BPWR|9RCR|aCDMG
83	14115 51113	9	   	255.43	DCR|3VULN|2DUR|1TLV|2ASPD	15DUR|2LIT|3ERES|45ASPD|5BPWR|679VULN|8TLV|aRCR
84	14115 51123	8	   	255.43	DCR|3VULN|2DUR|1TLV|2ASPD	15DUR|2LIT|3ERES|45ASPD|5BPWR|679VULN|8TLV|aRCR
85	62223 31626	10	   	254.80	DCR|2VULN|3DMG|2TLV|1AART	1AART|26aDMG|3aERES|48VULN|5ASPD|7aTLV|9RCR|aBPWR
86	65123 32322	9	   	254.62	DCR|2VULN|2DMG|2TLV|3ASPD|1AART	1AART|27TLV|36DMG|47VULN|57aASPD|7BPWR|8MLV|9RCR
87	65123 32522	9	   	254.52	DCR|2VULN|2DMG|2TLV|3ASPD|1AART	1AART|27TLV|36DMG|47VULN|57aASPD|7BPWR|8ERES|9RCR
88	65123 43123	8	   	254.42	DCR|3VULN|1TLV|1DMG|1DUR|1AART	1AART|2TLV|3DMG|478VULN|5ASPD|6DUR|9RCVC|aRCR
89	65123 43123	9	   	254.42	DCR|3VULN|1TLV|1DMG|1DUR|1AART	1AART|2TLV|3DMG|478VULN|5ASPD|6DUR|9RCVC|aRCR
90	62523 34223	5	   	254.42	DCR|3VULN|1TLV|1DMG|1DUR|1AART	1AART|2DMG|3ZMB|479VULN|5ASPD|6TLV|8DUR|aRCR
91	65123 23223	8	   	254.42	DCR|3VULN|1TLV|1DMG|1DUR|1AART	1AART|2TLV|3DMG|479VULN|5ASPD|6CGEN|8DUR|aRCR
92	65123 23622	10	   	254.42	DCR|3VULN|1TLV|1DMG|1DUR|1AART	1AART|2TLV|3DMG|478VULN|5ASPD|6CGEN|9RCR|aDUR
93	65523 33223	8	   	254.42	DCR|3VULN|1TLV|1DMG|1DUR|1AART	1AART|2TLV|3ZMB|479VULN|5ASPD|6DMG|8DUR|aRCR
94	65523 33223	7	   	254.42	DCR|3VULN|1TLV|1DMG|1DUR|1AART	1AART|2TLV|3ZMB|479VULN|5ASPD|6DMG|8DUR|aRCR
95	15161 11152	7	   	254.39	DCR|4VULN|2DUR|1DMG	18DUR|2RPLT|3689VULN|4ASPD|5DMG|78FEWX|8BPWR|aRCR
96	15161 12152	7	   	254.39	DCR|4VULN|2DUR|1DMG	18DUR|2RPLT|3689VULN|4ASPD|5DMG|78BEXP|8BPWR|aRCR
97	13411 34431	5	   	254.38	DCR|2VULN|3DUR|1TLV|1DMG|2LIT|1SELL	127DUR|3SELL|4TLV|57VULN|67LIT|7BPWR|8DMG|9RCR|aFEWX
98	13413 34431	5	   	254.38	DCR|2VULN|3DUR|1TLV|1DMG|2LIT|1SELL	127DUR|3SELL|4TLV|57LIT|67VULN|7BPWR|8DMG|9RCR|aFEWX
99	13413 34431	6	   	254.38	DCR|2VULN|3DUR|1TLV|1DMG|2LIT|1SELL	127DUR|3SELL|4TLV|57LIT|67VULN|7BPWR|8DMG|9RCR|aFEWX
100	61126 13423	5	   	254.32	DCR|3VULN|1TLV|1DMG|1DUR|1NUKE|1AART	1AART|2ASPD|3NUKE|469VULN|5DUR|7DMG|8TLV|aRCR
101	62123 34223	5	   	254.32	DCR|3VULN|1TLV|1DMG|1DUR|1NUKE|1AART	1AART|2DMG|3NUKE|479VULN|5ASPD|6TLV|8DUR|aRCR
102	13411 34432	5	   	254.28	DCR|2VULN|3DUR|1TLV|1DMG|2LIT|1SELL	127DUR|3SELL|4TLV|57VULN|67LIT|7BPWR|8DMG|9RCR|aDUST
103	13413 34432	5	   	254.28	DCR|2VULN|3DUR|1TLV|1DMG|2LIT|1SELL	127DUR|3SELL|4TLV|57LIT|67VULN|7BPWR|8DMG|9RCR|aDUST
104	13413 34432	6	   	254.28	DCR|2VULN|3DUR|1TLV|1DMG|2LIT|1SELL	127DUR|3SELL|4TLV|57LIT|67VULN|7BPWR|8DMG|9RCR|aDUST
105	14532 21512	5	   	254.19	DCR|4VULN|2DUR|1DMG	16DUR|2LIT|3CGEN|4MBVNT|569aVULN|6BPWR|7DMG|8RCR
106	14132 21512	5	   	254.09	DCR|4VULN|2DUR|1DMG	16DUR|2LIT|3ERES|4MBVNT|569aVULN|6BPWR|7DMG|8RCR
107	14132 71512	6	   	254.09	DCR|4VULN|2DUR|1DMG	16DUR|2LIT|3ERES|4MBVNT|569aVULN|6BPWR|7DMG|8RCR
108	14135 21512	4	   	254.09	DCR|4VULN|2DUR|1DMG	16DUR|2LIT|3ERES|4MBVNT|569aVULN|6BPWR|7DMG|8RCR
109	11521 23264	5	   	254.05	DCR|4VULN|2DUR|1DMG|1SELL	16DUR|2ASPD|3BEXP|4567VULN|6BPWR|8DMG|9SELL|aRCR
110	11521 23264	4	   	254.05	DCR|4VULN|2DUR|1DMG|1SELL	16DUR|2ASPD|3BEXP|4567VULN|6BPWR|8DMG|9SELL|aRCR
111	12121 23264	4	   	254.05	DCR|4VULN|2DUR|1DMG|1SELL	16DUR|2BEXP|3DMG|4567VULN|6BPWR|8ASPD|9SELL|aRCR
112	12121 23264	5	   	254.05	DCR|4VULN|2DUR|1DMG|1SELL	16DUR|2BEXP|3DMG|4567VULN|6BPWR|8ASPD|9SELL|aRCR
113	12151 52322	8	   	254.04	DCR|3VULN|2DMG|1TLV|1DUR	1DUR|2BEXP|35DMG|4RPLT|689VULN|7TLV|aRCR
114	15611 12322	8	   	254.04	DCR|3VULN|2DMG|1TLV|1DUR	1DUR|2RPLT|3LHND|4TLV|57DMG|689VULN|aRCR
115	16151 52322	8	   	254.04	DCR|3VULN|2DMG|1TLV|1DUR	1DUR|2LHND|35DMG|4RPLT|689VULN|7TLV|aRCR
116	23151 52322	8	   	254.04	DCR|3VULN|2DMG|1TLV|1DUR	1FEWX|2DUR|35DMG|4RPLT|689VULN|7TLV|aRCR
117	25211 12322	8	   	254.04	DCR|3VULN|2DMG|1TLV|1DUR	1FEWX|2RPLT|3DUR|4TLV|57DMG|689VULN|aRCR
118	53151 52322	8	   	254.04	DCR|3VULN|2DMG|1TLV|1DUR	1LHND|2DUR|35DMG|4RPLT|689VULN|7TLV|aRCR
119	55211 12322	8	   	254.04	DCR|3VULN|2DMG|1TLV|1DUR	1LHND|2RPLT|3DUR|4TLV|57DMG|689VULN|aRCR
120	14441 45114	2	   	254.01	DCR|3VULN|2TLV|2DUR|2LIT	17DUR|25LIT|3MBVNT|47TLV|67aVULN|7BPWR|8FEWX|9RCR
121	14441 45214	2	   	254.01	DCR|3VULN|2TLV|2DUR|2LIT	17DUR|25LIT|3MBVNT|47TLV|67aVULN|7BPWR|8LHND|9RCR
122	14441 45314	2	   	254.01	DCR|3VULN|2TLV|2DUR|2LIT	17DUR|25LIT|3MBVNT|47TLV|67aVULN|7BPWR|8BEXP|9RCR
123	13261 13132	7	   	253.96	DCR|3VULN|3DUR|1TLV|1AART	127DUR|35RCVC|467VULN|7BPWR|8AART|9TLV|aRCR
124	12121 14162	7	   	253.94	DCR|3VULN|2DMG|1TLV|1DUR	1DUR|2BEXP|38DMG|459VULN|6ERES|7RCR|aTLV
125	16121 14162	7	   	253.94	DCR|3VULN|2DMG|1TLV|1DUR	1DUR|2LHND|38DMG|459VULN|6ERES|7RCR|aTLV
126	23121 14162	7	   	253.94	DCR|3VULN|2DMG|1TLV|1DUR	1FEWX|2DUR|38DMG|459VULN|6ERES|7RCR|aTLV
127	53121 14162	7	   	253.94	DCR|3VULN|2DMG|1TLV|1DUR	1LHND|2DUR|38DMG|459VULN|6ERES|7RCR|aTLV
128	12121 14334	9	   	253.94	DCR|3VULN|2DMG|1TLV|1DUR	1DUR|2BEXP|3aDMG|458VULN|6ERES|7RCR|9TLV
129	14441 44363	2	   	253.91	DCR|3VULN|2TLV|2DUR|2LIT	1aDUR|25LIT|3MBVNT|4aTLV|68aVULN|7BBNT|9RCR|aBPWR
130	66611 21232	10	 * 	253.64	DCR|3VULN|1TLV|3ASPD|2CDMG|1AART	1AART|27CDMG|3BELT|467VULN|567ASPD|67BPWR|8TLV|9DMSP|aRCR
131	13153 21243	8	   	253.60	DCR|2VULN|3DUR|2TLV|2ASPD|1AART	12aDUR|3BELT|49VULN|5aTLV|6AART|7aASPD|8RCR|aBPWR
132	13153 22315	7	   	253.59	DCR|2VULN|2DMG|2DUR|1TLV|1AART	12DUR|3BELT|48VULN|5TLV|6AART|79DMG|aRCR
133	13153 24315	6	   	253.59	DCR|2VULN|2DMG|2DUR|1TLV|1AART	12DUR|3BELT|48VULN|5TLV|6AART|79DMG|aRCR
134	66112 22226	10	 * 	253.55	DCR|2VULN|3DUR|2TLV|3CDMG|1AART|1SELL	1AART|25aCDMG|35TLV|4SELL|5aBPWR|68aDUR|7aVULN|9RCR
135	65131 33211	9	   	253.49	DCR|2VULN|2DMG|2DUR|1TLV|1AART	1AART|2TLV|36DMG|4ERES|5aVULN|7RCR|89DUR
136	42521 63411	9	 * 	253.49	DCR|4VULN|3CDMG|2ASPD|1DUR	138CDMG|28ASPD|4MBVNT|568aVULN|7RCR|8BPWR|9DUR
137	42521 63414	10	   	253.49	DCR|4VULN|3CDMG|2ASPD|1DUR	138CDMG|28ASPD|4MBVNT|568aVULN|7RCR|8BPWR|9DUR
138	13152 14326	4	   	252.93	DCR|3VULN|2DUR|1TLV|1CDMG	12DUR|3BELT|48aVULN|5TLV|6RCR|7CDMG|9ASPD
139	13153 14326	5	   	252.93	DCR|3VULN|2DUR|1TLV|1CDMG	12DUR|3BELT|48aVULN|5TLV|6RCR|7CDMG|9ASPD
140	66123 14233	5	 * 	252.90	DCR|3VULN|2TLV|2CDMG|2LIT|1AART	1AART|27CDMG|37TLV|4LWND|58LIT|67aVULN|7BPWR|9RCR
141	13651 11322	3	   	252.58	DCR|3VULN|3DUR|2TLV	128DUR|358VULN|45TLV|58BPWR|6ZMB|78CGEN|9LHND|aRCR
142	13651 11362	3	   	252.58	DCR|3VULN|3DUR|2TLV	128DUR|358VULN|45TLV|58BPWR|6ZMB|78CGEN|9BEXP|aRCR
143	13661 11322	4	   	252.58	DCR|3VULN|3DUR|2TLV	128DUR|358VULN|45TLV|58BPWR|6ZMB|78CGEN|9LHND|aRCR
144	13661 11362	4	   	252.58	DCR|3VULN|3DUR|2TLV	128DUR|358VULN|45TLV|58BPWR|6ZMB|78CGEN|9BEXP|aRCR
145	14522 52312	5	   	252.48	DCR|2VULN|2DMG|2TLV|1DUR|2LIT	1DUR|28LIT|3CGEN|4LHND|58VULN|6aTLV|78DMG|8BPWR|9RCR
146	24314 52312	2	   	252.48	DCR|2VULN|2DMG|2TLV|1DUR|2LIT	1FEWX|28LIT|3CGEN|4DUR|58VULN|6aTLV|78DMG|8BPWR|9RCR
147	13651 11334	3	   	252.48	DCR|3VULN|3DUR|2TLV	128DUR|358VULN|45TLV|58BPWR|6ZMB|78CGEN|9ERES|aRCR
148	13651 11352	3	   	252.48	DCR|3VULN|3DUR|2TLV	128DUR|358VULN|45TLV|58BPWR|6ZMB|78CGEN|9LEGI|aRCR
149	13661 11334	4	   	252.48	DCR|3VULN|3DUR|2TLV	128DUR|358VULN|45TLV|58BPWR|6ZMB|78CGEN|9ERES|aRCR
150	13661 11352	4	   	252.48	DCR|3VULN|3DUR|2TLV	128DUR|358VULN|45TLV|58BPWR|6ZMB|78CGEN|9LEGI|aRCR
151	13133 41552	10	   	252.48	DCR|3VULN|3DUR|2TLV	12aDUR|3BELT|4aTLV|5RCVC|69aVULN|7RMIN|8RCR|aBPWR
152	13653 14232	3	   	252.41	DCR|3VULN|3DUR|1TLV	125DUR|39aVULN|4TLV|6RCR|7BBNT|8ASPD
153	13662 21314	7	   	252.41	DCR|3VULN|3DUR|1TLV	128DUR|379VULN|4TLV|5ASPD|6DUST|aRCR
154	13662 24331	10	   	252.41	DCR|3VULN|3DUR|1TLV	12aDUR|389VULN|4TLV|5ASPD|6DUST|7RCR
155	13663 14232	4	   	252.41	DCR|3VULN|3DUR|1TLV	125DUR|39aVULN|4TLV|6RCR|7BBNT|8ASPD
156	65621 33222	9	   	252.39	DCR|2VULN|2TLV|2DUR|1DMG|1AART	1AART|23TLV|3BPWR|48DUR|57VULN|6DMG|9RCR|aASPD
157	13152 16313	4	   	252.38	DCR|3VULN|3DUR|2TLV	128DUR|37BELT|48aVULN|58TLV|6RCR|8BPWR|9TBNT
158	13153 16313	5	   	252.38	DCR|3VULN|3DUR|2TLV	128DUR|37BELT|48aVULN|58TLV|6RCR|8BPWR|9TBNT
159	14533 22347	5	   	252.34	DCR|2VULN|2DMG|2DUR|1TLV	18DUR|2LIT|38CGEN|4MBVNT|5TLV|69VULN|78DMG|8BPWR|aRCR
160	62122 44333	10	   	252.28	DCR|3VULN|2DMG|2DUR|1NUKE|1AART	1AART|2aDMG|3NUKE|469VULN|56aBEXP|6aBPWR|7RCR|8aDUR
161	13152 16342	4	   	252.23	DCR|3VULN|3DUR|2TLV|1SELL	128DUR|37BELT|48aVULN|58TLV|6RCR|8BPWR|9SELL
162	13153 16342	5	   	252.23	DCR|3VULN|3DUR|2TLV|1SELL	128DUR|37BELT|48aVULN|58TLV|6RCR|8BPWR|9SELL
163	12151 52122	7	   	252.21	DCR|2VULN|2DMG|2TLV|2DUR	18DUR|28BEXP|35DMG|4RPLT|69VULN|78TLV|8BPWR|aRCR
164	15224 22142	2	   	252.21	DCR|2VULN|2DMG|2TLV|2DUR	18DUR|2RPLT|38DMG|46LHND|59TLV|78VULN|8BPWR|aRCR
165	15225 43122	2	   	252.21	DCR|2VULN|2DMG|2TLV|2DUR	18DUR|2RPLT|38DMG|4LHND|59VULN|68TLV|7RCVC|8BPWR|aRCR
166	15611 12142	7	   	252.21	DCR|2VULN|2DMG|2TLV|2DUR	18DUR|2RPLT|38LHND|49TLV|57DMG|68VULN|8BPWR|aRCR
167	16151 52122	7	   	252.21	DCR|2VULN|2DMG|2TLV|2DUR	18DUR|28LHND|35DMG|4RPLT|69VULN|78TLV|8BPWR|aRCR
