0	Index      	Bounty	 *	Score 	Summary	Detail	
1	36212 25335	1	 * 	288.56	DCR|4VULN|2DMG|1TLV|3LIT|1AART	158LIT|2BBNT|3AART|458aVULN|58BPWR|68DMG|7RCR|9TLV
40	31262 63161	7	   	261.75	DCR|3VULN|3DMG|1TLV	1LIT|24aDMG|3LWND|589VULN|6RCR|7TLV
41	61352 62131	7	   	260.49	DCR|3VULN|2DMG|2DUR|1AART	1aDMG|2ASPD|3LEGI|4BELT|59aVULN|6aDUR|7RCR|8AART|aBPWR
42	54116 11113	1	 * 	260.46	DCR|2VULN|3DMG|3DUR|1CDMG	1RMIN|248DMG|3BELT|5CDMG|68VULN|789DUR|8BPWR|aRCR
43	65116 11113	1	   	260.46	DCR|2VULN|3DMG|3DUR|1CDMG	148DMG|2RMIN|3BELT|5CDMG|68VULN|789DUR|8BPWR|aRCR
44	61321 44121	2	   	260.42	DCR|2VULN|2DMG|2TLV|2DUR	19DMG|2ASPD|39TLV|4BEXP|56VULN|79DUR|8BBNT|9BPWR|aRCR
45	61352 32521	2	   	260.42	DCR|2VULN|2DMG|2TLV|2DUR	19DMG|2ASPD|39TLV|48DUR|5BEXP|69VULN|7TBNT|9BPWR|aRCR
46	63321 44121	1	   	260.42	DCR|2VULN|2DMG|2TLV|2DUR	19DMG|2ASPD|39TLV|4BEXP|56VULN|79DUR|8BBNT|9BPWR|aRCR
47	63352 32521	1	   	260.42	DCR|2VULN|2DMG|2TLV|2DUR	19DMG|2ASPD|39TLV|48DUR|5BEXP|69VULN|7TBNT|9BPWR|aRCR
48	61543 32321	2	   	260.32	DCR|2VULN|2DMG|2TLV|2DUR	19DMG|2ASPD|39DUR|48TLV|5DUST|69VULN|7TBNT|9BPWR|aRCR
49	63543 32321	1	   	260.32	DCR|2VULN|2DMG|2TLV|2DUR	19DMG|2ASPD|39DUR|48TLV|5DUST|69VULN|7TBNT|9BPWR|aRCR
50	61353 32521	2	   	260.32	DCR|2VULN|2DMG|2TLV|2DUR	19DMG|2ASPD|39TLV|48DUR|5DUST|69VULN|7TBNT|9BPWR|aRCR
51	63353 32521	1	   	260.32	DCR|2VULN|2DMG|2TLV|2DUR	19DMG|2ASPD|39TLV|48DUR|5DUST|69VULN|7TBNT|9BPWR|aRCR
52	61341 42121	3	   	260.08	DCR|2VULN|2DMG|2DUR|1TLV|2ASPD	19DMG|29ASPD|3LEGI|4TLV|56VULN|79DUR|8BBNT|9BPWR|aRCR
53	33362 16236	10	 * 	259.75	DCR|3VULN|2DUR|1DMG|2CDMG|2LIT	19LIT|2ERES|39aVULN|4DMG|56CDMG|7RCR|89DUR|9BPWR
54	66131 73423	7	 * 	259.69	DCR|2VULN|3DMG|2DUR|1TLV	18aDMG|2RPLT|3MBVNT|48VULN|5RCVC|6RCR|78DUR|8BPWR|9TLV
55	36123 13522	7	   	259.68	DCR|3VULN|2DUR|1TLV|2LIT|1CDMG	19LIT|2RCVC|39DUR|4TLV|5CDMG|679VULN|8RCR|9BPWR|aBEXP
56	36123 13523	7	   	259.68	DCR|3VULN|2DUR|1TLV|2LIT|1CDMG	19LIT|2RCVC|39DUR|4TLV|5CDMG|679VULN|8RCR|9BPWR|aLHND
57	36123 13521	7	   	259.58	DCR|3VULN|2DUR|1TLV|2LIT|1CDMG	19LIT|2RCVC|39DUR|4TLV|5CDMG|679VULN|8RCR|9BPWR|aERES
58	36123 13525	7	   	259.58	DCR|3VULN|2DUR|1TLV|2LIT|1CDMG|1NUKE	19LIT|2RCVC|39DUR|4TLV|5CDMG|679VULN|8RCR|9BPWR|aNUKE
59	36123 13526	7	   	259.43	DCR|3VULN|2DUR|1TLV|2LIT|1CDMG|1SELL	19LIT|2RCVC|39DUR|4TLV|5CDMG|679VULN|8RCR|9BPWR|aSELL
60	23112 26121	2	 * 	259.40	DCR|5VULN|1TLV|3LIT	19DUST|2TLV|3679aVULN|459LIT|8RCR|9BPWR
61	13535 22226	6	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	1LWND|2TLV|3DMG|459VULN|6ASPD|7aDUR|8RCR
62	13535 23226	7	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	1LWND|2TLV|3DMG|459VULN|6ASPD|7aDUR|8RCR
63	13635 22226	6	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	1LWND|2TLV|3ASPD|459VULN|6DMG|7aDUR|8RCR
64	13635 23226	7	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	1LWND|2TLV|3ASPD|459VULN|6DMG|7aDUR|8RCR
65	13531 64313	8	   	259.22	DCR|4VULN|1TLV|1DMG|1AART	1LWND|2TLV|3DMG|4679VULN|5LIT|8AART|aRCR
66	13535 15223	10	   	259.04	DCR|4VULN|2DMG|1TLV	189LWND|2TLV|38DMG|4578VULN|6RMIN|8BPWR|aRCR
67	23552 35311	8	   	258.84	DCR|4VULN|2DMG|1TLV	167DUST|2TLV|37DMG|4BELT|5679VULN|67BPWR|8RCR|aLHND
68	23552 35312	8	   	258.84	DCR|4VULN|2DMG|1TLV	167DUST|2TLV|37DMG|4BELT|5679VULN|67BPWR|8RCR|aBEXP
69	23552 35313	8	   	258.84	DCR|4VULN|2DMG|1TLV	167DUST|2TLV|37DMG|4BELT|5679VULN|67BPWR|8RCR|aRCVC
