0	Index      	Bounty	 *	Score 	Summary	Detail	
1	36233 65311	10	 * 	291.26	DCR|4VULN|2DMG|2CDMG|1TLV|1AART	1AART|238aVULN|48DMG|5ZMB|6TLV|78CDMG|8BPWR|9RCR
18	36312 16242	7	   	273.83	DCR|3VULN|2DUR|1DMG|2CDMG|1AART	1AART|27aVULN|37CDMG|4LIT|5DMG|67DUR|7BPWR|8RCR|9DUST
19	36346 13311	10	   	273.68	DCR|4VULN|1DMG|2CDMG|1TLV|1AART	1AART|248aVULN|38CDMG|5TLV|6DMG|78ZMB|8BPWR|9RCR
20	36234 35312	9	 * 	273.59	DCR|3VULN|2DMG|2ASPD|2CDMG|1AART	1AART|238VULN|48DMG|5aASPD|6CGEN|78CDMG|8BPWR|9RCR
21	36324 31211	10	   	273.29	DCR|3VULN|2DUR|1DMG|2CDMG|2AART	17AART|24aVULN|34CDMG|4BPWR|56DUR|8DMG|9RCR
22	36222 23262	8	   	273.05	DCR|5VULN|1DMG|1TLV|1AART	1AART|23689VULN|4RPLT|5TLV|7RCR|aDMG
23	36222 33262	8	   	273.05	DCR|5VULN|1DMG|1TLV|1AART	1AART|23789VULN|4RPLT|5TLV|6RCR|aDMG
24	36232 23316	8	   	272.48	DCR|3VULN|2DMG|2AART|1TLV|1DUR	15AART|237VULN|48DMG|6DUR|9RCR|aTLV
25	36432 23316	8	   	272.48	DCR|3VULN|2DMG|2AART|1TLV|1DUR	15AART|247VULN|38DMG|6DUR|9RCR|aTLV
26	36412 62311	10	 * 	272.34	DCR|3VULN|2DMG|2TLV|2CDMG|1AART	1AART|28aVULN|37DMG|4RMIN|58CDMG|68TLV|8BPWR|9RCR
27	36234 35312	10	   	271.68	DCR|3VULN|2DMG|2CDMG|1ASPD|1AART	1AART|238VULN|48DMG|5ASPD|6CGEN|78CDMG|8BPWR|9RCR|aLIT
28	32632 24324	3	   	271.29	DCR|3VULN|2DMG|2AART|1DUR|2LIT	12AART|38DMG|4DUR|58LIT|6RCVC|789VULN|8BPWR|aRCR
29	32632 24324	4	   	271.29	DCR|3VULN|2DMG|2AART|1DUR|2LIT	12AART|38DMG|4DUR|58LIT|6RCVC|789VULN|8BPWR|aRCR
30	36242 23324	3	   	271.13	DCR|4VULN|2DMG|2AART	14AART|2389VULN|5LIT|68LHND|78DMG|8BPWR|aRCR
31	36242 33324	3	   	271.13	DCR|4VULN|2DMG|2AART	14AART|2389VULN|5LIT|68BEXP|78DMG|8BPWR|aRCR
32	36222 22346	10	   	271.10	DCR|4VULN|2DMG|1TLV|1AART	1AART|2369VULN|4RPLT|5TLV|78DMG|aRCR
33	36235 23313	7	   	270.82	DCR|3VULN|2DMG|2DUR|2AART	1aAART|237VULN|45DMG|68DUR|9RCR
34	36435 23313	7	   	270.82	DCR|3VULN|2DMG|2DUR|2AART	1aAART|247VULN|35DMG|68DUR|9RCR
35	36311 61432	10	   	270.22	DCR|4VULN|1DMG|1CDMG|1ASPD|1AART	1AART|259aVULN|3CDMG|4LIT|6RCR|7DMG|8ASPD
36	36233 33324	6	   	269.91	DCR|4VULN|2DMG|2LIT|1AART	1AART|2389VULN|48DMG|5ZMB|6CGEN|78LIT|8BPWR|aRCR
37	36433 33324	6	   	269.91	DCR|4VULN|2DMG|2LIT|1AART	1AART|2489VULN|38DMG|5ZMB|6CGEN|78LIT|8BPWR|aRCR
38	36232 23316	7	   	269.48	DCR|3VULN|2DUR|1DMG|2AART|1TLV	15AART|237VULN|4DMG|68DUR|9RCR|aTLV
39	36432 23316	7	   	269.48	DCR|3VULN|2DUR|1DMG|2AART|1TLV	15AART|247VULN|3DMG|68DUR|9RCR|aTLV
40	36222 23264	8	   	269.24	DCR|5VULN|1TLV|1DUR|1AART	1AART|23689VULN|4RPLT|5TLV|7RCR|aDUR
41	36222 33264	8	   	269.24	DCR|5VULN|1TLV|1DUR|1AART	1AART|23789VULN|4RPLT|5TLV|6RCR|aDUR
42	36212 34621	9	   	269.01	DCR|4VULN|1TLV|1DUR|1ASPD|1AART	1AART|2368VULN|4TLV|5DUR|7RCR|9LIT|aASPD
43	36234 61311	10	 * 	268.63	DCR|4VULN|2ASPD|2TLV|1DMG|1AART|1SELL	1AART|238aVULN|4DMG|58ASPD|68TLV|7SELL|8BPWR|9RCR
44	36233 35315	10	   	268.62	DCR|3VULN|2DMG|2CDMG|1DUR|1AART	1AART|238VULN|48DMG|5ZMB|6CGEN|78CDMG|8BPWR|9RCR|aDUR
45	36233 65313	9	   	268.62	DCR|3VULN|2DMG|2CDMG|1TLV|1AART	1AART|238VULN|48DMG|5ZMB|6TLV|78CDMG|8BPWR|9RCR|aRPLT
46	36233 65313	10	   	268.62	DCR|3VULN|2DMG|2CDMG|1TLV|1AART	1AART|238VULN|48DMG|5ZMB|6TLV|78CDMG|8BPWR|9RCR|aDMSP
47	36232 32335	4	   	268.57	DCR|4VULN|1DMG|1TLV|2LIT|1AART	1AART|2368VULN|4DMG|58LIT|78FEWX|8BPWR|9TLV|aRCR
48	36232 33335	4	   	268.57	DCR|4VULN|1DMG|1TLV|2LIT|1AART	1AART|2368VULN|4DMG|58LIT|78LWND|8BPWR|9TLV|aRCR
49	36432 32335	4	   	268.57	DCR|4VULN|1DMG|1TLV|2LIT|1AART	1AART|2468VULN|3DMG|58LIT|78FEWX|8BPWR|9TLV|aRCR
50	36432 33335	4	   	268.57	DCR|4VULN|1DMG|1TLV|2LIT|1AART	1AART|2468VULN|3DMG|58LIT|78LWND|8BPWR|9TLV|aRCR
51	36232 25361	10	   	268.54	DCR|3VULN|1DMG|2AART|1TLV|1DUR|1CDMG	15AART|23aVULN|4DMG|6DUR|7CDMG|8TLV|9RCR
52	36233 65311	9	   	268.52	DCR|3VULN|2DMG|2CDMG|1TLV|1AART	1AART|238VULN|48DMG|5ZMB|6TLV|78CDMG|8BPWR|9RCR|aDUST
53	36342 15311	10	   	268.50	DCR|4VULN|2DMG|1CDMG|1AART	1AART|248aVULN|3CDMG|5RMIN|68DMG|78ERES|8BPWR|9RCR
54	36214 35211	10	   	268.33	DCR|4VULN|2TLV|2CDMG|1ASPD|1AART	1AART|238aVULN|48TLV|5ASPD|6CGEN|78CDMG|8BPWR|9RCR
55	31331 61262	4	 * 	268.10	DCR|4VULN|2DUR|1DMG|1AART	1AART|2ERES|35DUR|4589VULN|5BPWR|6LHND|7RCR|aDMG
56	36344 31211	10	   	266.88	DCR|3VULN|2DUR|1DMG|2AART|1CDMG	17AART|24aVULN|3CDMG|56DUR|8DMG|9RCR
57	32615 22361	10	 * 	266.50	DCR|2VULN|2DMG|2DUR|3AART|1TLV	129AART|3aDMG|4TLV|5RPLT|6RCR|7aDUR|8aVULN|aBPWR
58	36215 35212	9	   	265.75	DCR|3VULN|2TLV|1DMG|2CDMG|1ASPD|1AART	1AART|238VULN|48TLV|5DMG|6CGEN|78CDMG|8BPWR|9RCR|aASPD
59	36324 34211	10	   	265.52	DCR|3VULN|2DUR|1DMG|2CDMG|1AART	1AART|24aVULN|34CDMG|4BPWR|56DUR|7DMSP|8DMG|9RCR
60	36261 12361	2	 * 	265.12	DCR|2VULN|3DMG|3DUR|1AART	1AART|28VULN|359DMG|457DUR|5BPWR|6RCVC|aRCR
61	36131 21244	2	   	265.10	DCR|4VULN|1DMG|2CDMG|2AART	16AART|2479VULN|34CDMG|4BPWR|5FEWX|8DMG|aRCR
62	36321 21244	4	   	265.10	DCR|4VULN|1DMG|2CDMG|2AART	16AART|2479VULN|34CDMG|4BPWR|5FEWX|8DMG|aRCR
63	36331 21244	3	   	265.10	DCR|4VULN|1DMG|2CDMG|2AART	16AART|2479VULN|34CDMG|4BPWR|5FEWX|8DMG|aRCR
64	31231 21244	1	   	265.10	DCR|4VULN|1DMG|2CDMG|2AART	16AART|24CDMG|3479VULN|4BPWR|5FEWX|8DMG|aRCR
65	36261 41222	2	   	265.02	DCR|2VULN|3DMG|3DUR|1AART	1AART|28VULN|35aDMG|459DUR|5BPWR|6DUST|7RCR
66	36235 22361	6	   	265.02	DCR|2VULN|3DMG|3DUR|1AART	1AART|23VULN|459DMG|678DUR|aRCR
67	36416 31311	10	 * 	265.01	DCR|4VULN|2DMG|2TLV|1AART|1SELL	1AART|268aVULN|38DMG|4RMIN|58TLV|7SELL|8BPWR|9RCR
68	36215 36213	6	   	264.91	DCR|3VULN|2DMG|1TLV|1DUR|1AART	1AART|237VULN|4TLV|57DMG|678CGEN|7BPWR|9RCR|aDUR
69	36242 23335	3	   	264.74	DCR|3VULN|2DMG|2AART|1TLV	14AART|238VULN|5LIT|68LHND|78DMG|8BPWR|9TLV|aRCR
70	36242 33335	3	   	264.74	DCR|3VULN|2DMG|2AART|1TLV	14AART|238VULN|5LIT|68BEXP|78DMG|8BPWR|9TLV|aRCR
71	33411 51226	5	   	264.71	DCR|3VULN|2DMG|1TLV|1DUR|1AART	1AART|29DUST|39DMG|4RMIN|5DUR|6TLV|7RCR|89aVULN|9BPWR
72	33416 11226	4	   	264.71	DCR|3VULN|2DMG|1TLV|1DUR|1AART	1AART|29DUST|39DMG|4RMIN|5TLV|6DUR|7RCR|89aVULN|9BPWR
73	36215 33313	8	   	264.71	DCR|3VULN|2DMG|1TLV|1DUR|1AART	1AART|237VULN|4TLV|58DMG|6CGEN|9RCR|aDUR
74	36312 16214	7	 * 	264.61	DCR|2VULN|2DMG|2DUR|2CDMG|1AART	1AART|27VULN|37CDMG|4LIT|5aDMG|67DUR|7BPWR|8RCR|9LWND
75	31231 41352	1	   	264.52	DCR|4VULN|2CDMG|1TLV|1ASPD|1AART	1AART|24CDMG|3467VULN|4BPWR|5FEWX|8TLV|9RCR|aASPD
76	31232 41552	1	   	264.52	DCR|4VULN|2CDMG|1TLV|1ASPD|1AART	1AART|24CDMG|3467VULN|4BPWR|5BEXP|8TLV|9RCR|aASPD
77	36131 41352	2	   	264.52	DCR|4VULN|2CDMG|1TLV|1ASPD|1AART	1AART|2467VULN|34CDMG|4BPWR|5FEWX|8TLV|9RCR|aASPD
78	36222 23266	7	   	264.52	DCR|4VULN|1DMG|1TLV|1ASPD|1AART	1AART|2369VULN|4RPLT|5TLV|7RCR|8DMG|aASPD
79	36222 33266	7	   	264.52	DCR|4VULN|1DMG|1TLV|1ASPD|1AART	1AART|2379VULN|4RPLT|5TLV|6RCR|8DMG|aASPD
80	36321 41352	4	   	264.52	DCR|4VULN|2CDMG|1TLV|1ASPD|1AART	1AART|2467VULN|34CDMG|4BPWR|5FEWX|8TLV|9RCR|aASPD
81	36331 41352	3	   	264.52	DCR|4VULN|2CDMG|1TLV|1ASPD|1AART	1AART|2467VULN|34CDMG|4BPWR|5FEWX|8TLV|9RCR|aASPD
82	36222 22263	8	   	264.52	DCR|4VULN|1DMG|1TLV|1ASPD|1AART	1AART|2369VULN|4RPLT|5TLV|7DMG|8ASPD|aRCR
83	36312 16234	7	   	264.51	DCR|2VULN|2DMG|2DUR|2CDMG|1AART	1AART|27VULN|37CDMG|4LIT|5aDMG|67DUR|7BPWR|8RCR|9LEGI
84	36212 61135	5	   	264.48	DCR|4VULN|2DUR|1TLV|1AART	1AART|239aVULN|4TLV|5aDUR|6aLHND|7RCR|8RPLT|aBPWR
85	36222 33535	6	   	264.48	DCR|4VULN|2DUR|1TLV|1AART	1AART|239aVULN|4RPLT|5TLV|6RCR|7aLHND|8aDUR|aBPWR
86	31331 51634	4	   	264.28	DCR|4VULN|2DUR|1TLV|1AART	1AART|2ERES|35DUR|459aVULN|5BPWR|6BEXP|7RCR|8TLV
87	31331 61634	4	   	264.28	DCR|4VULN|2DUR|1TLV|1AART	1AART|2ERES|35DUR|459aVULN|5BPWR|6LHND|7RCR|8TLV
88	36212 34233	7	 * 	263.62	DCR|4VULN|3AART|1TLV|1DUR	19aAART|2368VULN|4TLV|5DUR|7RCR
89	36212 34633	8	   	263.62	DCR|4VULN|3AART|1TLV|1DUR	19aAART|2368VULN|4TLV|5DUR|7RCR
90	36234 35313	9	   	263.38	DCR|3VULN|2DMG|2CDMG|1ASPD|1AART	1AART|238VULN|48DMG|5ASPD|6CGEN|78CDMG|8BPWR|9RCR|aZMB
91	36234 35313	10	   	263.38	DCR|3VULN|2DMG|2CDMG|1ASPD|1AART	1AART|238VULN|48DMG|5ASPD|6CGEN|78CDMG|8BPWR|9RCR|aDMSP
92	36233 35312	9	   	263.38	DCR|3VULN|2DMG|2CDMG|1ASPD|1AART	1AART|238VULN|48DMG|5ZMB|6CGEN|78CDMG|8BPWR|9RCR|aASPD
93	36236 35212	9	   	263.38	DCR|3VULN|2DMG|2CDMG|1ASPD|1AART	1AART|238VULN|48DMG|5MLV|6CGEN|78CDMG|8BPWR|9RCR|aASPD
94	36433 35312	9	   	263.38	DCR|3VULN|2DMG|2CDMG|1ASPD|1AART	1AART|248VULN|38DMG|5ZMB|6CGEN|78CDMG|8BPWR|9RCR|aASPD
95	36212 34261	7	   	263.35	DCR|4VULN|1TLV|1DUR|1CDMG|1AART	1AART|2368VULN|4TLV|5DUR|7RCR|9CGEN|aCDMG
96	36212 34611	9	   	263.35	DCR|4VULN|1TLV|1DUR|1CDMG|1AART	1AART|2368VULN|4TLV|5DUR|7RCR|9CGEN|aCDMG
97	36212 34631	9	   	263.35	DCR|4VULN|1TLV|1DUR|1CDMG|1AART	1AART|2368VULN|4TLV|5DUR|7RCR|9MLV|aCDMG
98	36232 32315	4	   	263.32	DCR|4VULN|1DMG|2LIT|1ASPD|1AART	1AART|2368VULN|4DMG|58LIT|78FEWX|8BPWR|9ASPD|aRCR
99	36232 33315	4	   	263.32	DCR|4VULN|1DMG|2LIT|1ASPD|1AART	1AART|2368VULN|4DMG|58LIT|78LWND|8BPWR|9ASPD|aRCR
100	36432 32315	4	   	263.32	DCR|4VULN|1DMG|2LIT|1ASPD|1AART	1AART|2468VULN|3DMG|58LIT|78FEWX|8BPWR|9ASPD|aRCR
101	36432 33315	4	   	263.32	DCR|4VULN|1DMG|2LIT|1ASPD|1AART	1AART|2468VULN|3DMG|58LIT|78LWND|8BPWR|9ASPD|aRCR
102	36234 35311	9	   	263.28	DCR|3VULN|2DMG|2CDMG|1ASPD|1AART	1AART|238VULN|48DMG|5ASPD|6CGEN|78CDMG|8BPWR|9RCR|aDUST
103	36322 15312	9	   	263.28	DCR|3VULN|2DMG|2CDMG|1ASPD|1AART	1AART|248VULN|34CDMG|48BPWR|5RMIN|68DMG|78ERES|9RCR|aASPD
104	36322 15362	8	   	263.28	DCR|3VULN|2DMG|2CDMG|1ASPD|1AART	1AART|248VULN|34CDMG|48BPWR|5RMIN|68DMG|78ERES|9RCR|aASPD
105	36232 31124	4	   	263.16	DCR|4VULN|2DMG|1AART	1AART|2369VULN|47DMG|5LIT|8LHND|aRCR
106	36432 31124	4	   	263.16	DCR|4VULN|2DMG|1AART	1AART|2469VULN|37DMG|5LIT|8LHND|aRCR
107	36215 35212	10	   	263.06	DCR|3VULN|2TLV|1DMG|2CDMG|1AART	1AART|238VULN|48TLV|5DMG|6CGEN|78CDMG|8BPWR|9RCR|aLIT
108	36235 23312	7	   	263.04	DCR|3VULN|2DMG|2DUR|1AART	1AART|237VULN|45DMG|68DUR|9RCR|aMLV
109	36235 23315	7	   	263.04	DCR|3VULN|2DMG|2DUR|1AART	1AART|237VULN|45DMG|68DUR|9RCR|aBEXP
110	36435 23312	7	   	263.04	DCR|3VULN|2DMG|2DUR|1AART	1AART|247VULN|35DMG|68DUR|9RCR|aMLV
111	36235 23311	7	   	262.94	DCR|3VULN|2DMG|2DUR|1AART	1AART|237VULN|45DMG|68DUR|9RCR|aMBVNT
112	36235 23314	7	   	262.94	DCR|3VULN|2DMG|2DUR|1AART	1AART|237VULN|45DMG|68DUR|9RCR|aERES
113	36435 23311	7	   	262.94	DCR|3VULN|2DMG|2DUR|1AART	1AART|247VULN|35DMG|68DUR|9RCR|aMBVNT
114	36232 23313	8	 * 	262.38	DCR|3VULN|2DMG|3AART|1DUR	15aAART|237VULN|48DMG|6DUR|9RCR
115	36432 23313	8	   	262.38	DCR|3VULN|2DMG|3AART|1DUR	15aAART|247VULN|38DMG|6DUR|9RCR
116	36346 13312	9	   	262.04	DCR|3VULN|1DMG|2CDMG|1TLV|1ASPD|1AART	1AART|248VULN|38CDMG|5TLV|6DMG|78ZMB|8BPWR|9RCR|aASPD
117	36326 23122	8	   	262.04	DCR|3VULN|3CDMG|2ASPD|2TLV|1AART	1AART|249VULN|346CDMG|49BPWR|59TLV|7RCR|89ASPD|aCGEN
118	36326 23123	8	   	262.04	DCR|3VULN|3CDMG|2ASPD|2TLV|1AART	1AART|249VULN|346CDMG|49BPWR|59TLV|7RCR|89ASPD|aBEXP
119	36326 23422	7	   	262.04	DCR|3VULN|3CDMG|2ASPD|2TLV|1AART	1AART|249VULN|346CDMG|49BPWR|59TLV|7RCR|89ASPD|aCGEN
120	36326 23423	7	   	262.04	DCR|3VULN|3CDMG|2ASPD|2TLV|1AART	1AART|249VULN|346CDMG|49BPWR|59TLV|7RCR|89ASPD|aBEXP
121	36322 11562	6	   	261.94	DCR|3VULN|1DMG|2CDMG|1TLV|1ASPD|1AART	1AART|247VULN|34CDMG|4BPWR|5RMIN|6DMG|8TLV|9RCR|aASPD
122	36326 23121	8	   	261.94	DCR|3VULN|3CDMG|2ASPD|2TLV|1AART	1AART|249VULN|346CDMG|49BPWR|59TLV|7RCR|89ASPD|aERES
123	36326 23125	8	   	261.94	DCR|3VULN|3CDMG|2ASPD|2TLV|1AART	1AART|249VULN|346CDMG|49BPWR|59TLV|7RCR|89ASPD|aLEGI
124	36326 23421	7	   	261.94	DCR|3VULN|3CDMG|2ASPD|2TLV|1AART	1AART|249VULN|346CDMG|49BPWR|59TLV|7RCR|89ASPD|aERES
125	36212 31524	4	   	261.82	DCR|4VULN|1DMG|1TLV|1AART	1AART|2369VULN|4TLV|5LIT|7DMG|8ZMB|aRCR
126	36232 34135	4	   	261.82	DCR|4VULN|1DMG|1TLV|1AART	1AART|2367VULN|4DMG|5LIT|8LHND|9TLV|aRCR
127	36326 32224	7	   	261.82	DCR|4VULN|2CDMG|1TLV|1AART	1AART|247aVULN|34CDMG|4BPWR|5TLV|6LIT|8RCR|9RCVC
128	36326 32218	7	   	261.72	DCR|4VULN|2CDMG|1TLV|1AART	1AART|247aVULN|34CDMG|4BPWR|5TLV|6LIT|8RCR|9MBVNT
129	36212 31224	4	   	261.72	DCR|4VULN|1DMG|1TLV|1AART	1AART|2369VULN|4TLV|5LIT|7DMG|8ERES|aRCR
130	33432 61335	4	   	261.61	DCR|3VULN|2DUR|1DMG|1TLV|1AART	1AART|2DUST|3DMG|469VULN|5aDUR|7RCR|8TLV
131	36215 13311	10	   	261.30	DCR|4VULN|2DMG|1TLV|1AART|1SELL	1AART|238aVULN|4TLV|58DMG|6SELL|78ZMB|8BPWR|9RCR
132	36215 31211	10	   	261.30	DCR|4VULN|2DMG|1TLV|1AART|1SELL	1AART|238aVULN|4TLV|58DMG|68CGEN|7SELL|8BPWR|9RCR
