0	Index      	Bounty	 *	Score 	Summary	Detail	
1	61522 21214	5	 * 	273.49	ACR|3VULN|3DMG|3DUR|3TLV|1NUKE	1RCR|28aDMG|356DUR|48aTLV|78aVULN|8aBPWR|9NUKE
21	32332 62631	8	 * 	258.80	DCR|4VULN|2DMG|1TLV|1SELL	17DMG|27LHND|3CGEN|4TLV|5SELL|678aVULN|7BPWR|9RCR
22	32332 62653	9	 * 	258.80	DCR|4VULN|2DMG|1TLV|1SELL	17DMG|27LHND|3CGEN|4TLV|5SELL|6789VULN|7BPWR|aRCR
23	41332 62631	8	 * 	258.80	DCR|4VULN|2DMG|1TLV|1SELL	17LHND|27DMG|3CGEN|4TLV|5SELL|678aVULN|7BPWR|9RCR
24	25415 13133	4	 * 	258.79	DCR|4VULN|1TLV|3LIT|2AART	19ZMB|27AART|359LIT|4589VULN|59BPWR|6RCR|aTLV
25	34332 62631	8	 * 	258.60	DCR|4VULN|2DMG|1TLV|1SELL	17DMG|27ERES|3LWND|4TLV|5SELL|678aVULN|7BPWR|9RCR
26	31354 61111	2	 * 	258.07	DCR|3VULN|3DMG|2DUR	19aDMG|2MLV|3BBNT|4aDUR|57aVULN|6RCR|8TBNT|aBPWR
27	61512 21121	8	   	258.06	ACR|3VULN|3DUR|2DMG|1TLV	1RCR|28DMG|378DUR|4LIT|5FEWX|68aVULN|8BPWR|9TLV
28	61514 21121	8	   	258.06	ACR|3VULN|3DUR|2DMG|1TLV	1RCR|28DMG|378DUR|4LIT|5LHND|68aVULN|8BPWR|9TLV
29	61514 21131	9	   	258.06	ACR|3VULN|3DUR|2DMG|1TLV	1RCR|28DMG|378DUR|4LIT|5LHND|68aVULN|8BPWR|9TLV
30	61515 21121	8	   	258.06	ACR|3VULN|3DUR|2DMG|1TLV	1RCR|28DMG|378DUR|4LIT|5BEXP|68aVULN|8BPWR|9TLV
31	61531 21121	8	   	258.06	ACR|3VULN|3DUR|2DMG|1TLV	1RCR|28DMG|378DUR|4FEWX|5LIT|68aVULN|8BPWR|9TLV
32	61561 21121	8	   	258.06	ACR|3VULN|3DUR|2DMG|1TLV	1RCR|28DMG|378DUR|4BEXP|5LIT|68aVULN|8BPWR|9TLV
33	61522 21263	5	   	257.84	ACR|3VULN|3DUR|2DMG|2TLV	1RCR|28DMG|356DUR|48TLV|78aVULN|8BPWR|9RPLT
34	61523 21233	4	   	257.84	ACR|3VULN|3DUR|2DMG|3TLV	1RCR|28DMG|356DUR|458TLV|58BPWR|78aVULN|9CGEN
35	61523 21251	4	   	257.74	ACR|3VULN|3DUR|2DMG|3TLV	1RCR|28DMG|356DUR|458TLV|58BPWR|78aVULN|9TBNT
36	61523 21431	4	   	257.74	ACR|3VULN|3DUR|2DMG|3TLV	1RCR|29DMG|356DUR|459TLV|59BPWR|79aVULN|8BBNT
37	31613 15262	2	   	257.14	DCR|3VULN|3DMG|1DUR|1CDMG	13aDMG|2MLV|49aVULN|5CDMG|6DUR|7aDUST|8RCR|aBPWR
38	61523 21212	4	   	257.10	ACR|2VULN|3DMG|3DUR|3TLV	1RCR|289DMG|356DUR|458TLV|58BPWR|78VULN|aLIT
39	32543 24312	6	 * 	257.07	DCR|3VULN|3DMG|2CDMG|1AART	178DMG|2LHND|3RPLT|48aVULN|58CDMG|6AART|8BPWR|9RCR
40	35212 24122	3	   	256.80	DCR|5VULN|1DMG|1CDMG|1AART	1DMG|2AART|34678VULN|56LHND|6BPWR|9RCR|aCDMG
41	51126 23324	9	 * 	256.58	DCR|2VULN|2TLV|2DUR|1DMG|1CDMG	1RPLT|29DUR|3CDMG|49TLV|5LIT|6LWND|7RCR|89VULN|9BPWR|aDMG
42	51122 23255	4	 * 	256.29	DCR|2VULN|3DUR|2TLV|2LIT|1CDMG	1RPLT|27aDUR|3CDMG|47TLV|57LIT|6RCR|7BPWR|89VULN
43	51122 23261	4	   	256.29	DCR|2VULN|3DUR|2TLV|2LIT|1CDMG	1RPLT|279DUR|3CDMG|47TLV|57LIT|6RCR|7BPWR|8aVULN
44	51126 23261	5	   	256.29	DCR|2VULN|3DUR|2TLV|2LIT|1CDMG	1RPLT|279DUR|3CDMG|47TLV|57LIT|6RCR|7BPWR|8aVULN
45	51122 23141	4	   	256.29	DCR|2VULN|3DUR|2TLV|2LIT|1CDMG	1RPLT|278DUR|3CDMG|47TLV|57LIT|6RCR|7BPWR|9aVULN
46	51126 23141	5	   	256.29	DCR|2VULN|3DUR|2TLV|2LIT|1CDMG	1RPLT|278DUR|3CDMG|47TLV|57LIT|6RCR|7BPWR|9aVULN
47	33542 63333	8	 * 	255.70	DCR|3VULN|3DUR|2DMG|1SELL	17DMG|24FEWX|347DUR|47BPWR|5SELL|67aVULN|8BELT|9RCR
48	33552 63333	8	 * 	255.60	DCR|3VULN|3DUR|2DMG|1SELL	17DMG|2FEWX|347DUR|5SELL|67aVULN|7BPWR|8BELT|9RCR
49	14266 22131	2	 * 	255.59	DCR|3VULN|3DUR|1DMG|2AART	1RMIN|269DUR|369VULN|45AART|69BPWR|7BBNT|8RCR|aDMG
50	33514 21161	9	 * 	255.12	DCR|2VULN|3DMG|3DUR	189DMG|2FEWX|378DUR|4LIT|5LHND|68VULN|8BPWR|aRCR
51	33515 21161	9	   	255.12	DCR|2VULN|3DMG|3DUR	189DMG|2FEWX|378DUR|4LIT|5BEXP|68VULN|8BPWR|aRCR
52	33531 21161	9	   	255.12	DCR|2VULN|3DMG|3DUR	189DMG|2FEWX|378DUR|4BEXP|5LIT|68VULN|8BPWR|aRCR
53	51113 63323	10	   	255.05	DCR|2VULN|2DUR|1TLV|1DMG|2LIT|1CDMG	1RPLT|29DUR|3CDMG|49LIT|5LWND|6DMG|7RCR|89VULN|9BPWR|aTLV
54	51114 63323	10	   	255.05	DCR|2VULN|2DUR|1TLV|1DMG|2LIT|1CDMG	1RPLT|29DUR|3CDMG|49LIT|5LHND|6DMG|7RCR|89VULN|9BPWR|aTLV
55	35222 14343	5	   	255.00	DCR|2VULN|3DMG|2TLV|1AART	178DMG|2AART|38VULN|4BEXP|5LHND|68TLV|8BPWR|9RCR|aASPD
56	35212 14343	5	   	254.90	DCR|2VULN|3DMG|2TLV|1AART	178DMG|2AART|38VULN|4DUST|5LHND|68TLV|8BPWR|9RCR|aASPD
57	51221 63323	10	 * 	254.81	DCR|2VULN|2DUR|1TLV|1DMG|2CDMG	1RPLT|29DUR|3LHND|49CDMG|5LIT|6DMG|7RCR|89VULN|9BPWR|aTLV
58	61522 21136	5	   	254.69	ACR|2VULN|3DUR|2DMG|1TLV|2CDMG|1AART	1RCR|2aDMG|356DUR|4TLV|7aVULN|8aCDMG|9AART|aBPWR
59	51131 25532	6	 * 	254.29	DCR|4VULN|2DUR|2CDMG	1RPLT|27DUR|37CDMG|4FEWX|5LIT|6789VULN|7BPWR|aRCR
60	51112 25532	6	   	254.29	DCR|4VULN|2DUR|2CDMG	1RPLT|27DUR|37CDMG|4LIT|5FEWX|6789VULN|7BPWR|aRCR
61	31464 73124	4	   	254.04	DCR|3VULN|2DMG|1TLV|1DUR	16DMG|28MLV|3TLV|4MBVNT|569VULN|6BPWR|7RCR|aDUR
62	42226 21612	2	   	254.04	DCR|3VULN|2DMG|1TLV|1DUR	1aLHND|2TLV|37aVULN|4ERES|5TBNT|6DUR|8RCR|9aDMG|aBPWR
63	41112 63633	9	   	253.90	DCR|3VULN|2DMG|1TLV|2ASPD|1SELL	17LHND|27DMG|39ASPD|4TLV|5SELL|678VULN|7BPWR|aRCR
64	32112 63633	9	   	253.90	DCR|3VULN|2DMG|1TLV|2ASPD|1SELL	17DMG|27LHND|39ASPD|4TLV|5SELL|678VULN|7BPWR|aRCR
65	12371 54364	1	 * 	253.86	DCR|3VULN|3DUR|1TLV|1AART	1RMIN|2MBVNT|379DUR|4AART|5TBNT|679VULN|79BPWR|8RCR|aTLV
66	35133 35261	9	 * 	253.59	DCR|2VULN|2DMG|2DUR|1TLV|1NUKE|1AART	17DMG|2AART|37DUR|4LEGI|57VULN|6NUKE|7BPWR|8LWND|9TLV|aRCR
67	51112 63326	9	   	253.54	DCR|3VULN|2DUR|1DMG|2LIT|1CDMG	1RPLT|29DUR|3CDMG|49LIT|5FEWX|6DMG|7RCR|89aVULN|9BPWR
68	51113 63326	9	   	253.54	DCR|3VULN|2DUR|1DMG|2LIT|1CDMG	1RPLT|29DUR|3CDMG|49LIT|5LWND|6DMG|7RCR|89aVULN|9BPWR
69	35133 35161	9	   	253.49	DCR|2VULN|2DMG|2DUR|1TLV|1NUKE|1AART	17DMG|2AART|37DUR|4LEGI|57VULN|6NUKE|7BPWR|8DUST|9TLV|aRCR
70	61522 21121	5	   	253.33	ACR|2VULN|3DUR|2DMG|1TLV|2CDMG	1RCR|29DMG|356DUR|4TLV|79VULN|89CDMG|9BPWR|aLIT
71	61522 21122	5	   	253.33	ACR|2VULN|3DUR|2DMG|1TLV|2CDMG	1RCR|29DMG|356DUR|4TLV|79VULN|89CDMG|9BPWR|aASPD
72	61522 61121	6	   	253.33	ACR|2VULN|3DUR|2DMG|1TLV|2CDMG	1RCR|29DMG|356DUR|4TLV|79VULN|89CDMG|9BPWR|aLIT
73	61522 61122	6	   	253.33	ACR|2VULN|3DUR|2DMG|1TLV|2CDMG	1RCR|29DMG|356DUR|4TLV|79VULN|89CDMG|9BPWR|aASPD
74	61522 63121	7	   	253.33	ACR|2VULN|3DUR|2DMG|1TLV|2CDMG	1RCR|29DMG|356DUR|4TLV|79VULN|89CDMG|9BPWR|aLIT
75	61522 63122	7	   	253.33	ACR|2VULN|3DUR|2DMG|1TLV|2CDMG	1RCR|29DMG|356DUR|4TLV|79VULN|89CDMG|9BPWR|aASPD
76	51221 63326	9	 * 	253.30	DCR|3VULN|2DUR|1DMG|2CDMG	1RPLT|29DUR|3LHND|49CDMG|5LIT|6DMG|7RCR|89aVULN|9BPWR
77	51321 63326	9	   	253.30	DCR|3VULN|2DUR|2CDMG|1DMG	1RPLT|29DUR|3BEXP|49CDMG|5LIT|6DMG|7RCR|89aVULN|9BPWR
78	34278 23333	1	   	253.25	DCR|3VULN|3DMG|1DUR|1AART	156DMG|2MBVNT|356VULN|4AART|56BPWR|7LHND|8LWND|9DUR|aRCR
79	61523 21123	4	   	253.21	ACR|2VULN|3DUR|2DMG|2TLV|2CDMG	1RCR|29DMG|356DUR|45TLV|59BPWR|79VULN|89CDMG|aRPLT
80	61523 21126	4	   	253.21	ACR|2VULN|3DUR|2DMG|2TLV|2CDMG	1RCR|29DMG|356DUR|45TLV|59BPWR|79VULN|89CDMG|aRMIN
81	61523 21124	4	   	253.11	ACR|2VULN|3DUR|2DMG|2TLV|2CDMG	1RCR|29DMG|356DUR|45TLV|59BPWR|79VULN|89CDMG|aERES
82	62236 12521	9	   	252.92	ACR|3VULN|2DMG|2TLV|2DUR	1RCR|289VULN|38TLV|4FEWX|56DUR|78DMG|8BPWR|aASPD
83	62236 12521	10	   	252.92	ACR|3VULN|2DMG|2TLV|2DUR	1RCR|289VULN|38TLV|4FEWX|56DUR|78DMG|8BPWR|aLIT
84	62236 12522	10	   	252.92	ACR|3VULN|2DMG|2TLV|2DUR	1RCR|289VULN|38TLV|4FEWX|56DUR|78DMG|8BPWR|aASPD
85	62236 12523	9	   	252.92	ACR|3VULN|2DMG|2TLV|2DUR	1RCR|289VULN|38TLV|4FEWX|56DUR|78DMG|8BPWR|aLIT
86	31252 26134	9	   	252.85	DCR|3VULN|2DMG|1TLV|2LIT	1aDMG|2MLV|3BELT|49aVULN|5TLV|6BEXP|7RCR|8aLIT|aBPWR
87	25415 13121	4	   	252.59	DCR|3VULN|1TLV|1DMG|2AART|2LIT	1ZMB|27AART|35LIT|458VULN|5BPWR|6RCR|9DMG|aTLV
88	35415 13131	4	   	252.59	DCR|3VULN|1TLV|1DMG|2AART|2LIT	1DMG|27AART|35LIT|458VULN|5BPWR|6RCR|9RMIN|aTLV
89	35415 13311	4	   	252.59	DCR|3VULN|1TLV|1DMG|2AART|2LIT	1DMG|27AART|35LIT|459VULN|5BPWR|6RCR|8RMIN|aTLV
90	34227 13224	1	 * 	252.50	DCR|4VULN|2DMG|2CDMG	19DMG|2MBVNT|359aVULN|456ERES|59BPWR|7RCR|89CDMG
91	35415 11213	4	   	252.45	DCR|3VULN|2DMG|2ASPD|2LIT|1AART	1aDMG|2AART|35LIT|45aVULN|5aBPWR|6RCR|7TBNT|8RPLT|9aASPD
92	62262 33511	10	   	251.77	ACR|3VULN|2DUR|1TLV|1DMG|2LIT|1AART	1RCR|248VULN|3TLV|5AART|68LIT|78DUR|8BPWR|9ASPD|aDMG
93	35212 24126	3	   	251.46	DCR|5VULN|1DMG|1AART	1DMG|2AART|34678VULN|56LHND|6BPWR|9RCR|aASPD
94	31312 62635	8	   	251.40	DCR|3VULN|2DMG|1TLV|1CDMG|1SELL	17DMG|27MLV|3LWND|4TLV|5SELL|678VULN|7BPWR|9RCR|aCDMG
95	32332 62635	8	   	251.40	DCR|3VULN|2DMG|1TLV|1CDMG|1SELL	17DMG|27LHND|3CGEN|4TLV|5SELL|678VULN|7BPWR|9RCR|aCDMG
96	61512 25133	8	   	251.39	ACR|3VULN|2DMG|2DUR|1TLV|2LIT	1RCR|28DMG|38DUR|47LIT|5FEWX|689VULN|8BPWR|aTLV
97	61531 25133	8	   	251.39	ACR|3VULN|2DMG|2DUR|1TLV|2LIT	1RCR|28DMG|38DUR|4FEWX|57LIT|689VULN|8BPWR|aTLV
98	35213 24126	5	   	251.26	DCR|5VULN|1DMG|1AART	1DMG|2AART|35678VULN|46DUST|6BPWR|9RCR|aASPD
99	32111 35443	10	 * 	251.20	ACR|4VULN|2DMG|1TLV|2ASPD	1aDMG|2LHND|3aASPD|4TLV|5RCR|6LIT|789aVULN|aBPWR
100	25415 13132	4	 * 	250.92	DCR|5VULN|3LIT|2AART	19ZMB|27AART|359LIT|4589aVULN|59BPWR|6RCR
101	41542 12312	4	   	250.65	DCR|3VULN|3DMG|1CDMG|1AART	1LHND|257DMG|3RPLT|45aVULN|5BPWR|6AART|8CDMG|9RCR
102	41552 12312	3	   	250.65	DCR|3VULN|3DMG|1CDMG|1AART	1LHND|257DMG|3RPLT|45aVULN|5BPWR|6AART|8CDMG|9RCR
103	62222 13163	5	   	250.28	ACR|3VULN|2DMG|2DUR|1TLV|1CDMG	1RCR|269VULN|3TLV|49MLV|56DUR|69BPWR|7LWND|89DMG|aCDMG
104	35415 13122	4	 * 	250.12	DCR|3VULN|2DMG|3AART|2LIT	19DMG|27aAART|35LIT|458VULN|5BPWR|6RCR
105	51126 23321	10	   	249.74	DCR|2VULN|3DUR|2TLV|1CDMG	1RPLT|29aDUR|3CDMG|49TLV|5LIT|6LWND|7RCR|89VULN|9BPWR
106	35214 23311	3	 * 	249.73	DCR|3VULN|1TLV|1DMG|2CDMG|1AART	1DMG|2AART|347VULN|56CDMG|8MBVNT|9RCR|aTLV
107	63231 23624	1	 * 	249.52	ACR|5VULN|2DMG|2DUR	1RCR|2DUST|3589aVULN|45DUR|5BPWR|67DMG
108	62262 33532	9	 * 	249.45	ACR|4VULN|2DUR|1TLV|3LIT|1AART	1RCR|248aVULN|3TLV|5AART|689LIT|78DUR|8BPWR
109	34236 23713	1	   	249.36	DCR|4VULN|1TLV|1DMG	1DMG|2MBVNT|3568VULN|4DUST|7RCR|9LIT|aTLV
110	62263 42321	9	   	248.98	ACR|3VULN|2TLV|2DUR|1DMG|1CDMG	1RCR|249VULN|39TLV|5LIT|6BELT|7CDMG|89DUR|9BPWR|aDMG
111	35116 22112	3	   	248.81	DCR|2VULN|2DMG|2DUR|2AART|1CDMG	1aDMG|25AART|36DUR|46VULN|6BPWR|7BBNT|8RCR|9CDMG
112	35516 22112	2	   	248.81	DCR|2VULN|2DMG|2DUR|2AART|1CDMG	1aDMG|25AART|36DUR|46VULN|6BPWR|7BBNT|8RCR|9CDMG
113	61523 21211	4	   	248.80	ACR|2VULN|3DMG|3DUR|3TLV	1RCR|289DMG|356DUR|458TLV|58BPWR|78VULN|aMLV
114	61523 21213	4	   	248.80	ACR|2VULN|3DMG|3DUR|3TLV	1RCR|289DMG|356DUR|458TLV|58BPWR|78VULN|aBEXP
115	61523 21215	4	   	248.80	ACR|2VULN|3DMG|3DUR|3TLV	1RCR|289DMG|356DUR|458TLV|58BPWR|78VULN|aDMSP
116	12371 54362	1	 * 	248.71	DCR|4VULN|3DUR|1AART	1RMIN|2MBVNT|379DUR|4AART|5TBNT|679aVULN|79BPWR|8RCR
117	61522 21233	5	   	248.70	ACR|2VULN|3DMG|3DUR|2TLV	1RCR|28aDMG|356DUR|48TLV|78VULN|8BPWR|9DUST
118	61522 61233	6	   	248.70	ACR|2VULN|3DMG|3DUR|2TLV	1RCR|28aDMG|356DUR|48TLV|78VULN|8BPWR|9DUST
119	61522 63233	7	   	248.70	ACR|2VULN|3DMG|3DUR|2TLV	1RCR|28aDMG|356DUR|48TLV|78VULN|8BPWR|9DUST
120	61523 21214	4	   	248.70	ACR|2VULN|3DMG|3DUR|3TLV	1RCR|289DMG|356DUR|458TLV|58BPWR|78VULN|aDUST
121	53151 63323	10	   	248.50	DCR|2VULN|2DUR|1TLV|1DMG|1CDMG	1RPLT|29LWND|3CDMG|49DUR|5LIT|6DMG|7RCR|89VULN|9BPWR|aTLV
122	51221 25532	6	   	247.98	DCR|4VULN|2DUR|1CDMG	1RPLT|27DUR|37LHND|4CDMG|5LIT|6789VULN|7BPWR|aRCR
123	34227 13226	1	   	247.70	DCR|3VULN|2DMG|2CDMG|1DUR	19DMG|2MBVNT|359VULN|456ERES|59BPWR|7RCR|89CDMG|aDUR
124	51241 62233	1	 * 	247.65	DCR|2VULN|3DUR|2TLV|2CDMG	1RPLT|257DUR|3BBNT|49TLV|69VULN|89CDMG|9BPWR|aRCR
125	51241 62233	2	   	247.65	DCR|2VULN|3DUR|2TLV|2CDMG	1RPLT|257DUR|3BBNT|49TLV|69VULN|89CDMG|9BPWR|aRCR
126	51122 21433	5	   	247.65	DCR|2VULN|3DUR|2TLV|2CDMG	1RPLT|256DUR|39CDMG|49TLV|79VULN|8BBNT|9BPWR|aRCR
127	51122 61433	6	   	247.65	DCR|2VULN|3DUR|2TLV|2CDMG	1RPLT|256DUR|39CDMG|49TLV|79VULN|8BBNT|9BPWR|aRCR
128	51122 63433	7	   	247.65	DCR|2VULN|3DUR|2TLV|2CDMG	1RPLT|256DUR|39CDMG|49TLV|79VULN|8BBNT|9BPWR|aRCR
129	34211 46622	1	   	247.59	DCR|4VULN|2DMG|2LIT	17DMG|2MBVNT|3789VULN|4FEWX|5LHND|67LIT|7BPWR|aRCR
130	34241 46622	1	   	247.59	DCR|4VULN|2DMG|2LIT	17DMG|2MBVNT|3789VULN|4LWND|5LHND|67LIT|7BPWR|aRCR
131	35231 17844	9	   	247.55	DCR|3VULN|2DMG|1TLV|1AART	19DMG|2AART|359VULN|4DMSP|6MBVNT|7RCR|89ZMB|9BPWR|aTLV
132	61512 21162	9	   	247.51	ACR|3VULN|3DMG|3DUR	1RCR|289DMG|378DUR|4LIT|5FEWX|68aVULN|8BPWR
133	61531 21162	9	   	247.51	ACR|3VULN|3DMG|3DUR	1RCR|289DMG|378DUR|4FEWX|5LIT|68aVULN|8BPWR
134	34214 46622	1	   	247.49	DCR|4VULN|2DMG|2LIT	17DMG|2MBVNT|3789VULN|4FEWX|5DUST|67LIT|7BPWR|aRCR
135	34231 46622	1	   	247.49	DCR|4VULN|2DMG|2LIT	17DMG|2MBVNT|3789VULN|4DUST|5LHND|67LIT|7BPWR|aRCR
136	34244 46622	1	   	247.49	DCR|4VULN|2DMG|2LIT	17DMG|2MBVNT|3789VULN|4LWND|5DUST|67LIT|7BPWR|aRCR
137	35231 17444	9	   	247.45	DCR|3VULN|2DMG|1TLV|1AART	19DMG|2AART|359VULN|4DMSP|6MBVNT|7RCR|8RMIN|9BPWR|aTLV
138	35233 51225	8	   	247.31	DCR|2VULN|2DMG|1TLV|1DUR|1AART	16DMG|2AART|3aVULN|4DMSP|5TLV|7LIT|8RCR|9DUR
139	34227 13228	1	   	247.10	DCR|3VULN|3DMG|2CDMG	19aDMG|2MBVNT|359VULN|456ERES|59BPWR|7RCR|89CDMG
140	51131 63326	9	   	246.99	DCR|3VULN|2DUR|1DMG|1CDMG	1RPLT|29DUR|3CDMG|49FEWX|5LIT|6DMG|7RCR|89aVULN|9BPWR
141	32214 14342	2	   	246.69	DCR|2VULN|3DMG|2TLV|1AART	178DMG|28LHND|3aVULN|4FEWX|5AART|68TLV|8BPWR|9RCR
142	33234 14342	2	   	246.69	DCR|2VULN|3DMG|2TLV|1AART	178DMG|28FEWX|3aVULN|4LHND|5AART|68TLV|8BPWR|9RCR
143	62263 43113	6	   	246.64	ACR|3VULN|2DMG|2TLV|1DUR	1RCR|249VULN|39TLV|5LIT|6BELT|7DUR|89DMG|9BPWR|aASPD
144	12433 21818	1	   	246.61	DCR|2VULN|3DMG|3DUR	1RMIN|2MBVNT|35aDMG|456DUR|5aBPWR|7aVULN|8RCR|9BBNT
145	35222 14341	5	   	246.59	DCR|2VULN|3DMG|2TLV|1AART	178DMG|2AART|38VULN|4BEXP|5LHND|68TLV|8BPWR|9RCR|aERES
146	35212 14341	5	   	246.49	DCR|2VULN|3DMG|2TLV|1AART	178DMG|2AART|38VULN|4DUST|5LHND|68TLV|8BPWR|9RCR|aERES
147	31464 41712	7	   	246.20	DCR|3VULN|2DMG|1TLV	17DMG|27MLV|3TLV|4MBVNT|5LWND|678VULN|7BPWR|9LIT|aRCR
148	31464 72312	4	   	246.10	DCR|3VULN|2DMG|1TLV	16DMG|2MLV|3TLV|4MBVNT|567VULN|6BPWR|8BEXP|9LIT|aRCR
149	41112 63313	8	   	246.05	DCR|3VULN|2DMG|1TLV|1SELL	17LHND|27DMG|3ASPD|4TLV|5SELL|67aVULN|7BPWR|8RPLT|9RCR
150	32112 63313	8	   	246.05	DCR|3VULN|2DMG|1TLV|1SELL	17DMG|27LHND|3ASPD|4TLV|5SELL|67aVULN|7BPWR|8RPLT|9RCR
151	32112 63643	8	   	246.05	DCR|3VULN|2DMG|1TLV|1SELL	17DMG|279LHND|3ASPD|4TLV|5SELL|678VULN|7BPWR|aRCR
152	31464 72132	4	   	246.00	DCR|3VULN|2DMG|1TLV	16DMG|2MLV|3TLV|4MBVNT|567VULN|6BPWR|8LIT|9DUST|aRCR
153	32533 34262	7	 * 	245.97	DCR|3VULN|2DMG|3TLV	1aDMG|2LHND|38RPLT|45aTLV|69aVULN|7RCR|aBPWR
154	14643 32133	4	   	245.93	DCR|3VULN|2DUR|1TLV|2LIT	1RMIN|28DUR|3RPLT|48aVULN|5LEGI|68LIT|7RCR|8BPWR|9TLV
155	34372 23271	1	   	245.91	DCR|2VULN|3DUR|2DMG|2LIT	17DMG|2MBVNT|3CGEN|47LIT|579DUR|6RCR|7BPWR|8aVULN
156	34372 23151	1	   	245.91	DCR|2VULN|3DUR|2DMG|2LIT	17DMG|2MBVNT|3CGEN|47LIT|578DUR|6RCR|7BPWR|9aVULN
157	35453 13323	9	   	245.89	DCR|2VULN|2DMG|2TLV|2LIT|1AART	19DMG|2AART|39LIT|48TLV|5LHND|6RPLT|79VULN|9BPWR|aRCR
158	31252 54134	8	   	245.87	DCR|3VULN|2DMG|2TLV	1aDMG|2MLV|3BELT|47aVULN|5aTLV|6LEGI|8MBVNT|9RCR|aBPWR
159	31464 73221	4	   	245.87	DCR|3VULN|2DMG|2TLV	16DMG|2MLV|38TLV|4MBVNT|569VULN|6BPWR|7RCR|aRCVC
160	31464 73223	4	   	245.87	DCR|3VULN|2DMG|2TLV	16DMG|2MLV|38TLV|4MBVNT|569VULN|6BPWR|7RCR|aLHND
161	34438 23151	1	   	245.81	DCR|2VULN|3DUR|2DMG|2LIT	17DMG|2MBVNT|3ERES|478DUR|57LIT|6RCR|7BPWR|9aVULN
162	34438 23271	1	   	245.81	DCR|2VULN|3DUR|2DMG|2LIT	17DMG|2MBVNT|3ERES|479DUR|57LIT|6RCR|7BPWR|8aVULN
163	34472 23271	1	   	245.81	DCR|2VULN|3DUR|2DMG|2LIT	17DMG|2MBVNT|3ERES|47LIT|579DUR|6RCR|7BPWR|8aVULN
164	34472 23151	1	   	245.81	DCR|2VULN|3DUR|2DMG|2LIT	17DMG|2MBVNT|3ERES|47LIT|578DUR|6RCR|7BPWR|9aVULN
