0	Index      	Bounty	 *	Score 	Summary	Detail	
1	51124 35222	7	 * 	314.50	DCR|4VULN|3DMG|3CDMG|1TLV|1ASPD	1489VULN|2ASPD|389DMG|5FEWX|6TLV|789CDMG|89BPWR|aRCR
44	51115 31161	4	   	293.37	DCR|3VULN|3DMG|3DUR|1ASPD	19aVULN|2ASPD|39aDMG|4ERES|5LEGI|6DUST|79aDUR|8RCR|9aBPWR
45	52334 26322	6	   	292.47	DCR|4VULN|2DMG|2DUR|1TLV	1578VULN|27DUR|3TLV|4ZMB|67DMG|7BPWR|9CGEN|aRCR
46	52134 26332	6	   	292.47	DCR|4VULN|2DMG|2DUR|1TLV	1578VULN|27DUR|3CGEN|4ZMB|67DMG|7BPWR|9TLV|aRCR
47	52334 26332	6	   	292.37	DCR|4VULN|2DMG|2DUR|1TLV	1578VULN|27DUR|3TLV|4ZMB|67DMG|7BPWR|9ERES|aRCR
48	52341 23224	10	   	292.27	DCR|4VULN|2DMG|2DUR|1TLV	1789VULN|24DUR|3TLV|56DMG|aRCR
49	51123 35162	5	 * 	291.92	DCR|4VULN|3DMG|2ASPD	1478VULN|28ASPD|358DMG|6AART|8BPWR|9RCR|aDMSP
50	51123 35163	5	   	291.92	DCR|4VULN|3DMG|2ASPD	1478VULN|28ASPD|358DMG|6AART|8BPWR|9RCR|aFEWX
51	51134 35222	7	   	291.86	DCR|3VULN|3DMG|3CDMG|1TLV|1ASPD	189VULN|2ASPD|389DMG|4DMSP|5FEWX|6TLV|789CDMG|89BPWR|aRCR
52	51123 35161	5	   	291.82	DCR|4VULN|3DMG|2ASPD	1478VULN|28ASPD|358DMG|6AART|8BPWR|9RCR|aTBNT
53	12123 35122	10	   	289.45	DCR|4VULN|3DUR|2DMG	1RCVC|238DUR|4678VULN|58DMG|8BPWR|9RCR|aZMB
54	12123 35124	10	   	289.45	DCR|4VULN|3DUR|2DMG	1RCVC|238DUR|4678VULN|58DMG|8BPWR|9RCR|aMLV
55	12123 35124	9	   	289.45	DCR|4VULN|3DUR|2DMG	1aRCVC|238DUR|4678VULN|58DMG|8BPWR|9RCR
56	12123 35125	10	   	289.45	DCR|4VULN|3DUR|2DMG	1RCVC|238DUR|4678VULN|58DMG|8BPWR|9RCR|aLWND
57	12123 35126	9	   	289.45	DCR|4VULN|3DUR|2DMG	1RCVC|238DUR|4678VULN|58DMG|8BPWR|9RCR|aLHND
58	12123 35312	8	   	289.45	DCR|4VULN|3DUR|2DMG	18RCVC|239DUR|4679VULN|59DMG|9BPWR|aRCR
59	52623 36312	8	   	289.45	DCR|4VULN|3DUR|2DMG	1469VULN|239DUR|59DMG|78RCVC|9BPWR|aRCR
60	52633 35312	8	   	289.45	DCR|4VULN|3DUR|2DMG	1679VULN|239DUR|4DMSP|59DMG|8RCVC|9BPWR|aRCR
61	52633 36122	8	   	289.45	DCR|4VULN|3DUR|2DMG	1689VULN|238DUR|4DMSP|58DMG|7RCVC|8BPWR|aRCR
62	52633 36312	7	   	289.45	DCR|4VULN|3DUR|2DMG	1689VULN|239DUR|4DMSP|59DMG|7RCVC|9BPWR|aRCR
63	12123 36122	8	   	289.45	DCR|4VULN|3DUR|2DMG	17RCVC|238DUR|4689VULN|58DMG|8BPWR|aRCR
64	12123 36162	9	   	289.45	DCR|4VULN|3DUR|2DMG	17RCVC|238DUR|4689VULN|58DMG|8BPWR|aRCR
65	12123 36312	7	   	289.45	DCR|4VULN|3DUR|2DMG	17RCVC|239DUR|4689VULN|59DMG|9BPWR|aRCR
66	52623 36122	10	   	289.45	DCR|4VULN|3DUR|2DMG	1468VULN|238DUR|58DMG|7RCVC|8BPWR|9RCR|aZMB
67	52633 35122	10	   	289.45	DCR|4VULN|3DUR|2DMG	1678VULN|238DUR|4DMSP|58DMG|8BPWR|9RCR|aZMB
68	12123 35123	10	   	289.35	DCR|4VULN|3DUR|2DMG	1RCVC|238DUR|4678VULN|58DMG|8BPWR|9RCR|aDUST
69	12123 35125	9	   	289.35	DCR|4VULN|3DUR|2DMG	1RCVC|238DUR|4678VULN|58DMG|8BPWR|9RCR|aERES
70	12123 35155	8	   	289.35	DCR|4VULN|3DUR|2DMG	1RCVC|238DUR|4678VULN|58DMG|8BPWR|9ERES|aRCR
71	52623 33161	6	   	289.35	DCR|4VULN|3DUR|2DMG	1469VULN|239DUR|59DMG|7BBNT|8RCR|9BPWR|aMLV
72	52623 33163	6	   	289.35	DCR|4VULN|3DUR|2DMG	1469VULN|239DUR|59DMG|7BBNT|8RCR|9BPWR|aFEWX
73	52623 36123	10	   	289.35	DCR|4VULN|3DUR|2DMG	1468VULN|238DUR|58DMG|7RCVC|8BPWR|9RCR|aDUST
74	52633 35123	10	   	289.35	DCR|4VULN|3DUR|2DMG	1678VULN|238DUR|4DMSP|58DMG|8BPWR|9RCR|aDUST
75	52623 33162	6	   	289.25	DCR|4VULN|3DUR|2DMG	1469VULN|239DUR|59DMG|7BBNT|8RCR|9BPWR|aERES
76	12123 35123	9	   	289.21	DCR|4VULN|3DUR|2DMG|1SELL	1RCVC|238DUR|4678VULN|58DMG|8BPWR|9RCR|aSELL
77	52623 36123	9	   	289.21	DCR|4VULN|3DUR|2DMG|1SELL	1468VULN|238DUR|58DMG|7RCVC|8BPWR|9RCR|aSELL
78	52633 35123	9	   	289.21	DCR|4VULN|3DUR|2DMG|1SELL	1678VULN|238DUR|4DMSP|58DMG|8BPWR|9RCR|aSELL
79	53333 36112	3	   	287.74	DCR|5VULN|2DUR|2TLV	1457aVULN|2LHND|37TLV|67DUR|7BPWR|8RCR|9AART
80	54333 36112	3	   	287.74	DCR|5VULN|2DUR|2TLV	1457aVULN|2LWND|37TLV|67DUR|7BPWR|8RCR|9AART
81	53333 36125	3	   	286.91	DCR|4VULN|2DUR|2TLV|1DMG	1457VULN|2LHND|37TLV|67DUR|7BPWR|8RCR|9LIT|aDMG
82	12123 52145	6	   	286.77	DCR|3VULN|3DUR|2DMG|2TLV	1RCVC|238DUR|479VULN|59DMG|69TLV|9BPWR|aRCR
83	12123 53145	7	   	286.77	DCR|3VULN|3DUR|2DMG|2TLV	1RCVC|238DUR|479VULN|59DMG|69TLV|9BPWR|aRCR
84	12123 44611	7	   	285.79	DCR|4VULN|2DMG|2DUR	1RCVC|23DUR|469aVULN|56DMG|6BPWR|7AART|8RCR
85	12123 44611	6	   	285.79	DCR|4VULN|2DMG|2DUR	1RCVC|23DUR|469aVULN|56DMG|6BPWR|7AART|8RCR
86	13123 44611	7	   	285.79	DCR|4VULN|2DMG|2DUR	1RCVC|249aVULN|36DUR|56DMG|6BPWR|7AART|8RCR
87	13123 44611	6	   	285.79	DCR|4VULN|2DMG|2DUR	1RCVC|249aVULN|36DUR|56DMG|6BPWR|7AART|8RCR
88	21343 43261	4	 * 	285.39	DCR|3VULN|3DMG|3ASPD|1DUR	1DUST|29aASPD|3BEXP|4DUR|59aVULN|6ERES|7RCR|89aDMG|9aBPWR
89	21423 14161	6	   	285.39	DCR|3VULN|3DMG|3ASPD|1DUR	1DUST|29aASPD|3ERES|4DUR|59aDMG|6FEWX|79aVULN|8RCR|9aBPWR
90	51211 14151	2	 * 	284.60	DCR|5VULN|2ASPD|1DMG|1DUR	13567VULN|24ASPD|8RCR|9DUR|aDMG
