0	Index      	Bounty	 *	Score 	Summary	Detail	
1	36121 32362	4	 * 	296.43	DCR|3VULN|3DUR|2DMG|3LIT	17aDUR|25DMG|35aVULN|4AART|5aBPWR|69aLIT|8RCR
34	13121 44125	10	   	276.67	DCR|3VULN|3DUR|2DMG	167LWND|2aDMG|37aVULN|4AART|57aDUR|7aBPWR|8RCR|9RCVC
35	13121 64125	10	   	276.67	DCR|3VULN|3DUR|2DMG	17aLWND|2aDMG|37aVULN|4AART|567DUR|7aBPWR|8RCR|9RCVC
36	36121 34125	10	   	276.67	DCR|3VULN|3DUR|2DMG	157DUR|2aDMG|37aVULN|4AART|67aBEXP|7aBPWR|8RCR|9RCVC
37	13121 64134	8	   	276.57	DCR|3VULN|3DUR|2DMG	179LWND|2aDMG|37aVULN|4AART|567DUR|7aBPWR|8RCR
38	43121 64133	10	   	276.47	DCR|3VULN|3DUR|2DMG	17DMG|2BEXP|37aVULN|4AART|567DUR|7BPWR|8RCR|9RMIN
39	32233 34145	10	   	276.47	DCR|3VULN|3DUR|2DMG	156DUR|29aVULN|3aDMG|4aBEXP|7AART|8RCR|aBPWR
40	32221 12326	5	   	276.27	DCR|3VULN|3DUR|2DMG	157DUR|269VULN|38DMG|4AART|aRCR
41	36121 12326	5	   	276.27	DCR|3VULN|3DUR|2DMG	157DUR|28DMG|369VULN|4AART|aRCR
42	42144 13111	10	 * 	276.12	DCR|4VULN|2DMG|2DUR	19DMG|2DUST|389aVULN|4ZMB|5LWND|69DUR|7RCR|9BPWR
43	35316 11114	9	 * 	275.52	DCR|2VULN|3DMG|3DUR|2TLV	126DUR|38TLV|4FEWX|589DMG|78VULN|8BPWR|aRCR
44	35341 21114	9	   	275.52	DCR|2VULN|3DMG|3DUR|2TLV	124DUR|38TLV|5LHND|689DMG|78VULN|8BPWR|aRCR
45	32213 11533	4	   	275.47	DCR|4VULN|1DMG|1DUR|1CDMG	1DUR|2458VULN|3DMG|6CDMG|7LIT|9AART|aRCR
46	36113 11533	4	   	275.47	DCR|4VULN|1DMG|1DUR|1CDMG	1DUR|2DMG|3458VULN|6CDMG|7LIT|9AART|aRCR
47	35343 21114	9	   	275.42	DCR|2VULN|3DMG|3DUR|2TLV	124DUR|38TLV|5DUST|689DMG|78VULN|8BPWR|aRCR
48	32316 36361	10	   	275.12	DCR|3VULN|3DUR|2DMG	159DUR|29aVULN|3LWND|4LIT|6RMIN|79DMG|8RCR|9BPWR
49	32316 36361	9	   	275.12	DCR|3VULN|3DUR|2DMG	159DUR|29aVULN|3LWND|4LIT|6RMIN|79DMG|8RCR|9BPWR
50	32213 12136	4	   	275.09	DCR|4VULN|2DMG|1DUR|1CDMG	1DUR|245aVULN|37DMG|6CDMG|8LWND|9RCR
51	32213 15236	4	   	275.09	DCR|4VULN|2DMG|1DUR|1CDMG	1DUR|245aVULN|38DMG|6CDMG|7FEWX|9RCR
52	36113 12136	4	   	275.09	DCR|4VULN|2DMG|1DUR|1CDMG	1DUR|27DMG|345aVULN|6CDMG|8LWND|9RCR
53	36113 15236	4	   	275.09	DCR|4VULN|2DMG|1DUR|1CDMG	1DUR|28DMG|345aVULN|6CDMG|7FEWX|9RCR
54	43111 33236	7	   	275.09	DCR|4VULN|2DMG|1DUR|1CDMG	18DMG|2BEXP|346aVULN|5CDMG|7DUR|9RCR
55	43123 44112	9	 * 	274.91	DCR|4VULN|2DMG|3LIT	1aDMG|2BEXP|358aVULN|4AART|67aLIT|9RCR|aBPWR
56	42123 44112	9	   	274.81	DCR|4VULN|2DMG|3LIT	1aDMG|2DUST|358aVULN|4AART|67aLIT|9RCR|aBPWR
57	32212 13332	6	 * 	274.76	DCR|2VULN|3DUR|2DMG|2ASPD|1CDMG	167DUR|24VULN|37DMG|57ASPD|7BPWR|8CDMG|9FEWX|aRCR
58	32212 13342	6	   	274.66	DCR|2VULN|3DUR|2DMG|2ASPD|1CDMG	167DUR|24VULN|37DMG|57ASPD|7BPWR|8CDMG|9DUST|aRCR
59	32213 16336	4	   	273.75	DCR|4VULN|1DMG|1TLV|1DUR|1CDMG	1DUR|245aVULN|3DMG|6CDMG|7TLV|8CGEN|9RCR
60	36113 16336	4	   	273.75	DCR|4VULN|1DMG|1TLV|1DUR|1CDMG	1DUR|2DMG|345aVULN|6CDMG|7TLV|8CGEN|9RCR
61	32214 22326	5	 * 	273.55	DCR|3VULN|2DMG|2DUR|2CDMG	19DUR|249VULN|36DMG|5RPLT|7CGEN|89CDMG|9BPWR|aRCR
62	33613 23626	4	   	273.55	DCR|3VULN|2DMG|2DUR|2CDMG	19DUR|2RPLT|38CDMG|459VULN|6RMIN|79DMG|9BPWR|aRCR
63	33615 22111	10	   	273.45	DCR|3VULN|2DMG|2DUR|2CDMG	19DUR|2RPLT|39CDMG|48aVULN|5DUST|6RCR|79DMG|9BPWR
64	32224 54112	8	 * 	273.20	DCR|2VULN|3DMG|2DUR|2ASPD	1aDUR|28VULN|39aDMG|4AART|5aASPD|6RPLT|7RCR|aBPWR
65	36621 32236	7	   	272.21	DCR|3VULN|2DUR|1DMG|2CDMG|1TLV	18DUR|2DMG|38CGEN|4TLV|56CDMG|78aVULN|8BPWR|9RCR
66	44613 31323	5	   	272.19	DCR|2VULN|3DUR|2DMG|2AART|2LIT	17DMG|23LIT|47VULN|567DUR|7BPWR|89AART|aRCR
67	32213 15136	4	   	272.09	DCR|4VULN|2DUR|1DMG|1CDMG	18DUR|245aVULN|3DMG|6CDMG|7FEWX|9RCR
68	36113 15136	4	   	272.09	DCR|4VULN|2DUR|1DMG|1CDMG	18DUR|2DMG|345aVULN|6CDMG|7FEWX|9RCR
69	43111 33136	7	   	272.09	DCR|4VULN|2DUR|1DMG|1CDMG	1DMG|2BEXP|346aVULN|5CDMG|78DUR|9RCR
70	32222 44112	9	   	271.85	DCR|2VULN|3DMG|2DUR|3LIT	1aDUR|28VULN|35aDMG|4AART|67aLIT|9RCR|aBPWR
71	35226 11114	9	   	271.80	DCR|2VULN|3DMG|3DUR|1TLV	126DUR|38LWND|4TLV|589DMG|78VULN|8BPWR|aRCR
72	32224 62351	10	   	271.52	DCR|3VULN|2DUR|1DMG|2LIT|1ASPD	1aDUR|29aVULN|3DMG|4AART|5ASPD|6RCR|7aLIT|8RCVC|aBPWR
73	32221 32341	4	   	271.45	DCR|3VULN|2DMG|2DUR	17DUR|25aVULN|35DMG|4AART|5BPWR|6LIT|8RCR|9RPLT
74	36121 32341	4	   	271.45	DCR|3VULN|2DMG|2DUR	17DUR|25DMG|35aVULN|4AART|5BPWR|6LIT|8RCR|9RPLT
75	31214 22363	10	   	271.11	DCR|2VULN|3DUR|2DMG|1TLV|2LIT	159DUR|2LWND|39DMG|45VULN|59BPWR|6ZMB|79LIT|8RCR|aTLV
76	31214 22366	10	   	270.51	DCR|2VULN|3DMG|3DUR|2LIT	159DUR|2LWND|39aDMG|45VULN|59BPWR|6ZMB|79LIT|8RCR
77	32211 21533	5	   	270.42	DCR|3VULN|2DMG|1DUR|1CDMG	1DUR|248VULN|36DMG|5CDMG|7LIT|9AART|aRCR
78	36111 21533	5	   	270.42	DCR|3VULN|2DMG|1DUR|1CDMG	1DUR|26DMG|348VULN|5CDMG|7LIT|9AART|aRCR
79	43112 12135	7	   	269.87	DCR|3VULN|2DMG|3LIT|1DUR|1ASPD	19DMG|2BEXP|349VULN|5ASPD|6DUR|789LIT|9BPWR|aRCR
80	43112 12235	8	   	269.87	DCR|3VULN|2DMG|3LIT|1DUR|1ASPD	19DMG|2BEXP|349VULN|5ASPD|6DUR|789LIT|9BPWR|aRCR
81	43112 14135	6	   	269.87	DCR|3VULN|2DMG|3LIT|1DUR|1ASPD	19DMG|2BEXP|349VULN|5ASPD|6DUR|789LIT|9BPWR|aRCR
82	45112 12135	7	   	269.87	DCR|3VULN|2DMG|3LIT|1DUR|1ASPD	19DMG|2FEWX|349VULN|5ASPD|6DUR|789LIT|9BPWR|aRCR
83	45112 12235	8	   	269.87	DCR|3VULN|2DMG|3LIT|1DUR|1ASPD	19DMG|2FEWX|349VULN|5ASPD|6DUR|789LIT|9BPWR|aRCR
84	42112 12135	7	   	269.77	DCR|3VULN|2DMG|3LIT|1DUR|1ASPD	19DMG|2DUST|349VULN|5ASPD|6DUR|789LIT|9BPWR|aRCR
85	42112 12235	8	   	269.77	DCR|3VULN|2DMG|3LIT|1DUR|1ASPD	19DMG|2DUST|349VULN|5ASPD|6DUR|789LIT|9BPWR|aRCR
86	42112 14135	6	   	269.77	DCR|3VULN|2DMG|3LIT|1DUR|1ASPD	19DMG|2DUST|349VULN|5ASPD|6DUR|789LIT|9BPWR|aRCR
87	43112 11625	4	   	269.75	DCR|4VULN|2DMG|1TLV	17DMG|2BEXP|348aVULN|5LIT|6TLV|9RCR
88	42112 11625	4	   	269.65	DCR|4VULN|2DMG|1TLV	17DMG|2DUST|348aVULN|5LIT|6TLV|9RCR
89	36122 44312	9	   	269.43	DCR|2VULN|3DUR|2DMG|3LIT	18aDUR|25DMG|3aVULN|4AART|67aLIT|9RCR|aBPWR
90	36122 44332	7	   	269.43	DCR|2VULN|3DUR|2DMG|3LIT	19aDUR|25DMG|3aVULN|4AART|67aLIT|8RCR|aBPWR
91	32221 44112	9	   	269.43	DCR|2VULN|3DUR|2DMG|3LIT	15aDUR|28VULN|3aDMG|4AART|67aLIT|9RCR|aBPWR
92	36121 43362	7	   	269.43	DCR|2VULN|3DUR|2DMG|3LIT	15aDUR|27DMG|3aVULN|4AART|69aLIT|8RCR|aBPWR
93	36122 32362	5	   	269.43	DCR|2VULN|3DUR|2DMG|3LIT	17aDUR|25DMG|3aVULN|4AART|69aLIT|8RCR|aBPWR
94	36122 42362	6	   	269.43	DCR|2VULN|3DUR|2DMG|3LIT	17aDUR|25DMG|3aVULN|4AART|69aLIT|8RCR|aBPWR
95	36122 42362	7	   	269.43	DCR|2VULN|3DUR|2DMG|3LIT	17aDUR|25DMG|3aVULN|4AART|69aLIT|8RCR|aBPWR
96	31214 24316	5	   	269.11	DCR|2VULN|3DMG|3DUR|1CDMG	157DUR|2LWND|39aDMG|45VULN|5BPWR|6RCR|8CDMG
97	32241 25513	9	 * 	269.09	DCR|3VULN|3DUR|2TLV|1DMG|1NUKE	17aDUR|28aVULN|3DMG|4ZMB|5NUKE|6RCR|9aTLV|aBPWR
98	36114 32362	4	   	268.99	DCR|3VULN|3DUR|3LIT|1DMG	17aDUR|2DMG|34aVULN|5DLOT|69aLIT|8RCR|aBPWR
99	52134 32433	6	   	268.96	DCR|3VULN|2DUR|1DMG|1CDMG|1ASPD	1LIT|28BEXP|3CDMG|4DMG|589VULN|6ASPD|78DUR|8BPWR|aRCR
100	32211 26336	5	   	268.70	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	1DUR|24aVULN|36DMG|5CDMG|7TLV|8CGEN|9RCR
101	36111 26336	5	   	268.70	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	1DUR|26DMG|34aVULN|5CDMG|7TLV|8CGEN|9RCR
102	32212 36436	8	   	268.51	DCR|4VULN|1DMG|1DUR|1CDMG|1ASPD	1DUR|248aVULN|3DMG|5ASPD|6CDMG|7CGEN|9RCR
103	32212 36442	10	   	268.51	DCR|4VULN|1DMG|1DUR|1CDMG|1ASPD	1DUR|248aVULN|3DMG|5ASPD|6CDMG|7CGEN|9RCR
104	36214 31211	10	   	268.48	ACR|4VULN|2DMG|2DUR|1CDMG|1ASPD	16DUR|25DMG|3RCR|4589VULN|5BPWR|7ASPD|aCDMG
105	44613 31221	6	   	268.34	DCR|3VULN|2DMG|2DUR|2LIT	17DMG|23LIT|467VULN|57DUR|7BPWR|8ERES|9RCR|aLHND
106	44613 31223	6	   	268.34	DCR|3VULN|2DMG|2DUR|2LIT	17DMG|23LIT|467VULN|57DUR|7BPWR|8ERES|9RCR|aCGEN
107	36214 32226	6	   	268.26	ACR|4VULN|3DUR|2DMG|1ASPD	169DUR|25DMG|3RCR|4579VULN|59BPWR|89FEWX|aASPD
108	44613 31222	6	   	268.24	DCR|3VULN|2DMG|2DUR|2LIT	17DMG|23LIT|467VULN|57DUR|7BPWR|8ERES|9RCR|aBBNT
109	36214 31213	10	   	268.06	ACR|4VULN|3DUR|2DMG|1ASPD	16aDUR|25DMG|3RCR|4589VULN|5BPWR|7ASPD
110	32213 12215	4	   	268.00	DCR|3VULN|3DMG|1DUR|1CDMG	1DUR|245VULN|378DMG|6CDMG|9ERES|aRCR
111	36113 12215	4	   	268.00	DCR|3VULN|3DMG|1DUR|1CDMG	1DUR|278DMG|345VULN|6CDMG|9ERES|aRCR
112	45112 23243	6	 * 	267.92	DCR|3VULN|3DMG|2ASPD	167DMG|2FEWX|347VULN|57ASPD|7BPWR|8BEXP|9LIT|aRCR
113	33614 21216	7	 * 	267.85	DCR|3VULN|2DUR|3CDMG|1TLV	19DUR|2RPLT|359CDMG|459VULN|59BPWR|6RCR|7AART|8TBNT|aTLV
114	41263 32322	1	   	267.58	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG|1ASPD	1aDMG|2ASPD|3BELT|4aVULN|5TLV|6RMIN|7CDMG|8aDUR|9RCR|aBPWR
115	32211 11533	4	   	267.41	DCR|3VULN|2DUR|1DMG|1CDMG	15DUR|248VULN|3DMG|6CDMG|7LIT|9AART|aRCR
116	36111 11533	4	   	267.41	DCR|3VULN|2DUR|1DMG|1CDMG	15DUR|2DMG|348VULN|6CDMG|7LIT|9AART|aRCR
117	53533 21362	9	   	267.25	DCR|2VULN|3DMG|1DUR|2LIT|1CDMG|1ASPD	19LIT|2LWND|349DMG|5DUR|6ASPD|79VULN|8RCR|9BPWR|aCDMG
118	32224 61512	7	   	267.20	DCR|2VULN|2DMG|2DUR|2CDMG|1ASPD	1aDUR|2aVULN|39DMG|4AART|5ASPD|6RCR|7MBVNT|8aCDMG|aBPWR
119	36121 34143	10	   	267.19	DCR|3VULN|3DUR|1DMG	157DUR|2DMG|379VULN|4AART|67BEXP|7BPWR|8RCR|aLIT
120	42144 13112	9	   	267.13	DCR|3VULN|2DMG|2DUR|1CDMG	19DMG|2DUST|389VULN|4ZMB|5LWND|69DUR|7RCR|9BPWR|aCDMG
121	32211 12136	4	   	267.03	DCR|3VULN|2DMG|2DUR|1CDMG	15DUR|24aVULN|37DMG|6CDMG|8LWND|9RCR
122	32211 15236	4	   	267.03	DCR|3VULN|2DMG|2DUR|1CDMG	15DUR|24aVULN|38DMG|6CDMG|7FEWX|9RCR
123	32213 12134	4	   	267.03	DCR|3VULN|2DMG|2DUR|1CDMG	1aDUR|245VULN|37DMG|6CDMG|8LWND|9RCR
124	32213 15234	4	   	267.03	DCR|3VULN|2DMG|2DUR|1CDMG	1aDUR|245VULN|38DMG|6CDMG|7FEWX|9RCR
125	36111 12136	4	   	267.03	DCR|3VULN|2DMG|2DUR|1CDMG	15DUR|27DMG|34aVULN|6CDMG|8LWND|9RCR
126	36111 15236	4	   	267.03	DCR|3VULN|2DMG|2DUR|1CDMG	15DUR|28DMG|34aVULN|6CDMG|7FEWX|9RCR
127	36113 12134	4	   	267.03	DCR|3VULN|2DMG|2DUR|1CDMG	1aDUR|27DMG|345VULN|6CDMG|8LWND|9RCR
128	36113 15234	4	   	267.03	DCR|3VULN|2DMG|2DUR|1CDMG	1aDUR|28DMG|345VULN|6CDMG|7FEWX|9RCR
129	32211 25136	5	   	267.03	DCR|3VULN|2DMG|2DUR|1CDMG	18DUR|24aVULN|36DMG|5CDMG|7FEWX|9RCR
130	36111 25136	5	   	267.03	DCR|3VULN|2DMG|2DUR|1CDMG	18DUR|26DMG|34aVULN|5CDMG|7FEWX|9RCR
131	43111 33234	7	   	267.03	DCR|3VULN|2DMG|2DUR|1CDMG	18DMG|2BEXP|346VULN|5CDMG|7aDUR|9RCR
132	32212 22526	7	   	266.96	DCR|3VULN|2DUR|1DMG|2CDMG|1ASPD	19DUR|249VULN|3DMG|5ASPD|6DMSP|7RPLT|89CDMG|9BPWR|aRCR
133	36142 23163	5	   	266.91	DCR|3VULN|3DUR|2DMG	157DUR|29DMG|379VULN|467ZMB|79BPWR|8RCR|aLHND
134	36112 42135	7	   	266.86	DCR|3VULN|2DUR|3LIT|1DMG|1ASPD	19DUR|2DMG|349VULN|5ASPD|6BEXP|789LIT|9BPWR|aRCR
135	36112 42235	8	   	266.86	DCR|3VULN|2DUR|3LIT|1DMG|1ASPD	19DUR|2DMG|349VULN|5ASPD|6BEXP|789LIT|9BPWR|aRCR
136	43111 23322	4	   	266.81	DCR|3VULN|3DUR|2DMG	19DMG|2aBEXP|349VULN|589DUR|6RCR|7RCVC|9BPWR
137	43111 23323	4	   	266.81	DCR|3VULN|3DUR|2DMG	19DMG|2BEXP|349VULN|589DUR|6RCR|7aRCVC|9BPWR
138	43111 24222	4	   	266.81	DCR|3VULN|3DUR|2DMG	19DMG|28aBEXP|349VULN|579DUR|6RCR|9BPWR
139	43111 24223	4	   	266.81	DCR|3VULN|3DUR|2DMG	19DMG|28BEXP|349VULN|579DUR|6RCR|9BPWR|aRCVC
140	43111 26322	4	   	266.81	DCR|3VULN|3DUR|2DMG	19DMG|27aBEXP|349VULN|589DUR|6RCR|9BPWR
141	43111 26323	4	   	266.81	DCR|3VULN|3DUR|2DMG	19DMG|27BEXP|349VULN|589DUR|6RCR|9BPWR|aRCVC
142	36514 31132	10	   	266.81	DCR|3VULN|3DUR|2DMG	156DUR|28DMG|3LWND|458VULN|58BPWR|78MLV|9LEGI|aRCR
143	36124 61212	6	   	266.77	DCR|3VULN|2DUR|2ASPD|1DMG	19DUR|2DMG|39aVULN|4AART|59ASPD|6RCR|7RMIN|8TBNT|9BPWR
144	36112 31144	10	   	266.76	DCR|3VULN|2DUR|1DMG|2CDMG|1ASPD	1aDUR|2DMG|34aVULN|5ASPD|67CDMG|8aERES|9RCR|aBPWR
145	32221 32364	4	   	266.75	DCR|2VULN|3DMG|2DUR|2LIT	17DUR|25VULN|35aDMG|4AART|5BPWR|69LIT|8RCR
146	36121 32364	4	   	266.75	DCR|2VULN|3DMG|2DUR|2LIT	17DUR|25aDMG|35VULN|4AART|5BPWR|69LIT|8RCR
147	33223 65428	1	   	266.71	DCR|3VULN|3DUR|2DMG	179DUR|2MBVNT|38LHND|49DMG|569VULN|9BPWR|aRCR
148	33823 63328	1	   	266.71	DCR|3VULN|3DUR|2DMG	189DUR|2MBVNT|3BEXP|49DMG|569VULN|7RCVC|9BPWR|aRCR
149	43111 23321	4	   	266.71	DCR|3VULN|3DUR|2DMG	19DMG|2BEXP|349VULN|589DUR|6RCR|7RCVC|9BPWR|aERES
150	43111 23325	4	   	266.71	DCR|3VULN|3DUR|2DMG	19DMG|2BEXP|349VULN|589DUR|6RCR|7RCVC|9BPWR|aTBNT
151	43111 24221	4	   	266.71	DCR|3VULN|3DUR|2DMG	19DMG|28BEXP|349VULN|579DUR|6RCR|9BPWR|aERES
152	43111 24225	4	   	266.71	DCR|3VULN|3DUR|2DMG	19DMG|28BEXP|349VULN|579DUR|6RCR|9BPWR|aTBNT
153	43111 26321	4	   	266.71	DCR|3VULN|3DUR|2DMG	19DMG|27BEXP|349VULN|589DUR|6RCR|9BPWR|aERES
154	43111 26325	4	   	266.71	DCR|3VULN|3DUR|2DMG	19DMG|27BEXP|349VULN|589DUR|6RCR|9BPWR|aTBNT
155	32242 23163	5	   	266.66	DCR|2VULN|3DMG|3DUR|1ASPD	157DUR|29VULN|379DMG|467ZMB|79BPWR|8RCR|aASPD
156	13121 64142	10	   	266.65	DCR|3VULN|3DUR|1DMG|2AART	17LWND|2DMG|379VULN|4aAART|567DUR|7BPWR|8RCR
157	36514 33132	10	   	266.61	DCR|3VULN|3DUR|2DMG	156DUR|28DMG|3LWND|458VULN|58BPWR|78ERES|9LEGI|aRCR
158	36214 34233	6	 * 	266.53	ACR|2VULN|3DMG|3DUR|2ASPD|1CDMG	169DUR|259DMG|3RCR|45VULN|59BPWR|7LIT|89ASPD|aCDMG
159	32214 22326	4	   	266.51	DCR|3VULN|3DUR|2DMG	167DUR|249VULN|38DMG|5DLOT|aRCR
160	36114 22326	4	   	266.51	DCR|3VULN|3DUR|2DMG	167DUR|28DMG|349VULN|5DLOT|aRCR
