0	Index      	Bounty	 *	Score 	Summary	Detail	
1	12623 12534	4	 * 	301.80	DCR|5VULN|3DMG|2ASPD	1345aVULN|2CGEN|68aDMG|7RCR|9aASPD|aBPWR
28	42623 12312	4	   	279.64	DCR|5VULN|1DMG|1TLV|1DUR	1CGEN|23458VULN|6DMG|7RCR|9TLV|aDUR
29	42653 12232	3	   	279.64	DCR|5VULN|1DMG|1TLV|1DUR	1CGEN|23459VULN|6DMG|7RCR|8TLV|aDUR
30	42653 12312	3	   	279.64	DCR|5VULN|1DMG|1TLV|1DUR	1CGEN|23458VULN|6DMG|7RCR|9TLV|aDUR
31	12623 15343	4	   	278.58	DCR|5VULN|2DMG|1CDMG	13457VULN|27CGEN|67DMG|7BPWR|8RCR|9MLV|aCDMG
32	12623 15353	4	   	278.58	DCR|5VULN|2DMG|1CDMG	13457VULN|279CGEN|67DMG|7BPWR|8RCR|aCDMG
33	12623 12233	4	   	277.04	DCR|5VULN|1DMG|1TLV|1CDMG	13459VULN|2CGEN|6DMG|7RCR|8TLV|aCDMG
34	12623 12313	4	   	277.04	DCR|5VULN|1DMG|1TLV|1CDMG	13458VULN|2CGEN|6DMG|7RCR|9TLV|aCDMG
35	12653 12233	3	   	277.04	DCR|5VULN|1DMG|1TLV|1CDMG	13459VULN|2CGEN|6DMG|7RCR|8TLV|aCDMG
36	12653 12313	3	   	277.04	DCR|5VULN|1DMG|1TLV|1CDMG	13458VULN|2CGEN|6DMG|7RCR|9TLV|aCDMG
37	42623 12233	4	   	277.04	DCR|5VULN|1DMG|1TLV|1CDMG	1CGEN|23459VULN|6DMG|7RCR|8TLV|aCDMG
38	42623 12313	4	   	277.04	DCR|5VULN|1DMG|1TLV|1CDMG	1CGEN|23458VULN|6DMG|7RCR|9TLV|aCDMG
39	42653 12233	3	   	277.04	DCR|5VULN|1DMG|1TLV|1CDMG	1CGEN|23459VULN|6DMG|7RCR|8TLV|aCDMG
40	42653 12313	3	   	277.04	DCR|5VULN|1DMG|1TLV|1CDMG	1CGEN|23458VULN|6DMG|7RCR|9TLV|aCDMG
41	14523 12224	4	   	276.26	DCR|4VULN|2DMG|3TLV|1ASPD	145aVULN|2DMSP|3ASPD|6aDMG|7RCR|89aTLV|aBPWR
42	12143 51111	6	 * 	276.12	DCR|4VULN|2DMG|2DUR	159aVULN|2CGEN|39DUR|4ERES|6RCR|7BEXP|89DMG|9BPWR
43	12143 52111	7	   	276.12	DCR|4VULN|2DMG|2DUR	159aVULN|2CGEN|39DUR|4ERES|6RCR|7LWND|89DMG|9BPWR
44	12143 52611	8	   	276.12	DCR|4VULN|2DMG|2DUR	159aVULN|2CGEN|39DUR|4ERES|6RCR|7LWND|89DMG|9BPWR
45	12143 55111	7	   	276.02	DCR|4VULN|2DMG|2DUR	159aVULN|2CGEN|39DUR|4ERES|6RCR|7DUST|89DMG|9BPWR
46	12623 15334	4	   	275.83	DCR|5VULN|2DMG|1ASPD	13457VULN|27CGEN|67DMG|7BPWR|8RCR|9TBNT|aASPD
47	14523 12334	4	   	275.73	DCR|5VULN|2DMG|1ASPD	1458aVULN|2DMSP|3ASPD|6aDMG|7RCR|9aERES|aBPWR
48	14553 32231	5	   	274.92	DCR|4VULN|2TLV|1DMG|1DUR|1ASPD	1689VULN|2DMSP|3ASPD|4DMG|56TLV|6BPWR|7DUR|aRCR
49	61436 13212	1	 * 	274.86	DCR|3VULN|3DUR|1DMG|2AART	12AART|357DUR|478VULN|6RCR|7BPWR|9LIT|aDMG
50	11252 46153	1	   	274.05	DCR|3VULN|2DMG|2DUR|1ASPD	159VULN|2MBVNT|3BBNT|4ASPD|69DUR|79DMG|8RCR|9BPWR|aAART
51	11253 46153	1	   	274.05	DCR|3VULN|2DMG|2DUR|1ASPD	169VULN|2MBVNT|3BBNT|4ASPD|59DUR|79DMG|8RCR|9BPWR|aAART
52	13341 51411	2	   	273.45	DCR|3VULN|2DMG|2DUR|2TLV	19aVULN|2LWND|39DUR|48TLV|5ERES|6RCR|79DMG|9BPWR
53	12623 12532	4	   	272.44	DCR|4VULN|2DMG|1DUR|1ASPD	1345VULN|2CGEN|68DMG|7RCR|9ASPD|aDUR
54	12653 12532	3	   	272.44	DCR|4VULN|2DMG|1DUR|1ASPD	1345VULN|2CGEN|68DMG|7RCR|9ASPD|aDUR
55	42623 12532	4	   	272.44	DCR|4VULN|2DMG|1DUR|1ASPD	1CGEN|2345VULN|68DMG|7RCR|9ASPD|aDUR
56	12623 11631	4	   	272.44	DCR|4VULN|2DMG|1DUR|1ASPD	1345VULN|2CGEN|67DMG|8DUR|9ASPD|aRCR
57	12653 11631	3	   	272.44	DCR|4VULN|2DMG|1DUR|1ASPD	1345VULN|2CGEN|67DMG|8DUR|9ASPD|aRCR
58	42623 11631	4	   	272.44	DCR|4VULN|2DMG|1DUR|1ASPD	1CGEN|2345VULN|67DMG|8DUR|9ASPD|aRCR
