0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21353 15143	8	 * 	312.86	DCR|5VULN|3DMG|1TLV|2CDMG|1SELL	134DMG|23459VULN|349BPWR|6SELL|7RCR|89CDMG|aTLV
16	21353 32236	7	   	293.04	DCR|5VULN|3DMG|1TLV	134DMG|23456VULN|34BPWR|7RPLT|8RCR|9FEWX|aTLV
17	21353 26311	9	   	292.94	DCR|5VULN|3DMG|1TLV	134DMG|2345aVULN|34BPWR|6RPLT|7DLOT|8TLV|9RCR
18	21353 26314	10	   	292.94	DCR|5VULN|3DMG|1TLV	134DMG|2345aVULN|34BPWR|6RPLT|7DLOT|8TLV|9RCR
19	21356 13142	10	   	292.94	DCR|5VULN|3DMG|1TLV	134DMG|2346aVULN|34BPWR|5DLOT|7MLV|8TLV|9RCR
20	21353 26231	8	   	292.94	DCR|5VULN|3DMG|1TLV	134DMG|2345aVULN|34BPWR|6RPLT|7DLOT|8RCR|9TLV
21	21354 12235	4	   	292.88	DCR|4VULN|3DMG|2DUR|1CDMG	134DMG|2348VULN|34BPWR|5TBNT|67DUR|9RCR|aCDMG
22	21356 16323	7	   	292.84	DCR|5VULN|3DMG|1TLV	134DMG|2346aVULN|34BPWR|5DLOT|7TLV|8RCR|9TBNT
23	21353 15133	7	   	292.79	DCR|5VULN|3DMG|1TLV|1SELL	134DMG|23459VULN|34BPWR|6SELL|7RCR|8CGEN|aTLV
24	21353 15433	7	   	292.79	DCR|5VULN|3DMG|1TLV|1SELL	134DMG|23459VULN|34BPWR|6SELL|7RCR|8MLV|aTLV
25	21353 15533	8	   	292.79	DCR|5VULN|3DMG|1TLV|1SELL	134DMG|23459VULN|34BPWR|6SELL|7RCR|8CGEN|aTLV
26	21353 15313	9	   	292.50	DCR|5VULN|3DMG|1DUR|1SELL	134DMG|2345aVULN|34BPWR|6SELL|7RCR|8AART|9DUR
27	21353 15333	9	   	292.50	DCR|5VULN|3DMG|1DUR|1SELL	134DMG|23459VULN|34BPWR|6SELL|7RCR|8AART|aDUR
28	21353 15363	8	   	292.50	DCR|5VULN|3DMG|1DUR|1SELL	134DMG|23459VULN|349BPWR|6SELL|7RCR|8AART|aDUR
29	21354 12234	4	 * 	292.45	DCR|4VULN|3DMG|3DUR	134DMG|2348VULN|34BPWR|5TBNT|67aDUR|9RCR
30	21313 24542	5	   	292.45	DCR|4VULN|3DMG|3DUR	136DMG|2389VULN|369BPWR|479ERES|569DUR|aRCR
31	21353 23161	7	   	291.39	DCR|5VULN|3DMG|1DUR	134DMG|2345aVULN|34BPWR|6RPLT|7DUR|8RCR|9LIT
32	21353 33363	10	   	291.39	DCR|5VULN|3DMG|1DUR	134DMG|23456VULN|34BPWR|7ASPD|8LHND|9RCR|aDUR
33	21353 34136	10	   	291.39	DCR|5VULN|3DMG|1DUR	134DMG|23456VULN|34BPWR|7FEWX|8DUR|9ASPD|aRCR
34	21353 52136	10	   	291.39	DCR|5VULN|3DMG|1DUR	134DMG|23458VULN|34BPWR|6FEWX|7DUR|9ASPD|aRCR
35	21356 11116	9	   	291.35	DCR|5VULN|3DMG|2LIT	134DMG|23469VULN|349BPWR|5DLOT|7AART|89LIT|aRCR
36	21353 33561	10	   	291.29	DCR|5VULN|3DMG|1DUR	134DMG|23456VULN|34BPWR|7ASPD|8DUR|9RCR|aMBVNT
37	21353 33562	9	   	291.29	DCR|5VULN|3DMG|1DUR	134DMG|23456VULN|34BPWR|7ASPD|8DUR|9RCR|aLEGI
38	21353 33563	9	   	291.29	DCR|5VULN|3DMG|1DUR	134DMG|23456VULN|34BPWR|7ASPD|8DUR|9RCR|aDUST
39	21352 23523	4	   	291.08	DCR|4VULN|3DMG|2TLV	134DMG|2349VULN|349BPWR|59TLV|6TBNT|7RCR|8RCVC|aLIT
40	21352 23623	4	   	291.08	DCR|4VULN|3DMG|2TLV	134DMG|2349VULN|349BPWR|59TLV|6TBNT|7RCR|8DMSP|aLIT
41	21356 16313	7	   	290.84	DCR|4VULN|3DMG|1TLV|1DUR	134DMG|2346VULN|34BPWR|5DLOT|7TLV|8RCR|9LHND|aDUR
42	21352 23244	4	   	290.74	DCR|4VULN|3DMG|1TLV|1DUR	134DMG|2349VULN|34BPWR|5TLV|6TBNT|7RCR|8MBVNT|aDUR
43	21352 23414	4	   	290.74	DCR|4VULN|3DMG|1TLV|1DUR	134DMG|2349VULN|34BPWR|5TLV|6TBNT|7RCR|8ERES|aDUR
44	21353 32256	7	   	290.15	DCR|5VULN|3DMG|1CDMG	134DMG|23456VULN|34BPWR|7RPLT|8RCR|9CDMG|aAART
45	21324 31243	9	   	288.84	DCR|4VULN|2DMG|1TLV|1DUR|1CDMG	13DMG|236aVULN|3BPWR|4LHND|5CDMG|7TLV|8RCR|9DUR
46	21324 31245	8	   	288.84	DCR|4VULN|2DMG|1TLV|1DUR|1CDMG	13DMG|2369VULN|3BPWR|4LHND|5CDMG|7TLV|8RCR|aDUR
47	21326 26243	9	   	288.84	DCR|4VULN|2DMG|1TLV|1DUR|1CDMG	13DMG|237aVULN|3BPWR|4LHND|5TLV|6CDMG|8RCR|9DUR
48	21364 35222	8	   	288.84	DCR|4VULN|2DMG|1TLV|1DUR|1CDMG	13DMG|2367VULN|3BPWR|4FEWX|5CDMG|8RCR|9DUR|aTLV
49	21324 31563	7	   	288.84	DCR|4VULN|2DMG|1TLV|1DUR|1CDMG	13DMG|236aVULN|3BPWR|4LHND|5CDMG|7TLV|8DUR|9RCR
50	21324 35263	10	   	288.84	DCR|4VULN|2DMG|1TLV|1DUR|1CDMG	13DMG|2367VULN|3BPWR|4LHND|5CDMG|8RCR|9TLV|aDUR
51	21326 22333	6	   	288.84	DCR|4VULN|2DMG|1TLV|1DUR|1CDMG	13DMG|239aVULN|3BPWR|4LHND|5TLV|6CDMG|7DUR|8RCR
52	21366 22333	6	   	288.84	DCR|4VULN|2DMG|1TLV|1DUR|1CDMG	13DMG|239aVULN|3BPWR|4FEWX|5TLV|6CDMG|7DUR|8RCR
53	21353 33365	9	   	288.79	DCR|5VULN|3DMG|1CDMG	134DMG|23456VULN|34BPWR|7ASPD|8LHND|9RCR|aCDMG
54	21353 15311	9	   	288.74	DCR|4VULN|3DMG|2DUR|1SELL	134DMG|2345VULN|34BPWR|6SELL|7RCR|8AART|9aDUR
55	21353 15316	10	   	288.74	DCR|4VULN|3DMG|2DUR|1SELL	134DMG|2345VULN|34BPWR|6SELL|7RCR|8AART|9aDUR
56	21332 33316	3	   	288.18	DCR|3VULN|3DMG|2DUR|2ASPD|1CDMG	137DMG|237VULN|37BPWR|4CDMG|5aDUR|67ASPD|8FEWX|9RCR
57	21332 33516	3	   	288.08	DCR|3VULN|3DMG|2DUR|2ASPD|1CDMG	137DMG|237VULN|37BPWR|4CDMG|5aDUR|67ASPD|8DUST|9RCR
58	21353 23166	7	   	287.63	DCR|4VULN|3DMG|2DUR	134DMG|2345VULN|34BPWR|6RPLT|7aDUR|8RCR|9LIT
59	21353 32255	7	   	286.80	DCR|5VULN|3DMG|2CDMG	134DMG|23456VULN|34BPWR|7RPLT|8RCR|9aCDMG
60	21353 15153	7	   	286.75	DCR|5VULN|3DMG|2CDMG|1SELL	134DMG|2345aVULN|34aBPWR|6SELL|7RCR|8aCGEN|9aCDMG
61	21351 32425	6	   	286.70	DCR|4VULN|3DMG|1DUR|1CDMG	134DMG|234aVULN|34BPWR|5ZMB|6CDMG|7LIT|8RCR|9DUR
62	21353 15141	8	   	286.65	DCR|5VULN|3DMG|2CDMG|1SELL	134DMG|23459VULN|349BPWR|6SELL|7RCR|89CDMG|aCGEN
63	21353 15151	8	   	286.55	DCR|5VULN|3DMG|2CDMG|1SELL	134DMG|2345aVULN|34aBPWR|6SELL|7RCR|8aCDMG|9TBNT
64	21353 15142	8	   	286.41	DCR|5VULN|3DMG|2CDMG|2SELL	134DMG|23459VULN|349BPWR|6aSELL|7RCR|89CDMG
65	21352 23141	4	   	286.18	DCR|3VULN|3DMG|2TLV|1DUR	134DMG|234VULN|34BPWR|58TLV|6TBNT|7RCR|9DUR|aASPD
66	21352 23146	4	   	286.18	DCR|3VULN|3DMG|2TLV|1DUR	134DMG|234VULN|34BPWR|58TLV|6TBNT|7RCR|9DUR|aLIT
67	21333 12641	7	   	284.58	DCR|3VULN|3DMG|2DUR|1TLV	139DMG|239VULN|39BPWR|4CGEN|56DUR|79FEWX|8RCR|aTLV
68	21333 14641	6	   	284.58	DCR|3VULN|3DMG|2DUR|1TLV	139DMG|239VULN|39BPWR|4CGEN|56DUR|79LHND|8RCR|aTLV
69	21313 12641	7	   	284.48	DCR|3VULN|3DMG|2DUR|1TLV	139DMG|239VULN|39BPWR|4ERES|56DUR|79FEWX|8RCR|aTLV
70	21313 14641	6	   	284.48	DCR|3VULN|3DMG|2DUR|1TLV	139DMG|239VULN|39BPWR|4ERES|56DUR|79LHND|8RCR|aTLV
71	21311 15641	7	   	284.38	DCR|3VULN|3DMG|2DUR|1TLV	139DMG|239VULN|39BPWR|47ERES|5LWND|69DUR|8RCR|aTLV
72	21353 13574	4	   	284.28	DCR|3VULN|3DMG|2DUR|1TLV	134DMG|234VULN|34BPWR|5MBVNT|6DLOT|7RCR|8aDUR|9TLV
73	21353 31144	5	   	284.26	DCR|4VULN|3DMG|1TLV	134DMG|2345VULN|34BPWR|6ERES|7RCR|8AART|9TLV|aCGEN
74	21353 31145	5	   	284.26	DCR|4VULN|3DMG|1TLV	134DMG|2345VULN|34BPWR|6ERES|7RCR|8AART|9TLV|aRPLT
75	21353 61142	6	   	284.26	DCR|4VULN|3DMG|1TLV	134DMG|2345VULN|34BPWR|6CGEN|7RCR|8AART|9TLV|aLEGI
76	21353 61143	6	   	284.26	DCR|4VULN|3DMG|1TLV	134DMG|2345VULN|34BPWR|6CGEN|7RCR|8AART|9TLV|aERES
77	21353 31142	5	   	284.16	DCR|4VULN|3DMG|1TLV	134DMG|2345VULN|34BPWR|6ERES|7RCR|8AART|9TLV|aLEGI
78	21353 31143	5	   	284.16	DCR|4VULN|3DMG|1TLV	134DMG|2345VULN|34BPWR|6aERES|7RCR|8AART|9TLV
79	21356 16321	7	   	284.16	DCR|4VULN|3DMG|1TLV	134DMG|2346VULN|34BPWR|5DLOT|7TLV|8RCR|9TBNT|aAART
80	21353 15341	10	   	284.11	DCR|4VULN|3DMG|1TLV|1SELL	134DMG|2345VULN|34BPWR|6SELL|7RCR|8AART|9RCVC|aTLV
81	21353 15336	9	   	284.02	DCR|5VULN|3DMG|2AART|1SELL	134DMG|23459VULN|34BPWR|6SELL|7RCR|8aAART
82	21353 33362	10	   	283.45	DCR|5VULN|3DMG	134DMG|23456VULN|34BPWR|7ASPD|8LHND|9RCR|aLIT
83	21353 33516	7	   	283.45	DCR|5VULN|3DMG	134DMG|23456VULN|34BPWR|7ASPD|8RCVC|9RCR|aLIT
84	21324 31223	10	   	283.44	DCR|3VULN|3DMG|1TLV|1DUR|1CDMG	139DMG|236VULN|3BPWR|4LHND|5CDMG|7TLV|8RCR|aDUR
85	21324 31223	9	   	283.44	DCR|3VULN|3DMG|1TLV|1DUR|1CDMG	139DMG|236VULN|3BPWR|4LHND|5CDMG|7TLV|8RCR|aDUR
86	21326 26223	10	   	283.44	DCR|3VULN|3DMG|1TLV|1DUR|1CDMG	139DMG|237VULN|3BPWR|4LHND|5TLV|6CDMG|8RCR|aDUR
87	21326 26223	9	   	283.44	DCR|3VULN|3DMG|1TLV|1DUR|1CDMG	139DMG|237VULN|3BPWR|4LHND|5TLV|6CDMG|8RCR|aDUR
88	21353 23146	7	   	283.08	DCR|5VULN|3DMG|1DUR	134DMG|2345aVULN|34BPWR|6RPLT|7DUR|8RCR|9ZMB
89	21353 31562	9	   	283.08	DCR|5VULN|3DMG|1DUR	134DMG|23456VULN|34BPWR|7MLV|8DUR|9RCR|aDMSP
90	21353 31562	10	   	283.08	DCR|5VULN|3DMG|1DUR	134DMG|23456VULN|34BPWR|7MLV|8DUR|9RCR|aRPLT
91	21353 31563	10	   	283.08	DCR|5VULN|3DMG|1DUR	134DMG|23456VULN|34BPWR|7MLV|8DUR|9RCR|aBELT
92	21353 31563	9	   	283.08	DCR|5VULN|3DMG|1DUR	134DMG|23456VULN|34BPWR|7MLV|8DUR|9RCR|aLHND
93	21353 21516	8	   	283.08	DCR|5VULN|3DMG|1DUR	134DMG|2345aVULN|34BPWR|6RPLT|7MLV|8DUR|9RCR
94	21353 23234	9	   	283.08	DCR|5VULN|3DMG|1DUR	134DMG|2345aVULN|34BPWR|6RPLT|7DUR|8BELT|9RCR
95	21353 23316	8	   	283.08	DCR|5VULN|3DMG|1DUR	134DMG|2345aVULN|34BPWR|6RPLT|7DUR|8MLV|9RCR
96	21353 23416	8	   	283.08	DCR|5VULN|3DMG|1DUR	134DMG|2345aVULN|34BPWR|6RPLT|7DUR|8CGEN|9RCR
97	21353 32231	7	   	283.08	DCR|5VULN|3DMG|1DUR	134DMG|23456VULN|34BPWR|7RPLT|8RCR|9FEWX|aDUR
98	21353 34116	10	   	283.08	DCR|5VULN|3DMG|1DUR	134DMG|23456VULN|34BPWR|79FEWX|8DUR|aRCR
99	21353 41126	9	   	283.08	DCR|5VULN|3DMG|1DUR	134DMG|23458VULN|34BPWR|6LHND|7LWND|9DUR|aRCR
100	21353 52116	10	   	283.08	DCR|5VULN|3DMG|1DUR	134DMG|23458VULN|34BPWR|69FEWX|7DUR|aRCR
101	21353 23131	7	   	282.98	DCR|5VULN|3DMG|1DUR	134DMG|2345aVULN|34BPWR|6RPLT|7DUR|8RCR|9BBNT
102	21353 33234	10	   	282.98	DCR|5VULN|3DMG|2ASPD	134DMG|23456VULN|34BPWR|79ASPD|8RMIN|aRCR
103	21353 33364	10	   	282.98	DCR|5VULN|3DMG|2ASPD	134DMG|23456VULN|34BPWR|7aASPD|8LHND|9RCR
104	21353 33511	7	   	282.98	DCR|5VULN|3DMG|2ASPD	134DMG|23456VULN|34BPWR|7aASPD|8RCVC|9RCR
105	21353 33634	10	   	282.98	DCR|5VULN|3DMG|2ASPD	134DMG|23456VULN|34BPWR|79ASPD|8CGEN|aRCR
106	21353 23165	6	   	282.90	DCR|4VULN|3DMG|1TLV	134DMG|2345VULN|34BPWR|6RPLT|7DUST|8RCR|9LIT|aTLV
