0	Index      	Bounty	 *	Score 	Summary	Detail	
1	32631 36432	10	 * 	265.47	DCR|3VULN|3DUR|1DMG|1TLV	17ZMB|2TLV|367DUR|47aVULN|5DMSP|7BPWR|8DMG|9RCR
108	13241 38862	3	   	243.75	DCR|4VULN|1DMG|1DUR	1LHND|2MBVNT|3469VULN|5BEXP|7DUR|8RCR|aDMG
109	14623 62212	6	   	243.75	DCR|4VULN|2TLV|1DUR	1LHND|25TLV|3RCVC|4567VULN|5BPWR|8BBNT|9DUR|aRCR
110	65613 21212	1	   	243.75	DCR|4VULN|1DMG|1DUR	1MLV|2CGEN|3456VULN|7DMG|8BBNT|9DUR|aRCR
111	35623 25311	1	   	243.71	DCR|4VULN|1DMG|1TLV|1SELL	1ZMB|24CGEN|3456VULN|4BPWR|7SELL|8RCR|9DMG|aTLV
112	36123 25311	3	   	243.71	DCR|4VULN|1DMG|1TLV|1SELL	1ZMB|24CGEN|3456VULN|4BPWR|7SELL|8RCR|9DMG|aTLV
113	36623 25311	2	   	243.71	DCR|4VULN|1DMG|1TLV|1SELL	1ZMB|24CGEN|3456VULN|4BPWR|7SELL|8RCR|9DMG|aTLV
114	61112 52152	5	   	243.65	DCR|4VULN|1DMG|1TLV	1MLV|246ERES|3479VULN|4BPWR|5TLV|8RCR|aDMG
115	61113 21212	4	   	243.65	DCR|4VULN|1DMG|1DUR	1MLV|24ERES|3456VULN|4BPWR|7DMG|8BBNT|9DUR|aRCR
116	61113 21212	3	   	243.65	DCR|4VULN|1DMG|1DUR	1MLV|2ERES|3456VULN|7DMG|8BBNT|9DUR|aRCR
117	61113 21512	4	   	243.65	DCR|4VULN|1DMG|1DUR	1MLV|24ERES|3456VULN|4BPWR|7DMG|8TBNT|9DUR|aRCR
118	61113 21512	3	   	243.65	DCR|4VULN|1DMG|1DUR	1MLV|2ERES|3456VULN|7DMG|8TBNT|9DUR|aRCR
119	61114 21212	5	   	243.65	DCR|4VULN|1DMG|1DUR	1MLV|24ERES|3456VULN|4BPWR|7DMG|8BBNT|9DUR|aRCR
120	61114 21512	5	   	243.65	DCR|4VULN|1DMG|1DUR	1MLV|24ERES|3456VULN|4BPWR|7DMG|8TBNT|9DUR|aRCR
121	61114 41212	6	   	243.65	DCR|4VULN|1DMG|1DUR	1MLV|24ERES|3456VULN|4BPWR|7DMG|8BBNT|9DUR|aRCR
122	61123 21212	3	   	243.65	DCR|4VULN|1DMG|1DUR	1MLV|24ERES|3456VULN|4BPWR|7DMG|8BBNT|9DUR|aRCR
123	61123 21512	3	   	243.65	DCR|4VULN|1DMG|1DUR	1MLV|24ERES|3456VULN|4BPWR|7DMG|8TBNT|9DUR|aRCR
124	35613 25311	1	   	243.61	DCR|4VULN|1DMG|1TLV|1SELL	1ZMB|2CGEN|3456VULN|7SELL|8RCR|9DMG|aTLV
125	36113 25311	3	   	243.61	DCR|4VULN|1DMG|1TLV|1SELL	1ZMB|2CGEN|3456VULN|7SELL|8RCR|9DMG|aTLV
126	36613 25311	2	   	243.61	DCR|4VULN|1DMG|1TLV|1SELL	1ZMB|2CGEN|3456VULN|7SELL|8RCR|9DMG|aTLV
127	31613 13255	3	   	243.43	DCR|5VULN|1DUR	156ZMB|2ERES|3DUR|45689VULN|56BPWR|7LHND|aRCR
128	31633 13255	4	   	243.43	DCR|5VULN|1DUR	156ZMB|2ERES|3DUR|45689VULN|56BPWR|7LHND|aRCR
129	61114 36331	8	   	243.43	DCR|5VULN|1TLV	17MLV|24ERES|3457aVULN|47BPWR|67LWND|8TLV|9RCR
130	32313 12551	3	   	243.22	ACR|5VULN|3TLV|1DMG	1ZMB|256TLV|3RCR|45689VULN|56BPWR|7DMG|aLIT
131	32333 12551	4	   	243.22	ACR|5VULN|3TLV|1DMG	1ZMB|256TLV|3RCR|45689VULN|56BPWR|7DMG|aLIT
132	13236 11847	3	   	243.17	DCR|3VULN|2TLV|1DUR|1CDMG	18LHND|2MBVNT|378VULN|4CDMG|5DUR|68TLV|8BPWR|9LIT|aRCR
133	14246 32131	7	   	243.17	DCR|3VULN|1DMG|1TLV|1CDMG	1LHND|2TLV|3BEXP|4CDMG|59aVULN|6RCR|7LIT|8DMG
134	13323 43414	4	   	243.11	DCR|3VULN|2DMG|1ASPD|1AART	1LHND|2MBVNT|39DMG|48aVULN|5AART|6ASPD|7RCR
135	13323 63414	6	   	243.11	DCR|3VULN|2DMG|1ASPD|1AART	1LHND|2MBVNT|39DMG|48aVULN|5ASPD|6AART|7RCR
136	13323 44574	4	   	243.11	DCR|3VULN|2DMG|1ASPD|1AART	1LHND|2MBVNT|38DMG|47aVULN|5AART|6ASPD|9RCR
137	13323 64574	6	   	243.11	DCR|3VULN|2DMG|1ASPD|1AART	1LHND|2MBVNT|38DMG|47aVULN|5ASPD|6AART|9RCR
138	13243 27333	3	   	243.10	DCR|4VULN|1DUR|1ASPD	15LHND|2MBVNT|345aVULN|5BPWR|6ASPD|7LIT|8RCR|9DUR
139	13743 27333	2	   	243.10	DCR|4VULN|1DUR|1ASPD	15LHND|2MBVNT|345aVULN|5BPWR|6ASPD|7LIT|8RCR|9DUR
140	43343 27316	3	   	243.10	DCR|4VULN|1DUR|1ASPD	15FEWX|2MBVNT|3459VULN|5BPWR|6ASPD|7LIT|8RCR|aDUR
141	43343 27333	3	   	243.10	DCR|4VULN|1DUR|1ASPD	15FEWX|2MBVNT|345aVULN|5BPWR|6ASPD|7LIT|8RCR|9DUR
142	43743 27333	2	   	243.10	DCR|4VULN|1DUR|1ASPD	15FEWX|2MBVNT|345aVULN|5BPWR|6ASPD|7LIT|8RCR|9DUR
143	32613 15428	3	   	243.08	DCR|3VULN|2DUR|1TLV|1ASPD	156ZMB|2TLV|3aDUR|456VULN|56BPWR|7MBVNT|8ASPD|9RCR
144	32633 15428	4	   	243.08	DCR|3VULN|2DUR|1TLV|1ASPD	156ZMB|2TLV|3aDUR|456VULN|56BPWR|7MBVNT|8ASPD|9RCR
145	13234 12137	9	   	243.07	DCR|3VULN|1DMG|1DUR|1CDMG	1LHND|2MBVNT|389VULN|4LIT|5DMG|6CDMG|7DUR|aRCR
146	13234 12137	8	   	243.07	DCR|3VULN|1DMG|1DUR|1CDMG	1LHND|2MBVNT|389VULN|4LIT|5DMG|6CDMG|7DUR|aRCR
147	13235 11437	3	   	243.07	DCR|3VULN|1DMG|1DUR|1CDMG	1LHND|2MBVNT|379VULN|4CDMG|5DMG|6DUR|8LIT|aRCR
148	13383 21437	6	   	243.07	DCR|3VULN|1DMG|1DUR|1CDMG	1LHND|2MBVNT|3DMG|4CDMG|5DUR|679VULN|8LIT|aRCR
149	13388 11437	4	   	243.07	DCR|3VULN|1DMG|1DUR|1CDMG	1LHND|2MBVNT|3DMG|4CDMG|579VULN|6DUR|8LIT|aRCR
150	13735 11437	2	   	243.07	DCR|3VULN|1DMG|1DUR|1CDMG	1LHND|2MBVNT|379VULN|4CDMG|5DMG|6DUR|8LIT|aRCR
151	43335 11437	3	   	243.07	DCR|3VULN|1DMG|1DUR|1CDMG	1FEWX|2MBVNT|379VULN|4CDMG|5DMG|6DUR|8LIT|aRCR
152	43354 12137	9	   	243.07	DCR|3VULN|1DMG|1DUR|1CDMG	1FEWX|2MBVNT|389VULN|4LIT|5DMG|6CDMG|7DUR|aRCR
153	43354 12137	8	   	243.07	DCR|3VULN|1DMG|1DUR|1CDMG	1FEWX|2MBVNT|389VULN|4LIT|5DMG|6CDMG|7DUR|aRCR
154	32652 11316	3	   	242.98	DCR|3VULN|2DUR|1TLV|1ASPD	16ZMB|2TLV|34DUR|56aVULN|6BPWR|7BBNT|8RCR|9ASPD
155	15364 22131	4	   	242.82	DCR|2VULN|2DMG|2DUR|1TLV	1LHND|24LWND|34DMG|4BPWR|57VULN|68DUR|9RCR|aTLV
156	15366 32131	6	   	242.82	DCR|2VULN|2DMG|2DUR|1TLV	1LHND|24LWND|34DMG|4BPWR|58DUR|67VULN|9RCR|aTLV
157	13221 11856	7	   	242.81	DCR|3VULN|3DUR|1CDMG|1NUKE	189LHND|2MBVNT|389VULN|4BEXP|5CDMG|6NUKE|789DUR|89BPWR|aRCR
158	14662 11212	3	 * 	242.71	DCR|3VULN|2DMG|2TLV	19LHND|26TLV|3RCVC|4RMIN|569VULN|69BPWR|7BBNT|89DMG|aRCR
159	12364 22131	4	   	242.62	DCR|2VULN|2DMG|2DUR|1TLV	1LHND|24DUST|34DMG|4BPWR|57VULN|68DUR|9RCR|aTLV
160	13382 14737	10	   	242.61	DCR|3VULN|2DMG|2CDMG	1aLHND|2MBVNT|3aDMG|45CDMG|6FEWX|79aVULN|8RCR|aBPWR
161	13382 44737	10	   	242.61	DCR|3VULN|2DMG|2CDMG	1aLHND|2MBVNT|3aDMG|45CDMG|6BEXP|79aVULN|8RCR|aBPWR
162	14323 62231	9	 * 	242.49	ACR|4VULN|3ASPD|1DMG|1TLV	17LHND|2TLV|3RCR|467aVULN|578ASPD|7BPWR|9DMG
163	44323 62231	9	   	242.49	ACR|4VULN|3ASPD|1DMG|1TLV	17FEWX|2TLV|3RCR|467aVULN|578ASPD|7BPWR|9DMG
164	13423 72322	9	 * 	242.42	DCR|3VULN|2ASPD|1DMG|1TLV	17LHND|2MBVNT|3TLV|467VULN|57ASPD|7BPWR|8LEGI|9RCR|aDMG
165	13423 72622	9	   	242.42	DCR|3VULN|2ASPD|1DMG|1TLV	17LHND|2MBVNT|3TLV|467VULN|57ASPD|7BPWR|8DUST|9RCR|aDMG
166	13323 53368	8	   	242.32	DCR|3VULN|2ASPD|1DMG|1TLV	1LHND|2MBVNT|3DMG|49aVULN|58ASPD|6TLV|7RCR
167	13325 12871	4	 * 	242.23	DCR|2VULN|3DMG|2DUR	19LHND|2MBVNT|379DMG|4aVULN|5MLV|69DUR|8RCR|9BPWR
