0	Index      	Bounty	 *	Score 	Summary	Detail	
1	35113 26312	9	 * 	292.76	DCR|4VULN|3DUR|3CDMG|2LIT	127DUR|379aVULN|4DUST|5aLIT|67aCDMG|7aBPWR|8RCR
47	32316 24523	9	   	272.19	DCR|4VULN|2DUR|3TLV|1CDMG	17DUR|267TLV|3BEXP|4LWND|5678VULN|67BPWR|9CDMG|aRCR
48	33321 43215	9	 * 	271.86	DCR|4VULN|3DUR|3LIT	178DUR|2RPLT|39MLV|4679VULN|579LIT|79BPWR|aRCR
49	32325 33431	2	   	271.80	DCR|2VULN|3DMG|3DUR|1TLV	168DUR|2TLV|38VULN|47RPLT|568DMG|68BPWR|9TBNT|aRCR
50	32425 33431	4	   	271.80	DCR|2VULN|3DMG|3DUR|1TLV	168DUR|2TLV|37RPLT|48VULN|568DMG|68BPWR|9TBNT|aRCR
51	32132 43436	6	   	271.35	DCR|3VULN|2DUR|1DMG|1TLV|1ASPD	17DUR|2TLV|3ASPD|4LIT|5DMG|69aVULN|8RCR
52	32132 43436	5	   	271.35	DCR|3VULN|2DUR|1DMG|1TLV|1ASPD	17DUR|2TLV|3ASPD|4LIT|5DMG|69aVULN|8RCR
53	22344 28843	10	 * 	271.29	DCR|4VULN|2DMG|3CDMG	128CDMG|3MBVNT|4BEXP|5689VULN|78DMG|8BPWR|aRCR
54	36115 23613	8	 * 	270.33	DCR|3VULN|3DUR|2ASPD|1DMG	189DUR|2DMG|39ASPD|4DUST|5FEWX|679VULN|9BPWR|aRCR
55	35113 26322	9	   	270.12	DCR|3VULN|3DUR|3CDMG|2LIT	127DUR|37aVULN|4DUST|5aLIT|67aCDMG|7aBPWR|8RCR|9RCVC
56	35113 26352	8	   	270.02	DCR|3VULN|3DUR|3CDMG|2LIT	127DUR|37aVULN|49DUST|5aLIT|67aCDMG|7aBPWR|8RCR
57	22336 47122	7	   	269.87	DCR|3VULN|3DUR|3CDMG|2LIT|1SELL	127CDMG|3MBVNT|48LIT|578VULN|678DUR|78BPWR|9SELL|aRCR
58	36131 14241	4	 * 	269.84	DCR|2VULN|2DMG|2DUR|2ASPD|1CDMG	1aDUR|26DMG|3aASPD|4LIT|5CDMG|7RCR|8RCVC|9aVULN|aBPWR
59	21161 24114	1	   	269.33	DCR|5VULN|3CDMG|1TLV	135CDMG|24689VULN|7TLV|aRCR
60	21412 34415	1	   	269.27	DCR|3VULN|3DMG|2CDMG|1ASPD	19CDMG|279VULN|369DMG|4RPLT|5MBVNT|8RCR|9BPWR|aASPD
61	32142 32243	6	 * 	269.20	DCR|2VULN|3DUR|3ASPD|1DMG|1TLV	159DUR|2TLV|389ASPD|4ERES|6DMG|79VULN|9BPWR|aRCR
62	32142 33243	7	   	269.20	DCR|2VULN|3DUR|3ASPD|1DMG|1TLV	159DUR|2TLV|389ASPD|4ERES|6DMG|79VULN|9BPWR|aRCR
63	32421 33615	9	 * 	269.19	DCR|3VULN|3DUR|3LIT|2TLV	178DUR|29TLV|3RPLT|479VULN|579LIT|6DMSP|79BPWR|aRCR
64	33233 65312	6	   	269.09	DCR|3VULN|3DUR|2TLV|2CDMG	139DUR|2RPLT|4aTLV|569VULN|7RCR|89CDMG|9BPWR
65	33233 65312	7	   	269.09	DCR|3VULN|3DUR|2TLV|2CDMG	139DUR|2RPLT|4aTLV|569VULN|7RCR|89CDMG|9BPWR
66	12316 64231	9	   	268.47	DCR|4VULN|2DUR|1TLV|1CDMG	17FEWX|27DUR|3TLV|4LWND|5678VULN|7BPWR|9CDMG|aRCR
67	12316 64233	10	   	268.47	DCR|4VULN|2DUR|1TLV|1CDMG	17FEWX|27DUR|3TLV|4LWND|5678VULN|7BPWR|9CDMG|aRCR
68	13334 35335	2	   	268.47	DCR|4VULN|2DUR|1TLV|1CDMG	1aFEWX|235aVULN|4TLV|6RPLT|7RCR|8CDMG|9aDUR|aBPWR
69	31316 64231	9	   	268.47	DCR|4VULN|2DUR|1TLV|1CDMG	17DUR|27FEWX|3TLV|4LWND|5678VULN|7BPWR|9CDMG|aRCR
70	31316 64233	10	   	268.47	DCR|4VULN|2DUR|1TLV|1CDMG	17DUR|27FEWX|3TLV|4LWND|5678VULN|7BPWR|9CDMG|aRCR
71	35131 26314	9	   	268.43	DCR|3VULN|3DUR|2CDMG|1ASPD	127DUR|379VULN|4LIT|5LHND|67CDMG|7BPWR|8RCR|aASPD
72	35113 26314	9	   	268.33	DCR|3VULN|3DUR|2CDMG|1ASPD	127DUR|379VULN|4DUST|5LIT|67CDMG|7BPWR|8RCR|aASPD
73	21421 24322	1	   	267.93	DCR|3VULN|3DMG|2CDMG|1AART	14CDMG|259VULN|356DMG|5BPWR|7AART|8RCR|aFEWX
74	21421 24324	1	   	267.93	DCR|3VULN|3DMG|2CDMG|1AART	14CDMG|259VULN|356DMG|5BPWR|7AART|8RCR|aLWND
75	21421 24325	1	   	267.93	DCR|3VULN|3DMG|2CDMG|1AART	14CDMG|259VULN|356DMG|5BPWR|7AART|8RCR|aLHND
76	21421 24326	1	   	267.93	DCR|3VULN|3DMG|2CDMG|1AART	14CDMG|259VULN|356DMG|5BPWR|7AART|8RCR|aMLV
77	35152 42331	5	   	267.85	DCR|4VULN|3DUR|1TLV	124DUR|3479VULN|4BPWR|5FEWX|6MBVNT|8TLV|aRCR
78	35154 22331	6	   	267.85	DCR|4VULN|3DUR|1TLV	124DUR|3479VULN|4BPWR|5MBVNT|6FEWX|8TLV|aRCR
79	35154 24331	7	   	267.85	DCR|4VULN|3DUR|1TLV	124DUR|3479VULN|4BPWR|5MBVNT|6FEWX|8TLV|aRCR
80	21421 24323	1	   	267.83	DCR|3VULN|3DMG|2CDMG|1AART	14CDMG|259VULN|356DMG|5BPWR|7AART|8RCR|aDUST
81	35151 21613	8	   	267.27	DCR|3VULN|3DUR|1TLV|1CDMG	124DUR|348VULN|4BPWR|5LIT|6CDMG|7TLV|9ZMB|aRCR
82	35151 21623	9	   	267.27	DCR|3VULN|3DUR|1TLV|1CDMG	124DUR|348VULN|4BPWR|5LIT|6CDMG|7TLV|9ZMB|aRCR
83	35151 21623	8	   	267.27	DCR|3VULN|3DUR|1TLV|1CDMG	124DUR|348VULN|4BPWR|5LIT|6CDMG|7TLV|9BEXP|aRCR
84	35151 21633	8	   	267.27	DCR|3VULN|3DUR|1TLV|1CDMG	124DUR|348VULN|4BPWR|5LIT|6CDMG|7TLV|9LHND|aRCR
85	35151 26233	9	   	267.27	DCR|3VULN|3DUR|1TLV|1CDMG	124DUR|347VULN|4BPWR|5LIT|6CDMG|8MLV|9TLV|aRCR
86	13612 54231	9	   	267.23	DCR|3VULN|2DMG|2DUR|1CDMG	17FEWX|278VULN|36DMG|4LWND|57DUR|7BPWR|9CDMG|aRCR
87	13612 54233	10	   	267.23	DCR|3VULN|2DMG|2DUR|1CDMG	17FEWX|278VULN|36DMG|4LWND|57DUR|7BPWR|9CDMG|aRCR
88	36316 14231	9	   	267.23	DCR|3VULN|2DMG|2DUR|1CDMG	17DUR|27DMG|36FEWX|4LWND|578VULN|7BPWR|9CDMG|aRCR
89	36316 14233	10	   	267.23	DCR|3VULN|2DMG|2DUR|1CDMG	17DUR|27DMG|36FEWX|4LWND|578VULN|7BPWR|9CDMG|aRCR
90	36316 24231	9	   	267.23	DCR|3VULN|2DMG|2DUR|1CDMG	17DUR|27DMG|3FEWX|46LWND|578VULN|7BPWR|9CDMG|aRCR
91	36316 24233	10	   	267.23	DCR|3VULN|2DMG|2DUR|1CDMG	17DUR|27DMG|3FEWX|46LWND|578VULN|7BPWR|9CDMG|aRCR
92	35141 12361	3	   	267.15	DCR|2VULN|3DUR|2DMG|1TLV|1ASPD	128DUR|38VULN|4RCVC|5LHND|6TLV|78DMG|8BPWR|9ASPD|aRCR
93	35231 22361	3	   	267.15	DCR|2VULN|3DUR|2DMG|1TLV|1ASPD	128DUR|38LHND|4TLV|56VULN|78DMG|8BPWR|9ASPD|aRCR
94	35331 22361	3	   	267.15	DCR|2VULN|3DUR|2DMG|1TLV|1ASPD	128DUR|38LWND|4TLV|56VULN|78DMG|8BPWR|9ASPD|aRCR
95	35331 22361	2	   	267.15	DCR|2VULN|3DUR|2DMG|1TLV|1ASPD	128DUR|38LWND|4TLV|56VULN|78DMG|8BPWR|9ASPD|aRCR
96	31636 14231	9	   	267.13	DCR|3VULN|2DMG|2DUR|1CDMG	17DUR|26FEWX|37DMG|4LEGI|578VULN|7BPWR|9CDMG|aRCR
97	31636 14233	10	   	267.13	DCR|3VULN|2DMG|2DUR|1CDMG	17DUR|26FEWX|37DMG|4LEGI|578VULN|7BPWR|9CDMG|aRCR
98	35131 26311	9	   	267.09	DCR|3VULN|3DUR|2CDMG|1AART	127DUR|379VULN|4LIT|5LHND|67CDMG|7BPWR|8RCR|aAART
99	32313 31643	2	   	267.05	DCR|2VULN|3DUR|2DMG|1TLV|1ASPD	19aDUR|2TLV|3aVULN|4ASPD|5BEXP|6aDMG|7RCR|8TBNT|aBPWR
100	35114 12361	5	   	267.05	DCR|2VULN|3DUR|2DMG|1TLV|1ASPD	128DUR|38VULN|4DUST|5DMSP|6TLV|78DMG|8BPWR|9ASPD|aRCR
101	13115 22145	2	   	267.03	DCR|3VULN|2DMG|2DUR|1CDMG	1FEWX|26aVULN|34DUR|57DMG|8RCR|9CDMG
102	35113 26311	9	   	266.99	DCR|3VULN|3DUR|2CDMG|1AART	127DUR|379VULN|4DUST|5LIT|67CDMG|7BPWR|8RCR|aAART
103	11151 23312	9	   	266.94	DCR|4VULN|2DUR|2CDMG	124FEWX|349aVULN|4aBPWR|5LIT|6aCDMG|7aDUR|8RCR
104	13551 23312	9	   	266.94	DCR|4VULN|2DUR|2CDMG	134FEWX|249aVULN|4aBPWR|5LIT|6aCDMG|7aDUR|8RCR
105	35131 26334	8	 * 	266.83	DCR|2VULN|3DUR|1DMG|2CDMG|1TLV	127DUR|37VULN|4LIT|5LHND|67CDMG|7BPWR|8RCR|9TLV|aDMG
106	13612 54131	8	   	266.81	DCR|3VULN|3DUR|2DMG	17FEWX|279VULN|36DMG|4LWND|578DUR|7BPWR|aRCR
107	35153 33231	6	   	266.81	DCR|3VULN|3DUR|2DMG	124DUR|348VULN|48BPWR|58BEXP|6BELT|78DMG|9DUST|aRCR
108	36312 25431	5	   	266.81	DCR|3VULN|3DUR|2DMG	157DUR|27DMG|3FEWX|48LWND|679VULN|7BPWR|aRCR
109	36316 14131	8	   	266.81	DCR|3VULN|3DUR|2DMG	178DUR|27DMG|36FEWX|4LWND|579VULN|7BPWR|aRCR
110	36316 24131	8	   	266.81	DCR|3VULN|3DUR|2DMG	178DUR|27DMG|3FEWX|46LWND|579VULN|7BPWR|aRCR
111	32312 34585	2	   	266.76	DCR|3VULN|2DUR|2TLV|2CDMG|1ASPD	18DUR|28TLV|379VULN|4ASPD|58CDMG|6MBVNT|8BPWR|aRCR
112	35113 26334	8	   	266.73	DCR|2VULN|3DUR|1DMG|2CDMG|1TLV	127DUR|37VULN|4DUST|5LIT|67CDMG|7BPWR|8RCR|9TLV|aDMG
113	31636 14131	8	   	266.71	DCR|3VULN|3DUR|2DMG	178DUR|26FEWX|37DMG|4LEGI|579VULN|7BPWR|aRCR
114	35155 21221	5	   	266.71	DCR|3VULN|3DUR|2DMG	124DUR|348VULN|48BPWR|58DMG|68DUST|7BELT|9BEXP|aRCR
115	33263 32425	6	   	266.61	DCR|3VULN|3DUR|2DMG	138DUR|2RPLT|4ERES|578VULN|68DMG|8BPWR|9BBNT|aRCR
116	36352 12411	2	   	265.90	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	18DUR|2DMG|378VULN|4CGEN|5CDMG|68LHND|8BPWR|9TLV|aRCR
117	36352 22411	2	   	265.90	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	18DUR|2DMG|378VULN|4CGEN|5CDMG|68FEWX|8BPWR|9TLV|aRCR
118	36362 12411	2	   	265.80	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	18DUR|2DMG|378VULN|4ERES|5CDMG|68LHND|8BPWR|9TLV|aRCR
119	36362 22411	2	   	265.80	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	18DUR|2DMG|378VULN|4ERES|5CDMG|68FEWX|8BPWR|9TLV|aRCR
120	36233 62343	3	   	265.67	DCR|3VULN|3DUR|1DMG|1TLV	189DUR|2DMG|389ZMB|4TLV|56MLV|789VULN|89BPWR|aRCR
121	33131 52366	1	 * 	265.48	ACR|3VULN|3DUR|2DMG|2TLV|1ASPD	138DUR|2RCR|46TLV|58aVULN|78DMG|8BPWR|9ASPD
122	33353 65312	7	   	265.47	DCR|3VULN|3DUR|2CDMG|1TLV	149DUR|2RPLT|34MLV|49BPWR|569VULN|7RCR|89CDMG|aTLV
123	33353 65312	6	   	265.47	DCR|3VULN|3DUR|2CDMG|1TLV	149DUR|2RPLT|34MLV|49BPWR|569VULN|7RCR|89CDMG|aTLV
124	33233 65311	6	   	265.37	DCR|3VULN|3DUR|2CDMG|1TLV	139DUR|2RPLT|4TLV|569VULN|7RCR|89CDMG|9BPWR|aFEWX
125	33233 65311	7	   	265.37	DCR|3VULN|3DUR|2CDMG|1TLV	139DUR|2RPLT|4TLV|569VULN|7RCR|89CDMG|9BPWR|aFEWX
126	11154 34116	8	   	265.35	DCR|4VULN|2DMG|2CDMG	124FEWX|3489VULN|49BPWR|5MBVNT|69DMG|79CDMG|aRCR
127	33233 65313	7	   	265.27	DCR|3VULN|3DUR|2CDMG|1TLV	139DUR|2RPLT|4TLV|569VULN|7RCR|89CDMG|9BPWR|aBBNT
128	33233 65313	6	   	265.27	DCR|3VULN|3DUR|2CDMG|1TLV	139DUR|2RPLT|4TLV|569VULN|7RCR|89CDMG|9BPWR|aBBNT
129	33233 65314	7	   	265.27	DCR|3VULN|3DUR|2CDMG|1TLV	139DUR|2RPLT|4TLV|569VULN|7RCR|89CDMG|9BPWR|aDUST
130	33233 65314	6	   	265.27	DCR|3VULN|3DUR|2CDMG|1TLV	139DUR|2RPLT|4TLV|569VULN|7RCR|89CDMG|9BPWR|aDUST
131	33263 65312	6	   	265.27	DCR|3VULN|3DUR|2CDMG|1TLV	139DUR|2RPLT|4ERES|569VULN|7RCR|89CDMG|9BPWR|aTLV
132	33263 65312	7	   	265.27	DCR|3VULN|3DUR|2CDMG|1TLV	139DUR|2RPLT|4ERES|569VULN|7RCR|89CDMG|9BPWR|aTLV
133	21421 32334	1	   	265.25	DCR|4VULN|2DMG|2CDMG	14CDMG|2568VULN|35DMG|5BPWR|7LHND|9RCVC|aRCR
134	21421 32354	1	   	265.25	DCR|4VULN|2DMG|2CDMG	14CDMG|2568VULN|35DMG|5BPWR|79LHND|aRCR
135	22222 33612	5	   	265.00	DCR|3VULN|2DMG|3CDMG|1TLV	129CDMG|3LWND|489VULN|59DMG|6RCR|7RPLT|9BPWR|aTLV
136	22223 33612	4	   	265.00	DCR|3VULN|2DMG|3CDMG|1TLV	129CDMG|3LWND|489VULN|59DMG|6RCR|7RPLT|9BPWR|aTLV
137	22263 33612	3	   	265.00	DCR|3VULN|2DMG|3CDMG|1TLV	129CDMG|3LWND|489VULN|59DMG|6RCR|7RPLT|9BPWR|aTLV
138	22463 33612	2	   	265.00	DCR|3VULN|2DMG|3CDMG|1TLV	129CDMG|3LWND|489VULN|59DMG|6RCR|7RPLT|9BPWR|aTLV
139	22463 33612	1	   	265.00	DCR|3VULN|2DMG|3CDMG|1TLV	129CDMG|3LWND|489VULN|59DMG|6RCR|7RPLT|9BPWR|aTLV
140	21313 33516	1	   	265.00	DCR|3VULN|2DMG|3CDMG|1DUR	189CDMG|269VULN|3LHND|4DUR|59DMG|7RPLT|9BPWR|aRCR
141	22314 28853	10	   	264.90	DCR|3VULN|2DMG|3CDMG|1DUR	128CDMG|3MBVNT|4FEWX|568VULN|78DMG|8BPWR|9DUR|aRCR
142	22325 34412	4	   	264.90	DCR|3VULN|2DMG|3CDMG|1TLV	129CDMG|3MBVNT|479VULN|5RPLT|69DMG|8RCR|9BPWR|aTLV
143	22344 28853	10	   	264.90	DCR|3VULN|2DMG|3CDMG|1DUR	128CDMG|3MBVNT|4BEXP|568VULN|78DMG|8BPWR|9DUR|aRCR
144	36433 42131	9	   	264.55	DCR|2VULN|3DUR|2DMG|1CDMG|1ASPD	189DUR|29DMG|3RPLT|4ASPD|5CDMG|6RCR|79VULN|9BPWR|aLHND
145	36433 42132	10	   	264.55	DCR|2VULN|3DUR|2DMG|1CDMG|1ASPD	189DUR|29DMG|3RPLT|4ASPD|5CDMG|6RCR|79VULN|9BPWR|aZMB
146	36433 42133	10	   	264.55	DCR|2VULN|3DUR|2DMG|1CDMG|1ASPD	189DUR|29DMG|3RPLT|4ASPD|5CDMG|6RCR|79VULN|9BPWR|aRMIN
147	21421 32515	1	   	264.51	DCR|3VULN|3DMG|3CDMG	149CDMG|256VULN|359DMG|59BPWR|79LHND|8RMIN|aRCR
148	21421 52414	1	   	264.41	DCR|3VULN|3DMG|3CDMG	149CDMG|259VULN|359DMG|59BPWR|6MBVNT|7RPLT|8RCR|aCGEN
149	21421 52412	1	   	264.31	DCR|3VULN|3DMG|3CDMG	149CDMG|259VULN|359DMG|59BPWR|6MBVNT|7RPLT|8RCR|aERES
150	21421 52413	1	   	264.31	DCR|3VULN|3DMG|3CDMG	149CDMG|259VULN|359DMG|59BPWR|6MBVNT|7RPLT|8RCR|aDUST
151	21421 52474	1	   	264.31	DCR|3VULN|3DMG|3CDMG	14aCDMG|25aVULN|35aDMG|5aBPWR|6MBVNT|7RPLT|8RCR|9BBNT
152	35131 26353	9	   	264.18	DCR|3VULN|3DUR|2CDMG|2LIT	127DUR|37aVULN|4aLIT|5LHND|67CDMG|7aBPWR|8RCR|9aMLV
153	33321 43254	8	   	264.08	DCR|3VULN|3DUR|1DMG|2LIT	178DUR|2RPLT|3MLV|467VULN|57LIT|7BPWR|9RCR|aDMG
154	35151 15313	9	   	264.08	DCR|3VULN|3DUR|2CDMG|2LIT	124DUR|349VULN|49BPWR|59LIT|6LHND|7MLV|89CDMG|aRCR
155	35151 32122	5	   	264.08	DCR|3VULN|3DUR|2CDMG|2LIT	124DUR|349VULN|49BPWR|59LIT|6MLV|7CGEN|89CDMG|aRCR
156	35151 34123	5	   	264.08	DCR|3VULN|3DUR|2CDMG|2LIT	124DUR|349VULN|49BPWR|59LIT|6MLV|7ZMB|89CDMG|aRCR
157	35151 35313	9	   	264.08	DCR|3VULN|3DUR|2CDMG|2LIT	124DUR|349VULN|49BPWR|59LIT|6FEWX|7MLV|89CDMG|aRCR
158	35151 51123	7	   	264.08	DCR|3VULN|3DUR|2CDMG|2LIT	124DUR|349VULN|49BPWR|59LIT|6ZMB|7MLV|89CDMG|aRCR
159	35151 52122	6	   	264.08	DCR|3VULN|3DUR|2CDMG|2LIT	124DUR|349VULN|49BPWR|59LIT|6ZMB|7CGEN|89CDMG|aRCR
160	32153 31663	3	   	264.04	DCR|2VULN|2DMG|2DUR|2ASPD|1TLV	1aDUR|2TLV|3aASPD|49VULN|5BEXP|6aDMG|7RCR|8TBNT|aBPWR
161	33233 44333	7	 * 	263.98	DCR|3VULN|3DUR|3TLV|2LIT	137DUR|2RPLT|479TLV|579VULN|6LEGI|79BPWR|89LIT|aRCR
162	35151 36122	5	   	263.98	DCR|3VULN|3DUR|2CDMG|2LIT	124DUR|349VULN|49BPWR|59LIT|6MLV|7ERES|89CDMG|aRCR
163	35131 26343	8	   	263.98	DCR|3VULN|3DUR|2CDMG|2LIT	127DUR|37aVULN|4aLIT|5LHND|67CDMG|7aBPWR|8RCR|9aERES
164	35131 26363	7	   	263.98	DCR|3VULN|3DUR|2CDMG|2LIT	127DUR|379VULN|48LIT|5LHND|67CDMG|7BPWR|aRCR
165	35165 23312	9	   	263.98	DCR|3VULN|3DUR|2CDMG|2LIT	127DUR|39aVULN|4BEXP|5aLIT|6aCDMG|8RCR|aBPWR
