0	Index      	Bounty	 *	Score 	Summary	Detail	
1	23462 34111	8	 * 	293.49	DCR|4VULN|3DUR|3TLV|2CDMG	169TLV|24aDUR|39CDMG|5679VULN|69BPWR|8RCR
20	23462 31111	8	   	272.44	DCR|3VULN|3DUR|3TLV|2CDMG	169TLV|24aDUR|39CDMG|569VULN|69BPWR|7DMSP|8RCR
21	23462 35321	7	   	272.34	DCR|3VULN|3DUR|3TLV|2CDMG	167TLV|248DUR|37CDMG|567VULN|67BPWR|9RCR|aERES
22	23512 34126	10	   	269.62	DCR|4VULN|2TLV|2DUR|1AART|1SELL	13TLV|26DUR|4SELL|567aVULN|6BPWR|8RCR|9AART
23	23512 34132	10	   	268.26	DCR|4VULN|2TLV|2DUR|1SELL	13TLV|26DUR|4SELL|567aVULN|6BPWR|8RCR|9ASPD
24	23612 11232	2	 * 	267.76	DCR|2VULN|3DMG|2TLV|2DUR	19TLV|29DUR|34VULN|5LHND|6RCR|79aDMG|8TBNT|9BPWR
25	23612 11332	2	   	267.76	DCR|2VULN|3DMG|2TLV|2DUR	19TLV|29DUR|34VULN|5LHND|6RCR|79aDMG|8BBNT|9BPWR
26	22461 11134	8	   	267.69	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	1TLV|2LWND|3CDMG|4DUR|568VULN|7RCR|9aDMG
27	23441 11134	8	   	267.69	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	1TLV|2DUR|3CDMG|4BEXP|568VULN|7RCR|9aDMG
28	23441 51112	10	   	265.77	DCR|4VULN|2DUR|1TLV|1CDMG	1TLV|26DUR|3CDMG|4BEXP|568aVULN|6BPWR|7RCR|9BELT
29	23412 52362	10	   	265.76	DCR|2VULN|2DMG|2TLV|2DUR|1CDMG|1NUKE	1aTLV|2aDUR|3CDMG|4NUKE|59VULN|6RMIN|7aDMG|8RCR|aBPWR
30	23462 33234	6	   	265.76	DCR|2VULN|2DMG|2TLV|2DUR|1CDMG	16TLV|24DUR|3CDMG|56VULN|6BPWR|7RCR|8LHND|9aDMG
31	23462 33334	6	   	265.66	DCR|2VULN|2DMG|2TLV|2DUR|1CDMG	16TLV|24DUR|3CDMG|56VULN|6BPWR|7RCR|8aDMG|9DUST
32	23114 11233	3	 * 	265.34	DCR|2VULN|3DUR|2DMG|2TLV	19TLV|259DUR|3BEXP|4aVULN|6RCR|79DMG|8TBNT|9BPWR
33	23114 11333	3	   	265.34	DCR|2VULN|3DUR|2DMG|2TLV	19TLV|259DUR|3BEXP|4aVULN|6RCR|79DMG|8BBNT|9BPWR
34	23214 11233	3	   	265.34	DCR|2VULN|3DUR|2DMG|2TLV	19TLV|259DUR|3FEWX|4aVULN|6RCR|79DMG|8TBNT|9BPWR
35	23214 11333	3	   	265.34	DCR|2VULN|3DUR|2DMG|2TLV	19TLV|259DUR|3FEWX|4aVULN|6RCR|79DMG|8BBNT|9BPWR
36	23514 11233	2	   	265.34	DCR|2VULN|3DUR|2DMG|2TLV	19TLV|259DUR|3BEXP|4aVULN|6RCR|79DMG|8TBNT|9BPWR
37	23514 11333	2	   	265.34	DCR|2VULN|3DUR|2DMG|2TLV	19TLV|259DUR|3BEXP|4aVULN|6RCR|79DMG|8BBNT|9BPWR
38	23632 11233	2	   	265.34	DCR|2VULN|3DUR|2DMG|2TLV	19TLV|249DUR|3aVULN|5LHND|6RCR|79DMG|8TBNT|9BPWR
39	23632 11333	2	   	265.34	DCR|2VULN|3DUR|2DMG|2TLV	19TLV|249DUR|3aVULN|5LHND|6RCR|79DMG|8BBNT|9BPWR
40	23633 54112	2	   	265.24	DCR|2VULN|3DUR|2DMG|2TLV	18TLV|245DUR|37VULN|6RCR|9aDMG
41	21362 32331	8	   	265.11	DCR|4VULN|3DUR|1TLV|1SELL	1TLV|2SELL|346DUR|568aVULN|6BPWR|7CGEN|9RCR
42	21362 33331	8	   	265.11	DCR|4VULN|3DUR|1TLV|1SELL	1TLV|2SELL|346DUR|568aVULN|6BPWR|7RMIN|9RCR
43	21362 36331	8	   	265.11	DCR|4VULN|3DUR|1TLV|1SELL	1TLV|2SELL|346DUR|568aVULN|6BPWR|7MLV|9RCR
44	23441 51112	9	   	264.79	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	1TLV|26DUR|3CDMG|4BEXP|568VULN|6BPWR|7RCR|9BELT|aDMG
45	23441 51132	8	   	264.79	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	1TLV|26DUR|3CDMG|4BEXP|568VULN|6BPWR|7RCR|9DMG|aLWND
46	23441 51122	8	   	264.69	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	1TLV|26DUR|3CDMG|4BEXP|568VULN|6BPWR|7RCR|9DUST|aDMG
47	23441 51131	8	   	264.69	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	1TLV|26DUR|3CDMG|4BEXP|568VULN|6BPWR|7RCR|9DMG|aLEGI
48	23441 52131	7	   	264.69	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	1TLV|26DUR|3CDMG|4BEXP|56aVULN|6BPWR|7DMG|8BBNT|9RCR
49	21362 32334	8	 * 	264.12	DCR|3VULN|3DUR|1TLV|1DMG|1SELL	1TLV|2SELL|346DUR|568VULN|6BPWR|7CGEN|9RCR|aDMG
50	21362 33334	8	 * 	264.12	DCR|3VULN|3DUR|1TLV|1DMG|1SELL	1TLV|2SELL|346DUR|568VULN|6BPWR|7RMIN|9RCR|aDMG
51	21362 36334	8	 * 	264.12	DCR|3VULN|3DUR|1TLV|1DMG|1SELL	1TLV|2SELL|346DUR|568VULN|6BPWR|7MLV|9RCR|aDMG
