0	Index      	Bounty	 *	Score 	Summary	Detail	
1	45363 31223	10	 * 	285.76	DCR|3VULN|3DMG|1TLV|1DUR|2LIT	18LIT|258DMG|3TLV|4DUR|678VULN|8BPWR|9ZMB|aRCR
20	63233 21653	1	 * 	269.91	DCR|4VULN|2DMG|2LIT|1AART	1RCVC|234aVULN|3aBPWR|5aLIT|6AART|7aDMG|8RMIN|9RCR
21	52363 42331	7	   	267.85	DCR|4VULN|3DUR|1TLV	123DUR|2BPWR|4TLV|5LWND|689aVULN|7RCR
22	42322 22662	4	 * 	267.55	ACR|5VULN|3DUR|2LIT|1CDMG	18LIT|2RCR|378DUR|45689VULN|8BPWR|aCDMG
23	43242 23115	8	 * 	267.23	DCR|3VULN|2CDMG|1DMG|1DUR|2LIT|1ASPD	1aLIT|2BELT|3DUR|45aVULN|6RCR|7ASPD|8DMG|9aCDMG|aBPWR
24	43226 21611	9	   	267.10	DCR|3VULN|2DUR|1DMG|1TLV|2LIT	19LIT|2BELT|39DUR|4DMG|5LHND|679VULN|8RCR|9BPWR|aTLV
25	22342 21313	10	   	266.84	DCR|4VULN|2DUR|1DMG	12LHND|25BPWR|35DUR|457aVULN|6LIT|8DMG|9RCR
26	22342 43313	10	   	266.84	DCR|4VULN|2DUR|1DMG	12LHND|25BPWR|35DUR|456aVULN|7DMG|8LIT|9RCR
27	32332 21313	10	   	266.84	DCR|4VULN|2DUR|1DMG	12FEWX|25BPWR|35DUR|457aVULN|6LIT|8DMG|9RCR
28	32332 43313	10	   	266.84	DCR|4VULN|2DUR|1DMG	12FEWX|25BPWR|35DUR|456aVULN|7DMG|8LIT|9RCR
29	52632 21313	9	   	266.84	DCR|4VULN|2DUR|1DMG	12DUR|25BPWR|35BEXP|457aVULN|6LIT|8DMG|9RCR
30	52632 21313	10	   	266.84	DCR|4VULN|2DUR|1DMG	12DUR|25BPWR|35BEXP|457aVULN|6LIT|8DMG|9RCR
31	52632 43313	9	   	266.84	DCR|4VULN|2DUR|1DMG	12DUR|25BPWR|35BEXP|456aVULN|7DMG|8LIT|9RCR
32	52632 43313	10	   	266.84	DCR|4VULN|2DUR|1DMG	12DUR|25BPWR|35BEXP|456aVULN|7DMG|8LIT|9RCR
33	52632 21613	7	   	266.76	DCR|4VULN|3DUR|2LIT	128DUR|258BPWR|35BEXP|4578VULN|68LIT|9LWND|aRCR
34	55331 23261	7	   	266.71	DCR|3VULN|3DUR|2DMG	156DUR|2ZMB|3CGEN|45aVULN|5BPWR|78DMG|9RCR
35	52232 21313	10	   	266.64	DCR|4VULN|2DUR|1DMG	12DUR|25BPWR|35DUST|457aVULN|6LIT|8DMG|9RCR
36	52232 43313	10	   	266.64	DCR|4VULN|2DUR|1DMG	12DUR|25BPWR|35DUST|456aVULN|7DMG|8LIT|9RCR
37	56632 21313	10	   	266.64	DCR|4VULN|2DUR|1DMG	13DUR|25DUST|457aVULN|5BPWR|6LIT|8DMG|9RCR
38	52312 41243	8	   	266.61	DCR|3VULN|3DUR|2DMG	123DUR|2BPWR|4MLV|568VULN|7aDMG|9RCR
39	52312 41253	9	   	266.61	DCR|3VULN|3DUR|2DMG	123DUR|2BPWR|4MLV|568VULN|7aDMG|9RCR
40	52312 41343	7	   	266.61	DCR|3VULN|3DUR|2DMG	123DUR|2BPWR|4MLV|568VULN|7aDMG|9RCR
41	52312 43243	8	   	266.61	DCR|3VULN|3DUR|2DMG	123DUR|2BPWR|4MLV|567VULN|8aDMG|9RCR
42	52312 43253	9	   	266.61	DCR|3VULN|3DUR|2DMG	123DUR|2BPWR|4MLV|567VULN|8aDMG|9RCR
43	53341 23261	7	   	266.61	DCR|3VULN|3DUR|2DMG	156DUR|2ERES|3CGEN|45aVULN|5BPWR|78DMG|9RCR
44	52232 21613	7	   	266.56	DCR|4VULN|3DUR|2LIT	128DUR|258BPWR|35DUST|4578VULN|68LIT|9LWND|aRCR
45	43242 22632	10	   	265.81	DCR|4VULN|1DMG|1DUR|1CDMG	1LIT|2BELT|3DUR|4589VULN|6RCR|7CDMG|aDMG
46	52324 13421	7	   	265.66	DCR|2VULN|3DUR|2DMG|2LIT|1ASPD	123DUR|29BPWR|49LIT|59DMG|69VULN|7RCR|8TBNT|aASPD
47	52311 36631	8	   	265.27	DCR|3VULN|3DUR|1DMG|1TLV	123DUR|2BPWR|4MLV|5TLV|6DMG|79aVULN|8RCR
48	45363 31132	10	   	264.68	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1LIT|25DMG|3TLV|4aDUR|67VULN|8CDMG|9RCR
49	45233 13513	9	   	263.52	DCR|3VULN|2DMG|1TLV|2LIT|1AART	18LIT|28DMG|37RMIN|4AART|568VULN|8BPWR|9TLV|aRCR
50	63233 21153	1	   	263.36	DCR|4VULN|2DMG|1AART	1RCVC|234aVULN|3aBPWR|5LIT|6AART|7aDMG|8aCGEN|9RCR
51	32332 35121	5	   	263.34	DCR|3VULN|2DMG|2DUR|1AART	129FEWX|259BPWR|35DUR|459VULN|6RPLT|79DMG|8AART|aRCR
52	32332 54121	7	   	263.34	DCR|3VULN|2DMG|2DUR|1AART	129FEWX|259BPWR|35DUR|459VULN|6RPLT|79DMG|8AART|aRCR
53	32332 54321	8	   	263.34	DCR|3VULN|2DMG|2DUR|1AART	129FEWX|259BPWR|35DUR|459VULN|6RPLT|79DMG|8AART|aRCR
54	32332 55121	6	   	263.34	DCR|3VULN|2DMG|2DUR|1AART	129FEWX|259BPWR|35DUR|459VULN|6RPLT|79DMG|8AART|aRCR
55	51322 22416	7	   	262.90	DCR|4VULN|3DUR|1ASPD	148DUR|2348CGEN|48BPWR|5678VULN|9ASPD|aRCR
56	63322 22416	7	   	262.90	DCR|4VULN|3DUR|1ASPD	1RCVC|248CGEN|348DUR|48BPWR|5678VULN|9ASPD|aRCR
57	51312 22416	7	   	262.80	DCR|4VULN|3DUR|1ASPD	148DUR|238CGEN|5678VULN|8BPWR|9ASPD|aRCR
58	63312 22416	7	   	262.80	DCR|4VULN|3DUR|1ASPD	1RCVC|28CGEN|348DUR|5678VULN|8BPWR|9ASPD|aRCR
59	52312 43316	7	   	262.60	DCR|4VULN|3DUR|1ASPD	123DUR|2BPWR|4MLV|5678VULN|9ASPD|aRCR
60	53431 13631	8	   	262.60	DCR|4VULN|3DUR|1ASPD	157DUR|2ERES|3ASPD|459aVULN|5BPWR|6CGEN|8RCR
61	53431 33631	8	   	262.60	DCR|4VULN|3DUR|1ASPD	157DUR|2ERES|3ASPD|459aVULN|5BPWR|6RMIN|8RCR
62	53431 24132	10	   	261.92	DCR|3VULN|3DUR|1CDMG|1ASPD	15aDUR|2ERES|3ASPD|457VULN|5BPWR|6LIT|8CDMG|9RCR
63	22342 21315	10	   	261.79	DCR|3VULN|2DMG|2DUR	12LHND|25BPWR|35DUR|457VULN|6LIT|8aDMG|9RCR
64	22342 43315	10	   	261.79	DCR|3VULN|2DMG|2DUR	12LHND|25BPWR|35DUR|456VULN|7aDMG|8LIT|9RCR
65	32332 21315	10	   	261.79	DCR|3VULN|2DMG|2DUR	12FEWX|25BPWR|35DUR|457VULN|6LIT|8aDMG|9RCR
66	32332 43315	10	   	261.79	DCR|3VULN|2DMG|2DUR	12FEWX|25BPWR|35DUR|456VULN|7aDMG|8LIT|9RCR
67	52632 21315	10	   	261.79	DCR|3VULN|2DMG|2DUR	12DUR|25BPWR|35BEXP|457VULN|6LIT|8aDMG|9RCR
68	52232 21315	10	   	261.59	DCR|3VULN|2DMG|2DUR	12DUR|25BPWR|35DUST|457VULN|6LIT|8aDMG|9RCR
69	52232 43315	10	   	261.59	DCR|3VULN|2DMG|2DUR	12DUR|25BPWR|35DUST|456VULN|7aDMG|8LIT|9RCR
70	62326 11212	10	 * 	261.59	DCR|2VULN|3DUR|3TLV|1DMG|1ASPD	1RCVC|248TLV|348DUR|48BPWR|5LIT|6ASPD|78VULN|9DMG|aRCR
71	62326 11213	9	   	261.59	DCR|2VULN|3DUR|3TLV|1DMG|1ASPD	1RCVC|248TLV|348DUR|48BPWR|5LIT|6ASPD|78VULN|9DMG|aRCR
72	22342 21316	9	   	260.45	DCR|3VULN|2DUR|1DMG|1TLV	12LHND|25BPWR|35DUR|457VULN|6LIT|8DMG|9RCR|aTLV
73	22342 43316	9	   	260.45	DCR|3VULN|2DUR|1DMG|1TLV	12LHND|25BPWR|35DUR|456VULN|7DMG|8LIT|9RCR|aTLV
74	32332 21316	9	   	260.45	DCR|3VULN|2DUR|1DMG|1TLV	12FEWX|25BPWR|35DUR|457VULN|6LIT|8DMG|9RCR|aTLV
75	32332 43316	9	   	260.45	DCR|3VULN|2DUR|1DMG|1TLV	12FEWX|25BPWR|35DUR|456VULN|7DMG|8LIT|9RCR|aTLV
76	22342 21136	10	   	260.43	DCR|4VULN|2DUR|1CDMG	12LHND|25BPWR|35DUR|457aVULN|6LIT|8CDMG|9RCR
77	32332 21136	10	   	260.43	DCR|4VULN|2DUR|1CDMG	12FEWX|25BPWR|35DUR|457aVULN|6LIT|8CDMG|9RCR
78	52632 21136	10	   	260.43	DCR|4VULN|2DUR|1CDMG	12DUR|25BPWR|35BEXP|457aVULN|6LIT|8CDMG|9RCR
79	21431 23524	7	 * 	260.31	DCR|3VULN|2DMG|2ASPD|1DUR	159LHND|2CGEN|39ASPD|457VULN|59BPWR|6DUR|89DMG|aRCR
80	52232 21316	9	   	260.25	DCR|3VULN|2DUR|1DMG|1TLV	12DUR|25BPWR|35DUST|457VULN|6LIT|8DMG|9RCR|aTLV
81	52232 43316	9	   	260.25	DCR|3VULN|2DUR|1DMG|1TLV	12DUR|25BPWR|35DUST|456VULN|7DMG|8LIT|9RCR|aTLV
82	52232 21136	10	   	260.23	DCR|4VULN|2DUR|1CDMG	12DUR|25BPWR|35DUST|457aVULN|6LIT|8CDMG|9RCR
83	51431 23362	7	   	260.13	DCR|3VULN|3DUR|1DMG|1ASPD	156DUR|2CGEN|3ASPD|458VULN|5BPWR|7DMG|9RCR|aBEXP
84	51431 23631	10	   	260.13	DCR|3VULN|3DUR|1DMG|1ASPD	156DUR|29CGEN|3ASPD|45aVULN|5BPWR|7DMG|8RCR
85	51431 23631	9	   	260.13	DCR|3VULN|3DUR|1DMG|1ASPD	156DUR|29CGEN|3ASPD|45aVULN|5BPWR|7DMG|8RCR
86	51431 23632	8	   	260.13	DCR|3VULN|3DUR|1DMG|1ASPD	156DUR|2CGEN|3ASPD|459VULN|5BPWR|7DMG|8RCR|aBEXP
87	52312 24253	10	   	260.03	DCR|3VULN|3DUR|2ASPD|1AART	123DUR|27BPWR|47MLV|578VULN|67ASPD|9RCR|aAART
88	51431 23363	7	   	260.03	DCR|3VULN|3DUR|1DMG|1ASPD	156DUR|2CGEN|3ASPD|458VULN|5BPWR|7DMG|9RCR|aDUST
89	51431 23633	8	   	260.03	DCR|3VULN|3DUR|1DMG|1ASPD	156DUR|2CGEN|3ASPD|459VULN|5BPWR|7DMG|8RCR|aDUST
90	51432 23361	7	   	260.03	DCR|3VULN|3DUR|1DMG|1ASPD	156DUR|2CGEN|3ASPD|48aVULN|7DMG|9RCR
91	51432 23631	8	   	260.03	DCR|3VULN|3DUR|1DMG|1ASPD	156DUR|2CGEN|3ASPD|49aVULN|7DMG|8RCR
92	52312 23631	8	   	260.03	DCR|3VULN|3DUR|1DMG|1ASPD	123DUR|2BPWR|4MLV|59aVULN|6ASPD|7DMG|8RCR
93	52312 23641	10	   	260.03	DCR|3VULN|3DUR|1DMG|1ASPD	123DUR|2BPWR|4MLV|59aVULN|6ASPD|7DMG|8RCR
94	52312 23641	9	   	260.03	DCR|3VULN|3DUR|1DMG|1ASPD	123DUR|2BPWR|4MLV|59aVULN|6ASPD|7DMG|8RCR
95	53431 33632	9	 * 	260.03	DCR|3VULN|3DUR|2TLV|1ASPD	157DUR|2aERES|3ASPD|45aVULN|5aBPWR|6RMIN|8RCR|9aTLV
96	22342 36613	8	 * 	259.89	DCR|4VULN|2DUR|2ASPD	129LHND|259BPWR|35DUR|459aVULN|6RMIN|79ASPD|8RCR
97	62321 22356	3	 * 	259.48	DCR|5VULN|1TLV|1DUR	1RCVC|2TLV|3DUR|45689VULN|7ERES|aRCR
98	63231 22356	1	   	259.48	DCR|5VULN|1TLV|1DUR	1RCVC|23489VULN|3BPWR|5TLV|6DUR|7ERES|aRCR
99	42322 21333	4	 * 	258.79	ACR|4VULN|2DMG|2DUR|2LIT	19LIT|2RCR|39DUR|456aVULN|7BEXP|89DMG|9BPWR
100	42325 21333	5	   	258.79	ACR|4VULN|2DMG|2DUR|2LIT	19LIT|2RCR|39DUR|456aVULN|7BEXP|89DMG|9BPWR
101	43242 22126	9	 * 	258.71	DCR|4VULN|2CDMG|1DUR|2LIT	1aLIT|2BELT|3DUR|459aVULN|6RCR|7aCDMG|8MBVNT|aBPWR
102	52312 41253	10	   	258.68	DCR|3VULN|3DUR|1DMG|1AART	123DUR|2BPWR|4MLV|568VULN|7DMG|9RCR|aAART
103	52312 43253	10	   	258.68	DCR|3VULN|3DUR|1DMG|1AART	123DUR|2BPWR|4MLV|567VULN|8DMG|9RCR|aAART
104	52312 24252	10	   	258.68	DCR|3VULN|3DUR|2ASPD	123DUR|27BPWR|47MLV|578VULN|67ASPD|9RCR|aLIT
105	45233 13513	8	   	258.27	DCR|3VULN|2DMG|2LIT|1ASPD|1AART	18LIT|28DMG|37RMIN|4AART|568VULN|8BPWR|9ASPD|aRCR
106	22342 21366	8	   	257.85	DCR|3VULN|2DUR|1DMG|1CDMG	12LHND|25BPWR|35DUR|457VULN|6LIT|8DMG|9CDMG|aRCR
107	32332 21366	8	   	257.85	DCR|3VULN|2DUR|1DMG|1CDMG	12FEWX|25BPWR|35DUR|457VULN|6LIT|8DMG|9CDMG|aRCR
108	32332 43366	8	   	257.85	DCR|3VULN|2DUR|1DMG|1CDMG	12FEWX|25BPWR|35DUR|456VULN|7DMG|8LIT|9CDMG|aRCR
109	16433 24213	10	   	257.84	DCR|3VULN|2DUR|1TLV|2LIT|1ASPD	18ERES|28DUR|3ASPD|457VULN|68LIT|8BPWR|9TLV|aRCR
110	53433 24213	10	   	257.84	DCR|3VULN|2DUR|1TLV|2LIT|1ASPD	18DUR|28ERES|3ASPD|457VULN|68LIT|8BPWR|9TLV|aRCR
111	52221 22356	2	 * 	257.81	DCR|5VULN|2DUR	12DUR|2BPWR|3MLV|45689VULN|7ERES|aRCR
112	53221 22356	1	   	257.81	DCR|5VULN|2DUR	12DUR|2BPWR|3MLV|45689VULN|7ERES|aRCR
113	51431 32153	10	   	257.78	DCR|4VULN|2DUR|1ASPD	15DUR|2CGEN|3ASPD|4578VULN|5BPWR|6ZMB|9LIT|aRCR
114	52122 22625	9	   	257.66	DCR|3VULN|3DUR|2LIT|1CDMG	12aDUR|2aBPWR|3aLIT|4BELT|5BEXP|6RCR|7CDMG|89aVULN
115	42324 23236	4	 * 	257.45	ACR|4VULN|2DUR|2CDMG|1TLV|2LIT	19LIT|2RCR|36DUR|4689VULN|5RPLT|69BPWR|79CDMG|aTLV
116	52312 41252	10	   	257.33	DCR|3VULN|3DUR|1DMG	123DUR|2BPWR|4MLV|568VULN|7DMG|9RCR|aLIT
117	52312 43252	10	   	257.33	DCR|3VULN|3DUR|1DMG	123DUR|2BPWR|4MLV|567VULN|8DMG|9RCR|aLIT
118	52316 11116	7	   	257.33	DCR|3VULN|3DUR|1DMG	123DUR|2BPWR|4MLV|5LIT|68aVULN|7RCR|9DMG
119	52321 31313	3	   	257.23	DCR|3VULN|3DUR|1DMG	123DUR|2BPWR|4BBNT|5LIT|67aVULN|8DMG|9RCR
120	52323 22313	3	   	257.23	DCR|3VULN|3DUR|1DMG	123DUR|2BPWR|4BBNT|5DMG|67aVULN|8LIT|9RCR
121	52324 13163	7	   	257.23	DCR|3VULN|3DUR|1DMG	123DUR|2BPWR|4LIT|5DMG|68aVULN|7RCR|9TBNT
122	52333 21313	3	   	257.23	DCR|3VULN|3DUR|1DMG	123DUR|2BPWR|47aVULN|5TBNT|6LIT|8DMG|9RCR
123	52333 43313	3	   	257.23	DCR|3VULN|3DUR|1DMG	123DUR|2BPWR|46aVULN|5TBNT|7DMG|8LIT|9RCR
124	52361 31313	3	   	257.23	DCR|3VULN|3DUR|1DMG	123DUR|2BPWR|4TBNT|5LIT|67aVULN|8DMG|9RCR
125	52363 22313	3	   	257.23	DCR|3VULN|3DUR|1DMG	123DUR|2BPWR|4TBNT|5DMG|67aVULN|8LIT|9RCR
126	51433 33433	4	   	257.01	DCR|3VULN|2DUR|2ASPD|1DMG	18DUR|2CGEN|38ASPD|489VULN|5MBVNT|6TBNT|7RCR|8BPWR|aDMG
127	45333 16223	7	   	256.73	DCR|3VULN|1DMG|1TLV|2LIT|1ASPD|1AART	19LIT|2DMG|3TLV|4AART|567VULN|8ASPD|aRCR
128	51431 22631	6	   	256.21	DCR|3VULN|3DUR|1TLV|1ASPD	156DUR|2CGEN|3ASPD|459VULN|5BPWR|7BBNT|8RCR|aTLV
129	52312 25631	8	   	256.21	DCR|3VULN|3DUR|1TLV|1ASPD	123DUR|2BPWR|4MLV|59aVULN|6ASPD|7TLV|8RCR
130	52311 31611	10	   	255.95	DCR|2VULN|3DUR|2DMG|1TLV	123DUR|2BPWR|4MLV|5TLV|67DMG|8RCR|9aVULN
131	52311 31611	9	   	255.95	DCR|2VULN|3DUR|2DMG|1TLV	123DUR|2BPWR|4MLV|5TLV|67DMG|8RCR|9aVULN
132	52362 31611	10	   	255.95	DCR|2VULN|3DUR|2DMG|1TLV	123DUR|2BPWR|4TLV|5MLV|67DMG|8RCR|9aVULN
133	52362 31611	9	   	255.95	DCR|2VULN|3DUR|2DMG|1TLV	123DUR|2BPWR|4TLV|5MLV|67DMG|8RCR|9aVULN
