0	Index      	 *	Score 	Summary	Detail	
1	23251 61326	 * 	275.80	DCR|DCR|3VULN|1RPLT	14aVULN|24CGEN|3RPLT|4aBPWR|5aBLAICY|69RCR|7aLWND|8AAC
13	23251 65221	   	267.11	DCR|DCR|2VULN|1ASPD|1RPLT|1MSE	14VULN|24CGEN|3RPLT|4BPWR|5BLAICY|69RCR|7ASPD|8LWND|aMSE
14	13232 52345	   	260.40	DCR|DCR|2MLV|1VULN|1RPLT	1DUST|2LIT|38MLV|4RMIN|5LWND|6aRCR|7VULN|9RPLT
15	13233 13345	   	260.40	DCR|DCR|2MLV|1VULN|1RPLT	1DUST|2LIT|38MLV|4RMIN|5VULN|6LWND|7aRCR|9RPLT
16	22111 36121	   	259.61	DCR|DCR|1VULN|1DMG|1ASPD	1VULN|2DUR|3LIT|4AAC|5ASPD|6aRCR|7TBNT|8CANSTR|9DMG
17	22111 36421	   	259.61	DCR|DCR|1VULN|1DMG|1ASPD	1VULN|2DUR|3LIT|4AAC|5ASPD|6aRCR|7TBNT|8SNITOX|9DMG
18	22111 36521	   	259.61	DCR|DCR|1VULN|1DMG|1ASPD	1VULN|2DUR|3LIT|4AAC|5ASPD|6aRCR|7TBNT|8VENTOX|9DMG
19	43311 36121	   	259.61	DCR|DCR|1VULN|1DMG|1ASPD	1DUR|2LIT|3VULN|4AAC|5ASPD|6aRCR|7TBNT|8CANSTR|9DMG
20	43311 36421	   	259.61	DCR|DCR|1VULN|1DMG|1ASPD	1DUR|2LIT|3VULN|4AAC|5ASPD|6aRCR|7TBNT|8SNITOX|9DMG
21	43311 36521	   	259.61	DCR|DCR|1VULN|1DMG|1ASPD	1DUR|2LIT|3VULN|4AAC|5ASPD|6aRCR|7TBNT|8VENTOX|9DMG
22	45111 36121	   	259.61	DCR|DCR|1VULN|1DMG|1ASPD	1DUR|2VULN|3LIT|4AAC|5ASPD|6aRCR|7TBNT|8CANSTR|9DMG
23	13233 51525	   	258.29	DCR|DCR|1VULN|1MLV|2RPLT	1DUST|2LIT|3MLV|4RMIN|5VULN|6aRCR|7DUR|89RPLT
24	13512 44186	   	256.98	DCR|DCR|1VULN|1MLV|1CDMG	1DUST|2LIT|3CDMG|4MBVNT|5TBNT|6DUR|7aRCR|8MLV|9VULN
25	22233 15643	 * 	256.44	ACR|DCR|2VULN|2MLV	18VULN|2DUR|3aRCR|4BELT|5TBNT|67MLV|9FEWX
26	22262 63111	   	255.93	ACR|DCR|2VULN|1ASPD|1AART|1RPLT|1ZMB	18VULN|2DUR|36RCR|4FRZFST|5ZMB|7RPLT|9AART|aASPD
27	22151 52225	 * 	255.54	DCR|4VULN|2ASPD|1MLV|2DUR	1789VULN|27DUR|3LIT|4CGEN|57ASPD|6RCR|7BPWR|aMLV
28	32151 15226	   	253.66	DCR|DCR|2VULN|1RPLT	1AAC|23aCGEN|3aBPWR|4RPLT|5MULARM|6aVULN|79RCR|8aLWND
29	23251 61322	   	253.56	DCR|DCR|2VULN|1RPLT	14VULN|24CGEN|3RPLT|4BPWR|5BLAICY|69RCR|7LWND|8AAC|aFEWX
30	23251 61323	   	253.56	DCR|DCR|2VULN|1RPLT	14VULN|24CGEN|3RPLT|4BPWR|5BLAICY|69RCR|7LWND|8AAC|aRCVC
31	23251 61325	   	253.56	DCR|DCR|2VULN|1RPLT	14VULN|24CGEN|3RPLT|4BPWR|5BLAICY|69RCR|7LWND|8AAC|aBELT
32	23211 55226	   	253.56	DCR|DCR|2VULN|1RPLT	1aVULN|24CGEN|3RPLT|5aBLAICY|6AAC|79RCR|8aLWND|aBPWR
33	23211 61326	   	253.56	DCR|DCR|2VULN|1RPLT	1aVULN|24CGEN|3RPLT|5aBLAICY|69RCR|7aLWND|8AAC|aBPWR
34	23251 55222	   	253.56	DCR|DCR|2VULN|1RPLT	14VULN|24CGEN|3RPLT|4BPWR|5BLAICY|6AAC|79RCR|8LWND|aFEWX
35	23251 55223	   	253.56	DCR|DCR|2VULN|1RPLT	14VULN|24CGEN|3RPLT|4BPWR|5BLAICY|6AAC|79RCR|8LWND|aRCVC
36	31152 25226	   	253.56	DCR|DCR|2VULN|1RPLT	16AAC|2aMULARM|3CGEN|4aVULN|5RPLT|79RCR|8aLWND|aBPWR
37	23251 61321	   	253.46	DCR|DCR|2VULN|1RPLT|1MSE	14VULN|24CGEN|3RPLT|4BPWR|5BLAICY|69RCR|7LWND|8AAC|aMSE
38	23251 61324	   	253.46	DCR|DCR|2VULN|1RPLT|1ZMB	14VULN|24CGEN|3RPLT|4BPWR|5BLAICY|69RCR|7LWND|8AAC|aZMB
39	23251 55221	   	253.46	DCR|DCR|2VULN|1RPLT|1MSE	14VULN|24CGEN|3RPLT|4BPWR|5BLAICY|6AAC|79RCR|8LWND|aMSE
40	21365 11111	 * 	252.57	DCR|4VULN|2DMG|1RPLT	157aVULN|2BASARM|37DMG|4RPLT|67LIT|7BPWR|8DUR|9RCR
41	22151 52116	 * 	252.56	DCR|3VULN|2ASPD|1DMG|2DUR|1CDMG	179VULN|27DUR|3LIT|4CGEN|57ASPD|6RCR|7BPWR|8CDMG|aDMG
42	22232 87633	 * 	251.99	ACR|DCR|3VULN|2DUR	178VULN|27DUR|3aRCR|4BELT|5MBVNT|67FEWX|7BPWR|9BASICY
43	22232 76413	   	251.79	ACR|DCR|3VULN|2DUR	189VULN|29DUR|3aRCR|4BELT|5MBVNT|6LEGI|79SPLREG|9BPWR
44	33121 51243	   	251.31	DCR|DCR|1VULN|1DMG|1ASPD	1AAC|23BEXP|4VULN|5DMG|6MDPS|7FEWX|89RCR|aASPD
45	33121 54243	   	251.21	DCR|DCR|1VULN|1DMG|1ASPD	1AAC|23BEXP|4VULN|5DMG|6MDPS|7LEGI|89RCR|aASPD
46	63232 32242	   	251.21	DCR|DCR|1VULN|1DMG|1ASPD	1MDPS|2DMG|3LHND|4RMIN|5BEXP|6ERES|7ASPD|89RCR|aVULN
47	13323 15255	   	251.21	DCR|DCR|1VULN|1DMG|1CDMG	1DUST|24LIT|3RMIN|5VULN|6CDMG|7BLAICY|89RCR|aDMG
48	13333 15255	   	251.21	DCR|DCR|1VULN|1DMG|1CDMG	1DUST|2LIT|34RMIN|5VULN|6CDMG|7BLAICY|89RCR|aDMG
49	15111 36121	   	251.21	DCR|DCR|1VULN|1DMG|1ASPD	1DUST|2VULN|3LIT|4AAC|5ASPD|6aRCR|7TBNT|8CANSTR|9DMG
50	15111 36421	   	251.21	DCR|DCR|1VULN|1DMG|1ASPD	1DUST|2VULN|3LIT|4AAC|5ASPD|6aRCR|7TBNT|8SNITOX|9DMG
51	15111 36521	   	251.21	DCR|DCR|1VULN|1DMG|1ASPD	1DUST|2VULN|3LIT|4AAC|5ASPD|6aRCR|7TBNT|8VENTOX|9DMG
52	25111 36121	   	251.21	DCR|DCR|1VULN|1DMG|1ASPD	1VULN|2DUST|3LIT|4AAC|5ASPD|6aRCR|7TBNT|8CANSTR|9DMG
53	25111 36421	   	251.21	DCR|DCR|1VULN|1DMG|1ASPD	1VULN|2DUST|3LIT|4AAC|5ASPD|6aRCR|7TBNT|8SNITOX|9DMG
54	25111 36521	   	251.21	DCR|DCR|1VULN|1DMG|1ASPD	1VULN|2DUST|3LIT|4AAC|5ASPD|6aRCR|7TBNT|8VENTOX|9DMG
55	13313 15255	   	251.11	DCR|DCR|1VULN|1DMG|1CDMG	14DUST|2LIT|3RMIN|5VULN|6CDMG|7BLAICY|89RCR|aDMG
56	22151 52353	 * 	251.01	DCR|2VULN|3ASPD|2DMG|3DUR	17VULN|27aDUR|3LIT|4CGEN|57aASPD|6RCR|7aBPWR|8BEXP|9aDMG
57	22262 63134	   	250.15	ACR|DCR|2VULN|1MLV|1RPLT|1ZMB	18VULN|2DUR|36RCR|4FRZFST|5ZMB|7RPLT|9BEXP|aMLV
58	13232 52525	   	249.98	DCR|DCR|1VULN|1MLV|2RPLT	1DUST|2LIT|3MLV|4RMIN|5LWND|6aRCR|7VULN|89RPLT
59	13233 13525	   	249.98	DCR|DCR|1VULN|1MLV|2RPLT	1DUST|2LIT|3MLV|4RMIN|5VULN|6LWND|7aRCR|89RPLT
60	22231 42413	   	249.81	ACR|DCR|2VULN|1DMG|2DUR	19VULN|29DUR|3aRCR|4BELT|5TSLARM|6DMG|79DUST|8AAC|9BPWR
61	22234 13234	 * 	249.71	ACR|DCR|2VULN|2CDMG|2DUR	16VULN|28DUR|3aRCR|4BELT|57CDMG|9MBVNT
62	45234 13234	   	249.71	ACR|DCR|2VULN|2CDMG|2DUR	18DUR|26VULN|3aRCR|4BELT|57CDMG|9MBVNT
63	23611 52623	 * 	248.92	DCR|3VULN|3DMG|1MLV	18aVULN|278aCGEN|3MLV|4TLV|58aDMG|6RCR|8aBPWR|9DMSP
64	13522 34186	   	248.68	DCR|DCR|1VULN|1MLV|1CDMG	1DUST|2LIT|3CDMG|4LWND|5TBNT|6MBVNT|7aRCR|8MLV|9VULN
65	22262 61212	   	248.05	ACR|DCR|2DMG|1VULN|1CDMG|1ZMB	1VULN|2DUR|36RCR|4FRZFST|5ZMB|7CGEN|8aDMG|9CDMG
66	22262 64211	   	248.00	ACR|DCR|1VULN|1DMG|1MLV|1CDMG|1ZMB	1VULN|2DUR|36RCR|4FRZFST|5ZMB|7MLV|8DMG|9CDMG|aTBNT
67	22262 64212	   	248.00	ACR|DCR|1VULN|1DMG|1MLV|1CDMG|1ZMB	1VULN|2DUR|36RCR|4FRZFST|5ZMB|7MLV|8DMG|9CDMG|aBBNT
68	22262 64222	   	248.00	ACR|DCR|1VULN|1DMG|1MLV|1CDMG|1ZMB	1VULN|2DUR|36RCR|4FRZFST|5ZMB|7MLV|8DMG|9LHND|aCDMG
69	22262 64213	   	247.90	ACR|DCR|1VULN|1DMG|1MLV|1CDMG|1ZMB|1MSE	1VULN|2DUR|36RCR|4FRZFST|5ZMB|7MLV|8DMG|9CDMG|aMSE
70	21342 23222	   	247.22	DCR|DCR|1VULN|1DMG|1RPLT	1VULN|2BASARM|3DMG|46AAC|5RPLT|7BBNT|8aRCR|9DUST
71	21366 15222	   	247.12	DCR|DCR|1VULN|1DMG|1RPLT	1VULN|2BASARM|3DMG|4RPLT|56ERES|79RCR|8LWND|aFEWX
72	21366 15223	   	247.12	DCR|DCR|1VULN|1DMG|1RPLT	1VULN|2BASARM|3DMG|4RPLT|56ERES|79RCR|8LWND|aRCVC
73	21365 11113	   	247.05	DCR|3VULN|2DMG|1CDMG|1RPLT	157VULN|2BASARM|37DMG|4RPLT|67LIT|7BPWR|8DUR|9RCR|aCDMG
74	22262 64131	   	247.04	ACR|DCR|2VULN|1MLV|2DUR|1ZMB	1aVULN|28DUR|36RCR|4FRZFST|5ZMB|7MLV|9BEXP
75	22262 64331	   	247.04	ACR|DCR|2VULN|1MLV|2DUR|1ZMB	1aVULN|29DUR|36RCR|4FRZFST|5ZMB|7MLV|8FEWX
76	21366 15221	   	247.02	DCR|DCR|1VULN|1DMG|1RPLT|1MSE	1VULN|2BASARM|3DMG|4RPLT|56ERES|79RCR|8LWND|aMSE
77	22262 63633	   	246.67	ACR|DCR|1VULN|1DMG|2DUR|1ASPD|1RPLT|1ZMB	1VULN|2aDUR|36RCR|4FRZFST|5ZMB|7RPLT|8DMG|9ASPD
