0	Index      	 *	Score 	Summary	Detail	
1	26123 52253	 * 	296.25	DCR|DCR|1VULN|2ASPD|2CDMG|1MLV|2DUR	1ERES|29DUR|3VULN|4MLV|59ASPD|6LIT|7aRCR|89CDMG|9BPWR
16	11612 52253	   	277.61	DCR|DCR|2VULN|2CDMG|1ASPD	1ASPD|29CGEN|3LWND|4ERES|59VULN|6LIT|7aRCR|89CDMG|9BPWR
17	13612 52253	   	277.61	DCR|DCR|2VULN|2CDMG|1ASPD	1ASPD|29TLV|3LHND|4ERES|59VULN|6LIT|7aRCR|89CDMG|9BPWR
18	16213 34213	   	271.30	DCR|DCR|2VULN|1ASPD|1CDMG	1ASPD|24VULN|34LIT|4BPWR|5BEXP|6RCVC|7aRCR|8CDMG|9LWND
19	16113 52213	   	271.20	DCR|DCR|2VULN|1ASPD|1CDMG	1ASPD|23VULN|4LHND|5LWND|6LIT|7aRCR|8CDMG|9RCVC
20	16113 52243	   	271.20	DCR|DCR|2VULN|1ASPD|1CDMG	1ASPD|23VULN|4LHND|5LWND|69LIT|7aRCR|8CDMG
21	16113 52263	   	271.20	DCR|DCR|2VULN|1ASPD|1CDMG	1ASPD|23VULN|49LHND|5LWND|6LIT|7aRCR|8CDMG
22	16211 54213	   	271.20	DCR|DCR|2VULN|1ASPD|1CDMG	1ASPD|24VULN|34LIT|4BPWR|5AELOIC|6FEWX|7aRCR|8CDMG|9LWND
23	16211 64213	   	271.20	DCR|DCR|2VULN|1ASPD|1CDMG	1ASPD|24VULN|34LIT|4BPWR|5AELOIC|6LWND|7aRCR|8CDMG|9LHND
24	12135 36233	   	271.10	DCR|DCR|2VULN|1ASPD|1CDMG	1ASPD|2BEXP|38VULN|4CDMG|5LIT|6TLV|7aRCR|9ERES
25	12164 36233	   	271.10	DCR|DCR|2VULN|1ASPD|1CDMG	1ASPD|2BEXP|38VULN|4LIT|5CDMG|6TLV|7aRCR|9ERES
26	12131 36233	   	271.00	DCR|DCR|2VULN|1ASPD|1CDMG	1ASPD|2BEXP|38VULN|4CDMG|5AME|6LIT|7aRCR|9ERES
27	16431 36233	   	271.00	DCR|DCR|2VULN|1ASPD|1CDMG	1ASPD|28VULN|3FEWX|4CDMG|5AME|6LIT|7aRCR|9ERES
28	16531 36233	   	270.90	DCR|DCR|2VULN|1ASPD|1CDMG	1ASPD|28VULN|3DUST|4CDMG|5AME|6LIT|7aRCR|9ERES
29	11125 52213	   	270.83	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1ASPD|2CGEN|3MLV|4VULN|5DUR|6LIT|7aRCR|8CDMG|9RCVC
30	11125 52243	   	270.83	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1ASPD|2CGEN|3MLV|4VULN|5DUR|69LIT|7aRCR|8CDMG
31	13125 52213	   	270.83	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1ASPD|2TLV|3MLV|4VULN|5DUR|6LIT|7aRCR|8CDMG|9RCVC
32	13125 52243	   	270.83	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1ASPD|2TLV|3MLV|4VULN|5DUR|69LIT|7aRCR|8CDMG
33	14125 52213	   	270.73	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1ASPD|2ERES|3MLV|4VULN|5DUR|6LIT|7aRCR|8CDMG|9RCVC
34	26123 52213	   	270.73	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1ERES|2DUR|3VULN|4MLV|5ASPD|6LIT|7aRCR|8CDMG|9RCVC
35	26123 52243	   	270.73	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1ERES|2DUR|3VULN|4MLV|5ASPD|69LIT|7aRCR|8CDMG
36	11123 52253	   	269.04	DCR|DCR|1VULN|2CDMG|1MLV|1ASPD	1ASPD|29CGEN|3MLV|4VULN|59LWND|6LIT|7aRCR|89CDMG|9BPWR
37	13123 52253	   	269.04	DCR|DCR|1VULN|2CDMG|1MLV|1ASPD	1ASPD|29TLV|3MLV|4VULN|59LWND|6LIT|7aRCR|89CDMG|9BPWR
38	14123 52253	   	268.84	DCR|DCR|1VULN|2CDMG|1MLV|1ASPD	1ASPD|29ERES|3MLV|4VULN|59LWND|6LIT|7aRCR|89CDMG|9BPWR
39	16242 13316	 * 	268.59	DCR|3VULN|2DMG|2ASPD|1MLV|1SELL	17ASPD|278VULN|3LIT|4MLV|5SELL|67DMG|7BPWR|9RPLT|aRCR
