0	Index      	 *	Score 	Summary	Detail	
1	36232 13625	 * 	282.24	DCR|DCR|2VULN|1DMG|1ASPD	1BEXP|2AAC|3ERES|4DMG|5CGEN|6aVULN|7ASPD|89RCR
28	23232 43865	   	258.38	DCR|DCR|1VULN|1DMG|1RPLT	1SPLARM|2DMG|3VULN|4MBVNT|5LWND|6DUR|7aRCR|8RPLT|9BBNT
29	26235 13164	   	258.09	DCR|DCR|2VULN|1RPLT	1SPLARM|2RMIN|39VULN|4MBVNT|5LHND|6CGEN|7aRCR|8RPLT
30	23234 53714	 * 	257.80	DCR|DCR|2DMG|1VULN	1SPLARM|25DMG|3VULN|4MBVNT|6FEWX|7aRCR|8DUST|9ERES
31	23234 73714	   	257.80	DCR|DCR|2DMG|1VULN	1SPLARM|25DMG|3VULN|4MBVNT|6LHND|7aRCR|8DUST|9ERES
32	23231 63714	   	257.75	DCR|DCR|1VULN|1DMG|1MLV	1SPLARM|2DMG|3VULN|4MBVNT|5TLV|6MLV|7aRCR|8DUST|9ERES
33	26234 63714	   	257.75	DCR|DCR|1VULN|1DMG|1MLV	1SPLARM|2RMIN|3VULN|4MBVNT|5DMG|6MLV|7aRCR|8DUST|9ERES
34	63321 61236	 * 	257.09	DCR|4VULN|2MLV|1DMG	1678VULN|2AAC|3MDPS|47MLV|5BBNT|7BPWR|9DMG|aRCR
35	64232 13142	   	255.74	DCR|3VULN|2ASPD|1DMG|1MLV	126VULN|3DUR|4DMG|5MLV|7RMIN|8aASPD|9RCR
36	24232 43334	   	255.71	DCR|DCR|1VULN|1ASPD|1CDMG|1ZMB	1SPLARM|2VULN|3ASPD|4MBVNT|5LWND|6DUR|7aRCR|8ZMB|9CDMG
37	24235 44334	   	255.71	DCR|DCR|1VULN|1ASPD|1CDMG|1ZMB	1SPLARM|2VULN|3ASPD|4MBVNT|5LHND|6DUR|7aRCR|8ZMB|9CDMG
38	64332 12141	   	255.13	DCR|4VULN|1DMG|1MLV|1ASPD	126aVULN|3BEXP|4DMG|5CGEN|7MLV|8ASPD|9RCR
39	66332 12141	   	255.13	DCR|4VULN|1DMG|1MLV|1ASPD	136aVULN|2FEWX|4DMG|5CGEN|7MLV|8ASPD|9RCR
40	64232 12216	   	254.91	DCR|3VULN|2MLV|1DMG|1RPLT	126VULN|3DUR|4DMG|57MLV|8LHND|9RPLT|aRCR
41	23234 48381	 * 	254.37	DCR|3VULN|3DMG|1MLV	1SPLARM|256DMG|36aVULN|4MBVNT|6BPWR|7MLV|8DLOT|9RCR
42	36232 13622	   	254.16	DCR|DCR|1VULN|1DMG|1ASPD	1BEXP|2AAC|3ERES|4DMG|5CGEN|6VULN|7ASPD|89RCR|aLWND
43	36232 13624	   	254.16	DCR|DCR|1VULN|1DMG|1ASPD	1BEXP|2AAC|3ERES|4DMG|5CGEN|6VULN|7ASPD|89RCR|aDMSP
44	63245 32222	   	254.16	DCR|DCR|1VULN|1DMG|1ASPD	1VULN|2AAC|3ERES|4BBNT|5RMIN|69RCR|7ASPD|8DMG|aCGEN
45	63245 32223	   	254.16	DCR|DCR|1VULN|1DMG|1ASPD	1VULN|2AAC|3ERES|4BBNT|5RMIN|69RCR|7ASPD|8DMG|aLWND
46	63244 32222	   	254.06	DCR|DCR|1VULN|1DMG|1ASPD	1VULN|2AAC|3ERES|4BBNT|5AME|69RCR|7ASPD|8DMG|aCGEN
47	63244 32223	   	254.06	DCR|DCR|1VULN|1DMG|1ASPD	1VULN|2AAC|3ERES|4BBNT|5AME|69RCR|7ASPD|8DMG|aLWND
48	23232 72834	   	254.06	DCR|DCR|1VULN|1DMG|1CDMG	1SPLARM|2DMG|3VULN|4MBVNT|5LWND|6AAC|7LHND|8aRCR|9CDMG
49	23235 72834	   	254.06	DCR|DCR|1VULN|1DMG|1CDMG	1SPLARM|2DMG|3VULN|4MBVNT|5LHND|6AAC|7LWND|8aRCR|9CDMG
50	36232 13626	   	254.06	DCR|DCR|1VULN|1DMG|1ASPD	1BEXP|2AAC|3ERES|4DMG|5CGEN|6VULN|7ASPD|89RCR|aMDPS
51	63245 32221	   	254.06	DCR|DCR|1VULN|1DMG|1ASPD	1VULN|2AAC|3ERES|4BBNT|5RMIN|69RCR|7ASPD|8DMG|aDUST
52	63244 32221	   	253.96	DCR|DCR|1VULN|1DMG|1ASPD	1VULN|2AAC|3ERES|4BBNT|5AME|69RCR|7ASPD|8DMG|aDUST
53	32352 13521	   	252.95	DCR|3VULN|1DMG|1MLV|1ASPD|1AART	1BEXP|25aVULN|3MLV|4AART|6DUR|7ASPD|8RCR|9DMG
54	32353 13521	   	252.95	DCR|3VULN|1DMG|1MLV|1ASPD|1AART	1BEXP|26aVULN|3MLV|4AART|5ASPD|7DUR|8RCR|9DMG
55	62352 13521	   	252.85	DCR|3VULN|1DMG|1MLV|1ASPD|1AART	15aVULN|2DUST|3MLV|4AART|6DUR|7ASPD|8RCR|9DMG
