0	Index      	 *	Score 	Summary	Detail	
1	26432 42122	 * 	226.78	DCR|1SPLARM|3ASPD|2DMG|1AART|1VULN	19CGEN|2AART|3SPLARM|49DMG|579ASPD|6RCR|8RPLT|9BPWR|aVULN
15	41233 83723	 * 	211.84	DCR|3VULN|2ASPD|1AART|1CDMG	15aVULN|29ASPD|3CDMG|4MBVNT|6AART|7BEXP|8RCR
16	61233 83723	   	211.84	DCR|3VULN|2ASPD|1AART|1CDMG	19ASPD|25aVULN|3CDMG|4MBVNT|6AART|7BEXP|8RCR
17	56321 22622	 * 	210.79	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|1DUR	1DUST|27AART|3VULN|4DMG|5RMIN|6DUR|8RCR|9CDMG|aASPD
18	41423 11633	 * 	209.49	DCR|3VULN|2DMG|1ASPD|1CDMG	148VULN|2ASPD|38DMG|5BASARM|6BEXP|78DUST|8BPWR|9RCR|aCDMG
19	41423 31633	   	209.49	DCR|3VULN|2DMG|1ASPD|1CDMG	148VULN|2ASPD|38DMG|5BASARM|6LWND|78DUST|8BPWR|9RCR|aCDMG
20	41421 24321	 * 	209.49	DCR|4VULN|2DMG|1ASPD	1467VULN|2ASPD|37DMG|567FEWX|67BPWR|8RPLT|9RCR|aLHND
21	41421 24322	   	209.49	DCR|4VULN|2DMG|1ASPD	1467VULN|2ASPD|37DMG|567FEWX|67BPWR|8RPLT|9RCR|aMLV
22	41421 24323	   	209.49	DCR|4VULN|2DMG|1ASPD	1467VULN|2ASPD|37DMG|567FEWX|67BPWR|8RPLT|9RCR|aBEXP
23	35261 32335	   	209.00	DCR|3VULN|3DMG|1ASPD	1BELT|258DMG|36aVULN|4ASPD|7LWND|9RCR
24	62411 23123	   	208.64	DCR|2VULN|2ASPD|1AART|1CDMG|1ZMB	1aASPD|2RPLT|3AART|4CDMG|5aLIT|6RCR|7ZMB|8FEWX|9aVULN|aBPWR
25	62411 23523	   	208.54	DCR|2VULN|2ASPD|1AART|1CDMG|1ZMB	1aASPD|2RPLT|3AART|4CDMG|5aLIT|6RCR|7ZMB|8DUST|9aVULN|aBPWR
26	13334 22135	   	207.87	DCR|3VULN|1AART|1ASPD|1DMG|1ZMB	1MULARM|268VULN|3ASPD|4RPLT|5AART|7DMG|9ZMB|aRCR
27	31533 62334	 * 	207.76	DCR|3VULN|2DMG|2ASPD	1BELT|234AME|57aVULN|6aASPD|8aDMG|9RCR|aBPWR
28	13662 53312	 * 	207.47	DCR|2VULN|1AART|1NUKE|1CDMG|1ZMB|1DUR	1MULARM|29VULN|3RMIN|4AART|5DUR|6CDMG|7RCR|8ZMB|aNUKE
29	41326 63133	   	207.24	DCR|3VULN|2ASPD|1AART|2DUR	14aVULN|2aASPD|3DUST|5LHND|6aDUR|7LEGI|8AART|9RCR|aBPWR
30	61326 63133	   	207.24	DCR|3VULN|2ASPD|1AART|2DUR	1aASPD|24aVULN|3DUST|5LHND|6aDUR|7LEGI|8AART|9RCR|aBPWR
31	21442 26212	 * 	207.11	DCR|3DMG|2VULN|1MDPS|1AART|1ZMB	1CGEN|29VULN|35aDMG|4MDPS|6AART|7ZMB|8RCR
32	35261 13121	   	207.00	DCR|3VULN|3DMG|1ASPD	1BELT|257DMG|389VULN|4ASPD|6CGEN|aRCR
33	66631 13212	 * 	206.52	DCR|2VULN|2AART|1MDPS|1ASPD|1DMG	1ASPD|24AART|3MDPS|5RMIN|69VULN|7TLV|8RCR|aDMG
34	13334 22635	   	206.11	DCR|2VULN|2AART|1ASPD|1DMG|1ZMB	1MULARM|26VULN|3ASPD|4RPLT|58AART|7DMG|9ZMB|aRCR
35	41213 11642	   	206.03	DCR|3VULN|1AART|1ASPD|1CDMG|1DUR	159VULN|2ASPD|3CDMG|4DUR|6MLV|7BELT|8RCR|aAART
36	61213 11642	   	206.03	DCR|3VULN|1AART|1ASPD|1CDMG|1DUR	1ASPD|259VULN|3CDMG|4DUR|6MLV|7BELT|8RCR|aAART
37	51411 22153	   	205.95	DCR|3ASPD|2DMG|1VULN|1AART|1AAC	1DUST|248ASPD|34DMG|4BPWR|5BELT|6VULN|7AAC|9RCR|aAART
38	61423 11633	 * 	205.88	DCR|2VULN|2DMG|2ASPD|1CDMG	18ASPD|24VULN|38DMG|5BASARM|6BEXP|78DUST|8BPWR|9RCR|aCDMG
39	61423 31633	   	205.88	DCR|2VULN|2DMG|2ASPD|1CDMG	18ASPD|24VULN|38DMG|5BASARM|6LWND|78DUST|8BPWR|9RCR|aCDMG
40	35255 21331	 * 	205.58	DCR|3DMG|2VULN|2ASPD	1BELT|278DMG|37VULN|4CGEN|5MLV|67ASPD|7BPWR|9RCR|aLHND
41	35255 21332	   	205.58	DCR|3DMG|2VULN|2ASPD	1BELT|278DMG|37VULN|4CGEN|5MLV|67ASPD|7BPWR|9RCR|aLWND
42	41211 33155	 * 	205.49	DCR|2VULN|2CDMG|1ASPD|1DMG|2DUR|1ZMB	1aVULN|2ASPD|35CDMG|46DUR|7ZMB|8DMG|9RCR
43	61211 33155	   	205.49	DCR|2VULN|2CDMG|1ASPD|1DMG|2DUR|1ZMB	1ASPD|2aVULN|35CDMG|46DUR|7ZMB|8DMG|9RCR
44	35255 21333	   	205.48	DCR|3DMG|2VULN|2ASPD	1BELT|278DMG|37VULN|4CGEN|5MLV|67ASPD|7BPWR|9RCR|aERES
45	64231 84133	 * 	204.59	DCR|2VULN|2ASPD|3CDMG|1AART	18ASPD|2LWND|358CDMG|4MBVNT|6AART|78VULN|8BPWR|9DUST|aRCR
46	41233 83722	   	204.34	DCR|2VULN|2ASPD|1AART|1CDMG|1ZMB	15VULN|29ASPD|3CDMG|4MBVNT|6AART|7BEXP|8RCR|aZMB
47	61233 83722	   	204.34	DCR|2VULN|2ASPD|1AART|1CDMG|1ZMB	19ASPD|25VULN|3CDMG|4MBVNT|6AART|7BEXP|8RCR|aZMB
48	41421 22433	 * 	204.32	DCR|3VULN|2ASPD|1DMG|1CDMG	146VULN|27ASPD|3DMG|56FEWX|6BPWR|8CDMG|9LHND|aRCR
49	13334 32135	   	204.25	DCR|2VULN|2ASPD|1AART|1DMG|1ZMB	1MULARM|28VULN|36ASPD|4RPLT|5AART|7DMG|9ZMB|aRCR
50	62411 21421	   	203.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1ASPD|2RPLT|3AART|4CDMG|5LIT|6RCR|7AME|89VULN|aDMG
51	62411 22421	   	203.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1ASPD|2RPLT|3AART|4CDMG|5LIT|6RCR|7TLV|89VULN|aDMG
52	66143 32121	 * 	203.78	DCR|3VULN|2AART|1ASPD|1ZMB	1ASPD|26AART|3MLV|457VULN|8ZMB|9ERES|aRCR
53	41212 15126	 * 	203.56	DCR|2VULN|1MDPS|2ASPD|1AART|1CDMG|2DUR	17VULN|29ASPD|3CDMG|48DUR|5MDPS|6AART|aRCR
54	61212 15126	   	203.56	DCR|2VULN|1MDPS|2ASPD|1AART|1CDMG|2DUR	19ASPD|27VULN|3CDMG|48DUR|5MDPS|6AART|aRCR
55	41213 32613	   	203.56	DCR|3VULN|1ASPD|1DMG|1CDMG|2DUR	157VULN|2ASPD|3CDMG|46DUR|8FEWX|9DMG|aRCR
56	61213 32613	   	203.56	DCR|3VULN|1ASPD|1DMG|1CDMG|2DUR	1ASPD|257VULN|3CDMG|46DUR|8FEWX|9DMG|aRCR
57	41213 32113	   	203.46	DCR|3VULN|1ASPD|1DMG|1CDMG|2DUR	157VULN|2ASPD|3CDMG|46DUR|8DUST|9DMG|aRCR
58	46353 32113	   	203.46	DCR|3VULN|1ASPD|1DMG|1CDMG|2DUR	157VULN|26DUR|3ASPD|4CDMG|8DUST|9DMG|aRCR
59	61213 32113	   	203.46	DCR|3VULN|1ASPD|1DMG|1CDMG|2DUR	1ASPD|257VULN|3CDMG|46DUR|8DUST|9DMG|aRCR
60	35261 13141	   	203.38	DCR|3DMG|2VULN|2ASPD	1BELT|257DMG|38VULN|49ASPD|6CGEN|aRCR
61	41442 21213	 * 	203.28	DCR|3DMG|2VULN|1MDPS|2ASPD	18VULN|27ASPD|359DMG|4MDPS|6LWND|aRCR
62	61442 21213	   	203.28	DCR|3DMG|2VULN|1MDPS|2ASPD	17ASPD|28VULN|359DMG|4MDPS|6LWND|aRCR
63	51442 11213	   	203.18	DCR|3DMG|2VULN|1MDPS|2ASPD	1DUST|27ASPD|359DMG|4MDPS|68VULN|aRCR
64	41425 21121	   	202.78	DCR|3VULN|1AART|1ASPD|1DMG	147VULN|2ASPD|3DMG|5AART|6RMIN|8RCVC|9ERES|aRCR
65	61425 21121	   	202.78	DCR|3VULN|1AART|1ASPD|1DMG	1ASPD|247VULN|3DMG|5AART|6RMIN|8RCVC|9ERES|aRCR
66	51411 11153	   	202.66	DCR|3ASPD|2VULN|2DMG	1DUST|248ASPD|34DMG|4BPWR|5BELT|6CGEN|7aVULN|9RCR
67	62411 23422	   	202.53	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	1ASPD|2RPLT|3AART|4CDMG|5LIT|6RCR|7ZMB|89VULN|aDUR
68	26235 16212	   	202.34	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1CGEN|2AART|3DUR|4FEWX|5ASPD|69VULN|7ZMB|8RCR|aDMG
69	45122 53123	 * 	202.33	DCR|3VULN|1AART|2CDMG|1DUR	13aVULN|23CDMG|3BPWR|4ERES|5RMIN|6DUR|7RCR|8BEXP|9AART
70	66331 16213	 * 	202.24	DCR|2VULN|2AART|2ASPD|1DUR	1aASPD|24AART|3LEGI|5aBEXP|6DUR|7DUST|8RCR|9aVULN|aBPWR
71	21226 55223	 * 	202.12	DCR|4VULN|1ASPD|1CDMG|1ZMB	1CGEN|289aVULN|3CDMG|4ASPD|5ZMB|6RPLT|7RCR
72	62415 23333	 * 	201.85	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1CDMG	1ASPD|2RPLT|3AART|4CDMG|5MDPS|69VULN|7RCR|8VENFST|aDMG
73	62411 23413	   	201.81	DCR|2ASPD|1AART|1VULN|1CDMG|2DUR|1ZMB	1aASPD|2RPLT|3AART|4CDMG|5aLIT|6RCR|7ZMB|8VULN|9aDUR|aBPWR
74	66143 21232	   	201.78	DCR|3VULN|1AART|1ASPD|1CDMG	1ASPD|2AART|3MLV|457VULN|6RMIN|8RCR|9ERES|aCDMG
75	41232 14255	   	201.75	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1CDMG	19VULN|2ASPD|3CDMG|4MBVNT|5MDPS|6AART|7RCR|8BEXP|aDMG
76	61232 14255	   	201.75	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1CDMG	1ASPD|29VULN|3CDMG|4MBVNT|5MDPS|6AART|7RCR|8BEXP|aDMG
77	62411 23423	   	201.65	DCR|2VULN|1AART|2CDMG|1ASPD|1ZMB	1ASPD|2RPLT|3AART|4aCDMG|5LIT|6RCR|7ZMB|89VULN
78	45163 32113	 * 	201.52	DCR|4VULN|2CDMG|1DMG|1DUR	1357VULN|23CDMG|3BPWR|4MLV|6DUR|8DUST|9DMG|aRCR
79	61223 53421	   	201.46	DCR|2VULN|2ASPD|1AART|2CDMG|1SELL	14ASPD|26VULN|36CDMG|5SELL|6BPWR|7RMIN|8AART|9ERES|aRCR
80	41231 83723	   	201.44	DCR|2VULN|2ASPD|1AART|2CDMG	1aVULN|29ASPD|35CDMG|4MBVNT|6AART|7BEXP|8RCR
81	61231 83723	   	201.44	DCR|2VULN|2ASPD|1AART|2CDMG	19ASPD|2aVULN|35CDMG|4MBVNT|6AART|7BEXP|8RCR
82	41213 33153	   	201.39	DCR|2VULN|1ASPD|1DMG|1CDMG|2DUR|1AAC|1ZMB	15VULN|2ASPD|3CDMG|46DUR|7ZMB|8DMG|9RCR|aAAC
83	61213 33153	   	201.39	DCR|2VULN|1ASPD|1DMG|1CDMG|2DUR|1AAC|1ZMB	1ASPD|25VULN|3CDMG|46DUR|7ZMB|8DMG|9RCR|aAAC
84	56312 52231	   	201.36	DCR|2DMG|1AART|1VULN|1ASPD|1CDMG|1DUR	16DUST|2AART|3VULN|4CDMG|56DMG|6BPWR|7LIT|8ASPD|9DUR|aRCR
85	12551 21226	 * 	201.35	ACR|3VULN|2DMG|3ZMB|1ASPD	15aMULARM|2RCR|345ZMB|5aBPWR|6ASPD|79aVULN|8aDMG
86	51413 13251	   	201.23	DCR|2DMG|2ASPD|1VULN|2CDMG|1DUR	1DUST|24ASPD|34DMG|4BPWR|5DUR|68CDMG|7TLV|9RCR|aVULN
87	56323 16212	 * 	201.19	DCR|2VULN|2DMG|1AART|1ASPD	1DUST|2AART|39VULN|4aDMG|5BEXP|6CGEN|7ASPD|8RCR
88	41231 83724	   	201.12	DCR|2ASPD|1VULN|1AART|2CDMG|1DMG	1VULN|29ASPD|35CDMG|4MBVNT|6AART|7BEXP|8RCR|aDMG
89	61231 83724	   	201.12	DCR|2ASPD|1VULN|1AART|2CDMG|1DMG	19ASPD|2VULN|35CDMG|4MBVNT|6AART|7BEXP|8RCR|aDMG
90	41312 26212	   	201.09	DCR|2VULN|2DMG|1AART|1ASPD	19VULN|2ASPD|3DUST|4ERES|5BEXP|6AART|7aDMG|8RCR
91	61312 26212	   	201.09	DCR|2VULN|2DMG|1AART|1ASPD	1ASPD|29VULN|3DUST|4ERES|5BEXP|6AART|7aDMG|8RCR
92	41233 83744	   	200.60	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	15VULN|2ASPD|3CDMG|4MBVNT|6AART|7BEXP|8RCR|9RCVC|aDMG
93	61233 83744	   	200.60	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1ASPD|25VULN|3CDMG|4MBVNT|6AART|7BEXP|8RCR|9RCVC|aDMG
94	35261 32333	   	200.53	DCR|3DMG|2VULN|1MDPS|1ASPD	1BELT|258DMG|36VULN|4ASPD|7LWND|9RCR|aMDPS
95	41213 12155	   	200.31	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	15aVULN|2ASPD|3CDMG|4DUR|67MLV|8DMG|9RCR
96	61213 12155	   	200.31	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	1ASPD|25aVULN|3CDMG|4DUR|67MLV|8DMG|9RCR
97	43322 21443	   	200.20	DCR|3VULN|2ASPD|1AART|1DUR	149VULN|2LHND|39ASPD|5BEXP|6DUR|79CGEN|8AART|9BPWR|aRCR
98	41323 26243	 * 	200.11	DCR|4VULN|2ASPD|1CDMG	1479VULN|27ASPD|3DUST|5CGEN|67LWND|7BPWR|8CDMG|aRCR
99	61323 26243	   	200.11	DCR|4VULN|2ASPD|1CDMG	17ASPD|2479VULN|3DUST|5CGEN|67LWND|7BPWR|8CDMG|aRCR
100	41232 14323	   	200.07	DCR|2VULN|1MDPS|2ASPD|1AART|1CDMG	1aVULN|29ASPD|3CDMG|4MBVNT|5MDPS|6AART|7RCR|8RMIN
101	61232 14323	   	200.07	DCR|2VULN|1MDPS|2ASPD|1AART|1CDMG	19ASPD|2aVULN|3CDMG|4MBVNT|5MDPS|6AART|7RCR|8RMIN
102	66143 31232	 * 	200.03	DCR|2VULN|2AART|1ASPD|1CDMG	1ASPD|26AART|3MLV|45VULN|7RMIN|8RCR|9ERES|aCDMG
103	13334 32635	 * 	199.95	DCR|2AART|2ASPD|1VULN|1DMG|1ZMB	1MULARM|2VULN|36ASPD|4RPLT|58AART|7DMG|9ZMB|aRCR
104	41233 83734	   	199.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	15VULN|2ASPD|3CDMG|4MBVNT|6AART|7BEXP|8RCR|9DMSP|aDMG
105	61233 83734	   	199.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1ASPD|25VULN|3CDMG|4MBVNT|6AART|7BEXP|8RCR|9DMSP|aDMG
106	56312 62231	   	199.85	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|1DUR	1DUST|26AART|3VULN|4CDMG|5DMG|7LIT|8ASPD|9DUR|aRCR
107	41232 14324	 * 	199.75	DCR|1MDPS|2ASPD|1VULN|1AART|1DMG|1CDMG	1VULN|29ASPD|3CDMG|4MBVNT|5MDPS|6AART|7RCR|8RMIN|aDMG
108	61232 14324	   	199.75	DCR|1MDPS|2ASPD|1VULN|1AART|1DMG|1CDMG	19ASPD|2VULN|3CDMG|4MBVNT|5MDPS|6AART|7RCR|8RMIN|aDMG
109	35232 24242	 * 	199.62	DCR|3VULN|1AART|1DMG|1CDMG	1BELT|2DMG|38aVULN|4LWND|5CDMG|6MBVNT|7RCR|9AART
110	36612 24242	   	199.62	DCR|3VULN|1AART|1ASPD|1CDMG	1BELT|2LWND|38aVULN|4ASPD|5CDMG|6MBVNT|7RCR|9AART
111	36642 24242	   	199.62	DCR|3VULN|1AART|1DMG|1CDMG	1BELT|2LWND|38aVULN|4DMG|5CDMG|6MBVNT|7RCR|9AART
112	41232 14254	 * 	199.52	DCR|3VULN|1MDPS|1AART|1ASPD|1CDMG	19aVULN|2ASPD|3CDMG|4MBVNT|5MDPS|6AART|7RCR|8BEXP
113	41232 14754	   	199.52	DCR|3VULN|1MDPS|1AART|1ASPD|1CDMG	19aVULN|2ASPD|3CDMG|4MBVNT|5MDPS|6AART|7RCR|8LWND
114	61232 14254	   	199.52	DCR|3VULN|1MDPS|1AART|1ASPD|1CDMG	1ASPD|29aVULN|3CDMG|4MBVNT|5MDPS|6AART|7RCR|8BEXP
115	61232 14754	   	199.52	DCR|3VULN|1MDPS|1AART|1ASPD|1CDMG	1ASPD|29aVULN|3CDMG|4MBVNT|5MDPS|6AART|7RCR|8LWND
116	64232 14354	   	199.52	DCR|3VULN|1MDPS|1AART|1ASPD|1CDMG	1ASPD|2LWND|3CDMG|4MBVNT|5MDPS|6AART|7RCR|89aVULN
117	13334 23415	 * 	199.43	DCR|3VULN|1MDPS|1AART|1ASPD|1DMG	1MULARM|268VULN|3ASPD|4RPLT|5AART|7MDPS|9RCR|aDMG
118	13142 53412	   	199.16	DCR|2VULN|1AART|1NUKE|1CDMG|1ZMB	1MULARM|29VULN|3LWND|4RMIN|5AART|6CDMG|7RCR|8ZMB|aNUKE
119	13442 53312	   	199.16	DCR|2VULN|1AART|1NUKE|1CDMG|1ZMB	1MULARM|29VULN|3LHND|4RMIN|5AART|6CDMG|7RCR|8ZMB|aNUKE
120	13634 31212	   	198.95	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1MULARM|2aVULN|3RMIN|4RPLT|5AART|6ASPD|7DUR|8RCR|9DMG
121	56335 23212	   	198.75	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1DUST|2AART|39VULN|4RMIN|5ASPD|6DUR|7TLV|8RCR|aDMG
122	61237 38123	   	198.68	DCR|2VULN|3CDMG|1AART|1ASPD|1DUR	1ASPD|25VULN|357CDMG|4MBVNT|5BPWR|6DUR|8LHND|9AART|aRCR
123	61237 38233	   	198.58	DCR|2VULN|3CDMG|1AART|1ASPD|1DUR	1ASPD|25VULN|357CDMG|4MBVNT|5BPWR|6DUR|8AART|9DUST|aRCR
124	56321 62212	   	198.40	DCR|2VULN|2DMG|1AART|1ZMB	1DUST|2AART|39VULN|4aDMG|5RMIN|6ZMB|7LHND|8RCR
125	41233 17426	   	198.39	DCR|3VULN|2ASPD|1CDMG|1ZMB	15aVULN|29ASPD|3CDMG|4MBVNT|6MLV|7ZMB|8RCR
126	61233 17426	   	198.39	DCR|3VULN|2ASPD|1CDMG|1ZMB	19ASPD|25aVULN|3CDMG|4MBVNT|6MLV|7ZMB|8RCR
127	41213 33156	   	198.38	DCR|2VULN|1ASPD|1DMG|1CDMG|2DUR|1ZMB	15VULN|2ASPD|3CDMG|46DUR|7ZMB|8DMG|9RCR|aRCVC
128	61213 33156	   	198.38	DCR|2VULN|1ASPD|1DMG|1CDMG|2DUR|1ZMB	1ASPD|25VULN|3CDMG|46DUR|7ZMB|8DMG|9RCR|aRCVC
129	41233 83743	   	198.37	DCR|3VULN|1AART|1ASPD|1CDMG	15aVULN|2ASPD|3CDMG|4MBVNT|6AART|7BEXP|8RCR|9RCVC
130	61233 83743	   	198.37	DCR|3VULN|1AART|1ASPD|1CDMG	1ASPD|25aVULN|3CDMG|4MBVNT|6AART|7BEXP|8RCR|9RCVC
131	41424 11111	   	198.31	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	148VULN|2ASPD|3DMG|5DUR|6CDMG|7BELT|9RPLT|aRCR
132	61424 11111	   	198.31	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	1ASPD|248VULN|3DMG|5DUR|6CDMG|7BELT|9RPLT|aRCR
133	56321 36212	   	198.30	DCR|2VULN|2DMG|1AART|1ZMB	1DUST|2AART|39VULN|4aDMG|5RMIN|6LEGI|7ZMB|8RCR
134	12355 22243	 * 	198.30	ACR|2VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1MULARM|2RCR|3ASPD|4ZMB|5CDMG|6DMG|7DUR|89VULN|aAART
135	41233 63426	   	198.29	DCR|3VULN|2ASPD|1CDMG|1ZMB	15aVULN|29ASPD|3CDMG|4MBVNT|6ZMB|7TLV|8RCR
136	41238 43426	   	198.29	DCR|3VULN|2ASPD|1CDMG|1ZMB	16aVULN|29ASPD|3CDMG|4MBVNT|5ZMB|7TLV|8RCR
137	61233 63426	   	198.29	DCR|3VULN|2ASPD|1CDMG|1ZMB	19ASPD|25aVULN|3CDMG|4MBVNT|6ZMB|7TLV|8RCR
138	61238 43426	   	198.29	DCR|3VULN|2ASPD|1CDMG|1ZMB	19ASPD|26aVULN|3CDMG|4MBVNT|5ZMB|7TLV|8RCR
139	62523 61221	 * 	198.17	ACR|4VULN|3ASPD|2CDMG	17aASPD|2RPLT|3DUST|489aVULN|5RCR|6aCDMG|aBPWR
140	41423 23335	   	198.11	DCR|3VULN|2ASPD|1DMG|1AAC|1ZMB	148VULN|28ASPD|3DMG|5BASARM|68DUST|7AAC|8BPWR|9ZMB|aRCR
141	61423 23335	   	198.11	DCR|3VULN|2ASPD|1DMG|1AAC|1ZMB	18ASPD|248VULN|3DMG|5BASARM|68DUST|7AAC|8BPWR|9ZMB|aRCR
142	41213 33151	   	198.06	DCR|2VULN|1ASPD|1DMG|1CDMG|2DUR|1ZMB	15VULN|2ASPD|3CDMG|46DUR|7ZMB|8DMG|9RCR|aAELBLL
143	41213 33152	   	198.06	DCR|2VULN|1ASPD|1DMG|1CDMG|2DUR|1ZMB	15VULN|2ASPD|3CDMG|46DUR|7ZMB|8DMG|9RCR|aBEXP
144	41213 33154	   	198.06	DCR|2VULN|1ASPD|1DMG|1CDMG|2DUR|1ZMB	15VULN|2ASPD|3CDMG|46DUR|7ZMB|8DMG|9RCR|aFEWX
145	61213 33151	   	198.06	DCR|2VULN|1ASPD|1DMG|1CDMG|2DUR|1ZMB	1ASPD|25VULN|3CDMG|46DUR|7ZMB|8DMG|9RCR|aAELBLL
146	61213 33152	   	198.06	DCR|2VULN|1ASPD|1DMG|1CDMG|2DUR|1ZMB	1ASPD|25VULN|3CDMG|46DUR|7ZMB|8DMG|9RCR|aBEXP
147	61213 33154	   	198.06	DCR|2VULN|1ASPD|1DMG|1CDMG|2DUR|1ZMB	1ASPD|25VULN|3CDMG|46DUR|7ZMB|8DMG|9RCR|aFEWX
148	61237 61223	   	198.00	DCR|2VULN|2ASPD|2CDMG|1ZMB|1DUR	1aASPD|25VULN|35CDMG|4MBVNT|5BPWR|6ZMB|7RCVC|8RCR|9DUR
149	66212 12622	 * 	197.91	DCR|2AART|2ASPD|1VULN|1CDMG|1AAC|1DUR	1aASPD|27AART|3DUR|4AAC|5DUST|6VULN|8RCR|9CDMG
150	62415 23133	 * 	197.86	DCR|2VULN|2AART|1MDPS|1ASPD|1CDMG	1ASPD|2RPLT|3aAART|4CDMG|5MDPS|69VULN|7RCR|8FEWX
151	41232 14734	   	197.76	DCR|2VULN|2AART|1MDPS|1ASPD|1CDMG	1aVULN|2ASPD|3CDMG|4MBVNT|5MDPS|69AART|7RCR|8LWND
152	61232 14734	   	197.76	DCR|2VULN|2AART|1MDPS|1ASPD|1CDMG	1ASPD|2aVULN|3CDMG|4MBVNT|5MDPS|69AART|7RCR|8LWND
153	64232 14334	   	197.76	DCR|2VULN|2AART|1MDPS|1ASPD|1CDMG	1ASPD|2LWND|3CDMG|4MBVNT|5MDPS|69AART|7RCR|8aVULN
154	63152 26212	   	197.67	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1ZMB	1ASPD|2RCVC|3CGEN|49VULN|5MDPS|6AART|7ZMB|8RCR|aDMG
155	22235 62335	   	197.67	DCR|3VULN|3DMG|1ZMB	178CGEN|2RPLT|3AME|4BELT|578DMG|678VULN|78BPWR|9ZMB|aRCR
156	41233 83733	   	197.62	DCR|3VULN|1AART|1ASPD|1CDMG	15aVULN|2ASPD|3CDMG|4MBVNT|6AART|7BEXP|8RCR|9DMSP
157	61233 83733	   	197.62	DCR|3VULN|1AART|1ASPD|1CDMG	1ASPD|25aVULN|3CDMG|4MBVNT|6AART|7BEXP|8RCR|9DMSP
