0	Index      	 *	Score 	Summary	Detail	
1	32643 12554	 * 	237.72	DCR|4VULN|2DMG|2ASPD|1AAC|1DUR	18DMG|2MBVNT|3AAC|48ASPD|5789VULN|6RCR|8BPWR|aDUR
12	32643 12553	   	229.41	DCR|4VULN|2DMG|2ASPD|1AAC	18DMG|2MBVNT|3AAC|48ASPD|5789VULN|6RCR|8BPWR|aDMSP
13	32643 12541	 * 	229.22	DCR|3VULN|3DMG|2ASPD|1AAC	18aDMG|2MBVNT|3AAC|48ASPD|578VULN|6RCR|8BPWR|9LIT
14	32643 12572	   	229.12	DCR|3VULN|3DMG|2ASPD|1AAC	18aDMG|2MBVNT|3AAC|48ASPD|578VULN|6RCR|8BPWR|9ERES
15	32643 12513	   	227.11	DCR|3VULN|2DMG|2ASPD|2DUR|1AAC	18DMG|2MBVNT|3AAC|48ASPD|578VULN|6RCR|8BPWR|9aDUR
16	32643 12573	 * 	226.39	DCR|3VULN|3ASPD|2DMG|1AAC	18DMG|2MBVNT|3AAC|48aASPD|578VULN|6RCR|8BPWR|9ERES
17	32643 12544	   	223.90	DCR|3VULN|2DMG|2ASPD|1AAC|1ZMB	18DMG|2MBVNT|3AAC|48ASPD|578VULN|6RCR|8BPWR|9LIT|aZMB
18	13144 41113	   	223.45	DCR|2VULN|2DMG|2ASPD|1AART	18AELBLL|2RCVC|35VULN|48DMG|6RCR|78ASPD|8BPWR|9BEXP|aAART
19	32213 42235	 * 	223.01	DCR|3DMG|1MDPS|2ASPD|1AART|2CDMG|1ZMB	138DMG|2MBVNT|38BPWR|48CDMG|5MDPS|68ASPD|7RCR|9ZMB|aAART
20	32643 12524	   	222.62	DCR|3VULN|2DMG|2ASPD|1AAC|1DUR	18DMG|2MBVNT|3AAC|48ASPD|578VULN|6RCR|8BPWR|9RCVC|aDUR
21	32643 12514	   	221.87	DCR|3VULN|2DMG|2ASPD|1AAC|1DUR	18DMG|2MBVNT|3AAC|48ASPD|578VULN|6RCR|8BPWR|9DUR|aCGEN
22	32643 12517	   	221.87	DCR|3VULN|2DMG|2ASPD|1AAC|1DUR	18DMG|2MBVNT|3AAC|48ASPD|578VULN|6RCR|8BPWR|9DUR|aBEXP
23	32643 12533	   	221.87	DCR|3VULN|2DMG|2ASPD|1AAC|1DUR	18DMG|2MBVNT|3AAC|48ASPD|578VULN|6RCR|8BPWR|9FEWX|aDUR
24	32643 12511	   	221.77	DCR|3VULN|2DMG|2ASPD|1AAC|1DUR	18DMG|2MBVNT|3AAC|48ASPD|578VULN|6RCR|8BPWR|9DUR|aDUST
25	32643 12512	   	221.77	DCR|3VULN|2DMG|2ASPD|1AAC|1DUR|1MSE	18DMG|2MBVNT|3AAC|48ASPD|578VULN|6RCR|8BPWR|9DUR|aMSE
26	32643 12515	   	221.77	DCR|3VULN|2DMG|2ASPD|1AAC|1DUR	18DMG|2MBVNT|3AAC|48ASPD|578VULN|6RCR|8BPWR|9DUR|aERES
27	32643 12518	   	221.77	DCR|3VULN|2DMG|2ASPD|1AAC|1DUR	18DMG|2MBVNT|3AAC|48ASPD|578VULN|6RCR|8BPWR|9DUR|aMSLREG
28	32252 22235	   	221.73	DCR|3DMG|2VULN|2ASPD|1CDMG	13aDMG|2MBVNT|3aBPWR|4CGEN|5aVULN|6LHND|7CDMG|8aASPD|9RCR
29	32222 22235	   	221.63	DCR|3DMG|2VULN|2ASPD|1CDMG	13aDMG|2MBVNT|3aBPWR|4ERES|5aVULN|6LHND|7CDMG|8aASPD|9RCR
30	32643 12525	 * 	220.49	DCR|3VULN|2DMG|2ASPD|2AAC	18DMG|2MBVNT|3aAAC|48ASPD|578VULN|6RCR|8BPWR|9RCVC
31	32215 76124	   	219.82	DCR|3DMG|2VULN|1ASPD|1CDMG|1DUR	13aDMG|2MBVNT|3aBPWR|4CDMG|5aAME|6ASPD|7RCR|8DUR|9aVULN
32	32643 12542	   	219.74	DCR|3VULN|2DMG|2ASPD|2AAC	18DMG|2MBVNT|3aAAC|48ASPD|578VULN|6RCR|8BPWR|9LIT
33	33136 31416	 * 	218.84	DCR|3DMG|2VULN|1MDPS|1AART|1ASPD	169DMG|2AME|3AART|48VULN|5MDPS|7RCR|aASPD
34	32643 12547	   	217.73	DCR|3VULN|2DMG|2ASPD|1AAC	18DMG|2MBVNT|3AAC|48ASPD|578VULN|6RCR|8BPWR|9LIT|aRMIN
35	32142 24171	 * 	217.68	DCR|3VULN|1AART|1ASPD|1DMG|1CDMG	1DMG|2MBVNT|3CGEN|4ASPD|5AART|69aVULN|7CDMG|8RCR
36	32542 23171	   	217.58	DCR|3VULN|1AART|1ASPD|1DMG|1CDMG	1DMG|2MBVNT|3ERES|4ASPD|5AART|69aVULN|7CDMG|8RCR
37	32272 13145	   	217.44	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG	13DMG|2MBVNT|3BPWR|4aVULN|5AART|6LWND|7CDMG|8RCR|9ASPD
38	32272 73145	   	217.44	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG	13DMG|2MBVNT|3BPWR|4aVULN|5AART|6LHND|7CDMG|8RCR|9ASPD
39	33131 26613	 * 	217.13	DCR|3VULN|2AART|2DMG	18DMG|2AME|39AART|45aVULN|6FEWX|7RCR
40	32213 42263	   	216.85	DCR|3DMG|1MDPS|2ASPD|1VULN|2CDMG	138DMG|2MBVNT|38BPWR|48CDMG|5MDPS|68ASPD|7RCR|9VULN|aRMIN
41	33131 15235	   	216.09	DCR|3VULN|2AART|2DMG	1aDMG|2AME|36AART|45aVULN|7aLIT|8RCR|9RCVC|aBPWR
42	13144 41112	   	215.92	DCR|2VULN|2DMG|2ASPD|1CDMG	18AELBLL|2RCVC|35VULN|48DMG|6RCR|78ASPD|8BPWR|9BEXP|aCDMG
43	33131 35235	 * 	215.67	DCR|3VULN|3DMG|1AART	16aDMG|2AME|3AART|45aVULN|7aLIT|8RCR|9RCVC|aBPWR
44	22634 43211	   	215.58	DCR|3VULN|1AART|1ASPD|1DMG|1CDMG	1TLV|2CDMG|36aVULN|4DMG|5ASPD|7AART|8DUST|9RCR
45	32142 83742	 * 	215.51	DCR|2VULN|2DMG|1MDPS|2ASPD|1AART	1aDMG|2MBVNT|3CGEN|4aASPD|5AART|6MDPS|7BELT|8RCR|9aVULN|aBPWR
46	32146 63742	   	215.51	DCR|2VULN|2DMG|1MDPS|2ASPD|1AART	1aDMG|2MBVNT|3CGEN|4aASPD|5MDPS|6AART|7BELT|8RCR|9aVULN|aBPWR
47	32211 56512	   	215.44	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG	13DMG|2MBVNT|3BPWR|4CDMG|5LHND|67VULN|8AART|9RCR|aASPD
48	32214 56512	   	215.44	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG	13DMG|2MBVNT|3BPWR|4CDMG|5LWND|67VULN|8AART|9RCR|aASPD
49	32272 22812	   	215.44	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG	13DMG|2MBVNT|3BPWR|46VULN|5AART|7BEXP|8CDMG|9RCR|aASPD
50	36213 63411	   	215.44	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG|1AAC	12DMG|2BPWR|3LHND|4CDMG|5AAC|6ASPD|7AART|8aVULN|9RCR
51	32232 23345	   	215.44	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG	13DMG|2MBVNT|3BPWR|4BEXP|5AART|6aVULN|7CDMG|8ASPD|9RCR
52	32272 13345	   	215.44	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG	13DMG|2MBVNT|3BPWR|4aVULN|5AART|6LWND|7CDMG|8ASPD|9RCR
53	32272 43345	   	215.44	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG	13DMG|2MBVNT|3BPWR|4aVULN|5AART|6BEXP|7CDMG|8ASPD|9RCR
54	32272 73345	   	215.44	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG	13DMG|2MBVNT|3BPWR|4aVULN|5AART|6LHND|7CDMG|8ASPD|9RCR
55	32842 83742	   	215.41	DCR|2VULN|2DMG|1MDPS|2ASPD|1AART	1aDMG|2MBVNT|3TLV|4aASPD|5AART|6MDPS|7BELT|8RCR|9aVULN|aBPWR
56	33131 26113	 * 	215.39	DCR|4VULN|2AART|1DMG	1DMG|2AME|39AART|458aVULN|6FEWX|7RCR
57	33131 15225	   	215.33	DCR|3VULN|2AART|2DMG	1aDMG|2AME|36AART|45aVULN|79aLIT|8RCR|aBPWR
58	33131 35225	   	214.91	DCR|3VULN|3DMG|1AART	16aDMG|2AME|3AART|45aVULN|79aLIT|8RCR|aBPWR
59	32643 12521	   	214.32	DCR|3VULN|2DMG|2ASPD|1AAC	18DMG|2MBVNT|3AAC|48ASPD|578VULN|6RCR|8BPWR|9RCVC|aLWND
60	32643 12522	   	214.32	DCR|3VULN|2DMG|2ASPD|1AAC	18DMG|2MBVNT|3AAC|48ASPD|578VULN|6RCR|8BPWR|9RCVC|aFEWX
61	32643 12523	   	214.32	DCR|3VULN|2DMG|2ASPD|1AAC	18DMG|2MBVNT|3AAC|48ASPD|578VULN|6RCR|8BPWR|9RCVC|aDMSP
62	32643 12526	   	214.32	DCR|3VULN|2DMG|2ASPD|1AAC	18DMG|2MBVNT|3AAC|48ASPD|578VULN|6RCR|8BPWR|9RCVC|aBEXP
63	32643 12528	   	214.32	DCR|3VULN|2DMG|2ASPD|1AAC	18DMG|2MBVNT|3AAC|48ASPD|578VULN|6RCR|8BPWR|9RCVC|aLIT
64	32643 12527	   	214.22	DCR|3VULN|2DMG|2ASPD|1AAC|1MSE	18DMG|2MBVNT|3AAC|48ASPD|578VULN|6RCR|8BPWR|9RCVC|aMSE
65	32142 24172	   	214.07	DCR|2VULN|2ASPD|1AART|1DMG|1CDMG	1DMG|2MBVNT|3CGEN|4aASPD|5AART|69VULN|7CDMG|8RCR
66	32542 23172	   	213.97	DCR|2VULN|2ASPD|1AART|1DMG|1CDMG	1DMG|2MBVNT|3ERES|4aASPD|5AART|69VULN|7CDMG|8RCR
67	33131 56153	   	213.87	DCR|3VULN|1AART|1ASPD|1DMG|1ZMB	1DMG|2AME|3AART|458VULN|6LHND|7RCR|9ZMB|aASPD
68	32643 12571	   	213.79	DCR|3VULN|2DMG|2ASPD|1AAC	18DMG|2MBVNT|3AAC|48ASPD|578VULN|6RCR|8BPWR|9ERES|aRCVC
69	32643 12536	   	213.56	DCR|3VULN|2DMG|2ASPD|1AAC	18DMG|2MBVNT|3AAC|48ASPD|578VULN|6RCR|8BPWR|9FEWX|aCGEN
70	32643 12537	   	213.56	DCR|3VULN|2DMG|2ASPD|1AAC	18DMG|2MBVNT|3AAC|48ASPD|578VULN|6RCR|8BPWR|9FEWX|aBEXP
71	32643 12543	   	213.56	DCR|3VULN|2DMG|2ASPD|1AAC	18DMG|2MBVNT|3AAC|48ASPD|578VULN|6RCR|8BPWR|9LIT|aAME
72	32643 12545	   	213.56	DCR|3VULN|2DMG|2ASPD|1AAC	18DMG|2MBVNT|3AAC|48ASPD|578VULN|6RCR|8BPWR|9LIT|aBEXP
73	32643 12546	   	213.56	DCR|3VULN|2DMG|2ASPD|1AAC	18DMG|2MBVNT|3AAC|48ASPD|578VULN|6RCR|8BPWR|9LIT|aDMSP
74	32643 12548	   	213.56	DCR|3VULN|2DMG|2ASPD|1AAC	18DMG|2MBVNT|3AAC|48ASPD|578VULN|6RCR|8BPWR|9aLIT
75	32643 12531	   	213.46	DCR|3VULN|2DMG|2ASPD|1AAC	18DMG|2MBVNT|3AAC|48ASPD|578VULN|6RCR|8BPWR|9FEWX|aDUST
76	32643 12532	   	213.46	DCR|3VULN|2DMG|2ASPD|1AAC|1MSE	18DMG|2MBVNT|3AAC|48ASPD|578VULN|6RCR|8BPWR|9FEWX|aMSE
77	32643 12534	   	213.46	DCR|3VULN|2DMG|2ASPD|1AAC	18DMG|2MBVNT|3AAC|48ASPD|578VULN|6RCR|8BPWR|9FEWX|aERES
78	32643 12538	   	213.46	DCR|3VULN|2DMG|2ASPD|1AAC	18DMG|2MBVNT|3AAC|48ASPD|578VULN|6RCR|8BPWR|9FEWX|aMSLREG
79	32643 12187	   	213.40	DCR|2VULN|2DMG|1AART|1ASPD|1AAC|1DUR	18DMG|2MBVNT|3AAC|4ASPD|57VULN|6RCR|9AART|aDUR
80	32643 12561	   	213.36	DCR|3VULN|2DMG|2ASPD|1AAC|1MSE	18DMG|2MBVNT|3AAC|48ASPD|578VULN|6RCR|8BPWR|9MSE|aDUST
81	32643 12562	   	213.36	DCR|3VULN|2DMG|2ASPD|1AAC|1MSE	18DMG|2MBVNT|3AAC|48ASPD|578VULN|6RCR|8BPWR|9MSE|aBEXP
82	32643 12563	   	213.36	DCR|3VULN|2DMG|2ASPD|1AAC|1DUR|1MSE	18DMG|2MBVNT|3AAC|48ASPD|578VULN|6RCR|8BPWR|9MSE|aDUR
83	32643 12564	   	213.36	DCR|3VULN|2DMG|2ASPD|1AAC|1MSE	18DMG|2MBVNT|3AAC|48ASPD|578VULN|6RCR|8BPWR|9MSE|aERES
84	32643 12574	   	213.36	DCR|3VULN|2DMG|2ASPD|1AAC	18DMG|2MBVNT|3AAC|48ASPD|578VULN|6RCR|8BPWR|9ERES|aTLV
85	32211 56511	 * 	213.21	DCR|3VULN|2DMG|1AART|1CDMG	13DMG|2MBVNT|3BPWR|4CDMG|5LHND|67aVULN|8AART|9RCR
86	32214 56511	   	213.21	DCR|3VULN|2DMG|1AART|1CDMG	13DMG|2MBVNT|3BPWR|4CDMG|5LWND|67aVULN|8AART|9RCR
87	32272 22811	   	213.21	DCR|3VULN|2DMG|1AART|1CDMG	13DMG|2MBVNT|3BPWR|46aVULN|5AART|7BEXP|8CDMG|9RCR
88	32213 42225	   	212.68	DCR|3DMG|1MDPS|2ASPD|1AART|2CDMG	138DMG|2MBVNT|38BPWR|48CDMG|5MDPS|68ASPD|7RCR|9CGEN|aAART
89	32213 42242	   	212.68	DCR|3DMG|1MDPS|2ASPD|1VULN|2CDMG	138DMG|2MBVNT|38BPWR|48CDMG|5MDPS|68ASPD|7RCR|9LIT|aVULN
90	32213 42261	   	212.68	DCR|3DMG|1MDPS|2ASPD|1VULN|2CDMG	138DMG|2MBVNT|38BPWR|48CDMG|5MDPS|68ASPD|7RCR|9VULN|aCGEN
91	32213 42265	   	212.68	DCR|3DMG|1MDPS|2ASPD|1VULN|2CDMG	138DMG|2MBVNT|38BPWR|48CDMG|5MDPS|68ASPD|7RCR|9VULN|aLHND
92	32213 42267	   	212.68	DCR|3DMG|1MDPS|2ASPD|1VULN|2CDMG	138DMG|2MBVNT|38BPWR|48CDMG|5MDPS|68ASPD|7RCR|9VULN|aBEXP
93	32373 84843	   	212.60	DCR|3VULN|2DMG|1AART|1ZMB	17DMG|2MBVNT|3RCVC|459VULN|6ZMB|8RCR|aAART
94	32213 42262	   	212.58	DCR|3DMG|1MDPS|2ASPD|1VULN|2CDMG	138DMG|2MBVNT|38BPWR|48CDMG|5MDPS|68ASPD|7RCR|9VULN|aERES
95	32213 42268	   	212.58	DCR|3DMG|1MDPS|2ASPD|1VULN|2CDMG	138DMG|2MBVNT|38BPWR|48CDMG|5MDPS|68ASPD|7RCR|9VULN|aLEGI
96	32213 42274	   	212.58	DCR|3DMG|1MDPS|2ASPD|1VULN|2CDMG	138DMG|2MBVNT|38BPWR|48CDMG|5MDPS|68ASPD|7RCR|9DLOT|aVULN
97	32213 42284	   	212.58	DCR|3DMG|1MDPS|2ASPD|1VULN|2CDMG	138DMG|2MBVNT|38BPWR|48CDMG|5MDPS|68ASPD|7RCR|9DUST|aVULN
98	32213 42215	   	212.44	DCR|3DMG|1MDPS|2ASPD|1VULN|2CDMG|1SELL	138DMG|2MBVNT|38BPWR|48CDMG|5MDPS|68ASPD|7RCR|9SELL|aVULN
99	32213 42218	   	212.44	DCR|3DMG|1MDPS|2ASPD|2CDMG|1AART|1SELL	138DMG|2MBVNT|38BPWR|48CDMG|5MDPS|68ASPD|7RCR|9SELL|aAART
100	43222 22344	 * 	212.27	DCR|3ASPD|2DMG|1VULN|1CDMG|2DUR	13DUR|23aASPD|3aBPWR|4ERES|5VULN|6aLHND|7CDMG|8aDMG|9RCR
101	22634 43212	   	211.97	DCR|2VULN|2ASPD|1AART|1DMG|1CDMG	1TLV|2CDMG|36VULN|4DMG|5aASPD|7AART|8DUST|9RCR
102	22634 63211	   	211.97	DCR|2VULN|2ASPD|1AART|1DMG|1CDMG	1TLV|2CDMG|3aVULN|4DMG|56ASPD|7AART|8DUST|9RCR
103	33131 24626	   	211.67	DCR|3VULN|3DMG|1AART	178DMG|2AME|3AART|457VULN|67FEWX|7BPWR|9RCVC|aRCR
104	32542 23124	   	211.38	DCR|2DMG|2ASPD|1VULN|1AART|1CDMG	1aDMG|2MBVNT|3ERES|4aASPD|5AART|6VULN|7CDMG|8RCR|9aFEWX|aBPWR
105	32542 23144	   	211.38	DCR|2DMG|2ASPD|1AART|1VULN|1CDMG	1aDMG|2MBVNT|3ERES|4aASPD|5AART|6VULN|7CDMG|8RCR|9aLWND|aBPWR
106	32842 23124	   	211.38	DCR|2DMG|2ASPD|1VULN|1AART|1CDMG	1aDMG|2MBVNT|3TLV|4aASPD|5AART|6VULN|7CDMG|8RCR|9aFEWX|aBPWR
107	32842 23144	   	211.38	DCR|2DMG|2ASPD|1AART|1VULN|1CDMG	1aDMG|2MBVNT|3TLV|4aASPD|5AART|6VULN|7CDMG|8RCR|9aLWND|aBPWR
108	32643 14715	   	211.31	DCR|2VULN|2DMG|1ASPD|1CDMG|2ZMB|1AAC	1aDMG|2MBVNT|3AAC|4ASPD|5aVULN|6RCR|7MLV|8CDMG|9aZMB|aBPWR
109	33136 31435	 * 	211.29	DCR|3VULN|2DMG|1MDPS|1AART|1ZMB	16DMG|2AME|3AART|48aVULN|5MDPS|7RCR|9ZMB
110	32272 13143	   	211.28	DCR|2DMG|2ASPD|1VULN|1AART|1CDMG	13DMG|2MBVNT|3BPWR|4VULN|5AART|6LWND|7CDMG|8RCR|9aASPD
111	32643 13715	   	211.21	DCR|2VULN|2DMG|1ASPD|1CDMG|1AAC|2ZMB	1aDMG|2MBVNT|3AAC|4ASPD|5aVULN|6RCR|7ERES|8CDMG|9aZMB|aBPWR
112	32542 23184	   	211.18	DCR|2DMG|2ASPD|1VULN|1AART|1CDMG	1aDMG|2MBVNT|3ERES|4aASPD|5AART|6VULN|7CDMG|8RCR|9aDUST|aBPWR
113	32216 53511	 * 	211.11	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	13DMG|2MBVNT|3BPWR|47CDMG|5DUR|6aVULN|8AART|9RCR
114	32273 46633	   	211.07	DCR|3DMG|2VULN|1ASPD|1CDMG|1SELL	139DMG|2MBVNT|3BPWR|45VULN|6SELL|7RCR|8ASPD|aCDMG
115	33131 54633	   	210.91	DCR|3VULN|3DMG|1AART	178DMG|2AME|3AART|457VULN|67LHND|7BPWR|9MLV|aRCR
116	36362 34333	   	210.91	DCR|3VULN|3DMG|1AART	127DMG|27BPWR|3BEXP|479VULN|5AART|67CGEN|8LWND|aRCR
117	43211 33452	 * 	210.87	DCR|2ASPD|1VULN|1AART|2CDMG|1DMG|2DUR	13DUR|23ASPD|3BPWR|46CDMG|5LHND|7AART|8VULN|9DMG|aRCR
118	31111 64633	   	210.81	DCR|3VULN|3DMG|1AART	178DMG|2ERES|3AART|47LHND|567VULN|7BPWR|9MLV|aRCR
119	33131 24633	   	210.81	DCR|3VULN|3DMG|1AART	178DMG|2AME|3AART|457VULN|67FEWX|7BPWR|9TLV|aRCR
120	36362 34233	   	210.81	DCR|3VULN|3DMG|1AART	127DMG|27BPWR|3BEXP|479VULN|5AART|67CGEN|8LEGI|aRCR
121	32216 53512	 * 	210.79	DCR|2DMG|1VULN|1AART|2CDMG|1ASPD|1DUR	13DMG|2MBVNT|3BPWR|47CDMG|5DUR|6VULN|8AART|9RCR|aASPD
122	33131 31656	   	210.71	DCR|3VULN|3DMG|1AART	168DMG|2AME|3AART|459VULN|7BEXP|aRCR
123	32313 42212	   	210.67	DCR|2DMG|1MDPS|2ASPD|1AART|2CDMG|1ZMB	18DMG|2MBVNT|3RCVC|48CDMG|5MDPS|68ASPD|7RCR|8BPWR|9ZMB|aAART
124	32213 46261	 * 	210.61	DCR|3DMG|1MDPS|1VULN|1AART|1ASPD|1CDMG	13aDMG|2MBVNT|3BPWR|4CDMG|5MDPS|6ASPD|7AART|8VULN|9RCR
125	43265 22331	   	209.58	DCR|2DMG|2ASPD|1VULN|1CDMG|2DUR|1ZMB	13DUR|23ASPD|3BPWR|4VULN|5ZMB|6LHND|7CDMG|8aDMG|9RCR
126	32352 22235	   	209.39	DCR|2VULN|2DMG|2ASPD|1CDMG	1aDMG|2MBVNT|3RCVC|4CGEN|5aVULN|6LHND|7CDMG|8aASPD|9RCR|aBPWR
127	32322 22235	   	209.29	DCR|2VULN|2DMG|2ASPD|1CDMG	1aDMG|2MBVNT|3RCVC|4ERES|5aVULN|6LHND|7CDMG|8aASPD|9RCR|aBPWR
128	36213 63412	   	209.28	DCR|2DMG|2ASPD|1VULN|1AART|1CDMG|1AAC	12DMG|2BPWR|3LHND|4CDMG|5AAC|6aASPD|7AART|8VULN|9RCR
129	32232 23343	   	209.28	DCR|2DMG|2ASPD|1VULN|1AART|1CDMG	13DMG|2MBVNT|3BPWR|4BEXP|5AART|6VULN|7CDMG|8aASPD|9RCR
130	32272 13343	   	209.28	DCR|2DMG|2ASPD|1VULN|1AART|1CDMG	13DMG|2MBVNT|3BPWR|4VULN|5AART|6LWND|7CDMG|8aASPD|9RCR
131	32272 43343	   	209.28	DCR|2DMG|2ASPD|1VULN|1AART|1CDMG	13DMG|2MBVNT|3BPWR|4VULN|5AART|6BEXP|7CDMG|8aASPD|9RCR
132	36615 22333	 * 	209.28	DCR|2DMG|2ASPD|1AART|1VULN|1NUKE|1CDMG	12DMG|2BPWR|3DMSP|4AART|57ASPD|6CDMG|8NUKE|9RCR|aVULN
133	13124 31643	   	209.27	DCR|3VULN|1AART|1ASPD|1DMG	1AELBLL|2RCVC|359VULN|4CGEN|6RCR|7ASPD|8AART|aDMG
134	36362 34313	 * 	209.16	DCR|3DMG|2VULN|2AART	127DMG|27BPWR|3BEXP|47VULN|59AART|67CGEN|8LWND|aRCR
135	33136 61623	 * 	209.09	DCR|2MDPS|1SPLARM|2VULN|1AART|1DMG	1DMG|26AME|3AART|46VULN|5aMDPS|6BPWR|7RCR|8MLV|9SPLARM
136	36362 34213	   	209.06	DCR|3DMG|2VULN|2AART	127DMG|27BPWR|3BEXP|47VULN|59AART|67CGEN|8LEGI|aRCR
137	13144 41213	   	209.03	DCR|2VULN|2DMG|1AART|1ASPD	1AELBLL|2RCVC|35VULN|48DMG|6RCR|7ASPD|9BEXP|aAART
138	32273 46215	 * 	208.64	DCR|4VULN|3DMG|1SELL	139DMG|2MBVNT|39BPWR|459aVULN|6SELL|7RCR|89LIT
139	32683 12541	   	208.48	DCR|3VULN|3DMG|1AAC|2ZMB	18aDMG|2MBVNT|3AAC|48ZMB|578VULN|6RCR|8BPWR|9LIT
140	31111 66261	   	208.23	DCR|3VULN|1SPLARM|1AART|1DMG|1ZMB	1DMG|2ERES|3AART|4LHND|569VULN|7RCR|8SPLARM|aZMB
141	33136 61423	 * 	208.03	DCR|3VULN|1MDPS|1AART|1DMG|1CDMG|1DUR	1DMG|26AME|3AART|468VULN|5MDPS|6BPWR|7RCR|9DUR|aCDMG
