0	Index      	 *	Score 	Summary	Detail	
1	45612 33123	 * 	221.70	DCR|3VULN|3ASPD|1DMG|3DUR	157DUR|2DMG|378VULN|4BELT|67aASPD|7BPWR|9RCR
30	35612 32352	 * 	203.29	DCR|2AART|2DMG|1VULN|1ASPD|1DUR	1LWND|27DMG|3VULN|4BELT|5DUR|6ASPD|8aAART|9RCR
31	45612 33212	   	203.18	DCR|2VULN|2ASPD|1DMG|3DUR|1ZMB	157DUR|2DMG|37VULN|4BELT|67ASPD|7BPWR|8RCR|9ERES|aZMB
32	63121 63714	   	203.16	DCR|3VULN|2DMG|1AART	1MBVNT|2aLIT|38aVULN|4BEXP|5LWND|6RCR|7AART|9aDMG|aBPWR
33	35615 33123	   	203.10	DCR|3VULN|3ASPD|1DMG	157LWND|2DMG|378VULN|4BELT|67aASPD|7BPWR|9RCR
34	11153 13212	 * 	202.71	DCR|3VULN|1MDPS|2DMG|1ASPD	18TLV|268VULN|34BEXP|5ASPD|78DMG|8BPWR|9RCR|aMDPS
35	36223 64183	   	202.43	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	1LWND|2MBVNT|3AART|45VULN|6RCR|7ZMB|8DUR|9ASPD|aCDMG
36	61223 64183	   	202.43	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	1MBVNT|2LWND|3AART|45VULN|6RCR|7ZMB|8DUR|9ASPD|aCDMG
37	63162 33214	   	201.94	DCR|3VULN|1MDPS|2DMG|1AART	1MBVNT|2aLIT|35aVULN|4RCVC|6MDPS|7AART|8RCR|9aDMG|aBPWR
38	62164 14332	   	201.83	DCR|3VULN|1AART|1DMG|1CDMG|2RMIN	1MBVNT|23RMIN|457VULN|6AART|8CDMG|9DMG|aRCR
39	11153 13214	   	201.65	DCR|3VULN|2DMG|1ASPD|1DUR	18TLV|268VULN|34BEXP|5ASPD|78DMG|8BPWR|9RCR|aDUR
40	36221 33881	   	201.53	DCR|3VULN|1AART|1ASPD|1DMG	1LWND|2MBVNT|3AART|46aVULN|56LHND|6BPWR|7DMG|8RCR|9ASPD
41	61221 33881	   	201.53	DCR|3VULN|1AART|1ASPD|1DMG	1MBVNT|2LWND|3AART|46aVULN|56LHND|6BPWR|7DMG|8RCR|9ASPD
42	36223 63332	 * 	201.46	DCR|2VULN|1MDPS|1AART|1DMG|1CDMG|1DUR	1LWND|2MBVNT|3AART|45VULN|6RCR|7DUR|8CDMG|9DMG|aMDPS
43	61223 63332	   	201.46	DCR|2VULN|1MDPS|1AART|1DMG|1CDMG|1DUR	1MBVNT|2LWND|3AART|45VULN|6RCR|7DUR|8CDMG|9DMG|aMDPS
44	45313 22332	 * 	201.38	DCR|2VULN|2DMG|2ASPD|2DUR	17DUR|26DMG|3CGEN|4LWND|56ASPD|6BPWR|89VULN|aRCR
45	63132 33212	 * 	201.33	DCR|3VULN|1MDPS|1AART|1ASPD|1DMG	1MBVNT|2LIT|345VULN|6MDPS|7AART|8RCR|9DMG|aASPD
46	33221 43561	 * 	201.16	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1LWND|2FEWX|3AART|4VULN|5LHND|6RCR|7aDMG|8CDMG|9ASPD
47	33222 43561	   	201.06	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1LWND|2FEWX|3AART|4VULN|5LEGI|6RCR|7aDMG|8CDMG|9ASPD
48	35323 12435	 * 	200.94	DCR|3VULN|1ASPD|1DMG|1CDMG	1LWND|2DMG|3CGEN|4RMIN|5ASPD|69aVULN|7CDMG|8RCR
49	65313 12522	 * 	200.90	DCR|4VULN|2ASPD|2ZMB|1SELL	1MBVNT|2RCVC|39ZMB|4689VULN|59ASPD|7SELL|9BPWR|aRCR
50	65224 42522	 * 	200.44	DCR|2AART|2DMG|1VULN|2CDMG	1MBVNT|2RCVC|39AART|47DMG|57CDMG|67CGEN|7BPWR|8VULN|aRCR
51	11231 44222	   	200.14	DCR|3VULN|1ASPD|1DMG|1CDMG|1ZMB	1TLV|246VULN|3CDMG|5DUST|7ZMB|8DMG|9ASPD|aRCR
52	11231 44622	   	200.14	DCR|3VULN|1ASPD|1DMG|1CDMG|1ZMB	1TLV|246VULN|3CDMG|5DUST|7ZMB|8ASPD|9DMG|aRCR
53	62263 43223	 * 	200.07	DCR|2DMG|1MDPS|2ASPD|1VULN|1AART	1MBVNT|2RMIN|3aDMG|4VULN|5aASPD|6MDPS|7AART|8aBEXP|9RCR|aBPWR
54	62265 42412	 * 	199.87	DCR|3DMG|1VULN|1ASPD|1CDMG	1MBVNT|2RMIN|358DMG|4VULN|6RCR|7CDMG|9DMSP|aASPD
55	36216 61441	   	199.79	DCR|3VULN|2ASPD|1AART	19LWND|2MBVNT|3AART|49ASPD|5AME|6RCR|7LHND|89aVULN|9BPWR
56	36216 62441	   	199.79	DCR|3VULN|2ASPD|1AART	19LWND|2MBVNT|3AART|49ASPD|5AME|6RCR|7BEXP|89aVULN|9BPWR
57	61216 61441	   	199.79	DCR|3VULN|2ASPD|1AART	1MBVNT|29LWND|3AART|49ASPD|5AME|6RCR|7LHND|89aVULN|9BPWR
58	61216 62441	   	199.79	DCR|3VULN|2ASPD|1AART	1MBVNT|29LWND|3AART|49ASPD|5AME|6RCR|7BEXP|89aVULN|9BPWR
59	62265 42431	   	199.77	DCR|3DMG|1VULN|1ASPD|1CDMG	1MBVNT|2RMIN|358DMG|4VULN|6RCR|7CDMG|9MSLREG|aASPD
60	63132 51434	 * 	199.74	DCR|4VULN|1AART|1CDMG|1ZMB	1MBVNT|2LIT|3456VULN|7AART|8ZMB|9CDMG|aRCR
61	36223 63336	   	199.52	DCR|2VULN|1AART|2CDMG|1DMG|1DUR	1LWND|2MBVNT|3AART|45VULN|6RCR|7DUR|8aCDMG|9DMG
62	61223 63336	   	199.52	DCR|2VULN|1AART|2CDMG|1DMG|1DUR	1MBVNT|2LWND|3AART|45VULN|6RCR|7DUR|8aCDMG|9DMG
63	63132 82432	 * 	199.44	DCR|3VULN|2DMG|1NUKE	1MBVNT|29LIT|345VULN|6RCR|79MLV|89DMG|9BPWR|aNUKE
64	63132 88432	   	199.44	DCR|3VULN|2DMG|1NUKE	1MBVNT|29LIT|345VULN|6RCR|79AME|89DMG|9BPWR|aNUKE
65	63133 34432	   	199.44	DCR|3VULN|2DMG|1NUKE	1MBVNT|29LIT|347VULN|59CGEN|6RCR|89DMG|9BPWR|aNUKE
66	63181 34432	   	199.44	DCR|3VULN|2DMG|1NUKE	1MBVNT|29LIT|357VULN|49CGEN|6RCR|89DMG|9BPWR|aNUKE
67	63132 84432	   	199.24	DCR|3VULN|2DMG|1NUKE	1MBVNT|29LIT|345VULN|6RCR|79TLV|89DMG|9BPWR|aNUKE
68	63132 87432	   	199.24	DCR|3VULN|2DMG|1NUKE	1MBVNT|29LIT|345VULN|6RCR|79ERES|89DMG|9BPWR|aNUKE
69	63135 82214	   	199.16	DCR|3VULN|2DMG|1AART	1MBVNT|2aLIT|34aVULN|5BEXP|6AART|7LHND|8RCR|9aDMG|aBPWR
70	63135 84214	   	199.16	DCR|3VULN|2DMG|1AART	1MBVNT|2aLIT|34aVULN|5BEXP|6AART|7LWND|8RCR|9aDMG|aBPWR
71	63131 33214	   	199.06	DCR|3VULN|1MDPS|2DMG|1AART	1MBVNT|25aLIT|34aVULN|6MDPS|7AART|8RCR|9aDMG|aBPWR
72	63141 63234	   	198.88	DCR|2VULN|2DMG|1AART|2DUR	1MBVNT|2aLIT|3aVULN|49DUR|5LWND|6RCR|7AART|8aDMG|aBPWR
73	63153 63234	   	198.88	DCR|2VULN|2DMG|1AART|2DUR	1MBVNT|2aLIT|3aVULN|4LWND|59DUR|6RCR|7AART|8aDMG|aBPWR
74	36216 61443	   	198.21	DCR|2VULN|2ASPD|1AART|1CDMG	19LWND|2MBVNT|3AART|49ASPD|5AME|6RCR|7LHND|89VULN|9BPWR|aCDMG
75	61216 61443	   	198.21	DCR|2VULN|2ASPD|1AART|1CDMG	1MBVNT|29LWND|3AART|49ASPD|5AME|6RCR|7LHND|89VULN|9BPWR|aCDMG
76	36216 61444	 * 	198.03	DCR|2VULN|2AART|2ASPD	19LWND|2MBVNT|3aAART|49ASPD|5AME|6RCR|7LHND|89VULN|9BPWR
77	61216 61444	   	198.03	DCR|2VULN|2AART|2ASPD	1MBVNT|29LWND|3aAART|49ASPD|5AME|6RCR|7LHND|89VULN|9BPWR
78	33226 43431	   	197.94	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1LWND|2FEWX|3AART|4aVULN|5ERES|6RCR|7ZMB|8ASPD|9DMG
79	36223 63541	   	197.84	DCR|3VULN|1AART|1ASPD|1DUR	1LWND|2MBVNT|3AART|45aVULN|6RCR|7DUR|8ASPD|9RMIN
80	61223 63541	   	197.84	DCR|3VULN|1AART|1ASPD|1DUR	1MBVNT|2LWND|3AART|45aVULN|6RCR|7DUR|8ASPD|9RMIN
81	46413 15442	   	197.79	DCR|3VULN|1ASPD|1DMG|1DUR	1DUR|2MBVNT|3RMIN|4RCVC|5ASPD|69aVULN|7RCR|8DMG
82	62265 12222	 * 	197.76	DCR|3DMG|2VULN|1ASPD|1SELL	1MBVNT|2RMIN|358DMG|46VULN|7SELL|9RCR|aASPD
83	63132 33213	 * 	197.52	DCR|3VULN|1MDPS|1AART|1DMG|1CDMG	1MBVNT|2LIT|345VULN|6MDPS|7AART|8RCR|9DMG|aCDMG
84	63132 33246	   	197.52	DCR|3VULN|1MDPS|1AART|1DMG|1CDMG	1MBVNT|2LIT|345VULN|6MDPS|7AART|8RCR|9CDMG|aDMG
85	63158 31214	 * 	197.40	DCR|2VULN|2AART|2DMG	1MBVNT|2aLIT|3aVULN|4LWND|56AART|7BEXP|8RCR|9aDMG|aBPWR
86	65223 74312	   	197.36	DCR|3VULN|1AART|1DMG|1CDMG	1MBVNT|2RCVC|3AART|4DMG|567VULN|8CDMG|9CGEN|aRCR
87	63432 21427	 * 	197.31	DCR|3ASPD|2VULN|3ZMB	1MBVNT|28aLIT|38aASPD|4CGEN|59VULN|6RCR|78aZMB|8aBPWR
88	63462 21427	   	197.31	DCR|3ASPD|2VULN|3ZMB	1MBVNT|28aLIT|38aASPD|4MLV|59VULN|6RCR|78aZMB|8aBPWR
89	63472 21427	   	197.31	DCR|3ASPD|2VULN|3ZMB	1MBVNT|28aLIT|38aASPD|4AME|59VULN|6RCR|78aZMB|8aBPWR
90	62284 72222	 * 	197.24	DCR|3DMG|3ASPD|1CDMG	1MBVNT|2RMIN|358DMG|45aASPD|5BPWR|6ERES|7CDMG|9RCR
91	46413 23474	 * 	197.23	DCR|2VULN|2ASPD|2CDMG|2DUR	19DUR|2MBVNT|3RMIN|4RCVC|56ASPD|79CDMG|89VULN|9BPWR|aRCR
92	35615 33122	   	197.11	DCR|3VULN|2ASPD|1DMG	157LWND|2DMG|378VULN|4BELT|67ASPD|7BPWR|9RCR|aSPLREG
93	45612 33221	   	197.11	DCR|2VULN|2ASPD|1DMG|3DUR	157DUR|2DMG|37VULN|4BELT|67ASPD|7BPWR|8RCR|9RMIN|aMLV
94	45612 33223	   	197.11	DCR|2VULN|2ASPD|1DMG|3DUR	157DUR|2DMG|37VULN|4BELT|67ASPD|7BPWR|8RCR|9RMIN|aBEXP
95	35323 14162	   	197.03	DCR|3VULN|1ASPD|1DMG|1ZMB	1LWND|2DMG|3CGEN|4RMIN|5ASPD|68aVULN|7RCR|9ZMB
96	45612 33231	   	196.28	DCR|2VULN|2ASPD|1DMG|3DUR|1AAC	157DUR|2DMG|37VULN|4BELT|67ASPD|7BPWR|8RCR|9FEWX|aAAC
97	36223 63543	   	196.26	DCR|2VULN|1AART|1ASPD|1CDMG|1DUR	1LWND|2MBVNT|3AART|45VULN|6RCR|7DUR|8ASPD|9RMIN|aCDMG
98	61223 63543	   	196.26	DCR|2VULN|1AART|1ASPD|1CDMG|1DUR	1MBVNT|2LWND|3AART|45VULN|6RCR|7DUR|8ASPD|9RMIN|aCDMG
99	36223 63532	   	195.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1LWND|2MBVNT|3AART|45VULN|6RCR|7DUR|8ASPD|9LHND|aDMG
100	61223 63532	   	195.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1MBVNT|2LWND|3AART|45VULN|6RCR|7DUR|8ASPD|9LHND|aDMG
101	63141 63712	   	195.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1MBVNT|2LIT|38VULN|4DUR|5LWND|6RCR|7AART|9DMG|aASPD
102	36223 63512	   	195.81	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1LWND|2MBVNT|3AART|45VULN|6RCR|7DUR|8ASPD|9DUST|aDMG
103	61223 63512	   	195.81	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1MBVNT|2LWND|3AART|45VULN|6RCR|7DUR|8ASPD|9DUST|aDMG
104	62265 34412	 * 	195.59	DCR|3DMG|1VULN|1AART|1CDMG	1MBVNT|2RMIN|356DMG|4VULN|7LWND|8CDMG|9AART|aRCR
105	63445 84222	   	195.52	DCR|3VULN|1AART|1ASPD|1CDMG	1MBVNT|2LIT|3ASPD|4CANSTR|5AART|6CDMG|78aVULN|9RCR
106	63113 21425	   	195.41	DCR|3VULN|1ASPD|1DMG|2ZMB	1MBVNT|28LIT|389VULN|4DMG|5CGEN|6RCR|78ZMB|8BPWR|aASPD
107	46263 34132	   	195.37	DCR|3VULN|1ASPD|1DMG|2DUR	13DUR|2MBVNT|46aVULN|5ASPD|7DMG|8RCR|9RMIN
108	45113 14132	   	195.11	DCR|3VULN|1ASPD|1DMG|1DUR	1DUR|2DMG|3FEWX|4RCVC|5ASPD|68aVULN|7RCR|9RMIN
109	62265 42324	 * 	195.08	DCR|2VULN|1MDPS|2DMG|1CDMG	1MBVNT|2RMIN|35DMG|49VULN|6RCR|7CDMG|8RCVC|aMDPS
110	36212 68332	 * 	195.04	DCR|1MDPS|1VULN|1AART|1ASPD|1NUKE|1CDMG	1LWND|2MBVNT|3AART|4ASPD|5RMIN|6RCR|7VULN|8CDMG|9NUKE|aMDPS
111	61212 68332	   	195.04	DCR|1MDPS|1VULN|1AART|1ASPD|1NUKE|1CDMG	1MBVNT|2LWND|3AART|4ASPD|5RMIN|6RCR|7VULN|8CDMG|9NUKE|aMDPS
112	35252 24232	 * 	194.91	DCR|3DMG|2VULN|2CDMG	1LWND|248DMG|34CDMG|4BPWR|5CGEN|6RCVC|79VULN|aRCR
113	62265 41222	   	194.87	DCR|2VULN|2DMG|1CDMG|1ZMB	1MBVNT|2RMIN|35DMG|49VULN|6RCR|7LIT|8ZMB|aCDMG
114	63141 63514	   	194.81	DCR|2VULN|2DMG|1AART|1DUR	1MBVNT|2aLIT|3aVULN|4DUR|5LWND|6RCR|7AART|8RCVC|9aDMG|aBPWR
115	36281 63334	   	194.66	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1LWND|2MBVNT|3AART|4RCVC|5VULN|6RCR|7DUR|8CDMG|9DMG|aASPD
116	61281 63334	   	194.66	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1MBVNT|2LWND|3AART|4RCVC|5VULN|6RCR|7DUR|8CDMG|9DMG|aASPD
117	62225 15444	   	194.66	DCR|2VULN|2DMG|1ASPD|1DUR	1MBVNT|2RMIN|35DMG|4FEWX|69VULN|7RCR|8ASPD|aDUR
118	63443 55321	   	194.57	DCR|2VULN|2ASPD|1AART|1CDMG	1MBVNT|2aLIT|3aASPD|4CANSTR|5RCVC|6CDMG|7AART|8aVULN|9RCR|aBPWR
119	32313 34414	 * 	194.46	DCR|3DMG|1AART|1VULN|1ASPD	1LWND|2SNIFST|37aDMG|4ASPD|5VULN|6TLV|8AART|9RCR
120	63642 23364	   	194.44	DCR|2VULN|1AART|1ASPD|1DMG	1MBVNT|2LIT|3ERES|4SPLREG|5DMG|6RCR|79VULN|8ASPD|aAART
121	62265 43142	   	194.33	DCR|3VULN|2DMG|1DUR	1MBVNT|2RMIN|35DMG|49aVULN|6RCR|7TLV|8DUR
122	36228 63334	   	194.23	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1LWND|2MBVNT|3AART|4VULN|5RCVC|6RCR|7DUR|8CDMG|9DMG|aASPD
123	61228 63334	   	194.23	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1MBVNT|2LWND|3AART|4VULN|5RCVC|6RCR|7DUR|8CDMG|9DMG|aASPD
124	63134 74641	 * 	194.22	DCR|5VULN|1CDMG|1ZMB	1MBVNT|2LIT|3467aVULN|5CDMG|8RCR|9ZMB
125	62123 64732	   	193.98	DCR|2VULN|1AART|2CDMG|1DMG|2RMIN	1MBVNT|23RMIN|47CDMG|5RCVC|67VULN|7BPWR|8AART|9DMG|aRCR
126	62265 42224	   	193.90	DCR|2VULN|2DMG|1MDPS|1CDMG	1MBVNT|2RMIN|35DMG|49VULN|6RCR|7CDMG|8DMSP|aMDPS
127	36223 52371	 * 	193.76	DCR|2VULN|2AART|1MDPS|1DMG|1CDMG	1LWND|2MBVNT|37AART|45VULN|6MDPS|8CDMG|9RCR|aDMG
128	61223 52371	   	193.76	DCR|2VULN|2AART|1MDPS|1DMG|1CDMG	1MBVNT|2LWND|37AART|45VULN|6MDPS|8CDMG|9RCR|aDMG
129	36223 63444	   	193.68	DCR|3VULN|1AART|1ASPD|1DUR	1LWND|2MBVNT|3AART|458VULN|6RCR|7DUR|9CGEN|aASPD
130	36223 63481	   	193.68	DCR|3VULN|1AART|1ASPD|1DUR	1aLWND|2MBVNT|3AART|458VULN|6RCR|7DUR|9ASPD
131	36223 63482	   	193.68	DCR|3VULN|1AART|1ASPD|1DUR	1LWND|2MBVNT|3AART|458VULN|6RCR|7DUR|9ASPD|aLHND
132	36223 63483	   	193.68	DCR|3VULN|1AART|1ASPD|1DUR	1LWND|2MBVNT|3AART|458VULN|6RCR|7DUR|9ASPD|aBEXP
133	61223 63444	   	193.68	DCR|3VULN|1AART|1ASPD|1DUR	1MBVNT|2LWND|3AART|458VULN|6RCR|7DUR|9CGEN|aASPD
134	61223 63481	   	193.68	DCR|3VULN|1AART|1ASPD|1DUR	1MBVNT|2aLWND|3AART|458VULN|6RCR|7DUR|9ASPD
135	61223 63482	   	193.68	DCR|3VULN|1AART|1ASPD|1DUR	1MBVNT|2LWND|3AART|458VULN|6RCR|7DUR|9ASPD|aLHND
136	61223 63483	   	193.68	DCR|3VULN|1AART|1ASPD|1DUR	1MBVNT|2LWND|3AART|458VULN|6RCR|7DUR|9ASPD|aBEXP
137	36831 63424	   	193.63	DCR|2VULN|2DMG|1AART|1DUR	1aLWND|2MBVNT|3LIT|4aVULN|5LHND|6RCR|7DUR|8aDMG|9AART|aBPWR
138	36833 64444	   	193.63	DCR|2VULN|2DMG|1AART|1DUR	1aLWND|2MBVNT|3LIT|4aVULN|5DUR|6RCR|7BEXP|8aDMG|9AART|aBPWR
139	61831 63424	   	193.63	DCR|2VULN|2DMG|1AART|1DUR	1MBVNT|2aLWND|3LIT|4aVULN|5LHND|6RCR|7DUR|8aDMG|9AART|aBPWR
140	61833 64444	   	193.63	DCR|2VULN|2DMG|1AART|1DUR	1MBVNT|2aLWND|3LIT|4aVULN|5DUR|6RCR|7BEXP|8aDMG|9AART|aBPWR
141	36223 63181	   	193.58	DCR|3VULN|1AART|1ASPD|1DUR	1LWND|2MBVNT|3AART|45aVULN|6RCR|7DUR|8TLV|9ASPD
142	36223 63521	   	193.58	DCR|3VULN|1AART|1ASPD|1DUR	1LWND|2MBVNT|3AART|45aVULN|6RCR|7DUR|8ASPD|9ERES
143	61223 63181	   	193.58	DCR|3VULN|1AART|1ASPD|1DUR	1MBVNT|2LWND|3AART|45aVULN|6RCR|7DUR|8TLV|9ASPD
144	61223 63521	   	193.58	DCR|3VULN|1AART|1ASPD|1DUR	1MBVNT|2LWND|3AART|45aVULN|6RCR|7DUR|8ASPD|9ERES
145	62824 14732	   	193.57	DCR|2VULN|1AART|2CDMG|1DMG	1MBVNT|2RMIN|3RCVC|47CDMG|57VULN|6DMSP|7BPWR|8AART|9DMG|aRCR
146	33224 45222	   	193.53	DCR|2VULN|2DMG|1AART|1DUR	1LWND|2FEWX|3AART|48VULN|5DUR|6RCR|7BEXP|9aDMG
147	63487 44224	   	193.51	DCR|2VULN|2ASPD|1AART|2DUR	1MBVNT|2aLIT|3aASPD|4AART|5LWND|68DUR|7RCR|9aVULN|aBPWR
148	35323 12436	   	193.45	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB	1LWND|2DMG|3CGEN|4RMIN|5ASPD|69VULN|7CDMG|8RCR|aZMB
149	36464 48222	   	193.43	DCR|2VULN|2DMG|1AART|1DUR	1LWND|2MBVNT|3FEWX|48VULN|5DUR|6RCR|7AART|9aDMG
150	36634 44273	   	193.43	DCR|2VULN|2DMG|1AART|1DUR	1LWND|2MBVNT|39VULN|4BEXP|5DUR|6RCR|78DMG|aAART
151	36634 44843	   	193.43	DCR|2VULN|2DMG|1AART|1DUR	1LWND|2MBVNT|38VULN|4BEXP|5DUR|6RCR|79DMG|aAART
152	46633 42222	   	193.43	DCR|2VULN|2DMG|1AART|1DUR	1DUR|2MBVNT|38VULN|4BEXP|5FEWX|6RCR|7AART|9aDMG
153	61464 48222	   	193.43	DCR|2VULN|2DMG|1AART|1DUR	1MBVNT|2LWND|3FEWX|48VULN|5DUR|6RCR|7AART|9aDMG
154	61634 44273	   	193.43	DCR|2VULN|2DMG|1AART|1DUR	1MBVNT|2LWND|39VULN|4BEXP|5DUR|6RCR|78DMG|aAART
155	61634 44843	   	193.43	DCR|2VULN|2DMG|1AART|1DUR	1MBVNT|2LWND|38VULN|4BEXP|5DUR|6RCR|79DMG|aAART
156	64263 42222	   	193.43	DCR|2VULN|2DMG|1AART|1DUR	1MBVNT|2FEWX|3DUR|48VULN|5BEXP|6RCR|7AART|9aDMG
157	35323 14151	   	193.42	DCR|2VULN|1ASPD|1DMG|1CDMG|1DUR	1LWND|2DMG|3CGEN|4RMIN|5ASPD|68VULN|7RCR|9CDMG|aDUR
158	11153 13216	   	193.34	DCR|3VULN|2DMG|1ASPD	18TLV|268VULN|34aBEXP|5ASPD|78DMG|8BPWR|9RCR
159	21513 13213	   	193.34	DCR|3VULN|2DMG|1ASPD	18ERES|2AELBLL|38FEWX|46aVULN|5ASPD|78DMG|8BPWR|9RCR
160	64164 48222	   	193.33	DCR|2VULN|2DMG|1AART|1DUR	1MBVNT|2FEWX|3LEGI|48VULN|5DUR|6RCR|7AART|9aDMG
