0	Index      	 *	Score 	Summary	Detail	
1	31124 14143	 * 	225.49	DCR|3VULN|3DMG|3DUR|2SPLREG	18aDMG|238DUR|49BEXP|5aSPLREG|68aVULN|7RCR|8aBPWR
15	31164 14132	   	211.18	DCR|3DMG|2VULN|3DUR|1ZMB	189DMG|238DUR|4LHND|5SPLREG|68VULN|7RCR|8BPWR|aZMB
16	36225 13623	 * 	210.26	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DMG|2aVULN|3MLV|4LIT|5AART|6DUR|7RCR|8CDMG|9ASPD
17	31362 35413	   	210.16	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DMG|2DUR|3ASPD|4BEXP|5TLV|6CDMG|7RCR|8aVULN|9AART
18	33513 11366	 * 	209.81	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	14DMG|2RCVC|3ZMB|5LIT|6AART|7RCR|8aVULN|9CDMG
19	31324 16133	 * 	209.56	DCR|3DMG|2ASPD|1VULN|1CDMG|1DUR	167DMG|2DUR|38ASPD|4LIT|5VULN|9RCR|aCDMG
20	32362 26233	   	209.28	DCR|2VULN|2DMG|1MDPS|2ASPD|1AAC|2ZMB	1aDMG|2RPLT|34ZMB|5MDPS|6RCR|7AAC|8aVULN|9aASPD|aBPWR
21	31124 14115	 * 	208.97	DCR|2VULN|2DMG|1AART|3DUR	18DMG|238DUR|4BEXP|5SPLREG|68VULN|7RCR|8BPWR|9AELBLL|aAART
22	31134 14115	   	208.97	DCR|2VULN|2DMG|1AART|3DUR	18DMG|238DUR|4LWND|5SPLREG|68VULN|7RCR|8BPWR|9AELBLL|aAART
23	33513 11362	 * 	208.25	DCR|1MDPS|2DMG|1AART|1VULN|1CDMG|1ZMB	14DMG|2RCVC|3ZMB|5LIT|6AART|7RCR|8VULN|9CDMG|aMDPS
24	33343 11321	   	208.23	DCR|2VULN|2ASPD|1AART|1DMG|1DUR	1DMG|2RCVC|34ASPD|5LIT|6AART|7RCR|89VULN|aDUR
25	33633 14136	 * 	207.19	DCR|3DMG|2VULN|1AART|1DUR	189DMG|2RCVC|38TSLFST|4DUR|5FEWX|68VULN|7RCR|8BPWR|aAART
26	36124 41313	 * 	207.10	DCR|3VULN|2AART|1DMG|2DUR|1AAC	1DMG|267VULN|36DUR|48AART|5AAC|6BPWR|9CGEN|aRCR
27	31424 41313	   	207.10	DCR|3VULN|2AART|1DMG|2DUR|1AAC	1DMG|26DUR|367VULN|48AART|5AAC|6BPWR|9CGEN|aRCR
28	42325 51421	 * 	206.96	DCR|4VULN|1AART|1CDMG|2ZMB|1AAC	16ZMB|2MBVNT|367aVULN|4AART|5AAC|6BPWR|8RCR|9CDMG
29	33124 14163	   	206.88	DCR|3VULN|3DMG|2SPLREG	18aDMG|2RCVC|389FEWX|4BEXP|5aSPLREG|68aVULN|7RCR|8aBPWR
30	36221 21265	 * 	206.32	DCR|3VULN|2ASPD|1DMG|1CDMG	1DMG|267VULN|3MLV|4LIT|56ASPD|6BPWR|8LHND|9RCR|aCDMG
31	43412 32521	 * 	206.24	DCR|2DMG|2ASPD|1AART|1CDMG|1ZMB|1DUR	1ZMB|2CDMG|34ASPD|5RCVC|6AART|79DMG|8RCR|aDUR
32	36221 21365	   	206.22	DCR|3VULN|2ASPD|1DMG|1CDMG	1DMG|267VULN|3MLV|4LIT|56ASPD|6BPWR|8DUST|9RCR|aCDMG
33	33124 14133	   	206.02	DCR|3DMG|2VULN|1AART	189DMG|2RCVC|38FEWX|4BEXP|5SPLREG|68VULN|7RCR|8BPWR|aAART
34	31533 35421	   	205.94	DCR|3VULN|3DMG|3DUR	178DMG|267DUR|3LIT|48LHND|578VULN|78BPWR|9LWND|aRCR
35	31613 35421	   	205.94	DCR|3VULN|3DMG|3DUR	178DMG|267DUR|3LHND|48LIT|578VULN|78BPWR|9LWND|aRCR
36	36221 21266	 * 	205.92	DCR|4VULN|2ASPD|1DMG	1DMG|267aVULN|3MLV|4LIT|56ASPD|6BPWR|8LHND|9RCR
37	36221 21366	   	205.82	DCR|4VULN|2ASPD|1DMG	1DMG|267aVULN|3MLV|4LIT|56ASPD|6BPWR|8DUST|9RCR
38	33513 11363	 * 	205.50	DCR|2AART|2DMG|1VULN|1CDMG|1ZMB	14DMG|2RCVC|3ZMB|5LIT|6aAART|7RCR|8VULN|9CDMG
39	35326 63113	 * 	204.69	DCR|2DMG|1AART|1VULN|2CDMG|1ASPD	16DMG|2LWND|3VULN|4AART|56LIT|6BPWR|7aCDMG|8RCR|9ASPD
40	32235 21663	 * 	204.44	DCR|2DMG|1MDPS|1VULN|1ASPD|1CDMG|1ZMB	13DMG|2RPLT|4DUST|5ZMB|6ASPD|7RCR|8CDMG|9VULN|aMDPS
41	36263 32252	   	204.03	DCR|2VULN|2DMG|1AART|3DUR	19DMG|29VULN|3MLV|4LHND|579DUR|6RCR|8BELT|9BPWR|aAART
42	36221 25353	 * 	203.99	DCR|3ASPD|2VULN|1MDPS|1DMG	1DMG|26VULN|38MLV|4LIT|567ASPD|6BPWR|9RCR|aMDPS
43	31111 23462	 * 	203.99	DCR|1AART|1VULN|1ASPD|1DMG|1NUKE|3DUR	1DMG|235DUR|4LIT|6AART|7RCR|8VULN|9ASPD|aNUKE
44	31521 23462	   	203.99	DCR|1AART|1VULN|1ASPD|1DMG|1NUKE|3DUR	1DMG|245DUR|3LIT|6AART|7RCR|8VULN|9ASPD|aNUKE
45	62111 23442	   	203.99	DCR|1AART|1VULN|1ASPD|1DMG|1NUKE|3DUR	135DUR|2ASPD|4LIT|6AART|7RCR|8VULN|9DMG|aNUKE
46	32223 21413	   	203.19	DCR|2VULN|2DMG|1AART|1ASPD	13DMG|2RPLT|4FEWX|5ERES|6ASPD|7RCR|8aVULN|9AART
47	32253 21413	   	203.19	DCR|2VULN|2DMG|1AART|1ASPD	13DMG|2RPLT|4LHND|5ERES|6ASPD|7RCR|8aVULN|9AART
48	32233 21413	   	203.09	DCR|2VULN|2DMG|1AART|1ASPD	13DMG|2RPLT|4DUST|5ERES|6ASPD|7RCR|8aVULN|9AART
49	31424 52213	   	203.09	DCR|3DMG|2VULN|1AART|1AAC|1DUR	178DMG|2DUR|3aVULN|4AART|5AAC|6LHND|9RCR
50	31426 32213	   	203.09	DCR|3DMG|2VULN|1AART|1DUR	178DMG|2DUR|3aVULN|4AART|5TLV|6FEWX|9RCR
51	31426 43213	   	203.09	DCR|3DMG|2VULN|1AART|1DUR	168DMG|2DUR|3aVULN|4AART|56TLV|6BPWR|7FEWX|9RCR
52	36124 52213	   	203.09	DCR|3DMG|2VULN|1AART|1AAC|1DUR	178DMG|2aVULN|3DUR|4AART|5AAC|6LHND|9RCR
53	36126 32213	   	203.09	DCR|3DMG|2VULN|1AART|1DUR	178DMG|2aVULN|3DUR|4AART|5TLV|6FEWX|9RCR
54	36126 43213	   	203.09	DCR|3DMG|2VULN|1AART|1DUR	168DMG|2aVULN|3DUR|4AART|56TLV|6BPWR|7FEWX|9RCR
55	31134 14141	   	203.02	DCR|3VULN|2DMG|3DUR	18DMG|238DUR|4LWND|5SPLREG|68aVULN|7RCR|8BPWR|9BEXP
56	31134 14151	   	203.02	DCR|3VULN|2DMG|3DUR	18DMG|238DUR|4LWND|5SPLREG|68aVULN|7RCR|8BPWR|9LHND
57	36221 21261	   	203.00	DCR|3VULN|3ASPD|1DMG	1DMG|267VULN|3MLV|4LIT|56aASPD|6BPWR|8LHND|9RCR
58	36221 21461	   	203.00	DCR|3VULN|3ASPD|1DMG	1DMG|267VULN|3MLV|4LIT|56aASPD|6BPWR|8BEXP|9RCR
59	36221 21361	   	202.90	DCR|3VULN|3ASPD|1DMG	1DMG|267VULN|3MLV|4LIT|56aASPD|6BPWR|8DUST|9RCR
60	36315 63112	 * 	201.97	DCR|2VULN|2DMG|1ASPD|1CDMG|1DUR	1aDMG|23VULN|4LIT|5DLOT|6DUR|7CDMG|8RCR|9ASPD
61	33213 11323	   	201.95	DCR|2VULN|2DMG|1MDPS|1AART	14DMG|2RCVC|3ERES|5LIT|6AART|7RCR|89VULN|aMDPS
62	62124 14131	 * 	201.88	DCR|2VULN|2ASPD|1DMG|3DUR	138DUR|28ASPD|4BEXP|5SPLREG|68VULN|7RCR|8BPWR|9DMG|aLWND
63	62124 14132	   	201.88	DCR|2VULN|2ASPD|1DMG|3DUR	138DUR|28ASPD|4BEXP|5SPLREG|68VULN|7RCR|8BPWR|9DMG|aFEWX
64	62124 14133	   	201.88	DCR|2VULN|2ASPD|1DMG|3DUR	138DUR|28ASPD|4BEXP|5SPLREG|68VULN|7RCR|8BPWR|9DMG|aMULFIG
65	62134 14131	   	201.88	DCR|2VULN|2ASPD|1DMG|3DUR	138DUR|28ASPD|4aLWND|5SPLREG|68VULN|7RCR|8BPWR|9DMG
66	62134 14132	   	201.88	DCR|2VULN|2ASPD|1DMG|3DUR	138DUR|28ASPD|4LWND|5SPLREG|68VULN|7RCR|8BPWR|9DMG|aCGEN
67	62134 14133	   	201.88	DCR|2VULN|2ASPD|1DMG|3DUR	138DUR|28ASPD|4LWND|5SPLREG|68VULN|7RCR|8BPWR|9DMG|aDMSP
68	33513 11321	   	201.87	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	14DMG|2RCVC|3ZMB|5LIT|6AART|7RCR|89VULN|aDUR
69	36353 51313	   	201.75	DCR|3VULN|2AART|1DMG|1AAC|1DUR	1DMG|237VULN|4AAC|5DUR|68AART|9CGEN|aRCR
70	32534 31413	   	201.71	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1SELL	1DMG|2RPLT|3SELL|4LHND|5ASPD|6CDMG|7RCR|8aVULN|9AART
71	33513 11145	   	201.55	DCR|2DMG|1AART|1VULN|1ASPD|1ZMB|1DUR	14DMG|2RCVC|3ZMB|5LIT|6AART|7RCR|8ASPD|9VULN|aDUR
72	36221 25633	 * 	201.42	DCR|3ASPD|2VULN|1DMG|1CDMG	1DMG|26VULN|3MLV|4LIT|567ASPD|6BPWR|8AME|9RCR|aCDMG
73	36213 32413	   	201.25	DCR|2VULN|1AART|1ASPD|1DMG|2DUR	1DMG|28VULN|3MLV|4FEWX|59DUR|6RCR|7AART|aASPD
74	33631 14135	   	201.24	DCR|3VULN|3DMG|1DUR	189DMG|2RCVC|38TSLFST|4DUR|5LHND|68aVULN|7RCR|8BPWR
75	33633 14135	   	201.24	DCR|3VULN|3DMG|1DUR	189DMG|2RCVC|38TSLFST|4DUR|5FEWX|68aVULN|7RCR|8BPWR
76	35351 52213	 * 	201.16	DCR|3VULN|2DMG|1AART	16DMG|2LWND|38aVULN|46FEWX|5RPLT|6BPWR|7RCR|9AART
77	42125 13133	   	201.15	DCR|2VULN|1AART|1DMG|2SPLREG|2ZMB|1DUR	18ZMB|2MBVNT|3DUR|4DMSP|58SPLREG|68VULN|7RCR|8BPWR|9DMG|aAART
78	43413 17221	 * 	201.07	DCR|1MDPS|2ASPD|1VULN|1DMG|1CDMG|1ZMB	1ZMB|2CDMG|34ASPD|5DMG|6MBVNT|7RCR|8DMSP|9VULN|aMDPS
79	31124 14113	   	201.04	DCR|3DMG|2VULN|3DUR	18aDMG|238DUR|4aBEXP|5SPLREG|68VULN|7RCR|8aBPWR|9aAELBLL
80	35341 52213	   	200.96	DCR|3VULN|2DMG|1AART	16DMG|2LWND|38aVULN|46DUST|5RPLT|6BPWR|7RCR|9AART
81	31124 14133	   	200.84	DCR|3DMG|2VULN|3DUR	189DMG|238DUR|4BEXP|5SPLREG|68VULN|7RCR|8BPWR|aLWND
82	31124 14134	   	200.84	DCR|3DMG|2VULN|3DUR	189DMG|238DUR|4BEXP|5SPLREG|68VULN|7RCR|8BPWR|aFEWX
83	31124 14136	   	200.84	DCR|3DMG|2VULN|3DUR	189DMG|238DUR|4BEXP|5SPLREG|68VULN|7RCR|8BPWR|aRPLT
84	31134 14133	   	200.84	DCR|3DMG|2VULN|3DUR	189DMG|238DUR|4aLWND|5SPLREG|68VULN|7RCR|8BPWR
85	31134 14134	   	200.84	DCR|3DMG|2VULN|3DUR	189DMG|238DUR|4LWND|5SPLREG|68VULN|7RCR|8BPWR|aFEWX
86	31134 14136	   	200.84	DCR|3DMG|2VULN|3DUR	189DMG|238DUR|4LWND|5SPLREG|68VULN|7RCR|8BPWR|aRPLT
87	31164 14133	   	200.84	DCR|3DMG|2VULN|3DUR	189DMG|238DUR|4LHND|5SPLREG|68VULN|7RCR|8BPWR|aLWND
88	33343 11164	 * 	200.77	DCR|3ASPD|1AART|1VULN|1DMG|1DUR	1DMG|2RCVC|348ASPD|5LIT|6AART|7RCR|9DUR|aVULN
89	31124 14135	   	200.74	DCR|3DMG|2VULN|3DUR	189DMG|238DUR|4BEXP|5SPLREG|68VULN|7RCR|8BPWR|aTLV
90	31134 14135	   	200.74	DCR|3DMG|2VULN|3DUR	189DMG|238DUR|4LWND|5SPLREG|68VULN|7RCR|8BPWR|aTLV
91	32333 42315	   	200.27	DCR|2DMG|1VULN|1AART|2CDMG|2ZMB	19DMG|2RPLT|39ZMB|4AART|59CDMG|68BELT|7RCR|9BPWR|aVULN
92	36225 13215	 * 	200.03	DCR|2AART|1VULN|1ASPD|1DMG|1ZMB|1DUR	1DMG|2VULN|3MLV|4LIT|58AART|6DUR|7RCR|9ZMB|aASPD
93	35326 32114	   	199.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1DMG|27LWND|3aVULN|4AART|5LIT|6CDMG|8RCR|9ASPD
94	33343 11324	   	199.92	DCR|2VULN|2ASPD|1AART|1DMG	1DMG|2RCVC|34ASPD|5LIT|6AART|7RCR|89VULN|aLWND
95	33343 11325	   	199.92	DCR|2VULN|2ASPD|1AART|1DMG	1DMG|2RCVC|34ASPD|5LIT|6AART|7RCR|89VULN|aRMIN
96	33343 11326	   	199.92	DCR|2VULN|2ASPD|1AART|1DMG	1DMG|2RCVC|34ASPD|5LIT|6AART|7RCR|89VULN|aBEXP
97	62324 11162	   	199.84	DCR|3ASPD|2VULN|1CDMG|2DUR	18DUR|238ASPD|4BEXP|5SPLREG|68VULN|7MBVNT|8BPWR|9CDMG|aRCR
98	33343 11322	   	199.82	DCR|2VULN|2ASPD|1AART|1DMG	1DMG|2RCVC|34ASPD|5LIT|6AART|7RCR|89VULN|aCANARM
99	31324 25213	   	199.39	DCR|2VULN|1MDPS|1ASPD|1DMG|1ZMB|1DUR	1DMG|2DUR|3ASPD|4LIT|59VULN|6ZMB|7RCR|8LWND|aMDPS
100	31324 25413	   	199.39	DCR|2VULN|1MDPS|1ASPD|1DMG|1ZMB|1DUR	1DMG|2DUR|3ASPD|4LIT|59VULN|6ZMB|7RCR|8BEXP|aMDPS
101	36521 35213	   	199.39	DCR|2VULN|1MDPS|1ASPD|1DMG|1ZMB|1DUR	1DMG|29VULN|3ZMB|4LIT|5ASPD|6DUR|7RCR|8LWND|aMDPS
102	41324 15213	   	199.39	DCR|2VULN|1MDPS|1ASPD|1DMG|1ZMB|1DUR	1ZMB|2DUR|3ASPD|4LIT|59VULN|6DMG|7RCR|8LWND|aMDPS
103	33213 11366	   	199.38	DCR|2VULN|2DMG|1AART|1CDMG	14DMG|2RCVC|3ERES|5LIT|6AART|7RCR|8aVULN|9CDMG
104	36335 42213	 * 	199.32	DCR|4VULN|1AART|1DMG	1DMG|238aVULN|4LWND|5RPLT|6BEXP|7RCR|9AART
105	31324 25113	   	199.29	DCR|2VULN|1MDPS|1ASPD|1DMG|1ZMB|1DUR	1DMG|2DUR|3ASPD|4LIT|59VULN|6ZMB|7RCR|8DUST|aMDPS
106	36521 35113	   	199.29	DCR|2VULN|1MDPS|1ASPD|1DMG|1ZMB|1DUR	1DMG|29VULN|3ZMB|4LIT|5ASPD|6DUR|7RCR|8DUST|aMDPS
107	41324 15113	   	199.29	DCR|2VULN|1MDPS|1ASPD|1DMG|1ZMB|1DUR	1ZMB|2DUR|3ASPD|4LIT|59VULN|6DMG|7RCR|8DUST|aMDPS
108	36335 32213	   	199.22	DCR|4VULN|1AART|1DMG	1DMG|238aVULN|4LWND|5RPLT|6DUST|7RCR|9AART
109	36365 32213	   	199.22	DCR|4VULN|1AART|1DMG	1DMG|238aVULN|4LHND|5RPLT|6DUST|7RCR|9AART
110	36315 23361	   	199.19	DCR|2VULN|2DMG|1AART|1ASPD	16DMG|23VULN|4LIT|5DLOT|7AART|8LHND|9RCR|aASPD
111	33653 14133	   	198.88	DCR|3DMG|2VULN|1AART	189DMG|2RCVC|38TSLFST|4BEXP|5FEWX|68VULN|7RCR|8BPWR|aAART
112	36233 34252	   	198.88	DCR|2VULN|2DMG|1AART|2DUR	19DMG|27VULN|39MLV|4LEGI|59DUR|6RCR|8BELT|9BPWR|aAART
113	33643 14133	   	198.78	DCR|3DMG|2VULN|1AART	189DMG|2RCVC|38TSLFST|4DUST|5FEWX|68VULN|7RCR|8BPWR|aAART
114	31426 52211	 * 	198.68	DCR|3DMG|2AART|1VULN|1DUR	178DMG|2DUR|3VULN|4aAART|5TLV|6LEGI|9RCR
115	36126 52211	   	198.68	DCR|3DMG|2AART|1VULN|1DUR	178DMG|2VULN|3DUR|4aAART|5TLV|6LEGI|9RCR
116	36213 32313	   	198.46	DCR|2DMG|1VULN|1AART|1ASPD|2DUR	18DMG|2VULN|3MLV|4FEWX|59DUR|6RCR|7AART|aASPD
117	36221 21662	   	198.38	DCR|3VULN|2ASPD|1DMG|1DUR	1DMG|267VULN|3MLV|4LIT|56ASPD|6BPWR|8DUR|9RCR|aFEWX
118	36221 21663	   	198.38	DCR|3VULN|2ASPD|1DMG|1DUR	1DMG|267VULN|3MLV|4LIT|56ASPD|6BPWR|8DUR|9RCR|aLHND
119	31111 23464	 * 	198.14	DCR|2ASPD|1AART|1VULN|1DMG|3DUR	1DMG|235DUR|4LIT|6AART|7RCR|8VULN|9aASPD
120	43412 32512	   	197.93	DCR|2DMG|2ASPD|1AART|1CDMG|1ZMB	1ZMB|2CDMG|34ASPD|5RCVC|6AART|7aDMG|8RCR|9LWND
121	43412 32522	   	197.93	DCR|2DMG|2ASPD|1AART|1CDMG|1ZMB	1ZMB|2CDMG|34ASPD|5RCVC|6AART|79DMG|8RCR|aRMIN
122	43412 32523	   	197.93	DCR|2DMG|2ASPD|1AART|1CDMG|1ZMB	1ZMB|2CDMG|34ASPD|5RCVC|6AART|79DMG|8RCR|aLWND
123	43412 32532	   	197.93	DCR|2DMG|2ASPD|1AART|1CDMG|1ZMB	1ZMB|2CDMG|34ASPD|5RCVC|6AART|7aDMG|8RCR|9BEXP
124	36315 13214	   	197.91	DCR|3VULN|1ASPD|1DMG|1CDMG	1DMG|23aVULN|4LIT|5DLOT|6RCR|7CDMG|8FEWX|9ASPD
125	36315 13314	   	197.91	DCR|3VULN|1ASPD|1DMG|1CDMG	1DMG|23aVULN|4LIT|5DLOT|6RCR|7CDMG|8LHND|9ASPD
126	36315 15311	   	197.81	DCR|3VULN|1ASPD|1DMG|1CDMG	1DMG|238VULN|4LIT|5DLOT|6RCR|7DUST|9CDMG|aASPD
127	33513 11361	   	197.73	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	14DMG|2RCVC|3ZMB|5LIT|6AART|7RCR|8VULN|9CDMG|aDUR
128	42326 37124	 * 	197.66	DCR|2VULN|3ZMB|1AART|2CDMG|1DUR	179ZMB|2MBVNT|39VULN|4AART|5DUR|6LWND|89CDMG|9BPWR|aRCR
129	36315 13212	   	197.66	DCR|2VULN|2DMG|1ASPD|1CDMG	1aDMG|23VULN|4LIT|5DLOT|6RCR|7CDMG|8FEWX|9ASPD
130	36315 13312	   	197.66	DCR|2VULN|2DMG|1ASPD|1CDMG	1aDMG|23VULN|4LIT|5DLOT|6RCR|7CDMG|8LHND|9ASPD
131	35326 63111	   	197.26	DCR|2DMG|1AART|1VULN|1ASPD|1CDMG	16DMG|2LWND|3VULN|4AART|56LIT|6BPWR|7CDMG|8RCR|9ASPD|aBEXP
132	32223 21426	 * 	197.24	DCR|3VULN|2DMG|1ASPD	13DMG|2RPLT|4FEWX|5ERES|6ASPD|7RCR|89aVULN
133	32253 21426	   	197.24	DCR|3VULN|2DMG|1ASPD	13DMG|2RPLT|4LHND|5ERES|6ASPD|7RCR|89aVULN
134	32423 21426	   	197.24	DCR|3VULN|2DMG|1ASPD	14DMG|2RPLT|3BEXP|5ERES|6ASPD|7RCR|89aVULN
135	35326 32112	   	197.16	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1aDMG|27LWND|3VULN|4AART|5LIT|6CDMG|8RCR|9ASPD
136	35326 63131	 * 	197.16	DCR|2DMG|1AART|1VULN|1NUKE|1CDMG	16DMG|2LWND|3VULN|4AART|56LIT|6BPWR|7CDMG|8RCR|9NUKE|aBEXP
137	35326 63132	 * 	197.16	DCR|3DMG|1AART|1VULN|1NUKE|1CDMG	16aDMG|2LWND|3VULN|4AART|56LIT|6BPWR|7CDMG|8RCR|9NUKE
138	35326 63133	 * 	197.16	DCR|2DMG|1AART|1VULN|2CDMG|1NUKE	16DMG|2LWND|3VULN|4AART|56LIT|6BPWR|7aCDMG|8RCR|9NUKE
139	32233 21426	   	197.14	DCR|3VULN|2DMG|1ASPD	13DMG|2RPLT|4DUST|5ERES|6ASPD|7RCR|89aVULN
140	33513 11365	   	196.86	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB	14DMG|2RCVC|3ZMB|5LIT|6AART|7RCR|8VULN|9aCDMG
141	42324 38364	   	196.68	DCR|2VULN|1MDPS|2DMG|1AART|2ZMB	1aZMB|2MBVNT|3aVULN|4AART|5ERES|6FEWX|7RCR|8aDMG|9MDPS|aBPWR
142	43411 12151	   	196.39	DCR|3VULN|2ASPD|1CDMG|1ZMB	1ZMB|2CDMG|34ASPD|5LEGI|67aVULN|8LWND|9RCR
143	43411 12351	   	196.39	DCR|3VULN|2ASPD|1CDMG|1ZMB	1ZMB|2CDMG|34ASPD|5LEGI|67aVULN|8FEWX|9RCR
144	36525 13233	   	196.22	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1DMG|2VULN|3ZMB|4LIT|58AART|6DUR|7RCR|9FEWX|aCDMG
145	33513 11364	   	196.20	DCR|2DMG|1AART|1VULN|1CDMG|1AAC|1ZMB	14DMG|2RCVC|3ZMB|5LIT|6AART|7RCR|8VULN|9CDMG|aAAC
146	32316 21423	   	196.04	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1DMG|2RPLT|3ZMB|4CGEN|5AME|6ASPD|7RCR|89VULN|aAART
147	32321 21413	   	196.04	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1DMG|25RPLT|3ZMB|4LHND|6ASPD|7RCR|8aVULN|9AART
148	32323 21413	   	196.04	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1DMG|2RPLT|3ZMB|45LHND|6ASPD|7RCR|8aVULN|9AART
149	32615 21423	   	196.04	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1DMG|2RPLT|3AME|4CGEN|5ZMB|6ASPD|7RCR|89VULN|aAART
150	36221 23366	   	196.02	DCR|2VULN|2ASPD|1AART|1DMG	1DMG|26VULN|3MLV|4LIT|56ASPD|6BPWR|78LWND|9RCR|aAART
151	36213 32262	   	196.01	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1DMG|29VULN|3MLV|4FEWX|5DUR|6RCR|7AART|8LWND|aASPD
152	36213 32452	   	196.01	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1DMG|28VULN|3MLV|4FEWX|5DUR|6RCR|7AART|9BEXP|aASPD
153	36263 33362	   	196.01	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1DMG|29VULN|3MLV|4LHND|5DUR|6RCR|7FEWX|8AART|aASPD
154	32313 21413	   	195.94	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1DMG|2RPLT|3ZMB|4CGEN|5ERES|6ASPD|7RCR|8aVULN|9AART
155	32663 21423	   	195.94	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1DMG|2RPLT|3AME|4ZMB|5ERES|6ASPD|7RCR|89VULN|aAART
156	35122 45123	   	195.93	DCR|2VULN|2DMG|1AART|3DUR	17DMG|2LWND|378DUR|4AART|5DLOT|67VULN|7BPWR|9AME|aRCR
157	35122 45133	   	195.93	DCR|2VULN|2DMG|1AART|3DUR	17DMG|2LWND|378DUR|4AART|5DLOT|67VULN|7BPWR|9RMIN|aRCR
158	31236 32462	   	195.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1DMG|2DUR|3ERES|4LHND|5BEXP|6RCR|7AART|89VULN|aASPD
159	12326 53622	 * 	195.79	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG	1LWND|29ASPD|3VULN|4AART|5LIT|6CGEN|7RCR|8CDMG|aDMG
160	36315 26211	   	195.66	DCR|2VULN|2DMG|1ASPD|1CDMG	16DMG|23VULN|4LIT|5DLOT|7RCR|8LHND|9CDMG|aASPD
161	36315 26311	   	195.66	DCR|2VULN|2DMG|1ASPD|1CDMG	16DMG|23VULN|4LIT|5DLOT|7RCR|8LWND|9CDMG|aASPD
162	12361 53213	 * 	195.65	ACR|4VULN|2ASPD|1AART|1DUR	1LWND|26ASPD|368aVULN|4RCR|5RPLT|6BPWR|7DUR|9AART
