0	Index      	 *	Score 	Summary	Detail	
1	64313 23845	 * 	210.37	DCR|3VULN|1AART|1ASPD|1DMG|1RMIN	1MBVNT|2RMIN|3BEXP|458VULN|6ASPD|7RCR|9AART|aDMG
46	64113 23434	   	195.35	DCR|2VULN|1ASPD|1NUKE|1CDMG|1ZMB|1RMIN	1MBVNT|2RMIN|3LWND|45VULN|6ASPD|7RCR|8ZMB|9CDMG|aNUKE
47	64713 53434	   	195.35	DCR|2VULN|1ASPD|1NUKE|1CDMG|1ZMB|1RMIN	1MBVNT|2RMIN|3LHND|45VULN|6ASPD|7RCR|8ZMB|9CDMG|aNUKE
48	12533 24211	 * 	195.17	DCR|3VULN|3ASPD|1ZMB	19ERES|2RPLT|369ASPD|459VULN|7BELT|8RCR|9BPWR|aZMB
49	68322 26121	   	195.15	DCR|2VULN|1AART|1ASPD|1DMG|2DUR	1MBVNT|25DUR|38VULN|4DMG|6ASPD|7LIT|9RCR|aAART
50	64482 42171	 * 	195.05	DCR|2VULN|2AART|1CDMG|1DUR|1RMIN	1MBVNT|2RMIN|3LIT|47VULN|5DUR|6RCR|89AART|aCDMG
51	64113 23811	   	194.90	DCR|3VULN|1ASPD|1DMG|1DUR|1RMIN	1MBVNT|2RMIN|3LWND|458VULN|6ASPD|7RCR|9DUR|aDMG
52	64313 23811	   	194.90	DCR|3VULN|1ASPD|1DMG|1DUR|1RMIN	1MBVNT|2RMIN|3BEXP|458VULN|6ASPD|7RCR|9DUR|aDMG
53	61125 33721	 * 	194.86	DCR|2VULN|2AART|1MDPS|2DMG|1SELL	1MBVNT|2SELL|3MDPS|4aDMG|56AART|7aVULN|8aTLV|9RCR|aBPWR
54	62323 27631	   	194.38	DCR|2VULN|1ASPD|1DMG|1NUKE|1ZMB	1MBVNT|2LWND|35VULN|4DMG|6ASPD|7RMIN|8RCR|9ZMB|aNUKE
55	36252 43233	   	194.26	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DMSP|2CDMG|3DUR|4DMG|59VULN|6DUST|7RCR|8AART|aRMIN
56	62322 44848	   	194.07	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1MBVNT|2LWND|36VULN|4DMG|5DUR|7RMIN|8AART|9RCR|aASPD
57	62441 67214	 * 	194.01	DCR|2VULN|2ASPD|1AART|1CDMG	1MBVNT|2LWND|3AART|4aASPD|5MLV|67VULN|8RCR|9CDMG
58	62442 77214	   	194.01	DCR|2VULN|2ASPD|1AART|1CDMG	1MBVNT|2LWND|3AART|4aASPD|5CGEN|67VULN|8RCR|9CDMG
59	62444 67214	   	193.91	DCR|2VULN|2ASPD|1AART|1CDMG	1MBVNT|2LWND|3AART|4aASPD|5TLV|67VULN|8RCR|9CDMG
60	62474 74124	 * 	193.86	DCR|2VULN|2AART|1DMG|1CDMG	1MBVNT|2LWND|35AART|4LIT|6CDMG|78VULN|9RCR|aDMG
61	63134 74124	   	193.86	DCR|2VULN|2AART|1DMG|1CDMG	1MBVNT|2LIT|3LWND|45AART|6CDMG|78VULN|9RCR|aDMG
62	62441 64254	 * 	193.83	DCR|2VULN|2AART|2ASPD	1MBVNT|2LWND|37AART|4aASPD|5MLV|69VULN|8RCR
63	62442 74254	   	193.83	DCR|2VULN|2AART|2ASPD	1MBVNT|2LWND|37AART|4aASPD|5CGEN|69VULN|8RCR
64	68213 72442	   	193.80	DCR|4VULN|1AART|1ZMB|1DUR	1MBVNT|2DUR|3MLV|467aVULN|5AART|8ZMB|9RCR
65	62444 64254	   	193.73	DCR|2VULN|2AART|2ASPD	1MBVNT|2LWND|37AART|4aASPD|5TLV|69VULN|8RCR
66	64313 23745	   	193.72	DCR|2VULN|1AART|1ASPD|1DMG|1RMIN	1MBVNT|2RMIN|3BEXP|45VULN|6ASPD|7RCR|8RCVC|9AART|aDMG
67	11426 31161	   	193.68	DCR|3VULN|1AART|1ASPD|1DUR	1ERES|2LIT|3ASPD|478VULN|5FEWX|6RCR|9DUR|aAART
68	68382 32331	   	193.68	DCR|3VULN|1AART|1DMG|1DUR	1MBVNT|2DUR|358VULN|4LIT|6RCR|7MLV|9DMG|aAART
69	24365 13223	 * 	193.55	DCR|4VULN|1DMG|1CDMG|1SELL	1LWND|2379VULN|4LIT|5SELL|6RCR|8CDMG|aDMG
70	21313 36242	 * 	193.50	DCR|4VULN|1AART|1CDMG	1LWND|2CDMG|3RPLT|459aVULN|6CGEN|7AART|8RCR
71	12533 24212	   	193.14	DCR|3VULN|3ASPD|1DUR	19ERES|2RPLT|369ASPD|459VULN|7BELT|8RCR|9BPWR|aDUR
72	64482 42146	   	193.12	DCR|2VULN|1AART|1ASPD|1ZMB|1DUR|1RMIN	1MBVNT|2RMIN|3LIT|47VULN|5DUR|6RCR|8AART|9ZMB|aASPD
73	64482 42334	   	193.09	DCR|3VULN|1DMG|1CDMG|1DUR|1RMIN	1MBVNT|2RMIN|3LIT|478VULN|5DUR|6RCR|9DMG|aCDMG
74	64313 23156	   	192.54	DCR|2VULN|1AART|1ASPD|1DMG|1RMIN	1MBVNT|2RMIN|3BEXP|45VULN|6ASPD|7RCR|8RPLT|9DMG|aAART
75	64311 23845	   	192.54	DCR|2VULN|1AART|1ASPD|1DMG|1RMIN	1MBVNT|2RMIN|3BEXP|48VULN|5AELBLL|6ASPD|7RCR|9AART|aDMG
76	63882 14233	   	192.48	DCR|3VULN|1ASPD|1CDMG|1ZMB|1DUR	1MBVNT|2LIT|3ASPD|479VULN|5DUR|6CDMG|8RCR|aZMB
77	68326 14233	   	192.48	DCR|3VULN|1DMG|1CDMG|1ZMB|1DUR	1MBVNT|2DUR|379VULN|4DMG|5LIT|6CDMG|8RCR|aZMB
78	64488 42331	   	192.31	DCR|3VULN|1AART|1DMG|1RMIN	1MBVNT|2RMIN|3LIT|478VULN|5BEXP|6RCR|9DMG|aAART
79	64485 42331	   	192.21	DCR|3VULN|1AART|1DMG|1RMIN	1MBVNT|2RMIN|3LIT|478VULN|5DUST|6RCR|9DMG|aAART
80	61331 66442	   	192.20	DCR|2VULN|2AART|1CDMG|1ZMB|1DUR|1SELL	1MBVNT|2SELL|3DUR|45AART|6aVULN|7CDMG|8ZMB|9RCR
81	23113 23251	   	192.12	DCR|2VULN|1ASPD|1DMG|1NUKE|1AAC|1ZMB	1LWND|2AAC|3DUST|45VULN|6ASPD|7RCR|8ZMB|9DMG|aNUKE
82	42113 23251	   	192.12	DCR|2VULN|1ASPD|1DMG|1NUKE|1AAC|1ZMB	1AAC|2LWND|3DUST|45VULN|6ASPD|7RCR|8ZMB|9DMG|aNUKE
83	46113 23251	   	192.12	DCR|2VULN|1ASPD|1DMG|1NUKE|1AAC|1ZMB	1AAC|2FEWX|3DUST|45VULN|6ASPD|7RCR|8ZMB|9DMG|aNUKE
84	62323 83437	   	192.02	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1MBVNT|2LWND|35VULN|4DMG|6TLV|7RCR|8ZMB|9CDMG|aAART
85	46113 23234	   	192.02	DCR|2VULN|1AART|1ASPD|1CDMG|1AAC|1ZMB	1AAC|2FEWX|3DUST|45VULN|6ASPD|7RCR|8ZMB|9CDMG|aAART
86	61331 66444	 * 	191.88	DCR|2AART|1VULN|1ASPD|1CDMG|1ZMB|1DUR|1SELL	1MBVNT|2SELL|3DUR|45AART|6VULN|7CDMG|8ZMB|9RCR|aASPD
87	12533 24233	   	191.87	DCR|3VULN|2ASPD|1DMG	1ERES|2RPLT|36ASPD|45aVULN|7BELT|8RCR|9DMG
88	62322 44847	   	191.84	DCR|3VULN|1AART|1DMG|1DUR	1MBVNT|2LWND|36aVULN|4DMG|5DUR|7RMIN|8AART|9RCR
89	62441 64544	   	191.83	DCR|2VULN|2AART|2ASPD	1MBVNT|2LWND|37AART|4aASPD|5MLV|68VULN|9RCR
90	11133 13616	   	191.78	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1ERES|2LIT|3DUR|4CDMG|5MLV|6RCR|7VULN|8AART|9DMG|aASPD
91	68324 12742	 * 	191.74	DCR|2VULN|1MDPS|1ASPD|1DMG|1CDMG|1DUR	1MBVNT|2DUR|37VULN|4DMG|5RPLT|6ASPD|8CDMG|9RCR|aMDPS
92	62444 64544	   	191.73	DCR|2VULN|2AART|2ASPD	1MBVNT|2LWND|37AART|4aASPD|5TLV|68VULN|9RCR
93	11422 22315	 * 	191.69	DCR|4VULN|1ASPD|1CDMG	1ERES|2LIT|3ASPD|489aVULN|5RPLT|6CDMG|7RCR
94	63134 74128	 * 	191.63	DCR|3VULN|2AART|1CDMG	1MBVNT|2LIT|3LWND|45AART|6CDMG|78aVULN|9RCR
95	62322 33884	 * 	191.58	DCR|3VULN|1MDPS|1AART|1DMG|1DUR	1MBVNT|2LWND|389VULN|4DMG|5DUR|6MDPS|7RCR|aAART
96	61223 73514	 * 	191.55	DCR|2VULN|2ASPD|1NUKE|2DUR|1SELL	1MBVNT|2SELL|39FEWX|47DUR|59VULN|6RCR|89ASPD|9BPWR|aNUKE
97	63882 14231	 * 	191.51	DCR|3VULN|1MDPS|1ASPD|1CDMG|1DUR	1MBVNT|2LIT|3ASPD|479VULN|5DUR|6CDMG|8RCR|aMDPS
98	68326 14231	 * 	191.51	DCR|3VULN|1MDPS|1DMG|1CDMG|1DUR	1MBVNT|2DUR|379VULN|4DMG|5LIT|6CDMG|8RCR|aMDPS
99	62323 26253	 * 	191.50	DCR|4VULN|1ASPD|1DMG	1MBVNT|2LWND|357aVULN|4DMG|6ASPD|8RPLT|9RCR
100	24423 23611	   	191.47	DCR|2VULN|1ASPD|1DMG|1NUKE|1DUR	1LWND|25VULN|3BEXP|4DMG|6ASPD|7RCR|8RCVC|9DUR|aNUKE
101	62323 26364	   	191.40	DCR|4VULN|1ASPD|1DMG	1MBVNT|2LWND|357aVULN|4DMG|6ASPD|8CANARM|9RCR
102	62322 33484	 * 	191.33	DCR|2VULN|2DMG|1MDPS|1AART|1DUR	1MBVNT|2LWND|39VULN|48DMG|5DUR|6MDPS|7RCR|aAART
103	62323 26521	 * 	191.14	DCR|3VULN|2DMG|1ASPD	1MBVNT|2LWND|357VULN|48DMG|6ASPD|9CANSTR|aRCR
104	61331 33133	 * 	191.13	DCR|3AART|2VULN|1CDMG|1DUR|1SELL	1MBVNT|2SELL|3DUR|456AART|7RCR|8CDMG|9aVULN
105	36252 13523	   	191.12	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|2DUR	1DMSP|2CDMG|3aDUR|4DMG|5VULN|6AART|7LIT|8ASPD|9RCR
106	11443 15331	 * 	191.11	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1ERES|2LIT|3ASPD|4AART|59DMG|6MLV|7RCR|8DUR|aVULN
107	61341 17642	   	191.09	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1SELL	1MBVNT|2SELL|35DUR|4DMG|6AART|7aVULN|8CDMG|9RCR
108	61341 84642	   	191.09	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1SELL	1MBVNT|2SELL|35DUR|4DMG|6aVULN|7AART|8CDMG|9RCR
109	11443 35331	   	191.01	DCR|2DMG|1VULN|1AART|1ASPD|1AAC|1DUR	1ERES|2LIT|3ASPD|4AART|59DMG|6AAC|7RCR|8DUR|aVULN
110	64134 47631	   	191.00	DCR|2ASPD|1VULN|1DMG|1NUKE|1ZMB|1RMIN	1MBVNT|2RMIN|3LWND|4DMG|5VULN|67ASPD|8RCR|9ZMB|aNUKE
111	64334 47631	   	191.00	DCR|2ASPD|1VULN|1DMG|1NUKE|1ZMB|1RMIN	1MBVNT|2RMIN|3BEXP|4DMG|5VULN|67ASPD|8RCR|9ZMB|aNUKE
112	61125 61114	 * 	190.78	DCR|2DMG|1MDPS|2ASPD|2CDMG|1AART|1SELL	1MBVNT|2SELL|3MDPS|49DMG|5AART|6LWND|79ASPD|89CDMG|9BPWR|aRCR
113	61341 17644	   	190.78	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|2DUR|1SELL	1MBVNT|2SELL|35DUR|4DMG|6AART|7VULN|8CDMG|9RCR|aASPD
114	61341 84644	   	190.78	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|2DUR|1SELL	1MBVNT|2SELL|35DUR|4DMG|6VULN|7AART|8CDMG|9RCR|aASPD
115	64113 23818	   	190.69	DCR|4VULN|1ASPD|1DUR|1RMIN	1MBVNT|2RMIN|3LWND|458aVULN|6ASPD|7RCR|9DUR
116	64313 23814	   	190.69	DCR|4VULN|1ASPD|1DUR|1RMIN	1MBVNT|2RMIN|3BEXP|458aVULN|6ASPD|7RCR|9DUR
117	21313 26541	   	190.67	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB	1LWND|2CDMG|3RPLT|45VULN|6ASPD|7RMIN|8RCR|9ZMB|aDMG
118	64434 36141	   	190.63	DCR|2VULN|1AART|1ASPD|1CDMG|1RMIN	1MBVNT|2RMIN|3LIT|4ERES|59VULN|6RCR|7ASPD|8AART|aCDMG
119	64483 36141	   	190.63	DCR|2VULN|1AART|1ASPD|1CDMG|1RMIN	1MBVNT|2RMIN|3LIT|49VULN|5ERES|6RCR|7ASPD|8AART|aCDMG
120	64434 35141	   	190.63	DCR|2VULN|1AART|1ASPD|1CDMG|1RMIN	1MBVNT|2RMIN|3LIT|4ERES|59VULN|6RCR|7AART|8ASPD|aCDMG
121	64483 35141	   	190.63	DCR|2VULN|1AART|1ASPD|1CDMG|1RMIN	1MBVNT|2RMIN|3LIT|49VULN|5ERES|6RCR|7AART|8ASPD|aCDMG
122	64313 23843	   	190.31	DCR|3VULN|1AART|1ASPD|1RMIN	1MBVNT|2RMIN|3BEXP|458VULN|6ASPD|7RCR|9AART|aLWND
123	64313 23844	   	190.31	DCR|3VULN|1AART|1ASPD|1RMIN	1MBVNT|2RMIN|3BEXP|458VULN|6ASPD|7RCR|9AART|aCGEN
124	64434 35417	   	190.31	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1RMIN	1MBVNT|2RMIN|3LIT|4ERES|5VULN|6RCR|7AART|8CDMG|9DMG|aASPD
125	64823 23435	   	190.30	DCR|1VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR|1RMIN	1MBVNT|2RMIN|3RCVC|4DUR|5VULN|6ASPD|7RCR|8ZMB|9CDMG|aAART
126	64313 23842	   	190.21	DCR|3VULN|1AART|1ASPD|1RMIN	1MBVNT|2RMIN|3BEXP|458VULN|6ASPD|7RCR|9AART|aTLV
127	36252 53231	   	190.19	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DMSP|2CDMG|3DUR|4DMG|59VULN|6BEXP|7RCR|8AART|aMLV
128	36252 53232	   	190.19	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DMSP|2CDMG|3DUR|4DMG|59VULN|6aBEXP|7RCR|8AART
129	62411 67214	   	190.12	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB	1MBVNT|2LWND|3AART|4ZMB|5MLV|67VULN|8RCR|9CDMG|aASPD
130	62412 77214	   	190.12	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB	1MBVNT|2LWND|3AART|4ZMB|5CGEN|67VULN|8RCR|9CDMG|aASPD
131	36252 43231	   	190.09	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DMSP|2CDMG|3DUR|4DMG|59VULN|6DUST|7RCR|8AART|aMLV
132	36252 43232	   	190.09	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DMSP|2CDMG|3DUR|4DMG|59VULN|6DUST|7RCR|8AART|aBEXP
133	36252 53233	   	190.09	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DMSP|2CDMG|3DUR|4DMG|59VULN|6BEXP|7RCR|8AART|aERES
134	62414 67214	   	190.02	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB	1MBVNT|2LWND|3AART|4ZMB|5TLV|67VULN|8RCR|9CDMG|aASPD
135	62323 83813	   	189.99	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1MBVNT|2LWND|35VULN|4DMG|6TLV|7RCR|8AART|9CDMG|aDUR
136	12536 23321	   	189.97	DCR|2ASPD|1VULN|1DMG|1NUKE|1CDMG	1ERES|2RPLT|36ASPD|4VULN|5CDMG|7DMG|8RCR|9FEWX|aNUKE
137	62411 64254	   	189.95	DCR|2VULN|2AART|1ASPD|1ZMB	1MBVNT|2LWND|37AART|4ZMB|5MLV|69VULN|8RCR|aASPD
138	62412 74254	   	189.95	DCR|2VULN|2AART|1ASPD|1ZMB	1MBVNT|2LWND|37AART|4ZMB|5CGEN|69VULN|8RCR|aASPD
139	64238 72424	   	189.94	DCR|2DMG|2ASPD|1VULN|2DUR|1RMIN	1MBVNT|2RMIN|3BELT|47ASPD|57DUR|67DMG|7BPWR|8AME|9RCR|aVULN
140	62322 42848	   	189.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1MBVNT|2LWND|36VULN|4DMG|5DUR|7AME|8AART|9RCR|aASPD
141	62323 33848	   	189.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1MBVNT|2LWND|35VULN|4DMG|6CGEN|7DUR|8AART|9RCR|aASPD
142	68321 26121	   	189.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1MBVNT|2DUR|38VULN|4DMG|5AELBLL|6ASPD|7LIT|9RCR|aAART
143	68323 26121	   	189.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1MBVNT|2DUR|38VULN|4DMG|5DMSP|6ASPD|7LIT|9RCR|aAART
144	12536 23331	   	189.87	DCR|2ASPD|1VULN|1DMG|1NUKE|1CDMG|1MSE	1ERES|2RPLT|36ASPD|4VULN|5CDMG|7DMG|8RCR|9MSE|aNUKE
145	61378 22331	   	189.85	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1SELL	1MBVNT|2SELL|3DUR|4LIT|58VULN|6CDMG|7RCR|9DMG|aAART
146	61828 22331	   	189.85	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1SELL	1MBVNT|2SELL|3LIT|4DUR|58VULN|6CDMG|7RCR|9DMG|aAART
147	62414 64254	   	189.85	DCR|2VULN|2AART|1ASPD|1ZMB	1MBVNT|2LWND|37AART|4ZMB|5TLV|69VULN|8RCR|aASPD
148	43213 15621	 * 	189.81	ACR|3VULN|3CDMG|2AAC|1AART|1ASPD	15AAC|278CDMG|3RCR|48aVULN|6AART|8BPWR|9ASPD
149	68382 34141	   	189.76	DCR|3VULN|1AART|1CDMG|1DUR	1MBVNT|2DUR|359VULN|4LIT|6RCR|7ERES|8AART|aCDMG
150	62442 77141	   	189.70	DCR|3VULN|1AART|1ASPD|1ZMB	1MBVNT|2LWND|3AART|4ASPD|5CGEN|67aVULN|8ZMB|9RCR
151	62441 64214	 * 	189.70	DCR|2AART|2ASPD|1VULN|1CDMG	1MBVNT|2LWND|37AART|4aASPD|5MLV|6VULN|8RCR|9CDMG
152	62442 74214	   	189.70	DCR|2AART|2ASPD|1VULN|1CDMG	1MBVNT|2LWND|37AART|4aASPD|5CGEN|6VULN|8RCR|9CDMG
153	23113 23255	   	189.64	DCR|2VULN|2DMG|1ASPD|1AAC|1ZMB	1LWND|2AAC|3DUST|45VULN|6ASPD|7RCR|8ZMB|9aDMG
154	42113 23255	   	189.64	DCR|2VULN|2DMG|1ASPD|1AAC|1ZMB	1AAC|2LWND|3DUST|45VULN|6ASPD|7RCR|8ZMB|9aDMG
155	62444 64214	   	189.60	DCR|2AART|2ASPD|1VULN|1CDMG	1MBVNT|2LWND|37AART|4aASPD|5TLV|6VULN|8RCR|9CDMG
156	24362 31171	   	189.46	DCR|4VULN|1AART|1DUR	1LWND|2378VULN|4LIT|5MBVNT|6RCR|9DUR|aAART
157	62382 31171	   	189.46	DCR|4VULN|1AART|1DUR	1MBVNT|2LWND|3578VULN|4LIT|6RCR|9DUR|aAART
158	68382 31131	   	189.46	DCR|4VULN|1AART|1DUR	1MBVNT|2DUR|3578VULN|4LIT|6RCR|9LWND|aAART
159	68382 32313	   	189.46	DCR|4VULN|1AART|1DUR	1MBVNT|2DUR|3589VULN|4LIT|6RCR|7MLV|aAART
