0	Index      	 *	Score 	Summary	Detail	
1	63132 61326	 * 	221.32	DCR|3VULN|3DMG|2ASPD	189VULN|278ERES|34LHND|59ASPD|689DMG|89BPWR|aRCR
17	12312 33436	 * 	209.70	DCR|2VULN|1MDPS|2ASPD|1AART|2CDMG|1DUR|1SELL	1SELL|2BELT|37VULN|4MDPS|57CDMG|67ASPD|7BPWR|8RCR|9AART|aDUR
18	62215 33311	 * 	209.67	DCR|2VULN|1MDPS|2ASPD|1DMG|3DUR	17VULN|27ASPD|3BELT|4DUST|5DMG|678DUR|7BPWR|9RCR|aMDPS
19	61231 12631	 * 	209.41	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	18VULN|2FEWX|38MULARM|46CDMG|5DUR|78DMG|8BPWR|9AART|aRCR
20	12312 33433	 * 	208.33	DCR|2VULN|1MDPS|2ASPD|1AART|2CDMG|1SELL	1SELL|2BELT|37VULN|4MDPS|57CDMG|67ASPD|7BPWR|8RCR|9AART|aSPLREG
21	12312 33432	 * 	208.17	DCR|2VULN|1MDPS|2ASPD|1AART|2CDMG|1AAC|1SELL	1SELL|2BELT|37VULN|4MDPS|57CDMG|67ASPD|7BPWR|8RCR|9AART|aAAC
22	63236 53132	   	207.52	DCR|2VULN|2DMG|1AART|1ASPD|1ZMB	15VULN|2ERES|3BELT|4AART|67DMG|8ASPD|9ZMB|aRCR
23	62215 33315	 * 	207.10	DCR|2VULN|2ASPD|1DMG|3DUR|1CDMG	17VULN|27ASPD|3BELT|4DUST|5DMG|678DUR|7BPWR|9RCR|aCDMG
24	62515 23123	 * 	206.24	DCR|2VULN|2AART|2ASPD|1DUR	15VULN|28ASPD|3CGEN|4DUR|6RCR|7FEWX|9aAART
25	62521 21333	 * 	206.07	DCR|2VULN|2DMG|1ASPD|1CDMG|1DUR	1aVULN|2ASPD|3CGEN|4MLV|5DUR|6RCR|78DMG|9CDMG
26	62531 26331	   	205.94	DCR|2VULN|2ASPD|1AART|2DUR|1ZMB	18VULN|28ASPD|3CGEN|4ZMB|58DUR|6RCR|7RPLT|8BPWR|9RMIN|aAART
27	12312 33452	 * 	205.78	DCR|3VULN|1MDPS|2ASPD|2CDMG|1ZMB|1SELL	1SELL|2BELT|37aVULN|4MDPS|57CDMG|67ASPD|7BPWR|8RCR|9ZMB
28	62215 33431	   	205.63	DCR|3VULN|2ASPD|1DMG|2DUR	179VULN|27ASPD|3BELT|4DUST|5DMG|67DUR|7BPWR|8RCR|aLIT
29	62215 33432	   	205.63	DCR|3VULN|2ASPD|1DMG|2DUR	179VULN|27ASPD|3BELT|4DUST|5DMG|67DUR|7BPWR|8RCR|aDMSP
30	62215 33433	   	205.63	DCR|3VULN|2ASPD|1DMG|2DUR	179VULN|27ASPD|3BELT|4DUST|5DMG|67DUR|7BPWR|8RCR|aCGEN
31	62325 21321	   	205.53	DCR|3VULN|1AART|1ASPD|1DMG	159VULN|2ASPD|3BEXP|4AME|6RCR|7LWND|8DMG|aAART
32	62325 23321	   	205.53	DCR|3VULN|1AART|1ASPD|1DMG	159VULN|2ASPD|3BEXP|4AME|6RCR|7FEWX|8DMG|aAART
33	62355 21321	   	205.53	DCR|3VULN|1AART|1ASPD|1DMG	159VULN|2ASPD|3BEXP|4MLV|6RCR|7LWND|8DMG|aAART
34	62355 23321	   	205.53	DCR|3VULN|1AART|1ASPD|1DMG	159VULN|2ASPD|3BEXP|4MLV|6RCR|7FEWX|8DMG|aAART
35	62325 25321	   	205.43	DCR|3VULN|1AART|1ASPD|1DMG	159VULN|2ASPD|3BEXP|4AME|6RCR|7DUST|8DMG|aAART
36	62425 23321	   	205.43	DCR|3VULN|1AART|1ASPD|1DMG	159VULN|2ASPD|3LEGI|4AME|6RCR|7FEWX|8DMG|aAART
37	41275 44121	 * 	205.40	DCR|2VULN|2AART|2CDMG|1DMG	1RCVC|2MBVNT|35AART|48CDMG|6DMSP|78VULN|8BPWR|9RCR|aDMG
38	41543 44421	   	204.55	DCR|2VULN|2DMG|1AART|2ZMB	18RCVC|2MBVNT|3aZMB|4DUST|5aDMG|6RCR|7aVULN|9AART|aBPWR
39	62521 21332	 * 	204.51	DCR|2DMG|1MDPS|1VULN|1ASPD|1CDMG|1DUR	1VULN|2ASPD|3CGEN|4MLV|5DUR|6RCR|78DMG|9CDMG|aMDPS
40	23521 21653	   	204.14	DCR|2VULN|2DMG|2ASPD|1DUR	1LEGI|28CGEN|38ASPD|4MLV|5DUR|6RCR|78DMG|8BPWR|9aVULN
41	62215 33423	   	204.04	DCR|2VULN|2ASPD|1DMG|1CDMG|2DUR	17VULN|27ASPD|3BELT|4DUST|5DMG|67DUR|7BPWR|8RCR|9CDMG|aDMSP
42	62215 33421	   	203.94	DCR|2VULN|2ASPD|1DMG|1CDMG|2DUR	17VULN|27ASPD|3BELT|4DUST|5DMG|67DUR|7BPWR|8RCR|9CDMG|aERES
43	62215 33422	   	203.94	DCR|2VULN|2ASPD|1DMG|1CDMG|2DUR	17VULN|27ASPD|3BELT|4DUST|5DMG|67DUR|7BPWR|8RCR|9CDMG|aMBVNT
44	32531 21624	   	203.75	DCR|2DMG|1AART|1VULN|1ASPD|1ZMB|1DUR	18LWND|2ASPD|38CGEN|4ZMB|5DUR|6RCR|78DMG|8BPWR|9AART|aVULN
45	32516 21324	   	203.55	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB|1DUR	1LWND|2ASPD|3CGEN|4DUR|5ZMB|6RCR|78DMG|9AART|aVULN
46	32531 21324	   	203.55	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB|1DUR	1LWND|2ASPD|3CGEN|4ZMB|5DUR|6RCR|78DMG|9AART|aVULN
47	62531 21321	   	203.55	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB|1DUR	1VULN|2ASPD|3CGEN|4ZMB|5DUR|6RCR|78DMG|9AART|aLWND
48	62531 21322	   	203.55	DCR|2DMG|1AART|1VULN|1ASPD|1ZMB|1DUR	1VULN|2ASPD|3CGEN|4ZMB|5DUR|6RCR|78DMG|9AART|aFEWX
49	62531 21323	   	203.55	DCR|2DMG|1AART|1VULN|1ASPD|1ZMB|1DUR	1VULN|2ASPD|3CGEN|4ZMB|5DUR|6RCR|78DMG|9AART|aLIT
50	62531 21324	   	203.55	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB|1DUR	1VULN|2ASPD|3CGEN|4ZMB|5DUR|6RCR|78DMG|9AART|aAELBLL
51	62531 21325	   	203.55	DCR|2DMG|1AART|1VULN|1ASPD|1ZMB|1DUR	1VULN|2ASPD|3CGEN|4ZMB|5DUR|6RCR|78DMG|9AART|aLHND
52	62521 21341	   	203.55	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB|1DUR	1VULN|2ASPD|3CGEN|4MLV|5DUR|6RCR|78DMG|9ZMB|aAART
53	62531 26312	   	203.47	DCR|2VULN|2ASPD|3DUR|1CDMG|1ZMB	18VULN|28ASPD|3CGEN|4ZMB|58aDUR|6RCR|7RPLT|8BPWR|9CDMG
54	23516 21324	   	203.45	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB|1DUR	1LEGI|2CGEN|3ASPD|4DUR|5ZMB|6RCR|78DMG|9AART|aVULN
55	23531 21324	   	203.45	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB|1DUR	1LEGI|2CGEN|3ASPD|4ZMB|5DUR|6RCR|78DMG|9AART|aVULN
56	62531 21311	   	203.45	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB|1DUR	1VULN|2ASPD|3CGEN|4ZMB|5DUR|6RCR|78DMG|9ERES|aAART
57	41275 44124	 * 	203.17	DCR|3VULN|2AART|2CDMG	1RCVC|2MBVNT|35AART|48CDMG|6DMSP|78aVULN|8BPWR|9RCR
58	62521 21133	   	202.70	DCR|2VULN|2ASPD|1DMG|1CDMG|1DUR	1aVULN|28ASPD|3CGEN|4MLV|5DUR|6RCR|7DMG|9CDMG
59	41543 44721	   	202.68	DCR|2VULN|2DMG|1AART|2ZMB	1RCVC|2MBVNT|3aZMB|48DUST|5aDMG|6RCR|7aVULN|9AART|aBPWR
60	62531 26321	   	202.23	DCR|2VULN|2ASPD|1DMG|2DUR|1ZMB	18VULN|28ASPD|3CGEN|4ZMB|58DUR|6RCR|7RPLT|8BPWR|9FEWX|aDMG
61	62531 26332	   	202.23	DCR|2VULN|2ASPD|1DMG|2DUR|1ZMB	18VULN|28ASPD|3CGEN|4ZMB|58DUR|6RCR|7RPLT|8BPWR|9RMIN|aDMG
62	42212 23321	   	202.04	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1RCVC|2BEXP|3ZMB|4LWND|5ASPD|6RCR|79VULN|8DMG|aAART
63	42213 23121	   	202.04	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1RCVC|2BEXP|3ZMB|4LWND|5DMG|6RCR|79VULN|8ASPD|aAART
64	42332 23321	   	202.04	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1RCVC|2BEXP|3LWND|4ZMB|5ASPD|6RCR|79VULN|8DMG|aAART
65	42333 23121	   	202.04	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1RCVC|2BEXP|3LWND|4ZMB|5DMG|6RCR|79VULN|8ASPD|aAART
66	45512 23321	   	202.04	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1RCVC|2ZMB|3FEWX|4LWND|5ASPD|6RCR|79VULN|8DMG|aAART
67	45513 23121	   	202.04	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1RCVC|2ZMB|3FEWX|4LWND|5DMG|6RCR|79VULN|8ASPD|aAART
68	42432 21321	   	202.04	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1RCVC|2BEXP|39VULN|4ZMB|5ASPD|6RCR|7LWND|8DMG|aAART
69	42433 21121	   	202.04	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1RCVC|2BEXP|39VULN|4ZMB|5DMG|6RCR|7LWND|8ASPD|aAART
70	45412 22321	   	202.04	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1RCVC|2ZMB|39VULN|4LWND|5ASPD|6RCR|7LHND|8DMG|aAART
71	45413 22121	   	202.04	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1RCVC|2ZMB|39VULN|4LWND|5DMG|6RCR|7LHND|8ASPD|aAART
72	61231 32631	   	201.98	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	18VULN|26FEWX|38MULARM|4CDMG|5DUR|78DMG|8BPWR|9AART|aRCR
73	61233 62631	   	201.98	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	18VULN|25FEWX|38MULARM|4CDMG|6DUR|78DMG|8BPWR|9AART|aRCR
74	43212 23321	   	201.94	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1RCVC|2DUST|3ZMB|4LWND|5ASPD|6RCR|79VULN|8DMG|aAART
75	43213 23121	   	201.94	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1RCVC|2DUST|3ZMB|4LWND|5DMG|6RCR|79VULN|8ASPD|aAART
76	43332 23321	   	201.94	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1RCVC|2DUST|3LWND|4ZMB|5ASPD|6RCR|79VULN|8DMG|aAART
77	43333 23121	   	201.94	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1RCVC|2DUST|3LWND|4ZMB|5DMG|6RCR|79VULN|8ASPD|aAART
78	43432 21321	   	201.94	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1RCVC|2DUST|39VULN|4ZMB|5ASPD|6RCR|7LWND|8DMG|aAART
79	43433 21121	   	201.94	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1RCVC|2DUST|39VULN|4ZMB|5DMG|6RCR|7LWND|8ASPD|aAART
80	45312 23321	   	201.94	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1RCVC|2ZMB|3LEGI|4LWND|5ASPD|6RCR|79VULN|8DMG|aAART
81	45313 23121	   	201.94	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1RCVC|2ZMB|3LEGI|4LWND|5DMG|6RCR|79VULN|8ASPD|aAART
82	32234 54221	   	201.92	DCR|2VULN|2ASPD|1AART|1DMG|1AAC	17LWND|27ASPD|3BELT|4AART|5AAC|6RCR|7BPWR|8DMG|9aVULN
83	32324 23321	   	201.92	DCR|2VULN|2ASPD|1AART|1DMG	1LWND|25ASPD|3BEXP|4AME|6RCR|79VULN|8DMG|aAART
84	32354 23321	   	201.92	DCR|2VULN|2ASPD|1AART|1DMG	1LWND|25ASPD|3BEXP|4MLV|6RCR|79VULN|8DMG|aAART
85	62324 21321	   	201.92	DCR|2VULN|2ASPD|1AART|1DMG	19VULN|25ASPD|3BEXP|4AME|6RCR|7LWND|8DMG|aAART
86	62324 23321	   	201.92	DCR|2VULN|2ASPD|1AART|1DMG	19VULN|25ASPD|3BEXP|4AME|6RCR|7FEWX|8DMG|aAART
87	62354 21321	   	201.92	DCR|2VULN|2ASPD|1AART|1DMG	19VULN|25ASPD|3BEXP|4MLV|6RCR|7LWND|8DMG|aAART
88	62354 23321	   	201.92	DCR|2VULN|2ASPD|1AART|1DMG	19VULN|25ASPD|3BEXP|4MLV|6RCR|7FEWX|8DMG|aAART
89	41254 14452	 * 	201.86	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1RCVC|2MBVNT|3AART|4RPLT|5DMG|6aVULN|7CDMG|8ASPD|9RCR
90	62424 23321	   	201.82	DCR|2VULN|2ASPD|1AART|1DMG	19VULN|25ASPD|3LEGI|4AME|6RCR|7FEWX|8DMG|aAART
91	62324 25321	   	201.82	DCR|2VULN|2ASPD|1AART|1DMG	19VULN|25ASPD|3BEXP|4AME|6RCR|7DUST|8DMG|aAART
92	63136 63313	   	201.68	DCR|3VULN|2DMG|1ASPD|1ZMB	178VULN|28ERES|34LHND|5ZMB|68DMG|8BPWR|9ASPD|aRCR
93	15221 15353	   	201.57	DCR|2DMG|1MDPS|1VULN|1ASPD|2ZMB|1DUR|1SELL	1SELL|23ZMB|48DMG|5DUR|6RCR|7ASPD|9VULN|aMDPS
94	12312 33431	 * 	201.39	DCR|2VULN|1MDPS|2ASPD|1AART|2CDMG|1SELL	1SELL|2BELT|37VULN|4MDPS|57CDMG|67ASPD|7BPWR|8RCR|9AART|aLHND
95	12312 33435	 * 	201.39	DCR|2VULN|1MDPS|2ASPD|1AART|2CDMG|1SELL	1SELL|2BELT|37VULN|4MDPS|57CDMG|67ASPD|7BPWR|8RCR|9AART|aMLV
96	62521 21132	 * 	201.14	DCR|1MDPS|2ASPD|1VULN|1DMG|1CDMG|1DUR	1VULN|28ASPD|3CGEN|4MLV|5DUR|6RCR|7DMG|9CDMG|aMDPS
97	62215 33411	 * 	200.72	DCR|3ASPD|2VULN|1DMG|2DUR	17VULN|27aASPD|3BELT|4DUST|5DMG|67DUR|7BPWR|8RCR|9FEWX
98	45122 26323	 * 	200.69	DCR|2MDPS|2VULN|1ASPD|1DMG|1ZMB|2RCVC	13RCVC|2ZMB|4aMDPS|5ASPD|6RCR|79VULN|8DMG
99	45123 26123	   	200.69	DCR|2MDPS|2VULN|1ASPD|1DMG|1ZMB|2RCVC	13RCVC|2ZMB|4aMDPS|5DMG|6RCR|79VULN|8ASPD
100	62515 21133	 * 	200.47	DCR|3VULN|2ASPD|1CDMG|1DUR	15aVULN|28ASPD|3CGEN|4DUR|6RCR|7LWND|9CDMG
101	62236 13134	 * 	200.31	DCR|2VULN|2ASPD|1AART|1CDMG|1DUR	15VULN|27ASPD|3BELT|4AART|6CDMG|8ERES|9RCR|aDUR
102	32516 21124	   	200.18	DCR|2ASPD|1VULN|1AART|1DMG|1ZMB|1DUR	1LWND|28ASPD|3CGEN|4DUR|5ZMB|6RCR|7DMG|9AART|aVULN
103	32531 21124	   	200.18	DCR|2ASPD|1VULN|1AART|1DMG|1ZMB|1DUR	1LWND|28ASPD|3CGEN|4ZMB|5DUR|6RCR|7DMG|9AART|aVULN
104	62521 21141	   	200.18	DCR|2ASPD|1VULN|1AART|1DMG|1ZMB|1DUR	1VULN|28ASPD|3CGEN|4MLV|5DUR|6RCR|7DMG|9ZMB|aAART
105	62531 21121	   	200.18	DCR|2ASPD|1VULN|1AART|1DMG|1ZMB|1DUR	1VULN|28ASPD|3CGEN|4ZMB|5DUR|6RCR|7DMG|9AART|aLWND
106	62531 21122	   	200.18	DCR|2ASPD|1AART|1VULN|1DMG|1ZMB|1DUR	1VULN|28ASPD|3CGEN|4ZMB|5DUR|6RCR|7DMG|9AART|aFEWX
107	62531 21123	   	200.18	DCR|2ASPD|1AART|1VULN|1DMG|1ZMB|1DUR	1VULN|28ASPD|3CGEN|4ZMB|5DUR|6RCR|7DMG|9AART|aLIT
108	62531 21124	   	200.18	DCR|2ASPD|1VULN|1AART|1DMG|1ZMB|1DUR	1VULN|28ASPD|3CGEN|4ZMB|5DUR|6RCR|7DMG|9AART|aAELBLL
109	62531 21125	   	200.18	DCR|2ASPD|1AART|1VULN|1DMG|1ZMB|1DUR	1VULN|28ASPD|3CGEN|4ZMB|5DUR|6RCR|7DMG|9AART|aLHND
110	32531 21354	   	200.15	DCR|2VULN|2DMG|1ASPD|1ZMB|1DUR	1LWND|2ASPD|3CGEN|4ZMB|5DUR|6RCR|78DMG|9aVULN
111	62531 21334	   	200.15	DCR|2VULN|2DMG|1ASPD|1ZMB|1DUR	1aVULN|2ASPD|3CGEN|4ZMB|5DUR|6RCR|78DMG|9LHND
112	62531 21351	   	200.15	DCR|2VULN|2DMG|1ASPD|1ZMB|1DUR	19VULN|2ASPD|3CGEN|4ZMB|5DUR|6RCR|78DMG|aRMIN
113	23516 21124	   	200.08	DCR|2ASPD|1VULN|1AART|1DMG|1ZMB|1DUR	1LEGI|2CGEN|38ASPD|4DUR|5ZMB|6RCR|7DMG|9AART|aVULN
114	23531 21124	   	200.08	DCR|2ASPD|1VULN|1AART|1DMG|1ZMB|1DUR	1LEGI|2CGEN|38ASPD|4ZMB|5DUR|6RCR|7DMG|9AART|aVULN
115	62531 21111	   	200.08	DCR|2ASPD|1VULN|1AART|1DMG|1ZMB|1DUR	1VULN|28ASPD|3CGEN|4ZMB|5DUR|6RCR|7DMG|9ERES|aAART
116	23531 21354	   	200.05	DCR|2VULN|2DMG|1ASPD|1ZMB|1DUR	1LEGI|2CGEN|3ASPD|4ZMB|5DUR|6RCR|78DMG|9aVULN
117	62531 21352	   	200.05	DCR|2VULN|2DMG|1ASPD|1ZMB|1DUR|1SELL	19VULN|2ASPD|3CGEN|4ZMB|5DUR|6RCR|78DMG|aSELL
118	62531 21353	   	200.05	DCR|2VULN|2DMG|1ASPD|1ZMB|1DUR	19VULN|2ASPD|3CGEN|4ZMB|5DUR|6RCR|78DMG|aDUST
119	23521 21633	 * 	200.00	DCR|2DMG|2ASPD|1VULN|1CDMG|1DUR	1LEGI|28CGEN|38ASPD|4MLV|5DUR|6RCR|78DMG|8BPWR|9CDMG|aVULN
120	42433 23122	   	199.81	DCR|3VULN|1AART|1DMG|1ZMB	1RCVC|2BEXP|38aVULN|4ZMB|5DMG|6RCR|7BELT|9AART
121	43433 23122	   	199.71	DCR|3VULN|1AART|1DMG|1ZMB	1RCVC|2DUST|38aVULN|4ZMB|5DMG|6RCR|7BELT|9AART
122	23531 21652	   	199.33	DCR|2DMG|2ASPD|1VULN|2DUR|1ZMB	1LEGI|28CGEN|38ASPD|4ZMB|5aDUR|6RCR|78DMG|8BPWR|9VULN
123	41542 44821	   	199.31	DCR|2VULN|2ASPD|1AART|2ZMB	1RCVC|2MBVNT|3aZMB|48DUST|5aASPD|6RCR|7aVULN|9AART|aBPWR
124	62325 23522	   	199.22	DCR|3VULN|1AART|1ASPD|2DUR	15aVULN|2ASPD|3aBEXP|4AME|6RCR|7FEWX|8aDUR|9AART|aBPWR
125	62514 33222	   	199.09	DCR|3ASPD|2VULN|1AART|1DUR	1aVULN|257ASPD|3CGEN|4DUR|6RMIN|8RCR|9AART
126	62521 43222	   	199.09	DCR|3ASPD|2VULN|1AART|1DUR	1aVULN|267ASPD|3CGEN|4MLV|5DUR|8RCR|9AART
127	61326 81322	 * 	199.06	DCR|3VULN|2DMG|1AART	16aVULN|2aFEWX|3DUST|4MLV|5MBVNT|7aDMG|8RCR|9AART|aBPWR
128	62236 13133	   	198.78	DCR|2VULN|2ASPD|1AART|1CDMG|1AAC	15VULN|27ASPD|3BELT|4AART|6CDMG|8ERES|9RCR|aAAC
129	41632 44121	   	198.59	DCR|3ASPD|2VULN|1AART|1AAC	1RCVC|2MBVNT|3aDUST|4AAC|58aASPD|6RCR|7aVULN|9AART|aBPWR
130	62531 26311	   	198.41	DCR|2VULN|2ASPD|1CDMG|2DUR|1ZMB	18VULN|28ASPD|3CGEN|4ZMB|58DUR|6RCR|7RPLT|8BPWR|9CDMG|aAME
131	62531 26313	   	198.41	DCR|2VULN|2ASPD|1CDMG|2DUR|1ZMB	18VULN|28ASPD|3CGEN|4ZMB|58DUR|6RCR|7RPLT|8BPWR|9CDMG|aMLV
132	32346 23321	   	198.04	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1LWND|2ASPD|34BEXP|5ZMB|6RCR|79VULN|8DMG|aAART
133	62346 21321	   	198.04	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	19VULN|2ASPD|34BEXP|5ZMB|6RCR|7LWND|8DMG|aAART
134	62325 23123	   	197.93	DCR|2VULN|2AART|2ASPD	15VULN|28ASPD|3BEXP|4AME|6RCR|7FEWX|9aAART
135	62355 23123	   	197.93	DCR|2VULN|2AART|2ASPD	15VULN|28ASPD|3BEXP|4MLV|6RCR|7FEWX|9aAART
136	32236 16133	   	197.56	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1LWND|2ASPD|3BELT|4AART|57VULN|6DMG|8CDMG|9RCVC|aRCR
137	32262 16133	   	197.56	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1LWND|2ASPD|3BELT|47VULN|5AART|6DMG|8CDMG|9RCVC|aRCR
138	62233 16133	   	197.56	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	17VULN|2ASPD|3BELT|4AART|5LWND|6DMG|8CDMG|9RCVC|aRCR
139	61343 31343	   	197.39	DCR|2VULN|2DMG|1ASPD|2DUR|1ZMB	15VULN|2FEWX|3DUST|45DUR|5BPWR|6ASPD|78DMG|9ZMB|aRCR
140	32236 16352	   	197.29	DCR|2VULN|2DMG|1AART|1ASPD	18LWND|2ASPD|3BELT|4AART|57VULN|69DMG|aRCR
141	32262 16352	   	197.29	DCR|2VULN|2DMG|1AART|1ASPD	18LWND|2ASPD|3BELT|47VULN|5AART|69DMG|aRCR
142	62233 16352	   	197.29	DCR|2VULN|2DMG|1AART|1ASPD	17VULN|2ASPD|3BELT|4AART|58LWND|69DMG|aRCR
143	32531 21154	   	196.78	DCR|2VULN|2ASPD|1DMG|1ZMB|1DUR	1LWND|28ASPD|3CGEN|4ZMB|5DUR|6RCR|7DMG|9aVULN
144	62531 21134	   	196.78	DCR|2VULN|2ASPD|1DMG|1ZMB|1DUR	1aVULN|28ASPD|3CGEN|4ZMB|5DUR|6RCR|7DMG|9LHND
145	62531 21151	   	196.78	DCR|2VULN|2ASPD|1DMG|1ZMB|1DUR	19VULN|28ASPD|3CGEN|4ZMB|5DUR|6RCR|7DMG|aRMIN
146	23531 21154	   	196.68	DCR|2VULN|2ASPD|1DMG|1ZMB|1DUR	1LEGI|2CGEN|38ASPD|4ZMB|5DUR|6RCR|7DMG|9aVULN
147	62531 21152	   	196.68	DCR|2VULN|2ASPD|1DMG|1ZMB|1DUR|1SELL	19VULN|28ASPD|3CGEN|4ZMB|5DUR|6RCR|7DMG|aSELL
148	62531 21153	   	196.68	DCR|2VULN|2ASPD|1DMG|1ZMB|1DUR	19VULN|28ASPD|3CGEN|4ZMB|5DUR|6RCR|7DMG|aDUST
149	62531 21341	   	196.57	DCR|2DMG|1AART|1VULN|1ASPD|1AAC|1ZMB|1DUR	1VULN|2ASPD|3CGEN|4ZMB|5DUR|6RCR|78DMG|9AAC|aAART
150	43432 26121	   	196.20	DCR|2VULN|2ASPD|1AART|1ZMB	1RCVC|2aDUST|3aVULN|4ZMB|58ASPD|6RCR|7aFEWX|9AART|aBPWR
151	42432 25121	   	196.20	DCR|2VULN|2ASPD|1AART|1ZMB	1RCVC|2aBEXP|3aVULN|4ZMB|58ASPD|6RCR|7aDUST|9AART|aBPWR
152	62515 21321	   	196.01	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	15VULN|2ASPD|3CGEN|4DUR|6RCR|7LWND|8DMG|9AELBLL|aAART
153	62515 23321	   	196.01	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	15VULN|2ASPD|3CGEN|4DUR|6RCR|7FEWX|8DMG|9AELBLL|aAART
