0	Index      	 *	Score 	Summary	Detail	
1	16134 42321	 * 	202.07	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	189LHND|2BELT|39DMG|4DUR|5ZMB|69VULN|7RCR|9BPWR|aAART
22	62372 13714	   	195.47	DCR|3ASPD|2VULN|1DMG|1DUR	17CGEN|2DUR|3MBVNT|47VULN|5RPLT|67aASPD|7BPWR|8RCR|9DMG
23	62382 13714	   	195.47	DCR|3ASPD|2VULN|1DMG|1DUR	17CGEN|2DUR|3MBVNT|4RPLT|57VULN|67aASPD|7BPWR|8RCR|9DMG
24	16134 42323	 * 	194.54	DCR|2VULN|2DMG|1CDMG|1ZMB|1DUR	189LHND|2BELT|39DMG|4DUR|5ZMB|69VULN|7RCR|9BPWR|aCDMG
25	31134 61351	 * 	193.03	DCR|3VULN|2DMG|2ZMB	148LWND|29aVULN|3BELT|58DMG|6RCR|78ZMB|8BPWR
26	31134 61621	   	193.03	DCR|3VULN|2DMG|2ZMB	149LWND|28aVULN|3BELT|59DMG|6RCR|79ZMB|9BPWR
27	13214 53331	 * 	192.13	DCR|2VULN|2AART|2ASPD	1aLHND|236MLV|4aASPD|57AART|8aVULN|9RCR|aBPWR
28	33214 53331	   	192.13	DCR|2VULN|2AART|2ASPD	1aLWND|236MLV|4aASPD|57AART|8aVULN|9RCR|aBPWR
29	31162 61324	 * 	191.71	DCR|3VULN|3ZMB|1AART|1AAC	189LWND|289VULN|3BELT|4AAC|5DMSP|6RCR|789ZMB|89BPWR|aAART
30	62232 26336	 * 	191.33	DCR|2VULN|2DMG|1MDPS|1AART|1DUR	1CGEN|2DUR|38DMG|4MDPS|5ERES|69VULN|7RCR|aAART
31	62372 34711	 * 	191.31	DCR|3VULN|1ASPD|1DMG|2DUR	1CGEN|26DUR|3MBVNT|46aVULN|5RPLT|6BPWR|7ASPD|8RCR|9DMG
32	62382 34711	   	191.31	DCR|3VULN|1ASPD|1DMG|2DUR	1CGEN|26DUR|3MBVNT|4RPLT|56aVULN|6BPWR|7ASPD|8RCR|9DMG
33	11144 21522	 * 	190.81	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1LHND|26VULN|3BELT|4DUR|5ASPD|7ZMB|8CDMG|9DMG|aRCR
34	11144 13342	   	190.06	DCR|3VULN|1ASPD|1DMG|1DUR	1LHND|279VULN|3BELT|4DUR|5ASPD|6RCR|8AELBLL|aDMG
35	31144 13342	   	190.06	DCR|3VULN|1ASPD|1DMG|1DUR	1LWND|279VULN|3BELT|4DUR|5ASPD|6RCR|8AELBLL|aDMG
36	23225 56131	   	189.99	DCR|3VULN|1ASPD|1DMG|1ZMB	1VENFST|2CGEN|358VULN|4DUST|6ZMB|7RCR|9DMG|aASPD
37	22511 52253	   	189.95	DCR|2VULN|2AART|1ASPD|1ZMB	1VENFST|2BEXP|3CANSTR|47AART|59VULN|6ZMB|8RCR|aASPD
38	11134 14253	 * 	189.85	DCR|2ASPD|1VULN|1AART|1DMG|1DUR	1LHND|2VULN|3BELT|4LWND|57ASPD|6RCR|8AART|9DMG|aDUR
39	11124 14253	   	189.75	DCR|2ASPD|1VULN|1AART|1DMG|1DUR	1LHND|2VULN|3BELT|4LEGI|57ASPD|6RCR|8AART|9DMG|aDUR
40	31124 14253	   	189.75	DCR|2ASPD|1VULN|1AART|1DMG|1DUR	1LWND|2VULN|3BELT|4LEGI|57ASPD|6RCR|8AART|9DMG|aDUR
41	62223 52124	 * 	189.59	DCR|2VULN|2ASPD|1DMG|2DUR	1CGEN|25DUR|3DMG|4DUST|69ASPD|7RCR|8aVULN
42	66312 31126	 * 	189.43	DCR|2DMG|1VULN|1AART|1CDMG|1ZMB	16CGEN|2LIT|3AART|4ZMB|56DMG|6BPWR|7RCR|8ERES|9CDMG|aVULN
43	66312 31326	 * 	189.43	DCR|2DMG|1VULN|1AART|1CDMG|1AAC|1ZMB	16CGEN|2LIT|3AART|4ZMB|56DMG|6BPWR|7RCR|8AAC|9CDMG|aVULN
44	63372 13632	 * 	189.37	ACR|3VULN|2DMG|2ASPD	17CGEN|2RCR|3MBVNT|47aVULN|5RPLT|67ASPD|7BPWR|89DMG
45	63382 13632	   	189.37	ACR|3VULN|2DMG|2ASPD	17CGEN|2RCR|3MBVNT|4RPLT|57aVULN|67ASPD|7BPWR|89DMG
46	46312 31326	   	189.33	DCR|2DMG|1VULN|1AART|1CDMG|1ZMB	16ERES|2LIT|3AART|4ZMB|56DMG|6BPWR|7RCR|8AME|9CDMG|aVULN
47	63313 32384	 * 	189.05	ACR|4VULN|1AART|2CDMG|1DUR	19CGEN|2RCR|3MBVNT|4DUR|5AART|689aVULN|79CDMG|9BPWR
48	13214 54331	 * 	188.98	DCR|3ASPD|2VULN|1AART	1aLHND|236MLV|47aASPD|5AART|8aVULN|9RCR|aBPWR
49	33214 54331	   	188.98	DCR|3ASPD|2VULN|1AART	1aLWND|236MLV|47aASPD|5AART|8aVULN|9RCR|aBPWR
50	22614 26131	   	188.97	DCR|3ASPD|2VULN|1DMG	1VENFST|2BEXP|38VULN|45aASPD|6ERES|7RCR|9DMG
51	25122 15362	 * 	188.94	DCR|2VULN|2DMG|2CDMG|1DUR	179VENFST|27CDMG|39BEXP|4RCVC|5DUR|67VULN|79BPWR|89DMG|aRCR
52	25322 15362	   	188.94	DCR|2VULN|2DMG|2CDMG|1DUR	179VENFST|27CDMG|39FEWX|4RCVC|5DUR|67VULN|79BPWR|89DMG|aRCR
53	11162 61322	 * 	188.00	DCR|3VULN|3ZMB|1ASPD|1AAC	189LHND|289VULN|3BELT|4AAC|5DMSP|6RCR|789ZMB|89BPWR|aASPD
54	56133 43133	   	187.82	DCR|2ASPD|1VULN|1AART|1CDMG|1ZMB|1SELL	1SELL|2AART|3CGEN|4AME|58ASPD|6RCR|7VULN|9ZMB|aCDMG
55	11134 15251	   	187.70	DCR|2VULN|1AART|1ASPD|1DMG	1LHND|27VULN|3BELT|4LWND|5ASPD|6RCR|8AART|9DMG|aFEWX
56	11144 52321	 * 	187.70	DCR|2VULN|1AART|1ASPD|2ZMB|1DUR	189LHND|29VULN|3BELT|4DUR|5ASPD|69ZMB|7RCR|9BPWR|aAART
57	62372 34714	   	187.69	DCR|2VULN|2ASPD|1DMG|2DUR	1CGEN|26DUR|3MBVNT|46VULN|5RPLT|6BPWR|7aASPD|8RCR|9DMG
58	62382 34714	   	187.69	DCR|2VULN|2ASPD|1DMG|2DUR	1CGEN|26DUR|3MBVNT|4RPLT|56VULN|6BPWR|7aASPD|8RCR|9DMG
59	62232 26331	 * 	187.62	DCR|2VULN|1MDPS|2DMG|1ASPD|1DUR	1CGEN|2DUR|38DMG|4MDPS|5ERES|69VULN|7RCR|aASPD
60	11124 15251	   	187.60	DCR|2VULN|1AART|1ASPD|1DMG	1LHND|27VULN|3BELT|4LEGI|5ASPD|6RCR|8AART|9DMG|aFEWX
61	11134 15252	   	187.60	DCR|2VULN|1AART|1ASPD|1DMG	1LHND|27VULN|3BELT|4LWND|5ASPD|6RCR|8AART|9DMG|aTLV
62	31124 15251	   	187.60	DCR|2VULN|1AART|1ASPD|1DMG	1LWND|27VULN|3BELT|4LEGI|5ASPD|6RCR|8AART|9DMG|aFEWX
63	11124 15252	   	187.50	DCR|2VULN|1AART|1ASPD|1DMG	1LHND|27VULN|3BELT|4LEGI|5ASPD|6RCR|8AART|9DMG|aTLV
64	31124 15252	   	187.50	DCR|2VULN|1AART|1ASPD|1DMG	1LWND|27VULN|3BELT|4LEGI|5ASPD|6RCR|8AART|9DMG|aTLV
65	13616 12336	 * 	187.21	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1LHND|2MLV|3AART|4FEWX|56DMG|7DUR|8VULN|9RCR|aASPD
66	63372 13631	 * 	187.19	ACR|3DMG|2VULN|2ASPD	17CGEN|2RCR|3MBVNT|47VULN|5RPLT|67ASPD|7BPWR|89aDMG
67	63382 13631	   	187.19	ACR|3DMG|2VULN|2ASPD	17CGEN|2RCR|3MBVNT|4RPLT|57VULN|67ASPD|7BPWR|89aDMG
68	63383 31482	 * 	187.19	ACR|2VULN|1AART|2CDMG|1ASPD|1DMG	18CGEN|2RCR|3MBVNT|4RPLT|5AART|68CDMG|78VULN|8BPWR|9DMG|aASPD
69	43363 31111	 * 	187.16	ACR|3VULN|1MDPS|1ASPD|1DMG|1CDMG|2DUR	1ERES|2RCR|36DUR|46aVULN|5MDPS|6BPWR|7CDMG|8ASPD|9DMG
70	12616 12336	   	187.11	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1LHND|2ERES|3AART|4FEWX|56DMG|7DUR|8VULN|9RCR|aASPD
71	13626 12336	   	187.11	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1LHND|2MLV|3AART|4DUST|56DMG|7DUR|8VULN|9RCR|aASPD
72	12626 12336	   	187.01	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1LHND|2ERES|3AART|4DUST|56DMG|7DUR|8VULN|9RCR|aASPD
73	11114 55321	 * 	186.95	ACR|3VULN|3ASPD|3ZMB	189LHND|27aVULN|3BELT|4RCR|589ASPD|689ZMB|89BPWR
74	63263 21343	 * 	186.24	ACR|1SPLARM|2AART|2DMG|1VULN|1ASPD	1CGEN|2RCR|37DMG|4SPLARM|5VULN|6ERES|8aAART|9ASPD
75	64211 31513	   	186.16	DCR|2VULN|2ASPD|2CDMG|1DUR	136CGEN|29CDMG|47ASPD|56VULN|6BPWR|8RCR|aDUR
76	11636 23534	   	186.09	DCR|2VULN|1AART|1ASPD|1CDMG|1DUR	1LHND|25VULN|3RPLT|4AART|6CDMG|7MBVNT|8DUR|9RCR|aASPD
77	31114 53312	   	185.99	ACR|2VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1LWND|29VULN|3BELT|4RCR|5ASPD|6ZMB|7CDMG|8AART|aDMG
78	11144 11253	 * 	185.92	DCR|1AART|1VULN|1ASPD|1DMG|3DUR	1LHND|2VULN|3BELT|47aDUR|5ASPD|6RCR|8AART|9DMG
79	31144 11253	   	185.92	DCR|1VULN|1AART|1ASPD|1DMG|3DUR	1LWND|2VULN|3BELT|47aDUR|5ASPD|6RCR|8AART|9DMG
80	63263 21326	 * 	185.82	ACR|1SPLARM|3DMG|1VULN|1AART|1ASPD	1CGEN|2RCR|379DMG|4SPLARM|5VULN|6ERES|8AART|aASPD
81	63263 21341	   	185.82	ACR|1SPLARM|3DMG|1VULN|1AART|1ASPD	1CGEN|2RCR|37aDMG|4SPLARM|5VULN|6ERES|8AART|9ASPD
82	66312 31444	 * 	185.71	DCR|2DMG|1AART|1ASPD|1CDMG|1ZMB	16CGEN|2LIT|3AART|4ZMB|56DMG|6BPWR|7RCR|8MBVNT|9ASPD|aCDMG
83	63313 32282	 * 	185.49	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1aCGEN|2RCR|3MBVNT|4DUR|5AART|6aVULN|7CDMG|8CANSTR|9aDMG|aBPWR
84	31134 63334	   	185.43	DCR|2VULN|2DMG|1AART	148LWND|2aVULN|3BELT|58DMG|6RCR|78AME|8BPWR|9AART
85	62232 26334	 * 	185.39	DCR|3VULN|2DMG|1MDPS|1DUR	1CGEN|2DUR|38DMG|4MDPS|5ERES|69aVULN|7RCR
86	11134 15215	 * 	185.37	DCR|3VULN|1AART|1ASPD	1LHND|27aVULN|3BELT|4LWND|5ASPD|6RCR|8AART|9DUST
87	23261 15226	   	185.36	DCR|3VULN|1AART|2ZMB|1DUR	1aVENFST|2CGEN|39aVULN|4DUR|5DUST|6AART|7RCR|8aZMB|aBPWR
88	31114 55321	 * 	185.36	ACR|3ASPD|2VULN|3ZMB|1CDMG	189LWND|27VULN|3BELT|4RCR|589ASPD|689ZMB|89BPWR|aCDMG
89	11124 15215	   	185.27	DCR|3VULN|1AART|1ASPD	1LHND|27aVULN|3BELT|4LEGI|5ASPD|6RCR|8AART|9DUST
90	31124 15215	   	185.27	DCR|3VULN|1AART|1ASPD	1LWND|27aVULN|3BELT|4LEGI|5ASPD|6RCR|8AART|9DUST
91	21261 15226	   	185.26	DCR|3VULN|1AART|2ZMB|1DUR	1aVENFST|2ERES|39aVULN|4DUR|5DUST|6AART|7RCR|8aZMB|aBPWR
92	22612 26622	 * 	185.18	DCR|1VULN|1AART|1ASPD|1DMG|1NUKE	1VENFST|2BEXP|3VULN|4ASPD|56ERES|7RCR|8AART|9DMG|aNUKE
93	31124 12625	   	184.56	DCR|2VULN|2ASPD|1CDMG|1ZMB	1LWND|28VULN|3BELT|4LEGI|5aASPD|6RCR|7CDMG|9ZMB
94	66331 31531	 * 	184.18	DCR|3AART|2DMG|1VULN	18CGEN|2LIT|359AART|48ERES|68DMG|7RCR|8BPWR|aVULN
95	21225 56131	   	184.05	DCR|3VULN|2ASPD|1ZMB	1VENFST|2ERES|358VULN|4DUST|6ZMB|7RCR|9aASPD
96	31561 12252	   	183.95	DCR|2VULN|1AART|1ASPD|1CDMG|1DUR|1SELL	18LWND|24VULN|3SELL|5ASPD|6CDMG|7AART|9DUR|aRCR
97	63313 81134	 * 	183.88	ACR|2VULN|2AART|1DMG|1CDMG|1DUR	1CGEN|2RCR|3MBVNT|4DUR|59AART|6DMG|7aVULN|8CDMG
98	62232 26341	 * 	183.80	DCR|2VULN|1MDPS|2DMG|1CDMG|1DUR	1CGEN|2DUR|38DMG|4MDPS|5ERES|6aVULN|7RCR|9CDMG
99	11631 53242	 * 	183.79	DCR|2AART|1VULN|1ASPD|1CDMG|1DUR	1LHND|2VULN|3RPLT|49AART|5DUR|6CDMG|7DUST|8RCR|aASPD
100	31631 53242	   	183.79	DCR|2AART|1VULN|1ASPD|1CDMG|1DUR	1LWND|2VULN|3RPLT|49AART|5DUR|6CDMG|7DUST|8RCR|aASPD
101	11162 61325	 * 	183.78	DCR|4VULN|3ZMB|1AAC	189LHND|289aVULN|3BELT|4AAC|5DMSP|6RCR|789ZMB|89BPWR
102	36136 33135	 * 	183.69	DCR|2DMG|1VULN|1ASPD|1CDMG|1DUR	1LWND|2BELT|3aDMG|4DUR|5MLV|6CDMG|7RCR|8VULN|9ASPD
103	63313 34131	 * 	183.56	ACR|2AART|1VULN|1ASPD|1DMG|1CDMG|1DUR	1CGEN|2RCR|3MBVNT|4DUR|59AART|6VULN|7ASPD|8CDMG|aDMG
104	63313 32381	   	183.53	ACR|3VULN|1AART|2CDMG|1ZMB|1DUR	19CGEN|2RCR|3MBVNT|4DUR|5AART|689VULN|79CDMG|9BPWR|aZMB
105	66312 53131	   	183.48	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1CGEN|2LIT|3AART|4ZMB|5aDMG|6RCR|7BEXP|8DUR|9VULN
106	32636 23511	 * 	183.47	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG	1LWND|2ERES|3AART|4BELT|5DMG|6RCR|7CDMG|8LHND|9VULN|aASPD
107	11114 53132	 * 	183.46	ACR|4VULN|2CDMG|1ASPD|1ZMB	19LHND|289aVULN|3BELT|4RCR|5ASPD|6ZMB|79CDMG|9BPWR
108	31114 53132	   	183.46	ACR|4VULN|2CDMG|1ASPD|1ZMB	19LWND|289aVULN|3BELT|4RCR|5ASPD|6ZMB|79CDMG|9BPWR
109	56333 43221	   	183.44	DCR|2VULN|1AART|1ASPD|1CDMG|1SELL	1SELL|2AART|39ERES|4AME|5ASPD|6RCR|7aVULN|8CDMG
110	12636 23433	 * 	183.39	DCR|1SPLARM|1VULN|1AART|1DMG|1CDMG|1ZMB	1LHND|2ERES|3AART|4BELT|5DMG|6RCR|7CDMG|8SPLARM|9VULN|aZMB
111	32636 23433	   	183.39	DCR|1SPLARM|1AART|1VULN|1DMG|1CDMG|1ZMB	1LWND|2ERES|3AART|4BELT|5DMG|6RCR|7CDMG|8SPLARM|9VULN|aZMB
112	46312 63131	   	183.38	DCR|2DMG|1VULN|1AART|1ZMB|1DUR	1ERES|2LIT|3AART|4ZMB|5aDMG|6RCR|7BEXP|8DUR|9VULN
113	11561 12352	   	182.97	DCR|2VULN|1AART|2CDMG|1ASPD|1SELL	1LHND|24VULN|3SELL|5ASPD|69CDMG|7AART|8DUST|aRCR
114	13323 12643	 * 	182.91	DCR|2VULN|1MDPS|2ASPD|3CDMG	1aLHND|2MLV|346CDMG|5aVULN|7aASPD|8MDPS|9RCR|aBPWR
115	11134 21522	   	182.51	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB	1LHND|26VULN|3BELT|4LWND|5ASPD|7ZMB|8CDMG|9DMG|aRCR
116	11134 26232	   	182.51	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB	1LHND|26VULN|3BELT|4LWND|5ASPD|7CDMG|8DMG|9ZMB|aRCR
117	62342 83712	   	182.45	DCR|2VULN|2ASPD|1DMG|1DUR	17CGEN|2DUR|3MBVNT|47ASPD|5RPLT|67VULN|7BPWR|8RCR|9DMG|aDUST
118	62372 13712	   	182.45	DCR|2VULN|2ASPD|1DMG|1DUR	17CGEN|2DUR|3MBVNT|47VULN|5RPLT|67ASPD|7BPWR|8RCR|9DMG|aDUST
119	62382 13712	   	182.45	DCR|2VULN|2ASPD|1DMG|1DUR	17CGEN|2DUR|3MBVNT|4RPLT|57VULN|67ASPD|7BPWR|8RCR|9DMG|aDUST
120	11124 21522	   	182.41	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB	1LHND|26VULN|3BELT|4LEGI|5ASPD|7ZMB|8CDMG|9DMG|aRCR
121	11124 26232	   	182.41	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB	1LHND|26VULN|3BELT|4LEGI|5ASPD|7CDMG|8DMG|9ZMB|aRCR
122	16335 32242	 * 	182.15	DCR|3VULN|1MDPS|1DMG|1CDMG|1DUR	1LHND|2BELT|3MDPS|4DUR|59aVULN|6DMG|7CDMG|8RCR
123	63263 61223	 * 	182.02	ACR|3VULN|1SPLARM|1MDPS|1DMG|1CDMG	1CGEN|2RCR|3DMG|4SPLARM|579VULN|6CDMG|8DUST|aMDPS
124	63266 11223	   	182.02	ACR|3VULN|1SPLARM|1MDPS|1DMG|1CDMG	1CGEN|2RCR|3DMG|4SPLARM|5CDMG|679VULN|8DUST|aMDPS
125	11114 53315	 * 	182.00	ACR|2VULN|2AART|1ASPD|1CDMG|1ZMB	1LHND|29VULN|3BELT|4RCR|5ASPD|6ZMB|7CDMG|8aAART
126	31114 53315	   	182.00	ACR|2VULN|2AART|1ASPD|1CDMG|1ZMB	1LWND|29VULN|3BELT|4RCR|5ASPD|6ZMB|7CDMG|8aAART
127	63263 21321	 * 	181.83	ACR|1SPLARM|3DMG|2AART|1VULN	1CGEN|2RCR|379DMG|4SPLARM|5VULN|6ERES|8aAART
128	63243 51112	 * 	181.77	ACR|2VULN|2DMG|1ASPD|1CDMG|1DUR	1CGEN|2RCR|38DMG|4FEWX|5DUR|6ASPD|7CDMG|9aVULN
129	11134 14215	   	181.76	DCR|2VULN|2ASPD|1AART	1LHND|2aVULN|3BELT|4LWND|57ASPD|6RCR|8AART|9DUST
130	11134 15342	   	181.76	DCR|3VULN|1ASPD|1DMG	1LHND|279VULN|3BELT|4LWND|5ASPD|6RCR|8AELBLL|aDMG
131	62245 32123	 * 	181.67	DCR|1VULN|1ASPD|1DMG|1CDMG|2DUR|1ZMB	1CGEN|26DUR|3DMG|4FEWX|5ZMB|7RCR|8VULN|9ASPD|aCDMG
132	63223 53112	   	181.67	ACR|2VULN|2DMG|1ASPD|1CDMG|1DUR	1CGEN|2RCR|38DMG|4DUST|5DUR|6CDMG|7ASPD|9aVULN
133	11124 14215	   	181.66	DCR|2VULN|2ASPD|1AART	1LHND|2aVULN|3BELT|4LEGI|57ASPD|6RCR|8AART|9DUST
134	31124 14215	   	181.66	DCR|2VULN|2ASPD|1AART	1LWND|2aVULN|3BELT|4LEGI|57ASPD|6RCR|8AART|9DUST
135	11124 15342	   	181.66	DCR|3VULN|1ASPD|1DMG	1LHND|279VULN|3BELT|4LEGI|5ASPD|6RCR|8AELBLL|aDMG
136	31124 15342	   	181.66	DCR|3VULN|1ASPD|1DMG	1LWND|279VULN|3BELT|4LEGI|5ASPD|6RCR|8AELBLL|aDMG
137	11134 14251	   	181.54	DCR|2ASPD|1VULN|1AART|1DMG	1LHND|2VULN|3BELT|4LWND|57ASPD|6RCR|8AART|9DMG|aFEWX
138	11124 14251	   	181.44	DCR|2ASPD|1VULN|1AART|1DMG	1LHND|2VULN|3BELT|4LEGI|57ASPD|6RCR|8AART|9DMG|aFEWX
139	31124 14251	   	181.44	DCR|2ASPD|1VULN|1AART|1DMG	1LWND|2VULN|3BELT|4LEGI|57ASPD|6RCR|8AART|9DMG|aFEWX
140	11134 14252	   	181.44	DCR|2ASPD|1AART|1VULN|1DMG	1LHND|2VULN|3BELT|4LWND|57ASPD|6RCR|8AART|9DMG|aTLV
141	61533 33123	 * 	181.40	DCR|2VULN|2AART|1MDPS|1CDMG	1CGEN|2RCVC|3DUST|4MDPS|59AART|6aVULN|7RCR|8CDMG
142	11124 14252	   	181.34	DCR|2ASPD|1VULN|1AART|1DMG	1LHND|2VULN|3BELT|4LEGI|57ASPD|6RCR|8AART|9DMG|aTLV
143	31124 14252	   	181.34	DCR|2ASPD|1VULN|1AART|1DMG	1LWND|2VULN|3BELT|4LEGI|57ASPD|6RCR|8AART|9DMG|aTLV
144	11144 13263	   	181.19	DCR|2VULN|1AART|1ASPD|2DUR	1LHND|27VULN|3BELT|4aDUR|5ASPD|6RCR|8AART|9RMIN
145	31144 13263	   	181.19	DCR|2VULN|1AART|1ASPD|2DUR	1LWND|27VULN|3BELT|4aDUR|5ASPD|6RCR|8AART|9RMIN
146	66311 62131	 * 	181.13	DCR|3AART|1VULN|1ASPD|1ZMB	1CGEN|2LIT|359AART|4ZMB|6RCR|7RCVC|8ASPD|aVULN
147	11144 13214	   	181.09	DCR|2VULN|1AART|1ASPD|2DUR	1LHND|27VULN|3BELT|4aDUR|5ASPD|6RCR|8AART|9DUST
148	11165 13253	 * 	181.09	DCR|2VULN|1AART|1DMG|2DUR|1AAC	1LHND|27VULN|3BELT|4AAC|5aDUR|6RCR|8AART|9DMG
149	31144 13214	   	181.09	DCR|2VULN|1AART|1ASPD|2DUR	1LWND|27VULN|3BELT|4aDUR|5ASPD|6RCR|8AART|9DUST
150	31165 13253	   	181.09	DCR|2VULN|1AART|1DMG|2DUR|1AAC	1LWND|27VULN|3BELT|4AAC|5aDUR|6RCR|8AART|9DMG
151	63313 81131	 * 	181.08	ACR|2AART|2DMG|1VULN|1CDMG|1DUR	1CGEN|2RCR|3MBVNT|4DUR|59AART|6aDMG|7VULN|8CDMG
152	46311 62131	   	181.03	DCR|3AART|1VULN|1ASPD|1ZMB	1ERES|2LIT|359AART|4ZMB|6RCR|7RCVC|8ASPD|aVULN
153	11144 11251	   	180.87	DCR|1AART|1VULN|1ASPD|1DMG|2DUR	1LHND|2VULN|3BELT|47DUR|5ASPD|6RCR|8AART|9DMG|aFEWX
154	31144 11251	   	180.87	DCR|1VULN|1AART|1ASPD|1DMG|2DUR	1LWND|2VULN|3BELT|47DUR|5ASPD|6RCR|8AART|9DMG|aFEWX
155	31134 66223	   	180.85	DCR|2DMG|1VULN|1AART|1CDMG|1SELL	14LWND|2VULN|3BELT|58DMG|6RCR|7CDMG|9SELL|aAART
156	11144 11252	   	180.77	DCR|1VULN|1AART|1ASPD|1DMG|2DUR	1LHND|2VULN|3BELT|47DUR|5ASPD|6RCR|8AART|9DMG|aTLV
157	31144 11252	   	180.77	DCR|1VULN|1AART|1ASPD|1DMG|2DUR	1LWND|2VULN|3BELT|47DUR|5ASPD|6RCR|8AART|9DMG|aTLV
158	63333 24384	   	180.74	ACR|4VULN|1AART|2CDMG	19CGEN|2RCR|3MBVNT|4BEXP|5AART|69CDMG|789aVULN|9BPWR
