0	Index      	 *	Score 	Summary	Detail	
1	63411 33412	 * 	238.90	DCR|2VULN|2DMG|2ASPD|1AART|1CDMG	1RPLT|29VULN|3AART|4RMIN|5LHND|69DMG|79ASPD|8RCR|9BPWR|aCDMG
28	22252 21111	   	217.22	DCR|3VULN|2DMG|1AART|1ASPD	1AART|27AME|3LIT|467VULN|57DMG|7BPWR|8CANARM|9RCR|aASPD
29	23252 21111	   	217.22	DCR|3VULN|2DMG|1AART|1ASPD	1AART|27CGEN|3LIT|467VULN|57DMG|7BPWR|8CANARM|9RCR|aASPD
30	21252 21111	   	217.02	DCR|3VULN|2DMG|1AART|1ASPD	1AART|27ERES|3LIT|467VULN|57DMG|7BPWR|8CANARM|9RCR|aASPD
31	62231 23512	 * 	216.81	DCR|3VULN|3DMG|1AART	1RPLT|29aDMG|3DUST|49FEWX|589VULN|6AART|7RCR|9BPWR
32	22361 61226	   	216.55	DCR|3VULN|1AART|1DMG|1CDMG|2DUR	1AART|2AME|357VULN|45DUR|5BPWR|6RCR|8RCVC|9CDMG|aDMG
33	22311 61632	 * 	216.34	DCR|3VULN|1SPLARM|1AART|1ASPD|1CDMG	1AART|2AME|357VULN|45LHND|5BPWR|6RCR|8ASPD|9CDMG|aSPLARM
34	22311 62562	   	216.34	DCR|3VULN|1SPLARM|1AART|1ASPD|1CDMG	1AART|2AME|359VULN|45LHND|5BPWR|6RCR|7ASPD|8CDMG|aSPLARM
35	16513 12315	 * 	215.75	DCR|3VULN|2ASPD|1AART|1DMG	13ASPD|2AELBLL|4LHND|569VULN|7DMG|8RCR|aAART
36	21361 11334	   	215.44	DCR|3VULN|1AART|1ASPD|1CDMG|2DUR	1AART|2ERES|35aVULN|45DUR|5BPWR|6RMIN|7ASPD|8RCR|9CDMG
37	22361 62116	   	215.37	DCR|3VULN|1AART|1ASPD|1CDMG|2DUR	1AART|2AME|359VULN|45DUR|5BPWR|6RCR|7ASPD|8LWND|aCDMG
38	11636 12336	 * 	215.36	DCR|4VULN|2DMG|1ASPD	1ASPD|2FEWX|3456VULN|7aDMG|8RCR|9RMIN
39	12636 12336	   	215.36	DCR|4VULN|2DMG|1ASPD	1ASPD|2LWND|3456VULN|7aDMG|8RCR|9RMIN
40	14363 12122	   	213.84	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	1ASPD|2LIT|3MLV|478VULN|5DMG|6RCR|9AART|aDUR
41	14463 12122	   	213.84	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	1ASPD|2LIT|3CGEN|478VULN|5DMG|6RCR|9AART|aDUR
42	63533 11123	   	213.78	DCR|3VULN|1AART|1ASPD|1DMG|1CDMG	1RPLT|237VULN|4AART|5ASPD|6BEXP|8CDMG|9DMG|aRCR
43	62311 24512	 * 	213.65	DCR|2VULN|2AART|2DMG|1CDMG	1RPLT|29DMG|39FEWX|4MBVNT|59VULN|67AART|8RCR|9BPWR|aCDMG
44	14363 12322	   	213.60	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1ASPD|2LIT|3MLV|47VULN|58DMG|6RCR|9AART|aDUR
45	14363 13122	   	213.60	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1ASPD|2LIT|3MLV|48VULN|57DMG|6RCR|9AART|aDUR
46	14463 12322	   	213.60	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1ASPD|2LIT|3CGEN|47VULN|58DMG|6RCR|9AART|aDUR
47	14463 13122	   	213.60	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1ASPD|2LIT|3CGEN|48VULN|57DMG|6RCR|9AART|aDUR
48	62211 24512	   	213.45	DCR|2VULN|2AART|2DMG|1CDMG	1RPLT|29DMG|39DUST|4MBVNT|59VULN|67AART|8RCR|9BPWR|aCDMG
49	22252 21114	 * 	213.41	DCR|3VULN|2DMG|1AART|1CDMG	1AART|27AME|3LIT|467VULN|57DMG|7BPWR|8CANARM|9RCR|aCDMG
50	23252 21114	   	213.41	DCR|3VULN|2DMG|1AART|1CDMG	1AART|27CGEN|3LIT|467VULN|57DMG|7BPWR|8CANARM|9RCR|aCDMG
51	22361 62112	   	213.34	DCR|3VULN|2ASPD|1AART|2DUR	1AART|2AME|359VULN|45DUR|5BPWR|6RCR|7aASPD|8LWND
52	21252 21114	   	213.21	DCR|3VULN|2DMG|1AART|1CDMG	1AART|27ERES|3LIT|467VULN|57DMG|7BPWR|8CANARM|9RCR|aCDMG
53	62311 24518	 * 	213.06	DCR|3DMG|2VULN|2AART	1RPLT|29aDMG|39FEWX|4MBVNT|59VULN|67AART|8RCR|9BPWR
54	62211 24518	   	212.86	DCR|3DMG|2VULN|2AART	1RPLT|29aDMG|39DUST|4MBVNT|59VULN|67AART|8RCR|9BPWR
55	14522 12143	   	212.47	DCR|3VULN|1AART|1ASPD|1DMG	1ASPD|2LIT|3DMG|4RMIN|578VULN|6RCR|9AME|aAART
56	14522 12113	   	212.37	DCR|3VULN|1AART|1ASPD|1DMG	1ASPD|2LIT|3DMG|4RMIN|578VULN|6RCR|9TLV|aAART
57	14522 12343	   	212.23	DCR|2VULN|2DMG|1AART|1ASPD	1ASPD|2LIT|38DMG|4RMIN|57VULN|6RCR|9AME|aAART
58	14522 13143	   	212.23	DCR|2VULN|2DMG|1AART|1ASPD	1ASPD|2LIT|37DMG|4RMIN|58VULN|6RCR|9AME|aAART
59	63411 31114	   	212.22	DCR|2VULN|2DMG|1AART|2ZMB|1DUR	1RPLT|29VULN|3AART|4RMIN|5LHND|69DMG|7RCR|89ZMB|9BPWR|aDUR
60	14522 12313	   	212.13	DCR|2VULN|2DMG|1AART|1ASPD	1ASPD|2LIT|38DMG|4RMIN|57VULN|6RCR|9TLV|aAART
61	14522 13113	   	212.13	DCR|2VULN|2DMG|1AART|1ASPD	1ASPD|2LIT|37DMG|4RMIN|58VULN|6RCR|9TLV|aAART
62	21361 11331	   	211.82	DCR|2VULN|2ASPD|1AART|1CDMG|2DUR	1AART|2ERES|35VULN|45DUR|5BPWR|6RMIN|7aASPD|8RCR|9CDMG
63	22361 62132	   	211.76	DCR|2VULN|2ASPD|1AART|1CDMG|2DUR	1AART|2AME|35VULN|45DUR|5BPWR|6RCR|7aASPD|8LWND|9CDMG
64	22361 62531	   	211.76	DCR|2VULN|2ASPD|1AART|1CDMG|2DUR	1AART|2AME|35VULN|45DUR|5BPWR|6RCR|7aASPD|8CDMG|9CGEN
65	22311 62522	   	211.48	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG	1AART|2AME|35VULN|45LHND|5BPWR|6RCR|7ASPD|8aCDMG|9DMG
66	22331 62522	   	211.28	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG	1AART|2AME|35VULN|45DUST|5BPWR|6RCR|7ASPD|8aCDMG|9DMG
67	12636 12353	 * 	211.27	DCR|4VULN|1MDPS|1ASPD|1DMG|1DUR	1ASPD|2LWND|3456VULN|7DMG|8RCR|9DUR|aMDPS
68	21361 61331	   	211.27	DCR|3VULN|1AART|1ASPD|1CDMG|2DUR	1AART|2ERES|357VULN|45DUR|5BPWR|6BEXP|8RCR|9CDMG|aASPD
69	22251 21114	 * 	210.04	DCR|3VULN|2ASPD|1AART|1CDMG	1AART|27AME|3LIT|467VULN|57ASPD|7BPWR|8CANARM|9RCR|aCDMG
70	23251 21114	   	210.04	DCR|3VULN|2ASPD|1AART|1CDMG	1AART|27CGEN|3LIT|467VULN|57ASPD|7BPWR|8CANARM|9RCR|aCDMG
71	22331 62616	   	209.93	DCR|3VULN|1AART|1ASPD|1CDMG|1DUR	1AART|2AME|359VULN|45DUST|5BPWR|6RCR|7ASPD|8DUR|aCDMG
72	23251 21113	 * 	209.87	DCR|3VULN|2AART|2ASPD	1aAART|27CGEN|3LIT|467VULN|57ASPD|7BPWR|8CANARM|9RCR
73	11636 12362	 * 	209.85	DCR|4VULN|1ASPD|1DMG|1CDMG	1ASPD|2FEWX|3456VULN|7DMG|8RCR|9CDMG|aLWND
74	11632 12366	   	209.85	DCR|4VULN|1ASPD|1DMG|1CDMG	1ASPD|25FEWX|346aVULN|7DMG|8RCR|9CDMG
75	21251 21114	   	209.84	DCR|3VULN|2ASPD|1AART|1CDMG	1AART|27ERES|3LIT|467VULN|57ASPD|7BPWR|8CANARM|9RCR|aCDMG
76	11636 12361	   	209.75	DCR|4VULN|1ASPD|1DMG|1CDMG	1ASPD|2FEWX|3456VULN|7DMG|8RCR|9CDMG|aTLV
77	11636 12363	   	209.75	DCR|4VULN|1ASPD|1DMG|1CDMG	1ASPD|2FEWX|3456VULN|7DMG|8RCR|9CDMG|aDUST
78	62231 23514	   	209.46	DCR|3VULN|2DMG|1AART|1DUR	1RPLT|29DMG|3DUST|49FEWX|589VULN|6AART|7RCR|9BPWR|aDUR
79	22311 61663	 * 	209.15	DCR|3VULN|1MDPS|2ASPD|1AART	1AART|2AME|357VULN|45LHND|5BPWR|6RCR|89ASPD|aMDPS
