0	Index      	 *	Score 	Summary	Detail	
1	21521 43431	 * 	302.41	ACR|4VULN|2TLV|1AEFBLL	1RAT|2789VULN|3aTLV|4LWND|5RCR|6AEFBLL
24	21521 31116	   	287.36	ACR|2TLV|2VULN|1AEPOI|1CDMG|2RAT|2ZMB	19RAT|27VULN|39TLV|4LWND|5RCR|6CDMG|89ZMB|9BPWR|aAEPOI
25	21421 65222	   	287.03	DCR|3VULN|2TLV|2DUR	1RAT|267VULN|3aDUR|4LHND|56TLV|6BPWR|8ZMB|9RCR
26	21421 62521	   	286.49	DCR|2TLV|2VULN|1DMG|1AEPOI	1RAT|26VULN|3DUR|4LHND|56TLV|6BPWR|7AEPOI|8DMG|9RCR|aFEWX
27	21221 62522	   	286.39	DCR|2TLV|2VULN|1DMG|1AEPOI	1RAT|26VULN|3DUST|4LHND|56TLV|6BPWR|7AEPOI|8DMG|9RCR|aDUR
28	21421 62523	   	286.39	DCR|2TLV|2VULN|1DMG|1AEPOI|1MSE	1RAT|26VULN|3DUR|4LHND|56TLV|6BPWR|7AEPOI|8DMG|9RCR|aMSE
29	25111 52532	   	285.76	DCR|3VULN|1TLV|2DMG|3RAT	168RAT|28DMG|3TLV|4MLV|5LEGI|789VULN|8BPWR|aRCR
30	42113 23322	 * 	284.76	ACR|DCR|2VULN|1TLV|1SELL	1SELL|28RCR|3DMSP|4LIT|5DUR|69VULN|7FEWX|aTLV
31	42155 23322	 * 	284.76	ACR|DCR|2VULN|1TLV|1SELL	1SELL|28RCR|3DMSP|4DUR|5LIT|69VULN|7FEWX|aTLV
32	21431 65313	   	284.70	DCR|3VULN|2TLV|1CDMG	1RAT|267VULN|3DUR|48BEXP|56TLV|6BPWR|9CDMG|aRCR
33	21421 62226	   	284.37	DCR|2TLV|2VULN|1AEPOI|1AART	1RAT|26VULN|3DUR|4LHND|56TLV|6BPWR|7AEPOI|8ZMB|9RCR|aAART
34	33461 12151	   	284.28	ACR|3VULN|2TLV|1DMG	17CGEN|2AAC|3RCR|4DMG|57TLV|679VULN|7BPWR|8LWND|aDUR
35	33461 12251	   	284.28	ACR|3VULN|2TLV|1DMG	17CGEN|2AAC|3RCR|4DMG|57TLV|679VULN|7BPWR|8BEXP|aDUR
36	21542 11421	   	284.06	DCR|2TLV|2VULN|1AEFBLL|1ASPD|1CDMG	1RAT|24VULN|34TLV|4BPWR|5RCVC|6AEFBLL|7CDMG|8RCR|9FEWX|aASPD
37	21542 11432	   	284.06	DCR|2TLV|2VULN|1AEFBLL|1ASPD|1CDMG	1RAT|24VULN|34TLV|4BPWR|5RCVC|6AEFBLL|7CDMG|8RCR|9CGEN|aASPD
38	42414 21111	   	284.03	ACR|3VULN|2TLV|1AEFBLL|1SELL	1SELL|2RCR|367VULN|47TLV|57MLV|7BPWR|8LHND|9DUR|aAEFBLL
39	21421 62163	 * 	283.96	DCR|2TLV|2VULN|3DUR|1AEPOI	1RAT|26VULN|389DUR|4LHND|56TLV|6BPWR|7AEPOI|aRCR
40	13411 11313	 * 	283.50	ACR|DCR|1TLV|1VULN|1AEPOI|1AART	1BEXP|2AEPOI|3AAC|4aRCR|5TLV|6VULN|7RAT|8AART|9RMIN
41	13411 61313	   	283.50	ACR|DCR|1TLV|1VULN|1AEPOI|1AART	1BEXP|2AEPOI|3AAC|4aRCR|5TLV|6RAT|7VULN|8AART|9RMIN
42	25123 21223	 * 	283.50	DCR|DCR|1TLV|1VULN|1DMG|1AART	1RAT|2DMG|3TLV|4FEWX|5VULN|6AART|7aRCR|8LWND|9CGEN
43	25133 34252	   	283.30	DCR|DCR|1TLV|1VULN|1DMG|1AART	1RAT|2DMG|3TLV|4MBVNT|5VULN|6CANARM|79RCR|8LWND|aAART
44	25133 84252	   	283.30	DCR|DCR|1TLV|1VULN|1DMG|1AART	1RAT|2DMG|3TLV|4MBVNT|5VULN|69RCR|7SPLREG|8LWND|aAART
45	21121 53431	   	282.81	ACR|4VULN|1TLV|1DMG|2RAT	16RAT|2789VULN|3DMG|4LWND|5RCR|aTLV
46	21331 65342	 * 	282.44	DCR|4VULN|2TLV	1RAT|2679VULN|3FEWX|48BEXP|56TLV|6BPWR|aRCR
47	21421 62222	   	282.41	DCR|2TLV|2VULN|1AEPOI|2DUR	1RAT|26VULN|3aDUR|4LHND|56TLV|6BPWR|7AEPOI|8ZMB|9RCR
48	21221 61344	   	282.34	DCR|4VULN|2TLV	1RAT|268aVULN|3DUST|4LHND|56TLV|6BPWR|7CGEN|9RCR
49	42414 21331	   	282.30	ACR|4VULN|2TLV|1SELL	1SELL|2RCR|367aVULN|47TLV|57MLV|7BPWR|8ZMB|9FEWX
50	21561 63323	 * 	282.29	ACR|DCR|2VULN|1TLV	1RAT|2aVULN|3TLV|4FEWX|59RCR|6RPLT|7CGEN|8LWND
51	42414 21311	   	282.20	ACR|4VULN|2TLV|1SELL	1SELL|2RCR|367aVULN|47TLV|57MLV|7BPWR|8ZMB|9DUST
52	21461 62322	   	282.15	ACR|DCR|1TLV|1VULN|1AEPOI	1RAT|2VULN|3DUR|4CGEN|59RCR|6RPLT|7RMIN|8TLV|aAEPOI
53	25133 81438	   	281.95	DCR|DCR|1TLV|1VULN|1DMG	1RAT|2DMG|3TLV|4MBVNT|5VULN|6aRCR|7LIT|8ERES|9DUR
54	63323 11215	   	281.93	DCR|3VULN|1TLV|1DMG|1AEBURN|1CDMG	1RCVC|2LIT|3AEBURN|456VULN|7TLV|8RCR|9CDMG|aDMG
55	21521 31216	   	281.93	ACR|3VULN|1TLV|1AEPOI|2CDMG|2RAT	19RAT|279VULN|3TLV|4LWND|5RCR|69CDMG|8RMIN|9BPWR|aAEPOI
56	21321 62642	   	281.46	DCR|3VULN|2TLV|1AEPOI	1RAT|269VULN|3FEWX|48LHND|56TLV|6BPWR|7AEPOI|aRCR
57	21321 65343	   	281.46	DCR|3VULN|2TLV|1AEPOI	1RAT|267VULN|3FEWX|4LHND|56TLV|6BPWR|8MLV|9RCR|aAEPOI
58	21321 65423	   	281.46	DCR|3VULN|2TLV|1AEPOI	1RAT|267VULN|3FEWX|4LHND|56TLV|6BPWR|8AAC|9RCR|aAEPOI
59	21321 65513	   	281.46	DCR|3VULN|2TLV|1DMG	1RAT|267VULN|3FEWX|49LHND|56TLV|6BPWR|8DMG|aRCR
60	21321 65521	   	281.46	DCR|3VULN|2TLV|1DMG	1RAT|267VULN|3aFEWX|4LHND|56TLV|6BPWR|8DMG|9RCR
61	21321 65533	   	281.46	DCR|3VULN|2TLV|1DMG	1RAT|267VULN|39FEWX|4LHND|56TLV|6BPWR|8DMG|aRCR
62	21331 62342	   	281.46	DCR|3VULN|2TLV|1AEPOI	1RAT|269VULN|3FEWX|48BEXP|56TLV|6BPWR|7AEPOI|aRCR
63	21221 62642	   	281.36	DCR|3VULN|2TLV|1AEPOI	1RAT|269VULN|3DUST|48LHND|56TLV|6BPWR|7AEPOI|aRCR
64	21221 65513	   	281.36	DCR|3VULN|2TLV|1DMG	1RAT|267VULN|3DUST|49LHND|56TLV|6BPWR|8DMG|aRCR
65	21221 65521	   	281.36	DCR|3VULN|2TLV|1DMG	1RAT|267VULN|3DUST|4LHND|56TLV|6BPWR|8DMG|9RCR|aFEWX
66	21221 65523	   	281.36	DCR|3VULN|2TLV|1DMG	1RAT|267VULN|3DUST|4LHND|56TLV|6BPWR|8DMG|9RCR|aRMIN
67	21321 65522	   	281.36	DCR|3VULN|2TLV|1DMG	1RAT|267VULN|3FEWX|4LHND|56TLV|6BPWR|8DMG|9RCR|aAEFRZ
68	21331 65243	   	281.36	DCR|3VULN|2TLV|1AEPOI	1RAT|267VULN|3FEWX|4BEXP|56TLV|6BPWR|8ERES|9RCR|aAEPOI
69	21521 43421	   	281.36	ACR|3VULN|2TLV|1AEFBLL	1RAT|278VULN|3aTLV|49LWND|5RCR|6AEFBLL
70	21331 62244	   	281.36	DCR|3VULN|2TLV|1AEPOI	1RAT|26aVULN|3FEWX|4BEXP|56TLV|6BPWR|7AEPOI|8ERES|9RCR
71	21231 65243	   	281.26	DCR|3VULN|2TLV|1AEPOI	1RAT|267VULN|3DUST|4FEWX|56TLV|6BPWR|8ERES|9RCR|aAEPOI
72	21511 43411	   	281.26	ACR|3VULN|2TLV|1AEFBLL	1RAT|278VULN|3aTLV|4BEXP|5RCR|6AEFBLL|9AEFRZ
73	21511 43432	   	281.26	ACR|3VULN|2TLV|1AEFBLL	1RAT|278VULN|3aTLV|4BEXP|5RCR|6AEFBLL|9ERES
74	21521 43411	   	281.26	ACR|3VULN|2TLV|1AEFBLL	1RAT|278VULN|3aTLV|4LWND|5RCR|6AEFBLL|9AEFRZ
75	21231 62244	   	281.26	DCR|3VULN|2TLV|1AEPOI	1RAT|26aVULN|3DUST|4FEWX|56TLV|6BPWR|7AEPOI|8ERES|9RCR
76	21543 14322	   	281.22	DCR|2TLV|2VULN|1DMG|1ASPD|1AART	1RAT|24VULN|34TLV|4BPWR|5SNIFST|6MDPS|7AART|8DMG|9ASPD|aRCR
77	21541 12524	   	281.16	DCR|3VULN|2TLV|1AEPOI	1RAT|24aVULN|34TLV|4BPWR|5LEGI|6MBVNT|7AEPOI|8RCR|9MDPS
78	21153 12532	   	280.96	DCR|2TLV|2VULN|2DMG|2RAT	18RAT|27VULN|38DMG|4CGEN|5AEFRZ|68TLV|8BPWR|9LHND|aRCR
79	21154 12532	   	280.96	DCR|2TLV|2VULN|2DMG|2RAT	18RAT|27VULN|38DMG|4CGEN|5AEWIND|68TLV|8BPWR|9LHND|aRCR
80	42411 23311	   	280.65	ACR|2TLV|2VULN|1DMG|2AEPOI|1AART|1SELL	1SELL|2RCR|3aVULN|4aTLV|5BEXP|6DMG|7aAEPOI|8DMSP|9AART|aBPWR
81	42413 22311	 * 	280.62	ACR|2TLV|2VULN|2DMG|1ASPD|1SELL	1SELL|2RCR|37VULN|46TLV|56MSLREG|6BPWR|8aDMG|9ASPD
82	42416 22311	 * 	280.62	ACR|2TLV|2VULN|2DMG|1ASPD|1SELL	1SELL|2RCR|37VULN|46TLV|56MULHEA|6BPWR|8aDMG|9ASPD
83	21421 63142	   	280.10	DCR|3VULN|2TLV|2DUR	1RAT|269VULN|38DUR|47LHND|56TLV|6BPWR|aRCR
84	21431 61342	   	280.10	DCR|3VULN|2TLV|2DUR	1RAT|268VULN|3aDUR|4BEXP|56TLV|6BPWR|7CGEN|9RCR
85	21431 62313	   	280.07	DCR|2TLV|2VULN|1AEPOI|1CDMG	1RAT|26VULN|3DUR|48BEXP|56TLV|6BPWR|7AEPOI|9CDMG|aRCR
86	25112 12542	   	279.55	DCR|3VULN|1TLV|2DMG|2RAT	18RAT|28DMG|3TLV|4MLV|5RCVC|678VULN|8BPWR|9LHND|aRCR
87	25133 34257	   	279.23	DCR|DCR|1TLV|1VULN|1DMG	1RAT|2DMG|3TLV|4MBVNT|5VULN|6CANARM|79RCR|8LWND|aZMB
88	25133 34253	   	278.90	DCR|DCR|1TLV|1VULN|1DMG|2RAT	1aRAT|2DMG|3TLV|4MBVNT|5VULN|6CANARM|79RCR|8LWND
89	25133 34458	   	278.90	DCR|DCR|1TLV|1VULN|1DMG|2RAT	1aRAT|2DMG|3TLV|4MBVNT|5VULN|6CANARM|79RCR|8FEWX
90	25133 84253	   	278.90	DCR|DCR|1TLV|1VULN|1DMG|2RAT	1aRAT|2DMG|3TLV|4MBVNT|5VULN|69RCR|7SPLREG|8LWND
91	42225 32511	   	278.86	ACR|DCR|1TLV|1VULN|1AEPOI|1CDMG|1SELL	1SELL|29RCR|3BASICY|4CDMG|5AEPOI|6DMSP|7CGEN|8VULN|aTLV
92	21421 65221	   	277.99	DCR|3VULN|2TLV	1RAT|267VULN|3DUR|4LHND|56TLV|6BPWR|8ZMB|9RCR|aFEWX
93	21421 65223	   	277.89	DCR|3VULN|2TLV|1MSE	1RAT|267VULN|3DUR|4LHND|56TLV|6BPWR|8ZMB|9RCR|aMSE
94	42414 21322	   	277.85	ACR|3VULN|2TLV|1SELL	1SELL|2RCR|367VULN|47TLV|57MLV|7BPWR|8ZMB|9DUR|aRAT
95	21421 61343	   	277.66	DCR|3VULN|2TLV|2RAT	1aRAT|268VULN|3DUR|4LHND|56TLV|6BPWR|7CGEN|9RCR
96	25141 32431	   	277.12	DCR|2TLV|2VULN|1DMG|1ASPD|2RAT	18RAT|2DMG|38TLV|4BELT|5RCVC|68VULN|7RPLT|8BPWR|9RCR|aASPD
97	33423 33451	 * 	277.07	ACR|2TLV|2VULN|2DMG	1CGEN|2AAC|3RCR|4aVULN|5BEXP|6ERES|7aDMG|8DUR|9aTLV|aBPWR
98	21543 21133	   	276.92	DCR|2TLV|2VULN|1DMG|1ASPD|2RAT	16RAT|24VULN|34TLV|4BPWR|5SNIFST|7ASPD|8RCR|9LHND|aDMG
99	21543 21143	   	276.92	DCR|2TLV|2VULN|1DMG|1ASPD|2RAT	16RAT|24VULN|34TLV|4BPWR|5SNIFST|7ASPD|8RCR|9FEWX|aDMG
100	21543 21153	   	276.92	DCR|2TLV|2VULN|1DMG|1ASPD|2RAT	16RAT|24VULN|34TLV|4BPWR|5SNIFST|7ASPD|8RCR|9LWND|aDMG
101	21321 62513	   	276.83	DCR|2TLV|2VULN|1DMG|1AEPOI	1RAT|26VULN|3FEWX|49LHND|56TLV|6BPWR|7AEPOI|8DMG|aRCR
102	21321 62521	   	276.83	DCR|2TLV|2VULN|1DMG|1AEPOI	1RAT|26VULN|3aFEWX|4LHND|56TLV|6BPWR|7AEPOI|8DMG|9RCR
103	21321 62533	   	276.83	DCR|2TLV|2VULN|1DMG|1AEPOI	1RAT|26VULN|39FEWX|4LHND|56TLV|6BPWR|7AEPOI|8DMG|aRCR
104	21321 63523	   	276.83	DCR|2TLV|2VULN|1DMG|1AEPOI	1RAT|26VULN|3FEWX|47LHND|56TLV|6BPWR|8DMG|9RCR|aAEPOI
105	21321 64523	   	276.83	DCR|2TLV|2VULN|1DMG|1AEPOI	1RAT|26VULN|37FEWX|4LHND|56TLV|6BPWR|8DMG|9RCR|aAEPOI
106	21543 21113	   	276.82	DCR|2TLV|2VULN|1DMG|1ASPD|2RAT	16RAT|24VULN|34TLV|4BPWR|5SNIFST|7ASPD|8RCR|9DUST|aDMG
107	25132 12531	   	276.78	DCR|2TLV|2VULN|1DMG|2RAT|1ASPD|1SELL	18RAT|2DMG|38TLV|4MBVNT|5BELT|6SELL|78VULN|8BPWR|9RCR|aASPD
108	25132 34531	   	276.78	DCR|2TLV|2VULN|1DMG|2RAT|1ASPD|1SELL	18RAT|2DMG|38TLV|4MBVNT|5BELT|68VULN|7SELL|8BPWR|9RCR|aASPD
109	21542 12423	   	276.73	DCR|2TLV|2VULN|1AEFBLL|1DMG	1RAT|24VULN|34TLV|4BPWR|5RCVC|6AEFBLL|7BEXP|8DMG|9LEGI|aRCR
110	21221 62513	   	276.73	DCR|2TLV|2VULN|1DMG|1AEPOI	1RAT|26VULN|3DUST|49LHND|56TLV|6BPWR|7AEPOI|8DMG|aRCR
111	21221 62521	   	276.73	DCR|2TLV|2VULN|1DMG|1AEPOI	1RAT|26VULN|3DUST|4LHND|56TLV|6BPWR|7AEPOI|8DMG|9RCR|aFEWX
112	21221 62523	   	276.73	DCR|2TLV|2VULN|1DMG|1AEPOI	1RAT|26VULN|3DUST|4LHND|56TLV|6BPWR|7AEPOI|8DMG|9RCR|aRMIN
113	21221 62526	   	276.73	DCR|2TLV|2VULN|1DMG|1AEPOI	1RAT|26VULN|3DUST|4LHND|56TLV|6BPWR|7AEPOI|8DMG|9RCR|aDMSP
114	21321 62522	   	276.73	DCR|2TLV|2VULN|1DMG|1AEPOI	1RAT|26VULN|3FEWX|4LHND|56TLV|6BPWR|7AEPOI|8DMG|9RCR|aAEFRZ
115	21321 62523	   	276.73	DCR|2TLV|2VULN|1DMG|2AEPOI	1RAT|26VULN|3FEWX|4LHND|56TLV|6BPWR|7aAEPOI|8DMG|9RCR
116	21321 62524	   	276.73	DCR|2TLV|2VULN|1DMG|1AEPOI	1RAT|26VULN|3FEWX|4LHND|56TLV|6BPWR|7AEPOI|8DMG|9RCR|aERES
117	21321 62525	   	276.73	DCR|2TLV|2VULN|1DMG|1AEPOI	1RAT|26VULN|3FEWX|4LHND|56TLV|6BPWR|7AEPOI|8DMG|9RCR|aDUST
118	21221 62524	   	276.63	DCR|2TLV|2VULN|1DMG|1AEPOI	1RAT|26VULN|3DUST|4LHND|56TLV|6BPWR|7AEPOI|8DMG|9RCR|aERES
119	21221 62525	   	276.63	DCR|2TLV|2VULN|1DMG|1AEPOI	1RAT|26VULN|3aDUST|4LHND|56TLV|6BPWR|7AEPOI|8DMG|9RCR
120	21533 42422	   	276.63	DCR|2TLV|2VULN|1AEFBLL|1DMG	1RAT|27VULN|3aTLV|4RMIN|5AEFBLL|6ERES|8DMG|9RCR
121	21521 43253	   	276.20	ACR|4VULN|1TLV|1AEFBLL	1RAT|279aVULN|3TLV|4LWND|5RCR|6AEFBLL|8LIT
122	21521 43433	   	276.20	ACR|4VULN|1TLV|1AEFBLL	1RAT|2789VULN|3TLV|4LWND|5RCR|6AEFBLL|aBEXP
123	21521 43432	   	276.10	ACR|4VULN|1TLV|1AEFBLL	1RAT|2789VULN|3TLV|4LWND|5RCR|6AEFBLL|aDUST
124	21461 62321	   	275.74	ACR|DCR|1TLV|1VULN|1CDMG	1RAT|2VULN|3DUR|4CGEN|59RCR|6RPLT|7RMIN|8TLV|aCDMG
125	21421 62422	   	275.47	DCR|2TLV|2VULN|1AEPOI|2DUR	1RAT|26VULN|3aDUR|4LHND|56TLV|6BPWR|7AEPOI|8AAC|9RCR
126	21421 63522	   	275.47	DCR|2TLV|2VULN|1DMG|2DUR	1RAT|26VULN|3aDUR|47LHND|56TLV|6BPWR|8DMG|9RCR
127	21431 62362	   	275.47	DCR|2TLV|2VULN|1AEPOI|2DUR	1RAT|26VULN|39DUR|48BEXP|56TLV|6BPWR|7AEPOI|aRCR
128	21431 62242	   	275.37	DCR|2TLV|2VULN|1AEPOI|2DUR	1RAT|26VULN|3aDUR|4BEXP|56TLV|6BPWR|7AEPOI|8ERES|9RCR
129	42414 21131	   	275.36	ACR|4VULN|2TLV|1SELL	1SELL|2RCR|367aVULN|47TLV|57MLV|7BPWR|8LHND|9AME
130	21111 43451	   	275.22	ACR|3VULN|1TLV|1AEFBLL|1DMG	1RAT|278VULN|3DMG|4BEXP|5RCR|6AEFBLL|9DMSP|aTLV
131	21111 43622	   	275.22	ACR|3VULN|1TLV|1AEFBLL|1DMG	1RAT|279VULN|3DMG|4BEXP|5RCR|6AEFBLL|8RMIN|aTLV
132	21121 43421	   	275.22	ACR|3VULN|1TLV|1AEFBLL|1DMG	1RAT|278VULN|3DMG|49LWND|5RCR|6AEFBLL|aTLV
133	21161 43322	   	275.22	ACR|3VULN|1TLV|1AEFBLL|1DMG	1RAT|279VULN|3DMG|4FEWX|5RCR|6AEFBLL|8AAC|aTLV
134	21111 43411	   	275.12	ACR|3VULN|1TLV|1AEFBLL|1DMG	1RAT|278VULN|3DMG|4BEXP|5RCR|6AEFBLL|9AEFRZ|aTLV
135	21111 43432	   	275.12	ACR|3VULN|1TLV|1AEFBLL|1DMG	1RAT|278VULN|3DMG|4BEXP|5RCR|6AEFBLL|9ERES|aTLV
136	21121 43411	   	275.12	ACR|3VULN|1TLV|1AEFBLL|1DMG	1RAT|278VULN|3DMG|4LWND|5RCR|6AEFBLL|9AEFRZ|aTLV
137	21161 43411	   	275.12	ACR|3VULN|1TLV|1AEFBLL|1DMG	1RAT|278VULN|3DMG|4FEWX|5RCR|6AEFBLL|9AEFRZ|aTLV
138	21161 43432	   	275.12	ACR|3VULN|1TLV|1AEFBLL|1DMG	1RAT|278VULN|3DMG|4FEWX|5RCR|6AEFBLL|9ERES|aTLV
139	42111 26322	   	275.10	ACR|DCR|2VULN|1TLV|1SELL	1SELL|28RCR|3DMSP|4LIT|5BEXP|69VULN|7FEWX|aTLV
140	21331 65313	   	275.04	DCR|3VULN|2TLV|1CDMG	1RAT|267VULN|3FEWX|48BEXP|56TLV|6BPWR|9CDMG|aRCR
141	25133 82248	   	275.02	DCR|3VULN|1TLV|1AEFBLL|1DMG	1RAT|2DMG|3TLV|4MBVNT|58aVULN|6RCR|7DUST|9AEFBLL
142	33461 12124	   	274.62	ACR|3VULN|2TLV|1DMG	17CGEN|2AAC|3RCR|4DMG|57TLV|67aVULN|7BPWR|8LWND|9LIT
143	33461 12224	   	274.62	ACR|3VULN|2TLV|1DMG	17CGEN|2AAC|3RCR|4DMG|57TLV|67aVULN|7BPWR|8BEXP|9LIT
144	33461 12153	   	274.52	ACR|3VULN|2TLV|1DMG|1MSE	17CGEN|2AAC|3RCR|4DMG|57TLV|679VULN|7BPWR|8LWND|aMSE
145	33461 12253	   	274.52	ACR|3VULN|2TLV|1DMG|1MSE	17CGEN|2AAC|3RCR|4DMG|57TLV|679VULN|7BPWR|8BEXP|aMSE
146	21521 43212	   	274.48	ACR|2TLV|2VULN|1AEFBLL|2RAT|1AART	19RAT|27VULN|39TLV|4LWND|5RCR|6AEFBLL|89LIT|9BPWR|aAART
147	42411 22631	   	274.37	ACR|3VULN|2TLV|1DMG|1SELL	1SELL|2RCR|39aVULN|49TLV|58BEXP|6DMG|79AME|9BPWR
148	42414 21212	   	274.37	ACR|3VULN|2TLV|1AEBURN|1SELL	1SELL|2RCR|367VULN|47TLV|57MLV|7BPWR|8RPLT|9BEXP|aAEBURN
149	42414 21232	   	274.37	ACR|3VULN|2TLV|1AEBURN|1SELL	1SELL|2RCR|367VULN|47TLV|57MLV|7BPWR|8RPLT|9FEWX|aAEBURN
150	42412 24121	   	274.27	ACR|3VULN|2TLV|1AEPOI|1SELL	1SELL|2RCR|379VULN|47TLV|57LWND|6BELT|7BPWR|8MULFIG|aAEPOI
151	42411 22232	   	274.21	ACR|2TLV|2VULN|2DMG|1SELL	1SELL|2RCR|39VULN|49TLV|5BEXP|68DMG|79AME|9BPWR|aRAT
152	42413 51211	   	274.11	ACR|2TLV|2VULN|2DMG|1SELL	1SELL|2RCR|39VULN|49TLV|5MSLREG|6RAT|7DMSP|89DMG|9BPWR|aFEWX
153	42413 51213	   	274.11	ACR|2TLV|2VULN|2DMG|1SELL	1SELL|2RCR|39VULN|49TLV|5MSLREG|6RAT|7DMSP|89DMG|9BPWR|aBEXP
154	42411 33523	   	274.07	ACR|3VULN|2TLV|1AEPOI|1SELL	1SELL|2RCR|38aVULN|49TLV|5BEXP|6MDPS|7AEPOI
155	42413 22231	   	274.07	ACR|3VULN|2TLV|1DMG|1SELL	1SELL|2RCR|378VULN|46TLV|56MSLREG|6BPWR|9BEXP|aDMG
156	42416 22231	   	274.07	ACR|3VULN|2TLV|1DMG|1SELL	1SELL|2RCR|378VULN|46TLV|56MULHEA|6BPWR|9BEXP|aDMG
157	42413 51212	   	274.01	ACR|2TLV|2VULN|2DMG|1SELL	1SELL|2RCR|39VULN|49TLV|5MSLREG|6RAT|7DMSP|89DMG|9BPWR|aCANSTR
158	42413 22211	   	273.97	ACR|3VULN|2TLV|1DMG|1SELL	1SELL|2RCR|378VULN|46TLV|56MSLREG|6BPWR|9DUST|aDMG
159	42413 22226	   	273.97	ACR|3VULN|2TLV|1DMG|1SELL	1SELL|2RCR|378VULN|46TLV|56MSLREG|6BPWR|9ERES|aDMG
160	42416 22211	   	273.97	ACR|3VULN|2TLV|1DMG|1SELL	1SELL|2RCR|378VULN|46TLV|56MULHEA|6BPWR|9DUST|aDMG
161	25133 34141	   	273.44	DCR|2TLV|1VULN|1DMG|1AEPOI|2CDMG|2RAT	19RAT|2DMG|39TLV|4MBVNT|5VULN|6CANARM|7RCR|89CDMG|9BPWR|aAEPOI
