0	Index      	 *	Score 	Summary	Detail	
1	14323 11463	 * 	211.68	ACR|3DMG|2VULN|1AART|1CDMG|1ZMB|1ASPD	124DMG|246BPWR|3RCR|56VULN|7ASPD|8AART|9CDMG|aZMB
22	11366 22423	 * 	194.14	ACR|2VULN|2DMG|1AART|2ZMB|1CDMG	17DMG|2LHND|3RCR|4CDMG|5aZMB|6AART|89VULN
23	14323 11436	   	193.96	ACR|3DMG|2VULN|1AART|1DUR|1ASPD	124DMG|246BPWR|3RCR|56VULN|7ASPD|8AART|9FEWX|aDUR
24	14332 22314	   	193.94	ACR|3DMG|2AART|1VULN|1CDMG|1ASPD	125DMG|2BPWR|3RCR|4RCVC|6ASPD|7CDMG|8VULN|9aAART
25	15322 22314	   	193.94	ACR|3DMG|2AART|1VULN|1CDMG|1ASPD	145DMG|2RCVC|3RCR|4BPWR|6ASPD|7CDMG|8VULN|9aAART
26	14323 11427	   	193.86	ACR|3DMG|2VULN|1AART|1DUR|1ASPD	124DMG|246BPWR|3RCR|56VULN|7ASPD|8AART|9MBVNT|aDUR
27	14323 15354	   	193.64	ACR|3DMG|2VULN|1AART|1FLTHEA	124DMG|246BPWR|3RCR|56VULN|7MBVNT|8AART|9CGEN|aFLTHEA
28	14323 15344	   	193.54	ACR|3DMG|2VULN|1AART|1FLTHEA	124DMG|246BPWR|3RCR|56VULN|7MBVNT|8AART|9TLV|aFLTHEA
29	14332 22315	   	193.49	ACR|3DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	125DMG|2BPWR|3RCR|4RCVC|6ASPD|7CDMG|8VULN|9AART|aZMB
30	15322 22315	   	193.49	ACR|3DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	145DMG|2RCVC|3RCR|4BPWR|6ASPD|7CDMG|8VULN|9AART|aZMB
31	16483 44222	   	192.74	ACR|3VULN|3DMG|1AART	178DMG|2LIT|3MBVNT|4RCR|578VENICY|678VULN|78BPWR|9AART|aBEXP
32	16483 44223	   	192.74	ACR|3VULN|3DMG|1AART	178DMG|2LIT|3MBVNT|4RCR|578VENICY|678VULN|78BPWR|9AART|aCGEN
33	16483 44224	   	192.74	ACR|3VULN|3DMG|1AART	178DMG|2LIT|3MBVNT|4RCR|578VENICY|678VULN|78BPWR|9AART|aRCVC
34	43312 22633	   	192.64	ACR|3VULN|2DMG|1AART|2ASPD	149VULN|29ASPD|3RCR|5MLV|6FEWX|79DMG|8BELT|9BPWR|aAART
35	11313 15426	   	192.54	ACR|3VULN|2DMG|1AART|1CDMG	19DMG|26LHND|3RCR|468VULN|5LEGI|6BPWR|7CDMG|aAART
36	43316 22633	   	192.54	ACR|3VULN|2DMG|1AART|2ASPD	149VULN|29ASPD|3RCR|5TLV|6FEWX|79DMG|8BELT|9BPWR|aAART
37	14323 13144	   	192.28	ACR|4VULN|3DMG|1DUR	124DMG|246BPWR|3RCR|569aVULN|7DUST|8DUR
38	14323 15326	   	192.22	ACR|3DMG|2VULN|1AART|2DUR	124DMG|246BPWR|3RCR|56VULN|7MBVNT|8AART|9aDUR
39	14651 23213	 * 	192.16	DCR|4VULN|3DMG|1ASPD	127DMG|27BPWR|3BELT|4789VULN|57LIT|6RCR|aASPD
40	14323 12235	   	191.83	ACR|3VULN|3DMG|1CDMG|1DUR	124DMG|246BPWR|3RCR|569VULN|7SNIHEL|8DUR|aCDMG
41	14323 15311	   	191.43	ACR|3DMG|2VULN|2AART	124DMG|246BPWR|3RCR|56VULN|7MBVNT|89AART|aLWND
42	14323 15314	   	191.43	ACR|3DMG|2VULN|2AART	124DMG|246BPWR|3RCR|56VULN|7MBVNT|89AART|aFEWX
43	14323 15312	   	191.33	ACR|3DMG|2VULN|2AART	124DMG|246BPWR|3RCR|56VULN|7MBVNT|89AART|aAIRHEA
44	14323 15315	   	191.33	ACR|3DMG|2VULN|2AART	124DMG|246BPWR|3RCR|56VULN|7MBVNT|89AART|aDUST
45	14323 15317	   	191.33	ACR|3DMG|2VULN|2AART	124DMG|246BPWR|3RCR|56VULN|7MBVNT|89AART|aNUKE
46	14323 15318	   	191.33	ACR|3DMG|2VULN|2AART	124DMG|246BPWR|3RCR|56VULN|7MBVNT|89AART|aERES
47	11366 31123	 * 	190.70	ACR|3DMG|2VULN|2CDMG|2ZMB	179DMG|2LHND|3RCR|47CDMG|57ZMB|6RMIN|7BPWR|8aVULN
48	43365 13321	   	190.37	ACR|4VULN|2DMG|1CDMG|1ASPD	1589VULN|2ASPD|3RCR|4CDMG|6LHND|7aDMG
49	11366 22421	   	190.29	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	17DMG|2LHND|3RCR|4CDMG|5ZMB|6AART|89VULN|aFEWX
50	11366 22422	   	190.29	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	17DMG|2LHND|3RCR|4CDMG|5ZMB|6AART|89VULN|aBEXP
51	11366 22123	   	190.19	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	17DMG|2LHND|3RCR|4CDMG|5ZMB|6AART|8LEGI|9aVULN
52	11353 14223	   	189.99	ACR|3VULN|2DMG|1AART|1ZMB	16DMG|2LHND|3RCR|4BEXP|567VULN|6BPWR|8ZMB|9MLV|aAART
53	14331 13431	 * 	189.50	ACR|3DMG|2VULN|2FLTHEA|1CDMG	129DMG|29BPWR|3RCR|4RCVC|59FLTHEA|6CGEN|7MLV|89VULN|aCDMG
54	15321 13431	   	189.50	ACR|3DMG|2VULN|2FLTHEA|1CDMG	149DMG|2RCVC|3RCR|49BPWR|59FLTHEA|6CGEN|7MLV|89VULN|aCDMG
55	15231 13625	 * 	188.12	DCR|3VULN|3DMG|1AART	135DMG|2RCVC|35BPWR|45aVULN|6DUST|7LHND|8AART|9RCR
56	22245 63221	 * 	187.87	DCR|3DMG|2AART|1VULN|1ZMB|1DUR	1DUR|28AART|3LHND|456DMG|7VULN|9RCR|aZMB
57	43344 13112	 * 	187.35	ACR|4VULN|2AART|3ASPD	1568VULN|278ASPD|3RCR|4BELT|8BPWR|9aAART
58	11366 31421	 * 	187.30	ACR|2DMG|3CDMG|1AART|1VULN|2ZMB	17DMG|2LHND|3RCR|478CDMG|57ZMB|6RMIN|7BPWR|9AART|aVULN
59	23345 63221	   	187.27	DCR|3DMG|2AART|1VULN|1ZMB|1DUR	1DUR|2LHND|38AART|456DMG|7VULN|9RCR|aZMB
60	14323 11431	   	187.03	ACR|3DMG|2VULN|1AART|1ASPD	124DMG|246BPWR|3RCR|56VULN|7ASPD|8AART|9FEWX|aLHND
61	14323 11433	   	187.03	ACR|3DMG|2VULN|1AART|1ASPD	124DMG|246BPWR|3RCR|56VULN|7ASPD|8AART|9FEWX|aDMSP
62	14323 11434	   	187.03	ACR|3DMG|2VULN|1AART|1ASPD	124DMG|246BPWR|3RCR|56VULN|7ASPD|8AART|9FEWX|aBEXP
63	14323 11435	   	187.03	ACR|3DMG|2VULN|1AART|1ASPD	124DMG|246BPWR|3RCR|56VULN|7ASPD|8AART|9FEWX|aLWND
64	14323 11441	   	187.03	ACR|3DMG|2VULN|1AART|1ASPD	124DMG|246BPWR|3RCR|56VULN|7ASPD|8AART|9BEXP|aLHND
65	14323 11443	   	187.03	ACR|3DMG|2VULN|1AART|1ASPD	124DMG|246BPWR|3RCR|56VULN|7ASPD|8AART|9BEXP|aDMSP
66	14323 11452	   	187.03	ACR|3DMG|2VULN|1AART|1ASPD	124DMG|246BPWR|3RCR|56VULN|7ASPD|8AART|9LWND|aBEXP
67	14323 11453	   	187.03	ACR|3DMG|2VULN|1AART|1ASPD	124DMG|246BPWR|3RCR|56VULN|7ASPD|8AART|9LWND|aMLV
68	15231 53334	   	187.02	DCR|3VULN|3DMG|1AART	135DMG|2RCVC|35BPWR|458VULN|6BEXP|7LHND|9RCR|aAART
69	14323 11421	   	186.93	ACR|3DMG|2VULN|1AART|1ASPD	124DMG|246BPWR|3RCR|56VULN|7ASPD|8AART|9MBVNT|aLHND
70	14323 11423	   	186.93	ACR|3DMG|2VULN|1AART|1ASPD	124DMG|246BPWR|3RCR|56VULN|7ASPD|8AART|9MBVNT|aDMSP
71	14323 11424	   	186.93	ACR|3DMG|2VULN|1AART|1ASPD	124DMG|246BPWR|3RCR|56VULN|7ASPD|8AART|9MBVNT|aBEXP
72	14323 11426	   	186.93	ACR|3DMG|2VULN|1AART|1ASPD	124DMG|246BPWR|3RCR|56VULN|7ASPD|8AART|9MBVNT|aLWND
73	14323 11432	   	186.93	ACR|3DMG|2VULN|1AART|1ASPD	124DMG|246BPWR|3RCR|56VULN|7ASPD|8AART|9FEWX|aTLV
74	14323 11442	   	186.93	ACR|3DMG|2VULN|1AART|1ASPD	124DMG|246BPWR|3RCR|56VULN|7ASPD|8AART|9BEXP|aTLV
75	14323 11451	   	186.93	ACR|3DMG|2VULN|1AART|1ASPD	124DMG|246BPWR|3RCR|56VULN|7ASPD|8AART|9LWND|aLEGI
76	14323 15321	   	186.93	ACR|3DMG|2VULN|1AART|1DUR	124DMG|246BPWR|3RCR|56VULN|7MBVNT|8AART|9DUR|aFEWX
77	14323 15322	   	186.93	ACR|3DMG|2VULN|1AART|1DUR	124DMG|246BPWR|3RCR|56VULN|7MBVNT|8AART|9DUR|aLSRICY
78	14323 15323	   	186.93	ACR|3DMG|2VULN|1AART|1DUR	124DMG|246BPWR|3RCR|56VULN|7MBVNT|8AART|9DUR|aBELT
79	14323 15324	   	186.93	ACR|3DMG|2VULN|1AART|1DUR	124DMG|246BPWR|3RCR|56VULN|7MBVNT|8AART|9DUR|aBEXP
80	14323 15336	   	186.93	ACR|3DMG|2VULN|1AART|1DUR	124DMG|246BPWR|3RCR|56VULN|7MBVNT|8AART|9BEXP|aDUR
81	14213 63334	   	186.92	DCR|3VULN|3DMG|1AART	123DMG|23BPWR|4BEXP|578VULN|6LWND|9RCR|aAART
82	14323 11422	   	186.83	ACR|3DMG|2VULN|1AART|1ASPD	124DMG|246BPWR|3RCR|56VULN|7ASPD|8AART|9MBVNT|aTLV
83	14323 15325	   	186.83	ACR|3DMG|2VULN|1AART|1DUR	124DMG|246BPWR|3RCR|56VULN|7MBVNT|8AART|9DUR|aDUST
84	14323 15327	   	186.83	ACR|3DMG|2VULN|1AART|1DUR	124DMG|246BPWR|3RCR|56VULN|7MBVNT|8AART|9DUR|aNUKE
85	14323 15328	   	186.83	ACR|3DMG|2VULN|1AART|1DUR	124DMG|246BPWR|3RCR|56VULN|7MBVNT|8AART|9DUR|aERES
86	14323 15347	   	186.83	ACR|3DMG|2VULN|1AART|1DUR	124DMG|246BPWR|3RCR|56VULN|7MBVNT|8AART|9TLV|aDUR
87	11353 14236	 * 	186.75	ACR|3VULN|2DMG|2CDMG|1ZMB	16DMG|2LHND|3RCR|4BEXP|567VULN|6BPWR|8ZMB|9aCDMG
88	11314 14241	   	186.49	ACR|3VULN|3DMG|2ZMB	169DMG|29LHND|3RCR|47aVULN|56FEWX|69BPWR|89ZMB
89	11353 14242	   	186.49	ACR|3VULN|3DMG|2ZMB	169DMG|29LHND|3RCR|4BEXP|567VULN|69BPWR|89ZMB|aRMIN
90	11353 14243	   	186.49	ACR|3VULN|3DMG|2ZMB	169DMG|29LHND|3RCR|4BEXP|567VULN|69BPWR|89ZMB|aDMSP
91	14323 24522	   	186.43	ACR|3DMG|2VULN|1AART|1DUR	124DMG|24BPWR|3RCR|5aVULN|6LIT|7BEXP|8DUR|9AART
92	14332 41121	   	186.43	ACR|3DMG|2VULN|1AART|1ASPD	125DMG|2BPWR|3RCR|4RCVC|6aVULN|7ASPD|8LWND|9AART
93	14332 41621	   	186.43	ACR|3DMG|2VULN|1AART|1ASPD	125DMG|2BPWR|3RCR|4RCVC|6aVULN|7ASPD|8LHND|9AART
94	14332 42421	   	186.43	ACR|3DMG|2VULN|1AART|1DUR	125DMG|2BPWR|3RCR|4RCVC|6aVULN|7DUR|8RMIN|9AART
95	15322 41121	   	186.43	ACR|3DMG|2VULN|1AART|1ASPD	145DMG|2RCVC|3RCR|4BPWR|6aVULN|7ASPD|8LWND|9AART
96	15322 41621	   	186.43	ACR|3DMG|2VULN|1AART|1ASPD	145DMG|2RCVC|3RCR|4BPWR|6aVULN|7ASPD|8LHND|9AART
97	15322 42421	   	186.43	ACR|3DMG|2VULN|1AART|1DUR	145DMG|2RCVC|3RCR|4BPWR|6aVULN|7DUR|8RMIN|9AART
98	14322 31373	   	186.33	ACR|3DMG|2VULN|1AART|1DUR	124DMG|24BPWR|3RCR|5MBVNT|6DUR|7LHND|8aVULN|9AART
99	14332 42621	   	186.33	ACR|3DMG|2VULN|1AART|1DUR	125DMG|2BPWR|3RCR|4RCVC|6aVULN|7DUR|8ERES|9AART
100	15322 42621	   	186.33	ACR|3DMG|2VULN|1AART|1DUR	145DMG|2RCVC|3RCR|4BPWR|6aVULN|7DUR|8ERES|9AART
101	14322 33473	   	186.23	ACR|3DMG|2VULN|1AART|1DUR	124DMG|24BPWR|3RCR|5MBVNT|6DUR|7aVULN|8LEGI|9AART
102	14333 55313	   	186.18	ACR|3DMG|2VULN|1AART|1ASPD|1SELL	126DMG|2BPWR|3RCR|4RCVC|5SELL|7ASPD|8aVULN|9AART
103	15323 55313	   	186.18	ACR|3DMG|2VULN|1AART|1ASPD|1SELL	146DMG|2RCVC|3RCR|4BPWR|5SELL|7ASPD|8aVULN|9AART
104	11364 33221	   	186.10	ACR|2DMG|3CDMG|1AART|1VULN|2ASPD	18DMG|25LHND|3RCR|458CDMG|58BPWR|68ASPD|7RMIN|9AART|aVULN
105	11341 63126	   	186.03	ACR|3DMG|2VULN|1AART|1ASPD	169DMG|29LHND|3RCR|4BELT|5ASPD|7LWND|89VULN|9BPWR|aAART
106	11363 33221	   	186.00	ACR|2DMG|3CDMG|1AART|1VULN|2ASPD	18DMG|2LHND|3RCR|458CDMG|68ASPD|7RMIN|8BPWR|9AART|aVULN
107	11366 23323	 * 	185.95	ACR|2VULN|1AART|2CDMG|1DMG|1ZMB|1DUR	1DMG|2LHND|3RCR|48CDMG|5ZMB|6AART|7DUR|9aVULN
108	11353 12324	   	185.93	ACR|3VULN|2DMG|1AART|1DUR	16DMG|2LHND|3RCR|4BEXP|568VULN|6BPWR|7DUR|9LWND|aAART
109	14323 41363	   	185.83	ACR|3DMG|2VULN|1AART|1DUR	124DMG|24BPWR|3RCR|58VULN|6FEWX|7LHND|9DUR|aAART
110	14323 54333	   	185.83	ACR|3DMG|2VULN|1AART|1DUR	124DMG|24BPWR|3RCR|58VULN|6LHND|7BEXP|9DUR|aAART
111	14323 63253	   	185.83	ACR|3DMG|2VULN|1AART|1DUR	124DMG|24BPWR|3RCR|57VULN|6LWND|8BEXP|9DUR|aAART
112	14323 63353	   	185.83	ACR|3DMG|2VULN|1AART|1DUR	124DMG|24BPWR|3RCR|57VULN|6LWND|8FEWX|9DUR|aAART
113	11353 12354	   	185.83	ACR|3VULN|2DMG|1AART|1DUR	16DMG|2LHND|3RCR|4BEXP|568VULN|6BPWR|7DUR|9LEGI|aAART
114	11353 13344	   	185.83	ACR|3VULN|2DMG|1AART|1DUR	16DMG|2LHND|3RCR|4BEXP|568VULN|6BPWR|7LEGI|9DUR|aAART
115	14322 33313	   	185.73	ACR|3DMG|2VULN|1AART|1DUR	124DMG|24BPWR|3RCR|5MBVNT|6DUR|78VULN|9LWND|aAART
116	14322 33723	   	185.73	ACR|3DMG|2VULN|1AART|1DUR	124DMG|24BPWR|3RCR|5MBVNT|6DUR|79VULN|8LWND|aAART
117	14325 53313	   	185.73	ACR|3DMG|2VULN|1AART|1DUR	124DMG|24BPWR|3RCR|5DUST|6DUR|78VULN|9LWND|aAART
118	14322 63363	   	185.73	ACR|3DMG|2VULN|1AART|1DUR	124DMG|24BPWR|3RCR|5MBVNT|6LWND|78VULN|9DUR|aAART
119	14323 14245	   	185.73	ACR|3DMG|2VULN|1AART|1DUR	124DMG|246BPWR|3RCR|56VULN|7FEWX|8MBVNT|9DUR|aAART
120	14322 31323	   	185.73	ACR|3DMG|2VULN|1AART|1DUR	124DMG|24BPWR|3RCR|5MBVNT|6DUR|7LHND|89VULN|aAART
121	14325 51323	   	185.73	ACR|3DMG|2VULN|1AART|1DUR	124DMG|24BPWR|3RCR|5DUST|6DUR|7LHND|89VULN|aAART
122	14323 13245	   	185.63	ACR|3DMG|2VULN|1AART|1DUR	124DMG|246BPWR|3RCR|56VULN|7DUST|8MBVNT|9DUR|aAART
123	12535 22812	   	185.50	DCR|3VULN|2DMG|1AART|2DUR	1aDMG|2RPLT|36MLV|4MBVNT|56aVULN|6aBPWR|7AART|8aDUR|9RCR
124	14322 44683	   	185.34	ACR|4VULN|3DMG	124DMG|24BPWR|3RCR|5MBVNT|6RPLT|789aVULN
125	14322 63384	   	185.34	ACR|4VULN|3DMG	124DMG|24BPWR|3RCR|5MBVNT|6LWND|789aVULN
126	14323 13344	   	185.34	ACR|4VULN|3DMG	124DMG|246BPWR|3RCR|569aVULN|7DUST|8BEXP
127	14332 44131	   	185.34	ACR|4VULN|3DMG	125DMG|2BPWR|3RCR|4RCVC|679aVULN|8BASHEA
128	15322 44131	   	185.34	ACR|4VULN|3DMG	145DMG|2RCVC|3RCR|4BPWR|679aVULN|8BASHEA
129	11221 62524	   	185.33	ACR|2VULN|2DMG|2AART|1CDMG	1aDMG|2LHND|3MLV|49VULN|5RCR|6CDMG|78AART
130	14323 13255	   	185.24	ACR|4VULN|3DMG	124DMG|246BPWR|3RCR|569aVULN|7DUST|8MBVNT
131	14651 23211	   	185.22	DCR|4VULN|3DMG	127DMG|27BPWR|3BELT|4789VULN|57LIT|6RCR|aBEXP
132	14651 23212	   	185.22	DCR|4VULN|3DMG	127DMG|27BPWR|3BELT|4789VULN|57LIT|6RCR|aLHND
133	14651 23222	   	185.22	DCR|4VULN|3DMG	127DMG|27BPWR|3BELT|478aVULN|57LIT|6RCR|9MLV
134	14323 11515	   	185.21	ACR|3VULN|3DMG|1ASPD|1DUR	124DMG|246BPWR|3RCR|569VULN|7ASPD|8LIT|aDUR
135	14323 11131	   	185.21	ACR|3VULN|3DMG|1DUR|1ASPD	124DMG|246BPWR|3RCR|56aVULN|7ASPD|8RPLT|9DUR
136	11353 11641	   	185.19	ACR|3VULN|3DMG|2ASPD	169DMG|289LHND|3RCR|4BEXP|56aVULN|69BPWR|79ASPD
137	11353 12433	   	185.13	ACR|2VULN|2DMG|1AART|2ZMB|1DUR	16DMG|2LHND|3RCR|4BEXP|56VULN|6BPWR|7DUR|89ZMB|aAART
138	14213 43353	   	185.12	DCR|3VULN|3DMG|1AART	123DMG|23BPWR|4BEXP|578VULN|6FEWX|9AART|aRCR
139	11314 15423	   	185.09	ACR|3VULN|3DMG|1CDMG	169DMG|2LHND|3RCR|48aVULN|56FEWX|6BPWR|7CDMG
140	11353 15223	   	185.09	ACR|3VULN|3DMG|1CDMG	169DMG|2LHND|3RCR|48BEXP|56aVULN|6BPWR|7CDMG
141	11353 15321	   	185.09	ACR|3VULN|3DMG|1CDMG	169DMG|2LHND|3RCR|4BEXP|568VULN|6BPWR|7CDMG|aRCVC
142	11353 15322	   	185.09	ACR|3VULN|3DMG|1CDMG	169DMG|2LHND|3RCR|4BEXP|568VULN|6BPWR|7CDMG|aLWND
143	11353 15326	   	185.09	ACR|3VULN|3DMG|1CDMG	169DMG|2LHND|3RCR|4BEXP|568VULN|6BPWR|7CDMG|aFEWX
144	14311 61241	   	185.09	ACR|3VULN|3DMG|2ASPD	129DMG|29BPWR|3RCR|49FEWX|5LHND|67ASPD|89aVULN
145	11333 62324	 * 	185.00	ACR|2VULN|2DMG|1AART|2CDMG	1aDMG|2LHND|3RCR|4RMIN|59VULN|68CDMG|7AART
146	11363 45213	   	185.00	ACR|2VULN|2DMG|1AART|2CDMG	18DMG|2LHND|3RCR|45CDMG|6LWND|7AART|9aVULN
147	11333 64321	   	184.99	ACR|3VULN|3DMG|1CDMG	17aDMG|2LHND|3RCR|4RMIN|589VULN|6CDMG
148	11353 15325	   	184.99	ACR|3VULN|3DMG|1CDMG	169DMG|2LHND|3RCR|4BEXP|568VULN|6BPWR|7CDMG|aDUST
149	11315 62324	   	184.90	ACR|2VULN|2DMG|1AART|2CDMG	1aDMG|2LHND|3RCR|49VULN|5TLV|68CDMG|7AART
150	11315 64321	   	184.89	ACR|3VULN|3DMG|1CDMG	17aDMG|2LHND|3RCR|489VULN|5TLV|6CDMG
151	14322 44381	   	184.89	ACR|3VULN|3DMG|1CDMG	124DMG|24BPWR|3RCR|5MBVNT|6RPLT|79aVULN|8CDMG
152	14323 16235	   	184.89	ACR|3VULN|3DMG|1CDMG	124DMG|246BPWR|3RCR|569VULN|7LHND|8AIRHEA|aCDMG
153	14332 44121	   	184.89	ACR|3VULN|3DMG|2ASPD	125DMG|2aBPWR|3RCR|4RCVC|67aVULN|8aBASHEA|9aASPD
154	15322 44121	   	184.89	ACR|3VULN|3DMG|2ASPD	145DMG|2RCVC|3RCR|4aBPWR|67aVULN|8aBASHEA|9aASPD
155	14316 14121	   	184.89	ACR|3VULN|3DMG|2ASPD	12aDMG|2aBPWR|3RCR|4FEWX|57aVULN|6DUST|8BASHEA|9aASPD
156	15235 33613	   	184.87	DCR|3DMG|2VULN|1AART|1CDMG|1SELL	137DMG|2RCVC|37BPWR|47VULN|5SELL|67LHND|8CDMG|9RCR|aAART
157	11313 14241	   	184.84	ACR|4VULN|2DMG|2ZMB	19DMG|26LHND|3RCR|4679VULN|5LEGI|69BPWR|89ZMB|aDMSP
158	11313 14242	   	184.84	ACR|4VULN|2DMG|2ZMB	19DMG|26LHND|3RCR|4679VULN|5LEGI|69BPWR|89ZMB|aCGEN
159	11313 14243	   	184.84	ACR|4VULN|2DMG|2ZMB	19DMG|26LHND|3RCR|4679VULN|5LEGI|69BPWR|89ZMB|aBEXP
160	11313 14245	   	184.84	ACR|4VULN|2DMG|2ZMB	19DMG|26LHND|3RCR|4679VULN|5LEGI|69BPWR|89ZMB|aRMIN
161	14323 12135	   	184.79	ACR|3VULN|3DMG|1CDMG	124DMG|246BPWR|3RCR|569VULN|7SNIHEL|8DUST|aCDMG
162	11364 12221	   	184.78	ACR|2DMG|3CDMG|1AART|1VULN|2DUR	18DMG|256LHND|3RCR|458CDMG|58BPWR|78DUR|9AART|aVULN
163	11353 14216	   	184.74	ACR|4VULN|2DMG|2ZMB	16DMG|2LHND|3RCR|4BEXP|567aVULN|6BPWR|89ZMB
164	11363 12221	   	184.68	ACR|2DMG|3CDMG|1AART|1VULN|2DUR	18DMG|26LHND|3RCR|458CDMG|78DUR|8BPWR|9AART|aVULN
165	15235 13613	   	184.67	DCR|3DMG|2VULN|1AART|1CDMG|1SELL	137DMG|2RCVC|37BPWR|47VULN|5SELL|6LEGI|8CDMG|9RCR|aAART
166	14326 21236	   	184.29	ACR|3DMG|2VULN|2ZMB|2ASPD	124DMG|24aBPWR|3RCR|5RMIN|6aZMB|7aASPD|8RPLT|9aVULN
167	14323 53211	 * 	184.27	ACR|3DMG|2VULN|3ZMB	124DMG|249BPWR|3RCR|59VULN|6LHND|79LSRICY|89aZMB
168	21241 53236	 * 	184.02	DCR|4VULN|1AART|3DUR|1CDMG	124DUR|29BPWR|3AART|5679VULN|8RCR|aCDMG
169	15231 53622	 * 	184.01	DCR|3DMG|2VULN|2AART	135DMG|2RCVC|35BPWR|45VULN|6BEXP|7LHND|8aAART|9RCR
170	16483 44323	   	183.93	ACR|3VULN|2DMG|1AART|1DUR	17DMG|2LIT|3MBVNT|4RCR|57VENICY|67aVULN|7BPWR|8DUR|9AART
171	15231 13622	   	183.91	DCR|3DMG|2VULN|2AART	135DMG|2RCVC|35BPWR|45VULN|6DUST|7LHND|8aAART|9RCR
172	11353 15131	   	183.80	ACR|2VULN|2DMG|1AART|2CDMG	16DMG|2LHND|3RCR|4BEXP|56VULN|6BPWR|7aCDMG|8DUST|9AART
173	11513 13423	   	183.65	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	16DMG|2LHND|39DUR|46VULN|5LEGI|6BPWR|7RCR|8ZMB|aAART
174	15231 53621	   	183.57	DCR|3DMG|2VULN|1AART|1ZMB	135DMG|2RCVC|35BPWR|45VULN|6BEXP|7LHND|8AART|9RCR|aZMB
