0	Index      	 *	Score 	Summary	Detail	
1	25211 25162	 * 	208.87	DCR|3VULN|2AART|2DMG|1CDMG	19AART|2aDMG|357VULN|4ERES|6RCR|8CDMG
22	21542 11231	   	196.52	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	1AART|2RCVC|39CDMG|49VULN|5LIT|6DUR|7RCR|89DMG|9BPWR|aTLV
23	21542 11234	   	196.52	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	1AART|2RCVC|39CDMG|49VULN|5LIT|6DUR|7RCR|89DMG|9BPWR|aERES
24	26123 16334	   	195.96	ACR|3VULN|2DMG|1AART|1DUR|1ASPD	1AART|27CGEN|3FEWX|4RCR|57aVULN|67DMG|7BPWR|8DUR|9ASPD
25	26323 16334	   	195.96	ACR|3VULN|2DMG|1AART|1DUR|1ASPD	1AART|27CGEN|3LWND|4RCR|57aVULN|67DMG|7BPWR|8DUR|9ASPD
26	21312 36636	   	195.44	DCR|4VULN|1AART|1DMG|2ASPD	1AART|2RCVC|39ASPD|4569VULN|7RCR|89LIT|9BPWR|aDMG
27	25243 25223	   	195.41	DCR|3VULN|2AART|2DMG	14AART|2aDMG|37aVULN|5CGEN|6RCR|8ERES|9aFEWX|aBPWR
28	25242 33513	   	193.87	DCR|4VULN|2AART|1DMG|1DUR	14AART|2DMG|356aVULN|7DUR|8RCR|9DUST
29	25242 36111	   	193.70	DCR|4VULN|3AART|1DMG	148AART|2DMG|356aVULN|7RCR|9LHND
30	25242 33523	   	193.52	DCR|3VULN|2AART|1DMG|1FLTHEA|1DUR	14AART|2DMG|356VULN|7DUR|8RCR|9FEWX|aFLTHEA
31	25223 12233	   	193.43	ACR|2VULN|2DMG|1AART|2ASPD|1CDMG	1AART|29DMG|39VULN|4RCR|58TLV|6CGEN|79ASPD|9BPWR|aCDMG
32	25242 33533	   	193.42	DCR|3VULN|2AART|1DMG|1CDMG|1DUR	14AART|2DMG|356VULN|7DUR|8RCR|9TLV|aCDMG
33	25211 25124	   	193.08	DCR|3VULN|1AART|2CDMG|1DMG|1DUR	1AART|2DMG|357VULN|4ERES|6RCR|89CDMG|aDUR
34	25223 43231	   	192.79	ACR|3VULN|2DMG|1AART|1ZMB	1AART|29DMG|379VULN|4RCR|5TLV|6ZMB|89DUST|9BPWR|aFEWX
35	25223 43233	   	192.79	ACR|3VULN|2DMG|1AART|1ZMB	1AART|29DMG|379VULN|4RCR|5TLV|6ZMB|89DUST|9BPWR|aLWND
36	25223 43235	   	192.79	ACR|3VULN|2DMG|1AART|1ZMB	1AART|29DMG|379VULN|4RCR|5TLV|6ZMB|89DUST|9BPWR|aLIT
37	25223 43236	   	192.79	ACR|3VULN|2DMG|1AART|1ZMB	1AART|29DMG|379VULN|4RCR|5TLV|6ZMB|89DUST|9BPWR|aLSRICY
38	25483 13224	   	192.77	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1AART|24DMG|3MBVNT|5ZMB|6RCR|7LHND|8aVULN|9CDMG
39	25223 43232	   	192.69	ACR|3VULN|2DMG|1AART|1ZMB	1AART|29DMG|379VULN|4RCR|5aTLV|6ZMB|89DUST|9BPWR
40	25223 43234	   	192.69	ACR|3VULN|2DMG|1AART|1ZMB	1AART|29DMG|379VULN|4RCR|5TLV|6ZMB|89DUST|9BPWR|aERES
41	42321 65132	 * 	192.63	DCR|3DMG|2VULN|1AART|2CDMG	1RMIN|27aDMG|34CDMG|57CGEN|67VULN|7BPWR|8AART|9RCR
42	25221 34113	   	192.03	ACR|3VULN|3DMG|1AART|2DUR|1ZMB|1SELL	1AART|27aDMG|37aVULN|4RCR|57DUST|6SELL|7aBPWR|8ZMB|9aDUR
43	25242 36132	   	191.83	DCR|3VULN|3AART|1DMG|2DUR	148AART|2DMG|356VULN|7RCR|9aDUR
44	25243 26133	   	191.38	DCR|3VULN|2AART|1DMG|1FLTHEA	14AART|2DMG|39aVULN|5CGEN|6RCR|7FLTHEA|8LHND
45	25211 25161	   	191.28	DCR|3VULN|2AART|1DMG|1CDMG	19AART|2DMG|357VULN|4ERES|6RCR|8CDMG|aBEXP
46	25121 12223	 * 	191.20	ACR|3DMG|1AART|1VULN|2CDMG|1ASPD	1AART|26aDMG|3FEWX|4RCR|5aDUST|7ASPD|8VULN|9aCDMG|aBPWR
47	25221 12323	   	191.20	ACR|3DMG|1AART|1VULN|2CDMG|1ASPD	1AART|26aDMG|3VULN|4RCR|5aDUST|7ASPD|8BEXP|9aCDMG|aBPWR
48	25321 12223	   	191.20	ACR|3DMG|1AART|1VULN|2CDMG|1ASPD	1AART|26aDMG|3LWND|4RCR|5aDUST|7ASPD|8VULN|9aCDMG|aBPWR
49	25211 25413	   	191.18	DCR|4VULN|1AART|1DMG|1ZMB	1AART|2DMG|357aVULN|4ERES|6RCR|8ZMB|9DUST
50	25211 25163	   	191.18	DCR|3VULN|2AART|1DMG|1CDMG	19AART|2DMG|357VULN|4ERES|6RCR|8CDMG|aMBVNT
51	32663 51232	   	191.12	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	19LIT|29CDMG|36VULN|4AART|5DUR|7RCR|89DMG|9BPWR|aLWND
52	32663 51231	   	191.02	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	19LIT|29CDMG|36VULN|4AART|5DUR|7RCR|89DMG|9BPWR|aTLV
53	25211 25433	   	190.73	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2DMG|357VULN|4ERES|6RCR|8ZMB|9TLV|aCDMG
54	25211 21443	   	190.61	DCR|3VULN|2DMG|1AART|1DUR	1AART|29DMG|35aVULN|4ERES|6RCR|7NUKE|8DUR
55	25241 31116	   	190.39	DCR|3VULN|2AART|2DMG	14AART|29DMG|369VULN|58RCVC|7RMIN|9BPWR|aRCR
56	25615 33132	   	190.22	DCR|3DMG|2VULN|1AART|1CDMG	1AART|25aDMG|3CDMG|4ERES|68VULN|7CGEN|9RCR
57	25242 11116	   	189.79	DCR|3VULN|2AART|2DMG	14AART|29DMG|359VULN|6RMIN|78RCVC|9BPWR|aRCR
58	26223 33413	   	189.57	ACR|2VULN|2DMG|1AART|2DUR|1ZMB	1AART|2CGEN|3aVULN|4RCR|5TLV|6FEWX|7aDUR|8ZMB|9aDMG|aBPWR
59	26223 53413	   	189.47	ACR|2VULN|2DMG|1AART|2DUR|1ZMB	1AART|2CGEN|3aVULN|4RCR|5TLV|6DUST|7aDUR|8ZMB|9aDMG|aBPWR
60	25241 36131	   	189.34	DCR|3VULN|3AART|1DMG|1DUR	148AART|2DMG|36aVULN|5RCVC|7RCR|9DUR
61	25242 36213	   	189.33	DCR|4VULN|2AART|1DMG	14AART|2DMG|356aVULN|7RCR|8LWND|9DUST
62	25242 36223	   	188.98	DCR|3VULN|2AART|1DMG|1FLTHEA	14AART|2DMG|356VULN|7RCR|8LWND|9FEWX|aFLTHEA
63	25223 62216	   	188.93	ACR|3VULN|2DMG|1AART|1ASPD	1AART|2aDMG|38aVULN|4RCR|5TLV|6RMIN|7ASPD|9aCGEN|aBPWR
64	26323 16361	   	188.93	ACR|3DMG|2VULN|1AART|1DUR	1AART|27CGEN|3LWND|4RCR|57VULN|67aDMG|7BPWR|8DUR|9TLV
65	25123 13442	   	188.83	ACR|3DMG|2VULN|1AART|1DUR	1AART|269DMG|3FEWX|4RCR|57VULN|8DUR|aCGEN
66	25123 13451	   	188.83	ACR|3DMG|2VULN|1AART|1DUR	1AART|26aDMG|3FEWX|4RCR|57VULN|8DUR|9LWND
67	25222 13442	   	188.83	ACR|3DMG|2VULN|1AART|1DUR	1AART|269DMG|37VULN|4RCR|5LHND|8DUR|aCGEN
68	25222 13451	   	188.83	ACR|3DMG|2VULN|1AART|1DUR	1AART|26aDMG|37VULN|4RCR|5LHND|8DUR|9LWND
69	25323 13442	   	188.83	ACR|3DMG|2VULN|1AART|1DUR	1AART|269DMG|3LWND|4RCR|57VULN|8DUR|aCGEN
70	25323 13453	   	188.83	ACR|3VULN|2DMG|1AART|1DUR	1AART|26DMG|39LWND|4RCR|57aVULN|8DUR
71	25323 13461	   	188.83	ACR|3DMG|2VULN|1AART|1DUR	1AART|26aDMG|3LWND|4RCR|57VULN|8DUR|9FEWX
72	25123 13145	   	188.83	ACR|3DMG|2VULN|1AART|1DUR	1AART|269DMG|3FEWX|4RCR|57VULN|8BEXP|aDUR
73	25222 12213	   	188.83	ACR|3VULN|2DMG|1AART|1ASPD	1AART|26DMG|38aVULN|4RCR|5LHND|7ASPD|9CGEN
74	25224 12213	   	188.83	ACR|3VULN|2DMG|1AART|1ASPD	1AART|26DMG|38aVULN|4RCR|5BEXP|7ASPD|9CGEN
75	25323 12213	   	188.83	ACR|3VULN|2DMG|1AART|1ASPD	1AART|26DMG|3LWND|4RCR|58aVULN|7ASPD|9CGEN
76	25323 62611	   	188.83	ACR|3DMG|2VULN|1AART|1DUR	1AART|29aDMG|3LWND|4RCR|58VULN|6LHND|7DUR
77	25123 13421	   	188.73	ACR|3DMG|2VULN|1AART|1DUR	1AART|26aDMG|3FEWX|4RCR|57VULN|8DUR|9DUST
78	25123 13424	   	188.73	ACR|3VULN|2DMG|1AART|1DUR	1AART|26DMG|3FEWX|4RCR|57aVULN|8DUR|9DUST
79	25123 13441	   	188.73	ACR|3DMG|2VULN|1AART|1DUR	1AART|269DMG|3FEWX|4RCR|57VULN|8DUR|aERES
80	25123 13443	   	188.73	ACR|3DMG|2VULN|1AART|1DUR	1AART|269DMG|3FEWX|4RCR|57VULN|8DUR|aDUST
81	25221 13442	   	188.73	ACR|3DMG|2VULN|1AART|1DUR	1AART|269DMG|37VULN|4RCR|5DUST|8DUR|aCGEN
82	25221 13451	   	188.73	ACR|3DMG|2VULN|1AART|1DUR	1AART|26aDMG|37VULN|4RCR|5DUST|8DUR|9LWND
83	25222 13421	   	188.73	ACR|3DMG|2VULN|1AART|1DUR	1AART|26aDMG|37VULN|4RCR|5LHND|8DUR|9DUST
84	25222 13424	   	188.73	ACR|3VULN|2DMG|1AART|1DUR	1AART|26DMG|37aVULN|4RCR|5LHND|8DUR|9DUST
85	25222 13441	   	188.73	ACR|3DMG|2VULN|1AART|1DUR	1AART|269DMG|37VULN|4RCR|5LHND|8DUR|aERES
86	25222 13443	   	188.73	ACR|3DMG|2VULN|1AART|1DUR	1AART|269DMG|37VULN|4RCR|5LHND|8DUR|aDUST
87	25224 13421	   	188.73	ACR|3DMG|2VULN|1AART|1DUR	1AART|26aDMG|37VULN|4RCR|5BEXP|8DUR|9DUST
88	25323 13421	   	188.73	ACR|3DMG|2VULN|1AART|1DUR	1AART|26aDMG|3LWND|4RCR|57VULN|8DUR|9DUST
89	25323 13424	   	188.73	ACR|3VULN|2DMG|1AART|1DUR	1AART|26DMG|3LWND|4RCR|57aVULN|8DUR|9DUST
90	25323 13441	   	188.73	ACR|3DMG|2VULN|1AART|1DUR	1AART|269DMG|3LWND|4RCR|57VULN|8DUR|aERES
91	25323 13443	   	188.73	ACR|3DMG|2VULN|1AART|1DUR	1AART|269DMG|3LWND|4RCR|57VULN|8DUR|aDUST
92	25123 13245	   	188.73	ACR|3DMG|2VULN|1AART|1DUR	1AART|269DMG|3FEWX|4RCR|57VULN|8DUST|aDUR
93	25221 13145	   	188.73	ACR|3DMG|2VULN|1AART|1DUR	1AART|269DMG|37VULN|4RCR|5DUST|8FEWX|aDUR
94	25221 12213	   	188.73	ACR|3VULN|2DMG|1AART|1ASPD	1AART|26DMG|38aVULN|4RCR|5DUST|7ASPD|9CGEN
95	25223 13443	   	188.73	ACR|3VULN|2DMG|1AART|1DUR	1AART|29DMG|37aVULN|4RCR|5TLV|6CGEN|8DUR
96	25226 12213	   	188.73	ACR|3VULN|2DMG|1AART|1ASPD	1AART|26DMG|38aVULN|4RCR|5LEGI|7ASPD|9CGEN
97	25211 26142	   	188.70	DCR|2VULN|2DMG|1AART|1FLTHEA|1DUR	1AART|2aDMG|35VULN|4ERES|6RCR|7FLTHEA|8LHND|9DUR
98	25211 26242	   	188.70	DCR|2VULN|2DMG|1AART|1FLTHEA|1DUR	1AART|2aDMG|35VULN|4ERES|6RCR|7FLTHEA|8LWND|9DUR
99	25211 26322	   	188.70	DCR|2VULN|2DMG|1AART|1FLTHEA|1DUR	1AART|2aDMG|35VULN|4ERES|6RCR|7FLTHEA|8DUR|9FEWX
100	25211 26332	   	188.70	DCR|2VULN|2DMG|1AART|1FLTHEA|1DUR	1AART|2aDMG|35VULN|4ERES|6RCR|7FLTHEA|8DUR|9LHND
101	25221 13423	   	188.63	ACR|3VULN|2DMG|1AART|1DUR	1AART|26DMG|37aVULN|4RCR|59DUST|8DUR
102	25221 13441	   	188.63	ACR|3DMG|2VULN|1AART|1DUR	1AART|269DMG|37VULN|4RCR|5DUST|8DUR|aERES
103	25221 13443	   	188.63	ACR|3DMG|2VULN|1AART|1DUR	1AART|269DMG|37VULN|4RCR|5aDUST|8DUR
104	25226 13421	   	188.63	ACR|3DMG|2VULN|1AART|1DUR	1AART|26aDMG|37VULN|4RCR|5LEGI|8DUR|9DUST
105	25626 32321	   	188.53	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2DMG|3CDMG|4BEXP|568VULN|7RCR|9ZMB|aMLV
106	25626 32322	   	188.53	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2DMG|3CDMG|4BEXP|568VULN|7RCR|9ZMB|aLIT
107	25626 32323	   	188.53	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2DMG|3CDMG|4BEXP|568VULN|7RCR|9ZMB|aRPLT
108	25636 32321	   	188.53	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2DMG|3CDMG|4FEWX|568VULN|7RCR|9ZMB|aMLV
109	25636 32322	   	188.53	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2DMG|3CDMG|4FEWX|568VULN|7RCR|9ZMB|aLIT
110	25636 32323	   	188.53	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2DMG|3CDMG|4FEWX|568VULN|7RCR|9ZMB|aRPLT
111	25211 22133	   	187.22	DCR|4VULN|1AART|1DMG|1ASPD	1AART|2DMG|359aVULN|4ERES|6RCR|7LIT|8ASPD
112	25211 25313	   	187.22	DCR|4VULN|1AART|1DMG|1DUR	1AART|2DMG|357aVULN|4ERES|6RCR|8DUR|9CGEN
113	25211 25353	   	187.12	DCR|4VULN|1AART|1DMG|1DUR	1AART|2DMG|357aVULN|4ERES|6RCR|8DUR|9TLV
114	25242 32532	   	187.03	DCR|4VULN|2AART|1DMG	14AART|2DMG|3569VULN|7FEWX|8RCR|aLWND
115	26123 16313	   	187.02	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1AART|279CGEN|3FEWX|4RCR|57VULN|67DMG|7BPWR|8DUR|aCDMG
116	26123 16353	   	187.02	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1AART|27CGEN|39FEWX|4RCR|57VULN|67DMG|7BPWR|8DUR|aCDMG
117	26323 16351	   	187.02	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1AART|27CGEN|3LWND|4RCR|57VULN|67DMG|7BPWR|8DUR|9FEWX|aCDMG
118	25242 32531	   	186.93	DCR|4VULN|2AART|1DMG	14AART|2DMG|3569VULN|7FEWX|8RCR|aTLV
119	25242 32533	   	186.93	DCR|4VULN|2AART|1DMG	14AART|2DMG|3569VULN|7FEWX|8RCR|aDUST
120	26123 16321	   	186.92	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1AART|27CGEN|3FEWX|4RCR|57VULN|67DMG|7BPWR|8DUR|9DUST|aCDMG
121	26323 16321	   	186.92	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1AART|27CGEN|3LWND|4RCR|57VULN|67DMG|7BPWR|8DUR|9DUST|aCDMG
122	26226 16321	   	186.82	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1AART|27CGEN|37VULN|4RCR|5LEGI|67DMG|7BPWR|8DUR|9DUST|aCDMG
123	25211 25323	   	186.77	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|2DMG|357VULN|4ERES|6RCR|8DUR|9BEXP|aCDMG
124	25211 25343	   	186.77	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|2DMG|357VULN|4ERES|6RCR|8DUR|9FEWX|aCDMG
125	25243 26132	   	186.73	DCR|2AART|2VULN|1DMG|1FLTHEA|1ZMB	14AART|2DMG|39VULN|5CGEN|6RCR|7FLTHEA|8LHND|aZMB
126	25123 13413	   	186.72	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1AART|26DMG|3FEWX|4RCR|57VULN|8DUR|9ERES|aCDMG
127	25123 13651	   	186.72	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD	1AART|26DMG|3FEWX|4RCR|57VULN|8AIRHEL|9CDMG|aASPD
128	25222 13651	   	186.72	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD	1AART|26DMG|37VULN|4RCR|5LHND|8AIRHEL|9CDMG|aASPD
129	25224 13413	   	186.72	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1AART|26DMG|37VULN|4RCR|5BEXP|8DUR|9ERES|aCDMG
130	25323 13651	   	186.72	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD	1AART|26DMG|3LWND|4RCR|57VULN|8AIRHEL|9CDMG|aASPD
131	25123 12233	   	186.72	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD	1AART|26DMG|3FEWX|4RCR|58VULN|7ASPD|9DUST|aCDMG
132	25221 12223	   	186.72	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD	1AART|26DMG|38VULN|4RCR|5DUST|7ASPD|9BEXP|aCDMG
133	25221 12243	   	186.72	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD	1AART|26DMG|38VULN|4RCR|5DUST|7ASPD|9FEWX|aCDMG
134	25224 12233	   	186.72	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD	1AART|26DMG|38VULN|4RCR|5BEXP|7ASPD|9DUST|aCDMG
135	25223 12236	   	186.72	ACR|2VULN|2DMG|1AART|2ASPD|1DUR	1AART|29DMG|39VULN|4RCR|58TLV|6CGEN|79ASPD|9BPWR|aDUR
136	25211 25141	   	186.67	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|2DMG|357VULN|4ERES|6RCR|8CDMG|9DUR|aBASICY
137	25211 25142	   	186.67	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|2DMG|357VULN|4ERES|6RCR|8CDMG|9DUR|aDUST
138	25211 25143	   	186.67	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|2DMG|357VULN|4aERES|6RCR|8CDMG|9DUR
139	25211 25333	   	186.67	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|2DMG|357VULN|4ERES|6RCR|8DUR|9DUST|aCDMG
140	25453 13224	   	186.63	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	14AART|2DMG|3MBVNT|5ZMB|6RCR|7LHND|8aVULN|9CDMG
141	25221 13413	   	186.62	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1AART|26DMG|37VULN|4RCR|5DUST|8DUR|9ERES|aCDMG
142	25223 53622	   	186.62	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1AART|2aDMG|38VULN|4RCR|5TLV|6DUST|7DUR|9CDMG
143	25242 36112	   	186.54	DCR|3VULN|3AART|1DMG|1DUR	148AART|2DMG|356VULN|7RCR|9LHND|aDUR
144	25211 16633	   	186.48	DCR|4VULN|1AART|1DMG|1ZMB	1AART|2DMG|359aVULN|4ERES|6ZMB|7LIT|8RCR
145	25242 36133	   	186.44	DCR|3VULN|3AART|1DMG|1DUR	148AART|2DMG|356VULN|7RCR|9DUR|aERES
146	21313 25162	   	186.37	DCR|2AART|2VULN|1DMG|1CDMG|1ASPD	19AART|2RCVC|3ASPD|47VULN|5CGEN|6RCR|8CDMG|aDMG
147	21324 25162	   	186.37	DCR|2AART|2VULN|1DMG|1CDMG|1ASPD	19AART|2RCVC|3ASPD|4CGEN|57VULN|6RCR|8CDMG|aDMG
148	42311 31322	 * 	186.18	DCR|3VULN|3DMG|2CDMG	1RMIN|29aDMG|3aCDMG|4RPLT|59aVULN|679ERES|8RCR|9aBPWR
149	25211 25121	   	186.14	DCR|3VULN|1AART|2CDMG|1DMG	1AART|2DMG|357VULN|4ERES|6RCR|89CDMG|aBEXP
150	25626 32113	   	186.13	DCR|2VULN|1AART|1DMG|2CDMG|1ZMB|1DUR	1AART|2DMG|3aCDMG|4BEXP|56VULN|7RCR|8ZMB|9DUR
151	25636 32113	   	186.13	DCR|2VULN|1AART|1DMG|2CDMG|1ZMB|1DUR	1AART|2DMG|3aCDMG|4FEWX|56VULN|7RCR|8ZMB|9DUR
152	25223 13353	 * 	186.10	ACR|2VULN|2DMG|1AART|2CDMG	1AART|2aDMG|37VULN|4RCR|5aTLV|6CGEN|8BASHEA|9aCDMG|aBPWR
153	25211 25123	   	186.04	DCR|3VULN|1AART|2CDMG|1DMG	1AART|2DMG|357VULN|4ERES|6RCR|89CDMG|aMBVNT
154	25211 25125	   	186.04	DCR|3VULN|1AART|2CDMG|1DMG	1AART|2DMG|357VULN|4ERES|6RCR|89CDMG|aDUST
155	25211 25126	   	186.04	DCR|3VULN|1AART|2CDMG|1DMG	1AART|2DMG|357VULN|4ERES|6RCR|89CDMG|aCANHEL
156	25211 23341	   	185.96	DCR|2DMG|2VULN|1AART|1ZMB|1DUR	1AART|2aDMG|35VULN|4ERES|6RCR|7LEGI|8DUR|9ZMB
157	25421 42228	   	185.81	DCR|3VULN|2AART|2DMG	19AART|28DMG|3MBVNT|4RMIN|568VULN|78LIT|8BPWR|aRCR
158	15662 31322	 * 	185.67	DCR|3VULN|3DMG|3DUR	149ERES|24aVULN|3RCVC|49aBPWR|59aDUR|6MBVNT|79aDMG|8RCR
159	25123 13433	   	185.40	ACR|2VULN|2DMG|1AART|2DUR|1ASPD	1AART|26DMG|3FEWX|4RCR|57VULN|8aDUR|9ASPD
160	25222 13436	   	185.40	ACR|2VULN|2DMG|1AART|2DUR|1ASPD	1AART|26DMG|37VULN|4RCR|5LHND|8aDUR|9ASPD
161	25224 13433	   	185.40	ACR|2VULN|2DMG|1AART|2DUR|1ASPD	1AART|26DMG|37VULN|4RCR|5BEXP|8aDUR|9ASPD
162	25323 13436	   	185.40	ACR|2VULN|2DMG|1AART|2DUR|1ASPD	1AART|26DMG|3LWND|4RCR|57VULN|8aDUR|9ASPD
163	25421 32244	   	185.37	DCR|3DMG|2VULN|1AART|1ZMB	1AART|268DMG|3MBVNT|4RMIN|58VULN|78LIT|8BPWR|9ZMB|aRCR
164	25626 32112	   	185.11	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ZMB	1AART|2DMG|3CDMG|4BEXP|56VULN|7RCR|8ZMB|9aDUR
165	25636 32112	   	185.11	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ZMB	1AART|2DMG|3CDMG|4FEWX|56VULN|7RCR|8ZMB|9aDUR
166	32663 41232	   	184.98	DCR|2AART|2DMG|2CDMG|1VULN|1DUR	19LIT|29CDMG|3VULN|46AART|5DUR|7RCR|89DMG|9BPWR|aLWND
167	32663 41231	   	184.88	DCR|2AART|2DMG|1VULN|2CDMG|1DUR	19LIT|29CDMG|3VULN|46AART|5DUR|7RCR|89DMG|9BPWR|aTLV
168	26323 16132	 * 	184.82	ACR|2AART|2DMG|2VULN|1DUR	1aAART|27CGEN|3LWND|4RCR|57VULN|67DMG|7BPWR|8LIT|9DUR
169	26323 16141	   	184.82	ACR|2AART|2DMG|2VULN|1DUR	19AART|27CGEN|3LWND|4RCR|57VULN|67DMG|7BPWR|8LIT|aDUR
170	25121 12222	   	184.79	ACR|3DMG|1AART|1VULN|1CDMG|1ASPD	1AART|26aDMG|3FEWX|4RCR|5DUST|7ASPD|8VULN|9CDMG
171	25221 12322	   	184.79	ACR|3DMG|1AART|1VULN|1CDMG|1ASPD	1AART|26aDMG|3VULN|4RCR|5DUST|7ASPD|8BEXP|9CDMG
172	25321 12222	   	184.79	ACR|3DMG|1AART|1VULN|1CDMG|1ASPD	1AART|26aDMG|3LWND|4RCR|5DUST|7ASPD|8VULN|9CDMG
