0	Index      	 *	Score 	Summary	Detail	
1	12216 14136	 * 	206.46	DCR|3DMG|2VULN|3ZMB|1AART	15aDMG|27aZMB|3AART|4LHND|6BEXP|8RCR|9aVULN|aBPWR
49	13151 32245	   	181.29	ACR|3DMG|2VULN|1AART	19aDMG|2DLOT|3RCR|4aVULN|59aDUST|6AART|789FEWX|9aBPWR
50	13152 31241	   	181.29	ACR|3DMG|2VULN|1AART	179DMG|2DLOT|3RCR|49VULN|59FEWX|6AART|8LEGI|9BPWR|aMLV
51	13152 31243	   	181.29	ACR|3DMG|2VULN|1AART	179DMG|2DLOT|3RCR|49VULN|59aFEWX|6AART|8LEGI|9BPWR
52	13152 31244	   	181.29	ACR|3DMG|2VULN|1AART	179DMG|2DLOT|3RCR|49VULN|59FEWX|6AART|8LEGI|9BPWR|aCGEN
53	13152 32511	   	181.29	ACR|3DMG|2VULN|1AART	189DMG|2DLOT|3RCR|49VULN|579FEWX|6AART|9BPWR|aDUST
54	13152 32516	   	181.29	ACR|3DMG|2VULN|1AART	189DMG|2DLOT|3RCR|49VULN|579FEWX|6AART|9BPWR|aMBVNT
55	13152 31242	   	181.19	ACR|3DMG|2VULN|1AART	179DMG|2DLOT|3RCR|49VULN|59FEWX|6AART|8LEGI|9BPWR|aDUST
56	13152 31246	   	181.19	ACR|3DMG|2VULN|1AART	179DMG|2DLOT|3RCR|49VULN|59FEWX|6AART|8LEGI|9BPWR|aERES
57	13152 31551	   	181.19	ACR|3DMG|2VULN|1AART	178DMG|2DLOT|3RCR|4aVULN|5FEWX|6AART|9RPLT
58	52413 25123	 * 	181.18	DCR|4VULN|1AART|1DMG|1ZMB	1MLV|2ZMB|3569VULN|4BEXP|7DMG|8RCR|aAART
59	13151 31241	   	181.09	ACR|3DMG|2VULN|1AART	179DMG|2DLOT|3RCR|49VULN|59DUST|6AART|8LEGI|9BPWR|aMLV
60	13151 31243	   	181.09	ACR|3DMG|2VULN|1AART	179DMG|2DLOT|3RCR|49VULN|59DUST|6AART|8LEGI|9BPWR|aBEXP
61	13151 31244	   	181.09	ACR|3DMG|2VULN|1AART	179DMG|2DLOT|3RCR|49VULN|59DUST|6AART|8LEGI|9BPWR|aCGEN
62	13151 31551	   	181.09	ACR|3DMG|2VULN|1AART	178DMG|2DLOT|3RCR|4aVULN|5DUST|6AART|9RPLT
63	52423 25123	   	181.08	DCR|4VULN|1AART|1DMG|1ZMB	1MLV|2ZMB|3569VULN|4DUST|7DMG|8RCR|aAART
64	13151 31242	   	180.99	ACR|3DMG|2VULN|1AART	179DMG|2DLOT|3RCR|49VULN|59aDUST|6AART|8LEGI|9BPWR
65	13151 31246	   	180.99	ACR|3DMG|2VULN|1AART	179DMG|2DLOT|3RCR|49VULN|59DUST|6AART|8LEGI|9BPWR|aERES
66	13151 23226	 * 	180.79	ACR|4VULN|2DMG|1ZMB	1aDMG|2DLOT|3RCR|478aVULN|5DUST|6ZMB|9aLHND|aBPWR
67	13152 23433	   	180.69	ACR|4VULN|2DMG|1ZMB	19DMG|2DLOT|3RCR|478aVULN|5FEWX|6ZMB
68	11535 53112	   	180.61	DCR|3DMG|2VULN|1AART|1DUR	167DMG|2RPLT|3NUKE|46VULN|5RCVC|6BPWR|8RCR|9DUR|aAART
69	11622 43112	   	180.61	DCR|3DMG|2VULN|1AART|1DUR	147DMG|25RPLT|34VULN|4BPWR|6ERES|8RCR|9DUR|aAART
70	13152 32633	   	180.59	ACR|2VULN|2DMG|1AART|2ZMB	1aDMG|2DLOT|3RCR|4aVULN|57FEWX|6AART|8LIT|9aZMB|aBPWR
71	13151 23233	   	180.59	ACR|4VULN|2DMG|1ZMB	19DMG|2DLOT|3RCR|478aVULN|5DUST|6ZMB
72	13151 23244	   	180.59	ACR|4VULN|2DMG|1ZMB	1aDMG|2DLOT|3RCR|4789VULN|5DUST|6ZMB
73	12241 24215	   	180.36	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1aDMG|2ZMB|3AART|4aFEWX|5DUR|6BEXP|7aVULN|8RCR|9BELT|aBPWR
74	11622 43131	   	180.22	DCR|4VULN|3DMG	147DMG|25RPLT|349aVULN|49BPWR|69ERES|8RCR
75	12211 24233	   	180.16	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1aDMG|2ZMB|3AART|4LHND|5DUR|6BEXP|79VULN|8RCR
76	12211 54233	   	180.16	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1aDMG|2ZMB|3AART|4LHND|5DUR|6LWND|79VULN|8RCR
77	13154 23213	   	180.09	ACR|3VULN|2DMG|1AART	1aDMG|2DLOT|3RCR|47aVULN|5ERES|6FEWX|8AART|9aMLV|aBPWR
78	13154 43213	   	180.09	ACR|3VULN|2DMG|1AART	1aDMG|2DLOT|3RCR|47aVULN|5ERES|6BEXP|8AART|9aMLV|aBPWR
79	13156 23213	   	180.09	ACR|3VULN|2DMG|1AART	1aDMG|2DLOT|3RCR|47aVULN|5TLV|6FEWX|8AART|9aMLV|aBPWR
80	13156 43213	   	180.09	ACR|3VULN|2DMG|1AART	1aDMG|2DLOT|3RCR|47aVULN|5TLV|6BEXP|8AART|9aMLV|aBPWR
81	13352 14253	   	180.02	DCR|3VULN|2DMG|1CDMG|1ZMB	17DMG|2DLOT|3BEXP|47aVULN|57FEWX|6RCR|7BPWR|8CDMG|9ZMB
82	11343 31226	   	179.69	ACR|3VULN|2DMG|1AART	19DMG|2RPLT|3BEXP|4RCR|5AART|69CGEN|7RMIN|89aVULN|9BPWR
83	14343 31226	   	179.69	ACR|3VULN|2DMG|1AART	19DMG|2FEWX|3RPLT|4RCR|5AART|69CGEN|7RMIN|89aVULN|9BPWR
84	11243 31226	   	179.59	ACR|3VULN|2DMG|1AART	19DMG|2RPLT|3DUST|4RCR|5AART|69CGEN|7RMIN|89aVULN|9BPWR
85	11343 41226	   	179.49	ACR|3VULN|2DMG|1AART	19DMG|2RPLT|3BEXP|4RCR|5AART|69ERES|7RMIN|89aVULN|9BPWR
86	11243 41226	   	179.39	ACR|3VULN|2DMG|1AART	19DMG|2RPLT|3DUST|4RCR|5AART|69ERES|7RMIN|89aVULN|9BPWR
87	13152 32243	   	179.28	ACR|2VULN|2DMG|1AART|1CDMG	19DMG|2DLOT|3RCR|49VULN|579FEWX|6AART|8LEGI|9BPWR|aCDMG
88	12133 31233	   	179.03	ACR|2DMG|1AART|1VULN|1CDMG|2DUR|1ZMB	1aDMG|2ZMB|3DLOT|4aLIT|5RCR|6CDMG|7VULN|8AART|9aDUR|aBPWR
89	12116 14136	   	178.95	DCR|3DMG|2VULN|3ZMB	15aDMG|27aZMB|3DLOT|4LHND|6BEXP|8RCR|9aVULN|aBPWR
90	11621 52131	   	178.31	DCR|3VULN|2DMG|1AART|1DUR	14DMG|2RPLT|349VULN|4BPWR|5LIT|6AART|7MLV|8DUR|aRCR
91	12133 31266	   	178.05	ACR|2VULN|2AART|1DMG|1CDMG|1ZMB	1DMG|2ZMB|3DLOT|4LIT|5RCR|6CDMG|79VULN|8aAART
92	13152 33512	   	177.97	ACR|2VULN|2DMG|1AART|2DUR	1aDMG|2DLOT|3RCR|4aVULN|5FEWX|6AART|7BEXP|8RMIN|9aDUR|aBPWR
93	13152 35512	   	177.97	ACR|2VULN|2DMG|1AART|2DUR	1aDMG|2DLOT|3RCR|4aVULN|5FEWX|6AART|7LHND|8RMIN|9aDUR|aBPWR
94	16212 35325	   	177.96	DCR|3VULN|3DMG|1ASPD	15aDMG|2LHND|3FEWX|457VULN|5BPWR|6RCR|8LWND|9ASPD
95	13151 32512	   	177.87	ACR|2VULN|2DMG|1AART|2DUR	1aDMG|2DLOT|3RCR|4aVULN|5DUST|6AART|7FEWX|8RMIN|9aDUR|aBPWR
96	13151 33112	   	177.87	ACR|2VULN|2DMG|1AART|2DUR	1aDMG|2DLOT|3RCR|4aVULN|5DUST|6AART|7RMIN|8FEWX|9aDUR|aBPWR
97	13151 33512	   	177.87	ACR|2VULN|2DMG|1AART|2DUR	1aDMG|2DLOT|3RCR|4aVULN|5DUST|6AART|7RMIN|8LHND|9aDUR|aBPWR
98	13151 35512	   	177.87	ACR|2VULN|2DMG|1AART|2DUR	1aDMG|2DLOT|3RCR|4aVULN|5DUST|6AART|7LHND|8RMIN|9aDUR|aBPWR
99	63162 25212	   	177.86	DCR|3VULN|3DMG|1DUR	157VULN|2DUST|3FEWX|458DMG|5BPWR|6RCR|9DUR|aBEXP
100	63162 25222	   	177.86	DCR|3VULN|3DMG|1DUR	157VULN|2DUST|3FEWX|458DMG|5BPWR|6RCR|9RPLT|aDUR
101	63162 23143	   	177.86	DCR|3VULN|3DMG|1DUR	159VULN|2DUST|3FEWX|45aDMG|5BPWR|6RCR|7DUR|8LHND
102	63162 23263	   	177.86	DCR|3VULN|3DMG|1DUR	158VULN|2DUST|3FEWX|45aDMG|5BPWR|6RCR|7DUR|9BEXP
103	66262 33213	   	177.86	DCR|3VULN|3DMG|1DUR	158VULN|2LWND|3DUR|45aDMG|5BPWR|6RCR|7FEWX|9DUST
104	16212 35222	   	177.86	DCR|3VULN|3DMG|1DUR	158DMG|2LHND|3FEWX|457VULN|5BPWR|6RCR|9TLV|aDUR
105	16212 35232	   	177.86	DCR|3VULN|3DMG|1DUR	158DMG|2LHND|3FEWX|457VULN|5BPWR|6RCR|9ERES|aDUR
106	63162 21236	   	177.76	DCR|3VULN|3DMG|1DUR	159VULN|27DUST|3FEWX|458DMG|5BPWR|6RCR|aDUR
107	63262 23241	   	177.76	DCR|3VULN|3DMG|1DUR	159VULN|2DUST|3DUR|458DMG|5BPWR|6RCR|7RCVC|aVENICY
108	63262 23242	   	177.76	DCR|3VULN|3DMG|1DUR	159VULN|2DUST|3DUR|458DMG|5BPWR|6RCR|7RCVC|aERES
109	63262 25211	   	177.76	DCR|3VULN|3DMG|1DUR	157VULN|2DUST|3DUR|458DMG|5BPWR|6RCR|9RCVC|aVENICY
110	63262 25212	   	177.76	DCR|3VULN|3DMG|1DUR	157VULN|2DUST|3DUR|458DMG|5BPWR|6RCR|9RCVC|aERES
111	66262 32131	   	177.76	DCR|3VULN|3DMG|1DUR	159VULN|2LWND|3DUR|458DMG|5BPWR|6RCR|7ERES|aCANHEL
112	66262 32133	   	177.76	DCR|3VULN|3DMG|1DUR	159VULN|2LWND|3DUR|458DMG|5BPWR|6RCR|7ERES|aDUST
113	12513 46233	   	177.76	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1aDMG|2ZMB|3DUR|4BEXP|59VULN|6LWND|7AART|8RCR
114	12513 56233	   	177.76	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1aDMG|2ZMB|3DUR|4BEXP|59VULN|6LHND|7AART|8RCR
115	11145 22241	   	177.69	ACR|3DMG|2VULN|1AART	13aDMG|2RPLT|3BPWR|4AART|5RCR|68VULN|7LHND|9DMSP
116	63262 21241	   	177.66	DCR|3VULN|3DMG|1DUR	159VULN|27DUST|3DUR|458DMG|5BPWR|6RCR|aVENICY
117	63262 21242	   	177.66	DCR|3VULN|3DMG|1DUR	159VULN|27DUST|3DUR|458DMG|5BPWR|6RCR|aERES
118	63262 21261	   	177.66	DCR|3VULN|3DMG|1DUR	15aVULN|279DUST|3DUR|458DMG|5BPWR|6RCR
119	63262 25221	   	177.66	DCR|3VULN|3DMG|1DUR	157VULN|2DUST|3DUR|458DMG|5BPWR|6RCR|9TLV|aCANHEL
120	63262 25231	   	177.66	DCR|3VULN|3DMG|1DUR	157VULN|2DUST|3DUR|458DMG|5BPWR|6RCR|9ERES|aCANHEL
121	12523 46233	   	177.66	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1aDMG|2ZMB|3DUR|4DUST|59VULN|6LWND|7AART|8RCR
122	12523 56233	   	177.66	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1aDMG|2ZMB|3DUR|4DUST|59VULN|6LHND|7AART|8RCR
123	63262 23243	   	177.61	DCR|3VULN|3DMG|1DUR|1SELL	159VULN|2DUST|3DUR|458DMG|5BPWR|6RCR|7RCVC|aSELL
124	63262 25213	   	177.61	DCR|3VULN|3DMG|1DUR|1SELL	157VULN|2DUST|3DUR|458DMG|5BPWR|6RCR|9RCVC|aSELL
125	16212 23143	   	177.52	DCR|3VULN|2DMG|1CDMG|1ZMB	15DMG|2LHND|3FEWX|45aVULN|5BPWR|6LSRHEA|7RCR|8ZMB|9CDMG
126	63262 21243	   	177.51	DCR|3VULN|3DMG|1DUR|1SELL	159VULN|27DUST|3DUR|458DMG|5BPWR|6RCR|aSELL
127	12213 46136	   	177.27	DCR|2VULN|2DMG|1AART|2ZMB	1aDMG|2aZMB|3AART|4LHND|56BEXP|7DMSP|8RCR|9aVULN|aBPWR
128	13152 31515	   	177.25	ACR|3DMG|1AART|1VULN|1CDMG	178DMG|2DLOT|3RCR|4VULN|5FEWX|6AART|9LHND|aCDMG
129	13151 31515	   	177.15	ACR|3DMG|1AART|1VULN|1CDMG	178DMG|2DLOT|3RCR|4VULN|5DUST|6AART|9LHND|aCDMG
130	13152 31535	   	177.15	ACR|3DMG|1AART|1VULN|1CDMG	178DMG|2DLOT|3RCR|4VULN|5FEWX|6AART|9DUST|aCDMG
131	11622 43135	   	177.12	DCR|3VULN|3DMG|1ZMB	147DMG|25RPLT|349VULN|49BPWR|69ERES|8RCR|aZMB
132	13151 32134	   	177.08	ACR|2VULN|2DMG|2AART	19DMG|2DLOT|3RCR|49VULN|5DUST|6aAART|7FEWX|89LWND|9BPWR
133	13151 35234	   	177.08	ACR|2VULN|2DMG|2AART	19DMG|2DLOT|3RCR|49VULN|5DUST|6aAART|7LHND|89FEWX|9BPWR
134	12242 64133	   	177.07	DCR|2VULN|2DMG|1AART|2ZMB	19DMG|27ZMB|3AART|45FEWX|6aVULN|8RCR
135	13152 32242	   	176.64	ACR|2VULN|2DMG|1AART|1ZMB	19DMG|2DLOT|3RCR|49VULN|579FEWX|6AART|8LEGI|9BPWR|aZMB
136	13351 14352	   	176.59	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	17DMG|2DLOT|3BEXP|47VULN|57DUST|6RCR|7BPWR|8ASPD|9DUR|aAART
137	11621 15621	   	176.51	DCR|3VULN|2DMG|1AART|1DUR	14DMG|2RPLT|347VULN|4BPWR|5LIT|6DUR|8CGEN|9AART|aRCR
