0	Index      	 *	Score 	Summary	Detail	
1	64253 31133	 * 	219.47	DCR|3VULN|3DMG|1AART|1CDMG|1ZMB	125VULN|345DMG|5BPWR|6RCR|7BEXP|8CDMG|9AART|aZMB
61	64253 31213	   	194.12	DCR|3VULN|3DMG|1AART	125VULN|345DMG|5BPWR|6RCR|7BEXP|8CANHEL|9DMSP|aAART
62	24331 22514	   	193.69	ACR|3VULN|2AART|1DMG|1ZMB	1BEXP|278VULN|3RCR|4ZMB|59AART|6DMG|aASPD
63	34331 22514	   	193.59	ACR|3VULN|2AART|1DMG|1ZMB	1DUST|278VULN|3RCR|4ZMB|59AART|6DMG|aASPD
64	24331 22145	   	192.79	ACR|3VULN|2DMG|1AART|1ZMB	1BEXP|27aVULN|3RCR|4ZMB|5AART|69DMG|8ERES
65	34331 21623	   	192.79	ACR|3VULN|2DMG|1AART|1ZMB	1DUST|28aVULN|3RCR|4ZMB|5AART|69DMG|7BEXP
66	34331 22145	   	192.69	ACR|3VULN|2DMG|1AART|1ZMB	1DUST|27aVULN|3RCR|4ZMB|5AART|69DMG|8ERES
67	24345 12312	   	192.39	ACR|3VULN|2DMG|1AART|1ZMB	1BEXP|256VULN|3RCR|47DMG|8RCVC|9AART|aZMB
68	24341 23221	   	192.32	ACR|2VULN|2DMG|1AART|1CDMG|2DUR	19BEXP|29VULN|3RCR|46DMG|5AART|7LIT|89DUR|9BPWR|aCDMG
69	34345 12313	   	192.29	ACR|3VULN|2DMG|1AART|1ZMB	1DUST|256VULN|3RCR|47DMG|8RCVC|9AART|aZMB
70	34341 23221	   	192.12	ACR|2VULN|2DMG|1AART|1CDMG|2DUR	19DUST|29VULN|3RCR|46DMG|5AART|7LIT|89DUR|9BPWR|aCDMG
71	64253 32312	   	192.06	DCR|4VULN|3DMG	1257VULN|345DMG|5BPWR|6RCR|8DUR|9DMSP|aCGEN
72	64253 32322	   	192.06	DCR|4VULN|3DMG	1257VULN|345DMG|5BPWR|6RCR|8DUR|9RPLT|aLWND
73	64253 33312	   	192.06	DCR|4VULN|3DMG	125aVULN|345DMG|5BPWR|6RCR|7MLV|8DUR|9FEWX
74	64253 32321	   	191.96	DCR|4VULN|3DMG	1257VULN|345DMG|5BPWR|6RCR|8DUR|9RPLT|aERES
75	24311 22533	   	191.95	ACR|4VULN|1AART|1DMG|1CDMG	1BEXP|2789VULN|3RCR|4ERES|5AART|6DMG|aCDMG
76	34311 22533	   	191.85	ACR|4VULN|1AART|1DMG|1CDMG	1DUST|2789VULN|3RCR|4ERES|5AART|6DMG|aCDMG
77	64253 12211	   	191.47	DCR|4VULN|3DMG|1CDMG	1256VULN|345DMG|5BPWR|7CDMG|8ERES|9RCR|aBEXP
78	64253 12213	   	191.47	DCR|4VULN|3DMG|1CDMG	1256VULN|345DMG|5BPWR|7CDMG|8ERES|9RCR|aFEWX
79	64253 12212	   	191.37	DCR|4VULN|3DMG|1CDMG	1256VULN|345DMG|5BPWR|7CDMG|8ERES|9RCR|aNUKE
80	64423 11141	   	191.02	DCR|3VULN|3DMG|1AART	124VULN|3AART|4BPWR|56aDMG|7LIT|8MBVNT|9RCR
81	24313 12453	   	190.59	ACR|3VULN|2DMG|1AART|1ZMB	18BEXP|28aVULN|3RCR|4ERES|5RMIN|6ZMB|78DMG|8BPWR|9AART
82	64253 23131	   	190.52	DCR|3VULN|3DMG|2ASPD|1CDMG	125VULN|345DMG|5BPWR|67ASPD|8RCVC|9CDMG|aRCR
83	62351 32633	   	189.92	DCR|3VULN|2DMG|1AART|1CDMG	179VULN|2RMIN|3DMSP|49DMG|59BEXP|6AART|8RCR|9BPWR|aCDMG
84	54223 12313	   	189.82	DCR|3VULN|3DMG|1AART	1TLV|234DMG|5CGEN|67aVULN|8RCR|9AART
85	54253 12313	   	189.72	DCR|3VULN|3DMG|1AART	1TLV|235DMG|45ERES|5BPWR|67aVULN|8RCR|9AART
