0	Index      	 *	Score 	Summary	Detail	
1	43324 62213	 * 	198.36	DCR|2VULN|2DMG|1AART|3CDMG|1DUR	19DMG|2AART|3DUR|49VULN|5RMIN|69aCDMG|7RCR|8RPLT|9BPWR
149	12652 11151	   	172.43	DCR|2DMG|1AART|1VULN|1CDMG|1FLTHEA	1FLTHEA|2LWND|3VULN|4LHND|5DUST|6RCR|7CDMG|89DMG|aAART
150	42532 35113	   	172.42	DCR|2VULN|2DMG|1AART|1ZMB	15DMG|2ZMB|3BEXP|4ERES|6DUST|7RCR|8AART|9aVULN
151	16623 21631	   	172.33	DCR|2VULN|1AART|1DMG|1CDMG|1FLTHEA	1FLTHEA|23VULN|4CDMG|5LSRICY|6RCR|7DUST|8BASHEA|9DMG|aAART
152	45312 24111	   	172.31	DCR|2DMG|1AART|1VULN|1CDMG|2DUR	15DMG|2RPLT|3RMIN|4aDUR|6RCR|7CDMG|8AART|9VULN
153	45212 24111	   	172.21	DCR|2DMG|1AART|1VULN|1CDMG|2DUR	15DMG|2RPLT|3ERES|4aDUR|6RCR|7CDMG|8AART|9VULN
154	42622 13222	   	171.96	DCR|3DMG|2VULN|2ZMB|1DUR	157DMG|2aZMB|3DUR|4aCGEN|6aVULN|8RCVC|9RCR|aBPWR
155	42632 13222	   	171.76	DCR|3DMG|2VULN|2ZMB|1DUR	157DMG|2aZMB|3DUR|4aERES|6aVULN|8RCVC|9RCR|aBPWR
156	22433 24635	   	171.67	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR|1SELL	1SELL|29DMG|3DUR|4VULN|5MBVNT|6CDMG|7ZMB|8RCR|aAART
157	26333 24635	   	171.67	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR|1SELL	1SELL|2DUR|39DMG|4VULN|5MBVNT|6CDMG|7ZMB|8RCR|aAART
158	13152 41533	   	171.48	DCR|1AART|1VULN|1DMG|1CDMG|1FLTHEA|1ZMB|1ASPD	1FLTHEA|2ERES|3ZMB|4AART|5VULN|6DMG|7LEGI|8RCR|9CDMG|aASPD
159	43226 61321	   	171.46	DCR|2VULN|2DMG|1AART|1CDMG	15DMG|2AART|3DUST|47VULN|6LIT|8CDMG|9MBVNT|aRCR
160	43532 31321	   	171.46	DCR|2VULN|2DMG|1AART|1CDMG	15DMG|2AART|3LIT|4DUST|67VULN|8CDMG|9MBVNT|aRCR
161	45222 21512	   	171.45	DCR|2VULN|2DMG|1AART|1ASPD	15DMG|2RPLT|3ERES|49VULN|6RCR|7AART|8ASPD|aCGEN
162	45222 21513	   	171.45	DCR|2VULN|2DMG|1AART|1ASPD	15DMG|2RPLT|3ERES|49VULN|6RCR|7AART|8ASPD|aLIT
