0	Index      	 *	Score 	Summary	Detail	
1	56363 33331	 * 	213.29	DCR|2VULN|2ASPD|1AART|2CDMG|2DUR	18VULN|28ASPD|3AME|46CDMG|58DUR|7BELT|8BPWR|9RCR|aAART
46	55113 33432	   	201.63	DCR|4VULN|2DMG|1DUR	169aVULN|2DUR|3aDMG|4BEXP|5FEWX|7RCR|8aMLV|aBPWR
47	55111 33432	   	201.53	DCR|4VULN|2DMG|1DUR	169aVULN|2DUR|3aDMG|4BEXP|5DUST|7RCR|8aMLV|aBPWR
48	65132 24312	 * 	201.47	DCR|3DMG|2VULN|1ASPD|1DUR	1SNIFST|2DUR|3ASPD|45aDMG|67VULN|8RCR|9SPLJET
49	56512 22121	 * 	201.27	DCR|2VULN|1MDPS|2CDMG|1ASPD|1DMG|1DUR	13VULN|2ASPD|45CDMG|6DUR|7DMG|8RCR|9FEWX|aMDPS
50	55353 44122	 * 	200.74	DCR|3VULN|1AART|2CDMG|2DUR	169VULN|29DUR|3AART|4MBVNT|59CDMG|7RCR|8RMIN|9BPWR|aLHND
51	55353 44124	   	200.74	DCR|3VULN|1AART|2CDMG|2DUR	169VULN|29DUR|3AART|4MBVNT|59CDMG|7RCR|8RMIN|9BPWR|aBEXP
52	21316 42122	   	200.73	DCR|2VULN|2ASPD|1DMG|1CDMG|1ZMB	1ZMB|2CGEN|3DMG|4CDMG|56VULN|7aASPD|8RCR|9FEWX
53	21316 42152	   	200.73	DCR|2VULN|2ASPD|1DMG|1CDMG|1ZMB	1ZMB|2CGEN|3DMG|4CDMG|56VULN|7aASPD|8RCR|9BEXP
54	55353 44121	   	200.64	DCR|3VULN|1AART|2CDMG|2DUR	169VULN|29DUR|3AART|4MBVNT|59CDMG|7RCR|8RMIN|9BPWR|aERES
55	55353 44123	   	200.64	DCR|3VULN|1AART|2CDMG|2DUR	169VULN|29DUR|3AART|4MBVNT|59CDMG|7RCR|8RMIN|9BPWR|aDUST
56	25316 32122	   	200.63	DCR|2VULN|2ASPD|1DMG|1CDMG|1ZMB	1ZMB|2ERES|3DMG|4CDMG|56VULN|7aASPD|8RCR|9FEWX
57	25316 32152	   	200.63	DCR|2VULN|2ASPD|1DMG|1CDMG|1ZMB	1ZMB|2ERES|3DMG|4CDMG|56VULN|7aASPD|8RCR|9BEXP
58	26316 32122	   	200.63	DCR|2VULN|2ASPD|1DMG|1CDMG|1ZMB	1ZMB|2TLV|3DMG|4CDMG|56VULN|7aASPD|8RCR|9FEWX
59	26316 32152	   	200.63	DCR|2VULN|2ASPD|1DMG|1CDMG|1ZMB	1ZMB|2TLV|3DMG|4CDMG|56VULN|7aASPD|8RCR|9BEXP
60	54631 12122	 * 	199.03	ACR|3VULN|2ASPD|1AART|2CDMG|1SELL	16aVULN|2RCR|3SELL|4aASPD|5LWND|7AART|8SPLJET|9aCDMG|aBPWR
61	54631 12322	 * 	199.03	ACR|3VULN|2ASPD|1AART|2CDMG|1SELL	16aVULN|2RCR|3SELL|4aASPD|5LWND|7AART|8SNIFST|9aCDMG|aBPWR
62	54633 12122	 * 	199.03	ACR|3VULN|2ASPD|1AART|2CDMG|1SELL	16aVULN|2RCR|3SELL|4aASPD|5FEWX|7AART|8SPLJET|9aCDMG|aBPWR
63	54633 12322	 * 	199.03	ACR|3VULN|2ASPD|1AART|2CDMG|1SELL	16aVULN|2RCR|3SELL|4aASPD|5FEWX|7AART|8SNIFST|9aCDMG|aBPWR
64	52624 23211	   	199.02	DCR|3VULN|1AART|1DMG|2DUR	159VULN|2MLV|37DUR|4AART|6RCR|8CGEN|aDMG
65	55141 12223	 * 	198.98	DCR|2VULN|2DMG|1AART|2DUR	19VULN|28DUR|39DMG|4LIT|5FEWX|6RCR|79AME|9BPWR|aAART
66	56531 22321	   	198.40	DCR|3VULN|1ASPD|1DMG|1ZMB|1DUR	135VULN|2ASPD|4ZMB|6LIT|7RCR|8DMG|9DUR|aFEWX
67	56531 22323	   	198.40	DCR|3VULN|1ASPD|1DMG|1ZMB|1DUR	135VULN|2ASPD|4ZMB|6LIT|7RCR|8DMG|9DUR|aDMSP
68	54112 31422	 * 	198.36	ACR|2VULN|2DMG|1AART|2CDMG|2DUR	19VULN|2RCR|39DMG|4BEXP|5AART|67CDMG|89DUR|9BPWR|aLHND
69	53531 22334	 * 	198.30	DCR|3VULN|1ASPD|1DMG|1NUKE|1ZMB|1DUR	135VULN|2NUKE|4ZMB|6LIT|7RCR|8DMG|9ASPD|aDUR
70	56531 22322	   	198.30	DCR|3VULN|1ASPD|1DMG|1ZMB|1DUR|1MSE	135VULN|2ASPD|4ZMB|6LIT|7RCR|8DMG|9DUR|aMSE
71	55353 14121	 * 	198.29	DCR|2VULN|1AART|2CDMG|3DUR|1ZMB	19VULN|269DUR|3AART|4MBVNT|59CDMG|7RCR|8RMIN|9BPWR|aZMB
72	55112 21521	 * 	198.27	DCR|3VULN|1AART|1DMG|3DUR	17aVULN|278DUR|3DMG|4BEXP|5AART|67LWND|7BPWR|9RCR
73	54112 31421	   	198.26	ACR|2VULN|2DMG|1AART|2CDMG|2DUR	19VULN|2RCR|39DMG|4BEXP|5AART|67CDMG|89DUR|9BPWR|aERES
74	54112 31423	   	198.26	ACR|2VULN|2DMG|1AART|2CDMG|2DUR	19VULN|2RCR|39DMG|4BEXP|5AART|67CDMG|89DUR|9BPWR|aDUST
75	53531 51323	 * 	198.03	DCR|5VULN|1DMG|1NUKE|1ZMB	1359aVULN|2NUKE|4ZMB|6AME|7DMG|8RCR
76	56531 33313	 * 	198.03	DCR|5VULN|1ASPD|1ZMB	1356aVULN|2ASPD|4ZMB|7DUST|8RCR|9AELBLL
77	56531 33321	   	198.03	DCR|5VULN|1ASPD|1ZMB	13569VULN|2ASPD|4ZMB|7DUST|8RCR|aBEXP
78	53513 42223	 * 	198.02	DCR|4VULN|1ASPD|1NUKE|1CDMG|1ZMB	136aVULN|2NUKE|4CDMG|5LHND|7ASPD|8ZMB|9RCR
79	53515 31223	   	198.02	DCR|4VULN|1ASPD|1NUKE|1CDMG|1ZMB	136aVULN|2NUKE|4CDMG|5ASPD|7BEXP|8ZMB|9RCR
80	56531 33322	   	197.93	DCR|5VULN|1ASPD|1ZMB|1MSE	13569VULN|2ASPD|4ZMB|7DUST|8RCR|aMSE
81	56531 33323	   	197.93	DCR|5VULN|1ASPD|1ZMB	13569VULN|2ASPD|4ZMB|7DUST|8RCR|aDLOT
82	53515 33223	   	197.92	DCR|4VULN|1ASPD|1NUKE|1CDMG|1ZMB	136aVULN|2NUKE|4CDMG|5ASPD|7DUST|8ZMB|9RCR
83	53512 22223	 * 	197.91	DCR|3VULN|2CDMG|1ASPD|1NUKE|1ZMB|1DUR	13aVULN|2NUKE|45CDMG|6DUR|7ASPD|8ZMB|9RCR
84	54631 12211	 * 	197.25	ACR|3VULN|1AART|1ASPD|1DMG|1CDMG|1SELL	169VULN|2RCR|3SELL|4ASPD|5LWND|7AART|8CDMG|aDMG
85	54633 12211	 * 	197.25	ACR|3VULN|1AART|1ASPD|1DMG|1CDMG|1SELL	169VULN|2RCR|3SELL|4ASPD|5FEWX|7AART|8CDMG|aDMG
86	56321 15321	   	197.24	DCR|3VULN|2DMG|1ASPD	145VULN|2ASPD|3AME|6DUST|7RCR|8aDMG|9LWND
87	23514 33511	   	196.71	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1ZMB|2DUST|36VULN|4BEXP|5DUR|7RCR|8CDMG|9DMG|aASPD
88	56533 21221	 * 	196.43	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG|1ZMB|1DUR	13VULN|2ASPD|4ZMB|5DUR|6MDPS|7AART|8CDMG|9RCR|aBELT
89	56533 21222	   	196.43	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG|1ZMB|1DUR	13VULN|2ASPD|4ZMB|5DUR|6MDPS|7AART|8CDMG|9RCR|aAME
90	56533 21223	   	196.33	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG|1ZMB|1DUR	13VULN|2ASPD|4ZMB|5DUR|6MDPS|7AART|8CDMG|9RCR|aERES
91	21312 32142	   	196.08	DCR|2ASPD|1VULN|2CDMG|1DMG|1ZMB|1DUR	1ZMB|2CGEN|3DMG|45CDMG|6VULN|7aASPD|8RCR|9DUR
92	25312 32142	   	195.98	DCR|2ASPD|1VULN|2CDMG|1DMG|1ZMB|1DUR	1ZMB|2ERES|3DMG|45CDMG|6VULN|7aASPD|8RCR|9DUR
93	26312 32142	   	195.98	DCR|2ASPD|1VULN|2CDMG|1DMG|1ZMB|1DUR	1ZMB|2TLV|3DMG|45CDMG|6VULN|7aASPD|8RCR|9DUR
94	21316 42121	   	195.87	DCR|2VULN|1MDPS|1ASPD|1DMG|1CDMG|1ZMB	1ZMB|2CGEN|3DMG|4CDMG|56VULN|7ASPD|8RCR|9FEWX|aMDPS
95	21316 42151	   	195.87	DCR|2VULN|1MDPS|1ASPD|1DMG|1CDMG|1ZMB	1ZMB|2CGEN|3DMG|4CDMG|56VULN|7ASPD|8RCR|9BEXP|aMDPS
96	21342 61611	   	195.82	DCR|3VULN|2DMG|1ZMB|1DUR	1ZMB|2CGEN|3aDMG|468VULN|5DUST|7RCR|9DUR
97	25316 32121	   	195.77	DCR|2VULN|1MDPS|1ASPD|1DMG|1CDMG|1ZMB	1ZMB|2ERES|3DMG|4CDMG|56VULN|7ASPD|8RCR|9FEWX|aMDPS
98	25316 32151	   	195.77	DCR|2VULN|1MDPS|1ASPD|1DMG|1CDMG|1ZMB	1ZMB|2ERES|3DMG|4CDMG|56VULN|7ASPD|8RCR|9BEXP|aMDPS
99	26316 32121	   	195.77	DCR|2VULN|1MDPS|1ASPD|1DMG|1CDMG|1ZMB	1ZMB|2TLV|3DMG|4CDMG|56VULN|7ASPD|8RCR|9FEWX|aMDPS
100	26316 32151	   	195.77	DCR|2VULN|1MDPS|1ASPD|1DMG|1CDMG|1ZMB	1ZMB|2TLV|3DMG|4CDMG|56VULN|7ASPD|8RCR|9BEXP|aMDPS
101	44112 23162	 * 	195.73	ACR|2VULN|2AART|1ASPD|1DMG|1CDMG	1FEWX|2RCR|3DMG|4BEXP|59AART|6ASPD|78VULN|aCDMG
102	54324 33311	 * 	195.56	ACR|4VULN|1AART|1DMG|1ZMB|1DUR	1579VULN|2RCR|3AART|4TLV|6ZMB|8DUR|aDMG
103	56321 15322	   	195.50	DCR|4VULN|1ASPD|1DMG	145aVULN|2ASPD|3AME|6DUST|7RCR|8DMG|9LWND
104	55353 44222	   	195.49	DCR|3VULN|1AART|2CDMG|1DUR	169VULN|2DUR|3AART|4MBVNT|59CDMG|7RCR|89MLV|9BPWR|aLHND
105	55353 44224	   	195.49	DCR|3VULN|1AART|2CDMG|1DUR	169VULN|2DUR|3AART|4MBVNT|59CDMG|7RCR|89MLV|9BPWR|aBEXP
106	55353 44322	   	195.49	DCR|3VULN|1AART|2CDMG|1DUR	169VULN|2DUR|3AART|4MBVNT|59CDMG|7RCR|89CGEN|9BPWR|aLHND
107	55353 44324	   	195.49	DCR|3VULN|1AART|2CDMG|1DUR	169VULN|2DUR|3AART|4MBVNT|59CDMG|7RCR|89CGEN|9BPWR|aBEXP
108	55353 44221	   	195.39	DCR|3VULN|1AART|2CDMG|1DUR	169VULN|2DUR|3AART|4MBVNT|59CDMG|7RCR|89MLV|9BPWR|aERES
109	55353 44223	   	195.39	DCR|3VULN|1AART|2CDMG|1DUR	169VULN|2DUR|3AART|4MBVNT|59CDMG|7RCR|89MLV|9BPWR|aDUST
110	55353 44321	   	195.39	DCR|3VULN|1AART|2CDMG|1DUR	169VULN|2DUR|3AART|4MBVNT|59CDMG|7RCR|89CGEN|9BPWR|aERES
111	55353 44323	   	195.39	DCR|3VULN|1AART|2CDMG|1DUR	169VULN|2DUR|3AART|4MBVNT|59CDMG|7RCR|89CGEN|9BPWR|aDUST
112	55353 44131	   	195.34	DCR|2VULN|1AART|1ASPD|1CDMG|2DUR	16VULN|2aDUR|3AART|4MBVNT|5CDMG|7RCR|8RMIN|9ASPD
113	55353 44231	   	195.34	DCR|2VULN|1AART|1ASPD|1CDMG|2DUR	16VULN|2aDUR|3AART|4MBVNT|5CDMG|7RCR|8MLV|9ASPD
114	55353 44331	   	195.34	DCR|2VULN|1AART|1ASPD|1CDMG|2DUR	16VULN|2aDUR|3AART|4MBVNT|5CDMG|7RCR|8CGEN|9ASPD
115	54115 33321	 * 	195.30	ACR|3VULN|3DMG|1CDMG|1AAC|1DUR	167VULN|2RCR|378DMG|47BEXP|5AAC|7BPWR|9DUR|aCDMG
116	52624 23212	   	195.21	DCR|3VULN|1AART|1CDMG|2DUR	159VULN|2MLV|37DUR|4AART|6RCR|8CGEN|aCDMG
117	55111 33236	 * 	195.09	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	16VULN|2DUR|3DMG|4BEXP|5DUST|7RCR|8RCVC|9AART|aASPD
118	54631 32322	   	195.07	ACR|2VULN|2DMG|2ASPD|1AART|1SELL	19VULN|2RCR|3SELL|49ASPD|5LWND|6ERES|7AART|89DMG|9BPWR|aMLV
119	54631 32323	   	195.07	ACR|2VULN|2DMG|2ASPD|1AART|1SELL	19VULN|2RCR|3SELL|49ASPD|5LWND|6ERES|7AART|89DMG|9BPWR|aBEXP
120	54632 12322	   	195.07	ACR|2VULN|2DMG|2ASPD|1AART|1SELL	19VULN|2RCR|3SELL|49ASPD|5ERES|6LWND|7AART|89DMG|9BPWR|aMLV
121	54632 12323	   	195.07	ACR|2VULN|2DMG|2ASPD|1AART|1SELL	19VULN|2RCR|3SELL|49ASPD|5ERES|6LWND|7AART|89DMG|9BPWR|aBEXP
122	56512 23132	   	195.05	DCR|2VULN|2CDMG|1ASPD|1DMG|2DUR|1AAC	13VULN|2ASPD|45CDMG|67DUR|8AAC|9RCR|aDMG
123	56512 23332	   	195.05	DCR|2VULN|2CDMG|1ASPD|1DMG|2DUR	13VULN|2ASPD|45CDMG|67DUR|8TLV|9RCR|aDMG
124	13443 32325	 * 	195.03	ACR|3VULN|2DMG|1AART|1ASPD	1RPLT|29MLV|39DMG|4RCR|569VULN|7RMIN|8AART|9BPWR|aASPD
125	54631 32321	   	194.97	ACR|2VULN|2DMG|2ASPD|1AART|1SELL	19VULN|2RCR|3SELL|49ASPD|5LWND|6aERES|7AART|89DMG|9BPWR
126	54632 12321	   	194.97	ACR|2VULN|2DMG|2ASPD|1AART|1SELL	19VULN|2RCR|3SELL|49ASPD|5aERES|6LWND|7AART|89DMG|9BPWR
127	54112 61211	 * 	194.84	ACR|3VULN|2AART|2DMG	179VULN|2RCR|3aDMG|4BEXP|56AART|8CGEN
128	21316 42143	   	194.81	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1ZMB|2CGEN|3DMG|4CDMG|56VULN|7ASPD|8RCR|9DUR|aAELBLL
129	52624 21131	   	194.81	DCR|4VULN|1AART|2DUR	157aVULN|2MLV|39DUR|4AART|6RCR|8LIT
130	25316 32143	   	194.71	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1ZMB|2ERES|3DMG|4CDMG|56VULN|7ASPD|8RCR|9DUR|aAELBLL
131	26316 32143	   	194.71	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1ZMB|2TLV|3DMG|4CDMG|56VULN|7ASPD|8RCR|9DUR|aAELBLL
132	54113 33251	 * 	194.61	ACR|4VULN|2DMG|1MDPS|2CDMG	169aVULN|2RCR|39DMG|4BEXP|5FEWX|7MDPS|89CDMG|9BPWR
133	55332 24111	   	194.61	DCR|2VULN|2DMG|1AART|1DUR	19VULN|2DUR|3AART|4AELBLL|5ERES|6RCR|7aDMG|8RCVC
134	55322 24111	   	194.51	DCR|2VULN|2DMG|1AART|1DUR	19VULN|2DUR|3AART|45TLV|6RCR|7aDMG|8RCVC
135	53531 22324	 * 	194.48	DCR|3VULN|1DMG|1NUKE|1CDMG|1ZMB|1DUR	135VULN|2NUKE|4ZMB|6LIT|7RCR|8DMG|9DUR|aCDMG
136	21342 61612	   	194.08	DCR|4VULN|1DMG|1ZMB|1DUR	1ZMB|2CGEN|3DMG|468aVULN|5DUST|7RCR|9DUR
137	21312 35243	   	194.04	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB	1ZMB|2CGEN|3aDMG|45CDMG|6VULN|7AART|8RCVC|9RCR
138	25312 35243	   	193.94	DCR|2DMG|1VULN|1AART|2CDMG|1ZMB	1ZMB|2ERES|3aDMG|45CDMG|6VULN|7AART|8RCVC|9RCR
139	26312 35243	   	193.94	DCR|2DMG|1VULN|1AART|2CDMG|1ZMB	1ZMB|2TLV|3aDMG|45CDMG|6VULN|7AART|8RCVC|9RCR
140	56325 32133	   	193.91	DCR|3VULN|1ASPD|1DMG|1CDMG|1AAC	14aVULN|2ASPD|3AME|5AAC|6CDMG|7DMG|8RCR|9CGEN
141	51624 21331	   	193.90	DCR|3VULN|1AART|1DMG|1DUR	157VULN|2ERES|3DUR|4AART|6RCR|8TLV|9DMG|aRCVC
142	56521 22333	   	193.87	DCR|3VULN|2ASPD|1DMG|1AAC	135VULN|29ASPD|4AAC|6LIT|7RCR|8DMG|aCGEN
143	26312 32133	   	193.84	DCR|2VULN|2CDMG|1ASPD|1DMG|1ZMB	1ZMB|2TLV|3DMG|45CDMG|6aVULN|7ASPD|8RCR|9CGEN
144	52624 21221	   	193.78	DCR|3VULN|1AART|1DMG|1DUR	157VULN|2MLV|3DUR|4AART|6RCR|89CGEN|aDMG
145	52624 22211	   	193.78	DCR|3VULN|1AART|1DMG|1DUR	159VULN|27MLV|3DUR|4AART|6RCR|8CGEN|aDMG
146	56521 22331	   	193.77	DCR|3VULN|2ASPD|1DMG|1AAC	135VULN|29ASPD|4AAC|6LIT|7RCR|8DMG|aDUST
147	56531 22213	   	193.70	DCR|3VULN|1AART|1ASPD|1ZMB	135VULN|2ASPD|4ZMB|6LIT|7RCR|8DUST|9FEWX|aAART
148	51624 21221	   	193.68	DCR|3VULN|1AART|1DMG|1DUR	157VULN|2ERES|3DUR|4AART|6RCR|89CGEN|aDMG
149	51624 22311	   	193.68	DCR|3VULN|1AART|1DMG|1DUR	159VULN|2ERES|3DUR|4AART|6RCR|78MLV|aDMG
150	55324 21221	   	193.68	DCR|3VULN|1AART|1DMG|1DUR	157VULN|2DUR|3AART|4TLV|6RCR|89CGEN|aDMG
151	55324 22311	   	193.68	DCR|3VULN|1AART|1DMG|1DUR	159VULN|2DUR|3AART|4TLV|6RCR|78MLV|aDMG
152	55332 21211	   	193.68	DCR|3VULN|1AART|1DMG|1DUR	179VULN|2DUR|3AART|4AELBLL|5ERES|6RCR|8CGEN|aDMG
153	51624 21333	   	193.58	DCR|3VULN|1AART|1DMG|1DUR	157VULN|2ERES|3DUR|4AART|6RCR|8TLV|9DMG|aCGEN
154	55322 21211	   	193.58	DCR|3VULN|1AART|1DMG|1DUR	179VULN|2DUR|3AART|45TLV|6RCR|8CGEN|aDMG
155	55324 23211	   	193.58	DCR|3VULN|1AART|1DMG|1DUR	159VULN|2DUR|3AART|47TLV|6RCR|8CGEN|aDMG
156	55332 21311	   	193.58	DCR|3VULN|1AART|1DMG|1DUR	179VULN|2DUR|3AART|4AELBLL|5ERES|6RCR|8TLV|aDMG
157	53515 22132	 * 	193.56	DCR|2VULN|2DMG|1ASPD|1NUKE|1CDMG	13VULN|2NUKE|4CDMG|5ASPD|6ERES|7aDMG|8RCR|9CGEN
158	51624 21332	   	193.48	DCR|3VULN|1AART|1DMG|1DUR	157VULN|2ERES|3DUR|4AART|6RCR|8TLV|9DMG|aMBVNT
159	55322 21511	   	193.48	DCR|3VULN|1AART|1DMG|1DUR	179VULN|2DUR|3AART|45TLV|6RCR|8ERES|aDMG
160	55121 14331	   	193.44	DCR|2VULN|1ASPD|1DMG|1NUKE|2DUR	17VULN|29DUR|3DMG|4DMSP|5CANARM|6ASPD|8RCR|aNUKE
