0	Index      	 *	Score 	Summary	Detail	
1	22114 25115	 * 	235.62	DCR|3VULN|1AART|2CDMG|1DMG|1NUKE|1DUR	1AART|2FEWX|35CDMG|456VULN|5BPWR|7RCR|8DUR|9DMG|aNUKE
30	22114 25114	   	215.56	DCR|3VULN|1AART|2CDMG|1DMG|1DUR	1AART|2FEWX|35CDMG|456VULN|5BPWR|7RCR|8DUR|9DMG|aCGEN
31	22114 25111	   	215.46	DCR|3VULN|1AART|2CDMG|1DMG|1DUR	1AART|2FEWX|35CDMG|456VULN|5BPWR|7RCR|8DUR|9DMG|aERES
32	26114 25112	   	215.46	DCR|3VULN|1AART|2CDMG|1DMG|1DUR	1AART|2DUST|35CDMG|456VULN|5BPWR|7RCR|8DUR|9DMG|aAME
33	26114 25111	   	215.36	DCR|3VULN|1AART|2CDMG|1DMG|1DUR	1AART|2DUST|35CDMG|456VULN|5BPWR|7RCR|8DUR|9DMG|aERES
34	22114 12652	   	215.31	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	1AART|2FEWX|35CDMG|45VULN|5BPWR|6DUR|7RCR|89DMG|aAME
35	22114 12651	   	215.21	DCR|2VULN|2DMG|1AART|2CDMG|1DUR	1AART|2FEWX|35CDMG|45VULN|5BPWR|6DUR|7RCR|89DMG|aERES
36	31622 41215	   	214.43	DCR|3VULN|2ASPD|1DMG|1CDMG|1AAC|1DUR	1CDMG|26ASPD|3AAC|4DUR|58aVULN|7DMG|9RCR
37	22114 25126	 * 	214.22	DCR|3VULN|2AART|1MDPS|2CDMG|1DUR	1aAART|2FEWX|35CDMG|456VULN|5BPWR|7RCR|8DUR|9MDPS
38	22413 35313	 * 	214.03	DCR|2VULN|2AART|1ASPD|1DMG|1CDMG	14AART|2FEWX|3DMG|5ASPD|6LIT|7CDMG|8aVULN|9RCR
39	22413 52125	 * 	214.00	DCR|2VULN|2AART|2ASPD|1DMG	14AART|2FEWX|3DMG|56ASPD|7aVULN|8RCR|9CGEN
40	22114 25261	   	213.59	DCR|3VULN|2AART|2CDMG|1ZMB	18AART|2FEWX|35CDMG|456VULN|5BPWR|7RCR|9MLV|aZMB
41	22413 65112	   	213.23	DCR|2AART|2DMG|1VULN|1ASPD|1CDMG	14AART|2FEWX|37DMG|5ASPD|6VULN|8RCR|9CDMG|aBEXP
42	22413 65111	   	213.13	DCR|2AART|2DMG|1VULN|1ASPD|1CDMG	14AART|2FEWX|37DMG|5ASPD|6VULN|8RCR|9CDMG|aLEGI
43	22413 65113	   	213.13	DCR|2AART|2DMG|1VULN|1ASPD|1CDMG	14AART|2FEWX|37DMG|5ASPD|6VULN|8RCR|9CDMG|aTLV
44	31262 41212	 * 	211.65	DCR|3ASPD|2VULN|1DMG|1CDMG|1ZMB	1CDMG|26aASPD|3LWND|4ZMB|58VULN|7DMG|9RCR
45	31222 25251	 * 	211.57	DCR|2VULN|2ASPD|2CDMG|1DMG|2DUR	17CDMG|27ASPD|3LWND|4RMIN|5aVULN|67DUR|7BPWR|8RCR|9DMG
46	31562 41212	   	211.55	DCR|3ASPD|2VULN|1DMG|1CDMG|1ZMB	1CDMG|26aASPD|3DUST|4ZMB|58VULN|7DMG|9RCR
47	22114 23661	 * 	211.37	DCR|4VULN|1AART|2CDMG|1ZMB	1AART|2FEWX|35CDMG|4567VULN|5BPWR|8RCR|9MLV|aZMB
48	22115 25113	   	211.36	DCR|3VULN|1AART|1DMG|1CDMG|1AAC|1DUR	1AART|2FEWX|3CDMG|456VULN|7RCR|8DUR|9DMG|aAAC
49	26115 25113	   	211.26	DCR|3VULN|1AART|1DMG|1CDMG|1AAC|1DUR	1AART|2DUST|3CDMG|456VULN|7RCR|8DUR|9DMG|aAAC
50	22115 12653	   	211.12	DCR|2VULN|2DMG|1AART|1CDMG|1AAC|1DUR	1AART|2FEWX|3CDMG|45VULN|6DUR|7RCR|89DMG|aAAC
51	22413 65312	 * 	210.64	DCR|3DMG|2AART|1VULN|1ASPD	14AART|2aFEWX|378DMG|5ASPD|6VULN|9RCR
52	22413 65311	   	210.54	DCR|3DMG|2AART|1VULN|1ASPD	14AART|2FEWX|378DMG|5ASPD|6VULN|9RCR|aCANSTR
53	22413 65313	   	210.54	DCR|3DMG|2AART|1VULN|1ASPD	14AART|2FEWX|378DMG|5ASPD|6VULN|9RCR|aERES
54	22115 12352	   	210.26	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1AART|2FEWX|3CDMG|45VULN|6DUR|7RCR|8ASPD|9DMG|aLIT
55	22115 12354	   	210.26	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1AART|2FEWX|3CDMG|45VULN|6DUR|7RCR|8ASPD|9DMG|aRPLT
56	22413 52115	   	210.19	DCR|2AART|2ASPD|1VULN|1DMG|1CDMG	14AART|2FEWX|3DMG|56ASPD|7VULN|8RCR|9CDMG|aRCVC
57	26115 12352	   	210.16	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1AART|2DUST|3CDMG|45VULN|6DUR|7RCR|8ASPD|9DMG|aLIT
58	22115 12353	   	210.16	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1AART|2FEWX|3CDMG|45VULN|6DUR|7RCR|8ASPD|9DMG|aTLV
59	22115 12355	   	210.16	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR|1SELL	1AART|2FEWX|3CDMG|45VULN|6DUR|7RCR|8ASPD|9DMG|aSELL
60	24213 65131	   	210.11	DCR|2VULN|2AART|1ASPD|1DMG|1ZMB	14AART|2CGEN|3FEWX|5ASPD|69VULN|7DMG|8RCR|aZMB
61	26115 12353	   	210.06	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1AART|2DUST|3CDMG|45VULN|6DUR|7RCR|8ASPD|9DMG|aTLV
62	22114 25235	   	210.04	DCR|3VULN|2AART|2CDMG|1AAC	18AART|29FEWX|35CDMG|456VULN|5BPWR|7RCR|aAAC
63	22114 25241	   	209.94	DCR|3VULN|2AART|2CDMG|1AAC|1ZMB	18AART|2FEWX|35CDMG|456VULN|5BPWR|7RCR|9AAC|aZMB
64	22114 25242	   	209.94	DCR|3VULN|2AART|2CDMG|1AAC	18AART|2aFEWX|35CDMG|456VULN|5BPWR|7RCR|9AAC
65	22114 25243	   	209.94	DCR|3VULN|2AART|2CDMG|1AAC	18AART|2FEWX|35CDMG|456VULN|5BPWR|7RCR|9AAC|aTLV
66	22413 52112	   	209.86	DCR|2AART|2ASPD|1VULN|1DMG|1CDMG	14AART|2FEWX|3DMG|56ASPD|7VULN|8RCR|9CDMG|aBEXP
67	22413 52114	   	209.86	DCR|2AART|2ASPD|1VULN|1DMG|1CDMG	14AART|2FEWX|3DMG|56ASPD|7VULN|8RCR|9CDMG|aMLV
68	22413 55112	   	209.86	DCR|2AART|2ASPD|1VULN|1DMG|1CDMG	14AART|2FEWX|3DMG|56ASPD|7BEXP|8RCR|9CDMG|aVULN
69	31115 61251	 * 	209.84	DCR|3VULN|2ASPD|1AART|1CDMG	1CDMG|23ASPD|4MLV|5AART|6BASFIG|78aVULN|9RCR
70	31135 61251	   	209.84	DCR|3VULN|2ASPD|1AART|1CDMG	1CDMG|23ASPD|4AME|5AART|6BASFIG|78aVULN|9RCR
71	26413 52112	   	209.76	DCR|2AART|2ASPD|1VULN|1DMG|1CDMG	14AART|2DUST|3DMG|56ASPD|7VULN|8RCR|9CDMG|aBEXP
72	22413 52111	   	209.76	DCR|2AART|2ASPD|1VULN|1DMG|1CDMG	14AART|2FEWX|3DMG|56ASPD|7VULN|8RCR|9CDMG|aLEGI
73	22413 52113	   	209.76	DCR|2AART|2ASPD|1VULN|1DMG|1CDMG	14AART|2FEWX|3DMG|56ASPD|7VULN|8RCR|9CDMG|aTLV
74	26413 52111	   	209.66	DCR|2AART|2ASPD|1VULN|1DMG|1CDMG	14AART|2DUST|3DMG|56ASPD|7VULN|8RCR|9CDMG|aLEGI
75	26413 52113	   	209.66	DCR|2AART|2ASPD|1VULN|1DMG|1CDMG	14AART|2DUST|3DMG|56ASPD|7VULN|8RCR|9CDMG|aTLV
76	31622 41212	   	209.52	DCR|3ASPD|2VULN|1DMG|1CDMG|1AAC|1DUR	1CDMG|26aASPD|3AAC|4DUR|58VULN|7DMG|9RCR
77	34412 41212	   	209.52	DCR|3ASPD|2VULN|1DMG|1CDMG|1DUR	1CDMG|2DUR|3TLV|46aASPD|58VULN|7DMG|9RCR
78	34512 41212	   	209.52	DCR|3ASPD|2VULN|1DMG|1CDMG|1DUR	1CDMG|2DUR|3ERES|46aASPD|58VULN|7DMG|9RCR
79	23421 35136	 * 	209.50	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1AART|2RMIN|3ASPD|4DUR|5ERES|67DMG|8RCR|9aVULN
80	22114 42352	   	209.48	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG	1AART|2FEWX|35CDMG|45VULN|5BPWR|6LWND|7RCR|8ASPD|9DMG|aLIT
81	22114 42353	   	209.38	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG	1AART|2FEWX|35CDMG|45VULN|5BPWR|6LWND|7RCR|8ASPD|9DMG|aTLV
82	22114 52352	   	209.38	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG	1AART|2FEWX|35CDMG|45VULN|5BPWR|6DUST|7RCR|8ASPD|9DMG|aLIT
83	22114 52353	   	209.28	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG	1AART|2FEWX|35CDMG|45VULN|5BPWR|6DUST|7RCR|8ASPD|9DMG|aTLV
84	22115 12314	   	208.92	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1CDMG|1DUR	1AART|2FEWX|3CDMG|45VULN|6DUR|7RCR|8ASPD|9MDPS|aDMG
85	26115 12314	   	208.82	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1CDMG|1DUR	1AART|2DUST|3CDMG|45VULN|6DUR|7RCR|8ASPD|9MDPS|aDMG
86	22115 42351	   	208.73	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1AAC	1AART|2FEWX|3CDMG|45VULN|6LWND|7RCR|8ASPD|9DMG|aAAC
87	22115 52351	   	208.63	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1AAC	1AART|2FEWX|3CDMG|45VULN|6DUST|7RCR|8ASPD|9DMG|aAAC
88	31562 42113	   	208.33	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1CDMG|26ASPD|3DUST|4ZMB|5VULN|7AART|8DUR|9DMG|aRCR
89	31631 11111	 * 	208.20	DCR|3VULN|3CDMG|1AART|1ASPD|1AAC	179CDMG|2ASPD|3AAC|4BELT|579DUST|679VULN|79BPWR|8AART|aRCR
90	31636 31111	   	208.20	DCR|3VULN|3CDMG|1AART|1ASPD|1AAC	179CDMG|2ASPD|3AAC|4BELT|579VULN|679DUST|79BPWR|8AART|aRCR
91	22114 42312	 * 	208.14	DCR|2VULN|2AART|1MDPS|2CDMG|1ASPD	1aAART|2FEWX|35CDMG|45VULN|5BPWR|6LWND|7RCR|8ASPD|9MDPS
92	22114 42313	   	208.14	DCR|2VULN|1MDPS|1AART|2CDMG|1ASPD|1DMG	1AART|2FEWX|35CDMG|45VULN|5BPWR|6LWND|7RCR|8ASPD|9MDPS|aDMG
93	22114 42612	   	208.14	DCR|2VULN|2AART|1MDPS|2CDMG|1DMG	1aAART|2FEWX|35CDMG|45VULN|5BPWR|6LWND|7RCR|8DMG|9MDPS
94	22114 42613	   	208.14	DCR|2VULN|2DMG|1MDPS|1AART|2CDMG	1AART|2FEWX|35CDMG|45VULN|5BPWR|6LWND|7RCR|8aDMG|9MDPS
95	22114 52314	   	208.04	DCR|2VULN|1MDPS|1AART|2CDMG|1ASPD|1DMG	1AART|2FEWX|35CDMG|45VULN|5BPWR|6DUST|7RCR|8ASPD|9MDPS|aDMG
96	22115 25112	   	208.03	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|2FEWX|3CDMG|456VULN|7RCR|8DUR|9DMG|aAME
97	22115 25114	   	208.03	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|2FEWX|3CDMG|456VULN|7RCR|8DUR|9DMG|aCGEN
98	22114 12361	   	207.96	DCR|2VULN|1AART|2CDMG|1ASPD|1ZMB|1DUR	1AART|2FEWX|35CDMG|45VULN|5BPWR|6DUR|7RCR|8ASPD|9ERES|aZMB
99	22114 12661	   	207.96	DCR|2VULN|1AART|2CDMG|1DMG|1ZMB|1DUR	1AART|2FEWX|35CDMG|45VULN|5BPWR|6DUR|7RCR|8DMG|9TLV|aZMB
100	22115 25111	   	207.93	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|2FEWX|3CDMG|456VULN|7RCR|8DUR|9DMG|aERES
101	26115 25112	   	207.93	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|2DUST|3CDMG|456VULN|7RCR|8DUR|9DMG|aAME
102	26114 12361	   	207.86	DCR|2VULN|1AART|2CDMG|1ASPD|1ZMB|1DUR	1AART|2DUST|35CDMG|45VULN|5BPWR|6DUR|7RCR|8ASPD|9ERES|aZMB
103	26115 25111	   	207.83	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|2DUST|3CDMG|456VULN|7RCR|8DUR|9DMG|aERES
104	22114 23635	   	207.81	DCR|4VULN|1AART|2CDMG|1AAC	1AART|29FEWX|35CDMG|4567VULN|5BPWR|8RCR|aAAC
105	22115 12652	   	207.78	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1AART|2FEWX|3CDMG|45VULN|6DUR|7RCR|89DMG|aAME
106	22114 23641	   	207.71	DCR|4VULN|1AART|2CDMG|1AAC|1ZMB	1AART|2FEWX|35CDMG|4567VULN|5BPWR|8RCR|9AAC|aZMB
107	22114 23642	   	207.71	DCR|4VULN|1AART|2CDMG|1AAC	1AART|2aFEWX|35CDMG|4567VULN|5BPWR|8RCR|9AAC
108	22114 23643	   	207.71	DCR|4VULN|1AART|2CDMG|1AAC	1AART|2FEWX|35CDMG|4567VULN|5BPWR|8RCR|9AAC|aTLV
109	22115 12651	   	207.68	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1AART|2FEWX|3CDMG|45VULN|6DUR|7RCR|89DMG|aERES
110	22213 52116	   	207.56	DCR|2AART|2ASPD|1VULN|2CDMG|1ZMB	14AART|2FEWX|3ZMB|56ASPD|7VULN|8RCR|9aCDMG
111	26213 52116	   	207.46	DCR|2AART|2ASPD|1VULN|2CDMG|1ZMB	14AART|2DUST|3ZMB|56ASPD|7VULN|8RCR|9aCDMG
112	22413 65121	   	207.32	DCR|2AART|2DMG|1VULN|1ASPD|1ZMB	14AART|2FEWX|37DMG|5ASPD|6VULN|8RCR|9CGEN|aZMB
113	22413 65131	   	207.22	DCR|2AART|2DMG|1VULN|1ASPD|1ZMB	14AART|2FEWX|37DMG|5ASPD|6VULN|8RCR|9ERES|aZMB
114	21213 52355	 * 	207.00	DCR|2AART|2DMG|2ASPD|1VULN|1AAC	14AART|2AAC|3DUST|56ASPD|7VULN|89DMG|aRCR
115	22114 12311	   	206.99	DCR|2VULN|1MDPS|1AART|2CDMG|1ASPD|1DUR	1AART|2FEWX|35CDMG|45VULN|5BPWR|6DUR|7RCR|8ASPD|9MDPS|aDUST
116	22114 12312	   	206.99	DCR|2VULN|1MDPS|1AART|2CDMG|1ASPD|1DUR	1AART|2FEWX|35CDMG|45VULN|5BPWR|6DUR|7RCR|8ASPD|9MDPS|aDMSP
117	22114 12313	   	206.99	DCR|2VULN|1MDPS|1AART|2CDMG|1ASPD|1DUR	1AART|2aFEWX|35CDMG|45VULN|5BPWR|6DUR|7RCR|8ASPD|9MDPS
118	22114 12315	   	206.99	DCR|2VULN|1MDPS|1AART|2CDMG|1ASPD|1DUR	1AART|2FEWX|35CDMG|45VULN|5BPWR|6DUR|7RCR|8ASPD|9MDPS|aRCVC
119	22114 12316	 * 	206.99	DCR|2VULN|1MDPS|3CDMG|1AART|1ASPD|1DUR	1AART|2FEWX|35aCDMG|45VULN|5BPWR|6DUR|7RCR|8ASPD|9MDPS
120	22114 12611	   	206.99	DCR|2VULN|1MDPS|1AART|2CDMG|1DMG|1DUR	1AART|2FEWX|35CDMG|45VULN|5BPWR|6DUR|7RCR|8DMG|9MDPS|aDUST
121	22114 12612	   	206.99	DCR|2VULN|1MDPS|1AART|2CDMG|1DMG|1DUR	1AART|2FEWX|35CDMG|45VULN|5BPWR|6DUR|7RCR|8DMG|9MDPS|aDMSP
122	22114 12613	   	206.99	DCR|2VULN|1MDPS|1AART|2CDMG|1DMG|1DUR	1AART|2aFEWX|35CDMG|45VULN|5BPWR|6DUR|7RCR|8DMG|9MDPS
123	22114 12615	   	206.99	DCR|2VULN|1MDPS|1AART|2CDMG|1DMG|1DUR	1AART|2FEWX|35CDMG|45VULN|5BPWR|6DUR|7RCR|8DMG|9MDPS|aBEXP
124	26114 12311	   	206.89	DCR|2VULN|1MDPS|1AART|2CDMG|1ASPD|1DUR	1AART|2aDUST|35CDMG|45VULN|5BPWR|6DUR|7RCR|8ASPD|9MDPS
125	26114 12312	   	206.89	DCR|2VULN|1MDPS|1AART|2CDMG|1ASPD|1DUR	1AART|2DUST|35CDMG|45VULN|5BPWR|6DUR|7RCR|8ASPD|9MDPS|aFEWX
126	26114 12313	   	206.89	DCR|2VULN|1MDPS|1AART|2CDMG|1ASPD|1DUR	1AART|2DUST|35CDMG|45VULN|5BPWR|6DUR|7RCR|8ASPD|9MDPS|aCGEN
127	26114 12315	   	206.89	DCR|2VULN|1MDPS|1AART|2CDMG|1ASPD|1DUR	1AART|2DUST|35CDMG|45VULN|5BPWR|6DUR|7RCR|8ASPD|9MDPS|aRCVC
128	26114 12316	   	206.89	DCR|2VULN|1MDPS|3CDMG|1AART|1ASPD|1DUR	1AART|2DUST|35aCDMG|45VULN|5BPWR|6DUR|7RCR|8ASPD|9MDPS
129	26114 12611	   	206.89	DCR|2VULN|1MDPS|1AART|2CDMG|1DMG|1DUR	1AART|2aDUST|35CDMG|45VULN|5BPWR|6DUR|7RCR|8DMG|9MDPS
130	26114 12612	   	206.89	DCR|2VULN|1MDPS|1AART|2CDMG|1DMG|1DUR	1AART|2DUST|35CDMG|45VULN|5BPWR|6DUR|7RCR|8DMG|9MDPS|aFEWX
131	26114 12613	   	206.89	DCR|2VULN|1MDPS|1AART|2CDMG|1DMG|1DUR	1AART|2DUST|35CDMG|45VULN|5BPWR|6DUR|7RCR|8DMG|9MDPS|aCGEN
132	22413 52135	 * 	206.44	DCR|3ASPD|2AART|1VULN|1DMG	14AART|2FEWX|3DMG|56aASPD|7VULN|8RCR|9ERES
133	31143 41215	   	206.22	DCR|3VULN|2ASPD|1DMG|1CDMG	1CDMG|23ASPD|4FEWX|5CGEN|68aVULN|7DMG|9RCR
134	31222 41215	   	206.22	DCR|3VULN|2ASPD|1DMG|1CDMG	1CDMG|26ASPD|3LWND|4RMIN|58aVULN|7DMG|9RCR
135	31522 41215	   	206.12	DCR|3VULN|2ASPD|1DMG|1CDMG	1CDMG|26ASPD|3DUST|4RMIN|58aVULN|7DMG|9RCR
136	31662 51212	   	206.12	DCR|3VULN|2ASPD|1DMG|1CDMG|1AAC	1CDMG|2aASPD|3AAC|458VULN|6FEWX|7DMG|9RCR
137	22115 25261	   	206.07	DCR|3VULN|2AART|1CDMG|1ZMB	18AART|2FEWX|3CDMG|456VULN|7RCR|9MLV|aZMB
138	22113 21513	   	205.81	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1AART|2FEWX|3CDMG|4aVULN|5ZMB|6LIT|78DMG|9RCR
