0	Index      	 *	Score 	Summary	Detail	
1	15533 31521	 * 	215.27	DCR|3VULN|1AART|1DMG|1CDMG|2ZMB	1RPLT|24ZMB|349VULN|4BPWR|5TLV|6RCR|7CDMG|8DMG|aAART
12	44313 11111	   	200.85	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1LIT|2AART|3LEGI|4RMIN|59VULN|6ASPD|7RCR|8DMG|aDUR
13	15534 31321	   	199.47	DCR|3VULN|1AART|1CDMG|2ZMB	1RPLT|24ZMB|349VULN|4BPWR|5AME|6RCR|7CDMG|8RMIN|aAART
14	44522 11111	   	199.25	DCR|2VULN|1AART|1ASPD|1DMG|2DUR	1LIT|2AART|3CGEN|4aDUR|59VULN|6ASPD|7RCR|8DMG
15	62436 33322	 * 	199.19	ACR|4VULN|3ASPD|3DUR	189DUST|2RCR|36aDUR|489aVULN|5BELT|789ASPD|89aBPWR
16	44322 36212	   	199.16	DCR|3VULN|2DMG|1AART	17LIT|2AART|3LEGI|4BEXP|579VULN|67DMG|7BPWR|8RCR|aRPLT
17	44222 11111	   	199.15	DCR|2VULN|1AART|1ASPD|1DMG|2DUR	1LIT|2AART|3ERES|4aDUR|59VULN|6ASPD|7RCR|8DMG
18	44322 36213	   	199.06	DCR|3VULN|2DMG|1AART	17LIT|2AART|3LEGI|4BEXP|579VULN|67DMG|7BPWR|8RCR|aDUST
19	23313 36442	 * 	197.76	DCR|3VULN|1ASPD|1DMG|1CDMG|1SELL	1LWND|2ASPD|3RPLT|4CDMG|5SELL|6RCR|7DMG|89aVULN
20	44322 36221	 * 	197.58	DCR|2VULN|2DMG|1AART|1CDMG	17LIT|2AART|3LEGI|4BEXP|57VULN|67DMG|7BPWR|8RCR|9LHND|aCDMG
21	33321 64546	 * 	197.52	DCR|3VULN|1AART|1ASPD|1CDMG	1TLV|2LIT|345VULN|6MBVNT|7AART|8RCR|9CDMG|aASPD
22	23324 64314	 * 	197.44	DCR|3VULN|2DMG|1ASPD	1aLWND|2ASPD|3RPLT|4aDMG|5MBVNT|69aVULN|7RCR|8BELT|aBPWR
23	53324 64314	   	197.44	DCR|3VULN|2DMG|1ASPD	1aLHND|2ASPD|3RPLT|4aDMG|5MBVNT|69aVULN|7RCR|8BELT|aBPWR
24	44313 11632	   	197.23	DCR|2VULN|2ASPD|1AART|1ZMB	18LIT|2AART|3LEGI|4RMIN|58VULN|68ASPD|7RCR|8BPWR|9ZMB|aRPLT
25	44313 11633	   	197.13	DCR|2VULN|2ASPD|1AART|1ZMB	18LIT|2AART|3LEGI|4RMIN|58VULN|68ASPD|7RCR|8BPWR|9ZMB|aDUST
26	44311 11111	 * 	196.71	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1DUR	1LIT|2AART|3LEGI|4RMIN|5DUR|6ASPD|7RCR|8DMG|9VULN|aCDMG
27	44311 11511	   	196.71	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1DUR	1LIT|2AART|3LEGI|4RMIN|5DUR|6ASPD|7RCR|8VULN|9DMG|aCDMG
28	62436 23322	   	196.17	ACR|4VULN|3ASPD|2DUR	189DUST|2RCR|3aDUR|489aVULN|5BELT|6RCVC|789ASPD|89aBPWR
29	23261 52352	 * 	196.10	DCR|2DMG|2ASPD|1VULN|1CDMG|1DUR	17LWND|27ASPD|3DUR|45CGEN|67DMG|7BPWR|8RCR|9VULN|aCDMG
30	23261 52361	 * 	196.10	DCR|2DMG|2ASPD|1AART|1CDMG|1DUR	17LWND|27ASPD|3DUR|45CGEN|67DMG|7BPWR|8RCR|9CDMG|aAART
31	33225 83711	 * 	195.44	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG	1TLV|2LIT|3MBVNT|4VULN|5CDMG|6ASPD|7DMG|8RCR|9aAART
32	14323 41213	 * 	195.36	DCR|2DMG|1AART|1VULN|2CDMG	1RPLT|2AART|39CDMG|4RMIN|5AIRARM|6RCR|79ERES|89DMG|9BPWR|aVULN
33	46322 21421	 * 	195.24	DCR|4VULN|1MDPS|1ASPD|1ZMB	1LIT|2ZMB|3489VULN|5LHND|6ASPD|7RCR|aMDPS
34	15533 31121	   	195.21	DCR|3VULN|1AART|1CDMG|2ZMB	1RPLT|24ZMB|349VULN|4BPWR|5TLV|6RCR|7CDMG|8AME|aAART
35	15534 31221	   	195.21	DCR|3VULN|1AART|1CDMG|1AAC|2ZMB	1RPLT|24ZMB|349VULN|4BPWR|5AME|6RCR|7CDMG|8AAC|aAART
36	44313 11611	   	195.20	DCR|2VULN|2ASPD|1AART|1DUR	18LIT|2AART|3LEGI|4RMIN|58VULN|68ASPD|7RCR|8BPWR|9CGEN|aDUR
37	44313 11621	   	195.20	DCR|2VULN|2ASPD|1AART|1DUR	18LIT|2AART|3LEGI|4RMIN|58VULN|68ASPD|7RCR|8BPWR|9MLV|aDUR
38	42253 11114	   	195.06	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG	1LIT|2FEWX|3MLV|4AART|59VULN|6ASPD|7RCR|8DMG|aMDPS
39	12521 33344	 * 	195.04	DCR|4VULN|2ASPD	1RPLT|28MSLFST|36RCVC|489aVULN|58ASPD|7RCR|8BPWR
40	44133 11114	   	194.96	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG	1LIT|2AART|3FEWX|4ERES|59VULN|6ASPD|7RCR|8DMG|aMDPS
41	44213 11114	   	194.96	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG	1LIT|2AART|3ERES|4LHND|59VULN|6ASPD|7RCR|8DMG|aMDPS
42	44333 11114	   	194.86	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG	1LIT|2AART|3LEGI|4ERES|59VULN|6ASPD|7RCR|8DMG|aMDPS
43	44311 13114	   	194.85	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1LIT|2AART|3LEGI|4RMIN|5DUR|6ASPD|79VULN|8DMG|aRCR
44	46322 21422	   	194.18	DCR|4VULN|1ASPD|1ZMB|1DUR	1LIT|2ZMB|3489VULN|5LHND|6ASPD|7RCR|aDUR
45	11414 13621	   	194.12	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1RPLT|2DUR|3ZMB|4CDMG|5VULN|6DMG|7ERES|8RCR|9aAART
46	62436 33321	   	194.04	ACR|4VULN|3ASPD|2DUR	189DUST|2RCR|36DUR|489aVULN|5BELT|789ASPD|89BPWR
47	42253 11111	   	194.01	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1LIT|2FEWX|3MLV|4AART|59VULN|6ASPD|7RCR|8DMG|aDUR
48	44513 11111	   	194.01	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1LIT|2AART|3CGEN|4LHND|59VULN|6ASPD|7RCR|8DMG|aDUR
49	44522 11113	   	194.01	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1aLIT|2AART|3CGEN|4DUR|59VULN|6ASPD|7RCR|8DMG
50	44133 11111	   	193.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1LIT|2AART|3FEWX|4ERES|59VULN|6ASPD|7RCR|8DMG|aDUR
51	44213 11111	   	193.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1LIT|2AART|3ERES|4LHND|59VULN|6ASPD|7RCR|8DMG|aDUR
52	44222 11113	   	193.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1aLIT|2AART|3ERES|4DUR|59VULN|6ASPD|7RCR|8DMG
53	44222 11115	   	193.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1LIT|2AART|3ERES|4DUR|59VULN|6ASPD|7RCR|8DMG|aCGEN
54	44522 11112	   	193.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR|1SELL	1LIT|2AART|3CGEN|4DUR|59VULN|6ASPD|7RCR|8DMG|aSELL
55	33225 88144	 * 	193.91	DCR|2VULN|2ASPD|1AART|1CDMG	1TLV|2LIT|3MBVNT|4aVULN|5CDMG|69ASPD|7AART|8RCR
56	44222 11112	   	193.81	DCR|2VULN|1AART|1ASPD|1DMG|1DUR|1SELL	1LIT|2AART|3ERES|4DUR|59VULN|6ASPD|7RCR|8DMG|aSELL
57	44333 11111	   	193.81	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1LIT|2AART|3LEGI|4ERES|59VULN|6ASPD|7RCR|8DMG|aDUR
58	33225 83723	 * 	193.81	DCR|3VULN|1ASPD|1DMG|1CDMG	1TLV|2LIT|3MBVNT|49aVULN|5CDMG|6ASPD|7DMG|8RCR
59	15533 31513	   	193.72	DCR|2VULN|1ASPD|1DMG|1CDMG|2ZMB	1RPLT|24ZMB|34VULN|4BPWR|5TLV|6RCR|7CDMG|8DMG|9LHND|aASPD
60	33321 64548	 * 	193.30	DCR|4VULN|1AART|1CDMG	1TLV|2LIT|345aVULN|6MBVNT|7AART|8RCR|9CDMG
61	44313 11112	   	192.54	DCR|2VULN|1AART|1ASPD|1DMG	1LIT|2AART|3LEGI|4RMIN|59VULN|6ASPD|7RCR|8DMG|aRPLT
62	44313 11115	   	192.54	DCR|2VULN|1AART|1ASPD|1DMG	1LIT|2AART|3LEGI|4RMIN|59VULN|6ASPD|7RCR|8DMG|aCGEN
63	44313 11113	   	192.44	DCR|2VULN|1AART|1ASPD|1DMG	1LIT|2AART|3LEGI|4RMIN|59VULN|6ASPD|7RCR|8DMG|aDUST
64	23324 64444	 * 	192.29	DCR|2VULN|2ASPD|1DMG|1CDMG	1LWND|2aASPD|3RPLT|4DMG|5MBVNT|68VULN|7RCR|9CDMG
65	33225 12624	   	191.99	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1TLV|2LIT|3MBVNT|4aVULN|5CDMG|6RCR|7DUR|8DMG|9AART
66	12463 32216	 * 	191.68	DCR|1MDPS|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1RPLT|2MSLFST|3DMG|4DUR|5MDPS|6RCR|7ASPD|8VULN|9CDMG|aAART
67	33254 47282	   	191.67	DCR|2ASPD|1VULN|1AART|1DMG|1ZMB	1TLV|2LIT|3MBVNT|4ZMB|5VULN|6RCR|7AART|8aASPD|9DMG
68	14323 41212	 * 	191.65	DCR|2DMG|1AART|2CDMG|1ASPD	1RPLT|2AART|39CDMG|4RMIN|5AIRARM|6RCR|79ERES|89DMG|9BPWR|aASPD
69	23313 36431	   	191.63	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR|1SELL	1LWND|2ASPD|3RPLT|4CDMG|5SELL|6RCR|7DMG|8VULN|9DUR|aAART
70	53313 36431	   	191.63	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1DUR|1SELL	1LHND|2ASPD|3RPLT|4CDMG|5SELL|6RCR|7DMG|8VULN|9DUR|aAART
71	15534 31323	   	191.54	DCR|4VULN|1CDMG|2ZMB	1RPLT|24ZMB|349aVULN|4BPWR|5AME|6RCR|7CDMG|8RMIN
72	15533 31522	   	191.49	DCR|3VULN|1DMG|1CDMG|2ZMB	1RPLT|24ZMB|349VULN|4BPWR|5TLV|6RCR|7CDMG|8DMG|aBEXP
73	62436 23321	   	190.83	ACR|4VULN|3ASPD|1DUR	189DUST|2RCR|3DUR|489aVULN|5BELT|6RCVC|789ASPD|89BPWR
74	15513 32432	   	190.26	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB|1SELL	1RPLT|2ZMB|38VULN|4CDMG|5SELL|6RCR|7CGEN|9ASPD|aDMG
75	23313 36443	   	190.26	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB|1SELL	1LWND|2ASPD|3RPLT|4CDMG|5SELL|6RCR|7DMG|89VULN|aZMB
76	23163 53251	 * 	189.90	DCR|2AART|2ASPD|1VULN|1CDMG	1LWND|25ASPD|3aAART|45BEXP|5BPWR|6LIT|7VULN|8RCR|9CDMG
77	42251 11111	   	189.88	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1LIT|2FEWX|3MLV|4AART|5DUR|6ASPD|7RCR|8DMG|9VULN|aCDMG
78	44511 11111	   	189.88	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1LIT|2AART|3CGEN|4LHND|5DUR|6ASPD|7RCR|8DMG|9VULN|aCDMG
79	44522 11121	   	189.88	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1LIT|2AART|3CGEN|4DUR|5VULN|6ASPD|7RCR|8DMG|9LHND|aCDMG
80	44522 11131	   	189.88	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1DUR	1LIT|2AART|3CGEN|4DUR|5VULN|6ASPD|7RCR|8DMG|9BEXP|aCDMG
81	23164 13251	   	189.80	DCR|2AART|2ASPD|1VULN|1CDMG	1LWND|26ASPD|3aAART|4BEXP|5LIT|7VULN|8RCR|9CDMG
82	23154 21111	   	189.78	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1LWND|2ASPD|3AART|4DUR|5LIT|6TLV|7RCR|8DMG|9VULN|aCDMG
83	44131 11111	   	189.78	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1LIT|2AART|3FEWX|4ERES|5DUR|6ASPD|7RCR|8DMG|9VULN|aCDMG
84	44211 11111	   	189.78	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1LIT|2AART|3ERES|4LHND|5DUR|6ASPD|7RCR|8DMG|9VULN|aCDMG
85	44222 11121	   	189.78	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1LIT|2AART|3ERES|4DUR|5VULN|6ASPD|7RCR|8DMG|9LHND|aCDMG
86	44222 11131	   	189.78	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1LIT|2AART|3ERES|4DUR|5VULN|6ASPD|7RCR|8DMG|9BEXP|aCDMG
87	44222 11411	   	189.78	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1LIT|2AART|3ERES|4DUR|5VULN|6ASPD|7RCR|8LWND|9DMG|aCDMG
88	44222 11511	   	189.78	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1LIT|2AART|3ERES|4DUR|5VULN|6ASPD|7RCR|8FEWX|9DMG|aCDMG
89	44222 11611	   	189.78	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1LIT|2AART|3ERES|4DUR|5VULN|6ASPD|7RCR|8LHND|9DMG|aCDMG
90	53154 21111	   	189.78	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1LHND|2ASPD|3AART|4DUR|5LIT|6TLV|7RCR|8DMG|9VULN|aCDMG
91	15533 31431	 * 	189.73	DCR|2VULN|3ZMB|1AART|1CDMG	1RPLT|24aZMB|34VULN|4BPWR|59TLV|6RCR|7CDMG|8AART
92	33254 47161	   	189.71	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB	1TLV|2LIT|3MBVNT|4ZMB|5VULN|6RCR|7aAART|8DMG|9CDMG
93	33254 47261	   	189.71	DCR|2AART|1VULN|1ASPD|1CDMG|1ZMB	1TLV|2LIT|3MBVNT|4ZMB|5VULN|6RCR|7aAART|8ASPD|9CDMG
94	23151 43342	 * 	189.69	DCR|1VULN|1AART|1ASPD|1DMG|1NUKE|1DUR	1LWND|2ASPD|3AART|4DUR|5FEWX|6DMG|7VULN|8BELT|9RCR|aNUKE
95	23156 33342	   	189.69	DCR|1VULN|1AART|1ASPD|1DMG|1NUKE|1DUR	1LWND|2ASPD|3AART|4DUR|5DMG|6BEXP|7VULN|8BELT|9RCR|aNUKE
96	44331 11111	   	189.68	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1LIT|2AART|3LEGI|4ERES|5DUR|6ASPD|7RCR|8DMG|9VULN|aCDMG
97	44222 11151	   	189.68	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1LIT|2AART|3ERES|4DUR|5VULN|6ASPD|7RCR|8DMG|9MBVNT|aCDMG
98	44222 11161	   	189.68	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1LIT|2AART|3ERES|4DUR|5VULN|6ASPD|7RCR|8DMG|9DUST|aCDMG
99	63154 21111	   	189.68	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DUST|2ASPD|3AART|4DUR|5LIT|6TLV|7RCR|8DMG|9VULN|aCDMG
100	44322 36231	   	189.63	DCR|2VULN|2DMG|1AART|1DUR	17LIT|2AART|3LEGI|49BEXP|57VULN|67DMG|7BPWR|8RCR|aDUR
101	23156 23342	   	189.59	DCR|1VULN|1AART|1ASPD|1DMG|1NUKE|1DUR	1LWND|2ASPD|3AART|4DUR|5DMG|6DUST|7VULN|8BELT|9RCR|aNUKE
102	33321 64512	 * 	189.58	DCR|3VULN|1AART|1NUKE|1DUR	1TLV|2LIT|345VULN|6MBVNT|7AART|8RCR|9DUR|aNUKE
103	23151 41352	   	189.21	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1LWND|2ASPD|3AART|4DUR|5FEWX|6aDMG|7CGEN|8RCR|9VULN
104	23156 31352	   	189.21	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1LWND|2ASPD|3AART|4DUR|5aDMG|6BEXP|7CGEN|8RCR|9VULN
105	23156 21352	   	189.11	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1LWND|2ASPD|3AART|4DUR|5aDMG|6DUST|7CGEN|8RCR|9VULN
106	33111 31421	 * 	188.92	DCR|3VULN|1MDPS|1ASPD|1DMG	1TLV|2LIT|3ERES|4ASPD|589VULN|6DMG|7RCR|aMDPS
107	23643 61111	   	188.51	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG	1LWND|2ASPD|3RMIN|4LIT|5FEWX|6AART|7RCR|8DMG|9VULN|aCDMG
108	15533 31353	   	188.46	DCR|4VULN|1CDMG|2ZMB	1RPLT|24ZMB|349aVULN|4BPWR|5TLV|6RCR|7CDMG|8RCVC
109	44313 11121	   	188.41	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG	1LIT|2AART|3LEGI|4RMIN|5VULN|6ASPD|7RCR|8DMG|9LHND|aCDMG
110	44313 11131	   	188.41	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG	1LIT|2AART|3LEGI|4RMIN|5VULN|6ASPD|7RCR|8DMG|9BEXP|aCDMG
111	44313 11411	   	188.41	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG	1LIT|2AART|3LEGI|4RMIN|5VULN|6ASPD|7RCR|8LWND|9DMG|aCDMG
112	44313 11511	   	188.41	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG	1LIT|2AART|3LEGI|4RMIN|5VULN|6ASPD|7RCR|8FEWX|9DMG|aCDMG
113	53324 64443	   	188.41	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB	1LHND|2ASPD|3RPLT|4DMG|5MBVNT|68VULN|7RCR|9CDMG|aZMB
114	44313 11151	   	188.31	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG	1LIT|2AART|3LEGI|4RMIN|5VULN|6ASPD|7RCR|8DMG|9MBVNT|aCDMG
115	44313 11161	   	188.31	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG	1LIT|2AART|3LEGI|4RMIN|5VULN|6ASPD|7RCR|8DMG|9DUST|aCDMG
116	13214 21651	   	188.29	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1RPLT|24LWND|34VULN|4BPWR|5CDMG|6LIT|7DUR|8RCR|9DMG|aAART
117	63133 56211	   	188.16	DCR|2VULN|2ASPD|1AART|1DUR	1DUST|25ASPD|3AART|45LWND|5BPWR|6LIT|7RCR|89VULN|aDUR
118	33225 16383	   	188.08	DCR|3VULN|1DMG|1CDMG|1ZMB	1TLV|2LIT|3MBVNT|47aVULN|5CDMG|6RCR|8ZMB|9DMG
119	63134 16211	   	188.06	DCR|2VULN|2ASPD|1AART|1DUR	1DUST|26ASPD|3AART|4LWND|5LIT|7RCR|89VULN|aDUR
120	24213 36622	   	188.01	DCR|3VULN|1ASPD|1CDMG|1ZMB	1LWND|2RCVC|3CGEN|457VULN|6ASPD|8RCR|9ZMB|aCDMG
121	42251 13214	   	188.01	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1LIT|2FEWX|3MLV|4AART|5DUR|6ASPD|7DMG|89VULN|aRCR
122	42253 13214	   	188.01	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1LIT|2FEWX|3MLV|4AART|58VULN|6ASPD|7DMG|9DUR|aRCR
123	33225 16711	 * 	188.01	DCR|2VULN|2AART|1CDMG|1DUR	1TLV|2LIT|3MBVNT|47VULN|5CDMG|6RCR|8DUR|9aAART
124	23324 64433	   	187.96	DCR|3VULN|1ASPD|1DMG|1DUR	1LWND|2ASPD|3RPLT|4DMG|5MBVNT|68aVULN|7RCR|9DUR
125	53324 64433	   	187.96	DCR|3VULN|1ASPD|1DMG|1DUR	1LHND|2ASPD|3RPLT|4DMG|5MBVNT|68aVULN|7RCR|9DUR
126	23154 23114	   	187.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1LWND|2ASPD|3AART|4DUR|5LIT|6TLV|79VULN|8DMG|aRCR
127	33352 51114	   	187.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1TLV|2LIT|39VULN|4DUR|5BEXP|6AART|7ASPD|8DMG|aRCR
128	44131 13214	   	187.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1LIT|2AART|3FEWX|4ERES|5DUR|6ASPD|7DMG|89VULN|aRCR
129	44133 13214	   	187.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1LIT|2AART|3FEWX|4ERES|58VULN|6ASPD|7DMG|9DUR|aRCR
130	44211 13114	   	187.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1LIT|2AART|3ERES|4LHND|5DUR|6ASPD|79VULN|8DMG|aRCR
131	44222 12114	   	187.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1LIT|2AART|3ERES|4DUR|59VULN|6ASPD|7FEWX|8DMG|aRCR
132	23314 14631	   	187.88	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1LWND|2ASPD|3RPLT|4CDMG|5VULN|6DMG|7CGEN|8RCR|9AART|aDUR
133	33324 36142	 * 	187.87	DCR|3VULN|2ASPD|1DMG	1TLV|2LIT|349VULN|57ASPD|6SPLJET|8DMG|aRCR
134	33111 31422	   	187.86	DCR|3VULN|1ASPD|1DMG|1DUR	1TLV|2LIT|3ERES|4ASPD|589VULN|6DMG|7RCR|aDUR
135	14323 41233	   	187.83	DCR|2DMG|1VULN|1AART|1CDMG	1RPLT|2AART|3CDMG|4RMIN|5AIRARM|6RCR|7ERES|89DMG|aVULN
136	33351 51114	   	187.81	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1TLV|2LIT|39VULN|4DUR|5DUST|6AART|7ASPD|8DMG|aRCR
137	44222 21114	   	187.81	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1LIT|2AART|3ERES|4DUR|59VULN|6DUST|7ASPD|8DMG|aRCR
138	44331 13114	   	187.81	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1LIT|2AART|3LEGI|4ERES|5DUR|6ASPD|79VULN|8DMG|aRCR
139	23163 11163	 * 	187.80	DCR|2AART|1MDPS|2ASPD|1VULN|1CDMG	1LWND|25ASPD|3aAART|45BEXP|5BPWR|6MDPS|7CDMG|8VULN|9RCR
140	53163 11163	   	187.80	DCR|2AART|1MDPS|2ASPD|1VULN|1CDMG	1LHND|25ASPD|3aAART|45BEXP|5BPWR|6MDPS|7CDMG|8VULN|9RCR
141	23314 16631	   	187.78	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1LWND|2ASPD|3RPLT|4CDMG|5VULN|6DMG|7ERES|8RCR|9AART|aDUR
142	23324 64432	   	187.72	DCR|2VULN|2DMG|1ASPD|1DUR	1LWND|2ASPD|3RPLT|4aDMG|5MBVNT|68VULN|7RCR|9DUR
143	53324 64432	   	187.72	DCR|2VULN|2DMG|1ASPD|1DUR	1LHND|2ASPD|3RPLT|4aDMG|5MBVNT|68VULN|7RCR|9DUR
144	63163 11163	   	187.70	DCR|2AART|1MDPS|2ASPD|1VULN|1CDMG	1DUST|25ASPD|3aAART|45BEXP|5BPWR|6MDPS|7CDMG|8VULN|9RCR
145	33225 83712	   	187.68	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1TLV|2LIT|3MBVNT|4VULN|5CDMG|6ASPD|7DMG|8RCR|9AART|aDUR
146	23153 53114	   	187.51	DCR|2VULN|2ASPD|1AART|2DUR	1LWND|25ASPD|3AART|45DUR|5BPWR|6LIT|79VULN|8BEXP|aRCR
147	23153 53224	   	187.51	DCR|2VULN|2ASPD|1AART|2DUR	1LWND|25ASPD|3AART|45DUR|5BPWR|6LIT|78VULN|9BEXP|aRCR
148	23153 53314	   	187.51	DCR|2VULN|2ASPD|1AART|2DUR	1LWND|25ASPD|3AART|45DUR|5BPWR|6LIT|79VULN|8FEWX|aRCR
149	13216 45221	   	187.44	DCR|4VULN|1AART|1ZMB|1SELL	1RPLT|24LWND|3459VULN|4BPWR|6SELL|7ZMB|8RCR|aAART
150	23153 51214	   	187.41	DCR|2VULN|2ASPD|1AART|2DUR	1LWND|25ASPD|3AART|45DUR|5BPWR|6LIT|7DUST|89VULN|aRCR
151	23163 53214	 * 	187.32	DCR|2VULN|1MDPS|2ASPD|1AART	1LWND|25ASPD|3AART|45BEXP|5BPWR|6LIT|79VULN|8RCR|aMDPS
152	15533 31123	   	187.28	DCR|4VULN|1CDMG|2ZMB	1RPLT|24ZMB|349aVULN|4BPWR|5TLV|6RCR|7CDMG|8AME
