0	Index      	 *	Score 	Summary	Detail	
1	63622 22333	 * 	220.55	DCR|3VULN|3DMG|1ASPD|2DUR	17DUR|2DUST|357VULN|478DMG|6LEGI|7BPWR|9ASPD|aRCR
80	11263 26623	   	191.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	16LWND|2AART|3DUR|4DMG|59VULN|7ASPD|8RCR|aDUST
81	11353 15412	   	191.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1LWND|2AART|3DMG|4DUST|5aVULN|6DUR|7LIT|8RCR|9ASPD
82	11233 27172	 * 	191.81	DCR|2AART|2DMG|1ASPD|3DUR	1LWND|27AART|36aDUR|4MBVNT|56DMG|6BPWR|8RCR|9ASPD
83	15333 27172	   	191.81	DCR|2AART|2DMG|1ASPD|3DUR	1LWND|26aDUR|37AART|4MBVNT|56DMG|6BPWR|8RCR|9ASPD
84	65133 82433	   	191.68	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1AAC|1DUR	1DUR|2AART|3FEWX|4MBVNT|5DMG|6RCR|7CDMG|8AAC|9VULN|aASPD
85	11351 43211	   	191.63	DCR|2VULN|2DMG|1AART|1DUR	18LWND|2AART|38DMG|4DUST|5LIT|68VULN|7RCR|8BPWR|9DUR|aRCVC
86	11351 43212	   	191.63	DCR|2VULN|2DMG|1AART|1DUR	18LWND|2AART|38DMG|4DUST|5LIT|68VULN|7RCR|8BPWR|9DUR|aLHND
87	11351 43215	   	191.63	DCR|2VULN|2DMG|1AART|1DUR	18LWND|2AART|38DMG|4DUST|5LIT|68VULN|7RCR|8BPWR|9DUR|aBEXP
88	11233 81546	   	191.60	DCR|2AART|1VULN|1ASPD|1DMG|1DUR	17LWND|2aAART|3DUR|4MBVNT|5DMG|6RCR|8VULN|9ASPD
89	11351 43213	   	191.53	DCR|2VULN|2DMG|1AART|1DUR	18LWND|2AART|38DMG|4aDUST|5LIT|68VULN|7RCR|8BPWR|9DUR
90	11351 43231	   	191.53	DCR|2VULN|2DMG|1AART|1DUR	18LWND|2AART|38DMG|4DUST|5LIT|68VULN|7RCR|8BPWR|9ERES|aDUR
91	65332 51331	 * 	191.24	DCR|3ASPD|1AART|1DMG|1CDMG|1DUR	1DUR|2AART|3CDMG|4DMG|59aASPD|6LIT|7FEWX|8RCR
92	11161 43621	   	191.21	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1LWND|2AART|3FEWX|48DMG|5LIT|6VULN|7RCR|9ASPD|aDUR
93	11233 35388	   	191.11	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1LWND|2AART|3DUR|4MBVNT|59DMG|6ASPD|7RCR|8DMSP|aVULN
94	11351 43621	   	191.11	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1LWND|2AART|38DMG|4DUST|5LIT|6VULN|7RCR|9ASPD|aDUR
95	65226 21213	 * 	190.92	DCR|1MDPS|1VULN|1AART|1ASPD|1DMG|1CDMG|2DUR	13DUR|2AART|4DMG|5ERES|6MDPS|7CDMG|8VULN|9RCR|aASPD
