0	Index      	 *	Score 	Summary	Detail	
1	42321 51263	 * 	212.89	DCR|3DMG|2VULN|1AART|2DUR	126DMG|29BPWR|39DUR|4DLOT|5RCVC|79VULN|8RCR|aAART
22	53323 72318	   	199.14	DCR|3DMG|1VULN|1ASPD|1CDMG|1DUR	1DUR|2MBVNT|3CANARM|458DMG|6VULN|7RCR|9ASPD|aCDMG
23	53214 38228	   	198.05	DCR|2VULN|2DMG|1ASPD|1ZMB|1DUR	1DUR|2MBVNT|39DMG|46VULN|5CGEN|7RCR|8ZMB|aASPD
24	42433 26132	   	197.60	DCR|3DMG|2VULN|1CDMG|1SPLREG	124DMG|2BPWR|3RCVC|5MLV|67VULN|8CDMG|9RCR|aSPLREG
25	42136 21324	 * 	197.16	DCR|3DMG|2VULN|1ASPD	129DMG|29BPWR|3TLV|49CGEN|5MLV|6RCR|7BASFIG|89VULN|aASPD
26	42333 31124	   	197.14	DCR|3VULN|3DMG|1DUR	125DMG|2BPWR|3DUR|4CGEN|68aVULN|7DUST|9RCR
27	42132 21324	   	197.06	DCR|3DMG|2VULN|1ASPD	129DMG|29BPWR|3TLV|49CGEN|5ERES|6RCR|7BASFIG|89VULN|aASPD
28	42214 33225	   	197.06	DCR|3DMG|2VULN|2ZMB|1DUR	129DMG|2aBPWR|3aCGEN|4aZMB|5DUST|6DUR|7RCR|8aVULN
29	16363 25122	   	196.92	DCR|3VULN|1AART|1DMG|1AAC|2ZMB	1AAC|26ZMB|349VULN|5DMG|7RCR|8LIT|aAART
30	53171 44138	 * 	196.92	DCR|3VULN|2CDMG|1DMG|2DUR	18DUR|2MBVNT|38CDMG|4CANARM|5LHND|68aVULN|7RCR|8BPWR|9DMG
31	42114 33125	   	196.86	DCR|3DMG|2VULN|2ZMB|1DUR	129DMG|2aBPWR|3aTLV|4aZMB|5DUST|6DUR|7RCR|8aVULN
32	53572 23343	   	196.48	DCR|2VULN|1AART|1DMG|3DUR|1ZMB	135DUR|2MBVNT|45VULN|5BPWR|6RCR|7DMG|8ERES|9AART|aZMB
33	12311 35313	   	196.36	DCR|3DMG|1VULN|1AART|1ASPD|1AAC	1AAC|2MSLFST|346DMG|5ASPD|7AELBLL|8RCR|9AART|aVULN
34	43122 31264	 * 	195.73	DCR|2VULN|2DMG|2ASPD|1AAC	1aDMG|2AAC|3aAME|4DLOT|5FEWX|6RCR|79VULN|8aASPD|aBPWR
35	53572 23344	 * 	195.50	DCR|2VULN|1MDPS|1AART|1DMG|3DUR	135DUR|2MBVNT|45VULN|5BPWR|6RCR|7DMG|8ERES|9AART|aMDPS
36	45124 21111	   	195.36	DCR|2VULN|2DMG|1AART|1ZMB	19DMG|25VULN|3DUST|4LIT|6RCR|7TSLFST|8AART|aZMB
37	45521 33332	   	195.26	DCR|2DMG|1VULN|1ASPD|1CDMG|2DUR|1ZMB	1aDMG|2VULN|3RPLT|4ASPD|5CDMG|68DUR|7ZMB|9RCR
38	33772 26431	 * 	195.21	DCR|5VULN|1AART	135DUST|2MBVNT|4579aVULN|5BPWR|6RCR|8AART
39	12311 15362	   	194.94	DCR|2DMG|1AART|1VULN|1ASPD|1AAC|1ZMB	1AAC|2MSLFST|34DMG|5ASPD|6RCR|7ERES|8VULN|9AART|aZMB
40	12311 11113	   	194.86	DCR|2VULN|2DMG|1ASPD|2DUR|1AAC	1AAC|2MSLFST|34DMG|5ASPD|6RCR|79DUR|8aVULN
41	53423 41164	   	194.56	DCR|2DMG|1VULN|1AART|1ASPD|2DUR	1aDUR|2MBVNT|3BELT|4aDMG|5VULN|6ASPD|7aAME|8RCR|9AART|aBPWR
42	42313 25432	   	194.47	DCR|2AART|2DMG|1VULN|2DUR	12DMG|2BPWR|39DUR|4LIT|5LHND|6RCR|7aAART|8VULN
43	42313 25226	   	194.25	DCR|3DMG|1VULN|1AART|2DUR	128DMG|28BPWR|39DUR|48LIT|58LHND|6RCR|7AART|aVULN
44	42615 33221	   	194.02	DCR|2DMG|1VULN|1ASPD|1CDMG|1ZMB|1DUR	12DMG|2BPWR|3RMIN|4ZMB|5LWND|6DUR|7RCR|8CDMG|9ASPD|aVULN
45	42624 33221	   	194.02	DCR|2DMG|1VULN|1ASPD|1CDMG|1ZMB|1DUR	12DMG|2BPWR|3RMIN|4BEXP|5ZMB|6DUR|7RCR|8CDMG|9ASPD|aVULN
46	55133 23163	   	194.02	DCR|2DMG|1VULN|1ASPD|1CDMG|1ZMB|1DUR	1DUR|2FEWX|3CDMG|4LHND|56DMG|7RCR|8ASPD|9VULN|aZMB
47	42224 33225	   	193.94	DCR|3DMG|2VULN|1ZMB|1DUR	129DMG|2aBPWR|3aCGEN|4aBEXP|5ZMB|6DUR|7RCR|8aVULN
48	55123 23163	   	193.92	DCR|2DMG|1VULN|1ASPD|1CDMG|1ZMB|1DUR	1DUR|2FEWX|3CDMG|4LEGI|56DMG|7RCR|8ASPD|9VULN|aZMB
49	42124 33221	   	193.92	DCR|2DMG|1VULN|1ASPD|1CDMG|1ZMB|1DUR	12DMG|2BPWR|3TLV|4BEXP|5ZMB|6DUR|7RCR|8CDMG|9ASPD|aVULN
50	42614 33221	   	193.92	DCR|2DMG|1VULN|1ASPD|1CDMG|1ZMB|1DUR	12DMG|2BPWR|3RMIN|4ZMB|5DUST|6DUR|7RCR|8CDMG|9ASPD|aVULN
51	42114 33221	   	193.82	DCR|2DMG|1VULN|1ASPD|1CDMG|1ZMB|1DUR	12DMG|2BPWR|3TLV|4ZMB|5DUST|6DUR|7RCR|8CDMG|9ASPD|aVULN
52	42144 33221	   	193.82	DCR|2DMG|1VULN|1ASPD|1CDMG|1ZMB|1DUR	12DMG|2BPWR|3TLV|4DUST|5ZMB|6DUR|7RCR|8CDMG|9ASPD|aVULN
53	42124 33125	   	193.74	DCR|3DMG|2VULN|1ZMB|1DUR	129DMG|2aBPWR|3aTLV|4aBEXP|5ZMB|6DUR|7RCR|8aVULN
54	53262 28224	   	193.74	DCR|3DMG|2VULN|1ZMB|1DUR	1DUR|2MBVNT|359DMG|45CGEN|5BPWR|6aVULN|7RCR|8ZMB
55	45123 23153	   	193.53	DCR|2VULN|2DMG|1AART|1DUR	15DMG|29VULN|3DUST|45LIT|5BPWR|6RCR|7AME|8AART|aDUR
56	45423 23113	   	193.31	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	15DMG|2VULN|3DUR|45LIT|5BPWR|6RCR|7AME|8AART|9RMIN|aASPD
57	45423 22113	   	193.21	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	15DMG|2VULN|3DUR|45LIT|5BPWR|6RCR|7TLV|8AART|9RMIN|aASPD
58	45423 23313	   	193.21	DCR|2DMG|1AART|1VULN|1ASPD|1AAC|1DUR	15DMG|2VULN|3DUR|45LIT|5BPWR|6RCR|7AME|8AAC|9AART|aASPD
59	33624 51213	   	193.20	DCR|2VULN|2AART|2DMG	18DUST|2MBVNT|3BELT|48DMG|58VULN|67AART|8BPWR|9RMIN|aRCR
60	23531 83374	 * 	193.15	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG	1MLV|2CDMG|3MBVNT|4LIT|58VULN|6RCR|7AART|9ASPD|aMDPS
61	23531 83474	 * 	193.15	DCR|2VULN|1MDPS|1AART|1DMG|1CDMG	1MLV|2CDMG|3MBVNT|4LIT|59VULN|6RCR|7AART|8DMG|aMDPS
62	45423 22313	   	193.11	DCR|2DMG|1AART|1VULN|1ASPD|1AAC|1DUR	15DMG|2VULN|3DUR|45LIT|5BPWR|6RCR|7TLV|8AAC|9AART|aASPD
63	43353 33333	   	192.96	DCR|3DMG|2VULN|1ASPD|1AAC	145DMG|2AAC|36VULN|7DLOT|8RCR|9LIT|aASPD
64	13246 62313	   	192.96	DCR|2VULN|2DMG|1ASPD|2DUR|1AAC	1AAC|29DUR|3SPLJET|48DMG|5ASPD|6aVULN|7RCR
65	53231 33188	   	192.96	DCR|2VULN|2DMG|1ASPD|2DUR	16DUR|2MBVNT|35DMG|4BEXP|7RCR|89VULN|aASPD
66	12311 11156	   	192.91	DCR|2DMG|1AART|1VULN|1ASPD|1AAC|1DUR	1AAC|2MSLFST|34DMG|5ASPD|6RCR|7DUR|8VULN|9ERES|aAART
67	33271 33188	   	192.86	DCR|2VULN|2DMG|1ASPD|2DUR	1DUST|2MBVNT|35DMG|46DUR|7RCR|89VULN|aASPD
68	53221 33188	   	192.86	DCR|2VULN|2DMG|1ASPD|2DUR	16DUR|2MBVNT|35DMG|4DUST|7RCR|89VULN|aASPD
69	45521 33233	   	192.71	DCR|2VULN|1ASPD|1DMG|1CDMG|1AAC|1ZMB|1DUR	1DMG|2aVULN|3RPLT|4ASPD|5CDMG|6DUR|7ZMB|8AAC|9RCR
70	53423 52213	   	192.48	DCR|2VULN|2DMG|1AART|2DUR	18DUR|2MBVNT|3BELT|48DMG|58VULN|6AART|7RCVC|8BPWR|9RMIN|aRCR
71	23531 83372	   	192.09	DCR|2VULN|1AART|1ASPD|1CDMG|1DUR	1MLV|2CDMG|3MBVNT|4LIT|58VULN|6RCR|7AART|9ASPD|aDUR
72	23531 83472	   	192.09	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1MLV|2CDMG|3MBVNT|4LIT|59VULN|6RCR|7AART|8DMG|aDUR
73	23543 31745	   	191.99	DCR|3VULN|2DMG|1CDMG|1AAC	1aMLV|2CDMG|3MBVNT|4aDMG|5RCVC|68aVULN|7AAC|9RCR|aBPWR
74	53462 24228	   	191.91	DCR|2VULN|2DMG|1ASPD|2DUR	1aDUR|2MBVNT|3BELT|4aVULN|5LWND|6ASPD|7aDMG|8RCR|9RCVC|aBPWR
75	53143 61128	 * 	191.70	DCR|2DMG|2ASPD|1VULN|1CDMG|1DUR	1DUR|2MBVNT|3CDMG|4ERES|59ASPD|68DMG|7VULN|aRCR
76	53423 41166	 * 	191.59	DCR|1VULN|1AART|1ASPD|1DMG|1NUKE|1DUR	1DUR|2MBVNT|3BELT|4DMG|5VULN|6ASPD|7AME|8RCR|9AART|aNUKE
77	42241 33143	 * 	191.33	DCR|2VULN|2DMG|1MDPS|1AART|1DUR	12DMG|2BPWR|3CGEN|4DUST|5MDPS|68VULN|7RCR|9DUR|aAART
78	63215 22136	 * 	191.33	DCR|3VULN|1MDPS|2DMG|1CDMG	1MDPS|2MSLFST|3CDMG|4MLV|57aVULN|69DMG|8RCR
79	42345 13133	   	191.23	DCR|2VULN|2DMG|1MDPS|1AART|1DUR	12DMG|2BPWR|3DUR|4DUST|5MDPS|6ERES|7RCR|89VULN|aAART
80	42352 13133	   	191.23	DCR|2VULN|2DMG|1MDPS|1AART|1DUR	12DMG|2BPWR|3DUR|4MDPS|5DUST|6ERES|7RCR|89VULN|aAART
81	63263 22136	   	191.23	DCR|3VULN|1MDPS|2DMG|1CDMG	1MDPS|2MSLFST|3CDMG|47aVULN|5ERES|69DMG|8RCR
82	42323 55221	   	191.22	DCR|2VULN|2DMG|1ASPD|1DUR	12DMG|2BPWR|3DUR|4DLOT|5MSLFST|6RCR|7RCVC|89VULN|aASPD
83	53443 44165	 * 	191.21	DCR|3DMG|2ASPD|1VULN|1DUR	1DUR|2MBVNT|3BELT|46ASPD|5VULN|789DMG|aRCR
84	53443 81164	 * 	191.19	DCR|2ASPD|1VULN|1AART|1DMG|2DUR	1aDUR|2MBVNT|3BELT|4aASPD|5VULN|6DMG|7aAME|8RCR|9AART|aBPWR
85	53422 43244	   	191.16	DCR|2VULN|2DMG|1ASPD|2DUR	1aDUR|2MBVNT|3BELT|4aDMG|5FEWX|6ASPD|7aVULN|8RCR|9RMIN|aBPWR
86	13246 42313	   	191.11	DCR|2DMG|1VULN|1AART|1ASPD|1AAC|1DUR	1AAC|2DUR|3SPLJET|48DMG|5ASPD|6BEXP|7RCR|9AART|aVULN
87	13251 22313	   	191.11	DCR|2DMG|1VULN|1AART|1ASPD|1AAC|1DUR	1AAC|2DUR|3SPLJET|4BEXP|5ASPD|68DMG|7RCR|9AART|aVULN
88	51251 22313	   	191.11	DCR|2DMG|1VULN|1AART|1ASPD|1AAC|1DUR	1DUR|2AAC|3SPLJET|4BEXP|5ASPD|68DMG|7RCR|9AART|aVULN
89	53463 24244	   	191.06	DCR|2VULN|2DMG|1ASPD|2DUR	1aDUR|2MBVNT|3BELT|4aVULN|5DUST|6ASPD|7aDMG|8RCR|9RMIN|aBPWR
90	53464 14244	   	191.06	DCR|2VULN|2DMG|1ASPD|2DUR	1aDUR|2MBVNT|3BELT|4aVULN|5ASPD|6DUST|7aDMG|8RCR|9RMIN|aBPWR
91	43353 33363	   	191.06	DCR|3VULN|3DMG|1AAC	145DMG|2AAC|369VULN|7DLOT|8RCR|aRCVC
92	12451 22313	   	191.01	DCR|2DMG|1VULN|1AART|1ASPD|1AAC|1DUR	1AAC|2MSLFST|3DUR|4BEXP|5ASPD|68DMG|7RCR|9AART|aVULN
93	53254 74211	   	191.01	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1DUR|2MBVNT|39DMG|4ERES|5AART|6ASPD|7RCR|8FEWX|aVULN
94	53321 21473	   	191.01	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1DUR|2MBVNT|3CANARM|46DMG|5ASPD|7RCR|8MLV|9AART|aVULN
95	53211 42628	   	191.01	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1DUR|2MBVNT|35DMG|4VULN|6MULFIG|7RCR|8ERES|9ASPD|aAART
96	33234 74111	   	190.91	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1DUST|2MBVNT|39DMG|4ERES|5AART|6ASPD|7RCR|8DUR|aVULN
97	53321 21173	   	190.91	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1DUR|2MBVNT|3CANARM|46DMG|5ASPD|7RCR|8TLV|9AART|aVULN
98	43353 33361	   	190.73	DCR|3VULN|3DMG|1AAC	145DMG|2AAC|369VULN|7DLOT|8RCR|aRPLT
99	33383 72318	   	190.73	DCR|3DMG|1VULN|1ASPD|1CDMG	1DUST|2MBVNT|3CANARM|458DMG|6VULN|7RCR|9ASPD|aCDMG
100	42433 26131	   	190.66	DCR|3DMG|2VULN|1CDMG	124DMG|2BPWR|3RCVC|5MLV|67VULN|8CDMG|9RCR|aAELBLL
101	43353 33362	   	190.63	DCR|3VULN|3DMG|1AAC|1MSE	145DMG|2AAC|369VULN|7DLOT|8RCR|aMSE
102	42433 26133	   	190.56	DCR|3DMG|2VULN|1CDMG	124DMG|2BPWR|3RCVC|5MLV|67VULN|8CDMG|9RCR|aBASFIG
103	45433 22312	 * 	190.55	DCR|3VULN|1DMG|3DUR|1CDMG	1DMG|26aVULN|357DUR|4AME|8CDMG|9RCR
104	63215 22126	 * 	190.50	DCR|1SPLARM|2VULN|1MDPS|1ASPD|1DMG|1CDMG	1MDPS|2MSLFST|3CDMG|4MLV|57VULN|6DMG|8RCR|9SPLARM|aASPD
105	63262 22126	   	190.50	DCR|1SPLARM|2VULN|1MDPS|1ASPD|1DMG|1CDMG	1MDPS|2MSLFST|3CDMG|47VULN|5CGEN|6DMG|8RCR|9SPLARM|aASPD
106	63263 22126	   	190.40	DCR|1SPLARM|2VULN|1MDPS|1ASPD|1DMG|1CDMG	1MDPS|2MSLFST|3CDMG|47VULN|5ERES|6DMG|8RCR|9SPLARM|aASPD
107	63215 34132	 * 	190.19	DCR|2VULN|1MDPS|2ASPD|1DMG|1CDMG	1MDPS|2MSLFST|3CDMG|4MLV|56VULN|7aASPD|8RCR|9DMG
108	63262 34132	   	190.19	DCR|2VULN|1MDPS|2ASPD|1DMG|1CDMG	1MDPS|2MSLFST|3CDMG|46VULN|5CGEN|7aASPD|8RCR|9DMG
109	63265 32132	   	190.19	DCR|2VULN|1MDPS|2ASPD|1DMG|1CDMG	1MDPS|2MSLFST|3CDMG|46VULN|5aASPD|7CGEN|8RCR|9DMG
110	12311 11115	   	190.13	DCR|3DMG|1VULN|1ASPD|2DUR|1AAC	1AAC|2MSLFST|34aDMG|5ASPD|6RCR|79DUR|8VULN
111	63263 34132	   	190.09	DCR|2VULN|1MDPS|2ASPD|1DMG|1CDMG	1MDPS|2MSLFST|3CDMG|46VULN|5ERES|7aASPD|8RCR|9DMG
112	53141 83841	 * 	190.06	DCR|2VULN|2ASPD|2CDMG|1DUR	1DUR|2MBVNT|3aCDMG|4ERES|5LHND|6RCR|7aVULN|8CGEN|9aASPD|aBPWR
113	13241 41622	 * 	189.78	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1AAC|1DUR	1AAC|2DUR|3SPLJET|4DMG|5MULFIG|6CDMG|7RCR|8VULN|9ASPD|aAART
114	45423 21231	   	189.72	DCR|2VULN|2DMG|1ASPD|1DUR	15DMG|29VULN|3DUR|45LIT|5BPWR|6RCR|7TSLFST|8DUST|aASPD
115	33211 48288	   	189.64	DCR|2VULN|2DMG|1ASPD|1ZMB	1DUST|2MBVNT|35DMG|49VULN|6RMIN|7RCR|8ZMB|aASPD
116	66263 32132	   	189.62	DCR|2VULN|1MDPS|1ASPD|1DMG|1CDMG|2DUR	1MDPS|25DUR|3VENFST|47VULN|6CDMG|8RCR|9DMG|aASPD
117	53214 38318	   	189.59	DCR|2VULN|2ASPD|1DMG|2DUR	18DUR|2MBVNT|3DMG|46VULN|5CGEN|7RCR|9aASPD
118	33234 74151	   	189.58	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DUST|2MBVNT|3DMG|4ERES|5AART|6ASPD|7RCR|8DUR|9VULN|aCDMG
119	33242 28288	   	189.54	DCR|2VULN|2DMG|1ASPD|1ZMB	1DUST|2MBVNT|35DMG|45TLV|5BPWR|69VULN|7RCR|8ZMB|aASPD
120	33143 61178	 * 	189.46	DCR|2VULN|2DMG|1ASPD|1CDMG	1DUST|2MBVNT|3CDMG|4ERES|5ASPD|68DMG|79VULN|aRCR
121	42313 21141	   	189.40	DCR|2DMG|1VULN|1AART|1CDMG|1DUR	12DMG|2BPWR|3DUR|4LIT|5LHND|6RCR|7VENFST|8AART|9CDMG|aVULN
122	45423 23212	   	189.33	DCR|2AART|2DMG|1VULN|1DUR	15DMG|2VULN|3DUR|45LIT|5BPWR|6RCR|7AME|8MLV|9aAART
123	43351 32143	   	189.23	DCR|2VULN|2DMG|1MDPS|1AART|1AAC|1DUR	14DMG|2AAC|36VULN|5MDPS|7DUST|8RCR|9DUR|aAART
124	42313 25412	   	189.23	DCR|2AART|2DMG|1VULN|1DUR	12DMG|2BPWR|3DUR|4LIT|59LHND|6RCR|7aAART|8VULN
125	45423 22212	   	189.23	DCR|2AART|2DMG|1VULN|1DUR	15DMG|2VULN|3DUR|45LIT|5BPWR|6RCR|7TLV|8MLV|9aAART
126	45221 22623	   	189.16	DCR|3DMG|2VULN|1ASPD	156DMG|27VULN|3MSLREG|45MLV|5BPWR|8FEWX|9ASPD|aRCR
127	42321 51262	   	189.11	DCR|3DMG|2VULN|2DUR	126DMG|29BPWR|39DUR|4DLOT|5RCVC|79VULN|8RCR|aLHND
128	45226 21323	   	189.06	DCR|3DMG|2VULN|1ASPD	168DMG|25VULN|3MSLREG|4MLV|7LHND|9ASPD|aRCR
129	53572 22443	   	189.05	DCR|2VULN|1DMG|3DUR|1CDMG|1ZMB	135DUR|2MBVNT|45VULN|5BPWR|6RCR|7LIT|8CDMG|9ZMB|aDMG
130	42313 25236	   	189.00	DCR|3DMG|1VULN|1AART|1DUR	128DMG|28BPWR|3DUR|48LIT|589LHND|6RCR|7AART|aVULN
131	43353 35213	 * 	188.96	DCR|3DMG|2VULN|2AAC|1ASPD	145DMG|28AAC|36VULN|7LHND|9ASPD|aRCR
132	45211 22623	   	188.96	DCR|3DMG|2VULN|1ASPD	156DMG|27VULN|3MSLREG|45ERES|5BPWR|8FEWX|9ASPD|aRCR
133	55133 23111	   	188.93	DCR|2DMG|1VULN|1ASPD|1CDMG|2DUR	19DUR|2FEWX|3CDMG|4LHND|56DMG|7RCR|8ASPD|aVULN
134	56153 23111	   	188.93	DCR|2DMG|1VULN|1ASPD|1CDMG|2DUR	19DUR|2LWND|3CDMG|4LHND|56DMG|7RCR|8ASPD|aVULN
135	45423 23132	   	188.90	DCR|3DMG|1VULN|1AART|1DUR	15aDMG|2VULN|3DUR|45LIT|5BPWR|6RCR|7AME|8AART|9BEXP
136	42533 31124	   	188.83	DCR|3VULN|3DMG	125DMG|2BPWR|3LHND|4CGEN|68aVULN|7DUST|9RCR
137	55123 23111	   	188.83	DCR|2DMG|1VULN|1ASPD|1CDMG|2DUR	19DUR|2FEWX|3CDMG|4LEGI|56DMG|7RCR|8ASPD|aVULN
138	53231 33221	   	188.83	DCR|2DMG|1VULN|1ASPD|1CDMG|2DUR	16DUR|2MBVNT|35DMG|4BEXP|7RCR|8CDMG|9ASPD|aVULN
139	42311 23552	   	188.80	DCR|3DMG|1VULN|1AART|1DUR	12aDMG|2BPWR|3DUR|4LIT|5FEWX|6RCR|7AME|8AART|9VULN
140	42313 21111	   	188.80	DCR|3DMG|1VULN|1AART|1DUR	129DMG|2BPWR|3DUR|4LIT|5LHND|6RCR|7VENFST|8AART|aVULN
141	42313 23152	   	188.80	DCR|3DMG|1VULN|1AART|1DUR	12aDMG|2BPWR|3DUR|4LIT|5LHND|6RCR|7AME|8AART|9VULN
142	45423 21113	   	188.80	DCR|3DMG|1AART|1VULN|1DUR	159DMG|2VULN|3DUR|45LIT|5BPWR|6RCR|7TSLFST|8AART|aBEXP
143	45423 22132	   	188.80	DCR|3DMG|1VULN|1AART|1DUR	15aDMG|2VULN|3DUR|45LIT|5BPWR|6RCR|7TLV|8AART|9BEXP
144	43353 32324	   	188.73	DCR|3VULN|3DMG|1AAC	145DMG|2AAC|36aVULN|7DUST|8BEXP|9RCR
145	33271 33221	   	188.73	DCR|2DMG|1VULN|1ASPD|1CDMG|2DUR	1DUST|2MBVNT|35DMG|46DUR|7RCR|8CDMG|9ASPD|aVULN
146	53221 33221	   	188.73	DCR|2DMG|1VULN|1ASPD|1CDMG|2DUR	16DUR|2MBVNT|35DMG|4DUST|7RCR|8CDMG|9ASPD|aVULN
147	42322 41511	   	188.70	DCR|3DMG|1VULN|1AART|1DUR	129DMG|2BPWR|3DUR|4DLOT|5FEWX|6RCR|7VULN|8LHND|aAART
148	45123 21116	   	188.70	DCR|3DMG|1AART|1VULN|1DUR	159DMG|2VULN|3DUST|45LIT|5BPWR|6RCR|7TSLFST|8AART|aDUR
149	42313 22152	   	188.70	DCR|3DMG|1VULN|1AART|1DUR	12aDMG|2BPWR|3DUR|4LIT|5LHND|6RCR|7TLV|8AART|9VULN
150	42313 25422	   	188.70	DCR|3DMG|1VULN|1AART|1DUR	12aDMG|2BPWR|3DUR|4LIT|5LHND|6RCR|7AART|8VULN|9ERES
151	45423 21112	   	188.70	DCR|3DMG|1AART|1VULN|1DUR|1SELL	159DMG|2VULN|3DUR|45LIT|5BPWR|6RCR|7TSLFST|8AART|aSELL
152	53323 72354	   	188.65	DCR|3DMG|2VULN|2DUR	1aDUR|2MBVNT|3CANARM|458DMG|6aVULN|7RCR|9aLHND|aBPWR
153	53323 72374	   	188.65	DCR|3DMG|2VULN|2DUR	1aDUR|2MBVNT|3CANARM|458DMG|6aVULN|7RCR|9aFEWX|aBPWR
154	33213 22745	   	188.59	DCR|3VULN|3DMG|1SELL	1aDUST|2MBVNT|36aDMG|48aVULN|5SELL|7DMSP|9RCR|aBPWR
155	33213 28745	   	188.49	DCR|3VULN|3DMG|1SELL	17aDUST|2MBVNT|36aDMG|48aVULN|5SELL|9RCR|aBPWR
156	62235 13522	   	188.41	DCR|2VULN|1MDPS|1ASPD|1DMG|1CDMG|1ZMB	1MDPS|2CGEN|3ASPD|4LHND|5DMG|6aVULN|7RCR|8ZMB|9CDMG
157	53231 33715	   	188.23	DCR|3DMG|1VULN|1ASPD|2DUR	16DUR|2MBVNT|359DMG|4BEXP|7RCR|8ASPD|aVULN
158	23231 61652	   	188.19	DCR|2VULN|1AART|1ASPD|1CDMG|1DUR	1MLV|2CDMG|3LHND|4LIT|59VULN|6ASPD|7DUR|8RCR|aAART
159	33271 33715	   	188.13	DCR|3DMG|1VULN|1ASPD|2DUR	1DUST|2MBVNT|359DMG|46DUR|7RCR|8ASPD|aVULN
