0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21531 15243	9	 * 	309.43	橙4易伤3时间2攻速1伤害1等级	1367易伤2基地爆炸47攻速567时间67序列升级8核9等级a伤害
31	21561 15322	8	   	289.55	橙4易伤3时间2伤害	1367易伤2基地爆炸47伤害567时间67序列升级8低血量敌人9核a金币生成
32	21561 12331	7	   	289.55	橙4易伤3时间2伤害	1369易伤2基地爆炸49伤害568时间69序列升级79低血量敌人a核
33	21561 13331	7	   	289.55	橙4易伤3时间2伤害	1369易伤2基地爆炸49伤害568时间69序列升级79最后敌人a核
34	21561 13331	6	   	289.55	橙4易伤3时间2伤害	1369易伤2基地爆炸49伤害568时间69序列升级79低血量敌人a核
35	21561 15111	9	   	289.55	橙4易伤3时间2伤害	1367易伤28基地爆炸47伤害567时间67序列升级9低血量敌人a核
36	21561 15121	9	   	289.55	橙4易伤3时间2伤害	1367易伤28基地爆炸47伤害567时间67序列升级9敌人爆炸a核
37	21561 15211	7	   	289.55	橙4易伤3时间2伤害	1367易伤2基地爆炸47伤害567时间67序列升级8矿等9金币生成a核
38	21561 15221	8	   	289.55	橙4易伤3时间2伤害	1367易伤2基地爆炸47伤害567时间67序列升级8核9随机矿a平台
39	21561 15222	8	   	289.55	橙4易伤3时间2伤害	1367易伤2基地爆炸47伤害567时间67序列升级8核9随机矿a双倍矿
40	21561 15223	8	   	289.55	橙4易伤3时间2伤害	1367易伤2a基地爆炸47伤害567时间67序列升级8核9随机矿
41	21561 15231	10	   	289.55	橙4易伤3时间2伤害	1367易伤29基地爆炸47伤害567时间67序列升级8核a立即金币
42	21561 15231	9	   	289.55	橙4易伤3时间2伤害	1367易伤29基地爆炸47伤害567时间67序列升级8核a随机矿
43	21561 15233	10	   	289.55	橙4易伤3时间2伤害	1367易伤29基地爆炸47伤害567时间67序列升级8核a金币生成
44	21561 15233	9	   	289.55	橙4易伤3时间2伤害	1367易伤29a基地爆炸47伤害567时间67序列升级8核
45	21561 15331	9	   	289.55	橙4易伤3时间2伤害	1367易伤29基地爆炸47伤害567时间67序列升级8低血量敌人a核
46	21561 15131	9	   	289.45	橙4易伤3时间2伤害	1367易伤28基地爆炸47伤害567时间67序列升级9挖尘a核
47	21561 15323	8	   	289.45	橙4易伤3时间2伤害	1367易伤2基地爆炸47伤害567时间67序列升级8低血量敌人9核a掉矿
48	21561 15323	7	   	289.45	橙4易伤3时间2伤害	1367易伤2基地爆炸47伤害567时间67序列升级8最后敌人9核a掉矿
49	21561 15212	9	   	289.45	橙4易伤3时间2伤害	1367易伤2基地爆炸47伤害567时间67序列升级8核9挖尘a金币生成
50	21561 15222	9	   	289.45	橙4易伤3时间2伤害	1367易伤2基地爆炸47伤害567时间67序列升级8核9加一a金币生成
51	21561 15231	8	   	289.45	橙4易伤3时间2伤害1核弹	1367易伤2基地爆炸47伤害567时间67序列升级8核9核弹a平台
52	21561 15232	9	   	289.45	橙4易伤3时间2伤害	1367易伤29基地爆炸47伤害567时间67序列升级8核a掉矿
53	21561 15232	8	   	289.45	橙4易伤3时间2伤害1核弹	1367易伤2基地爆炸47伤害567时间67序列升级8核9核弹a双倍矿
54	21561 15233	8	   	289.45	橙4易伤3时间2伤害1核弹	1367易伤2a基地爆炸47伤害567时间67序列升级8核9核弹
55	21531 15232	10	   	289.36	橙4易伤3时间2攻速1等级	1367易伤29基地爆炸47攻速567时间67序列升级8核a等级
56	21531 15241	9	   	289.36	橙4易伤3时间2攻速1等级	1367易伤2基地爆炸47攻速567时间67序列升级8核9等级a平台
57	21531 15243	10	   	289.36	橙4易伤3时间2攻速1等级	1367易伤2基地爆炸47攻速567时间67序列升级8核9等级a随机矿
58	21561 12331	6	   	289.35	橙4易伤3时间2伤害	1369易伤2基地爆炸49伤害568时间69序列升级79挖尘a核
59	21561 15213	9	   	289.35	橙4易伤3时间2伤害	1367易伤2基地爆炸47伤害567时间67序列升级8核9挖尘a掉矿
60	21561 15213	10	   	289.35	橙4易伤3时间2伤害	1367易伤2基地爆炸47伤害567时间67序列升级8核9挖尘a掉矿
61	21561 15223	10	   	289.35	橙4易伤3时间2伤害	1367易伤2基地爆炸47伤害567时间67序列升级8核9加一a掉矿
62	21561 15223	9	   	289.35	橙4易伤3时间2伤害	1367易伤2基地爆炸47伤害567时间67序列升级8核9加一a掉矿
63	21561 15224	9	   	289.35	橙4易伤3时间2伤害	1367易伤2基地爆炸47伤害567时间67序列升级8核9加一a挖青
64	21531 15242	10	   	289.26	橙4易伤3时间2攻速1等级	1367易伤2基地爆炸47攻速567时间67序列升级8核9等级a双倍物品
65	21531 15243	8	   	289.26	橙4易伤3时间2攻速1等级	1367易伤2基地爆炸47攻速567时间67序列升级8核9赏金塔a等级
66	21531 15531	7	   	289.26	橙4易伤3时间2攻速1等级	1367易伤2基地爆炸47攻速567时间67序列升级8掉矿9等级a核
67	21531 15631	8	   	289.26	橙4易伤3时间2攻速1等级	1367易伤2基地爆炸47攻速567时间67序列升级8掉矿9等级a核
68	22361 13563	6	   	289.25	橙3易伤3时间2等级1伤害2暴击	149易伤2平台36暴击569时间69序列升级7核89等级a伤害
69	21511 15243	9	   	288.21	橙4易伤3时间1伤害1等级	1367易伤2基地爆炸47策反567时间67序列升级8核9等级a伤害
70	21531 15261	9	   	286.76	橙4易伤3时间2攻速1暴击	1367易伤2基地爆炸47攻速567时间67序列升级8核9最后敌人a暴击
71	21531 15321	8	   	286.76	橙4易伤3时间2攻速1暴击	1367易伤2基地爆炸47攻速567时间67序列升级8低血量敌人9核a暴击
72	21531 15321	7	   	286.76	橙4易伤3时间2攻速1暴击	1367易伤2基地爆炸47攻速567时间67序列升级8最后敌人9核a暴击
73	21531 15421	7	   	286.76	橙4易伤3时间2攻速1暴击	1367易伤2基地爆炸47攻速567时间67序列升级8低血量敌人9核a暴击
74	26531 15121	8	   	286.76	橙4易伤3时间2攻速1暴击	1367易伤2低血量敌人47攻速567时间67序列升级8基地爆炸9核a暴击
75	26531 15321	7	   	286.76	橙4易伤3时间2攻速1暴击	1367易伤2低血量敌人47攻速567时间67序列升级8最后敌人9核a暴击
76	22361 16351	10	   	286.72	橙4易伤3时间2暴击2雷电	149a易伤2平台36暴击56a时间6a序列升级7核8a雷电
77	21531 15211	9	   	286.66	橙4易伤3时间2攻速1暴击	1367易伤2基地爆炸47攻速567时间67序列升级8核9挖尘a暴击
78	21531 15221	9	   	286.66	橙4易伤3时间2攻速1暴击	1367易伤2基地爆炸47攻速567时间67序列升级8核9加一a暴击
79	21531 15235	8	   	286.66	橙4易伤3时间2攻速1暴击1核弹	1367易伤2基地爆炸47攻速567时间67序列升级8核9核弹a暴击
80	21531 15621	7	   	286.66	橙4易伤3时间2攻速1暴击	1367易伤2基地爆炸47攻速567时间67序列升级8挖尘9核a暴击
81	16315 15223	8	 * 	283.06	橙4易伤3攻速2时间1暴击	167攻速2低血量敌人37时间4567易伤67序列升级8立即金币9暴击a核
82	21531 15212	10	   	282.67	橙4易伤3时间2攻速	1367易伤2基地爆炸47攻速567时间67序列升级8核9挖尘a全技能
83	21531 15222	10	   	282.67	橙4易伤3时间2攻速	1367易伤2基地爆炸47攻速567时间67序列升级8核9加一a全技能
84	21531 15251	10	   	281.42	橙4易伤3时间2攻速	1367易伤2基地爆炸47攻速567时间67序列升级8核9策反a雷电
85	21531 15211	8	   	281.42	橙4易伤3时间2攻速	1367易伤2a基地爆炸47攻速567时间67序列升级8核9雷电
86	21531 15213	8	   	281.42	橙4易伤3时间2攻速	1367易伤2基地爆炸47攻速567时间67序列升级8核9雷电a低血量敌人
87	21531 15214	8	   	281.42	橙4易伤3时间2攻速	1367易伤2基地爆炸47攻速567时间67序列升级8核9雷电a平台
88	21531 15215	8	   	281.42	橙4易伤3时间2攻速	1367易伤2基地爆炸47攻速567时间67序列升级8核9雷电a金币生成
89	21531 15216	8	   	281.42	橙4易伤3时间2攻速	1367易伤2基地爆炸47攻速567时间67序列升级8核9雷电a额外掉落
90	21531 15212	8	   	281.32	橙4易伤3时间2攻速	1367易伤2基地爆炸47攻速567时间67序列升级8核9雷电a赏金塔
91	21531 15227	10	   	281.32	橙4易伤3时间2攻速	1367易伤2基地爆炸47攻速567时间67序列升级8核9加一a雷电
92	22142 63621	9	 * 	280.88	橙5易伤3伤害	1789a易伤2平台3479a金币生成579伤害6核79a序列升级
93	61112 63312	7	   	280.38	橙5易伤3伤害	147掉矿2平台3789a易伤579伤害6核79a序列升级
94	61112 63313	7	   	280.38	橙5易伤3伤害	147掉矿2平台3789a易伤579伤害6核79序列升级
95	26561 11223	6	   	280.36	橙3易伤3时间2伤害1暴击	136易伤2低血量敌人49伤害568时间6序列升级7暴击a核
