0	Index      	Bounty	 *	Score 	Summary	Detail	
1	61243 31163	6	 * 	276.22	橙4易伤2伤害2时间	17低血量敌人2随机矿3a伤害47时间5678易伤7序列升级9核
39	62332 35363	1	   	256.19	橙4易伤2伤害1攻速	1低血量敌人2456易伤3基地爆炸7攻速8a伤害9核
40	62212 24353	1	   	255.53	橙3易伤1伤害1等级1暴击1攻速1全技能	1低血量敌人259易伤3暴击4伤害6等级7攻速8全技能a核
41	36123 35133	2	   	255.05	橙3易伤2伤害1等级1时间	12最后敌人2序列升级3等级468易伤5a伤害7核9时间
42	53121 51233	10	   	255.05	橙3易伤2伤害1等级1时间	1敌人爆炸2低血量敌人389易伤47伤害5时间6核a等级
43	53121 51236	9	   	255.05	橙3易伤2伤害1等级1时间	1敌人爆炸2低血量敌人389易伤47伤害5时间6核a等级
44	66123 35133	2	   	255.05	橙3易伤2伤害1等级1时间	12低血量敌人2序列升级3等级468易伤5a伤害7核9时间
45	23121 51233	10	   	254.95	橙3易伤2伤害1时间1等级	1挖尘2低血量敌人389易伤47伤害5时间6核a等级
46	23121 51236	9	   	254.95	橙3易伤2伤害1时间1等级	1挖尘2低血量敌人389易伤47伤害5时间6核a等级
47	23426 51233	10	   	254.95	橙3易伤2伤害1时间1等级	1挖尘2低血量敌人3时间47伤害589易伤6核a等级
48	41213 31163	3	   	254.65	橙3易伤3伤害1时间	17金币生成27低血量敌人35a伤害4时间678易伤7序列升级9核
49	41243 31163	4	   	254.65	橙3易伤3伤害1时间	17金币生成27低血量敌人35a伤害4时间678易伤7序列升级9核
50	41253 31163	5	   	254.65	橙3易伤3伤害1时间	17金币生成27低血量敌人34a伤害5时间678易伤7序列升级9核
51	52233 31163	2	   	254.65	橙3易伤3伤害1等级	17敌人爆炸2双倍矿37a伤害4低血量敌人5等级678易伤7序列升级9核
52	22233 31163	2	   	254.45	橙3易伤3伤害1等级	17挖尘2双倍矿37a伤害4低血量敌人5等级678易伤7序列升级9核
53	22233 35453	2	   	253.83	橙2易伤2伤害2时间1等级1攻速	1挖尘2双倍矿39伤害4低血量敌人5等级69易伤7攻速89时间9序列升级a核
54	22134 53123	1	   	253.73	橙2易伤2伤害2时间1等级1攻速	17挖尘27易伤36伤害4敌人爆炸57时间7序列升级8攻速9等级a核
55	41133 35162	1	 * 	253.72	橙3易伤2伤害2等级1攻速	1a金币生成2攻速3a等级4低血量敌人57伤害68a易伤9核a序列升级
56	41211 31163	3	   	253.58	橙3易伤2伤害2时间	17金币生成27低血量敌人3a伤害45时间678易伤7序列升级9核
57	41213 31166	3	   	253.58	橙3易伤2伤害2时间	17金币生成27低血量敌人35伤害4a时间678易伤7序列升级9核
58	41241 31163	4	   	253.58	橙3易伤2伤害2时间	17金币生成27低血量敌人3a伤害45时间678易伤7序列升级9核
59	61213 31161	3	   	253.58	橙3易伤2伤害2时间	17低血量敌人2随机矿35伤害47时间678易伤7序列升级9核a敌人爆炸
60	61213 31162	3	   	253.58	橙3易伤2伤害2时间	17低血量敌人2随机矿35伤害47时间678易伤7序列升级9核a矿等
61	61213 31164	3	   	253.58	橙3易伤2伤害2时间	17低血量敌人2随机矿35伤害47时间678易伤7序列升级9核a最后敌人
62	61213 31165	3	   	253.58	橙3易伤2伤害2时间	17低血量敌人2随机矿35伤害47时间678易伤7序列升级9核a基地爆炸
63	61243 31161	4	   	253.58	橙3易伤2伤害2时间	17低血量敌人2随机矿35伤害47时间678易伤7序列升级9核a敌人爆炸
64	61243 31162	4	   	253.58	橙3易伤2伤害2时间	17低血量敌人2随机矿35伤害47时间678易伤7序列升级9核a矿等
65	62111 41163	1	   	253.58	橙3易伤2伤害2时间	17低血量敌人278易伤3a伤害46金币生成57时间7序列升级9核
66	62111 51161	1	   	253.58	橙3易伤2伤害2时间	17低血量敌人278易伤36伤害4金币生成57时间7序列升级9核a基地爆炸
67	62111 51162	1	   	253.58	橙3易伤2伤害2时间	17低血量敌人278易伤36伤害4金币生成57时间7序列升级9核a矿等
68	61243 33163	6	   	253.38	橙3易伤2伤害2时间	1低血量敌人2随机矿3a伤害47时间568易伤9核
69	23121 51235	10	   	253.28	橙3易伤2伤害2时间	1挖尘2低血量敌人389易伤47伤害5a时间6核
70	22212 42563	1	   	252.73	橙3易伤1伤害1时间1暴击1全技能	1挖尘258易伤3暴击4伤害6核7时间9雷电a全技能
71	53121 51235	9	   	252.45	橙3易伤2伤害1时间1暴击	1敌人爆炸2低血量敌人389易伤47伤害5时间6核a暴击
72	53121 51236	10	   	252.45	橙3易伤2伤害1时间1暴击	1敌人爆炸2低血量敌人389易伤47伤害5时间6核a暴击
73	44225 23231	9	   	252.45	橙3易伤2伤害1等级1暴击	1金币生成2最后敌人39伤害4暴击567易伤8等级a核
74	23121 51235	9	   	252.35	橙3易伤2伤害1时间1暴击	1挖尘2低血量敌人389易伤47伤害5时间6核a暴击
75	53132 35263	3	   	252.16	橙4易伤1伤害1时间	1敌人爆炸2低血量敌人3456易伤7核8雷电9时间a伤害
76	23132 35266	3	   	252.06	橙4易伤1伤害1时间	1挖尘2低血量敌人3456易伤7核8雷电9时间a伤害
77	36123 35136	2	   	252.05	橙3易伤2时间1伤害1等级	12最后敌人2序列升级3等级468易伤5伤害7核9a时间
78	24331 25412	1	   	251.98	橙3易伤2攻速1伤害1时间1全技能	1挖尘2赏金邻近36攻速4全技能568易伤6序列升级7伤害9时间a核
79	53132 35231	3	   	251.63	橙5易伤1等级	1敌人爆炸2低血量敌人3456a易伤7核8雷电9等级
80	23132 35231	3	   	251.53	橙5易伤1等级	1挖尘2低血量敌人3456a易伤7核8雷电9等级
81	32212 43165	1	   	251.16	橙3易伤2伤害2雷电1暴击	19最后敌人259易伤3暴击4a伤害6核79雷电8赏金塔9序列升级
82	22212 42536	1	   	251.01	橙3易伤1伤害1等级1时间1暴击	1挖尘258易伤3暴击4伤害6核7时间9随机矿a等级
83	22212 45226	1	   	251.01	橙3易伤1伤害1等级1时间1暴击	1挖尘259易伤3暴击4伤害6核7策反8时间a等级
84	22212 46326	1	   	251.01	橙3易伤1伤害1时间1等级1暴击	1挖尘259易伤3暴击4伤害6核7金币生成8时间a等级
85	52212 12241	1	   	250.91	橙4易伤1伤害1暴击1全技能	1敌人爆炸258a易伤3暴击4伤害6立即金币7全技能9核
86	22212 42526	1	   	250.91	橙3易伤1伤害1时间1等级1暴击	1挖尘258易伤3暴击4伤害6核7时间9掉矿a等级
87	22212 12241	1	   	250.81	橙4易伤1伤害1暴击1全技能	1挖尘258a易伤3暴击4伤害6立即金币7全技能9核
88	24163 31633	9	   	250.71	橙4易伤1伤害1暴击1全技能	1挖尘2全技能3678易伤4掉矿5伤害9暴击a核
89	23116 35353	6	   	249.70	橙3易伤2伤害1等级1攻速	19挖尘2低血量敌人359易伤4等级6攻速79伤害8挖青9序列升级a核
90	41264 31131	1	   	249.69	橙3易伤2攻速1伤害1暴击1全技能	17金币生成27攻速3伤害4平台5暴击678易伤7序列升级9全技能a核
91	32212 42552	1	   	249.45	橙3易伤2时间1伤害1暴击	1最后敌人258易伤3暴击4伤害6核79时间a金币生成
92	41233 35162	1	   	249.41	橙3易伤3伤害1攻速	1a金币生成2攻速37a伤害4低血量敌人5矿等68a易伤9核a序列升级
93	22212 43256	1	   	249.35	橙3易伤2时间1伤害1暴击	1挖尘25a易伤3暴击4伤害6核7基地爆炸89时间
94	32212 42553	1	   	249.35	橙3易伤2时间1伤害1暴击	1最后敌人258易伤3暴击4伤害6核79时间a掉矿
95	41211 31166	3	   	249.22	橙3易伤3时间1伤害	17金币生成27低血量敌人3伤害45a时间678易伤7序列升级9核
96	23126 35163	6	   	249.11	橙3易伤3伤害1攻速	1挖尘2低血量敌人358易伤47a伤害6攻速9核
97	53121 51363	10	   	248.46	橙3易伤2伤害1时间1全技能	1敌人爆炸2低血量敌人39a易伤47伤害5时间6核8全技能
98	31125 23411	8	   	248.44	橙4易伤1等级1暴击1攻速	1最后敌人2随机矿3等级4暴击5678易伤9攻速a核
99	22415 35231	3	   	248.25	橙4易伤1时间1等级	1挖尘2双倍矿356a易伤4时间7核8雷电9等级
100	22443 35231	5	   	248.25	橙4易伤1时间1等级	1挖尘2双倍矿356a易伤4时间7核8雷电9等级
101	22535 35231	3	   	248.25	橙4易伤1时间1等级	1挖尘2双倍矿3时间456a易伤7核8雷电9等级
102	53142 35223	3	 * 	247.34	橙5易伤3雷电	19a敌人爆炸2低血量敌人3569a易伤4立即金币7核89a雷电9a序列升级
103	53132 35133	3	   	247.14	橙5易伤1伤害	1敌人爆炸2低血量敌人34568易伤7核9伤害a金币生成
104	53132 35134	3	   	247.14	橙5易伤1伤害	1敌人爆炸2低血量敌人34568易伤7核9伤害a最后敌人
105	53132 35135	3	   	247.14	橙5易伤1伤害	1敌人爆炸2低血量敌人34568易伤7核9伤害a立即金币
106	53132 35221	3	   	247.14	橙5易伤3雷电	19敌人爆炸2低血量敌人34569易伤7核89a雷电9序列升级
107	31254 35231	5	   	247.11	橙3易伤2伤害1等级	1最后敌人2随机矿34伤害56a易伤7核8雷电9等级
108	51253 35231	4	   	247.11	橙3易伤2伤害1等级	1敌人爆炸2随机矿34伤害56a易伤7核8雷电9等级
109	23132 35133	3	   	247.04	橙5易伤1伤害	1挖尘2低血量敌人34568易伤7核9伤害a金币生成
110	23132 35134	3	   	247.04	橙5易伤1伤害	1挖尘2低血量敌人34568易伤7核9伤害a最后敌人
111	23132 35135	3	   	247.04	橙5易伤1伤害	1挖尘2低血量敌人34568易伤7核9伤害a立即金币
112	53132 35131	3	   	247.04	橙5易伤1伤害	1敌人爆炸2低血量敌人34568易伤7核9伤害a掉矿
113	21254 35231	5	   	247.01	橙3易伤2伤害1等级	1挖尘2随机矿34伤害56a易伤7核8雷电9等级
114	23132 35131	3	   	246.94	橙5易伤1伤害	1挖尘2低血量敌人34568易伤7核9伤害a掉矿
115	23132 35221	3	   	246.94	橙5易伤3雷电	19挖尘2低血量敌人34569易伤7核89a雷电9序列升级
116	24121 33365	6	   	246.71	橙3易伤2时间2全技能1暴击	18挖尘24全技能368易伤58时间7双倍物品8序列升级9核a暴击
117	52212 13151	1	 * 	246.64	橙2易伤2伤害2时间2暴击	17敌人爆炸25易伤37暴击47伤害6立即金币7序列升级89时间a核
118	22212 13151	1	   	246.44	橙2易伤2伤害2时间2暴击	17挖尘25易伤37暴击47伤害6立即金币7序列升级89时间a核
