0	Index      	 *	Score 	Summary	Detail	
1	64261 22321	 * 	358.44	橙3易伤1双倍秒伤1暴击1时间1挖怪	1暴击23a易伤4额外掉落5时间6双倍矿7核8挖怪9双倍秒伤
43	42114 51132	   	338.49	橙1双倍秒伤1易伤1暴击1伤害1时间1全技能	1易伤23掉矿4最后敌人5伤害6核7时间8全技能9暴击a双倍秒伤
44	61362 26211	   	337.39	橙1双倍秒伤1易伤2暴击1伤害1时间	13暴击2最后敌人4额外掉落5易伤6时间7核8伤害9加一a双倍秒伤
45	43212 63114	   	331.14	橙2易伤1双倍秒伤1时间	18易伤2金币生成3挖尘4最后敌人5雷电6矿等7时间9核a双倍秒伤
46	41313 61324	   	331.08	橙1双倍秒伤1易伤1暴击1等级1时间	1易伤2平台3金币生成4矿等5暴击6赏金邻近7时间8等级9核a双倍秒伤
47	12523 32414	   	331.04	橙2易伤1双倍秒伤1时间	1风暴减费2敌人爆炸3时间47易伤5雷电减费6基地爆炸8雷电9核a双倍秒伤
48	12521 51114	   	331.04	橙2易伤1双倍秒伤1时间	1风暴减费2敌人爆炸3时间48易伤5雷电6最后敌人7挖尘9核a双倍秒伤
49	42211 61114	   	331.04	橙2易伤1双倍秒伤1时间	18易伤2掉矿3时间4最后敌人5头目6金币生成7挖尘9核a双倍秒伤
50	42212 61114	   	331.04	橙2易伤1双倍秒伤1时间	18易伤2掉矿3时间4最后敌人5雷电6矿等7挖尘9核a双倍秒伤
51	43131 51114	   	331.04	橙2易伤1双倍秒伤1时间	18易伤2金币生成3掉矿4时间5雷电6最后敌人7挖尘9核a双倍秒伤
52	11336 33514	   	330.84	橙2易伤1双倍秒伤1时间	17风暴减费2散射对甲37易伤4挖尘5时间67烈焰减费7序列升级8核9最后敌人a双倍秒伤
53	32222 51166	   	330.84	橙1双倍秒伤1易伤1暴击2时间1全技能1卖塔	1策反2暴击3卖塔4易伤5最后敌人6核79时间8全技能a双倍秒伤
54	46261 22321	 * 	330.80	橙3易伤1双倍秒伤1时间1卖塔1挖怪	13a易伤2卖塔4额外掉落5时间6双倍矿7核8挖怪9双倍秒伤
55	46261 22322	   	330.80	橙2易伤1双倍秒伤1时间1卖塔1挖怪	13易伤2卖塔4额外掉落5时间6双倍矿7核8挖怪9双倍秒伤a低血量敌人
56	46261 22323	   	330.80	橙2易伤1双倍秒伤1时间1卖塔1挖怪	13易伤2卖塔4额外掉落5时间6双倍矿7核8挖怪9双倍秒伤a基地爆炸
57	11336 33524	   	330.74	橙2易伤1双倍秒伤1时间1挖怪	17风暴减费2散射对甲37易伤4挖尘5时间67烈焰减费7序列升级8核9挖怪a双倍秒伤
