0	Index      	 *	Score 	Summary	Detail	
1	25111 55132	 * 	303.36	DCR|2VULN|2MLV|2TLV|2ASPD|1DMG	1aVULN|2DMG|3aTLV|4BEXP|5MBVNT|6RCR|78ASPD|9aMLV|aBPWR
15	22681 44184	   	287.76	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1VULN|2MBVNT|3CDMG|4MDPS|5CGEN|6TBNT|7TLV|8MLV|9aRCR
16	22122 25731	   	286.01	DCR|2VULN|2MLV|1TLV|2ASPD|1AAC	19VULN|2MBVNT|3LSRHEA|49ASPD|5RCVC|6AAC|7RCR|89MLV|9BPWR|aTLV
17	22128 15731	 * 	284.92	DCR|3VULN|3MLV|1AAC|1ASPD	169VULN|2MBVNT|3LSRHEA|4ASPD|568MLV|6BPWR|7RCR|aAAC
18	15141 14822	   	284.34	DCR|2VULN|2MLV|2DMG|1TLV	1FEWX|2aDMG|3TLV|4LWND|5MBVNT|6aMLV|7RCR|8DUR|9aVULN|aBPWR
19	22178 15133	   	284.28	DCR|3MLV|2VULN|2DMG|1AAC	19VULN|2MBVNT|36LSRHEA|4AAC|569MLV|69BPWR|7RCR|89DMG|aLHND
20	41341 13631	   	284.24	DCR|2VULN|2MLV|2DMG|1TLV	1TLV|2aDMG|3DUR|4LWND|5MBVNT|6aMLV|7ERES|8RCR|9aVULN|aBPWR
21	41341 14322	   	284.24	DCR|2VULN|2MLV|2DMG|1TLV	1TLV|2aDMG|3DUR|4LWND|5MBVNT|6aMLV|7RCR|8DUST|9aVULN|aBPWR
22	41511 14822	   	284.24	DCR|2VULN|2MLV|2DMG|1TLV	1TLV|2aDMG|3LHND|4BEXP|5MBVNT|6aMLV|7RCR|8DUR|9aVULN|aBPWR
23	41611 14822	   	284.24	DCR|2VULN|2MLV|2DMG|1TLV	1TLV|2aDMG|3LWND|4BEXP|5MBVNT|6aMLV|7RCR|8DUR|9aVULN|aBPWR
24	22178 15131	   	284.18	DCR|3MLV|2VULN|2DMG|1AAC	19VULN|2MBVNT|36LSRHEA|4AAC|569MLV|69BPWR|7RCR|89DMG|aERES
25	41311 14322	   	284.14	DCR|2VULN|2MLV|2DMG|1TLV	1TLV|2aDMG|3DUR|4BEXP|5MBVNT|6aMLV|7RCR|8DUST|9aVULN|aBPWR
26	41253 31351	   	284.14	DCR|DCR|1TLV|1MLV|1DMG|1CDMG	1TLV|2DMG|3VENFST|4CDMG|5aFEWX|6MLV|7DUR|89RCR
27	41253 31353	   	284.14	DCR|DCR|1TLV|1MLV|1DMG|1CDMG	1TLV|2DMG|3VENFST|4CDMG|5FEWX|6MLV|7DUR|89RCR|aBBNT
28	41252 31351	   	284.04	DCR|DCR|1TLV|1MLV|1DMG|1CDMG	1TLV|2DMG|3VENFST|4CDMG|5BEXP|6MLV|7DUR|89RCR|aFEWX
29	41252 31353	   	284.04	DCR|DCR|1TLV|1MLV|1DMG|1CDMG	1TLV|2DMG|3VENFST|4CDMG|5BEXP|6MLV|7DUR|89RCR|aLHND
30	41253 31352	   	284.04	DCR|DCR|1TLV|1MLV|1DMG|1CDMG	1TLV|2DMG|3VENFST|4CDMG|5FEWX|6MLV|7DUR|89RCR|aDUST
31	22128 17232	 * 	283.51	DCR|3VULN|2MLV|1TLV|1ASPD	167VULN|2MBVNT|3LSRHEA|4ASPD|56MLV|6BPWR|8TLV|9RAT|aRCR
32	22172 15136	 * 	282.88	DCR|3VULN|2MLV|2DMG|1AAC	19aVULN|2MBVNT|3LSRHEA|4AAC|5RCVC|69MLV|7RCR|89DMG|9BPWR
33	25111 55112	 * 	282.49	DCR|2VULN|3ASPD|2DMG|1TLV|1AAC	1aVULN|2aDMG|3TLV|4BEXP|5MBVNT|6RCR|78aASPD|9AAC|aBPWR
34	42323 61341	   	282.39	DCR|2MLV|2TLV|1VULN|2ASPD|1AAC	1aTLV|2AART|3aASPD|4ERES|5BELT|6VULN|7AAC|8RCR|9aMLV|aBPWR
35	22416 54226	   	281.93	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1VULN|2MBVNT|3LHND|4DMG|5AME|68RCR|7BBNT|9ASPD|aTLV
36	25141 54223	   	281.93	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1VULN|2DMG|3TLV|4LWND|5MBVNT|68RCR|7BBNT|9ASPD|aTBNT
37	25141 54224	   	281.93	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1VULN|2DMG|3TLV|4LWND|5MBVNT|68RCR|7BBNT|9ASPD|aFEWX
38	25111 54224	   	281.83	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1VULN|2DMG|3TLV|4BEXP|5MBVNT|68RCR|7BBNT|9ASPD|aAME
39	25111 54225	   	281.83	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1VULN|2DMG|3TLV|4BEXP|5MBVNT|68RCR|7BBNT|9ASPD|aZMB
40	25111 54227	   	281.83	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1VULN|2DMG|3TLV|4BEXP|5MBVNT|68RCR|7BBNT|9ASPD|aFEWX
41	25141 54221	   	281.83	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1VULN|2DMG|3TLV|4LWND|5MBVNT|68RCR|7BBNT|9ASPD|aERES
42	25141 54222	   	281.83	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1VULN|2DMG|3TLV|4LWND|5MBVNT|68RCR|7BBNT|9ASPD|aBEXP
43	25111 54215	   	281.73	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1VULN|2DMG|3TLV|4BEXP|5MBVNT|68RCR|7BBNT|9BLAICY|aASPD
44	25111 54221	   	281.73	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1VULN|2DMG|3TLV|4BEXP|5MBVNT|68RCR|7BBNT|9ASPD|aERES
45	25111 54222	   	281.73	DCR|DCR|1VULN|1TLV|1DMG|1ASPD	1VULN|2DMG|3TLV|4aBEXP|5MBVNT|68RCR|7BBNT|9ASPD
46	25111 54228	   	281.73	DCR|DCR|1VULN|1TLV|1DMG|1ASPD|1MSE	1VULN|2DMG|3TLV|4BEXP|5MBVNT|68RCR|7BBNT|9ASPD|aMSE
47	45331 54222	 * 	281.16	DCR|DCR|1TLV|2ASPD|1MLV	1TLV|29ASPD|3DUR|4AETHUN|5MBVNT|68RCR|7BBNT|aMLV
48	13833 57332	 * 	279.59	DCR|4VULN|2MLV|1TLV	1aFEWX|2MBVNT|357aVULN|4DUST|6RCR|8TLV|9aMLV|aBPWR
49	22484 57332	   	279.59	DCR|4VULN|2MLV|1TLV	147aVULN|2MBVNT|3aLHND|5DUST|6RCR|8TLV|9aMLV|aBPWR
50	22814 57332	   	279.39	DCR|4VULN|2MLV|1TLV	137aVULN|2MBVNT|4aBEXP|5DUST|6RCR|8TLV|9aMLV|aBPWR
51	22414 54283	   	279.23	DCR|DCR|1VULN|1TLV|1DMG|1CDMG	1VULN|2MBVNT|3LHND|4DMG|5ERES|68RCR|7BBNT|9CDMG|aTLV
52	25111 54262	   	279.23	DCR|DCR|1VULN|1TLV|1DMG|1CDMG	1VULN|2DMG|3TLV|4BEXP|5MBVNT|68RCR|7BBNT|9FEWX|aCDMG
53	25111 54281	   	279.13	DCR|DCR|1VULN|1TLV|1DMG|1CDMG|1MSE	1VULN|2DMG|3TLV|4BEXP|5MBVNT|68RCR|7BBNT|9CDMG|aMSE
54	25111 54282	   	279.13	DCR|DCR|1VULN|1TLV|1DMG|1CDMG	1VULN|2DMG|3TLV|4BEXP|5MBVNT|68RCR|7BBNT|9CDMG|aERES
55	25111 54283	   	279.13	DCR|DCR|1VULN|1TLV|1DMG|1CDMG	1VULN|2DMG|3TLV|4BEXP|5MBVNT|68RCR|7BBNT|9CDMG|aAETHUN
56	25111 54284	   	279.13	DCR|DCR|1VULN|1TLV|1DMG|1CDMG	1VULN|2DMG|3TLV|4BEXP|5MBVNT|68RCR|7BBNT|9CDMG|aAEWIND
57	41223 32551	 * 	278.90	DCR|DCR|2TLV|2DMG|1CDMG	1aTLV|2aDMG|3VENFST|4TBNT|5CDMG|6aDUST|7LEGI|89RCR|aBPWR
58	11231 42625	   	278.66	DCR|DCR|1VULN|1TLV|1AAC|1ASPD	1FEWX|2LEGI|3MDPS|4VULN|5AAC|6ASPD|7RCVC|89RCR|aTLV
59	41311 57142	   	278.40	DCR|2VULN|2DMG|1TLV|1MLV|2CDMG	1TLV|2aDMG|3DUR|4BEXP|5MBVNT|6RCR|7aVULN|8MLV|9aCDMG|aBPWR
60	41361 14136	   	277.82	DCR|2VULN|2TLV|1MLV|1DMG|1ASPD|2DUR	1aTLV|2DMG|3aDUR|4LEGI|5MBVNT|6MLV|7RCR|8ASPD|9aVULN|aBPWR
61	45341 14231	   	277.53	DCR|2VULN|2MLV|1TLV|2ASPD	1TLV|2aASPD|3DUR|4LWND|5MBVNT|6aMLV|7RCR|8CGEN|9aVULN|aBPWR
62	15111 14837	   	277.33	DCR|DCR|1TLV|1MLV|1DMG	1FEWX|2DMG|3TLV|4BEXP|5MBVNT|6MLV|7aRCR|8AART|9RAT
63	42313 52324	   	277.22	DCR|DCR|1VULN|1TLV|1ASPD	1TLV|2AART|3ASPD|4LHND|5BELT|69RCR|7RAT|8ZMB|aVULN
64	22484 51328	 * 	276.53	DCR|DCR|2VULN|1MLV	14VULN|2MBVNT|3LHND|5DUST|69RCR|7FEWX|8DUR|aMLV
65	22128 15231	   	276.48	DCR|3VULN|2MLV|1TLV|1ASPD	169VULN|2MBVNT|3LSRHEA|4ASPD|56MLV|6BPWR|7RCR|8ERES|aTLV
66	41223 11551	   	276.37	DCR|DCR|2TLV|1DMG|2DUR|1CDMG	1aTLV|2DMG|3aVENFST|4TBNT|5CDMG|6LWND|7aDUR|89RCR|aBPWR
67	22128 15732	   	276.33	DCR|3VULN|3MLV|1ASPD	169VULN|2MBVNT|3LSRHEA|4ASPD|568MLV|6BPWR|7RCR|aDUR
68	41223 31551	   	276.27	DCR|DCR|2TLV|1DMG|2DUR|1CDMG	1aTLV|2DMG|3aVENFST|4TBNT|5CDMG|6DUST|7aDUR|89RCR|aBPWR
69	22122 25736	 * 	276.06	DCR|3VULN|2MLV|2ASPD|1AAC	19aVULN|2MBVNT|3LSRHEA|49ASPD|5RCVC|6AAC|7RCR|89MLV|9BPWR
70	22128 16232	   	275.96	DCR|2VULN|2MLV|1TLV|2ASPD	16VULN|2MBVNT|3LSRHEA|47ASPD|56MLV|6BPWR|8TLV|9RAT|aRCR
71	15141 13631	   	275.94	DCR|2VULN|2MLV|2DMG|1TLV	1FEWX|2aDMG|3TLV|4LWND|5MBVNT|6aMLV|7ERES|8RCR|9aVULN|aBPWR
72	15141 14322	   	275.94	DCR|2VULN|2MLV|2DMG|1TLV	1FEWX|2aDMG|3TLV|4LWND|5MBVNT|6aMLV|7RCR|8DUST|9aVULN|aBPWR
73	41541 14322	   	275.94	DCR|2VULN|2MLV|2DMG|1TLV	1TLV|2aDMG|3LHND|4LWND|5MBVNT|6aMLV|7RCR|8DUST|9aVULN|aBPWR
74	15111 14322	   	275.84	DCR|2VULN|2MLV|2DMG|1TLV	1FEWX|2aDMG|3TLV|4BEXP|5MBVNT|6aMLV|7RCR|8DUST|9aVULN|aBPWR
75	41511 14322	   	275.84	DCR|2VULN|2MLV|2DMG|1TLV	1TLV|2aDMG|3LHND|4BEXP|5MBVNT|6aMLV|7RCR|8DUST|9aVULN|aBPWR
76	41611 14322	   	275.84	DCR|2VULN|2MLV|2DMG|1TLV	1TLV|2aDMG|3LWND|4BEXP|5MBVNT|6aMLV|7RCR|8DUST|9aVULN|aBPWR
77	41253 33351	   	275.83	DCR|DCR|1TLV|1MLV|1DMG|1CDMG	1TLV|2DMG|3VENFST|4CDMG|5aFEWX|6MLV|7LWND|89RCR
78	41253 33353	   	275.83	DCR|DCR|1TLV|1MLV|1DMG|1CDMG	1TLV|2DMG|3VENFST|4CDMG|5FEWX|6MLV|7LWND|89RCR|aBBNT
79	41252 33351	   	275.73	DCR|DCR|1TLV|1MLV|1DMG|1CDMG	1TLV|2DMG|3VENFST|4CDMG|5BEXP|6MLV|7LWND|89RCR|aFEWX
80	41252 33353	   	275.73	DCR|DCR|1TLV|1MLV|1DMG|1CDMG	1TLV|2DMG|3VENFST|4CDMG|5BEXP|6MLV|7LWND|89RCR|aLHND
81	41253 33352	   	275.73	DCR|DCR|1TLV|1MLV|1DMG|1CDMG	1TLV|2DMG|3VENFST|4CDMG|5FEWX|6MLV|7LWND|89RCR|aDUST
82	22434 54283	   	275.42	DCR|DCR|1VULN|1TLV|1ASPD|1CDMG	1VULN|2MBVNT|3LHND|4ASPD|5ERES|68RCR|7BBNT|9CDMG|aTLV
83	25141 54213	   	275.25	DCR|DCR|1VULN|1TLV|1DMG	1VULN|2DMG|3TLV|4LWND|5MBVNT|68RCR|7BBNT|9BLAICY|aNUKE
84	25111 54213	   	275.15	DCR|DCR|1VULN|1TLV|1DMG	1VULN|2DMG|3TLV|4BEXP|5MBVNT|68RCR|7BBNT|9BLAICY|aNUKE
85	22416 55132	 * 	274.78	DCR|2VULN|2MLV|2DMG|2ASPD	1aVULN|2MBVNT|3LHND|4aDMG|5AME|6RCR|78ASPD|9aMLV|aBPWR
86	22128 15123	 * 	274.40	DCR|2VULN|2MLV|2AAC|1DMG|1ASPD	16VULN|2MBVNT|3LSRHEA|4ASPD|56MLV|6BPWR|7RCR|8DMG|9aAAC
87	22415 74832	   	274.29	DCR|3VULN|2MLV|2DMG	15aVULN|2MBVNT|3LHND|4aDMG|6DUR|7RCR|8AEWIND|9aMLV|aBPWR
88	25365 24332	   	274.19	DCR|3VULN|2MLV|2DMG	15aVULN|2aDMG|3DUR|4MBVNT|68DUST|7RCR|9aMLV|aBPWR
89	25141 54243	   	273.99	DCR|DCR|1VULN|1TLV|1DMG	1VULN|2DMG|3TLV|4LWND|5MBVNT|68RCR|7BBNT|9AART|aLHND
90	25111 54244	   	273.89	DCR|DCR|1VULN|1TLV|1DMG	1VULN|2DMG|3TLV|4BEXP|5MBVNT|68RCR|7BBNT|9DMSP|aDUR
91	25111 54246	   	273.89	DCR|DCR|1VULN|1TLV|1DMG	1VULN|2DMG|3TLV|4BEXP|5MBVNT|68RCR|7BBNT|9DMSP|aAART
92	25111 54253	   	273.89	DCR|DCR|1VULN|1TLV|1DMG	1VULN|2DMG|3TLV|4BEXP|5MBVNT|68RCR|7BBNT|9CGEN|aDUR
93	25141 54241	   	273.89	DCR|DCR|1VULN|1TLV|1DMG	1VULN|2DMG|3TLV|4LWND|5MBVNT|68RCR|7BBNT|9AART|aBEXP
94	25141 54242	   	273.89	DCR|DCR|1VULN|1TLV|1DMG	1VULN|2DMG|3TLV|4LWND|5MBVNT|68RCR|7BBNT|9AART|aDUST
