0	Index      	 *	Score 	Summary	Detail	
1	12143 15363	 * 	289.18	DCR|DCR|2VULN|1DMG|1ASPD	1DMG|2LIT|3ASPD|4BELT|5aVULN|6RPLT|7DUR|89RCR
52	51336 42222	   	266.32	DCR|DCR|1VULN|1MLV|1AAC|1NUKE	1AAC|2ZMB|3VULN|4NUKE|5RAT|6ERES|7aRCR|8LIT|9MLV
53	36121 11156	   	266.32	ACR|DCR|2VULN|1TLV|1DMG	1aRCR|2ERES|3TLV|4MDPS|5DMG|69VULN|7RAT|8BEXP
54	42222 11442	   	266.31	DCR|2VULN|2MLV|1TLV|2RAT|1CDMG	1FEWX|2CDMG|3aRAT|4aVULN|5TLV|6aMLV|7SPLREG|8RCR|9LWND|aBPWR
55	13311 52111	   	266.12	DCR|2VULN|2DMG|1TLV|1MLV|1CDMG	13DMG|2FEWX|4TLV|57VULN|6MLV|8RCR|9CGEN|aCDMG
56	13311 52121	   	266.12	DCR|2VULN|2DMG|1TLV|1MLV|1CDMG	13DMG|2FEWX|4TLV|57VULN|6MLV|8RCR|9RMIN|aCDMG
57	16223 51511	   	265.78	DCR|3VULN|2DMG|1TLV|1ASPD	1aDMG|2BEXP|346VULN|5TLV|7DUST|8ASPD|9RCR
58	13311 54213	   	265.48	DCR|2MLV|2DMG|1VULN|1TLV|1AAC	13DMG|2FEWX|4TLV|5VULN|6aMLV|7CGEN|8AAC|9RCR
59	41341 52211	   	265.00	DCR|2VULN|2TLV|2DMG|1ASPD	1FEWX|2ASPD|3aDMG|46TLV|5DUR|78VULN|9RCR
60	13311 54513	   	264.83	DCR|2MLV|2DMG|1VULN|1TLV|1ASPD	13DMG|2FEWX|4TLV|5VULN|6aMLV|7CGEN|8ASPD|9RCR
61	21245 28421	   	264.63	DCR|DCR|1VULN|1TLV|1ASPD	1LHND|2ASPD|3VULN|4MBVNT|5LSRREG|6CGEN|78RCR|9BELT|aTLV
62	36121 11226	   	264.54	ACR|DCR|1VULN|1TLV|1MLV|1DMG	1aRCR|2ERES|3TLV|4MDPS|5DMG|6VULN|7RAT|8MLV|9AME
63	34121 11256	   	264.54	ACR|DCR|1VULN|1TLV|1MLV|1DMG	1aRCR|2CGEN|3TLV|4MDPS|5DMG|6VULN|7RAT|8MLV|9ERES
64	36126 11236	   	264.54	ACR|DCR|1VULN|1TLV|1MLV|1DMG	1aRCR|2ERES|3TLV|4MDPS|5AME|6VULN|7RAT|8MLV|9DMG
65	36121 11256	   	264.44	ACR|DCR|1VULN|1TLV|1MLV|1DMG	1aRCR|29ERES|3TLV|4MDPS|5DMG|6VULN|7RAT|8MLV
66	12113 46234	   	263.49	DCR|DCR|1TLV|1DMG|1ASPD|1CDMG	1DMG|2LIT|3ASPD|4ERES|5LHND|6CDMG|78RCR|9RPLT|aTLV
67	33415 21431	   	261.47	ACR|DCR|2VULN|1TLV|1CDMG	1aRCR|2AART|3MDPS|46VULN|56LIT|6BPWR|7TLV|8CDMG|9MULHEA
68	12143 15361	   	261.00	DCR|DCR|1VULN|1DMG|1ASPD	1DMG|2LIT|3ASPD|4BELT|5VULN|6RPLT|7DUR|89RCR|aBEXP
69	12143 15362	   	261.00	DCR|DCR|1VULN|1DMG|1ASPD	1DMG|2LIT|3ASPD|4BELT|5VULN|6RPLT|7DUR|89RCR|aLSRICY
70	13111 52311	   	260.78	DCR|2VULN|2DMG|1TLV|1MLV	1aDMG|23FEWX|4TLV|57VULN|6MLV|8DUR|9RCR
71	13111 56211	   	260.78	DCR|2VULN|2DMG|1TLV|1MLV	1aDMG|23FEWX|4TLV|58VULN|6MLV|7DUR|9RCR
72	13311 52161	   	260.78	DCR|2VULN|2DMG|1TLV|1MLV	13DMG|2FEWX|4TLV|57VULN|6MLV|8RCR|9RCVC|aDUR
73	13311 52312	   	260.78	DCR|2VULN|2DMG|1TLV|1MLV	13DMG|2FEWX|4TLV|57VULN|6MLV|8DUR|9RCR|aLHND
74	13311 52315	   	260.78	DCR|2VULN|2DMG|1TLV|1MLV	13DMG|2FEWX|4TLV|57VULN|6MLV|8DUR|9RCR|aAME
75	13311 56212	   	260.78	DCR|2VULN|2DMG|1TLV|1MLV	13DMG|2FEWX|4TLV|58VULN|6MLV|7DUR|9RCR|aLHND
76	13311 56215	   	260.78	DCR|2VULN|2DMG|1TLV|1MLV	13DMG|2FEWX|4TLV|58VULN|6MLV|7DUR|9RCR|aAME
77	13311 52151	   	260.68	DCR|2VULN|2DMG|1TLV|1MLV	13DMG|2FEWX|4TLV|57VULN|6MLV|8RCR|9AEFRZ|aDUR
78	13311 52314	   	260.68	DCR|2VULN|2DMG|1TLV|1MLV|1MSE	13DMG|2FEWX|4TLV|57VULN|6MLV|8DUR|9RCR|aMSE
79	13311 56214	   	260.68	DCR|2VULN|2DMG|1TLV|1MLV|1MSE	13DMG|2FEWX|4TLV|58VULN|6MLV|7DUR|9RCR|aMSE
80	54111 52311	   	259.99	DCR|2VULN|1TLV|1MLV|1DMG|1AAC	1AAC|2AEBURN|3FEWX|4TLV|57VULN|6MLV|8DUR|9RCR|aDMG
81	55313 21631	   	259.89	DCR|2VULN|1TLV|1MLV|1DMG|1AAC	1AAC|2MDPS|3DMG|4AART|5MLV|6TLV|78VULN|9MSLFST|aRCR
82	13111 52316	   	259.44	DCR|2VULN|1TLV|1MLV|1DMG|1ASPD	1DMG|23FEWX|4TLV|57VULN|6MLV|8DUR|9RCR|aASPD
83	13111 56216	   	259.44	DCR|2VULN|1TLV|1MLV|1DMG|1ASPD	1DMG|23FEWX|4TLV|58VULN|6MLV|7DUR|9RCR|aASPD
84	41111 52311	   	259.44	DCR|2VULN|1TLV|1MLV|1DMG|1ASPD	13FEWX|2ASPD|4TLV|57VULN|6MLV|8DUR|9RCR|aDMG
85	41111 56211	   	259.44	DCR|2VULN|1TLV|1MLV|1DMG|1ASPD	13FEWX|2ASPD|4TLV|58VULN|6MLV|7DUR|9RCR|aDMG
86	41341 32213	   	259.44	DCR|2VULN|1TLV|1MLV|1DMG|1ASPD	16FEWX|2ASPD|3DMG|4TLV|5DUR|78VULN|9RCR|aMLV
87	13311 52165	   	259.41	DCR|2VULN|2DMG|1TLV|1MLV	13DMG|2FEWX|4TLV|57VULN|6MLV|8RCR|9RCVC|aRAT
88	13311 52155	   	259.31	DCR|2VULN|2DMG|1TLV|1MLV	13DMG|2FEWX|4TLV|57VULN|6MLV|8RCR|9AEFRZ|aRAT
