0	Index      	 *	Score 	Summary	Detail	
1	32336 31643	 * 	216.70	ACR|3ASPD|2VULN|2DMG|2DUR|2ZMB	1LEGI|28aASPD|3RCR|4aVULN|5RMIN|68ZMB|78DMG|8aBPWR|9aDUR
20	22166 24111	 * 	204.26	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1MLV|2CDMG|3AART|45VULN|6MULARM|7DUR|8DMG|9ASPD|aRCR
21	43332 26313	   	203.63	DCR|3VULN|1MDPS|2ASPD|1DMG|2ZMB	14aVULN|2FEWX|3aASPD|5MDPS|6LWND|7DMG|8aZMB|9RCR|aBPWR
22	43361 26313	   	203.63	DCR|3VULN|1MDPS|2ASPD|1DMG|2ZMB	15aVULN|2FEWX|3aASPD|4MDPS|6LWND|7DMG|8aZMB|9RCR|aBPWR
23	43332 36313	   	203.53	DCR|3VULN|1MDPS|2ASPD|1DMG|2ZMB	14aVULN|2FEWX|3aASPD|5MDPS|6DUST|7DMG|8aZMB|9RCR|aBPWR
24	43361 36313	   	203.53	DCR|3VULN|1MDPS|2ASPD|1DMG|2ZMB	15aVULN|2FEWX|3aASPD|4MDPS|6DUST|7DMG|8aZMB|9RCR|aBPWR
25	22343 35154	 * 	203.28	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG	1MLV|23CDMG|4AART|58VULN|6DMG|7ASPD|9MBVNT|aRCR
26	22162 21323	   	202.38	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1MLV|2CDMG|3AART|4aVULN|5RMIN|68DUR|7RCR|9DMG
27	33336 46133	 * 	202.11	ACR|2VULN|2AART|2DMG|1ASPD	1LEGI|28DMG|3RCR|48VULN|5RMIN|68FEWX|79AART|8BPWR|aASPD
28	42222 31252	   	202.08	DCR|3VULN|3DMG	157VULN|2RMIN|34RCVC|67aDMG|7BPWR|8BEXP|9RCR
29	42222 31352	   	202.08	DCR|3VULN|3DMG	157VULN|2RMIN|34RCVC|67aDMG|7BPWR|8LWND|9RCR
30	63412 16133	   	201.45	DCR|3VULN|2AART|1ASPD	18DUST|28FEWX|3LEGI|458VULN|6RCR|79AART|8BPWR|aASPD
31	46113 32314	 * 	201.21	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	18VULN|28DUR|3BELT|4AART|5BEXP|6ZMB|78DMG|8BPWR|9CANSTR|aRCR
32	32331 16613	 * 	200.92	ACR|3VULN|2DMG|2ASPD|2DUR	1LEGI|2aASPD|3RCR|49aVULN|5FEWX|68DUR|7aDMG|aBPWR
33	41221 16133	 * 	200.66	DCR|2VULN|2ASPD|1AART|3DUR	18VULN|2BEXP|348DUR|58FEWX|6RCR|7AART|8BPWR|9aASPD
34	41223 16133	   	200.66	DCR|2VULN|2ASPD|1AART|3DUR	18VULN|2BEXP|348DUR|58LHND|6RCR|7AART|8BPWR|9aASPD
35	32336 31343	   	200.60	ACR|3VULN|2ASPD|1DMG|2DUR|1ZMB	1LEGI|2aASPD|3RCR|48aVULN|5RMIN|6ZMB|7DMG|9aDUR|aBPWR
36	53412 16132	 * 	200.19	DCR|3VULN|2AART|3DUR	18aDUR|28FEWX|3LEGI|458VULN|6RCR|79AART|8BPWR
37	42522 31252	   	200.13	DCR|3VULN|3DMG|2RMIN	157VULN|23RMIN|4RCVC|67aDMG|7BPWR|8BEXP|9RCR
38	42522 31352	   	200.13	DCR|3VULN|3DMG|2RMIN	157VULN|23RMIN|4RCVC|67aDMG|7BPWR|8LWND|9RCR
39	43252 16132	   	200.09	DCR|3VULN|2AART|3DUR	158VULN|2FEWX|38aDUR|48DUST|6RCR|79AART|8BPWR
40	63212 16132	   	200.09	DCR|3VULN|2AART|3DUR	18DUST|2FEWX|38aDUR|458VULN|6RCR|79AART|8BPWR
41	32332 31432	   	199.69	ACR|2VULN|2DMG|2ASPD|1NUKE|1ZMB|1SELL	1LEGI|29ASPD|3RCR|49VULN|5AME|6ZMB|79DMG|8SELL|9BPWR|aNUKE
42	41241 16133	   	199.22	DCR|3VULN|1AART|1ASPD|2DUR	148VULN|2BEXP|38DUR|58aFEWX|6RCR|7AART|8BPWR|9ASPD
43	41243 16133	   	199.22	DCR|3VULN|1AART|1ASPD|2DUR	148VULN|2BEXP|38DUR|58LHND|6RCR|7AART|8BPWR|9ASPD|aFEWX
44	22122 41636	   	199.16	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1MLV|2CDMG|3AART|4LHND|5RMIN|6aVULN|7RCR|8ZMB|9DMG
45	51412 16133	   	199.12	DCR|3VULN|1AART|1ASPD|2DUR	18DUR|28BEXP|3LEGI|458VULN|6RCR|7AART|8BPWR|9ASPD|aFEWX
46	41241 16131	   	199.12	DCR|3VULN|1AART|1ASPD|2DUR	148VULN|2BEXP|38DUR|58FEWX|6RCR|7AART|8BPWR|9ASPD|aERES
47	41241 16132	   	199.12	DCR|3VULN|1AART|1ASPD|2DUR	148VULN|2BEXP|38DUR|58FEWX|6RCR|7AART|8BPWR|9ASPD|aMBVNT
48	41243 16131	   	199.12	DCR|3VULN|1AART|1ASPD|2DUR	148VULN|2BEXP|38DUR|58LHND|6RCR|7AART|8BPWR|9ASPD|aERES
49	41243 16132	   	199.12	DCR|3VULN|1AART|1ASPD|2DUR	148VULN|2BEXP|38DUR|58LHND|6RCR|7AART|8BPWR|9ASPD|aMBVNT
50	41252 16133	   	199.02	DCR|3VULN|1AART|1ASPD|2DUR	158VULN|2BEXP|38DUR|48DUST|6RCR|7AART|8BPWR|9ASPD|aFEWX
51	51412 16131	   	199.02	DCR|3VULN|1AART|1ASPD|2DUR	18DUR|28BEXP|3LEGI|458VULN|6RCR|7AART|8BPWR|9ASPD|aERES
52	51412 16132	   	199.02	DCR|3VULN|1AART|1ASPD|2DUR	18DUR|28BEXP|3LEGI|458VULN|6RCR|7AART|8BPWR|9ASPD|aMBVNT
53	61212 16133	   	199.02	DCR|3VULN|1AART|1ASPD|2DUR	18DUST|2BEXP|38DUR|458VULN|6RCR|7AART|8BPWR|9ASPD|aFEWX
54	61212 16134	   	199.02	DCR|3VULN|1AART|1ASPD|2DUR	18DUST|2BEXP|38DUR|458VULN|6RCR|7AART|8BPWR|9ASPD|aLHND
55	41252 16131	   	198.92	DCR|3VULN|1AART|1ASPD|2DUR	158VULN|2BEXP|38DUR|48DUST|6RCR|7AART|8BPWR|9ASPD|aERES
56	41252 16132	   	198.92	DCR|3VULN|1AART|1ASPD|2DUR	158VULN|2BEXP|38DUR|48DUST|6RCR|7AART|8BPWR|9ASPD|aMBVNT
57	61212 16131	   	198.92	DCR|3VULN|1AART|1ASPD|2DUR	18DUST|2BEXP|38DUR|458VULN|6RCR|7AART|8BPWR|9ASPD|aERES
58	61212 16132	   	198.92	DCR|3VULN|1AART|1ASPD|2DUR	18DUST|2BEXP|38DUR|458VULN|6RCR|7AART|8BPWR|9ASPD|aMBVNT
59	22124 46311	 * 	198.86	DCR|1SPLARM|2AART|1VULN|1ASPD|1DMG|1CDMG	1MLV|2CDMG|38AART|4LHND|5DMG|6VULN|7SPLARM|9ASPD|aRCR
60	41221 16161	 * 	198.70	DCR|2VULN|2AART|3DUR|1CDMG	18VULN|2BEXP|348DUR|58FEWX|6RCR|79AART|8BPWR|aCDMG
61	33335 16151	 * 	198.67	ACR|2VULN|2DMG|1ASPD|1CDMG|2DUR|2ZMB	1LEGI|29DMG|3RCR|49VULN|56DUR|7CDMG|89ZMB|9BPWR|aASPD
62	33214 25332	 * 	198.58	DCR|3DMG|2VULN|1ASPD	1LEGI|289DMG|3RCVC|49AME|5RPLT|69VULN|7RCR|9BPWR|aASPD
63	33216 25332	   	198.58	DCR|3DMG|2VULN|1ASPD	1LEGI|289DMG|3RCVC|49AME|59VULN|6RPLT|7RCR|9BPWR|aASPD
64	32335 21653	   	198.24	ACR|3ASPD|2VULN|2DMG|2DUR	1LEGI|28aASPD|3RCR|4aVULN|58DUR|6RCVC|78DMG|8aBPWR|9aFEWX
65	61212 16523	   	197.84	DCR|3VULN|1AART|1ASPD|1DUR	1DUST|2BEXP|3DUR|45aVULN|6RCR|7AART|8ASPD|9RMIN
66	63212 16523	   	197.84	DCR|3VULN|1AART|1ASPD|1DUR	1DUST|2FEWX|3DUR|45aVULN|6RCR|7AART|8ASPD|9RMIN
67	22135 41423	 * 	197.62	DCR|3VULN|1AART|2CDMG|1ZMB	18MLV|28CDMG|3AART|4BEXP|5AME|689VULN|7RCR|8BPWR|aZMB
68	22114 41423	   	197.52	DCR|3VULN|1AART|2CDMG|1ZMB	18MLV|28CDMG|3AART|4TLV|5BEXP|689VULN|7RCR|8BPWR|aZMB
69	22133 41423	   	197.52	DCR|3VULN|1AART|2CDMG|1ZMB	18MLV|28CDMG|3AART|4BEXP|5ERES|689VULN|7RCR|8BPWR|aZMB
70	22116 41223	   	197.42	DCR|3VULN|1AART|2CDMG|1ZMB	18MLV|28CDMG|3AART|4TLV|5DUST|689VULN|7RCR|8BPWR|aZMB
71	43132 16313	   	197.41	DCR|2VULN|1MDPS|2ASPD|1DMG|2ZMB|1DUR	1aVULN|2FEWX|3RCVC|4aASPD|5MDPS|6DUR|7DMG|8aZMB|9RCR|aBPWR
72	61212 16236	   	197.16	DCR|2VULN|2AART|1ASPD|2DUR	1DUST|2BEXP|38DUR|45VULN|6RCR|7aAART|9ASPD
73	63212 16236	   	197.16	DCR|2VULN|2AART|1ASPD|2DUR	1DUST|2FEWX|38DUR|45VULN|6RCR|79AART|aASPD
74	22522 12636	 * 	197.06	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1MLV|2CDMG|3ERES|49DMG|5CGEN|6ASPD|7AART|8RCR|aVULN
75	41221 16131	   	196.78	DCR|2VULN|1AART|1ASPD|3DUR|1ZMB	18VULN|2BEXP|348DUR|58FEWX|6RCR|7AART|8BPWR|9ASPD|aZMB
76	41221 16151	   	196.78	DCR|2VULN|1AART|1DMG|3DUR|1ZMB	18VULN|2BEXP|348DUR|58FEWX|6RCR|7AART|8BPWR|9DMG|aZMB
77	41223 16131	   	196.78	DCR|2VULN|1AART|1ASPD|3DUR|1ZMB	18VULN|2BEXP|348DUR|58LHND|6RCR|7AART|8BPWR|9ASPD|aZMB
78	41223 16151	   	196.78	DCR|2VULN|1AART|1DMG|3DUR|1ZMB	18VULN|2BEXP|348DUR|58LHND|6RCR|7AART|8BPWR|9DMG|aZMB
79	42222 31254	   	196.76	DCR|3VULN|2DMG|1ZMB	157VULN|2RMIN|34RCVC|67DMG|7BPWR|8BEXP|9RCR|aZMB
80	42222 31354	   	196.76	DCR|3VULN|2DMG|1ZMB	157VULN|2RMIN|34RCVC|67DMG|7BPWR|8LWND|9RCR|aZMB
81	22123 41425	 * 	196.55	DCR|3VULN|1MDPS|2CDMG|1AART	18MLV|28CDMG|3AART|4LHND|5ERES|689VULN|7RCR|8BPWR|aMDPS
82	22133 41425	   	196.55	DCR|3VULN|1MDPS|1AART|2CDMG	18MLV|28CDMG|3AART|4BEXP|5ERES|689VULN|7RCR|8BPWR|aMDPS
83	22116 41225	   	196.45	DCR|3VULN|1MDPS|1AART|2CDMG	18MLV|28CDMG|3AART|4TLV|5DUST|689VULN|7RCR|8BPWR|aMDPS
84	11331 16313	   	196.23	DCR|2VULN|2ASPD|1DMG|2DUR|1ZMB	1LWND|2BEXP|3aASPD|4aVULN|5FEWX|6aDUR|7DMG|8ZMB|9RCR|aBPWR
85	13334 16313	   	196.23	DCR|2VULN|2ASPD|1DMG|2DUR|1ZMB	1LWND|2FEWX|3aASPD|4aVULN|5BEXP|6aDUR|7DMG|8ZMB|9RCR|aBPWR
86	22164 41211	   	195.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1MLV|2CDMG|3AART|46VULN|5DMG|7LHND|8MSLFST|9ASPD|aRCR
87	22166 23111	   	195.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1MLV|2CDMG|3AART|45VULN|6MULARM|7DUST|8DMG|9ASPD|aRCR
88	22166 31211	   	195.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1MLV|2CDMG|3AART|45VULN|6DMG|7LHND|8MSLFST|9ASPD|aRCR
89	41221 16135	 * 	195.80	DCR|2VULN|1MDPS|1AART|1ASPD|3DUR	18VULN|2BEXP|348DUR|58FEWX|6RCR|7AART|8BPWR|9ASPD|aMDPS
90	41223 16135	   	195.80	DCR|2VULN|1MDPS|1AART|1ASPD|3DUR	18VULN|2BEXP|348DUR|58LHND|6RCR|7AART|8BPWR|9ASPD|aMDPS
91	32335 36413	   	195.67	ACR|3VULN|2DMG|2ASPD|1DUR	1LEGI|2aASPD|3RCR|49aVULN|5DUR|68BEXP|7aDMG|aBPWR
92	22115 41423	   	195.49	DCR|3VULN|1AART|2CDMG|1DUR	18MLV|28CDMG|3AART|4TLV|5FEWX|689VULN|7RCR|8BPWR|aDUR
93	22123 41424	   	195.49	DCR|3VULN|2CDMG|1AART|1DUR	18MLV|28CDMG|3AART|4LHND|5ERES|689VULN|7RCR|8BPWR|aDUR
94	22133 41424	   	195.49	DCR|3VULN|1AART|2CDMG|1DUR	18MLV|28CDMG|3AART|4BEXP|5ERES|689VULN|7RCR|8BPWR|aDUR
95	32335 56213	   	195.47	ACR|3VULN|2DMG|2ASPD|1DUR	1LEGI|2aASPD|3RCR|49aVULN|5DUR|68DUST|7aDMG|aBPWR
96	33335 26151	   	195.46	ACR|2VULN|2DMG|1ASPD|1CDMG|2ZMB|1DUR	1LEGI|29DMG|3RCR|49VULN|5DUR|6RCVC|7CDMG|89ZMB|9BPWR|aASPD
97	22116 41224	   	195.39	DCR|3VULN|1AART|2CDMG|1DUR	18MLV|28CDMG|3AART|4TLV|5DUST|689VULN|7RCR|8BPWR|aDUR
98	51412 16111	   	195.31	DCR|3VULN|1AART|1CDMG|2DUR	18DUR|289BEXP|3LEGI|458VULN|6RCR|7AART|8BPWR|aCDMG
99	32335 16152	 * 	195.30	ACR|2VULN|2ASPD|1DMG|1CDMG|2DUR|2ZMB	1LEGI|29ASPD|3RCR|49VULN|56DUR|7CDMG|89ZMB|9BPWR|aDMG
100	33534 51132	 * 	195.26	ACR|3VULN|3DMG|2CDMG	1LEGI|279DMG|3RMIN|4ERES|5RCR|69aVULN|89CDMG|9BPWR
101	53412 16133	   	195.13	DCR|3VULN|2AART|2DUR	18DUR|28FEWX|3LEGI|458VULN|6RCR|79AART|8BPWR|aBEXP
102	43252 16133	   	195.03	DCR|3VULN|2AART|2DUR	158VULN|2FEWX|38DUR|48DUST|6RCR|79AART|8BPWR|aBEXP
103	53412 16131	   	195.03	DCR|3VULN|2AART|2DUR	18DUR|28FEWX|3LEGI|458VULN|6RCR|79AART|8BPWR|aTLV
104	63212 16133	   	195.03	DCR|3VULN|2AART|2DUR	18DUST|2FEWX|38DUR|458VULN|6RCR|79AART|8BPWR|aBEXP
105	63212 16135	   	195.03	DCR|3VULN|2AART|2DUR	18DUST|2aFEWX|38DUR|458VULN|6RCR|79AART|8BPWR
106	43252 16131	   	194.93	DCR|3VULN|2AART|2DUR	158VULN|2FEWX|38DUR|48DUST|6RCR|79AART|8BPWR|aTLV
107	63212 16131	   	194.93	DCR|3VULN|2AART|2DUR	18DUST|2FEWX|38DUR|458VULN|6RCR|79AART|8BPWR|aTLV
108	63212 16134	   	194.93	DCR|3VULN|2AART|2DUR	18aDUST|2FEWX|38DUR|458VULN|6RCR|79AART|8BPWR
109	53412 16113	 * 	194.91	DCR|4VULN|1AART|2DUR	18DUR|28FEWX|3LEGI|458aVULN|6RCR|7AART|8BPWR|9BEXP
110	53412 16123	   	194.91	DCR|4VULN|1AART|2DUR	18DUR|28FEWX|3LEGI|458aVULN|6RCR|7AART|8BPWR|9LHND
111	43252 16113	   	194.81	DCR|4VULN|1AART|2DUR	158aVULN|2FEWX|38DUR|48DUST|6RCR|7AART|8BPWR|9BEXP
112	43252 16123	   	194.81	DCR|4VULN|1AART|2DUR	158aVULN|2FEWX|38DUR|48DUST|6RCR|7AART|8BPWR|9LHND
113	63212 16113	   	194.81	DCR|4VULN|1AART|2DUR	18DUST|2FEWX|38DUR|458aVULN|6RCR|7AART|8BPWR|9BEXP
114	63212 16123	   	194.81	DCR|4VULN|1AART|2DUR	18DUST|2FEWX|38DUR|458aVULN|6RCR|7AART|8BPWR|9LHND
115	22162 21223	   	194.80	DCR|3VULN|1AART|1CDMG|1AAC|1DUR	1MLV|2CDMG|3AART|49aVULN|5RMIN|6DUR|7RCR|8AAC
116	42222 31651	   	194.74	DCR|3VULN|2DMG|1DUR	157VULN|2RMIN|34RCVC|67DMG|7BPWR|8DUR|9RCR|aRPLT
117	42222 31653	   	194.74	DCR|3VULN|2DMG|1DUR	157VULN|2RMIN|34RCVC|67DMG|7BPWR|8DUR|9RCR|aFEWX
118	32516 11343	 * 	194.48	DCR|3ASPD|2VULN|2DUR	1LEGI|25aASPD|3RMIN|4RCVC|6RCR|7BEXP|8aVULN|9aDUR|aBPWR
119	22125 41422	 * 	194.34	DCR|3VULN|3CDMG|1AART	18MLV|28aCDMG|3AART|4LHND|5AME|689VULN|7RCR|8BPWR
120	22123 41422	   	194.24	DCR|3VULN|3CDMG|1AART	18MLV|28aCDMG|3AART|4LHND|5ERES|689VULN|7RCR|8BPWR
121	43432 16313	   	194.10	DCR|2VULN|1MDPS|2ASPD|1DMG|2ZMB|1DUR	1aVULN|2FEWX|3DMSP|4aASPD|5MDPS|6DUR|7DMG|8aZMB|9RCR|aBPWR
122	41316 26134	   	194.07	DCR|3VULN|2ASPD|1DMG	15aVULN|2BEXP|3aASPD|4MLV|6DMG|7RCR|8MBVNT|9aLHND|aBPWR
123	41316 26144	   	194.07	DCR|3VULN|2ASPD|1DMG	15aVULN|2BEXP|3aASPD|4MLV|6DMG|7RCR|8MBVNT|9aLWND|aBPWR
124	32335 56332	 * 	193.89	ACR|2VULN|2DMG|1MDPS|2ASPD|1CDMG|1DUR	1LEGI|29ASPD|3RCR|49VULN|5DUR|6DUST|79DMG|8MDPS|9BPWR|aCDMG
125	43331 31516	 * 	193.79	DCR|3VULN|2ASPD|1AART	14aVULN|2FEWX|3aASPD|5TLV|6LIT|7aCGEN|8AART|9RCR|aBPWR
126	32335 11613	 * 	193.75	ACR|3DMG|2ASPD|1VULN|3DUR|1ZMB	1LEGI|28ASPD|3RCR|4VULN|568DUR|789DMG|8BPWR|aZMB
127	61212 16533	   	193.58	DCR|3VULN|1AART|1ASPD|1DUR	1DUST|2BEXP|3DUR|45aVULN|6RCR|7AART|8ASPD|9TLV
128	63212 16533	   	193.58	DCR|3VULN|1AART|1ASPD|1DUR	1DUST|2FEWX|3DUR|45aVULN|6RCR|7AART|8ASPD|9TLV
129	32332 31641	   	193.42	ACR|2VULN|2DMG|2ASPD|2DUR|1ZMB	1LEGI|28ASPD|3RCR|48VULN|5AME|6ZMB|78DMG|8BPWR|9aDUR
130	43125 32533	   	193.38	DCR|2VULN|2DMG|1AART	18VULN|2FEWX|3RCVC|4CANSTR|5RMIN|69DMG|7RCR|aAART
131	44222 31251	   	193.14	DCR|3VULN|2DMG|2ZMB	157VULN|27ZMB|34RCVC|67DMG|7BPWR|8BEXP|9RCR|aRPLT
132	44222 31253	   	193.14	DCR|3VULN|2DMG|2ZMB	157VULN|27ZMB|34RCVC|67DMG|7BPWR|8BEXP|9RCR|aFEWX
133	44222 31351	   	193.14	DCR|3VULN|2DMG|2ZMB	157VULN|27ZMB|34RCVC|67DMG|7BPWR|8LWND|9RCR|aRPLT
134	44222 31353	   	193.14	DCR|3VULN|2DMG|2ZMB	157VULN|27ZMB|34RCVC|67DMG|7BPWR|8LWND|9RCR|aFEWX
135	41241 13353	 * 	192.83	DCR|3VULN|2DMG|1MDPS|2DUR	14aVULN|2BEXP|3aDUR|5FEWX|6RCR|7DUST|8MDPS|9aDMG|aBPWR
136	43252 12353	   	192.83	DCR|3VULN|2DMG|1MDPS|2DUR	15aVULN|2FEWX|3aDUR|4DUST|6RCR|7BEXP|8MDPS|9aDMG|aBPWR
137	32332 31431	   	192.55	ACR|3ASPD|2VULN|2DMG|1ZMB|1SELL	1LEGI|29aASPD|3RCR|49VULN|5AME|6ZMB|79DMG|8SELL|9BPWR
138	22521 12636	 * 	192.55	DCR|3DMG|1VULN|1AART|1CDMG	1MLV|2CDMG|35ERES|49aDMG|6VULN|7AART|8RCR
139	22162 21322	   	192.33	DCR|1VULN|1AART|1DMG|1CDMG|2DUR|1ZMB	1MLV|2CDMG|3AART|4VULN|5RMIN|68DUR|7RCR|9DMG|aZMB
140	41331 26315	   	192.24	DCR|3VULN|2ASPD|1DMG	148VULN|2BEXP|38ASPD|5TLV|6DMG|78LHND|8BPWR|9RMIN|aRCR
141	61212 16511	   	192.09	DCR|2VULN|1AART|1ASPD|1CDMG|1DUR	1DUST|2BEXP|3DUR|45VULN|6RCR|7AART|8ASPD|9LWND|aCDMG
142	63212 16511	   	192.09	DCR|2VULN|1AART|1ASPD|1CDMG|1DUR	1DUST|2FEWX|3DUR|45VULN|6RCR|7AART|8ASPD|9LWND|aCDMG
143	32335 26152	   	192.09	ACR|2VULN|2ASPD|1DMG|1CDMG|2ZMB|1DUR	1LEGI|29ASPD|3RCR|49VULN|5DUR|6RCVC|7CDMG|89ZMB|9BPWR|aDMG
144	32336 46133	 * 	191.60	ACR|3ASPD|2VULN|2AART	1LEGI|28aASPD|3RCR|48VULN|5RMIN|68FEWX|79AART|8BPWR
145	22125 41413	   	191.45	DCR|3VULN|1AART|2CDMG	18MLV|28CDMG|3AART|4LHND|5AME|68aVULN|7RCR|8BPWR|9RMIN
146	22135 41413	   	191.45	DCR|3VULN|1AART|2CDMG	18MLV|28CDMG|3AART|4BEXP|5AME|68aVULN|7RCR|8BPWR|9RMIN
147	22114 41413	   	191.35	DCR|3VULN|1AART|2CDMG	18MLV|28CDMG|3AART|4TLV|5BEXP|68aVULN|7RCR|8BPWR|9RMIN
148	22115 41413	   	191.35	DCR|3VULN|1AART|2CDMG	18MLV|28CDMG|3AART|4TLV|5FEWX|68aVULN|7RCR|8BPWR|9RMIN
149	22123 41413	   	191.35	DCR|3VULN|2CDMG|1AART	18MLV|28CDMG|3AART|4LHND|5ERES|68aVULN|7RCR|8BPWR|9RMIN
150	22133 41413	   	191.35	DCR|3VULN|1AART|2CDMG	18MLV|28CDMG|3AART|4BEXP|5ERES|68aVULN|7RCR|8BPWR|9RMIN
151	32336 31624	   	191.33	ACR|2DMG|2ASPD|1VULN|1NUKE|1AAC|2ZMB	1LEGI|28ASPD|3RCR|4VULN|5RMIN|68ZMB|78DMG|8BPWR|9AAC|aNUKE
152	22343 24111	   	191.30	DCR|1VULN|1AART|2CDMG|1ASPD|1DMG|1DUR	1MLV|23CDMG|4AART|5VULN|6MULARM|7DUR|8DMG|9ASPD|aRCR
153	22116 41213	   	191.25	DCR|3VULN|1AART|2CDMG	18MLV|28CDMG|3AART|4TLV|5DUST|68aVULN|7RCR|8BPWR|9RMIN
154	32132 31621	   	191.19	DCR|2VULN|2DMG|2ASPD|1AAC|1ZMB	1LEGI|28ASPD|3BEXP|48VULN|5AME|6ZMB|78DMG|8BPWR|9AAC|aRCR
155	11212 16641	 * 	191.05	DCR|4VULN|1ASPD|2DUR|1SELL	18LWND|2BEXP|38DUR|4589VULN|6RCR|7SELL|8BPWR|aASPD
156	13212 16641	 * 	191.05	DCR|4VULN|1ASPD|2DUR|1SELL	18LWND|2FEWX|38DUR|4589VULN|6RCR|7SELL|8BPWR|aASPD
157	13335 36313	   	190.98	DCR|2VULN|2ASPD|1DMG|1ZMB|1DUR	1LWND|2FEWX|3aASPD|4aVULN|5DUR|6aBEXP|7DMG|8ZMB|9RCR|aBPWR
158	16531 36313	   	190.98	DCR|2VULN|2ASPD|1DMG|1ZMB|1DUR	1LWND|2DUR|3aASPD|4aVULN|5FEWX|6aBEXP|7DMG|8ZMB|9RCR|aBPWR
159	22343 36534	 * 	190.76	DCR|2DMG|1VULN|1AART|2CDMG|1ZMB	1MLV|23CDMG|4AART|5VULN|69DMG|7MBVNT|8ZMB|aRCR
160	41221 16134	   	190.61	DCR|2VULN|1AART|1ASPD|3DUR	18VULN|2BEXP|348DUR|58FEWX|6RCR|7AART|8BPWR|9ASPD|aRMIN
