0	Index      	 *	Score 	Summary	Detail	
1	13221 51452	 * 	222.74	DCR|4VULN|1MDPS|1ASPD|1DMG|1DUR	1ASPD|2RPLT|3459VULN|6DUR|7RCR|8DMG|aMDPS
34	31261 14111	   	205.85	DCR|2AART|1MDPS|1VULN|1ASPD|1DMG|1CDMG|1DUR	14AART|2MDPS|3CDMG|5DMSP|6ASPD|7RCR|8DMG|9VULN|aDUR
35	31263 24111	   	205.85	DCR|2AART|1MDPS|1VULN|1ASPD|1DMG|1CDMG|1DUR	14AART|2MDPS|3CDMG|5ASPD|6RCVC|7RCR|8DMG|9VULN|aDUR
36	31265 14111	   	205.85	DCR|2AART|1MDPS|1VULN|1ASPD|1DMG|1CDMG|1DUR	14AART|2MDPS|3CDMG|5RCVC|6ASPD|7RCR|8DMG|9VULN|aDUR
37	33243 36115	   	205.80	ACR|3VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1AART|2RCR|3ASPD|4CDMG|59aVULN|6DMSP|7DUR|8DMG
38	31231 16561	   	205.68	DCR|2VULN|2DMG|1MDPS|1AART|1CDMG|1DUR	1AART|2MDPS|3CDMG|49DMG|5MLV|67VULN|8RCR|aDUR
39	13121 41451	 * 	205.65	DCR|3VULN|2DMG|1ASPD|1DUR	1ASPD|2RPLT|3CGEN|48DMG|56aVULN|7RCR|9DUR
40	35242 24123	   	205.45	DCR|1VULN|1AART|1DMG|1NUKE|1CDMG|2DUR|1ZMB	1AART|2RMIN|35DUR|4CDMG|6VULN|7RCR|8DMG|9ZMB|aNUKE
41	31225 24112	   	205.40	DCR|2AART|2DMG|1MDPS|1VULN|1CDMG|1ZMB	15AART|2MDPS|3CDMG|4ZMB|6RCVC|7RCR|8aDMG|9VULN
42	12344 26323	 * 	205.22	DCR|2ASPD|1AART|1VULN|2CDMG|1NUKE	17ASPD|2LHND|35CDMG|4FEWX|6RCR|8AART|9VULN|aNUKE
43	31261 14113	 * 	204.97	DCR|2AART|1MDPS|1VULN|2CDMG|1ASPD|1DMG	14AART|2MDPS|3aCDMG|5DMSP|6ASPD|7RCR|8DMG|9VULN
44	31263 24113	   	204.97	DCR|2AART|1MDPS|1VULN|2CDMG|1ASPD|1DMG	14AART|2MDPS|3aCDMG|5ASPD|6RCVC|7RCR|8DMG|9VULN
45	31265 14113	   	204.97	DCR|2AART|1MDPS|1VULN|2CDMG|1ASPD|1DMG	14AART|2MDPS|3aCDMG|5RCVC|6ASPD|7RCR|8DMG|9VULN
46	31231 16563	 * 	204.80	DCR|2VULN|2DMG|1MDPS|1AART|2CDMG	1AART|2MDPS|3aCDMG|49DMG|5MLV|67VULN|8RCR
47	31231 16522	   	204.80	DCR|2VULN|2DMG|1MDPS|1AART|2CDMG	1AART|2MDPS|39CDMG|4aDMG|5MLV|67VULN|8RCR
48	11222 14116	   	204.43	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG	1ASPD|2RMIN|3CGEN|45VULN|6AART|7RCR|8CANSTR|9DMG|aMDPS
49	11622 14116	   	204.43	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG	1ASPD|2RMIN|3AME|45VULN|6AART|7RCR|8CANSTR|9DMG|aMDPS
50	13221 51413	 * 	204.31	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	1ASPD|2RPLT|345VULN|6DUR|7RCR|8DMG|9LWND|aCDMG
51	13221 51463	   	204.31	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	1ASPD|2RPLT|345VULN|6DUR|7RCR|8DMG|9FEWX|aCDMG
52	35243 34133	   	204.08	DCR|1VULN|1AART|2CDMG|1DMG|1NUKE|1AAC|1DUR	1AART|2RMIN|3DUR|46CDMG|5VULN|7RCR|8DMG|9AAC|aNUKE
53	13221 51421	   	203.91	DCR|4VULN|1ASPD|1DMG|1DUR	1ASPD|2RPLT|345aVULN|6DUR|7RCR|8DMG|9RMIN
54	13221 51431	   	203.91	DCR|4VULN|1ASPD|1DMG|1DUR	1ASPD|2RPLT|345aVULN|6DUR|7RCR|8DMG|9SNIFST
55	13221 51453	   	203.91	DCR|4VULN|1ASPD|1DMG|1DUR	1ASPD|2RPLT|3459VULN|6DUR|7RCR|8DMG|aRCVC
56	13221 51451	   	203.81	DCR|4VULN|1ASPD|1DMG|1DUR	1ASPD|2RPLT|3459VULN|6DUR|7RCR|8DMG|aTLV
57	33252 41373	   	203.42	ACR|2VULN|2DMG|1MDPS|2ASPD|1AART|1DUR	1AART|2RCR|39ASPD|4MBVNT|5MSLREG|69VULN|79DMG|8MDPS|9BPWR|aDUR
58	31325 16522	 * 	203.29	DCR|2VULN|2AART|1MDPS|2CDMG|1DMG	14AART|2MDPS|3LHND|59CDMG|67VULN|8RCR|aDMG
59	13121 41426	 * 	203.19	DCR|2VULN|2DMG|1AART|1ASPD	1ASPD|2RPLT|3CGEN|48DMG|56VULN|7RCR|9ERES|aAART
60	36335 51111	 * 	203.17	DCR|3DMG|2AART|1MDPS|2DUR	15AART|26DUR|3RPLT|468DMG|6BPWR|7RCR|9MDPS|aLWND
61	36335 51112	   	203.17	DCR|3DMG|2AART|1MDPS|2DUR|1MSE	15AART|26DUR|3RPLT|468DMG|6BPWR|7RCR|9MDPS|aMSE
62	36335 51113	   	203.17	DCR|3DMG|2AART|1MDPS|2DUR	15AART|26DUR|3RPLT|468DMG|6BPWR|7RCR|9MDPS|aDUST
63	31533 13144	 * 	202.85	DCR|2MDPS|2VULN|1AART|1ASPD|1DMG	1AART|2aMDPS|3LIT|45VULN|6LHND|7ASPD|8RCR|9DMG
64	36335 11121	   	202.80	DCR|2AART|2DMG|1VULN|2DUR|1ZMB	15AART|26DUR|3RPLT|48DMG|7RCR|9VULN|aZMB
65	13233 56135	   	202.71	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG	1ASPD|2RPLT|39VULN|4RMIN|5AART|6RCR|7SNIFST|8CDMG|aMDPS
66	33242 21316	 * 	202.70	ACR|2VULN|2AART|1MDPS|1ASPD|1CDMG|1DUR	17AART|2RCR|3ASPD|4CDMG|5DUR|6ERES|89VULN|aMDPS
67	13221 51252	   	202.67	DCR|4VULN|1MDPS|1ASPD|1DUR	1ASPD|2RPLT|3459VULN|6DUR|7RCR|8CGEN|aMDPS
68	13221 51652	   	202.67	DCR|4VULN|1MDPS|1ASPD|1DUR	1ASPD|2RPLT|3459VULN|6DUR|7RCR|8AME|aMDPS
69	11222 14213	 * 	202.30	DCR|3VULN|1MDPS|1AART|1ASPD	1ASPD|2RMIN|3CGEN|459VULN|6AART|7RCR|8RCVC|aMDPS
70	11222 14613	   	202.30	DCR|3VULN|1MDPS|1AART|1ASPD	1ASPD|2RMIN|3CGEN|459VULN|6AART|7RCR|8DMSP|aMDPS
71	11622 14213	   	202.30	DCR|3VULN|1MDPS|1AART|1ASPD	1ASPD|2RMIN|3AME|459VULN|6AART|7RCR|8RCVC|aMDPS
72	11622 14613	   	202.30	DCR|3VULN|1MDPS|1AART|1ASPD	1ASPD|2RMIN|3AME|459VULN|6AART|7RCR|8DMSP|aMDPS
73	11143 51116	 * 	202.29	DCR|2VULN|2AART|1MDPS|1ASPD|1SELL	1ASPD|2RMIN|3BEXP|4SELL|57AART|6RCR|89VULN|aMDPS
74	13221 51426	 * 	202.28	DCR|3VULN|2ASPD|1DMG|1DUR	1aASPD|2RPLT|345VULN|6DUR|7RCR|8DMG|9RMIN
75	33243 12123	 * 	202.18	ACR|2VULN|2ASPD|1AART|1NUKE|1CDMG|1DUR	1AART|2RCR|39ASPD|4CDMG|59VULN|6DUR|7CGEN|89TLV|9BPWR|aNUKE
76	33243 12623	   	202.18	ACR|2VULN|2ASPD|1AART|1NUKE|1CDMG|1DUR	1AART|2RCR|39ASPD|4CDMG|59VULN|6DUR|7CGEN|89ERES|9BPWR|aNUKE
77	33234 35312	   	202.18	ACR|3VULN|2ASPD|1AART|1CDMG|1ZMB	1AART|2RCR|3aASPD|4AME|5aCGEN|6ZMB|7CDMG|89aVULN|aBPWR
78	33244 22312	   	202.18	ACR|3VULN|2ASPD|1AART|1CDMG|1ZMB	1AART|2RCR|3aASPD|4CDMG|5aCGEN|6ZMB|7AME|89aVULN|aBPWR
79	12313 34335	 * 	202.08	DCR|2VULN|2ASPD|2CDMG|1DMG|1DUR|1SELL	19ASPD|2LHND|39CDMG|4RMIN|5DUR|6SELL|7DMG|89VULN|9BPWR|aRCR
80	33242 56323	 * 	202.01	ACR|3AART|2VULN|2CDMG|1ASPD|2DUR	17aAART|2RCR|3ASPD|46CDMG|56DUR|6BPWR|89VULN
81	12216 53135	 * 	201.90	DCR|3VULN|1MDPS|2ASPD|1AART|1DUR	16ASPD|2LHND|3DUR|46aVULN|5MDPS|6BPWR|7AART|8TSLFST|9RCR
82	35242 24133	   	201.90	DCR|1VULN|1AART|1DMG|1NUKE|1CDMG|2DUR|1AAC	1AART|2RMIN|35DUR|4CDMG|6VULN|7RCR|8DMG|9AAC|aNUKE
83	33252 41374	   	201.89	ACR|2VULN|2DMG|1MDPS|2ASPD|1AART|1AAC	1AART|2RCR|39ASPD|4MBVNT|5MSLREG|69VULN|79DMG|8MDPS|9BPWR|aAAC
84	33242 21315	   	201.71	ACR|3VULN|2AART|1ASPD|1CDMG|1DUR	17AART|2RCR|3ASPD|4CDMG|5DUR|6ERES|89aVULN
85	11143 51115	 * 	201.30	DCR|3VULN|2AART|1ASPD|1SELL	1ASPD|2RMIN|3BEXP|4SELL|57AART|6RCR|89aVULN
86	56425 23142	 * 	201.22	DCR|4VULN|1AART|1DMG	1RPLT|2MBVNT|3BEXP|4578VULN|6RCR|9AART|aDMG
87	13221 11355	   	201.04	DCR|3VULN|1MDPS|2ASPD|1DUR	18ASPD|2RPLT|345VULN|6FEWX|7RCR|9DUR|aMDPS
88	13221 51342	   	201.04	DCR|3VULN|1MDPS|2ASPD|1DUR	18ASPD|2RPLT|345VULN|6DUR|7RCR|9AME|aMDPS
89	33213 15116	 * 	200.95	ACR|2VULN|1MDPS|2ASPD|1AART|1CDMG|1DUR	1AART|2RCR|35ASPD|4DUR|6MLV|7CDMG|89VULN|aMDPS
90	33213 25316	   	200.95	ACR|2VULN|1MDPS|2ASPD|1AART|1CDMG|1DUR	1AART|2RCR|35ASPD|4DUR|6CGEN|7CDMG|89VULN|aMDPS
91	13221 31355	   	200.94	DCR|3VULN|1MDPS|2ASPD|1DUR	18ASPD|2RPLT|345VULN|6DUST|7RCR|9DUR|aMDPS
92	13221 51315	   	200.94	DCR|3VULN|1MDPS|2ASPD|1DUR	18ASPD|2RPLT|345VULN|6DUR|7RCR|9DUST|aMDPS
93	13221 51322	   	200.94	DCR|3VULN|1MDPS|2ASPD|1DUR	18ASPD|2RPLT|345VULN|6DUR|7RCR|9ERES|aMDPS
94	13223 41355	   	200.94	DCR|3VULN|1MDPS|2ASPD|1DUR	18ASPD|2RPLT|346VULN|5DUST|7RCR|9DUR|aMDPS
95	33244 36112	 * 	200.84	ACR|2VULN|1AART|2CDMG|1ASPD|1DMG|2DUR	1AART|2RCR|3ASPD|4aCDMG|5CGEN|6AME|7aDUR|8DMG|9aVULN|aBPWR
96	33242 55111	   	200.74	ACR|2VULN|1AART|2CDMG|1ASPD|1DMG|2DUR	1AART|2RCR|3ASPD|46CDMG|56DUR|6BPWR|7DMG|89VULN|aLWND
97	33242 55112	   	200.74	ACR|2VULN|1AART|2CDMG|1ASPD|1DMG|2DUR	1AART|2RCR|3ASPD|46CDMG|56DUR|6BPWR|7DMG|89VULN|aMULARM
98	33242 55113	   	200.74	ACR|2VULN|1AART|2CDMG|1ASPD|1DMG|2DUR	1AART|2RCR|3ASPD|46CDMG|56DUR|6BPWR|7DMG|89VULN|aBEXP
99	33542 31361	 * 	200.68	ACR|2VULN|2AART|2ASPD|1DMG|1AAC	14AART|2RCR|3BELT|58LIT|68VULN|78ASPD|8BPWR|9DMG|aAAC
100	22512 14326	   	200.61	DCR|2VULN|1MDPS|1AART|1DMG|1CDMG|1AAC	1BEXP|25VULN|3AELBLL|4AAC|6AART|7RCR|8DMG|9CDMG|aMDPS
101	32243 14116	   	200.61	DCR|2VULN|1MDPS|1AART|1DMG|1CDMG	1AART|2TLV|3LWND|4CDMG|59VULN|6RCVC|7RCR|8DMG|aMDPS
102	32343 34116	   	200.51	DCR|2VULN|1MDPS|1AART|1DMG|1CDMG	1AART|2TLV|3DUST|4CDMG|59VULN|6DMSP|7RCR|8DMG|aMDPS
103	12216 53431	   	200.41	DCR|2VULN|1MDPS|2ASPD|1AART|1CDMG|1DUR	16ASPD|2LHND|3DUR|46VULN|5MDPS|6BPWR|7AART|8CDMG|9RCR|aCGEN
104	12216 53433	   	200.41	DCR|2VULN|1MDPS|2ASPD|1AART|1CDMG|1DUR	16ASPD|2LHND|3DUR|46VULN|5MDPS|6BPWR|7AART|8CDMG|9RCR|aDMSP
105	12216 53432	   	200.31	DCR|2VULN|1MDPS|2ASPD|1AART|1CDMG|1DUR|1SELL	16ASPD|2LHND|3DUR|46VULN|5MDPS|6BPWR|7AART|8CDMG|9RCR|aSELL
106	35243 14123	   	200.21	DCR|1VULN|1AART|1DMG|1NUKE|1CDMG|1ZMB|1DUR	1AART|2RMIN|3DUR|4CDMG|5VULN|6RCVC|7RCR|8DMG|9ZMB|aNUKE
107	35243 24123	   	200.21	DCR|1VULN|1AART|1DMG|1NUKE|1CDMG|1ZMB|1DUR	1AART|26RMIN|3DUR|4CDMG|5VULN|7RCR|8DMG|9ZMB|aNUKE
108	36143 14123	   	200.11	DCR|1VULN|1AART|1DMG|1NUKE|1CDMG|1ZMB|1DUR	1AART|2DUR|3ERES|4CDMG|5VULN|6RCVC|7RCR|8DMG|9ZMB|aNUKE
109	33213 15115	   	199.95	ACR|3VULN|2ASPD|1AART|1CDMG|1DUR	1AART|2RCR|35ASPD|4DUR|6MLV|7CDMG|89aVULN
110	33213 25315	   	199.95	ACR|3VULN|2ASPD|1AART|1CDMG|1DUR	1AART|2RCR|35ASPD|4DUR|6CGEN|7CDMG|89aVULN
111	12613 34335	   	199.90	DCR|2VULN|2ASPD|1DMG|1CDMG|2DUR|1SELL	19ASPD|2LHND|3SELL|4RMIN|59DUR|6CDMG|7DMG|89VULN|9BPWR|aRCR
112	13244 31322	   	199.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1ASPD|2RPLT|39VULN|4LHND|5MSLFST|6CDMG|7DMG|8RCR|aAART
113	13624 31322	   	199.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1ASPD|2RPLT|3LWND|49VULN|5MSLFST|6CDMG|7DMG|8RCR|aAART
114	31533 31121	   	199.85	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1CDMG	1AART|2MDPS|3LIT|45VULN|6RCVC|7CDMG|8RCR|9DMG|aASPD
115	31533 41121	   	199.85	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1CDMG	1AART|2MDPS|36LIT|45VULN|7CDMG|8RCR|9DMG|aASPD
116	11222 14524	 * 	199.72	DCR|3VULN|1AART|1ASPD|1CDMG	1ASPD|2RMIN|3CGEN|459VULN|6AART|7RCR|8FEWX|aCDMG
117	11222 14324	   	199.62	DCR|3VULN|1AART|1ASPD|1CDMG	1ASPD|2RMIN|3CGEN|459VULN|6AART|7RCR|8DUST|aCDMG
118	11222 14424	   	199.62	DCR|3VULN|1AART|1ASPD|1CDMG	1ASPD|2RMIN|3CGEN|459VULN|6AART|7RCR|8LEGI|aCDMG
119	11622 14324	   	199.62	DCR|3VULN|1AART|1ASPD|1CDMG	1ASPD|2RMIN|3AME|459VULN|6AART|7RCR|8DUST|aCDMG
120	22512 14325	 * 	199.62	DCR|3VULN|1AART|1DMG|1CDMG|1AAC	1BEXP|25aVULN|3AELBLL|4AAC|6AART|7RCR|8DMG|9CDMG
121	32243 14115	   	199.62	DCR|3VULN|1AART|1DMG|1CDMG	1AART|2TLV|3LWND|4CDMG|59aVULN|6RCVC|7RCR|8DMG
122	33242 16324	   	199.55	ACR|2VULN|2AART|1ASPD|1CDMG|2DUR|1ZMB	17AART|2RCR|3ASPD|4CDMG|56DUR|89VULN|aZMB
123	11622 14523	 * 	199.55	DCR|3VULN|2AART|1ASPD	1ASPD|2RMIN|3AME|459VULN|6aAART|7RCR|8FEWX
124	32343 34115	   	199.52	DCR|3VULN|1AART|1DMG|1CDMG	1AART|2TLV|3DUST|4CDMG|59aVULN|6DMSP|7RCR|8DMG
125	33242 52116	 * 	199.50	ACR|2VULN|1MDPS|1AART|2CDMG|1ASPD|2DUR	1AART|2RCR|3ASPD|46CDMG|56DUR|6BPWR|7AME|89VULN|aMDPS
126	11622 14323	   	199.45	DCR|3VULN|2AART|1ASPD	1ASPD|2RMIN|3AME|459VULN|6aAART|7RCR|8DUST
127	11622 14423	   	199.45	DCR|3VULN|2AART|1ASPD	1ASPD|2RMIN|3AME|459VULN|6aAART|7RCR|8LEGI
128	33242 51116	   	199.40	ACR|2VULN|1MDPS|1AART|2CDMG|1ASPD|2DUR|1AAC	1AART|2RCR|3ASPD|46CDMG|56DUR|6BPWR|7AAC|89VULN|aMDPS
129	35143 34123	   	199.33	DCR|1AART|1VULN|2CDMG|1DMG|1NUKE|1ZMB	1AART|2RMIN|3LHND|46CDMG|5VULN|7RCR|8DMG|9ZMB|aNUKE
130	11222 14522	 * 	199.32	DCR|4VULN|1AART|1ASPD	1ASPD|2RMIN|3CGEN|459aVULN|6AART|7RCR|8FEWX
131	13261 41321	   	199.30	DCR|3ASPD|2VULN|1DMG|1ZMB	158ASPD|2RPLT|36VULN|4DUST|7RCR|9ZMB|aDMG
132	61313 14623	 * 	199.30	DCR|2VULN|2AART|2DMG	1AELBLL|2BEXP|34DMG|5LHND|6aAART|7RCR|89VULN
133	11222 14322	   	199.22	DCR|4VULN|1AART|1ASPD	1ASPD|2RMIN|3CGEN|459aVULN|6AART|7RCR|8DUST
134	11222 14422	   	199.22	DCR|4VULN|1AART|1ASPD	1ASPD|2RMIN|3CGEN|459aVULN|6AART|7RCR|8LEGI
135	33244 31312	 * 	199.17	ACR|3VULN|2ASPD|1AART|2CDMG|1AAC	1AART|2RCR|3aASPD|4aCDMG|5CGEN|6AME|7AAC|89aVULN|aBPWR
136	12355 14112	   	199.16	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1ASPD|2LHND|3CDMG|4LWND|5AART|6RCVC|7RCR|8aDMG|9VULN
137	15313 34112	   	199.06	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1ASPD|2DUST|3CDMG|4RMIN|5AART|6AME|7RCR|8aDMG|9VULN
138	31232 24123	   	199.06	DCR|2DMG|1MDPS|1VULN|1AART|1NUKE|1CDMG	1AART|2MDPS|3CDMG|48DMG|56RCVC|7RCR|9VULN|aNUKE
139	32244 14112	   	199.06	DCR|2DMG|1AART|1VULN|1ASPD|1CDMG	1AART|2TLV|3LWND|4CDMG|5CGEN|6ASPD|7RCR|8aDMG|9VULN
140	34335 21153	   	198.98	DCR|2AART|2DMG|1VULN|1NUKE	15AART|2BEXP|3RPLT|48DMG|6RCVC|7RCR|9VULN|aNUKE
141	34335 31153	   	198.98	DCR|2AART|2DMG|1VULN|1NUKE	15AART|26BEXP|3RPLT|48DMG|7RCR|9VULN|aNUKE
142	34361 11112	   	198.98	DCR|2AART|2DMG|1VULN|1ASPD	14AART|2BEXP|3RPLT|5DMSP|6ASPD|7RCR|8aDMG|9VULN
143	34363 21112	   	198.98	DCR|2AART|2DMG|1VULN|1ASPD	14AART|2BEXP|3RPLT|5ASPD|6RCVC|7RCR|8aDMG|9VULN
144	34363 31112	   	198.98	DCR|2AART|2DMG|1VULN|1ASPD	14AART|26BEXP|3RPLT|5ASPD|7RCR|8aDMG|9VULN
145	34365 11112	   	198.98	DCR|2AART|2DMG|1VULN|1ASPD	14AART|2BEXP|3RPLT|5RCVC|6ASPD|7RCR|8aDMG|9VULN
146	34366 11112	   	198.98	DCR|2AART|2DMG|1VULN|1ASPD	14AART|25BEXP|3RPLT|6ASPD|7RCR|8aDMG|9VULN
147	35461 11112	   	198.98	DCR|2AART|2DMG|1VULN|1ASPD	15AART|2RMIN|3AME|4RPLT|6ASPD|7RCR|8aDMG|9VULN
148	32344 14112	   	198.96	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1AART|2TLV|3DUST|4CDMG|5CGEN|6ASPD|7RCR|8aDMG|9VULN
149	55613 11112	   	198.91	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1SELL	1RPLT|2CDMG|3SELL|4RMIN|5AART|6ASPD|7RCR|8aDMG|9VULN
150	13224 15511	   	198.70	DCR|2VULN|2ASPD|1DMG|1CDMG|1DUR	17ASPD|2RPLT|34VULN|5CDMG|6DMG|8RCR|9MLV|aDUR
151	13224 15521	   	198.70	DCR|2VULN|2ASPD|1DMG|1CDMG|1DUR	17ASPD|2RPLT|34VULN|5CDMG|6DMG|8RCR|9AME|aDUR
152	33242 52115	   	198.51	ACR|3VULN|1AART|2CDMG|1ASPD|2DUR	1AART|2RCR|3ASPD|46CDMG|56DUR|6BPWR|7AME|89aVULN
153	33242 51115	   	198.41	ACR|3VULN|1AART|2CDMG|1ASPD|2DUR|1AAC	1AART|2RCR|3ASPD|46CDMG|56DUR|6BPWR|7AAC|89aVULN
154	13221 51433	   	198.40	DCR|3VULN|1ASPD|1DMG|1ZMB|1DUR	1ASPD|2RPLT|345VULN|6DUR|7RCR|8DMG|9SNIFST|aZMB
155	13233 56324	 * 	198.13	DCR|2VULN|2AART|2ASPD	19ASPD|2RPLT|39VULN|4RMIN|5aAART|6RCR|79SNIFST|8BELT|9BPWR
156	13221 51332	 * 	198.07	DCR|4VULN|2ASPD|1DUR	18ASPD|2RPLT|345aVULN|6DUR|7RCR|9LIT
157	13221 11351	   	198.07	DCR|4VULN|2ASPD|1DUR	18ASPD|2RPLT|345aVULN|6FEWX|7RCR|9DUR
