0	Index      	 *	Score 	Summary	Detail	
1	13112 61626	 * 	220.42	橙3易伤3伤害3暴击1全技能	178暴击2最后敌人3挖青478易伤578伤害6核78序列升级9平台a全技能
24	13112 61631	   	197.12	橙3易伤3伤害3暴击	178暴击2最后敌人3挖青478易伤578伤害6核78序列升级9额外掉落a挖尘
25	13112 61632	   	197.12	橙3易伤3伤害3暴击	178暴击2最后敌人3挖青478易伤578伤害6核78序列升级9额外掉落a防空对直升
26	13112 61651	   	197.12	橙3易伤3伤害3暴击	178暴击2最后敌人3挖青478易伤578伤害6核78序列升级9挖尘a基地爆炸
27	13112 61652	   	197.12	橙3易伤3伤害3暴击	178暴击2最后敌人3挖青478易伤578伤害6核78序列升级9挖尘a机枪对壮
28	13112 61653	   	197.12	橙3易伤3伤害3暴击	178暴击2最后敌人3挖青478易伤578伤害6核78序列升级9挖尘a敌人爆炸
29	13112 61661	   	197.12	橙3伤害3易伤3暴击	178暴击2最后敌人3挖青478易伤578伤害6核78序列升级9掉矿a基地爆炸
30	13112 61662	   	197.12	橙3易伤3伤害3暴击	178暴击2最后敌人3挖青478易伤578伤害6核78序列升级9掉矿a金币生成
31	13112 61663	   	197.12	橙3伤害3易伤3暴击	178暴击2a最后敌人3挖青478易伤578伤害6核78序列升级9掉矿
32	13112 61633	   	196.98	橙3易伤3伤害3暴击1卖塔	178暴击2最后敌人3挖青478易伤578伤害6核78序列升级9额外掉落a卖塔
33	12234 21433	   	195.61	橙2易伤2伤害1全技能1暴击1策反	1暴击2策反35易伤4a伤害6核7平台8全技能9时间
34	56313 42733	 * 	195.54	紫3易伤2伤害1全技能1暴击	1加一2核3暴击46a易伤56低血量敌人6序列升级78伤害9全技能
35	13116 61624	 * 	195.41	橙3易伤3策反3暴击1全技能	178暴击2最后敌人3挖青478易伤578策反6核78序列升级9加一a全技能
36	56832 13211	 * 	193.80	紫3易伤3伤害3攻速	1加一2核35a攻速458伤害5a序列升级69a易伤7a矿等
37	56832 41211	   	193.60	紫3易伤3伤害3攻速	1加一2核35a攻速458伤害5a序列升级6a掉矿79a易伤
38	56832 13444	   	193.43	紫2易伤2伤害1全技能2攻速1暴击	1加一2核35攻速45伤害5序列升级68易伤7矿等9全技能a暴击
39	35314 22331	   	193.40	橙5易伤2伤害1策反	1平台23459易伤6核79金币生成89伤害9序列升级a策反
40	35314 25331	   	193.40	橙5易伤2伤害1策反	1平台23459易伤6核79矿等89伤害9序列升级a策反
41	35414 22331	   	193.40	橙5易伤2伤害1策反	1平台23459易伤39序列升级6核79金币生成89伤害a策反
42	12213 22621	   	193.37	橙3易伤2伤害2暴击1策反	18暴击2策反38a易伤4攻速5最后敌人6核78伤害8序列升级9低血量敌人
43	12215 22621	   	193.37	橙3易伤2伤害2暴击1策反	18暴击2策反38a易伤4攻速5敌人爆炸6核78伤害8序列升级9低血量敌人
44	12215 22641	   	193.27	橙3易伤2伤害2暴击1策反	18暴击2策反38a易伤4攻速5敌人爆炸6核78伤害8序列升级9挖青
45	12215 22661	   	193.27	橙3易伤2伤害2暴击1策反	18暴击2策反38a易伤4攻速5敌人爆炸6核78伤害8序列升级9加一
46	56312 84341	 * 	192.25	紫4易伤2伤害2暴击	1加一2核3a暴击469a易伤5a伤害7平台8额外掉落a序列升级
47	12213 22663	   	191.72	橙3易伤3伤害3暴击1策反1挖怪	189暴击2策反389易伤4攻速5最后敌人6核789伤害89序列升级a挖怪
48	56434 51324	   	191.52	紫2易伤2伤害1全技能1暴击2时间	1加一2核35时间45易伤5序列升级67伤害8暴击9低血量敌人a全技能
49	56434 51344	   	191.52	紫2易伤2伤害1全技能1暴击2时间	1加一2核35时间45易伤5序列升级67伤害8暴击9最后敌人a全技能
50	56312 31721	 * 	191.33	紫3伤害2易伤3暴击	1加一2核378暴击49易伤578伤害678基地爆炸78序列升级a时间
51	56832 13442	 * 	191.23	紫2易伤2伤害2全技能2攻速	1加一2核35攻速45伤害5序列升级68易伤7矿等9a全技能
52	56832 13441	   	190.79	紫2易伤2伤害1全技能2攻速1策反	1加一2核35攻速45伤害5序列升级68易伤7矿等9全技能a策反
53	12211 44225	   	190.72	橙3易伤2伤害2暴击1策反1卖塔	1a暴击2策反38a易伤4攻速5雷电6a伤害7核9卖塔a序列升级
