0	Index      	 *	Score 	Summary	Detail	
1	32235 33316	 * 	357.15	4VULN|1MDPS|2TLV|1DUR	1LEGI|27AEFBLL|3LHND|47TLV|5679VULN|7BPWR|8DUR|aMDPS
37	22225 42123	   	330.94	DCR|2VULN|1MDPS|1DUR	126ERES|38FEWX|4DUR|57VULN|9RCR|aMDPS
38	32263 46323	   	330.94	DCR|2VULN|1MDPS|1DUR	1LEGI|2AEFBLL|3LHND|46VULN|5TBNT|7DUR|8FEWX|9RCR|aMDPS
39	63225 33234	 * 	330.88	3VULN|1MDPS|2TLV|2DUR	17TLV|23BEXP|47DUR|567VULN|7BPWR|8LWND|9AAC|aMDPS
40	63225 33326	 * 	330.88	DCR|3VULN|2TLV|2DUR	17TLV|23BEXP|47DUR|567VULN|7BPWR|8FEWX|9RPLT|aRCR
41	63225 33334	   	330.88	3VULN|1MDPS|2TLV|2DUR	17TLV|23BEXP|47DUR|567VULN|7BPWR|8FEWX|9AAC|aMDPS
42	63325 33234	   	330.88	3VULN|1MDPS|2TLV|2DUR	17TLV|2BEXP|3RCVC|47DUR|567VULN|7BPWR|8LWND|9AAC|aMDPS
43	63325 33326	   	330.88	DCR|3VULN|2TLV|2DUR	17TLV|2BEXP|3RCVC|47DUR|567VULN|7BPWR|8FEWX|9RPLT|aRCR
44	63325 33334	   	330.88	3VULN|1MDPS|2TLV|2DUR	17TLV|2BEXP|3RCVC|47DUR|567VULN|7BPWR|8FEWX|9AAC|aMDPS
45	32263 46223	   	330.84	DCR|2VULN|1MDPS|1DUR	1LEGI|28AEFBLL|3LHND|46VULN|5TBNT|7DUR|9RCR|aMDPS
46	63225 33116	   	330.78	DCR|3VULN|2TLV|2DUR	17TLV|239BEXP|47DUR|567VULN|7BPWR|8ERES|aRCR
47	63225 33216	   	330.78	3VULN|1MDPS|2TLV|2DUR	17TLV|23BEXP|47DUR|567VULN|7BPWR|8LWND|9DUST|aMDPS
48	63225 33261	   	330.78	3VULN|1MDPS|2TLV|2DUR	17TLV|23BEXP|47DUR|567VULN|7BPWR|8LWND|9MDPS|aFLTARM
49	63225 33262	 * 	330.78	3VULN|1MDPS|2TLV|3DUR	17TLV|23BEXP|47aDUR|567VULN|7BPWR|8LWND|9MDPS
50	63225 33263	 * 	330.78	4VULN|1MDPS|2TLV|2DUR	17TLV|23BEXP|47DUR|567aVULN|7BPWR|8LWND|9MDPS
51	63225 33316	   	330.78	3VULN|1MDPS|2TLV|2DUR	17TLV|23BEXP|47DUR|567VULN|7BPWR|8FEWX|9DUST|aMDPS
52	63325 33216	   	330.78	3VULN|1MDPS|2TLV|2DUR	17TLV|2BEXP|3RCVC|47DUR|567VULN|7BPWR|8LWND|9DUST|aMDPS
53	63325 33261	   	330.78	3VULN|1MDPS|2TLV|2DUR	17TLV|2BEXP|3RCVC|47DUR|567VULN|7BPWR|8LWND|9MDPS|aFLTARM
54	63325 33262	   	330.78	3VULN|1MDPS|2TLV|3DUR	17TLV|2BEXP|3RCVC|47aDUR|567VULN|7BPWR|8LWND|9MDPS
55	63325 33263	   	330.78	4VULN|1MDPS|2TLV|2DUR	17TLV|2BEXP|3RCVC|47DUR|567aVULN|7BPWR|8LWND|9MDPS
56	63325 33316	   	330.78	3VULN|1MDPS|2TLV|2DUR	17TLV|2BEXP|3RCVC|47DUR|567VULN|7BPWR|8FEWX|9DUST|aMDPS
57	53225 31334	 * 	328.74	DCR|3VULN|1CDMG|1TLV|1DUR	1ZMB|23BEXP|4DUR|568VULN|7TLV|9CDMG|aRCR
58	53325 31334	   	328.74	DCR|3VULN|1CDMG|1TLV|1DUR	1ZMB|2BEXP|3RCVC|4DUR|568VULN|7TLV|9CDMG|aRCR
59	62316 11211	   	328.64	DCR|3VULN|1CDMG|1TLV|1DUR	1TLV|2ERES|3LIT|4LHND|59aVULN|6RCR|7DUR|8CDMG
