0	Index      	 *	Score 	Summary	Detail	
1	65432 32233	 * 	383.55	DCR|2VULN|1MDPS|2DUR|1TLV|1AART	13DUR|2BEXP|4RMIN|56VULN|7TLV|8RCR|9AART|aMDPS
14	52252 34233	   	357.45	DCR|2VULN|1MDPS|1TLV|1DUR	12LHND|3TLV|4BEXP|56VULN|7CGEN|8RCR|9DUR|aMDPS
15	52341 32233	   	357.45	DCR|2VULN|1MDPS|1TLV|1DUR	12LHND|3ZMB|46VULN|5BEXP|7TLV|8RCR|9DUR|aMDPS
16	52352 32233	   	357.45	DCR|2VULN|1MDPS|1TLV|1DUR	12LHND|3ZMB|4BEXP|56VULN|7TLV|8RCR|9DUR|aMDPS
17	52152 11233	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	12LHND|3BEXP|4TLV|57VULN|6AME|8RCR|9DUR|aMDPS
18	52152 32233	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	12LHND|3BEXP|4TLV|56VULN|7AME|8RCR|9DUR|aMDPS
19	52152 61233	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	12LHND|3BEXP|4TLV|57VULN|6ASPD|8RCR|9DUR|aMDPS
20	52241 11233	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	12LHND|3TLV|47VULN|5BEXP|6AME|8RCR|9DUR|aMDPS
21	52241 32233	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	12LHND|3TLV|46VULN|5BEXP|7AME|8RCR|9DUR|aMDPS
22	52241 61233	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	12LHND|3TLV|47VULN|5BEXP|6ASPD|8RCR|9DUR|aMDPS
23	52242 61233	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	12LHND|3TLV|47VULN|5RMIN|6DUST|8RCR|9DUR|aMDPS
24	52252 11233	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	12LHND|3TLV|4BEXP|57VULN|6AME|8RCR|9DUR|aMDPS
25	52252 32233	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	12LHND|3TLV|4BEXP|56VULN|7AME|8RCR|9DUR|aMDPS
26	52252 61233	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	12LHND|3TLV|4BEXP|57VULN|6ASPD|8RCR|9DUR|aMDPS
27	53331 32233	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	1LHND|26VULN|3AEWIND|4RMIN|5BEXP|7TLV|8RCR|9DUR|aMDPS
28	53351 34233	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	1LHND|26VULN|3AEWIND|4TLV|5BEXP|7CGEN|8RCR|9DUR|aMDPS
29	35152 34233	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1LEGI|2AEFRZ|3BEXP|4TLV|56VULN|7CGEN|8RCR|9DUR|aMDPS
30	35241 34233	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1LEGI|2AEFRZ|3TLV|46VULN|5BEXP|7CGEN|8RCR|9DUR|aMDPS
31	35252 34233	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1LEGI|2AEFRZ|3TLV|4BEXP|56VULN|7CGEN|8RCR|9DUR|aMDPS
32	35132 32233	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1LEGI|2AEFRZ|3BEXP|4RMIN|56VULN|7TLV|8RCR|9DUR|aMDPS
33	35341 32233	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1LEGI|2AEFRZ|3ZMB|46VULN|5BEXP|7TLV|8RCR|9DUR|aMDPS
34	35352 32233	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1LEGI|2AEFRZ|3ZMB|4BEXP|56VULN|7TLV|8RCR|9DUR|aMDPS
35	53351 11233	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1LHND|27VULN|3AEWIND|4TLV|5BEXP|6AME|8RCR|9DUR|aMDPS
36	53351 32233	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1LHND|26VULN|3AEWIND|4TLV|5BEXP|7AME|8RCR|9DUR|aMDPS
37	53351 61233	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1LHND|27VULN|3AEWIND|4TLV|5BEXP|6ASPD|8RCR|9DUR|aMDPS
38	53352 61233	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1LHND|27VULN|3AEWIND|4TLV|5RMIN|6DUST|8RCR|9DUR|aMDPS
39	55241 11233	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1LHND|2TLV|3AEFRZ|47VULN|5BEXP|6AME|8RCR|9DUR|aMDPS
40	55241 32233	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1LHND|2TLV|3AEFRZ|46VULN|5BEXP|7AME|8RCR|9DUR|aMDPS
41	55252 11233	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1LHND|2TLV|3AEFRZ|4BEXP|57VULN|6AME|8RCR|9DUR|aMDPS
42	55252 32233	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1LHND|2TLV|3AEFRZ|4BEXP|56VULN|7AME|8RCR|9DUR|aMDPS
43	56241 32233	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1LHND|2ASPD|3AEFRZ|46VULN|5BEXP|7TLV|8RCR|9DUR|aMDPS
44	56252 32233	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1LHND|2ASPD|3AEFRZ|4BEXP|56VULN|7TLV|8RCR|9DUR|aMDPS
45	65432 11233	   	357.25	DCR|2VULN|1MDPS|2DUR|1AART	13DUR|2BEXP|4RMIN|57VULN|6AME|8RCR|9AART|aMDPS
46	35152 11233	   	357.15	DCR|2VULN|1MDPS|1TLV|1DUR	1LEGI|2AEFRZ|3BEXP|4TLV|57VULN|6AME|8RCR|9DUR|aMDPS
47	35152 32233	   	357.15	DCR|2VULN|1MDPS|1TLV|1DUR	1LEGI|2AEFRZ|3BEXP|4TLV|56VULN|7AME|8RCR|9DUR|aMDPS
48	35152 61233	   	357.15	DCR|2VULN|1MDPS|1TLV|1DUR	1LEGI|2AEFRZ|3BEXP|4TLV|57VULN|6ASPD|8RCR|9DUR|aMDPS
49	35241 11233	   	357.15	DCR|2VULN|1MDPS|1TLV|1DUR	1LEGI|2AEFRZ|3TLV|47VULN|5BEXP|6AME|8RCR|9DUR|aMDPS
50	35241 32233	   	357.15	DCR|2VULN|1MDPS|1TLV|1DUR	1LEGI|2AEFRZ|3TLV|46VULN|5BEXP|7AME|8RCR|9DUR|aMDPS
51	35241 61233	   	357.15	DCR|2VULN|1MDPS|1TLV|1DUR	1LEGI|2AEFRZ|3TLV|47VULN|5BEXP|6ASPD|8RCR|9DUR|aMDPS
52	35242 61233	   	357.15	DCR|2VULN|1MDPS|1TLV|1DUR	1LEGI|2AEFRZ|3TLV|47VULN|5RMIN|6DUST|8RCR|9DUR|aMDPS
53	35252 11233	   	357.15	DCR|2VULN|1MDPS|1TLV|1DUR	1LEGI|2AEFRZ|3TLV|4BEXP|57VULN|6AME|8RCR|9DUR|aMDPS
54	35252 32233	   	357.15	DCR|2VULN|1MDPS|1TLV|1DUR	1LEGI|2AEFRZ|3TLV|4BEXP|56VULN|7AME|8RCR|9DUR|aMDPS
55	35252 61233	   	357.15	DCR|2VULN|1MDPS|1TLV|1DUR	1LEGI|2AEFRZ|3TLV|4BEXP|57VULN|6ASPD|8RCR|9DUR|aMDPS
56	66116 13331	 * 	355.04	DCR|2VULN|1MDPS|3DUR	156DUR|2FRZFST|3LIT|4FEWX|7RCR|89VULN|aMDPS
57	66136 13331	   	354.94	DCR|2VULN|1MDPS|3DUR	156DUR|2FRZFST|3LIT|4DUST|7RCR|89VULN|aMDPS
