0	Index      	 *	Score 	Summary	Detail	
1	35522 41231	 * 	276.34	DCR|3VULN|1LIT|3ASPD|1MLV	1BASICY|246ASPD|346VULN|46BPWR|59RCVC|7RCR|8LIT|aMLV
54	22623 23156	   	256.01	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD	1LHND|28VULN|3RPLT|4LIT|5BELT|6RCR|7MLV|9ASPD|aDMG
55	42115 54123	 * 	255.34	DCR|2MLV|3VULN|1LIT	1DMSP|238VULN|4LEGI|5MBVNT|6RCR|79MLV|aLIT
56	42215 54123	   	255.34	DCR|2MLV|3VULN|1LIT	1DMSP|238VULN|3BPWR|4LEGI|5MBVNT|6RCR|79MLV|aLIT
57	13451 32433	 * 	255.20	DCR|3LIT|2DMG|1MLV|1ASPD	1TLV|2MLV|3ASPD|47DMG|5ZMB|689LIT|aRCR
58	42134 12523	 * 	255.16	DCR|3LIT|2VULN|1MLV	1DMSP|23VULN|4AART|5MLV|679LIT|8ERES|aRCR
59	42234 12523	   	255.16	DCR|3LIT|2VULN|1MLV	1DMSP|23VULN|3BPWR|4AART|5MLV|679LIT|8ERES|aRCR
60	25336 26111	   	255.11	DCR|2LIT|2VULN|1MLV|1ASPD	1LHND|2MULARM|36VULN|4ASPD|5MLV|7BEXP|8RCR|9aLIT
61	33346 26111	   	255.11	DCR|2LIT|2VULN|1MLV|1ASPD	1BASICY|2LWND|36VULN|4ASPD|5MLV|7BEXP|8RCR|9aLIT
62	25336 22111	   	255.01	DCR|2LIT|2VULN|1MLV|1ASPD	1LHND|2MULARM|36VULN|4ASPD|5MLV|7DUST|8RCR|9aLIT
63	33346 22111	   	255.01	DCR|2LIT|2VULN|1MLV|1ASPD	1BASICY|2LWND|36VULN|4ASPD|5MLV|7DUST|8RCR|9aLIT
64	42452 32233	 * 	254.23	DCR|1LIT|2DMG|1VULN|1MLV|1ASPD	1DMSP|2VULN|3ASPD|48DMG|5NUKE|6RCR|7MLV|9ZMB|aLIT
65	32621 43522	   	254.22	DCR|3LIT|1VULN|1MLV|1DMG	1BASICY|24aLIT|345DUST|4BPWR|6VULN|7RCR|8DMG|9MLV
66	31351 51251	   	254.11	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG	1BASICY|2RPLT|3DMG|4MLV|5CDMG|6aVULN|7RCR|8LHND|9LIT
67	31612 51251	   	254.11	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG	1BASICY|2RPLT|3CDMG|4MLV|5DMG|6aVULN|7RCR|8LHND|9LIT
68	31351 11451	   	254.11	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG	1BASICY|2RPLT|3DMG|4MLV|5CDMG|6FEWX|7RCR|8aVULN|9LIT
69	31612 11451	   	254.11	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG	1BASICY|2RPLT|3CDMG|4MLV|5DMG|6FEWX|7RCR|8aVULN|9LIT
70	16423 62321	   	254.11	DCR|1LIT|1VULN|1MLV|2ASPD|1DMG|1CDMG	1TLV|23ASPD|4CDMG|5DMG|6MLV|7RCR|8VULN|9LIT|aBEXP
71	16423 62323	   	254.11	DCR|1LIT|1VULN|1MLV|2ASPD|1DMG|1CDMG	1TLV|23ASPD|4CDMG|5DMG|6MLV|7RCR|8VULN|9LIT|aBELT
72	31351 21451	   	254.01	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG	1BASICY|2RPLT|3DMG|4MLV|5CDMG|6DUST|7RCR|8aVULN|9LIT
73	31612 21451	   	254.01	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG	1BASICY|2RPLT|3CDMG|4MLV|5DMG|6DUST|7RCR|8aVULN|9LIT
74	33257 41461	   	254.01	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD	1BASICY|2LWND|3MBVNT|4ASPD|5MLV|6DMG|7RCR|8aVULN|9LIT
75	31351 51316	   	254.01	DCR|1LIT|1VULN|1MLV|2ASPD|1DMG|1CDMG	1BASICY|2RPLT|3DMG|4MLV|5CDMG|6VULN|7RCR|8aASPD|9LIT
76	31612 51316	   	254.01	DCR|1LIT|1VULN|1MLV|2ASPD|1DMG|1CDMG	1BASICY|2RPLT|3CDMG|4MLV|5DMG|6VULN|7RCR|8aASPD|9LIT
77	36522 41111	 * 	253.27	DCR|2LIT|3VULN|3ZMB	1BASICY|246ZMB|346VULN|46BPWR|5RCVC|7RCR|8NUKE|9aLIT
78	36522 41331	   	253.27	DCR|2LIT|3VULN|3ZMB	1BASICY|246ZMB|346VULN|46BPWR|5RCVC|7RCR|8MULHEA|9aLIT
79	26316 23111	   	253.11	DCR|2LIT|1FLTARM|1MLV|1VULN	1LHND|2LWND|3FLTARM|4CGEN|5MLV|6VULN|7DMSP|8RCR|9aLIT
80	25412 26111	 * 	252.91	DCR|2LIT|2DMG|1VULN|1MLV	1LHND|2MULARM|35DMG|4MLV|6VULN|7BEXP|8RCR|9aLIT
81	33412 26111	   	252.91	DCR|2LIT|2DMG|1VULN|1MLV	1BASICY|2LWND|35DMG|4MLV|6VULN|7BEXP|8RCR|9aLIT
82	25412 22111	   	252.81	DCR|2LIT|2DMG|1VULN|1MLV	1LHND|2MULARM|35DMG|4MLV|6VULN|7DUST|8RCR|9aLIT
83	25412 42111	   	252.81	DCR|2LIT|2DMG|1VULN|1MLV	1LHND|2MULARM|35DMG|4MLV|6DUST|7VULN|8RCR|9aLIT
84	33366 52111	   	252.81	DCR|2LIT|2DMG|1VULN|1MLV	1BASICY|2LWND|3VULN|46DMG|5MLV|7DUST|8RCR|9aLIT
85	33412 22111	   	252.81	DCR|2LIT|2DMG|1VULN|1MLV	1BASICY|2LWND|35DMG|4MLV|6VULN|7DUST|8RCR|9aLIT
86	33412 42111	   	252.81	DCR|2LIT|2DMG|1VULN|1MLV	1BASICY|2LWND|35DMG|4MLV|6DUST|7VULN|8RCR|9aLIT
87	31315 33246	   	252.31	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD	1BASICY|2RPLT|3DMG|4RMIN|5ASPD|6aVULN|7LIT|8RCR|9MLV
88	33366 22115	   	252.21	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG	1BASICY|2LWND|36VULN|4DMG|5MLV|7DUST|8RCR|9LIT|aCDMG
89	42134 13323	   	251.51	DCR|2LIT|2VULN|1MLV|1ASPD	1DMSP|23VULN|4AART|5MLV|68LIT|7SPLARM|9ASPD|aRCR
90	42234 13323	   	251.51	DCR|2LIT|2VULN|1MLV|1ASPD	1DMSP|23VULN|3BPWR|4AART|5MLV|68LIT|7SPLARM|9ASPD|aRCR
91	23331 54143	   	251.45	DCR|1LIT|2VULN|1FLTARM|2DUR|1CDMG|1ASPD	1LHND|25DUR|3FLTARM|4ASPD|67VULN|8RCR|9CDMG|aLIT
92	35522 35213	 * 	251.21	DCR|3VULN|1LIT|2ASPD|1DMG	1BASICY|24ASPD|347VULN|4BPWR|5RCVC|6DMG|8LIT|9TSLARM|aRCR
93	42112 11625	 * 	251.21	DCR|4VULN|1LIT|1DMG	1DMSP|2378VULN|4LEGI|5DMG|6ZMB|9LIT|aRCR
94	42212 11625	   	251.21	DCR|4VULN|1LIT|1DMG	1DMSP|2378VULN|3BPWR|4LEGI|5DMG|6ZMB|9LIT|aRCR
95	42134 13622	 * 	251.14	DCR|2LIT|2MLV|2VULN	1DMSP|23VULN|4AART|5aMLV|69LIT|7SPLARM|8RCR
96	42234 13622	   	251.14	DCR|2LIT|2MLV|2VULN	1DMSP|23VULN|3BPWR|4AART|5aMLV|69LIT|7SPLARM|8RCR
97	42134 13523	   	250.78	DCR|3VULN|1LIT|1MLV|1ASPD	1DMSP|238VULN|4AART|5MLV|6LIT|7SPLARM|9ASPD|aRCR
98	42234 13523	   	250.78	DCR|3VULN|1LIT|1MLV|1ASPD	1DMSP|238VULN|3BPWR|4AART|5MLV|6LIT|7SPLARM|9ASPD|aRCR
99	21336 21562	   	250.60	DCR|1LIT|2VULN|1FLTARM|1MLV|1ASPD	1LHND|2FEWX|3FLTARM|4ASPD|5MLV|6aVULN|7FRZARM|8LIT|9RCR
100	21336 22562	   	250.60	DCR|1LIT|2VULN|1FLTARM|1MLV|1ASPD	1LHND|2FEWX|3FLTARM|4ASPD|5MLV|6aVULN|7FRZICY|8LIT|9RCR
101	31351 51114	   	250.53	DCR|2LIT|1VULN|1MLV|1DMG|1CDMG|1SELL	1BASICY|2RPLT|3DMG|4MLV|5CDMG|6VULN|7RCR|8SELL|9aLIT
102	31612 51114	   	250.53	DCR|2LIT|1VULN|1MLV|1DMG|1CDMG|1SELL	1BASICY|2RPLT|3CDMG|4MLV|5DMG|6VULN|7RCR|8SELL|9aLIT
103	32161 26311	   	250.51	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD	1BASICY|2LIT|3AART|4RCVC|5ASPD|6DMG|7aVULN|8MLV|9RCR
104	42126 53213	   	250.37	DCR|3LIT|2VULN|1CDMG|1ASPD	1DMSP|23VULN|4CDMG|578LIT|6BLASTR|9ASPD|aRCR
105	42226 53213	   	250.37	DCR|3LIT|2VULN|1CDMG|1ASPD	1DMSP|23VULN|3BPWR|4CDMG|578LIT|6BLASTR|9ASPD|aRCR
106	23316 53136	 * 	250.20	DCR|1LIT|1FLTARM|1MLV|1VULN|1DMG|1DUR	17LHND|2DUR|3FLTARM|4CGEN|5MLV|6DMG|8RCR|9VULN|aLIT
107	22313 61311	 * 	250.09	DCR|3VULN|1LIT|1FLTARM|1DUR	13LHND|238VULN|3BPWR|4AART|5DUR|6RCR|7LIT|9FEWX|aFLTARM
108	35134 51211	   	249.91	DCR|3LIT|1VULN|1MLV|1ASPD	18BASICY|2ASPD|38aLIT|4LWND|5MLV|6RCR|78FEWX|8BPWR|9VULN
109	35134 51221	   	249.91	DCR|3LIT|1VULN|1MLV|1ASPD	18BASICY|2ASPD|389LIT|4LWND|5MLV|6RCR|78FEWX|8BPWR|aVULN
110	32622 51151	   	249.71	DCR|3LIT|1VULN|1MLV|1ASPD	1BASICY|24aLIT|34DUST|4BPWR|5VULN|6RCR|7FEWX|8ASPD|9MLV
111	23336 23115	   	249.50	DCR|1LIT|1FLTARM|1VULN|1MLV|1CDMG|1ASPD|1DUR	17LHND|2DUR|3FLTARM|4ASPD|5MLV|6VULN|8RCR|9LIT|aCDMG
112	16143 15233	   	249.23	DCR|2LIT|2VULN|2ASPD|1CDMG	1TLV|26ASPD|35VULN|4aLIT|7CDMG|8RCR|9AART
113	31355 33231	   	248.97	DCR|2LIT|1VULN|1MLV|1DMG|1ASPD	1BASICY|2RPLT|3DMG|4MLV|5ASPD|6VULN|79LIT|8RCR|aLHND
114	31355 33232	   	248.97	DCR|2LIT|1VULN|1MLV|1DMG|1ASPD	1BASICY|2RPLT|3DMG|4MLV|5ASPD|6VULN|79LIT|8RCR|aLWND
115	31355 33235	   	248.97	DCR|2LIT|1VULN|1MLV|1DMG|1ASPD	1BASICY|2RPLT|3DMG|4MLV|5ASPD|6VULN|79LIT|8RCR|aFEWX
116	31355 33222	   	248.97	DCR|2LIT|1VULN|1MLV|1DMG|1ASPD	1BASICY|2RPLT|3DMG|4MLV|5ASPD|6VULN|7aLIT|8RCR|9AART
117	31355 23233	   	248.87	DCR|2LIT|1VULN|1MLV|1DMG|1ASPD	1BASICY|2RPLT|3DMG|4MLV|5ASPD|6DUST|79LIT|8RCR|aVULN
118	31355 33233	   	248.87	DCR|2LIT|1VULN|1MLV|1DMG|1ASPD	1BASICY|2RPLT|3DMG|4MLV|5ASPD|6VULN|79LIT|8RCR|aDUST
119	35122 61261	   	248.87	DCR|2LIT|1VULN|1MLV|1DMG|1ASPD	1BASICY|2ASPD|35LIT|4RPLT|6VULN|7MBVNT|8RCR|9DMG|aMLV
120	13112 23343	   	248.81	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG	1TLV|2MLV|38VULN|4AART|5FEWX|6DMG|7LIT|9CDMG|aRCR
121	13641 32523	   	248.81	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG	1TLV|2MLV|3FEWX|4LIT|5AART|6CDMG|7DMG|89VULN|aRCR
122	42123 21323	   	248.81	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG	1DMSP|23VULN|4CDMG|5DMG|6LHND|7BEXP|8MLV|9LIT|aRCR
123	42123 54323	   	248.81	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG	1DMSP|23VULN|4CDMG|5DMG|6BEXP|7LWND|8MLV|9LIT|aRCR
124	42223 21323	   	248.81	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG	1DMSP|23VULN|3BPWR|4CDMG|5DMG|6LHND|7BEXP|8MLV|9LIT|aRCR
125	42223 54323	   	248.81	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG	1DMSP|23VULN|3BPWR|4CDMG|5DMG|6BEXP|7LWND|8MLV|9LIT|aRCR
126	36522 41313	 * 	248.76	DCR|3VULN|1MLV|1DMG|3ZMB	1BASICY|246ZMB|346VULN|46BPWR|5RCVC|7RCR|8MULHEA|9DMG|aMLV
127	13113 23343	   	248.71	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG|1DUR	1TLV|2MLV|38VULN|4AART|5DUR|6DMG|7LIT|9CDMG|aRCR
128	53112 16343	   	248.71	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG	1ERES|2MLV|38VULN|4AART|5FEWX|6LIT|7DMG|9CDMG|aRCR
129	53112 23343	   	248.71	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG	1ERES|2MLV|38VULN|4AART|5FEWX|6DMG|7LIT|9CDMG|aRCR
130	53113 16343	   	248.61	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG|1DUR	1ERES|2MLV|38VULN|4AART|5DUR|6LIT|7DMG|9CDMG|aRCR
131	53113 23343	   	248.61	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG|1DUR	1ERES|2MLV|38VULN|4AART|5DUR|6DMG|7LIT|9CDMG|aRCR
132	22313 14311	   	248.29	DCR|3VULN|1LIT|1FLTARM|1DUR	13LHND|238VULN|3BPWR|4AART|5DUR|6LIT|7RCR|9FEWX|aFLTARM
133	62326 48331	 * 	248.10	DCR|5VULN|1LIT|2DUR	18DUR|24789VULN|348ERES|48BPWR|5MBVNT|6RCR|aLIT
134	35522 41213	   	248.09	DCR|3VULN|1LIT|3ASPD|1DUR	1BASICY|246ASPD|346VULN|46BPWR|5RCVC|7RCR|8LIT|9LHND|aDUR
135	32215 16613	 * 	247.87	DCR|2LIT|3VULN|1DMG	18BASICY|28LIT|3NUKE|4RCVC|5DMG|6BLAICY|789VULN|8BPWR|aRCR
136	32215 26613	   	247.87	DCR|2LIT|3VULN|1DMG	18BASICY|28LIT|3NUKE|4RCVC|5DMG|6SPLREG|789VULN|8BPWR|aRCR
137	22323 34613	   	247.87	DCR|3VULN|1LIT|1MLV	13LHND|235VULN|3BPWR|4RPLT|6ZMB|7BELT|8RCR|9MLV|aLIT
138	31351 51315	 * 	247.87	DCR|1LIT|1VULN|1MLV|2CDMG|1DMG|1ASPD	1BASICY|2RPLT|3DMG|4MLV|5aCDMG|6VULN|7RCR|8ASPD|9LIT
139	31612 51315	   	247.87	DCR|1LIT|1VULN|1MLV|2CDMG|1DMG|1ASPD	1BASICY|2RPLT|3aCDMG|4MLV|5DMG|6VULN|7RCR|8ASPD|9LIT
140	32621 43122	   	247.81	DCR|3LIT|1VULN|1MLV|1ASPD	1BASICY|24aLIT|345DUST|4BPWR|6VULN|7RCR|8ASPD|9MLV
141	62326 41834	 * 	247.71	DCR|1LIT|2VULN|1FLTARM|1DMG|1DUR	1DUR|24VULN|34ERES|4BPWR|5MBVNT|6RCR|7RCVC|8DMG|9LIT|aFLTARM
142	42134 13612	   	247.67	DCR|3VULN|1LIT|1MLV	1DMSP|23aVULN|4AART|5MLV|6LIT|7SPLARM|8RCR|9ZMB
143	42234 13612	   	247.67	DCR|3VULN|1LIT|1MLV	1DMSP|23aVULN|3BPWR|4AART|5MLV|6LIT|7SPLARM|8RCR|9ZMB
144	33277 31541	   	247.29	DCR|1LIT|2VULN|1MLV|1DMG	1BASICY|2LWND|3MBVNT|4DMG|5MLV|6ZMB|7RCR|8aVULN|9LIT
145	42452 32213	   	247.19	DCR|1LIT|2DMG|1VULN|1MLV|1ASPD	1DMSP|2VULN|3ASPD|48DMG|5NUKE|6RCR|7MLV|9ERES|aLIT
146	32141 25211	   	247.17	DCR|2LIT|1VULN|1MLV|1DMG|1ASPD	1BASICY|24LIT|3AART|5ASPD|6DMG|7BEXP|8MLV|9RCR|aVULN
147	32141 26314	   	247.17	DCR|2LIT|1VULN|1MLV|1DMG|1ASPD	1BASICY|24LIT|3AART|5ASPD|6DMG|7VULN|8MLV|9RCR|aDMSP
148	22343 32452	 * 	247.11	DCR|3LIT|3VULN	136LHND|23aVULN|3BPWR|458LIT|7NUKE|9RCR
149	32141 21211	   	247.07	DCR|2LIT|1VULN|1MLV|1DMG|1ASPD	1BASICY|24LIT|3AART|5ASPD|6DMG|7LEGI|8MLV|9RCR|aVULN
150	32141 22211	   	247.07	DCR|2LIT|1VULN|1MLV|1DMG|1ASPD|1DUR	1BASICY|24LIT|3AART|5ASPD|6DMG|7DUR|8MLV|9RCR|aVULN
151	32141 26312	   	247.07	DCR|2LIT|1VULN|1MLV|1DMG|1ASPD	1BASICY|24LIT|3AART|5ASPD|6DMG|7VULN|8MLV|9RCR|aBLAICY
152	32141 26316	   	247.07	DCR|2LIT|1VULN|1MLV|1DMG|1ASPD	1BASICY|24LIT|3aAART|5ASPD|6DMG|7VULN|8MLV|9RCR
153	16143 16211	   	246.92	DCR|2LIT|2VULN|3ASPD	1TLV|269ASPD|35VULN|4aLIT|7VENICY|8RCR
154	32141 26315	   	246.83	DCR|2LIT|1VULN|1MLV|1DMG|1ASPD|1SELL	1BASICY|24LIT|3AART|5ASPD|6DMG|7VULN|8MLV|9RCR|aSELL
155	42115 54144	 * 	246.49	DCR|5VULN|1MLV	1DMSP|2389aVULN|4LEGI|5MBVNT|6RCR|7MLV
156	42215 54144	   	246.49	DCR|5VULN|1MLV	1DMSP|2389aVULN|3BPWR|4LEGI|5MBVNT|6RCR|7MLV
157	62326 48124	   	246.39	DCR|5VULN|1MLV|1DUR	1DUR|2478aVULN|34ERES|4BPWR|5MBVNT|6RCR|9MLV
