0	Index      	 *	Score 	Summary	Detail	
1	23331 52536	 * 	286.23	DCR|4VULN|3DMG|1MLV|2ZMB	1378VULN|2MLV|468DMG|58ZMB|8BPWR|9MBVNT|aRCR
18	23663 36333	 * 	270.33	DCR|2MLV|1LIT|2DMG|1VULN|1CDMG|2ZMB	1VULN|29MLV|3LWND|4CGEN|59ZMB|6LIT|79DMG|8RCR|9BPWR|aCDMG
19	23221 63242	 * 	270.05	DCR|4VULN|1LIT|1MLV|1CDMG	1579VULN|2MLV|3BEXP|4RPLT|6LIT|8CDMG|aRCR
20	23311 63242	   	270.05	DCR|4VULN|1LIT|1MLV|1CDMG	1379VULN|2MLV|4RPLT|5BEXP|6LIT|8CDMG|aRCR
21	23315 63242	   	270.05	DCR|4VULN|1LIT|1MLV|1CDMG	1379VULN|2MLV|4RPLT|5LHND|6LIT|8CDMG|aRCR
22	23621 63242	   	270.05	DCR|4VULN|1LIT|1MLV|1CDMG	1579VULN|2MLV|3LWND|4RPLT|6LIT|8CDMG|aRCR
23	22421 23242	   	269.95	DCR|4VULN|1LIT|1MLV|1CDMG	1579VULN|2DUST|3MLV|4RPLT|6LIT|8CDMG|aRCR
24	23121 63242	   	269.95	DCR|4VULN|1LIT|1MLV|1CDMG|1DUR	1579VULN|2MLV|3DUR|4RPLT|6LIT|8CDMG|aRCR
25	23312 63242	   	269.95	DCR|4VULN|1LIT|1MLV|1CDMG	1379VULN|2MLV|4RPLT|5LEGI|6LIT|8CDMG|aRCR
26	23335 13246	   	268.09	DCR|1LIT|2VULN|2DMG|1MLV|1ASPD	13VULN|2MLV|45DMG|6RPLT|7DUST|8LIT|9RCR|aASPD
27	23332 21342	   	266.77	DCR|2LIT|2VULN|1MLV|1DMG	13VULN|2MLV|4DMG|5RPLT|6LHND|78LIT|9RCR|aZMB
28	23121 66342	   	266.67	DCR|2LIT|2VULN|1MLV|1DMG|1DUR	15VULN|2MLV|3DUR|4RPLT|68LIT|7DMG|9RCR|aZMB
29	23312 66342	   	266.67	DCR|2LIT|2VULN|1MLV|1DMG	13VULN|2MLV|4RPLT|5LEGI|68LIT|7DMG|9RCR|aZMB
30	23563 36333	   	265.38	DCR|2MLV|1LIT|2DMG|1VULN|1CDMG	1VULN|29MLV|3ZMB|4LHND|59CGEN|6LIT|79DMG|8RCR|9BPWR|aCDMG
31	23352 62242	   	265.31	DCR|2MLV|3VULN|1LIT|1CDMG	139VULN|24MLV|5LWND|6LIT|7RPLT|8CDMG|aRCR
32	22636 13336	   	265.06	DCR|2LIT|3VULN|1MLV|1DUR|1SELL	14aVULN|2DUST|39LIT|5MLV|6SELL|7RCR|8DUR
33	22636 34233	   	263.80	DCR|2LIT|3VULN|1MLV	14aVULN|2DUST|3aLIT|5MLV|6LHND|7RMIN|8RCR|9aCRUSTR|aBPWR
34	33332 21861	   	263.70	DCR|2LIT|3VULN|1MLV|1DUR	1aBEXP|2TLV|3MBVNT|47aVULN|5MLV|6DUR|8RCR|9aLIT|aBPWR
35	33332 32861	   	263.70	DCR|2LIT|3VULN|1MLV|1DUR	1aBEXP|2TLV|3MBVNT|46aVULN|5MLV|7DUR|8RCR|9aLIT|aBPWR
36	33332 38841	   	263.70	DCR|2LIT|3VULN|1MLV	1aBEXP|2TLV|3MBVNT|46aVULN|5MLV|7DUST|8RCR|9aLIT|aBPWR
37	33332 51841	   	263.70	DCR|2LIT|3VULN|1MLV	1aBEXP|2TLV|3MBVNT|47aVULN|5MLV|6DUST|8RCR|9aLIT|aBPWR
38	22636 21241	   	263.60	DCR|2LIT|3VULN|1MLV	149VULN|2DUST|3aLIT|5MLV|6RCVC|7CGEN|8RCR
39	22636 43231	   	263.60	DCR|2LIT|3VULN|1MLV	147VULN|2DUST|3aLIT|5MLV|6RMIN|8RCR|9RCVC
40	43332 33861	   	263.50	DCR|2LIT|3VULN|1MLV|2DUR	1aDUR|2TLV|3MBVNT|46aVULN|5MLV|7DUST|8RCR|9aLIT|aBPWR
41	23663 36332	   	263.45	DCR|2MLV|1LIT|2DMG|1VULN|1ASPD|2ZMB	1VULN|29MLV|3LWND|4CGEN|59ZMB|6LIT|79DMG|8RCR|9BPWR|aASPD
42	23331 53334	   	263.04	DCR|1LIT|2VULN|2DMG|1MLV|1SELL	13VULN|2MLV|46DMG|5ZMB|7RMIN|8RCR|9SELL|aLIT
43	22636 13242	   	262.88	DCR|3VULN|1LIT|1MLV|1CDMG|1SELL	149VULN|2DUST|3LIT|5MLV|6SELL|7RCR|8CDMG|aZMB
44	22533 61511	 * 	261.65	DCR|1LIT|2VULN|2DMG|1FLTARM	18VULN|28DUST|3LWND|4LIT|58DMG|6RCR|7RMIN|8BPWR|9LHND|aFLTARM
45	22533 61531	   	261.65	DCR|1LIT|2VULN|2DMG|1FLTARM	18VULN|28DUST|3LWND|4LIT|58DMG|6RCR|7RMIN|8BPWR|9FEWX|aFLTARM
46	23335 14242	   	261.38	DCR|1LIT|2VULN|2DMG|1MLV|1DUR	13VULN|2MLV|45DMG|6RPLT|7DUR|8LIT|9RCR|aZMB
47	23221 31526	   	260.90	DCR|3VULN|1LIT|1MLV|1DMG	15aVULN|2MLV|3BEXP|4RPLT|6CGEN|7LIT|8RCR|9DMG
48	23221 61526	   	260.90	DCR|3VULN|1LIT|1MLV|1DMG	15aVULN|2MLV|3BEXP|4RPLT|6LIT|7CGEN|8RCR|9DMG
49	23311 31526	   	260.90	DCR|3VULN|1LIT|1MLV|1DMG	13aVULN|2MLV|4RPLT|5BEXP|6CGEN|7LIT|8RCR|9DMG
50	23311 61526	   	260.90	DCR|3VULN|1LIT|1MLV|1DMG	13aVULN|2MLV|4RPLT|5BEXP|6LIT|7CGEN|8RCR|9DMG
51	23313 11526	   	260.90	DCR|3VULN|1LIT|1MLV|1DMG	13aVULN|2MLV|4RPLT|5RMIN|6BEXP|7LIT|8RCR|9DMG
52	23313 21526	   	260.90	DCR|3VULN|1LIT|1MLV|1DMG	13aVULN|2MLV|4RPLT|5RMIN|6LHND|7LIT|8RCR|9DMG
53	23315 31526	   	260.90	DCR|3VULN|1LIT|1MLV|1DMG	13aVULN|2MLV|4RPLT|5LHND|6CGEN|7LIT|8RCR|9DMG
54	23341 11526	   	260.90	DCR|3VULN|1LIT|1MLV|1DMG	13aVULN|2MLV|4TLV|5RPLT|6BEXP|7LIT|8RCR|9DMG
55	23341 21526	   	260.90	DCR|3VULN|1LIT|1MLV|1DMG	13aVULN|2MLV|4TLV|5RPLT|6LHND|7LIT|8RCR|9DMG
56	23621 31526	   	260.90	DCR|3VULN|1LIT|1MLV|1DMG	15aVULN|2MLV|3LWND|4RPLT|6CGEN|7LIT|8RCR|9DMG
57	22421 21526	   	260.80	DCR|3VULN|1LIT|1MLV|1DMG	15aVULN|2DUST|3MLV|4RPLT|6LIT|7CGEN|8RCR|9DMG
58	23121 61526	   	260.80	DCR|3VULN|1LIT|1MLV|1DMG|1DUR	15aVULN|2MLV|3DUR|4RPLT|6LIT|7CGEN|8RCR|9DMG
59	23312 61526	   	260.80	DCR|3VULN|1LIT|1MLV|1DMG	13aVULN|2MLV|4RPLT|5LEGI|6LIT|7CGEN|8RCR|9DMG
60	11413 11526	   	260.80	DCR|3VULN|1LIT|1MLV|1DMG	1ERES|2RPLT|3MLV|45aVULN|6BEXP|7LIT|8RCR|9DMG
61	11413 21526	   	260.80	DCR|3VULN|1LIT|1MLV|1DMG	1ERES|2RPLT|3MLV|45aVULN|6LHND|7LIT|8RCR|9DMG
62	23121 31526	   	260.80	DCR|3VULN|1LIT|1MLV|1DMG|1DUR	15aVULN|2MLV|3DUR|4RPLT|6CGEN|7LIT|8RCR|9DMG
63	23221 21526	   	260.80	DCR|3VULN|1LIT|1MLV|1DMG	15aVULN|2MLV|3BEXP|4RPLT|6ERES|7LIT|8RCR|9DMG
64	23311 21526	   	260.80	DCR|3VULN|1LIT|1MLV|1DMG	13aVULN|2MLV|4RPLT|5BEXP|6ERES|7LIT|8RCR|9DMG
65	23312 31526	   	260.80	DCR|3VULN|1LIT|1MLV|1DMG	13aVULN|2MLV|4RPLT|5LEGI|6CGEN|7LIT|8RCR|9DMG
66	23315 21526	   	260.80	DCR|3VULN|1LIT|1MLV|1DMG	13aVULN|2MLV|4RPLT|5LHND|6ERES|7LIT|8RCR|9DMG
67	23316 11526	   	260.80	DCR|3VULN|1LIT|1MLV|1DMG	13aVULN|2MLV|4RPLT|5ERES|6BEXP|7LIT|8RCR|9DMG
68	23316 21526	   	260.80	DCR|3VULN|1LIT|1MLV|1DMG	13aVULN|2MLV|4RPLT|5ERES|6LHND|7LIT|8RCR|9DMG
69	23621 21526	   	260.80	DCR|3VULN|1LIT|1MLV|1DMG	15aVULN|2MLV|3LWND|4RPLT|6ERES|7LIT|8RCR|9DMG
70	22636 43223	   	260.70	DCR|3VULN|1LIT|1MLV|1DMG	147VULN|2DUST|3LIT|5MLV|6RMIN|8RCR|9ERES|aDMG
71	23121 21526	   	260.70	DCR|3VULN|1LIT|1MLV|1DMG|1DUR	15aVULN|2MLV|3DUR|4RPLT|6ERES|7LIT|8RCR|9DMG
72	23312 21526	   	260.70	DCR|3VULN|1LIT|1MLV|1DMG	13aVULN|2MLV|4RPLT|5LEGI|6ERES|7LIT|8RCR|9DMG
73	23352 61242	   	260.65	DCR|2MLV|3VULN|1LIT	139VULN|24MLV|5LWND|6LIT|7CGEN|8RCR|aZMB
74	23232 61512	   	260.00	DCR|2LIT|3VULN|1MLV	146VULN|2MLV|3BEXP|5CANSTR|78LIT|9TLV|aRCR
75	22533 66111	   	259.84	DCR|1LIT|2VULN|2DMG|1MLV	18VULN|2DUST|3LWND|4LIT|57DMG|6RCR|9FEWX|aMLV
76	23332 21343	   	259.83	DCR|2LIT|2VULN|1MLV|1DMG	13VULN|2MLV|4DMG|5RPLT|6LHND|78LIT|9RCR|aBEXP
77	23332 21344	   	259.83	DCR|2LIT|2VULN|1MLV|1DMG	13VULN|2MLV|4DMG|5RPLT|6LHND|78LIT|9RCR|aRCVC
78	23121 66343	   	259.73	DCR|2LIT|2VULN|1MLV|1DMG|1DUR	15VULN|2MLV|3DUR|4RPLT|68LIT|7DMG|9RCR|aBEXP
79	23312 66343	   	259.73	DCR|2LIT|2VULN|1MLV|1DMG	13VULN|2MLV|4RPLT|5LEGI|68LIT|7DMG|9RCR|aBEXP
80	23332 21341	   	259.73	DCR|2LIT|2VULN|1MLV|1DMG	13VULN|2MLV|4DMG|5RPLT|6LHND|78LIT|9RCR|aDUST
81	23332 21345	   	259.73	DCR|2LIT|2VULN|1MLV|1DMG	13VULN|2MLV|4DMG|5RPLT|6LHND|78LIT|9RCR|aDLOT
82	23121 66341	   	259.63	DCR|2LIT|2VULN|1MLV|1DMG|1DUR	15VULN|2MLV|3DUR|4RPLT|68LIT|7DMG|9RCR|aDUST
83	23312 66341	   	259.63	DCR|2LIT|2VULN|1MLV|1DMG	13VULN|2MLV|4RPLT|5LEGI|68LIT|7DMG|9RCR|aDUST
84	61523 22142	 * 	259.00	DCR|3VULN|1LIT|1MLV|3ZMB	15aZMB|2RPLT|345VULN|5BPWR|6LIT|7BEXP|8MLV|9RCR
85	23563 36332	   	258.51	DCR|2MLV|1LIT|2DMG|1VULN|1ASPD	1VULN|29MLV|3ZMB|4LHND|59CGEN|6LIT|79DMG|8RCR|9BPWR|aASPD
86	14331 52362	 * 	258.34	DCR|3VULN|1LIT|3DMG	18ERES|2LEGI|348VULN|568DMG|7AART|8BPWR|9LIT|aRCR
87	22533 63311	 * 	258.23	DCR|2LIT|1FLTARM|1VULN|1DMG|1ASPD	1VULN|2DUST|3LWND|49LIT|5DMG|6RCR|7LHND|8ASPD|aFLTARM
88	22533 65311	   	258.23	DCR|2LIT|1FLTARM|1VULN|1DMG|1ASPD	1VULN|2DUST|3LWND|49LIT|5DMG|6RCR|7BEXP|8ASPD|aFLTARM
89	22653 63311	   	258.23	DCR|2LIT|1FLTARM|1VULN|1DMG|1ASPD	1VULN|2DUST|39LIT|4LWND|5DMG|6RCR|7LHND|8ASPD|aFLTARM
90	43383 42417	 * 	258.04	DCR|1LIT|2VULN|1FLTARM|1MLV|1DUR	1DUR|2TLV|3MBVNT|4AART|5FLTARM|6LIT|7RCR|8aVULN|9MLV
91	23332 53352	   	258.03	DCR|2LIT|2VULN|1MLV|1DMG	13VULN|2MLV|4DMG|5RPLT|6AART|79LIT|8LHND|aRCR
92	23332 53652	   	258.03	DCR|2LIT|2VULN|1MLV|1DMG	13VULN|2MLV|4DMG|5RPLT|6AART|79LIT|8LWND|aRCR
93	23331 13561	   	257.38	DCR|2MLV|1LIT|2VULN|1DMG	13VULN|2aMLV|4DMG|5ZMB|6LWND|7MBVNT|8RCR|9LIT
94	23332 53512	   	257.30	DCR|3VULN|1LIT|1MLV|1DMG	138VULN|2MLV|4DMG|5RPLT|6AART|7LIT|9FEWX|aRCR
95	23232 61432	   	257.20	DCR|3VULN|1LIT|1MLV|1DMG	146VULN|2MLV|38BEXP|5CANSTR|7LIT|9DMG|aRCR
96	23232 62432	   	257.20	DCR|3VULN|1LIT|1MLV|1DMG	146VULN|2MLV|3BEXP|5CANSTR|7RCVC|8LIT|9DMG|aRCR
97	23236 25432	   	257.20	DCR|3VULN|1LIT|1MLV|1DMG	145VULN|2MLV|3BEXP|6RCVC|7BLAICY|8LIT|9DMG|aRCR
98	23332 53552	   	257.20	DCR|3VULN|1LIT|1MLV|1DMG	138VULN|2MLV|4DMG|5RPLT|6AART|7LIT|9DUST|aRCR
99	23332 53562	   	257.20	DCR|3VULN|1LIT|1MLV|1DMG	138VULN|2MLV|4DMG|5RPLT|6AART|7LIT|9LEGI|aRCR
100	23336 22416	   	257.20	DCR|3VULN|1LIT|1MLV|1DMG	137VULN|2MLV|4DMG|5ERES|6BELT|8LHND|9LIT|aRCR
101	23632 61532	   	257.20	DCR|3VULN|1LIT|1MLV|1DMG	146VULN|2MLV|3LWND|5CANSTR|7LIT|8DMSP|9DMG|aRCR
102	23632 62432	   	257.20	DCR|3VULN|1LIT|1MLV|1DMG	146VULN|2MLV|3LWND|5CANSTR|7RCVC|8LIT|9DMG|aRCR
103	22432 62432	   	257.10	DCR|3VULN|1LIT|1MLV|1DMG	146VULN|2DUST|3MLV|5CANSTR|7RCVC|8LIT|9DMG|aRCR
104	23132 62432	   	257.10	DCR|3VULN|1LIT|1MLV|1DMG|1DUR	146VULN|2MLV|3DUR|5CANSTR|7RCVC|8LIT|9DMG|aRCR
105	23322 62432	   	257.10	DCR|3VULN|1LIT|1MLV|1DMG|1DUR	136VULN|2MLV|4DUR|5CANSTR|7RCVC|8LIT|9DMG|aRCR
106	23332 33326	   	257.10	DCR|3VULN|1LIT|1MLV|1DMG	139VULN|2MLV|4DMG|5RPLT|6BASARM|7LIT|8BLASTR|aRCR
107	23336 22116	   	257.10	DCR|3VULN|1LIT|1MLV|1DMG|1DUR	137VULN|2MLV|4DMG|5ERES|6BELT|8DUR|9LIT|aRCR
108	22432 61632	   	257.00	DCR|3VULN|1LIT|1MLV|1DMG	146VULN|28DUST|3MLV|5CANSTR|7LIT|9DMG|aRCR
109	11313 36362	   	256.96	DCR|3LIT|2VULN|1MLV	18ERES|2RPLT|356LIT|4RCVC|78VULN|8BPWR|9RCR|aMLV
110	22636 13231	   	256.67	DCR|2LIT|2VULN|1MLV|1CDMG|1SELL	14VULN|2DUST|3aLIT|5MLV|6SELL|7RCR|8CDMG|9RCVC
111	22636 13432	   	256.67	DCR|2LIT|2VULN|1MLV|1CDMG|1SELL	14VULN|2DUST|39LIT|5MLV|6SELL|7RCR|8BEXP|aCDMG
112	22636 13332	   	256.57	DCR|2LIT|2VULN|1MLV|1CDMG|1DUR|1SELL	14VULN|2DUST|39LIT|5MLV|6SELL|7RCR|8DUR|aCDMG
113	22636 13413	   	256.46	DCR|1LIT|2VULN|1MLV|1DMG|1AART|1SELL	14VULN|2DUST|3LIT|5MLV|6SELL|7RCR|8BEXP|9DMG|aAART
114	22636 13313	   	256.36	DCR|1LIT|2VULN|1MLV|1DMG|1AART|1DUR|1SELL	14VULN|2DUST|3LIT|5MLV|6SELL|7RCR|8DUR|9DMG|aAART
115	23136 22416	   	256.30	DCR|4VULN|1LIT|1MLV|1DUR	1457VULN|2MLV|3DUR|6BELT|8LHND|9LIT|aRCR
116	23326 22416	   	256.30	DCR|4VULN|1LIT|1MLV|1DUR	1357VULN|2MLV|4DUR|6BELT|8LHND|9LIT|aRCR
