0	Index      	 *	Score 	Summary	Detail	
1	46332 33531	 * 	302.08	DCR|2LIT|4VULN|2DMG|1ASPD	147aVULN|27LIT|3DUR|5ASPD|67DMG|7BPWR|8RCR|9ERES
45	46111 21125	   	274.12	DCR|1LIT|2VULN|1FLTARM|1MLV|1DMG|1SELL	19VULN|2LIT|3CGEN|4FLTARM|5DMG|6DMSP|7RCR|8MLV|aSELL
46	46111 51222	   	273.97	DCR|3VULN|1LIT|1FLTARM|1DMG|1AART	169VULN|2LIT|3CGEN|4FLTARM|5DMG|7RCR|8DUR|aAART
47	41311 13113	 * 	273.79	DCR|1LIT|2VULN|2DMG|1MLV|1ASPD	18VULN|2MLV|38FEWX|4LHND|5CGEN|6RCR|78DMG|8BPWR|9ASPD|aLIT
48	41351 13113	   	273.79	DCR|1LIT|2VULN|2DMG|1MLV|1ASPD	18VULN|2MLV|38FEWX|4BEXP|5CGEN|6RCR|78DMG|8BPWR|9ASPD|aLIT
49	41426 13113	   	273.79	DCR|1LIT|2VULN|2DMG|1MLV|1ASPD	18VULN|2MLV|38CGEN|4BEXP|5FEWX|6RCR|78DMG|8BPWR|9ASPD|aLIT
50	41436 13113	   	273.79	DCR|1LIT|2VULN|2DMG|1MLV|1ASPD	18VULN|2MLV|38CGEN|4LHND|5LWND|6RCR|78DMG|8BPWR|9ASPD|aLIT
51	41316 13113	   	273.69	DCR|1LIT|2VULN|2DMG|1MLV|1ASPD	18VULN|2MLV|38FEWX|4LHND|5ERES|6RCR|78DMG|8BPWR|9ASPD|aLIT
52	41356 13113	   	273.69	DCR|1LIT|2VULN|2DMG|1MLV|1ASPD	18VULN|2MLV|38FEWX|4BEXP|5ERES|6RCR|78DMG|8BPWR|9ASPD|aLIT
53	41424 13113	   	273.69	DCR|1LIT|2VULN|2DMG|1MLV|1ASPD	18VULN|2MLV|38CGEN|4BEXP|5DUST|6RCR|78DMG|8BPWR|9ASPD|aLIT
54	41434 13113	   	273.69	DCR|1LIT|2VULN|2DMG|1MLV|1ASPD	18VULN|2MLV|38CGEN|4LHND|5DUST|6RCR|78DMG|8BPWR|9ASPD|aLIT
55	41111 13113	   	273.59	DCR|1LIT|2VULN|2DMG|1MLV|1ASPD	18VULN|2MLV|38DUST|4LHND|5CGEN|6RCR|78DMG|8BPWR|9ASPD|aLIT
56	41151 13113	   	273.59	DCR|1LIT|2VULN|2DMG|1MLV|1ASPD	18VULN|2MLV|38DUST|4BEXP|5CGEN|6RCR|78DMG|8BPWR|9ASPD|aLIT
57	41116 13113	   	273.49	DCR|1LIT|2VULN|2DMG|1MLV|1ASPD	18VULN|2MLV|38DUST|4LHND|5ERES|6RCR|78DMG|8BPWR|9ASPD|aLIT
58	41156 13113	   	273.49	DCR|1LIT|2VULN|2DMG|1MLV|1ASPD	18VULN|2MLV|38DUST|4BEXP|5ERES|6RCR|78DMG|8BPWR|9ASPD|aLIT
59	41256 13113	   	273.49	DCR|1LIT|2VULN|2DMG|1MLV|1ASPD	18VULN|2MLV|38ERES|4DUR|5LWND|6RCR|78DMG|8BPWR|9ASPD|aLIT
60	41254 13113	   	273.39	DCR|1LIT|2VULN|2DMG|1MLV|1ASPD	18VULN|2MLV|38ERES|4DUR|5DUST|6RCR|78DMG|8BPWR|9ASPD|aLIT
