0	Index      	 *	Score 	Summary	Detail	
1	15232 53513	 * 	292.85	DCR|3VULN|2TLV|1MLV|2DUR|1ASPD	159VULN|2TBNT|39TLV|4BELT|6ASPD|7MLV|89DUR|9BPWR|aRCR
36	13216 26163	   	267.93	ACR|DCR|2TLV|1VULN|1MLV|1CDMG	1VULN|2MLV|3AME|49RCR|57TLV|6DUST|8CDMG|aCGEN
37	33213 36161	   	267.93	ACR|DCR|2TLV|1VULN|1MLV|1CDMG	1DUST|2AME|37TLV|49RCR|5MLV|6VULN|8CDMG|aZMB
38	33213 36163	   	267.93	ACR|DCR|2TLV|1VULN|1MLV|1CDMG	1DUST|2AME|37TLV|49RCR|5MLV|6VULN|8CDMG|aCGEN
39	33213 36165	   	267.93	ACR|DCR|2TLV|1VULN|1MLV|1CDMG	1DUST|2AME|37TLV|49RCR|5MLV|6VULN|8CDMG|aLWND
40	33213 36166	   	267.93	ACR|DCR|2TLV|1VULN|1MLV|1CDMG	1DUST|2AME|37TLV|49RCR|5MLV|6VULN|8CDMG|aFEWX
41	13216 26162	   	267.83	ACR|DCR|2TLV|1VULN|1MLV|1CDMG	1VULN|2MLV|3aAME|49RCR|57TLV|6DUST|8CDMG
42	33213 36162	   	267.83	ACR|DCR|2TLV|1VULN|1MLV|1CDMG	1DUST|2aAME|37TLV|49RCR|5MLV|6VULN|8CDMG
43	15243 11152	 * 	267.83	DCR|DCR|1TLV|1VULN|3DUR	1VULN|2TBNT|3TLV|4LWND|56aDUR|79RCR|8MBVNT
44	11513 51322	   	267.30	DCR|DCR|2VULN|1LIT|1BBNT|1DUR	18VULN|2LHND|3DUST|4DUR|5LIT|69RCR|7BBNT|aTBNT
45	41323 11151	   	265.78	DCR|DCR|1TLV|1VULN|2DUR|1BBNT	1BBNT|2CGEN|3VULN|4LHND|56DUR|79RCR|8MBVNT|aTLV
46	41343 11151	   	265.78	DCR|DCR|1TLV|1VULN|2DUR|1BBNT	1BBNT|2CGEN|3VULN|4LWND|56DUR|79RCR|8MBVNT|aTLV
47	23251 21151	 * 	264.69	DCR|DCR|2TLV|1VULN	1FEWX|2AME|3aTLV|4VULN|5CGEN|6TBNT|79RCR|8MBVNT
48	33251 21151	   	264.59	DCR|DCR|2TLV|1VULN	1DUST|2AME|3aTLV|4VULN|5CGEN|6TBNT|79RCR|8MBVNT
49	33256 21151	   	264.49	DCR|DCR|2TLV|1VULN	1DUST|2AME|3aTLV|4VULN|5ERES|6TBNT|79RCR|8MBVNT
50	12216 33264	   	263.44	ACR|DCR|3VULN|1TLV|1CDMG	16aVULN|28ERES|3AME|49RCR|5TLV|7CDMG
51	12513 33363	 * 	263.19	ACR|DCR|2VULN|1TLV|1MLV|2CDMG	16VULN|2ERES|3RMIN|49RCR|5MLV|78CDMG|aTLV
52	12216 33363	   	263.09	ACR|DCR|2VULN|1TLV|1MLV|2CDMG	16VULN|2ERES|3AME|49RCR|5TLV|78CDMG|aMLV
