0	Index      	 *	Score 	Summary	Detail	
1	52412 43233	 * 	197.67	ACR|3VULN|1AART|1DMG|2CDMG|1ZMB	1AART|24CDMG|3RCR|589VULN|6DMG|7CGEN|aZMB
32	54113 31136	 * 	178.05	ACR|2DMG|1AART|1VULN|2CDMG|1DUR	1AART|2BELT|3RCR|4aLIT|5DUR|6aCDMG|7VULN|8TLV|9aDMG|aBPWR
33	54113 31336	   	178.05	ACR|2DMG|1AART|1VULN|2CDMG|1DUR	1AART|2BELT|3RCR|4aLIT|5DUR|6aCDMG|7VULN|8ERES|9aDMG|aBPWR
34	52412 43221	   	177.95	ACR|2VULN|1AART|1DMG|2CDMG|1DUR	1AART|24CDMG|3RCR|58VULN|6DMG|7CGEN|9DUR|aLIT
35	52412 43222	   	177.95	ACR|2VULN|1AART|1DMG|2CDMG|1DUR	1AART|24CDMG|3RCR|58VULN|6DMG|7aCGEN|9DUR
36	52411 11123	   	177.85	ACR|2VULN|1AART|1DMG|2CDMG|1DUR	1AART|24CDMG|3RCR|5DMG|6FEWX|7DUST|8aVULN|9DUR
37	52411 22211	   	177.85	ACR|2VULN|1AART|1DMG|2CDMG|1DUR	1AART|24CDMG|3RCR|5DMG|6ERES|7DUR|89VULN|aLIT
38	52411 22212	   	177.85	ACR|2VULN|1AART|1DMG|2CDMG|1DUR	1AART|24CDMG|3RCR|5DMG|6ERES|7DUR|89VULN|aCGEN
39	52411 22213	   	177.85	ACR|2VULN|1AART|2CDMG|1DMG|1DUR	1AART|24CDMG|3RCR|5DMG|6ERES|7DUR|89VULN|aMLV
40	52411 22214	   	177.85	ACR|2VULN|1AART|1DMG|2CDMG|1DUR	1AART|24CDMG|3RCR|5DMG|6ERES|7DUR|89VULN|aFEWX
41	52411 41123	   	177.85	ACR|2VULN|1AART|1DMG|2CDMG|1DUR	1AART|24CDMG|3RCR|5DMG|6BEXP|7DUST|8aVULN|9DUR
42	52412 42221	   	177.85	ACR|2VULN|1AART|1DMG|2CDMG|1DUR	1AART|24CDMG|3RCR|58VULN|6DMG|7ERES|9DUR|aLIT
43	52412 42222	   	177.85	ACR|2VULN|1AART|1DMG|2CDMG|1DUR	1AART|24CDMG|3RCR|58VULN|6DMG|7ERES|9DUR|aCGEN
44	52412 42223	   	177.85	ACR|2VULN|1AART|2CDMG|1DMG|1DUR	1AART|24CDMG|3RCR|58VULN|6DMG|7ERES|9DUR|aMLV
45	52411 22215	   	177.75	ACR|2VULN|1AART|1DMG|2CDMG|1DUR	1AART|24CDMG|3RCR|5DMG|6ERES|7DUR|89VULN|aDUST
46	52411 22216	   	177.75	ACR|2VULN|1AART|2CDMG|1DMG|1DUR	1AART|24CDMG|3RCR|5DMG|6ERES|7DUR|89VULN|aNUKE
47	52412 24231	   	177.60	ACR|3VULN|1AART|2CDMG|1ZMB	1AART|24CDMG|3RCR|589VULN|6CGEN|7ZMB|aLWND
48	52412 63223	   	177.60	ACR|3VULN|1AART|2CDMG|1ZMB	1AART|24CDMG|3RCR|58aVULN|67BEXP|9ZMB
49	52413 24231	   	177.60	ACR|3VULN|1AART|2CDMG|1ZMB	1AART|24CDMG|3RCR|5CGEN|689VULN|7ZMB|aLWND
50	52412 24232	   	177.50	ACR|3VULN|1AART|2CDMG|1ZMB	1AART|24CDMG|3RCR|589VULN|6CGEN|7ZMB|aDUST
51	52412 34231	   	177.50	ACR|3VULN|1AART|2CDMG|1ZMB	1AART|24CDMG|3RCR|589VULN|6ERES|7ZMB|aLWND
52	52413 24232	   	177.50	ACR|3VULN|1AART|2CDMG|1ZMB	1AART|24CDMG|3RCR|5CGEN|689VULN|7ZMB|aDUST
53	52412 34232	   	177.40	ACR|3VULN|1AART|2CDMG|1ZMB	1AART|24CDMG|3RCR|589VULN|6ERES|7ZMB|aDUST
54	52411 11532	   	177.15	ACR|2VULN|1AART|3CDMG|1DMG	1AART|24aCDMG|3RCR|5DMG|6aFEWX|7DUST|8LWND|9aVULN|aBPWR
55	52411 13213	   	177.05	ACR|2VULN|1AART|3CDMG|1DMG	1AART|24aCDMG|3RCR|5DMG|6FEWX|7CGEN|89VULN
56	52411 43213	   	177.05	ACR|2VULN|1AART|3CDMG|1DMG	1AART|24aCDMG|3RCR|5DMG|6BEXP|7CGEN|89VULN
57	52412 43213	   	177.05	ACR|2VULN|1AART|3CDMG|1DMG	1AART|24aCDMG|3RCR|58VULN|6DMG|7CGEN|9BEXP
58	52412 43313	   	177.05	ACR|2VULN|1AART|3CDMG|1DMG	1AART|24aCDMG|3RCR|59VULN|6DMG|7CGEN|8LHND
59	52412 41213	   	176.95	ACR|2VULN|1AART|3CDMG|1DMG	1AART|24aCDMG|3RCR|59VULN|6DMG|7DUST|8CGEN
60	24632 32242	 * 	176.93	DCR|2DMG|1AART|1VULN|3DUR|1CDMG	18LWND|2LHND|3AART|458DUR|68DMG|7RCR|8BPWR|9CDMG|aVULN
61	53422 35311	   	176.31	DCR|3VULN|1AART|1DMG|2DUR	1AART|28LWND|3BELT|4DMG|58DUR|689VULN|7RCR|8BPWR|aMLV
62	53422 35312	   	176.31	DCR|3VULN|1AART|1DMG|2DUR	1AART|28LWND|3BELT|4DMG|58DUR|689VULN|7RCR|8BPWR|aLHND
63	36616 13113	 * 	176.27	DCR|3VULN|2AART|1DMG|1DUR	1BEXP|27aVULN|38AART|4DMG|5LHND|6DUR|9RCR
64	36613 33241	   	176.09	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	1BEXP|29VULN|3AART|46DMG|5ASPD|7LWND|8RCR|aDUR
65	26612 22153	   	176.06	DCR|2AART|2VULN|2DMG	1LWND|2aVULN|38AART|46DMG|5FEWX|7RCR|9RPLT
66	36616 22113	   	176.06	DCR|2AART|2VULN|2DMG	1BEXP|2aVULN|38AART|46DMG|5LHND|7RCR|9RMIN
67	26612 22131	   	175.96	DCR|2AART|2VULN|2DMG	1LWND|2aVULN|38AART|46DMG|5FEWX|7RCR|9BASICY
68	36616 22131	   	175.96	DCR|2AART|2VULN|2DMG	1BEXP|2aVULN|38AART|46DMG|5LHND|7RCR|9BASICY
69	26616 22231	   	175.86	DCR|2AART|2VULN|2DMG	1LWND|2aVULN|38AART|46DMG|5LEGI|7RCR|9BASICY
70	26311 21641	 * 	175.67	DCR|3VULN|2DMG|1AART	17LWND|278VULN|3ERES|4LHND|5AART|67DMG|7BPWR|9RCR|aRCVC
71	36623 21343	   	175.57	DCR|3VULN|2DMG|1AART	17BEXP|27aVULN|3AART|4DUST|58CGEN|67DMG|7BPWR|9RCR
72	53216 22242	 * 	175.53	DCR|3DMG|2AART|1VULN	1aAART|28LWND|3BEXP|468DMG|58LHND|7RCR|8BPWR|9VULN
73	36612 23243	   	175.47	DCR|3VULN|2DMG|1AART	1BEXP|27aVULN|3AART|46DMG|5FEWX|8RMIN|9RCR
74	36612 23143	   	175.37	DCR|3VULN|2DMG|1AART	1BEXP|27aVULN|3AART|46DMG|5FEWX|8ERES|9RCR
75	52412 24223	   	174.93	ACR|2VULN|1AART|3CDMG|1ZMB|1DUR	1AART|24aCDMG|3RCR|58VULN|6CGEN|7ZMB|9DUR
76	52413 24223	   	174.93	ACR|2VULN|1AART|3CDMG|1ZMB|1DUR	1AART|24aCDMG|3RCR|5CGEN|68VULN|7ZMB|9DUR
77	26632 32152	 * 	174.72	DCR|2AART|2DMG|1VULN|3DUR	1aLWND|2VULN|38AART|45aDUR|6aDMG|7RCR|9RPLT|aBPWR
78	26632 32126	 * 	174.52	DCR|2AART|2VULN|1DMG|3DUR	1LWND|2aVULN|38AART|459DUR|6DMG|7RCR
79	26311 21643	   	174.37	DCR|3VULN|2DMG|1AART	17LWND|278VULN|3ERES|4LHND|5AART|67DMG|7BPWR|9RCR|aBEXP
80	26612 22152	   	174.33	DCR|3DMG|2AART|1VULN	1aLWND|2VULN|38AART|46aDMG|5aFEWX|7RCR|9RPLT|aBPWR
81	52411 22231	 * 	173.91	ACR|1AART|1VULN|1DMG|2CDMG|1FLTHEA|1DUR	1AART|24CDMG|3RCR|5DMG|6ERES|7DUR|8VULN|9MLV|aFLTHEA
82	52411 22251	   	173.91	ACR|1AART|1VULN|1DMG|2CDMG|1FLTHEA|1DUR	1AART|24CDMG|3RCR|5DMG|6ERES|7DUR|8VULN|9CGEN|aFLTHEA
83	52411 22241	   	173.81	ACR|1AART|1VULN|2CDMG|1DMG|1FLTHEA|1DUR	1AART|24CDMG|3RCR|5DMG|6ERES|7DUR|8VULN|9TLV|aFLTHEA
84	52441 33111	   	173.74	ACR|3VULN|1AART|2CDMG|1DUR	1AART|28CDMG|3RCR|48aVULN|5BEXP|6DUR|78LIT|8BPWR|9RPLT
85	52442 33111	   	173.64	ACR|3VULN|1AART|2CDMG|1DUR	1AART|28CDMG|3RCR|48aVULN|5DUST|6DUR|78LIT|8BPWR|9RPLT
86	52412 53231	   	173.54	ACR|3VULN|1AART|2CDMG|1ASPD	1AART|24CDMG|3RCR|589VULN|6ASPD|7CGEN|aLWND
87	52412 52231	   	173.44	ACR|3VULN|1AART|2CDMG|1ASPD	1AART|24CDMG|3RCR|589VULN|6ASPD|7ERES|aLWND
88	52412 53232	   	173.44	ACR|3VULN|1AART|2CDMG|1ASPD	1AART|24CDMG|3RCR|589VULN|6ASPD|7CGEN|aDUST
89	52412 52232	   	173.34	ACR|3VULN|1AART|2CDMG|1ASPD	1AART|24CDMG|3RCR|589VULN|6ASPD|7ERES|aDUST
90	52451 32223	   	172.89	ACR|3VULN|1AART|1CDMG|1ZMB	1AART|2CDMG|3RCR|46CGEN|568VULN|6BPWR|7ERES|9RCVC|aZMB
91	52331 26111	   	172.88	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|3CGEN|4ZMB|5DMG|68VULN|7RCR|9FEWX|aMGNLIT
92	52331 26112	   	172.88	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|3CGEN|4ZMB|5DMG|68VULN|7RCR|9FEWX|aRMIN
93	52331 26113	   	172.88	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|3CGEN|4ZMB|5DMG|68VULN|7RCR|9FEWX|aLWND
94	52331 26114	   	172.88	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|3CGEN|4ZMB|5DMG|68VULN|7RCR|9FEWX|aBEXP
95	52331 26116	   	172.88	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|3CGEN|4ZMB|5DMG|68VULN|7RCR|9aFEWX
96	52331 26131	   	172.88	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|3CGEN|4ZMB|5DMG|68VULN|7RCR|9LWND|aMGNLIT
97	52331 26132	   	172.88	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|3CGEN|4ZMB|5DMG|68VULN|7RCR|9LWND|aRMIN
98	52331 26133	   	172.88	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|3CGEN|4ZMB|5DMG|68VULN|7RCR|9LWND|aLHND
99	52331 26134	   	172.88	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|3CGEN|4ZMB|5DMG|68VULN|7RCR|9LWND|aBEXP
100	52331 26136	   	172.88	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|3CGEN|4ZMB|5DMG|68VULN|7RCR|9LWND|aFEWX
101	52331 26251	   	172.88	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|38CGEN|4ZMB|5DMG|69VULN|7RCR|aLWND
102	52331 26252	   	172.88	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|38CGEN|4ZMB|5DMG|69VULN|7RCR|aBEXP
103	52331 26343	   	172.88	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1AART|2CDMG|3CGEN|4ZMB|5aDMG|6VULN|7RCR|8LWND|9LHND
104	52331 26431	   	172.88	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|3CGEN|4ZMB|5DMG|69VULN|7RCR|8FEWX|aMGNLIT
105	52331 26432	   	172.88	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|3CGEN|4ZMB|5DMG|69VULN|7RCR|8FEWX|aRMIN
106	52331 26433	   	172.88	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|3CGEN|4ZMB|5DMG|69VULN|7RCR|8FEWX|aLWND
107	52332 46111	   	172.88	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|3CGEN|4ZMB|58VULN|6DMG|7RCR|9FEWX|aMGNLIT
108	52332 46112	   	172.88	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|3CGEN|4ZMB|58VULN|6DMG|7RCR|9FEWX|aRMIN
109	52332 46113	   	172.88	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|3CGEN|4ZMB|58VULN|6DMG|7RCR|9FEWX|aLWND
110	52332 46131	   	172.88	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|3CGEN|4ZMB|58VULN|6DMG|7RCR|9LWND|aMGNLIT
111	52332 46132	   	172.88	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|3CGEN|4ZMB|58VULN|6DMG|7RCR|9LWND|aRMIN
112	52332 46133	   	172.88	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|3CGEN|4ZMB|58VULN|6DMG|7RCR|9LWND|aLHND
113	52531 26231	   	172.88	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|3aERES|4ZMB|5DMG|6aVULN|7RCR|8CGEN|9aMLV|aBPWR
114	52331 46131	   	172.88	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|3CGEN|4ZMB|5DMG|6BEXP|7RCR|89VULN|aMGNLIT
115	52331 46132	   	172.88	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|3CGEN|4ZMB|5DMG|6BEXP|7RCR|89VULN|aRMIN
116	52331 46133	   	172.88	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|3CGEN|4ZMB|5DMG|6BEXP|7RCR|89VULN|aLWND
117	52331 26115	   	172.78	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|3CGEN|4ZMB|5DMG|68VULN|7RCR|9FEWX|aERES
118	52331 26122	   	172.78	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|3CGEN|4ZMB|5DMG|68VULN|7RCR|9CANHEL|aLIT
119	52331 26123	   	172.78	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|3CGEN|4ZMB|5DMG|68VULN|7RCR|9CANHEL|aMLV
120	52331 26124	   	172.78	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|3CGEN|4ZMB|5DMG|68VULN|7RCR|9CANHEL|aLHND
121	52331 26125	   	172.78	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|3CGEN|4ZMB|5DMG|68VULN|7RCR|9CANHEL|aBEXP
122	52331 26135	   	172.78	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|3CGEN|4ZMB|5DMG|68VULN|7RCR|9LWND|aERES
123	52331 26161	   	172.78	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|3CGEN|4ZMB|5DMG|68VULN|7RCR|9MBVNT|aMGNLIT
124	52331 26163	   	172.78	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|3aCGEN|4ZMB|5DMG|68VULN|7RCR|9MBVNT
125	52331 26264	   	172.78	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|38CGEN|4ZMB|5DMG|6aVULN|7RCR|9MBVNT
126	52331 26336	   	172.78	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1AART|2CDMG|3CGEN|4ZMB|5aDMG|6VULN|7RCR|8LWND|9ERES
127	52331 26521	   	172.78	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1AART|2CDMG|3CGEN|4ZMB|59DMG|6VULN|7RCR|8DLOT|aBELT
128	52331 26522	   	172.78	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1AART|2CDMG|3CGEN|4ZMB|59DMG|6VULN|7RCR|8DLOT|aBEXP
129	52332 46122	   	172.78	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|3CGEN|4ZMB|58VULN|6DMG|7RCR|9CANHEL|aLIT
130	52332 46123	   	172.78	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|3CGEN|4ZMB|58VULN|6DMG|7RCR|9CANHEL|aMLV
131	52531 26111	   	172.78	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|3ERES|4ZMB|5DMG|68VULN|7RCR|9FEWX|aMGNLIT
132	52531 26112	   	172.78	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|3ERES|4ZMB|5DMG|68VULN|7RCR|9FEWX|aRMIN
133	52531 26113	   	172.78	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|3ERES|4ZMB|5DMG|68VULN|7RCR|9FEWX|aLWND
134	52531 26131	   	172.78	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|3ERES|4ZMB|5DMG|68VULN|7RCR|9LWND|aMGNLIT
135	52531 26132	   	172.78	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|3ERES|4ZMB|5DMG|68VULN|7RCR|9LWND|aRMIN
136	52531 26133	   	172.78	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|3ERES|4ZMB|5DMG|68VULN|7RCR|9LWND|aLHND
137	52531 26211	   	172.78	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|3ERES|4ZMB|5DMG|69VULN|7RCR|8CGEN|aLIT
138	52531 26212	   	172.78	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|3ERES|4ZMB|5DMG|69VULN|7RCR|8aCGEN
139	52531 26233	   	172.78	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|3ERES|4ZMB|5DMG|6aVULN|7RCR|8CGEN|9MLV
140	53422 35211	   	172.75	DCR|2VULN|2DMG|1AART|1DUR	1AART|2LWND|3BELT|48DMG|5DUR|69VULN|7RCR|aMLV
141	53422 35212	   	172.75	DCR|2VULN|2DMG|1AART|1DUR	1AART|2LWND|3BELT|48DMG|5DUR|69VULN|7RCR|aLHND
142	52331 26121	   	172.68	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|3CGEN|4ZMB|5DMG|68VULN|7RCR|9CANHEL|aLEGI
143	52331 26126	   	172.68	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|3CGEN|4ZMB|5DMG|68VULN|7RCR|9CANHEL|aERES
144	52331 26162	   	172.68	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|3CGEN|4ZMB|5DMG|68VULN|7RCR|9MBVNT|aDUST
145	52331 26523	   	172.68	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1AART|2CDMG|3CGEN|4ZMB|59DMG|6VULN|7RCR|8DLOT|aTLV
146	52332 46121	   	172.68	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|3CGEN|4ZMB|58VULN|6DMG|7RCR|9CANHEL|aLEGI
147	52531 26122	   	172.68	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|3ERES|4ZMB|5DMG|68VULN|7RCR|9CANHEL|aLIT
148	52531 26123	   	172.68	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|3ERES|4ZMB|5DMG|68VULN|7RCR|9CANHEL|aMLV
149	55343 32212	 * 	172.60	DCR|3DMG|1AART|3ZMB	1AART|28aCGEN|38aZMB|4FEWX|5LWND|68aDMG|7RCR|8aBPWR|9RMIN
150	52531 26121	   	172.58	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|3ERES|4ZMB|5DMG|68VULN|7RCR|9CANHEL|aLEGI
151	53216 23213	   	172.46	DCR|2AART|2DMG|2VULN	18AART|2LWND|3BEXP|46DMG|5LHND|7aVULN|9RCR
152	53516 23213	   	172.46	DCR|2AART|2DMG|2VULN	18AART|2LWND|3FEWX|46DMG|5LHND|7aVULN|9RCR
153	21256 33432	   	171.85	ACR|2VULN|3CDMG|1AART|1DMG	1aLWND|2FEWX|35aCDMG|4RCR|6AART|7BEXP|8DMG|9aVULN|aBPWR
154	52411 11122	   	171.79	ACR|1AART|3CDMG|1VULN|1DMG|2DUR	1AART|24aCDMG|3RCR|5DMG|6aFEWX|7DUST|8VULN|9aDUR|aBPWR
155	52411 41122	   	171.79	ACR|1AART|3CDMG|1VULN|1DMG|2DUR	1AART|24aCDMG|3RCR|5DMG|6aBEXP|7DUST|8VULN|9aDUR|aBPWR
156	21256 32432	   	171.75	ACR|2VULN|3CDMG|1AART|1DMG	1aLWND|2FEWX|35aCDMG|4RCR|6AART|7DUST|8DMG|9aVULN|aBPWR
157	52411 23522	 * 	171.71	ACR|2AART|1VULN|1DMG|2CDMG|1DUR	18AART|24CDMG|3RCR|5DMG|6ERES|7LIT|9DUR|aVULN
158	54113 16132	   	171.63	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1AART|2BELT|3RCR|4LIT|5DUR|6aVULN|7RPLT|8DMG|9CDMG
159	52431 51223	   	171.53	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1AART|2CDMG|3RCR|4DUR|5BEXP|68VULN|7LWND|9ERES|aDMG
160	52441 31223	   	171.53	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1AART|2CDMG|3RCR|48VULN|5BEXP|6DUR|7LWND|9ERES|aDMG
161	52432 51223	   	171.43	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1AART|2CDMG|3RCR|4DUR|5DUST|68VULN|7LWND|9ERES|aDMG
162	52442 31223	   	171.43	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1AART|2CDMG|3RCR|48VULN|5DUST|6DUR|7LWND|9ERES|aDMG
163	21616 23213	   	171.26	DCR|2AART|2DMG|2VULN	1LWND|2FEWX|38AART|46DMG|5LHND|7aVULN|9RCR
