0	Index      	 *	Score 	Summary	Detail	
1	55232 11352	 * 	198.90	DCR|4VULN|2DMG|1AART|2DUR	157aVULN|27DMG|3DUST|4LWND|67DUR|7BPWR|8AART|9RCR
19	55122 34228	 * 	183.37	DCR|3VULN|3DMG|2ZMB	15aVULN|26aDMG|3LWND|4MBVNT|7RCR|8DUST|9aZMB|aBPWR
20	51221 62612	   	183.36	DCR|4VULN|1AART|1DMG|1DUR|1ASPD	1245VULN|3ASPD|6DUR|7AART|8DMG|9RCR|aERES
21	51313 33622	   	183.12	DCR|4VULN|1AART|1DMG|1DUR	1259VULN|3DUR|4LSRICY|6RCR|7RPLT|8AART|aDMG
22	54313 33622	   	183.12	DCR|4VULN|1AART|1DMG|1DUR	1259VULN|2BPWR|3DUR|4LSRICY|6RCR|7RPLT|8AART|aDMG
23	61642 32212	   	183.12	DCR|4VULN|2DMG|3DUR	1DMSP|245aVULN|3DUST|69aDUR|7RCR|8aDMG|aBPWR
24	61343 24812	   	183.12	DCR|4VULN|2DMG|3DUR	1DMSP|248aVULN|39aDUR|5MBVNT|6aDMG|7RCR|aBPWR
25	61221 62613	   	183.01	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1DMSP|245VULN|3ASPD|6DUR|7AART|8DMG|9RCR|aCDMG
26	55122 34832	 * 	182.72	DCR|4VULN|3DMG	158aVULN|26aDMG|3aLWND|4MBVNT|7RCR|9DMSP|aBPWR
27	51353 23334	 * 	182.63	ACR|3VULN|1AART|1DMG|2DUR|1ZMB	125VULN|3aDUR|4RCR|6DMG|7ERES|8ZMB|9AART
28	55222 33345	 * 	182.47	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	15VULN|26DMG|3DUST|4MBVNT|7ZMB|8RCR|9CDMG|aAART
29	51353 25112	   	182.02	ACR|4VULN|2DMG|2DUR	125aVULN|39DUR|4RCR|6aDMG|7RCVC|8aBEXP|aBPWR
30	51353 25212	   	181.82	ACR|4VULN|2DMG|2DUR	125aVULN|39DUR|4RCR|6aDMG|7RCVC|8aDUST|aBPWR
31	21212 11352	   	181.21	DCR|4VULN|1AART|1DMG|2DUR	17DUST|257aVULN|3LWND|4DMG|67DUR|7BPWR|8AART|9RCR
32	51351 21326	 * 	181.19	ACR|3VULN|1AART|1DMG|2ASPD|1DUR	12aVULN|3DUR|4RCR|5aASPD|6DMG|7AART|8MLV|9aERES|aBPWR
33	51352 22412	 * 	181.08	ACR|2VULN|1AART|1DMG|3DUR|1CDMG|1ASPD	12VULN|379DUR|4RCR|5CDMG|6ASPD|8AART|aDMG
34	51352 43221	 * 	180.69	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	126VULN|3DUR|4RCR|5CDMG|7LWND|8AART|9DMG|aLIT
35	52123 36345	   	180.63	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	157VULN|2ZMB|3LWND|4MBVNT|6DMG|8RCR|9CDMG|aAART
36	51352 43222	   	180.59	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	126VULN|3DUR|4RCR|5CDMG|7LWND|8AART|9DMG|aERES
37	51353 24131	 * 	180.54	ACR|4VULN|1AART|1DMG|1DUR	1257VULN|3DUR|4RCR|6DMG|8BEXP|9AART|aLWND
38	51353 24132	   	180.54	ACR|4VULN|1AART|1DMG|1DUR	1257VULN|3DUR|4RCR|6DMG|8BEXP|9AART|aLHND
39	51353 61231	   	180.54	ACR|4VULN|1AART|1DMG|1DUR	1256VULN|3DUR|4RCR|7BEXP|8DMG|9AART|aLWND
40	51353 61232	   	180.54	ACR|4VULN|1AART|1DMG|1DUR	1256VULN|3DUR|4RCR|7BEXP|8DMG|9AART|aLHND
41	51353 24133	   	180.44	ACR|4VULN|1AART|1DMG|1DUR	1257VULN|3DUR|4RCR|6DMG|8BEXP|9AART|aAIRHEA
42	51353 24231	   	180.44	ACR|4VULN|1AART|1DMG|1DUR	1257VULN|3DUR|4RCR|6DMG|8DUST|9AART|aLWND
43	51353 24232	   	180.44	ACR|4VULN|1AART|1DMG|1DUR	1257VULN|3DUR|4RCR|6DMG|8DUST|9AART|aLHND
44	51353 61233	   	180.44	ACR|4VULN|1AART|1DMG|1DUR	1256VULN|3DUR|4RCR|7BEXP|8DMG|9AART|aAIRHEA
45	53651 33322	 * 	180.38	ACR|3DMG|2VULN|2ASPD|1CDMG	19VULN|278ERES|369DMG|4RCR|59ASPD|9BPWR|aCDMG
46	51353 24233	   	180.34	ACR|4VULN|1AART|1DMG|1DUR	1257VULN|3DUR|4RCR|6DMG|8DUST|9AART|aAIRHEA
47	51212 32236	 * 	180.29	DCR|3VULN|2DMG|1CDMG|1DUR|1ASPD	125VULN|3ASPD|4TLV|6DUR|7RCR|8aDMG|9CDMG
48	54212 32236	   	180.29	DCR|3VULN|2DMG|1CDMG|1DUR|1ASPD	125VULN|2BPWR|3ASPD|4TLV|6DUR|7RCR|8aDMG|9CDMG
49	51442 32231	   	180.12	DCR|4VULN|1AART|1DMG|1DUR	1245VULN|3FEWX|6DUR|7RCR|8DMG|9AART|aLWND
50	51442 32232	   	180.12	DCR|4VULN|1AART|1DMG|1DUR	1245VULN|3FEWX|6DUR|7RCR|8DMG|9AART|aLHND
51	51353 61323	 * 	180.02	ACR|4VULN|1AART|1CDMG|2DUR	1256VULN|39DUR|4RCR|7BEXP|8AART|aCDMG
52	51343 24831	   	180.02	DCR|4VULN|1AART|1DMG|1DUR	1248VULN|3DUR|5MBVNT|6DMG|7RCR|9AART|aLWND
53	51343 24832	   	180.02	DCR|4VULN|1AART|1DMG|1DUR	1248VULN|3DUR|5MBVNT|6DMG|7RCR|9AART|aLHND
54	51442 32233	   	180.02	DCR|4VULN|1AART|1DMG|1DUR	1245VULN|3FEWX|6DUR|7RCR|8DMG|9AART|aAIRHEA
55	51642 32231	   	180.02	DCR|4VULN|1AART|1DMG|1DUR	1245VULN|3DUST|6DUR|7RCR|8DMG|9AART|aLWND
56	51642 32232	   	180.02	DCR|4VULN|1AART|1DMG|1DUR	1245VULN|3DUST|6DUR|7RCR|8DMG|9AART|aLHND
57	51343 24833	   	179.92	DCR|4VULN|1AART|1DMG|1DUR	1248VULN|3DUR|5MBVNT|6DMG|7RCR|9AART|aAIRHEA
58	51343 24834	   	179.92	DCR|4VULN|1AART|1DMG|1DUR	1248VULN|3DUR|5MBVNT|6DMG|7RCR|9AART|aDUST
59	51642 32233	   	179.92	DCR|4VULN|1AART|1DMG|1DUR	1245VULN|3DUST|6DUR|7RCR|8DMG|9AART|aAIRHEA
60	51443 24231	   	179.89	DCR|5VULN|2DMG	1249aVULN|3FEWX|5MBVNT|69DMG|7RCR|89LIT|9BPWR
61	51351 21124	   	179.87	ACR|3VULN|1AART|1DMG|2DUR|1ASPD	129VULN|3aDUR|4RCR|5ASPD|6DMG|7AART|8CGEN
62	51353 26112	   	179.82	ACR|4VULN|2DMG|2DUR	125aVULN|39DUR|4RCR|6aDMG|7DMSP|8aBEXP|aBPWR
63	61353 24112	   	179.82	ACR|4VULN|2DMG|2DUR	1DMSP|257aVULN|39DUR|4RCR|6aDMG|8aBEXP|aBPWR
64	61353 61212	   	179.82	ACR|4VULN|2DMG|2DUR	1DMSP|256aVULN|39DUR|4RCR|7aBEXP|8aDMG|aBPWR
65	35321 68243	   	179.77	DCR|3VULN|2DMG|1CDMG|1ZMB|1SELL	18BEXP|2ZMB|389VULN|4MBVNT|5SELL|6RCR|78DMG|8BPWR|aCDMG
66	52121 68243	   	179.77	DCR|3VULN|2DMG|1CDMG|1ZMB|1SELL	189VULN|2ZMB|38LWND|4MBVNT|5SELL|6RCR|78DMG|8BPWR|aCDMG
67	51351 21224	   	179.77	ACR|3VULN|1AART|1DMG|2DUR|1ASPD	129VULN|3aDUR|4RCR|5ASPD|6DMG|7AART|8ERES
68	51353 32422	   	179.72	ACR|4VULN|2DMG|2DUR	125aVULN|3aDUR|4RCR|6LIT|7BEXP|8aDMG|9MBVNT|aBPWR
69	51353 26212	   	179.62	ACR|4VULN|2DMG|2DUR	125aVULN|39DUR|4RCR|6aDMG|7DMSP|8aDUST|aBPWR
70	61353 24212	   	179.62	ACR|4VULN|2DMG|2DUR	1DMSP|257aVULN|39DUR|4RCR|6aDMG|8aDUST|aBPWR
71	51341 62323	   	179.60	DCR|4VULN|1AART|1CDMG|2DUR	1246VULN|39DUR|5LWND|7RCR|8AART|aCDMG
72	51342 62323	   	179.60	DCR|4VULN|1AART|1CDMG|2DUR	1245VULN|39DUR|6LHND|7RCR|8AART|aCDMG
73	51442 32323	   	179.60	DCR|4VULN|1AART|1CDMG|2DUR	1245VULN|3FEWX|69DUR|7RCR|8AART|aCDMG
74	51353 13212	   	179.52	ACR|4VULN|2DMG|2DUR	125aVULN|39DUR|4RCR|67aDUST|8aDMG|aBPWR
75	54353 13212	   	179.52	ACR|4VULN|2DMG|2DUR	125aVULN|2aBPWR|39DUR|4RCR|67aDUST|8aDMG
76	51642 32323	   	179.50	DCR|4VULN|1AART|1CDMG|2DUR	1245VULN|3DUST|69DUR|7RCR|8AART|aCDMG
77	55512 32331	   	179.06	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	15VULN|24DMG|34MLV|4BPWR|6DUR|7RCR|8ZMB|9AART|aLWND
78	55512 32332	   	179.06	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	15VULN|24DMG|34MLV|4BPWR|6DUR|7RCR|8ZMB|9AART|aLHND
79	61343 24824	   	178.97	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1DMSP|248VULN|3DUR|5MBVNT|6DMG|7RCR|9CDMG|aAART
80	53122 12632	   	178.97	DCR|3VULN|2DMG|1AART	19aVULN|29ERES|3LWND|4MBVNT|5AART|6CGEN|7RCR|89DMG|9BPWR
81	53122 12636	   	178.97	DCR|3DMG|2VULN|1AART	19VULN|29ERES|3LWND|4MBVNT|5AART|6CGEN|7RCR|89aDMG|9BPWR
82	55512 32333	   	178.96	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	15VULN|24DMG|34MLV|4BPWR|6DUR|7RCR|8ZMB|9AART|aLSRREG
83	53612 52331	   	178.86	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	15VULN|24ERES|34DMG|4BPWR|6DUR|7RCR|8ZMB|9AART|aLWND
84	53612 52332	   	178.86	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	15VULN|24ERES|34DMG|4BPWR|6DUR|7RCR|8ZMB|9AART|aLHND
85	53612 52333	   	178.76	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	15VULN|24ERES|34DMG|4BPWR|6DUR|7RCR|8ZMB|9AART|aLSRREG
86	45333 62232	   	178.17	DCR|4VULN|2DMG|1ZMB	1aLHND|2ZMB|356aVULN|4RMIN|7RCR|8aDMG|9DMSP|aBPWR
87	21212 11351	   	178.12	DCR|3VULN|1AART|1DMG|2DUR|1ZMB	17DUST|257VULN|3LWND|4DMG|67DUR|7BPWR|8AART|9RCR|aZMB
88	45333 62222	   	178.07	DCR|4VULN|2DMG|1ZMB	1aLHND|2ZMB|356aVULN|4RMIN|7RCR|8aDMG|9LEGI|aBPWR
89	51353 23331	   	177.34	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	125VULN|3DUR|4RCR|6DMG|7ERES|8ZMB|9AART|aLWND
90	51353 23332	   	177.34	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	125VULN|3DUR|4RCR|6DMG|7ERES|8ZMB|9AART|aLHND
91	51353 23335	   	177.34	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	125VULN|3DUR|4RCR|6DMG|7ERES|8ZMB|9AART|aDMSP
92	54353 23331	   	177.34	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	125VULN|2BPWR|3DUR|4RCR|6DMG|7ERES|8ZMB|9AART|aLWND
93	54353 23332	   	177.34	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	125VULN|2BPWR|3DUR|4RCR|6DMG|7ERES|8ZMB|9AART|aLHND
94	55121 64142	   	177.32	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1aVULN|2DMG|3LWND|4MBVNT|5CDMG|6RCR|7ASPD|8ZMB|9AART
95	51353 23333	   	177.24	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	125VULN|3DUR|4RCR|6DMG|7ERES|8ZMB|9AART|aLSRREG
96	54353 23333	   	177.24	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	125VULN|2BPWR|3DUR|4RCR|6DMG|7ERES|8ZMB|9AART|aLSRREG
97	55222 33383	   	177.12	DCR|3VULN|3DMG|1ZMB	15aVULN|26aDMG|3DUST|4MBVNT|7ZMB|8RCR|9aMLV|aBPWR
98	51351 22214	 * 	177.09	ACR|2VULN|1AART|1DMG|2CDMG|1ASPD|1DUR	12VULN|3DUR|4RCR|5ASPD|6DMG|7LHND|89CDMG|aAART
99	51221 62113	   	177.05	DCR|4VULN|1AART|1CDMG|1DUR|1ASPD	1245VULN|3ASPD|6DUR|7AART|8MLV|9RCR|aCDMG
100	51342 42113	   	177.05	DCR|4VULN|1AART|1CDMG|1DUR|1ASPD	1245VULN|3DUR|6ASPD|7AART|8MLV|9RCR|aCDMG
101	54221 62113	   	177.05	DCR|4VULN|1AART|1CDMG|1DUR|1ASPD	1245VULN|2BPWR|3ASPD|6DUR|7AART|8MLV|9RCR|aCDMG
102	51324 62331	   	177.02	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	126VULN|3DUR|4MLV|5DMG|7RCR|8ZMB|9AART|aLWND
103	51324 62332	   	177.02	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	126VULN|3DUR|4MLV|5DMG|7RCR|8ZMB|9AART|aLHND
104	52533 62231	   	177.02	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	156VULN|2ZMB|3MLV|4DUR|7RCR|8DMG|9AART|aLWND
105	52533 62232	   	177.02	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	156VULN|2ZMB|3MLV|4DUR|7RCR|8DMG|9AART|aLHND
106	52542 32231	   	177.02	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	145VULN|2ZMB|3MLV|6DUR|7RCR|8DMG|9AART|aLWND
107	52542 32232	   	177.02	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	145VULN|2ZMB|3MLV|6DUR|7RCR|8DMG|9AART|aLHND
108	51351 23214	   	176.99	ACR|2VULN|1AART|1DMG|2CDMG|1ASPD|1DUR	12VULN|3DUR|4RCR|5ASPD|6DMG|7DUST|89CDMG|aAART
109	51324 62333	   	176.92	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	126VULN|3DUR|4MLV|5DMG|7RCR|8ZMB|9AART|aLSRREG
110	52533 62233	   	176.92	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	156VULN|2ZMB|3MLV|4DUR|7RCR|8DMG|9AART|aLSRREG
111	52542 32233	   	176.92	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	145VULN|2ZMB|3MLV|6DUR|7RCR|8DMG|9AART|aLSRREG
112	51133 31524	 * 	176.69	ACR|3VULN|2AART|1DMG|1DUR	12aVULN|3CGEN|4BEXP|5RCR|6DMG|78AART|9DUR
113	52533 62323	   	176.50	DCR|3VULN|1AART|1CDMG|2DUR|1ZMB	156VULN|2ZMB|3MLV|49DUR|7RCR|8AART|aCDMG
114	52542 32323	   	176.50	DCR|3VULN|1AART|1CDMG|2DUR|1ZMB	145VULN|2ZMB|3MLV|69DUR|7RCR|8AART|aCDMG
115	51351 21116	   	176.41	ACR|2VULN|2DMG|1AART|1ASPD|1DUR	12VULN|3DUR|4RCR|5ASPD|6aDMG|7AART|8CGEN|9MBVNT
116	51413 33622	   	176.18	DCR|4VULN|1AART|1DMG	1259VULN|3FEWX|4LSRICY|6RCR|7RPLT|8AART|aDMG
117	66232 62212	   	176.05	DCR|3VULN|2DMG|3DUR|1ASPD	1DMSP|29aDUR|3ASPD|4RMIN|56aVULN|7RCR|8aDMG|aBPWR
118	51325 22223	   	175.95	DCR|3VULN|2DMG|3DUR|1ASPD	12aVULN|35aDUR|4MLV|6ASPD|7RCR|8aDMG|9MBVNT|aBPWR
119	54325 22223	   	175.95	DCR|3VULN|2DMG|3DUR|1ASPD	12aVULN|2aBPWR|35aDUR|4MLV|6ASPD|7RCR|8aDMG|9MBVNT
120	61353 23235	   	175.78	ACR|3VULN|3DMG|1DUR	1DMSP|25aVULN|3DUR|4RCR|68aDMG|79aERES|aBPWR
121	43343 62212	   	175.71	DCR|4VULN|2DMG|1DUR	1aLHND|2DMSP|3DUR|456aVULN|7RCR|8aDMG|9RCVC|aBPWR
122	61341 62212	   	175.71	DCR|4VULN|2DMG|1DUR	1DMSP|246aVULN|3DUR|5aLWND|7RCR|8aDMG|9RCVC|aBPWR
123	61342 62212	   	175.71	DCR|4VULN|2DMG|1DUR	1DMSP|245aVULN|3DUR|6aLHND|7RCR|8aDMG|9RCVC|aBPWR
124	51353 24123	 * 	175.68	ACR|4VULN|1DMG|1CDMG|2DUR	1257VULN|3aDUR|4RCR|6DMG|8BEXP|9CDMG
125	51353 61223	   	175.68	ACR|4VULN|1DMG|1CDMG|2DUR	1256VULN|3aDUR|4RCR|7BEXP|8DMG|9CDMG
126	51353 24223	   	175.58	ACR|4VULN|1DMG|1CDMG|2DUR	1257VULN|3aDUR|4RCR|6DMG|8DUST|9CDMG
127	52233 11351	 * 	175.54	DCR|3VULN|3ZMB|1AART|2DUR	157VULN|27aZMB|3DUST|4LWND|67DUR|7BPWR|8AART|9RCR
128	51343 24148	 * 	175.26	DCR|4VULN|1DMG|2ASPD|2DUR	124aVULN|3aDUR|5MBVNT|6DMG|7RCR|8LWND|9aASPD|aBPWR
129	51442 32223	   	175.26	DCR|4VULN|1DMG|1CDMG|2DUR	1245VULN|3FEWX|6aDUR|7RCR|8DMG|9CDMG
130	51642 32223	   	175.16	DCR|4VULN|1DMG|1CDMG|2DUR	1245VULN|3DUST|6aDUR|7RCR|8DMG|9CDMG
131	51343 24823	   	175.16	DCR|4VULN|1DMG|1CDMG|2DUR	1248VULN|3aDUR|5MBVNT|6DMG|7RCR|9CDMG
132	31211 51262	   	175.02	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1BEXP|2aVULN|3LWND|4DMG|5CDMG|6ZMB|7RCR|8ASPD|9AART
133	41211 51242	   	175.02	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1LHND|2aVULN|3LWND|4DMG|5CDMG|6ZMB|7RCR|8ASPD|9AART
134	52632 11262	   	175.02	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1aVULN|2ZMB|3CDMG|4LWND|5DMG|6BEXP|7RCR|8ASPD|9AART
135	51313 32333	 * 	175.01	DCR|4VULN|2CDMG|2DUR|1ZMB	1259VULN|39DUR|4LSRICY|6RCR|7DUST|89CDMG|9BPWR|aZMB
136	54313 32333	   	175.01	DCR|4VULN|2CDMG|2DUR|1ZMB	1259VULN|29BPWR|39DUR|4LSRICY|6RCR|7DUST|89CDMG|aZMB
137	51353 22251	   	174.96	ACR|5VULN|1DMG|2DUR	1259aVULN|39DUR|4RCR|6DMG|7DUST|89LIT|9BPWR
138	21211 51262	   	174.92	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1DUST|2aVULN|3LWND|4DMG|5CDMG|6ZMB|7RCR|8ASPD|9AART
139	52632 31262	   	174.92	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1aVULN|2ZMB|3CDMG|4LWND|5DMG|6DUST|7RCR|8ASPD|9AART
140	51351 21513	 * 	174.64	ACR|3AART|2VULN|1DMG|1ASPD|1DUR	12VULN|3DUR|4RCR|5ASPD|6DMG|78aAART|9RPLT
141	55212 11222	   	174.60	DCR|4VULN|2DMG|2DUR	157aVULN|27DMG|3aDUST|4LHND|67DUR|7aBPWR|8aLIT|9RCR
142	51351 21121	   	174.58	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	129VULN|3DUR|4RCR|5ASPD|6DMG|7AART|8CGEN|aLWND
143	51351 21122	   	174.58	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	129VULN|3DUR|4RCR|5ASPD|6DMG|7AART|8CGEN|aLHND
144	51351 21125	   	174.58	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	129VULN|3DUR|4RCR|5ASPD|6DMG|7AART|8CGEN|aDMSP
145	51351 21142	   	174.58	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	12aVULN|3DUR|4RCR|5ASPD|6DMG|7AART|8CGEN|9FEWX
146	51351 21342	   	174.58	ACR|3VULN|1AART|1DMG|1DUR|1ASPD	12aVULN|3DUR|4RCR|5ASPD|6DMG|7AART|8MLV|9FEWX
147	51451 31132	   	174.58	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	12aVULN|3FEWX|4RCR|5ASPD|6DMG|7AART|8CGEN|9DUR
148	54351 21121	   	174.58	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	129VULN|2BPWR|3DUR|4RCR|5ASPD|6DMG|7AART|8CGEN|aLWND
149	54351 21122	   	174.58	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	129VULN|2BPWR|3DUR|4RCR|5ASPD|6DMG|7AART|8CGEN|aLHND
150	31212 36146	   	174.57	DCR|3DMG|2VULN|1AART	18BEXP|25VULN|38LWND|468DMG|7AART|8BPWR|9RCR|aRCVC
151	51353 21152	   	174.52	ACR|4VULN|2DMG|1DUR	125aVULN|3DUR|4RCR|6aDMG|7BEXP|8LWND|9aLIT|aBPWR
152	51353 21252	   	174.52	ACR|4VULN|2DMG|1DUR	125aVULN|3DUR|4RCR|6aDMG|7BEXP|8LIT|9aLHND|aBPWR
153	25111 12266	 * 	174.52	DCR|2DMG|3ZMB|1AART|1VULN	13aDUST|23aZMB|3aBPWR|4VULN|5RCVC|6ERES|7RCR|8aDMG|9AART
154	51351 21112	   	174.48	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	12aVULN|3DUR|4RCR|5ASPD|6DMG|7AART|8CGEN|9MBVNT
155	51351 21123	   	174.48	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	129VULN|3DUR|4RCR|5ASPD|6DMG|7AART|8CGEN|aLSRREG
156	51351 21221	   	174.48	ACR|3VULN|1AART|1DMG|1DUR|1ASPD	129VULN|3DUR|4RCR|5ASPD|6DMG|7AART|8ERES|aLWND
157	51351 21222	   	174.48	ACR|3VULN|1AART|1DMG|1DUR|1ASPD	129VULN|3DUR|4RCR|5ASPD|6DMG|7AART|8ERES|aLHND
158	51351 21225	   	174.48	ACR|3VULN|1AART|1DMG|1DUR|1ASPD	129VULN|3DUR|4RCR|5ASPD|6DMG|7AART|8ERES|aDMSP
159	51351 21242	   	174.48	ACR|3VULN|1AART|1DMG|1DUR|1ASPD	12aVULN|3DUR|4RCR|5ASPD|6DMG|7AART|8ERES|9FEWX
160	51351 21312	   	174.48	ACR|3VULN|1AART|1DMG|1DUR|1ASPD	12aVULN|3DUR|4RCR|5ASPD|6DMG|7AART|8MLV|9MBVNT
161	51351 21324	   	174.48	ACR|3VULN|1AART|1DMG|1DUR|1ASPD	12aVULN|3DUR|4RCR|5ASPD|6DMG|7AART|8MLV|9ERES
162	51351 21332	   	174.48	ACR|3VULN|1AART|1DMG|1DUR|1ASPD	12aVULN|3DUR|4RCR|5ASPD|6DMG|7AART|8MLV|9DUST
163	51351 21612	   	174.48	ACR|3VULN|1AART|1DMG|1DUR|1ASPD	12aVULN|3DUR|4RCR|5ASPD|6DMG|7AART|8BEXP|9ERES
164	51451 31232	   	174.48	ACR|3VULN|1AART|1DMG|1DUR|1ASPD	12aVULN|3FEWX|4RCR|5ASPD|6DMG|7AART|8ERES|9DUR
165	51651 31132	   	174.48	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	12aVULN|3DUST|4RCR|5ASPD|6DMG|7AART|8CGEN|9DUR
166	54351 21112	   	174.48	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	12aVULN|2BPWR|3DUR|4RCR|5ASPD|6DMG|7AART|8CGEN|9MBVNT
167	54351 21123	   	174.48	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	129VULN|2BPWR|3DUR|4RCR|5ASPD|6DMG|7AART|8CGEN|aLSRREG
168	54351 21221	   	174.48	ACR|3VULN|1AART|1DMG|1DUR|1ASPD	129VULN|2BPWR|3DUR|4RCR|5ASPD|6DMG|7AART|8ERES|aLWND
169	54351 21222	   	174.48	ACR|3VULN|1AART|1DMG|1DUR|1ASPD	129VULN|2BPWR|3DUR|4RCR|5ASPD|6DMG|7AART|8ERES|aLHND
170	54351 21312	   	174.48	ACR|3VULN|1AART|1DMG|1DUR|1ASPD	12aVULN|2BPWR|3DUR|4RCR|5ASPD|6DMG|7AART|8MLV|9MBVNT
171	54351 21332	   	174.48	ACR|3VULN|1AART|1DMG|1DUR|1ASPD	12aVULN|2BPWR|3DUR|4RCR|5ASPD|6DMG|7AART|8MLV|9DUST
