0	Index      	 *	Score 	Summary	Detail	
1	31636 13233	 * 	200.95	ACR|4VULN|2DMG|2CDMG|1ZMB	1RCVC|2RMIN|3RCR|47CDMG|579aVULN|67DMG|7BPWR|8ZMB
34	36313 16234	   	182.87	ACR|2VULN|2DMG|1AART|2DUR|1ZMB	1RCVC|29VULN|3DUST|4DLOT|5RCR|69DUR|79DMG|8AART|9BPWR|aZMB
35	36313 16316	 * 	182.79	ACR|3VULN|3DMG|3DUR	1RCVC|28aVULN|3DUST|4DLOT|5RCR|68aDUR|78aDMG|8aBPWR|9RMIN
36	15131 36111	   	182.67	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1CDMG|2LSRICY|3DMG|4AART|56aVULN|7RCR|8BEXP|9ASPD
37	15131 36211	   	182.67	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1CDMG|2LSRICY|3DMG|4AART|56aVULN|7RCR|8FEWX|9ASPD
38	15131 36411	   	182.67	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1CDMG|2LSRICY|3DMG|4AART|56aVULN|7RCR|8LHND|9ASPD
39	51222 25326	   	182.67	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2CDMG|3CGEN|4AART|56aVULN|7RCR|8LWND|9DMG
40	51222 25531	   	182.67	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2CDMG|3aCGEN|4AART|568VULN|7RCR|9DMG
41	51322 25326	   	182.67	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2CDMG|3MLV|4AART|56aVULN|7RCR|8LWND|9DMG
42	51222 25532	   	182.57	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2CDMG|3CGEN|4AART|568VULN|7RCR|9DMG|aDUST
43	36122 22441	   	182.42	DCR|4VULN|3CDMG|1DMG|1DUR	1RCVC|2458VULN|346CDMG|4BPWR|7RCR|9DUR|aDMG
44	31636 13153	   	182.09	ACR|3VULN|2DMG|3CDMG	1RCVC|2RMIN|3RCR|47aCDMG|57aVULN|67DMG|7aBPWR|8FEWX|9aMLV
45	62123 32526	 * 	182.02	DCR|3DMG|2VULN|1AART|1SELL	1SELL|2aLWND|3FEWX|4AART|59aDMG|6RCR|7RCVC|8aVULN|aBPWR
46	31636 13123	   	181.89	ACR|3VULN|2DMG|3CDMG	1RCVC|2RMIN|3RCR|47aCDMG|57aVULN|67DMG|7aBPWR|8FEWX|9aERES
47	11623 25532	   	181.84	DCR|3VULN|1AART|2CDMG|1DMG	1aCDMG|2DUST|3ERES|4AART|568VULN|7RCR|9DMG
48	31636 13115	   	180.78	ACR|2VULN|2DMG|2CDMG|1FLTHEA|1DUR	1RCVC|2RMIN|3RCR|47CDMG|57VULN|67DMG|7BPWR|8FEWX|9FLTHEA|aDUR
49	31636 13111	 * 	179.88	ACR|2VULN|2DMG|3CDMG|1FLTHEA	1RCVC|2RMIN|3RCR|47aCDMG|57VULN|67DMG|7BPWR|8FEWX|9FLTHEA
50	31636 13312	   	179.88	ACR|2VULN|2DMG|3CDMG|1FLTHEA	1RCVC|2RMIN|3RCR|479CDMG|57VULN|67DMG|7BPWR|8LIT|aFLTHEA
51	15131 34513	   	179.80	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	1CDMG|2LSRICY|38DMG|4AART|56VULN|7ASPD|9RCR|aMLV
52	15133 31531	   	179.80	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	1CDMG|2LSRICY|38DMG|4AART|5FEWX|6aVULN|7ASPD|9RCR
53	15131 34512	   	179.70	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	1CDMG|2LSRICY|38DMG|4AART|56VULN|7ASPD|9RCR|aTLV
54	36122 22221	 * 	178.97	DCR|3VULN|2DMG|3CDMG	1RCVC|245VULN|346CDMG|4BPWR|7RCR|8aDMG|9CGEN
55	15131 36113	   	178.02	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1CDMG|2LSRICY|3DMG|4AART|56VULN|7RCR|8BEXP|9ASPD|aZMB
56	15131 36126	   	178.02	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1CDMG|2LSRICY|3DMG|4AART|56VULN|7RCR|8BEXP|9ZMB|aASPD
57	15131 36213	   	178.02	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1CDMG|2LSRICY|3DMG|4AART|56VULN|7RCR|8FEWX|9ASPD|aZMB
58	15131 36226	   	178.02	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1CDMG|2LSRICY|3DMG|4AART|56VULN|7RCR|8FEWX|9ZMB|aASPD
59	15131 36413	   	178.02	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1CDMG|2LSRICY|3DMG|4AART|56VULN|7RCR|8LHND|9ASPD|aZMB
60	15131 36523	   	178.02	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1CDMG|2LSRICY|3DMG|4AART|56VULN|7RCR|8DUR|9ZMB|aRPLT
61	15131 26521	   	178.02	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1CDMG|2LSRICY|3DMG|4AART|5aVULN|6RCVC|7RCR|8DUR|9ZMB
62	15131 36522	   	177.92	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1CDMG|2LSRICY|3DMG|4AART|56VULN|7RCR|8DUR|9ZMB|aAIRHEA
63	15131 34331	   	177.87	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1CDMG|2LSRICY|3DMG|4AART|56aVULN|7ASPD|8BEXP|9RCR
64	15131 34431	   	177.87	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1CDMG|2LSRICY|3DMG|4AART|56aVULN|7ASPD|8LHND|9RCR
65	15131 32331	   	177.77	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2LSRICY|3DMG|4AART|56aVULN|7DUR|8ERES|9RCR
66	15131 36131	   	177.66	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|2LSRICY|39DMG|4AART|56VULN|7RCR|8BEXP|aBELT
67	15131 36132	   	177.66	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|2LSRICY|39DMG|4AART|56VULN|7RCR|8BEXP|aRMIN
68	15131 36133	   	177.66	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|2LSRICY|39DMG|4AART|56VULN|7RCR|8BEXP|aLWND
69	15131 36134	   	177.66	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|2LSRICY|39DMG|4AART|56VULN|7RCR|8BEXP|aLIT
70	15131 36135	   	177.66	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|2LSRICY|39DMG|4AART|56VULN|7RCR|8BEXP|aFEWX
71	15131 36136	   	177.66	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|2LSRICY|39DMG|4AART|56VULN|7RCR|8BEXP|aMLV
72	15131 36231	   	177.66	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|2LSRICY|39DMG|4AART|56VULN|7RCR|8FEWX|aBELT
73	15131 36232	   	177.66	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|2LSRICY|39DMG|4AART|56VULN|7RCR|8FEWX|aRMIN
74	15131 36233	   	177.66	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|2LSRICY|39DMG|4AART|56VULN|7RCR|8FEWX|aLWND
75	15131 36234	   	177.66	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|2LSRICY|39DMG|4AART|56VULN|7RCR|8FEWX|aLIT
76	15131 36235	   	177.66	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|2LSRICY|39DMG|4AART|56VULN|7RCR|8aFEWX
77	15131 36431	   	177.66	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|2LSRICY|39DMG|4AART|56VULN|7RCR|8LHND|aFEWX
78	15131 36433	   	177.66	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|2LSRICY|39DMG|4AART|56VULN|7RCR|8LHND|aRCVC
79	11326 25325	   	177.56	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|2DUST|3MLV|4AART|56VULN|7RCR|8LWND|9aDMG
80	15131 36432	   	177.56	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|2LSRICY|39DMG|4AART|56VULN|7RCR|8LHND|aLEGI
81	15151 33513	 * 	177.13	DCR|2AART|2DMG|1VULN|1CDMG|1ZMB	1CDMG|2LSRICY|38DMG|4ZMB|57AART|6LWND|9RCR|aVULN
82	15151 22513	   	177.13	DCR|2AART|2DMG|1VULN|1CDMG|1ZMB	1CDMG|2LSRICY|38DMG|4ZMB|56AART|7BEXP|9RCR|aVULN
83	11342 14433	 * 	176.96	DCR|2VULN|2DMG|3CDMG|2ASPD	18aCDMG|28DUST|3aMLV|45ASPD|68DMG|7RCR|8aBPWR|9aVULN
84	36123 42834	   	176.54	DCR|3VULN|1AART|1DMG|2CDMG	1RCVC|24aVULN|34CDMG|4BPWR|5TLV|6DMG|7MBVNT|8RCR|9AART
85	31636 13162	   	175.85	ACR|3VULN|2DMG|2CDMG	1RCVC|2RMIN|3RCR|47CDMG|579VULN|67DMG|7BPWR|8FEWX|aBELT
86	31636 13163	   	175.85	ACR|3VULN|2DMG|2CDMG	1RCVC|2RMIN|3RCR|47CDMG|579VULN|67DMG|7BPWR|8FEWX|aLHND
87	31636 13325	   	175.85	ACR|3VULN|2DMG|2CDMG	1RCVC|2RMIN|3RCR|47CDMG|57aVULN|67DMG|7BPWR|8LIT|9LWND
88	31636 13511	   	175.85	ACR|3DMG|2VULN|2CDMG	1RCVC|2RMIN|3RCR|47CDMG|57VULN|67aDMG|7BPWR|8RPLT|9LHND
89	31636 13161	   	175.75	ACR|3VULN|2DMG|2CDMG	1RCVC|2RMIN|3RCR|47CDMG|579VULN|67DMG|7BPWR|8FEWX|aDUST
90	15131 36151	   	175.73	DCR|3VULN|1AART|1DMG|1CDMG	1CDMG|2LSRICY|3DMG|4AART|56aVULN|7RCR|8BEXP|9CGEN
91	15131 36251	   	175.73	DCR|3VULN|1AART|1DMG|1CDMG	1CDMG|2LSRICY|3DMG|4AART|56aVULN|7RCR|8FEWX|9CGEN
92	15431 36131	   	175.73	DCR|3VULN|1AART|1DMG|1CDMG	1CDMG|2LSRICY|3CGEN|4AART|56aVULN|7RCR|8BEXP|9DMG
93	15431 36231	   	175.73	DCR|3VULN|1AART|1DMG|1CDMG	1CDMG|2LSRICY|3CGEN|4AART|56aVULN|7RCR|8FEWX|9DMG
94	11326 25326	   	175.63	DCR|3VULN|1AART|1DMG|1CDMG	1CDMG|2DUST|3MLV|4AART|56aVULN|7RCR|8LWND|9DMG
95	15131 36341	   	175.63	DCR|3VULN|1AART|1DMG|1CDMG	1CDMG|2LSRICY|3DMG|4AART|56aVULN|7RCR|8ERES|9LWND
96	15131 36351	   	175.63	DCR|3VULN|1AART|1DMG|1CDMG	1CDMG|2LSRICY|3DMG|4AART|56aVULN|7RCR|8ERES|9BEXP
97	11623 25531	   	175.53	DCR|3VULN|1AART|1DMG|1CDMG	1CDMG|2DUST|3ERES|4AART|568VULN|7RCR|9DMG|aCGEN
98	15132 24335	 * 	175.50	DCR|3DMG|3AART|2CDMG	1aCDMG|2LSRICY|39aDMG|467AART|5aMLV|8RCR|aBPWR
99	36122 22155	   	175.48	DCR|4VULN|3CDMG|1DMG	1RCVC|245aVULN|346CDMG|4BPWR|7RCR|8BEXP|9DMG
100	36122 22161	   	175.48	DCR|4VULN|3CDMG|1DMG	1RCVC|2459VULN|346CDMG|4BPWR|7RCR|8BEXP|aDMG
101	36122 22215	   	175.48	DCR|4VULN|3CDMG|1DMG	1RCVC|245aVULN|346CDMG|4BPWR|7RCR|8DMG|9FEWX
102	36122 22235	   	175.48	DCR|4VULN|3CDMG|1DMG	1RCVC|245aVULN|346CDMG|4BPWR|7RCR|8DMG|9LWND
103	36122 22245	   	175.48	DCR|4VULN|3CDMG|1DMG	1RCVC|245aVULN|346CDMG|4BPWR|7RCR|8DMG|9RPLT
104	36122 22261	   	175.48	DCR|4VULN|3CDMG|1DMG	1RCVC|2459VULN|346CDMG|4BPWR|7RCR|8DMG|aLWND
105	36122 22262	   	175.48	DCR|4VULN|3CDMG|1DMG	1RCVC|2459VULN|346CDMG|4BPWR|7RCR|8DMG|aLHND
106	36122 22263	   	175.48	DCR|4VULN|3CDMG|1DMG	1RCVC|2459VULN|346CDMG|4BPWR|7RCR|8DMG|aCGEN
107	36122 22264	   	175.48	DCR|4VULN|3CDMG|1DMG	1aRCVC|2459VULN|346CDMG|4BPWR|7RCR|8DMG
108	36122 22266	   	175.48	DCR|4VULN|3CDMG|1DMG	1RCVC|2459VULN|346CDMG|4BPWR|7RCR|8DMG|aDMSP
109	36122 22411	   	175.48	DCR|4VULN|3CDMG|1DMG	1RCVC|2458VULN|346CDMG|4BPWR|7RCR|9LHND|aDMG
110	36122 22421	   	175.48	DCR|4VULN|3CDMG|1DMG	1RCVC|2458VULN|346CDMG|4BPWR|7RCR|9DMG|aLWND
111	36122 22422	   	175.48	DCR|4VULN|3CDMG|1DMG	1RCVC|2458VULN|346CDMG|4BPWR|7RCR|9DMG|aLHND
112	36122 22423	   	175.48	DCR|4VULN|3CDMG|1DMG	1RCVC|2458VULN|346CDMG|4BPWR|7RCR|9DMG|aCGEN
113	36122 22424	   	175.48	DCR|4VULN|3CDMG|1DMG	1aRCVC|2458VULN|346CDMG|4BPWR|7RCR|9DMG
114	36122 22426	   	175.48	DCR|4VULN|3CDMG|1DMG	1RCVC|2458VULN|346CDMG|4BPWR|7RCR|9DMG|aDMSP
115	36122 22431	   	175.48	DCR|4VULN|3CDMG|1DMG	1RCVC|2458VULN|346CDMG|4BPWR|7RCR|9BEXP|aDMG
116	36122 22661	   	175.48	DCR|4VULN|3CDMG|1DMG	1RCVC|2459VULN|346CDMG|4BPWR|7RCR|8LWND|aDMG
117	36122 22255	   	175.38	DCR|4VULN|3CDMG|1DMG	1RCVC|245aVULN|346CDMG|4BPWR|7RCR|8DMG|9SNIHEL
118	14236 84233	 * 	175.33	DCR|3DMG|2VULN|2CDMG	1aCDMG|2LIT|3RPLT|4MBVNT|5aVULN|6RCR|7RMIN|89aDMG|aBPWR
119	14236 84243	   	175.33	DCR|3VULN|2DMG|2CDMG	1aCDMG|2LIT|3RPLT|4MBVNT|59aVULN|6RCR|7RMIN|8aDMG|aBPWR
120	52334 22361	   	175.21	DCR|3VULN|1AART|1DMG|2DUR	18DUR|25FEWX|3AART|458VULN|58BPWR|68LWND|7RCR|9LIT|aDMG
121	36124 33631	   	174.23	DCR|2VULN|1AART|2CDMG|1DMG|1ZMB|1DUR	1RCVC|24VULN|34CDMG|4BPWR|5ZMB|6DMG|7RPLT|8DUR|9AART|aRCR
122	51222 25521	   	174.21	DCR|3VULN|1AART|2CDMG|2DUR	1aDUR|29CDMG|3CGEN|4AART|568VULN|7RCR
123	31613 43226	 * 	174.13	ACR|2VULN|3ZMB|1AART|2CDMG	1RCVC|2RMIN|3RCR|47VULN|578ZMB|67CDMG|7BPWR|9LWND|aAART
124	31636 13332	   	174.07	ACR|2VULN|2DMG|2CDMG|1ASPD|1DUR	1RCVC|2RMIN|3RCR|47CDMG|57VULN|67DMG|7BPWR|8LIT|9DUR|aASPD
125	15131 26511	   	173.95	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1CDMG|2LSRICY|3DMG|4AART|5aVULN|6RCVC|7RCR|8DUR|9ASPD
126	15131 26533	   	173.95	DCR|2DMG|1AART|1VULN|1CDMG|1DUR|1ASPD	1CDMG|2LSRICY|39DMG|4AART|5VULN|6RCVC|7RCR|8DUR|aASPD
127	15131 36512	   	173.85	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1CDMG|2LSRICY|3DMG|4AART|56VULN|7RCR|8DUR|9ASPD|aAIRHEA
128	31636 13113	   	173.74	ACR|2VULN|2DMG|2CDMG|1FLTHEA	1RCVC|2RMIN|3RCR|47CDMG|57VULN|67DMG|7BPWR|8FEWX|9FLTHEA|aERES
129	31636 13116	   	173.74	ACR|2VULN|2DMG|2CDMG|1FLTHEA	1RCVC|2RMIN|3RCR|47CDMG|57VULN|67DMG|7BPWR|8FEWX|9FLTHEA|aDUST
130	15133 31131	 * 	173.66	DCR|2AART|2VULN|1DMG|1CDMG|1ASPD	1CDMG|2LSRICY|3DMG|48AART|5FEWX|6aVULN|7ASPD|9RCR
131	15134 31131	   	173.66	DCR|2AART|2VULN|1DMG|1CDMG|1ASPD	1CDMG|2LSRICY|3DMG|48AART|5BEXP|6aVULN|7ASPD|9RCR
132	15131 36116	 * 	173.63	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG	1CDMG|2LSRICY|3DMG|4AART|56VULN|7RCR|8BEXP|9aASPD
133	15131 36216	   	173.63	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG	1CDMG|2LSRICY|3DMG|4AART|56VULN|7RCR|8FEWX|9aASPD
134	15135 31131	   	173.56	DCR|2AART|2VULN|1DMG|1CDMG|1ASPD	1CDMG|2LSRICY|3DMG|48AART|5DUST|6aVULN|7ASPD|9RCR
135	31613 43262	 * 	173.52	ACR|3VULN|3ZMB|2CDMG|1DUR	1RCVC|2RMIN|3RCR|479VULN|578ZMB|67CDMG|7BPWR|aDUR
136	12514 14233	   	173.33	ACR|2VULN|2DMG|2CDMG|1ZMB|1ASPD	1aCDMG|23MLV|4aDMG|5RCR|6ASPD|7RMIN|8ZMB|9aVULN|aBPWR
137	15131 34333	   	173.22	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1CDMG|2LSRICY|3DMG|4AART|56VULN|7ASPD|8BEXP|9RCR|aZMB
138	15131 34433	   	173.22	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1CDMG|2LSRICY|3DMG|4AART|56VULN|7ASPD|8LHND|9RCR|aZMB
139	15133 31533	   	173.22	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1CDMG|2LSRICY|38DMG|4AART|5FEWX|6VULN|7ASPD|9RCR|aZMB
140	31636 13315	   	173.17	ACR|2VULN|2DMG|3CDMG|1DUR	1RCVC|2RMIN|3RCR|479CDMG|57VULN|67DMG|7BPWR|8LIT|aDUR
141	31636 13335	   	173.17	ACR|2VULN|2DMG|3CDMG|1DUR	1RCVC|2RMIN|3RCR|47aCDMG|57VULN|67DMG|7BPWR|8LIT|9DUR
142	51622 25132	   	173.13	DCR|2VULN|1AART|2CDMG|1DMG|1DUR	1DUR|2aCDMG|38ERES|4AART|56VULN|7RCR|9DMG
143	15113 31131	   	173.06	DCR|2AART|2VULN|1DMG|1CDMG|1ASPD	1CDMG|2LSRICY|3DMG|4BEXP|58AART|6aVULN|7ASPD|9RCR
144	15121 22513	   	173.06	DCR|2AART|2DMG|1VULN|1CDMG|1ASPD	1CDMG|2LSRICY|38DMG|4ASPD|56AART|7BEXP|9RCR|aVULN
145	15121 26513	   	173.06	DCR|2AART|2DMG|1VULN|1CDMG|1ASPD	1CDMG|2LSRICY|38DMG|4ASPD|56AART|7LWND|9RCR|aVULN
146	15121 33513	   	173.06	DCR|2AART|2DMG|1VULN|1CDMG|1ASPD	1CDMG|2LSRICY|38DMG|4ASPD|57AART|6LWND|9RCR|aVULN
147	15343 36111	   	173.01	DCR|3VULN|1AART|1CDMG|1ZMB|1ASPD	1CDMG|2LSRICY|36aVULN|4ZMB|5AART|7RCR|8BEXP|9ASPD
148	15343 36211	   	173.01	DCR|3VULN|1AART|1CDMG|1ZMB|1ASPD	1CDMG|2LSRICY|36aVULN|4ZMB|5AART|7RCR|8FEWX|9ASPD
149	52332 22312	 * 	172.97	DCR|4VULN|1AART|3DUR	158DUR|2FEWX|3AART|489aVULN|68LWND|7RCR|8BPWR
150	15143 31131	   	172.96	DCR|2AART|2VULN|1DMG|1CDMG|1ASPD	1CDMG|2LSRICY|3DMG|4DUST|58AART|6aVULN|7ASPD|9RCR
151	15133 33531	   	172.86	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|2LSRICY|38DMG|4AART|5FEWX|6aVULN|7CGEN|9RCR
152	31613 43263	 * 	172.62	ACR|3VULN|3ZMB|3CDMG	1RCVC|2RMIN|3RCR|479VULN|578ZMB|67aCDMG|7BPWR
153	36123 42843	 * 	172.53	DCR|3VULN|3CDMG|1DMG|2ASPD	1RCVC|24aVULN|34aCDMG|4aBPWR|5TLV|6DMG|7MBVNT|8RCR|9aASPD
154	31636 13334	   	172.43	ACR|2VULN|2DMG|2CDMG|2DUR	1RCVC|2RMIN|3RCR|47CDMG|57VULN|67DMG|7BPWR|8LIT|9aDUR
155	36122 22154	   	172.38	DCR|3VULN|3CDMG|1DMG|1ZMB	1RCVC|245VULN|346CDMG|4BPWR|7RCR|8BEXP|9DMG|aZMB
156	36122 22214	   	172.38	DCR|3VULN|3CDMG|1DMG|1ZMB	1RCVC|245VULN|346CDMG|4BPWR|7RCR|8DMG|9FEWX|aZMB
157	36122 22234	   	172.38	DCR|3VULN|3CDMG|1DMG|1ZMB	1RCVC|245VULN|346CDMG|4BPWR|7RCR|8DMG|9LWND|aZMB
158	36122 22243	   	172.38	DCR|3VULN|3CDMG|1DMG|1ZMB	1RCVC|245VULN|346CDMG|4BPWR|7RCR|8DMG|9RPLT|aZMB
159	36131 22834	   	172.06	DCR|2VULN|2DMG|1AART|1CDMG	1RCVC|2aVULN|3CDMG|45DMG|6TLV|7MBVNT|8RCR|9AART
160	36613 16232	   	171.97	ACR|2VULN|2DMG|1AART|2DUR	1RCVC|29VULN|3FEWX|4DLOT|5RCR|69DUR|79DMG|8AART|9BPWR|aMLV
