0	Index      	 *	Score 	Summary	Detail	
1	53162 26311	 * 	201.35	ACR|5VULN|2DMG|2DUR	1RCR|28TLV|35DMG|4578aVULN|58BPWR|68DUR|9RCVC
48	53153 21423	   	185.14	ACR|3VULN|2DMG|1CDMG|1ZMB	1RCR|28TLV|38DMG|47BEXP|5ZMB|68aVULN|8BPWR|9CDMG
49	21253 22435	 * 	184.86	DCR|2DMG|1AART|3ZMB|2ASPD|1CDMG	1AART|27ASPD|3RCVC|4CDMG|57DMG|67aZMB|7BPWR|8RCR|9TLV
50	51533 52122	 * 	184.79	ACR|2VULN|2DMG|1AART|2ZMB	1RCR|2aLHND|35ZMB|4aDMG|6LSRREG|7AART|8CGEN|9aVULN|aBPWR
51	21552 51132	 * 	184.69	ACR|2AART|2VULN|2ZMB|2ASPD|1CDMG	1aAART|29ASPD|3RCR|4LWND|59ZMB|6CDMG|7CGEN|89VULN|9BPWR
52	21552 31132	   	184.59	ACR|2AART|2VULN|2ZMB|2ASPD|1CDMG	1aAART|29ASPD|3RCR|4LWND|59ZMB|6ERES|7CDMG|89VULN|9BPWR
53	21512 32234	   	184.54	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD	1AART|2ASPD|3RCR|489VULN|5ZMB|6ERES|7LWND|aDMG
54	21512 51134	   	184.54	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD	1AART|2ASPD|3RCR|469VULN|5ZMB|7ERES|8LWND|aDMG
55	21512 51234	   	184.54	ACR|3VULN|1AART|1DMG|1ZMB|1ASPD	1AART|2ASPD|3RCR|469VULN|5ZMB|7ERES|8FEWX|aDMG
56	53162 13411	 * 	184.19	ACR|3DMG|2VULN|1AART	1RCR|2TLV|35aDMG|45VULN|5BPWR|6ERES|7RPLT|8CGEN|9AART
57	15234 12112	   	183.23	ACR|2VULN|1AART|1DMG|2ASPD|2DUR|1ZMB	19ASPD|29DUR|3CGEN|4RCR|5AART|6BELT|7DMG|89VULN|9BPWR|aZMB
58	53162 26212	   	183.13	ACR|4VULN|2DMG|1DUR	1RCR|2TLV|35DMG|4578VULN|5BPWR|6DUR|9RCVC|aLIT
59	21543 62211	 * 	183.08	ACR|2AART|2DMG|1VULN|1CDMG|1ASPD	18AART|2ASPD|3RCR|4CDMG|5VULN|6LIT|79DMG|aCGEN
60	21543 62212	   	183.08	ACR|2AART|2DMG|1VULN|1CDMG|1ASPD	18AART|2ASPD|3RCR|4CDMG|5VULN|6LIT|79DMG|aMLV
61	21543 62213	   	183.08	ACR|2AART|2DMG|1VULN|1CDMG|1ASPD	18AART|2ASPD|3RCR|4CDMG|5VULN|6LIT|79DMG|aRMIN
62	21543 62222	 * 	183.08	ACR|2AART|2VULN|1DMG|1CDMG|1ASPD	18AART|2ASPD|3RCR|4CDMG|5aVULN|6LIT|7DMG|9BEXP
63	21543 62232	   	183.08	ACR|2AART|2VULN|1DMG|1CDMG|1ASPD	18AART|2ASPD|3RCR|4CDMG|5aVULN|6LIT|7DMG|9LWND
64	53162 43443	 * 	183.08	ACR|3VULN|3DMG|1ASPD	1RCR|29TLV|359DMG|45aVULN|59BPWR|6MBVNT|7ASPD|89LIT
65	21253 11425	 * 	183.07	DCR|2VULN|1AART|1DMG|2CDMG|1ASPD|1DUR	1AART|2ASPD|3RCVC|4aCDMG|5DMG|69VULN|7DUR|8RCR
66	35113 36253	 * 	182.90	DCR|4VULN|3ZMB|1DMG|2DUR	159ZMB|29DUR|3DMG|4DUST|6789VULN|9BPWR|aRCR
67	51314 12334	   	182.67	ACR|2VULN|2DMG|1AART|2DUR	1RCR|2LHND|39VULN|4DMSP|57DUR|6AART|8aDMG
68	22325 25111	 * 	182.66	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	19AART|2DUR|3LHND|47VULN|5RMIN|6RCR|8CDMG|aDMG
69	21512 22634	   	182.64	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1AART|2ASPD|3RCR|48VULN|5ZMB|6RPLT|7LWND|9CDMG|aDMG
70	53162 23261	   	182.63	ACR|2VULN|2DMG|3ASPD|1ZMB|1DUR	1RCR|2TLV|35DMG|45VULN|5BPWR|6DUR|78aASPD|9ZMB
71	53162 23231	   	182.58	ACR|3VULN|2DMG|2ASPD|1DUR	1RCR|2TLV|35DMG|45aVULN|5BPWR|6DUR|78ASPD|9RCVC
72	21512 41141	   	182.54	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1AART|2ASPD|3RCR|48VULN|5ZMB|6TLV|7CDMG|9BELT|aDMG
73	53162 23136	   	182.51	ACR|2VULN|2DMG|1AART|1DUR|1ASPD	1RCR|2TLV|35DMG|45VULN|5BPWR|6DUR|7ASPD|8FEWX|9AART|aRMIN
74	53162 23134	   	182.41	ACR|2VULN|2DMG|1AART|1DUR|1ASPD	1RCR|2TLV|35DMG|45VULN|5BPWR|6DUR|7ASPD|8FEWX|9AART|aNUKE
75	53162 23135	   	182.41	ACR|2VULN|2DMG|1AART|1DUR|1ASPD	1RCR|2TLV|35DMG|45VULN|5BPWR|6DUR|7ASPD|8FEWX|9AART|aERES
76	22321 22161	   	182.22	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1AART|2DUR|3LHND|49VULN|5CGEN|6RCR|7CDMG|8ZMB|aDMG
77	22325 22161	   	182.22	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1AART|2DUR|3LHND|49VULN|5RMIN|6RCR|7CDMG|8ZMB|aDMG
78	21253 11421	   	182.05	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ASPD	1AART|2ASPD|3RCVC|4CDMG|5DMG|69VULN|7aDUR|8RCR
79	16332 23331	   	182.03	ACR|3VULN|1AART|3ASPD|2DUR|1ZMB	178ASPD|2ERES|368VULN|4RCR|58DUR|8BPWR|9ZMB|aAART
80	21511 25541	   	182.01	ACR|2VULN|1AART|3ASPD|1DMG|1ZMB	1AART|27aASPD|3RCR|47VULN|5MBVNT|67MGNSTR|7BPWR|8ZMB|9DMG
81	22431 13114	 * 	181.95	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	1AART|29DUR|3ZMB|49DMG|5CGEN|6DUST|7BELT|89VULN|9BPWR|aRCR
82	53162 23141	   	181.91	ACR|2VULN|2DMG|1AART|1DUR|1ASPD	1RCR|2TLV|35DMG|45VULN|5BPWR|6DUR|7ASPD|8FEWX|9LHND|aAART
83	53162 33111	   	181.91	ACR|2VULN|2DMG|1AART|1DUR|1ASPD	1RCR|2TLV|35DMG|45VULN|5BPWR|6BEXP|7ASPD|8FEWX|9DUR|aAART
84	22434 13114	   	181.85	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	1AART|29DUR|3ZMB|49DMG|5ERES|6DUST|7BELT|89VULN|9BPWR|aRCR
85	22435 33114	   	181.85	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	1AART|29DUR|3ZMB|49DMG|5DUST|6ERES|7BELT|89VULN|9BPWR|aRCR
86	23522 23421	 * 	181.83	DCR|2AART|2DMG|1VULN|1CDMG|1ZMB	12AART|3DUST|4BEXP|5CDMG|6ZMB|7aDMG|8RCR|9VULN
87	53162 23121	   	181.81	ACR|2VULN|2DMG|1AART|1DUR|1ASPD	1RCR|2TLV|35DMG|45VULN|5BPWR|6DUR|7ASPD|8FEWX|9MBVNT|aAART
88	53162 33611	   	181.81	ACR|2VULN|2DMG|1AART|1DUR|1ASPD	1RCR|2TLV|35DMG|45VULN|5BPWR|6BEXP|7ASPD|8DUST|9DUR|aAART
89	53162 43111	   	181.81	ACR|2VULN|2DMG|1AART|1DUR|1ASPD	1RCR|2TLV|35DMG|45VULN|5BPWR|6MBVNT|7ASPD|8FEWX|9DUR|aAART
90	36332 26312	 * 	181.73	ACR|4VULN|1AART|2ZMB|2DUR	18ZMB|2ERES|3678VULN|4RCR|58DUR|8BPWR|9RCVC|aAART
91	53162 22351	   	181.71	ACR|2VULN|2DMG|1AART|1DUR|1ASPD	1RCR|2TLV|35DMG|45VULN|5BPWR|6DUR|7LEGI|8DUST|9ASPD|aAART
92	53162 23621	   	181.71	ACR|2VULN|2DMG|1AART|1DUR|1ASPD	1RCR|2TLV|35DMG|45VULN|5BPWR|6DUR|7ASPD|8DUST|9MBVNT|aAART
93	53162 11214	   	181.58	ACR|2VULN|2DMG|1AART|1CDMG	1RCR|2TLV|35DMG|45VULN|5BPWR|6ERES|7FEWX|8RPLT|9CDMG|aAART
94	53162 13214	   	181.58	ACR|2VULN|2DMG|1AART|1CDMG	1RCR|2TLV|35DMG|45VULN|5BPWR|6ERES|7RPLT|8LHND|9CDMG|aAART
95	51325 11631	   	181.55	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG	1RCR|29LHND|39VULN|4CGEN|5RMIN|6AART|7CDMG|89ZMB|9BPWR|aDMG
96	21515 31151	   	181.52	ACR|2VULN|1AART|2ASPD|1CDMG|2DUR|1ZMB	1AART|28ASPD|3RCR|48VULN|5ERES|6LIT|78DUR|8BPWR|9CDMG|aZMB
97	53162 13114	   	181.48	ACR|2VULN|2DMG|1AART|1CDMG	1RCR|2TLV|35DMG|45VULN|5BPWR|6ERES|7RPLT|8DUST|9CDMG|aAART
98	51333 11631	   	181.45	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG	1RCR|29LHND|39VULN|4ERES|5RMIN|6AART|7CDMG|89ZMB|9BPWR|aDMG
99	53162 26223	   	181.42	ACR|4VULN|2DMG|1DUR	1RCR|2TLV|35DMG|4578VULN|5BPWR|6DUR|9DUST|aBEXP
100	36332 26242	   	181.29	ACR|4VULN|1DMG|1CDMG|1ZMB|1DUR	1ZMB|2ERES|3678VULN|4RCR|5DUR|9DMG|aCDMG
101	21223 36156	   	181.24	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1AART|2ASPD|3RCVC|4aDMG|5RCR|6VULN|7LWND|8ZMB|9CDMG
102	21512 31214	   	181.22	ACR|2VULN|1AART|2CDMG|2DUR|1ZMB|1ASPD	1AART|2ASPD|3RCR|4aVULN|5ZMB|6ERES|7aCDMG|8LHND|9aDUR|aBPWR
103	21512 41214	   	181.22	ACR|2VULN|1AART|2CDMG|2DUR|1ZMB|1ASPD	1AART|2ASPD|3RCR|4aVULN|5ZMB|6TLV|7aCDMG|8LHND|9aDUR|aBPWR
104	21511 76432	 * 	181.13	ACR|4VULN|1AART|2ASPD|1DUR	1AART|2aASPD|3RCR|4789VULN|5MBVNT|6DUR
105	21516 11141	   	181.08	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1AART|2ASPD|3RCR|48VULN|5DUR|6RCVC|7CDMG|9BELT|aDMG
106	53162 23422	   	181.07	ACR|3DMG|2VULN|2ASPD|1DUR	1RCR|28TLV|358DMG|45VULN|58BPWR|6DUR|78ASPD|9FEWX|aLHND
107	51532 62122	   	181.04	ACR|2VULN|2DMG|1AART|1ZMB	1RCR|26aLHND|3ZMB|4aDMG|5MGNSTR|7AART|8CGEN|9aVULN|aBPWR
108	53162 13315	 * 	180.97	ACR|3DMG|2VULN|1CDMG|1DUR	1RCR|2TLV|35aDMG|45VULN|5BPWR|6ERES|7RPLT|8DUR|9CDMG
109	53162 33233	   	180.97	ACR|3DMG|2VULN|2ASPD|1DUR	1RCR|2TLV|35aDMG|45VULN|5BPWR|6BEXP|78ASPD|9DUR
110	53162 44243	   	180.97	ACR|3VULN|2DMG|1CDMG|1ASPD	1RCR|2TLV|35DMG|45aVULN|5BPWR|6MBVNT|7CGEN|8ASPD|9CDMG
111	53162 23421	   	180.97	ACR|3DMG|2VULN|2ASPD|1DUR	1RCR|28TLV|358DMG|45VULN|58BPWR|6DUR|78ASPD|9FEWX|aERES
112	53162 23423	   	180.97	ACR|3DMG|2VULN|2ASPD|1DUR	1RCR|28TLV|358DMG|45VULN|58BPWR|6DUR|78ASPD|9FEWX|aDUST
113	53162 23223	   	180.87	ACR|3DMG|2VULN|2ASPD|1DUR	1RCR|2TLV|35aDMG|45VULN|5BPWR|6DUR|78ASPD|9MBVNT
114	51333 52631	   	180.85	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG	1RCR|29LHND|39VULN|4ERES|5RMIN|6CDMG|7AART|89ZMB|9BPWR|aDMG
115	53124 16332	 * 	180.85	ACR|3VULN|1AART|1DMG|1CDMG	1RCR|2TLV|3DMG|4LIT|59aVULN|6FEWX|7CDMG|8AART
116	53124 36332	   	180.85	ACR|3VULN|1AART|1DMG|1CDMG	1RCR|2TLV|3DMG|4LIT|59aVULN|6LHND|7CDMG|8AART
117	53163 16332	   	180.85	ACR|3VULN|1AART|1DMG|1CDMG	1RCR|2TLV|3DMG|49aVULN|5LIT|6FEWX|7CDMG|8AART
118	53163 36332	   	180.85	ACR|3VULN|1AART|1DMG|1CDMG	1RCR|2TLV|3DMG|49aVULN|5LIT|6LHND|7CDMG|8AART
119	53162 26133	   	180.73	ACR|3VULN|2DMG|2ASPD|1DUR|1SELL	1RCR|2TLV|35DMG|457VULN|5BPWR|6DUR|8SELL|9aASPD
120	21511 76414	   	180.67	ACR|3VULN|1AART|2ASPD|1CDMG|1DUR	1AART|29ASPD|3RCR|478VULN|5MBVNT|6DUR|aCDMG
121	53162 23232	 * 	180.57	ACR|2VULN|2DMG|2ASPD|1CDMG|1DUR	1RCR|2TLV|35DMG|45VULN|5BPWR|6DUR|78ASPD|9RCVC|aCDMG
122	36332 26241	   	180.47	ACR|5VULN|1DMG|1ZMB|1DUR	1ZMB|2ERES|3678aVULN|4RCR|5DUR|9DMG
123	53162 33432	   	180.45	ACR|3DMG|2VULN|3ASPD	1RCR|28TLV|358DMG|45VULN|58BPWR|6BEXP|789ASPD|aFEWX
124	53162 33433	   	180.45	ACR|3DMG|2VULN|3ASPD	1RCR|28TLV|358DMG|45VULN|58BPWR|6BEXP|789ASPD|aLWND
125	16332 26312	   	180.42	ACR|4VULN|1AART|2ASPD|2DUR	18ASPD|2ERES|3678VULN|4RCR|58DUR|8BPWR|9RCVC|aAART
126	22123 42623	 * 	180.35	ACR|3VULN|1AART|1DMG|3DUR	1AART|278DUR|3CGEN|4RCR|58TLV|689VULN|8BPWR|aDMG
127	53162 33431	   	180.35	ACR|3DMG|2VULN|3ASPD	1RCR|28TLV|358DMG|45VULN|58BPWR|6BEXP|789ASPD|aDUST
128	21512 32244	   	180.33	ACR|2AART|2VULN|1DMG|1ZMB|1ASPD	19AART|2ASPD|3RCR|48VULN|5ZMB|6ERES|7LWND|aDMG
129	21512 32534	   	180.33	ACR|2AART|2VULN|1DMG|1ZMB|1ASPD	18AART|2ASPD|3RCR|49VULN|5ZMB|6ERES|7LWND|aDMG
130	53162 25212	   	180.27	ACR|2VULN|2DMG|1AART|2DUR	1RCR|2TLV|35DMG|45VULN|5BPWR|69DUR|7LWND|8RMIN|aAART
131	21561 42245	 * 	180.25	ACR|3VULN|1AART|2CDMG|2ASPD	1AART|29ASPD|3RCR|4FEWX|5MBVNT|69aVULN|79CDMG|8RPLT|9BPWR
132	22121 56161	   	180.24	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1AART|2DUR|3CGEN|4RCR|5CDMG|6FEWX|79VULN|8ZMB|aDMG
133	53162 22212	   	180.17	ACR|2VULN|2DMG|1AART|2DUR	1RCR|2TLV|35DMG|45VULN|5BPWR|69DUR|7LEGI|8RMIN|aAART
134	22123 41251	   	180.14	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1AART|2DUR|3CGEN|4RCR|5TLV|68VULN|7CDMG|9ZMB|aDMG
135	22223 54312	   	179.72	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1AART|2DUR|3DUST|49VULN|5BELT|6DMG|7RCR|8ZMB|aCDMG
136	22223 54342	   	179.72	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1AART|2DUR|3DUST|4VULN|5BELT|69DMG|7RCR|8ZMB|aCDMG
137	53162 23113	   	179.65	ACR|3DMG|2VULN|2DUR|1ASPD	1RCR|2TLV|35aDMG|45VULN|5BPWR|69DUR|7ASPD|8FEWX
138	51314 13334	   	179.58	ACR|2VULN|2DMG|1AART|1DUR	1RCR|2LHND|39VULN|4DMSP|5DUR|6AART|7RCVC|8aDMG
139	53162 23613	   	179.55	ACR|3DMG|2VULN|2DUR|1ASPD	1RCR|2TLV|35aDMG|45VULN|5BPWR|69DUR|7ASPD|8DUST
140	21512 23164	   	179.42	ACR|2AART|2VULN|2ASPD|2DUR|1ZMB	17AART|2aASPD|3RCR|4aVULN|5ZMB|6RPLT|8MLV|9aDUR|aBPWR
141	53162 26132	   	179.41	ACR|3VULN|2DMG|2DUR|1ASPD|1SELL	1RCR|2TLV|35DMG|457VULN|5BPWR|6aDUR|8SELL|9ASPD
142	21512 33344	 * 	179.33	ACR|2VULN|1AART|3ZMB|3ASPD	1AART|28aASPD|3RCR|4aVULN|58aZMB|689ERES|7BELT|8aBPWR
143	41334 12334	   	179.17	ACR|2VULN|2DMG|1AART|2DUR	1LWND|2RCVC|39VULN|4RCR|57DUR|6AART|8aDMG
144	53162 33235	   	178.97	ACR|2VULN|2DMG|2ASPD|1CDMG|1DUR	1RCR|2TLV|35DMG|45VULN|5BPWR|6BEXP|78ASPD|9DUR|aCDMG
145	53162 11612	   	178.94	ACR|2VULN|2DMG|1AART|1ZMB	1RCR|2TLV|35DMG|45VULN|5BPWR|6ERES|7FEWX|8ZMB|9CGEN|aAART
146	53162 12612	   	178.94	ACR|2VULN|2DMG|1AART|1ZMB	1RCR|2TLV|35DMG|45VULN|5BPWR|6ERES|7BEXP|8ZMB|9CGEN|aAART
147	16332 23334	   	178.89	ACR|3VULN|3ASPD|1DMG|2DUR|1ZMB	178ASPD|2ERES|368VULN|4RCR|58DUR|8BPWR|9ZMB|aDMG
148	53162 23226	   	178.87	ACR|2VULN|2DMG|2ASPD|1CDMG|1DUR	1RCR|2TLV|35DMG|45VULN|5BPWR|6DUR|78ASPD|9MBVNT|aCDMG
149	16336 23351	   	178.86	ACR|3VULN|1AART|3ASPD|1DMG	178ASPD|2ERES|368VULN|4RCR|58FEWX|8BPWR|9DMG|aAART
150	53162 32331	   	178.84	ACR|2VULN|2DMG|1AART|1ZMB	1RCR|2TLV|35DMG|45VULN|5BPWR|6BEXP|7LEGI|8DUST|9ZMB|aAART
151	53162 42131	   	178.84	ACR|2VULN|2DMG|1AART|1ZMB	1RCR|2TLV|35DMG|45VULN|5BPWR|6MBVNT|7LEGI|8BEXP|9ZMB|aAART
152	21223 54613	 * 	178.75	ACR|3DMG|1AART|3ASPD|1CDMG	1AART|27aASPD|3RCVC|47aDMG|5RCR|67TLV|7aBPWR|8CDMG|9aLSRREG
153	53162 42331	   	178.74	ACR|2VULN|2DMG|1AART|1ZMB	1RCR|2TLV|35DMG|45VULN|5BPWR|6MBVNT|7LEGI|8DUST|9ZMB|aAART
154	21511 25424	 * 	178.67	ACR|3VULN|2AART|2ASPD|1DUR	1aAART|27ASPD|3RCR|479VULN|5MBVNT|67MGNSTR|7BPWR|8DUR
155	16335 23351	   	178.66	ACR|3VULN|1AART|3ASPD|1DMG	178ASPD|2ERES|368VULN|4RCR|58DUST|8BPWR|9DMG|aAART
156	35234 53113	   	178.64	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1ZMB|2DUR|3CGEN|4RCR|59AART|6CDMG|7DMG|8VULN|aASPD
