0	Index      	 *	Score 	Summary	Detail	
1	43243 13314	 * 	205.09	ACR|3VULN|2DMG|1AART|2ZMB|1CDMG	18ZMB|2TLV|38aVULN|4DMSP|5RCR|6AART|78DMG|8BPWR|9CDMG
17	42435 12232	   	182.17	ACR|3DMG|3ZMB|1AART|1CDMG	157ZMB|259DMG|3RCVC|4RCR|5BPWR|6CDMG|8AART|aLHND
18	42223 62127	 * 	180.47	DCR|4VULN|3ZMB|1DMG	179ZMB|2DMG|379aVULN|479CGEN|5RCVC|6RCR|79BPWR|8MBVNT
19	41662 33323	 * 	180.45	ACR|2VULN|2AART|1DMG|1CDMG|1ZMB	1ZMB|2CDMG|3LWND|4RCR|56VULN|7DMG|8aAART|9TLV
20	42323 62124	 * 	180.01	DCR|3VULN|3ZMB|1DMG|1CDMG	179ZMB|2DMG|379MLV|479VULN|5RCVC|6RCR|79BPWR|8MBVNT|aCDMG
21	42233 63226	 * 	179.72	DCR|3DMG|2VULN|2ASPD|1ZMB	1ZMB|27aDMG|39VULN|4DLOT|58ASPD|6RCR
22	42623 62124	   	179.71	DCR|3VULN|3ZMB|1DMG|1CDMG	179ZMB|2DMG|379TLV|479VULN|5RCVC|6RCR|79BPWR|8MBVNT|aCDMG
23	42233 63143	   	179.32	DCR|3DMG|1AART|1VULN|1ZMB|1ASPD	1ZMB|278DMG|3VULN|4DLOT|5ASPD|6RCR|9AART|aBEXP
24	42233 63142	   	179.22	DCR|3DMG|1AART|1VULN|1ZMB|1ASPD	1ZMB|278DMG|3VULN|4DLOT|5ASPD|6RCR|9AART|aDUST
25	42233 63122	   	178.72	DCR|3DMG|1AART|1VULN|1ZMB|1ASPD	1ZMB|278DMG|3VULN|4DLOT|5ASPD|6RCR|9RPLT|aAART
26	42233 63135	   	178.72	DCR|3DMG|1AART|1VULN|1ZMB|1ASPD	1ZMB|278DMG|3VULN|4DLOT|5ASPD|6RCR|9CGEN|aAART
27	42223 62222	   	175.94	DCR|3VULN|1AART|1DMG|2ZMB	17ZMB|2DMG|379VULN|47CGEN|5RCVC|6RCR|7BPWR|8LWND|aAART
28	42224 62222	   	175.94	DCR|3VULN|1AART|1DMG|2ZMB	17ZMB|2DMG|379VULN|457CGEN|6RCR|7BPWR|8LWND|aAART
29	42323 62232	   	175.94	DCR|3VULN|1AART|1DMG|2ZMB	17ZMB|2DMG|37MLV|479VULN|5RCVC|6RCR|7BPWR|8LWND|aAART
30	12543 63122	   	175.84	DCR|3VULN|1AART|1DMG|2ZMB	1LEGI|249VULN|3DMG|5RCVC|6RCR|79ZMB|89CGEN|9BPWR|aAART
31	43243 13331	   	175.79	ACR|2VULN|2DMG|1AART|2ZMB	18ZMB|2TLV|38VULN|4DMSP|5RCR|6AART|78DMG|8BPWR|9aMLV
32	43243 13332	   	175.79	ACR|2VULN|2DMG|1AART|2ZMB	18ZMB|2TLV|38VULN|4DMSP|5RCR|6AART|78DMG|8BPWR|9MLV|aRCVC
33	43243 13333	   	175.79	ACR|2VULN|2DMG|1AART|2ZMB	18ZMB|2TLV|38VULN|4DMSP|5RCR|6AART|78DMG|8BPWR|9MLV|aLHND
34	43243 13334	   	175.79	ACR|2VULN|2DMG|1AART|2ZMB	18ZMB|2TLV|38VULN|4DMSP|5RCR|6AART|78DMG|8BPWR|9MLV|aRMIN
35	43243 13335	   	175.79	ACR|2VULN|2DMG|1AART|2ZMB	18ZMB|2TLV|38VULN|4DMSP|5RCR|6AART|78DMG|8BPWR|9MLV|aLIT
36	43243 13342	   	175.79	ACR|2VULN|2DMG|1AART|2ZMB	18ZMB|2TLV|38VULN|4DMSP|5RCR|6AART|78DMG|8BPWR|9aBEXP
37	43243 13343	   	175.79	ACR|2VULN|2DMG|1AART|2ZMB	18ZMB|2TLV|38VULN|4DMSP|5RCR|6AART|78DMG|8BPWR|9BEXP|aMLV
38	43243 13351	   	175.79	ACR|2VULN|2DMG|1AART|2ZMB	18ZMB|2TLV|38VULN|4DMSP|5RCR|6AART|78DMG|8BPWR|9CGEN|aMLV
39	43243 13352	   	175.79	ACR|2VULN|2DMG|1AART|2ZMB	18ZMB|2TLV|38VULN|4DMSP|5RCR|6AART|78DMG|8BPWR|9CGEN|aLHND
40	42623 62232	   	175.74	DCR|3VULN|1AART|1DMG|2ZMB	17ZMB|2DMG|37TLV|479VULN|5RCVC|6RCR|7BPWR|8LWND|aAART
41	43243 13321	   	175.69	ACR|2VULN|2DMG|1AART|2ZMB	18ZMB|2TLV|38VULN|4DMSP|5RCR|6AART|78DMG|8BPWR|9ERES|aMLV
42	43243 13322	   	175.69	ACR|2VULN|2DMG|1AART|2ZMB	18ZMB|2TLV|38VULN|4DMSP|5RCR|6AART|78DMG|8BPWR|9ERES|aLHND
43	43243 13324	   	175.69	ACR|2VULN|2DMG|1AART|2ZMB	18ZMB|2TLV|38VULN|4DMSP|5RCR|6AART|78DMG|8BPWR|9ERES|aRMIN
44	43243 13325	   	175.69	ACR|2VULN|2DMG|1AART|2ZMB	18ZMB|2TLV|38VULN|4DMSP|5RCR|6AART|78DMG|8BPWR|9ERES|aLIT
45	43243 13341	   	175.69	ACR|2VULN|2DMG|1AART|2ZMB	18ZMB|2TLV|38VULN|4DMSP|5RCR|6AART|78DMG|8BPWR|9BEXP|aDUST
46	43243 13363	   	175.69	ACR|2VULN|2DMG|1AART|2ZMB	18ZMB|2TLV|38VULN|4DMSP|5RCR|6AART|78DMG|8BPWR|9DUST|aMLV
47	43243 13361	   	175.59	ACR|2VULN|2DMG|1AART|2ZMB	18ZMB|2TLV|38VULN|4DMSP|5RCR|6AART|78DMG|8BPWR|9aDUST
48	42223 62325	 * 	175.34	DCR|2VULN|2DMG|3ZMB|1DUR	179ZMB|29DMG|37VULN|47CGEN|5RCVC|6RCR|79BPWR|89LHND|aDUR
49	42323 62325	   	175.34	DCR|2VULN|2DMG|3ZMB|1DUR	179ZMB|29DMG|37MLV|47VULN|5RCVC|6RCR|79BPWR|89LHND|aDUR
50	42432 31532	   	175.28	ACR|3VULN|2DMG|2ZMB|1DUR	1aZMB|2aDMG|36RCVC|4RCR|5DUR|7BEXP|89aVULN|aBPWR
