0	Index      	 *	Score 	Summary	Detail	
1	24231 23574	 * 	210.58	DCR|3VULN|3DMG|1AART|2CDMG	158DMG|2MBVNT|3BELT|4AART|58BPWR|68CDMG|78aVULN|9RCR
60	22431 36343	   	186.23	ACR|3DMG|2VULN|3CDMG|1DUR	128DMG|389CDMG|4RCR|5DUR|6aVULN|78AIRHEL|8BPWR
61	26531 32361	 * 	186.23	ACR|3VULN|2DMG|3CDMG|1DUR	13DMG|239CDMG|3BPWR|4RCR|5DUR|67aVULN|8NUKE
62	26531 32633	   	186.23	ACR|3DMG|2VULN|3CDMG|1DUR	138DMG|239CDMG|3BPWR|4RCR|5DUR|67VULN|aDUST
63	26531 15212	   	185.90	ACR|3DMG|1AART|1VULN|2CDMG|1DUR	139DMG|23CDMG|3BPWR|4RCR|5DUR|6CGEN|7VULN|8BEXP|aAART
64	26531 15322	   	185.90	ACR|3DMG|1AART|1VULN|2CDMG|1DUR	138DMG|23CDMG|3BPWR|4RCR|5DUR|6CGEN|7VULN|9BEXP|aAART
65	26531 31212	   	185.90	ACR|3DMG|1AART|1VULN|2CDMG|1DUR	139DMG|23CDMG|3BPWR|4RCR|5DUR|6VULN|7CGEN|8BEXP|aAART
66	26531 31322	   	185.90	ACR|3DMG|1AART|1VULN|2CDMG|1DUR	138DMG|23CDMG|3BPWR|4RCR|5DUR|6VULN|7CGEN|9BEXP|aAART
67	26531 35212	   	185.90	ACR|3DMG|1AART|1VULN|2CDMG|1DUR	139DMG|23CDMG|3BPWR|4RCR|5DUR|6VULN|7FEWX|8CGEN|aAART
68	26531 52212	   	185.90	ACR|3DMG|1AART|1VULN|2CDMG|1DUR	139DMG|23CDMG|3BPWR|4RCR|5DUR|6FEWX|7VULN|8CGEN|aAART
69	26534 33212	   	185.90	ACR|3DMG|1AART|1VULN|2CDMG|1DUR	139DMG|23CDMG|3BPWR|4RCR|5BEXP|6VULN|7DUR|8CGEN|aAART
70	26531 35112	   	185.80	ACR|3DMG|1AART|1VULN|2CDMG|1DUR	139DMG|23CDMG|3BPWR|4RCR|5DUR|6VULN|7FEWX|8ERES|aAART
71	26531 52112	   	185.80	ACR|3DMG|1AART|1VULN|2CDMG|1DUR	139DMG|23CDMG|3BPWR|4RCR|5DUR|6FEWX|7VULN|8ERES|aAART
72	26531 62212	   	185.80	ACR|3DMG|1AART|1VULN|2CDMG|1DUR	139DMG|23CDMG|3BPWR|4RCR|5DUR|6DUST|7VULN|8CGEN|aAART
73	26534 33112	   	185.80	ACR|3DMG|1AART|1VULN|2CDMG|1DUR	139DMG|23CDMG|3BPWR|4RCR|5BEXP|6VULN|7DUR|8ERES|aAART
74	22431 36311	   	185.80	ACR|3DMG|1AART|1VULN|2CDMG|1DUR	128DMG|38CDMG|4RCR|5DUR|6VULN|78AIRHEL|8BPWR|9RPLT|aAART
75	26531 62112	   	185.70	ACR|3DMG|1AART|1VULN|2CDMG|1DUR	139DMG|23CDMG|3BPWR|4RCR|5DUR|6DUST|7VULN|8ERES|aAART
76	26533 11233	   	185.58	ACR|3DMG|2VULN|2CDMG|2DUR	13aDMG|23CDMG|3BPWR|4RCR|5RCVC|67DUR|89VULN
77	21522 11266	   	185.52	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD	17DMG|2CGEN|3AART|4RCR|5ASPD|6aVULN|8DUST|9CDMG
78	22431 33634	   	185.48	ACR|3DMG|2VULN|2CDMG|2DUR	128DMG|39CDMG|4RCR|57DUR|6aVULN
79	22431 32642	   	184.88	ACR|3DMG|2VULN|1CDMG|1ZMB|1DUR	128DMG|3CDMG|4RCR|5DUR|67VULN|9RMIN|aZMB
80	32611 34315	   	184.84	ACR|3VULN|3DMG|1ZMB	19RCVC|2RCR|357DMG|478VULN|6BELT|7BPWR|aZMB
81	32611 34353	   	184.84	ACR|3VULN|3DMG|1ZMB	1RCVC|2RCR|357DMG|478VULN|6BELT|7BPWR|9LWND|aZMB
82	22431 32662	   	184.78	ACR|3DMG|2VULN|1CDMG|1ZMB|1DUR	128DMG|3CDMG|4RCR|5DUR|67VULN|9TLV|aZMB
83	32611 12115	   	184.74	ACR|3VULN|3DMG|1ZMB	1RCVC|2RCR|358DMG|479VULN|6BEXP|aZMB
84	32611 62115	   	184.74	ACR|3VULN|3DMG|1ZMB	1RCVC|2RCR|358DMG|479VULN|6FEWX|aZMB
85	32611 42115	   	184.64	ACR|3VULN|3DMG|1ZMB	1RCVC|2RCR|358DMG|479VULN|6DUST|aZMB
86	32621 13543	 * 	184.08	ACR|2VULN|2DMG|1AART|3DUR	1RCVC|2RCR|37DMG|4NUKE|579DUR|6AART|7BPWR|8aVULN
87	32651 33633	   	183.97	ACR|3DMG|2VULN|1CDMG|2DUR	1RCVC|2RCR|38aDMG|4CDMG|57DUR|69VULN
88	21523 34111	   	183.62	ACR|2AART|2VULN|2DMG|1DUR	1aDMG|2CGEN|35AART|4RCR|6aVULN|7MLV|8DUR|9aLHND|aBPWR
89	21523 34131	   	183.62	ACR|2AART|2VULN|2DMG|1DUR	1aDMG|2CGEN|35AART|4RCR|6aVULN|7MLV|8DUR|9aBEXP|aBPWR
90	21523 26316	   	183.55	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	1DMG|2CGEN|35AART|4RCR|6BEXP|7aVULN|8CDMG|9ZMB
91	21523 31316	   	183.55	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	1DMG|2CGEN|35AART|4RCR|6aVULN|7LWND|8CDMG|9ZMB
92	21523 33316	   	183.55	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	1DMG|2CGEN|35AART|4RCR|6aVULN|7LHND|8CDMG|9ZMB
93	21523 35316	   	183.55	ACR|2AART|2VULN|1DMG|1CDMG|1ZMB	1DMG|2CGEN|35AART|4RCR|6aVULN|7BEXP|8CDMG|9ZMB
94	26531 32325	   	183.48	ACR|2VULN|2DMG|2CDMG|1FLTHEA|2DUR	13DMG|23CDMG|3BPWR|4RCR|5aDUR|67VULN|8NUKE|9FLTHEA
95	32611 45323	   	182.89	ACR|3VULN|2DMG|1AART	1RCVC|2RCR|35DMG|49aVULN|6DUST|7AART|8ERES
96	21522 11624	   	182.87	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	17DMG|2CGEN|3AART|4RCR|5ASPD|69VULN|8TLV|aZMB
97	32611 34141	   	182.84	ACR|3DMG|2VULN|1CDMG|1ZMB	1RCVC|2RCR|357DMG|47VULN|6BELT|7BPWR|8ZMB|9CDMG|aBEXP
98	32611 34142	   	182.84	ACR|3DMG|2VULN|1CDMG|1ZMB	1RCVC|2RCR|357DMG|47VULN|6BELT|7BPWR|8ZMB|9CDMG|aRPLT
99	32611 34143	   	182.84	ACR|3DMG|2VULN|1CDMG|1ZMB	1RCVC|2RCR|357DMG|47VULN|6BELT|7BPWR|8ZMB|9CDMG|aCGEN
100	22311 25322	   	182.57	DCR|3DMG|1AART|1VULN|1FLTHEA|1ASPD	125DMG|3DUST|4VULN|6RCR|7LIT|8AART|9ASPD|aFLTHEA
101	22163 26342	   	182.52	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	12DMG|3TLV|4AART|5RCR|6BEXP|7aVULN|8CDMG|9DUR
102	22431 36126	   	182.52	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	12DMG|3CDMG|4RCR|5DUR|6aVULN|7AIRHEL|8AART|9RPLT
103	25143 12362	 * 	182.52	DCR|4VULN|1AART|1DMG|1DUR	1DMG|248aVULN|3MLV|5RPLT|6RCR|7DUR|9AART
104	32613 46323	   	182.49	ACR|3VULN|2DMG|1AART	1RCVC|2RCR|37DMG|49aVULN|5CGEN|6LWND|8AART
105	26531 36123	   	182.35	ACR|2DMG|1AART|1VULN|2CDMG|1ZMB|1DUR	13DMG|23CDMG|3BPWR|4RCR|5DUR|6VULN|7AIRHEL|8AART|9RPLT|aZMB
106	25316 32633	   	182.17	DCR|3VULN|3DMG|1CDMG	18aDMG|269VULN|35BEXP|4CDMG|7RCR
107	22431 32561	   	182.02	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	12DMG|3CDMG|4RCR|5DUR|67VULN|8BEXP|9AART|aRCVC
108	22431 32562	   	182.02	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	12DMG|3CDMG|4RCR|5DUR|67VULN|8BEXP|9AART|aLWND
109	22431 32563	   	182.02	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	12DMG|3CDMG|4RCR|5DUR|67VULN|8aBEXP|9AART
110	32616 52321	   	181.99	ACR|3VULN|2DMG|1AART	1RCVC|2RCR|38DMG|48aVULN|5LEGI|6RPLT|78LHND|8BPWR|9AART
111	25513 32633	   	181.97	DCR|3VULN|3DMG|1CDMG	18aDMG|269VULN|35DUST|4CDMG|7RCR
112	22663 16213	   	181.96	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD	12DMG|3ASPD|4AART|5DMSP|6aVULN|7RCR|8MLV|9ZMB
113	22431 32261	   	181.92	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	12DMG|3CDMG|4RCR|5DUR|67VULN|8DUST|9AART|aRCVC
114	22431 32262	   	181.92	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	12DMG|3CDMG|4RCR|5DUR|67VULN|8DUST|9AART|aLWND
115	22431 32263	   	181.92	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	12DMG|3CDMG|4RCR|5DUR|67VULN|8DUST|9AART|aBEXP
116	22431 32265	   	181.92	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	12DMG|3CDMG|4RCR|5DUR|67VULN|8DUST|9AART|aLIT
117	22434 32261	   	181.92	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	12DMG|3CDMG|4RCR|5BEXP|67VULN|8DUST|9AART|aDUR
118	26531 23262	   	181.85	ACR|2DMG|1AART|1VULN|2CDMG|1ZMB|1DUR	13DMG|23CDMG|3BPWR|4RCR|5DUR|6LWND|7ZMB|8FEWX|9AART|aVULN
119	22431 32264	   	181.82	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	12DMG|3CDMG|4RCR|5DUR|67VULN|8DUST|9AART|aBASHEA
120	21524 61312	   	181.78	ACR|2VULN|1AART|1DMG|2ASPD|1CDMG|1DUR	1DMG|2aCGEN|3AART|4RCR|5LIT|6CDMG|7aASPD|8DUR|9aVULN|aBPWR
121	22431 14533	   	181.78	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR|1ASPD	12DMG|3CDMG|4RCR|5DUR|6CGEN|7ZMB|8ASPD|9VULN|aAART
122	21522 11313	 * 	181.49	ACR|3DMG|2AART|1VULN|1ASPD	179DMG|2CGEN|3aAART|4RCR|5ASPD|6VULN|8LIT
123	21522 11562	   	181.49	ACR|3DMG|2AART|1VULN|1ASPD	178DMG|2aCGEN|39AART|4RCR|5ASPD|6VULN
124	21522 11563	   	181.49	ACR|3DMG|2AART|1VULN|1ASPD	178DMG|2CGEN|39AART|4RCR|5ASPD|6VULN|aBEXP
125	22431 15233	   	181.42	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	12DMG|3CDMG|4RCR|5DUR|6CGEN|79VULN|8BEXP|aAART
126	22431 31233	   	181.42	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	12DMG|3CDMG|4RCR|5DUR|69VULN|7CGEN|8BEXP|aAART
127	22431 32533	   	181.42	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	12DMG|3CDMG|4RCR|5DUR|67VULN|8BEXP|9CGEN|aAART
128	22431 35233	   	181.42	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	12DMG|3CDMG|4RCR|5DUR|69VULN|7FEWX|8CGEN|aAART
129	22431 52233	   	181.42	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	12DMG|3CDMG|4RCR|5DUR|6FEWX|79VULN|8CGEN|aAART
130	22434 33233	   	181.42	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	12DMG|3CDMG|4RCR|5BEXP|69VULN|7DUR|8CGEN|aAART
131	32614 52332	   	181.42	ACR|3DMG|2VULN|2DUR|1ZMB	1RCVC|2RCR|38aDMG|4aVULN|5LSRICY|6ZMB|7MBVNT|9aDUR|aBPWR
132	22435 23152	 * 	181.39	ACR|3DMG|1AART|2CDMG|2ZMB|1DUR	12aDMG|3aCDMG|4RCR|56LIT|7DUR|8aZMB|9AART|aBPWR
133	21522 11561	   	181.39	ACR|3DMG|2AART|1VULN|1ASPD	178DMG|2CGEN|39AART|4RCR|5ASPD|6VULN|aLSRREG
134	26611 14333	   	181.36	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR|1ASPD	18DMG|2CDMG|3ZMB|4ASPD|5DUR|6CGEN|7RCR|9VULN|aAART
135	32311 35166	   	181.34	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1RCVC|2RCR|3ERES|4aVULN|5DMG|6ZMB|7AART|8DUR|9CDMG
136	32322 35166	   	181.34	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1RCVC|2RCR|3ERES|4DMG|5aVULN|6ZMB|7AART|8DUR|9CDMG
137	22431 22132	   	181.32	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	12DMG|3CDMG|4RCR|5DUR|6LWND|79VULN|8ERES|aAART
138	22431 32253	   	181.32	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	12DMG|3CDMG|4RCR|5DUR|67VULN|8DUST|9CGEN|aAART
139	22431 32353	   	181.32	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	12DMG|3CDMG|4RCR|5DUR|67VULN|8NUKE|9LWND|aAART
140	22431 62233	   	181.32	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	12DMG|3CDMG|4RCR|5DUR|6DUST|79VULN|8CGEN|aAART
141	22432 45233	   	181.32	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	12DMG|3CDMG|4RCR|5TLV|6DUR|79VULN|8BEXP|aAART
142	24151 42241	   	181.26	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD	1aDMG|2MBVNT|3MLV|4aVULN|5ASPD|6RCR|7ZMB|8aERES|9AART|aBPWR
143	26531 23433	   	181.25	ACR|2DMG|1AART|1VULN|2CDMG|1ZMB|1DUR	13DMG|23CDMG|3BPWR|4RCR|5DUR|68LWND|7ZMB|9VULN|aAART
144	26531 53233	   	181.25	ACR|2DMG|1AART|1VULN|2CDMG|1ZMB|1DUR	13DMG|23CDMG|3BPWR|4RCR|5DUR|68FEWX|7ZMB|9VULN|aAART
145	22431 32233	   	181.22	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	12DMG|3CDMG|4RCR|5DUR|67VULN|8DUST|9TLV|aAART
146	26531 14333	   	181.15	ACR|2DMG|1AART|1VULN|2CDMG|1ZMB|1DUR	13DMG|23CDMG|3BPWR|4RCR|5DUR|6CGEN|7ZMB|8NUKE|9VULN|aAART
147	26531 23126	   	181.15	ACR|2DMG|1AART|1VULN|2CDMG|1ZMB|1DUR	13DMG|23CDMG|3BPWR|4RCR|5DUR|6LWND|7ZMB|8ERES|9VULN|aAART
148	22612 25331	 * 	181.07	DCR|3DMG|2AART|1VULN|1ASPD	12aDMG|3ASPD|4LIT|5LWND|6RCR|78AART|9VULN
149	26534 31233	   	180.90	ACR|2VULN|2DMG|1AART|2CDMG	13DMG|23CDMG|3BPWR|4RCR|5BEXP|69VULN|7CGEN|8FEWX|aAART
150	26533 24112	   	180.90	ACR|2VULN|2DMG|1AART|2CDMG	13DMG|23CDMG|3BPWR|4RCR|5RCVC|6CGEN|79VULN|8MGNLIT|aAART
151	26533 24323	   	180.90	ACR|2VULN|2DMG|1AART|2CDMG	13DMG|23CDMG|3BPWR|4RCR|5RCVC|68CGEN|79VULN|aAART
152	32651 36332	   	180.84	ACR|2DMG|1AART|1VULN|2CDMG|2DUR	1RCVC|2RCR|38DMG|48CDMG|5aDUR|6VULN|78AIRHEL|8BPWR|9AART
153	22431 32612	   	180.81	ACR|3DMG|2VULN|1CDMG|1ASPD|1DUR	128DMG|3CDMG|4RCR|5DUR|67VULN|9FEWX|aASPD
154	22431 32652	   	180.81	ACR|3DMG|2VULN|1CDMG|1DUR|1ASPD	128DMG|3CDMG|4RCR|5DUR|67VULN|9LWND|aASPD
155	26534 32233	   	180.80	ACR|2VULN|2DMG|1AART|2CDMG	13DMG|23CDMG|3BPWR|4RCR|5BEXP|67VULN|8DUST|9CGEN|aAART
156	26534 22132	   	180.80	ACR|2VULN|2DMG|1AART|2CDMG	13DMG|23CDMG|3BPWR|4RCR|5BEXP|6LWND|79VULN|8ERES|aAART
157	21526 31611	   	180.79	ACR|3DMG|2VULN|1AART	15aDMG|2CGEN|3AART|4RCR|6aVULN|7LWND|8TLV|9aLHND|aBPWR
158	21526 31631	   	180.79	ACR|3DMG|2VULN|1AART	15aDMG|2CGEN|3AART|4RCR|6aVULN|7LWND|8TLV|9aBEXP|aBPWR
159	21526 34211	   	180.79	ACR|3DMG|2VULN|1AART	15aDMG|2CGEN|3AART|4RCR|6aVULN|7MLV|8DUST|9aLHND|aBPWR
160	21526 34231	   	180.79	ACR|3DMG|2VULN|1AART	15aDMG|2CGEN|3AART|4RCR|6aVULN|7MLV|8DUST|9aBEXP|aBPWR
161	32611 34316	   	180.78	ACR|3VULN|3DMG|1ASPD	19RCVC|2RCR|357DMG|478VULN|6BELT|7BPWR|aASPD
162	32611 34361	   	180.78	ACR|3VULN|3DMG|1ASPD	1RCVC|2RCR|357DMG|478VULN|6BELT|7BPWR|9ASPD|aLWND
163	32611 34363	   	180.78	ACR|3VULN|3DMG|1ASPD	1RCVC|2RCR|357DMG|478VULN|6BELT|7BPWR|9ASPD|aCGEN
