0	Index      	 *	Score 	Summary	Detail	
1	53211 12434	 * 	307.16	DCR|2TLV|2LIT|1VULN|3DUR|1MLV|1ASPD	19LIT|2VULN|379DUR|4ASPD|5BBNT|6MLV|89TLV|9BPWR|aRCR
31	53632 35221	   	283.09	DCR|3VULN|2LIT|1TLV|1ASPD|1CDMG	14LIT|234VULN|4BPWR|5LWND|6TLV|7ASPD|8RCR|9BEXP|aCDMG
32	24331 62523	 * 	281.18	DCR|DCR|3LIT|2ASPD|2DUR	1TBNT|247LIT|34FLTHEA|47BPWR|57DUR|67ASPD|89RCR|aBBNT
33	24331 62521	   	279.82	DCR|DCR|3LIT|2ASPD|2DUR	1TBNT|247LIT|34FLTHEA|47BPWR|57DUR|67ASPD|89RCR|aAART
34	43254 43724	 * 	279.09	DCR|DCR|2TLV|1MLV|1DMG	1AME|2MBVNT|3DMG|4CANTOX|59TLV|6MSLFST|7MLV|8aRCR
35	35123 41124	 * 	278.44	DCR|DCR|2VULN|1TLV|1CDMG	1CDMG|2MDPS|37VULN|4TLV|5GSSFST|6BEXP|8aRCR|9LWND
36	35123 53124	   	278.44	DCR|DCR|2VULN|1TLV|1CDMG	1CDMG|2MDPS|36VULN|4TLV|5GSSFST|7FEWX|8aRCR|9LWND
37	35323 51124	   	278.44	DCR|DCR|2VULN|1TLV|1CDMG	1CDMG|2MDPS|3LWND|4TLV|5MSLFST|67VULN|8aRCR|9LHND
38	35123 41134	   	278.34	DCR|DCR|2VULN|1TLV|1CDMG	1CDMG|2MDPS|37VULN|4TLV|5GSSFST|6BEXP|8aRCR|9DUST
39	35123 53134	   	278.34	DCR|DCR|2VULN|1TLV|1CDMG	1CDMG|2MDPS|36VULN|4TLV|5GSSFST|7FEWX|8aRCR|9DUST
40	35323 51134	   	278.34	DCR|DCR|2VULN|1TLV|1CDMG	1CDMG|2MDPS|3LWND|4TLV|5MSLFST|67VULN|8aRCR|9DUST
41	33661 23821	 * 	277.50	DCR|2VULN|2TLV|2LIT|1CDMG	1CDMG|2aVULN|3DUR|4ZMB|5aLIT|6CGEN|7MBVNT|8RCR|9aTLV|aBPWR
