0	Index      	 *	Score 	Summary	Detail	
1	61224 32261	 * 	256.91	DCR|DCR|2MLV|2DUR|1ASPD|1AART	12DUR|3ASPD|4AART|5AAC|69RCR|7RMIN|8aMLV
46	61224 32263	   	241.20	DCR|DCR|1MLV|2DUR|1ASPD|1AART	12DUR|3ASPD|4AART|5AAC|69RCR|7RMIN|8MLV|aDUST
47	65323 32361	   	240.72	DCR|DCR|1DMG|1MLV|1AART|1ZMB	1DUR|23ERES|4AART|5DMG|69RCR|7RMIN|8ZMB|aMLV
48	65325 13233	   	238.32	DCR|DCR|1VULN|1AART	1DUR|23ERES|4AART|5VULN|6CGEN|7aRCR|8DMSP|9BELT
49	66351 13233	   	238.32	DCR|DCR|1VULN|1AART	1DUR|2TLV|36ERES|4AART|5VULN|7aRCR|8DMSP|9BELT
50	23641 33111	   	238.32	DCR|DCR|1VULN|1RPLT	1CGEN|2LIT|3RPLT|4DUR|5MGNSTR|6TSLFST|7RMIN|89RCR|aVULN
51	64351 13233	   	238.22	DCR|DCR|1VULN|1AART	1DUR|2AME|36ERES|4AART|5VULN|7aRCR|8DMSP|9BELT
52	23641 32111	   	238.22	DCR|DCR|1VULN|1RPLT	1CGEN|2LIT|3RPLT|4DUR|5MGNSTR|6TSLFST|7ERES|89RCR|aVULN
53	23641 36311	   	238.22	DCR|DCR|1VULN|1RPLT	1CGEN|2LIT|3RPLT|4DUR|5MGNSTR|6TSLFST|79RCR|8ERES|aVULN
54	65323 32163	   	236.98	DCR|DCR|1DMG|1ASPD|1AART|1MSE	1DUR|23ERES|4AART|5DMG|69RCR|7RMIN|8ASPD|aMSE
55	61522 12531	 * 	236.84	DCR|3VULN|2MLV|3DUR	12aDUR|3FEWX|46aVULN|5aMLV|7RCR|8RCVC|9MDPS|aBPWR
56	61522 12631	   	236.84	DCR|3VULN|2MLV|3DUR	12aDUR|38FEWX|46aVULN|5aMLV|7RCR|9MDPS|aBPWR
57	65323 32362	   	236.84	DCR|DCR|1DMG|1ASPD|1AART|1ZMB	1DUR|23ERES|4AART|5DMG|69RCR|7RMIN|8ZMB|aASPD
58	11634 21433	   	236.74	DCR|DCR|1DMG|1ASPD|1RPLT|1SELL	1SELL|2SPLJET|3AME|4DMG|5RPLT|6ASPD|7aRCR|8DUR|9DUST
59	63451 11232	   	236.69	DCR|2VULN|2MLV|3DUR|1CDMG|1AART	169DUR|2DUST|39VULN|4CGEN|5AART|7CDMG|89MLV|9BPWR|aRCR
60	13231 36121	 * 	236.46	DCR|DCR|2DMG|1CDMG|1SELL	1SELL|2ERES|3AIRARM|46DMG|5BEXP|7CDMG|8aRCR|9BBNT
61	13233 36121	 * 	236.46	DCR|DCR|2DMG|1CDMG|1SELL	1SELL|2ERES|3AIRARM|46DMG|5LHND|7CDMG|8aRCR|9BBNT
62	13232 36121	   	236.40	DCR|DCR|1DMG|1MLV|1CDMG|1SELL	1SELL|2ERES|3AIRARM|4DMG|5MLV|6RMIN|7CDMG|8aRCR|9BBNT
63	61233 16431	 * 	235.97	DCR|2VULN|2ASPD|3DUR|1DMG|1AART	125DUR|37ASPD|4DMG|6AART|89VULN|aRCR
64	66212 61313	   	235.21	DCR|DCR|1VULN|2DUR	14DUR|2TLV|3BASHEA|5VULN|6aRCR|7MDPS|89FEWX
65	66212 62211	   	235.21	DCR|DCR|1VULN|2DUR	14DUR|2TLV|3BASHEA|5VULN|6aRCR|7LHND|8FEWX|9MBVNT
66	64212 62211	   	235.11	DCR|DCR|1VULN|2DUR	14DUR|2AME|3BASHEA|5VULN|6aRCR|7LHND|8FEWX|9MBVNT
67	65212 62211	   	235.11	DCR|DCR|1VULN|2DUR	14DUR|2ERES|3BASHEA|5VULN|6aRCR|7LHND|8FEWX|9MBVNT
68	64212 63111	   	234.91	DCR|DCR|1VULN|2DUR	14DUR|27AME|3BASHEA|5VULN|6aRCR|8MDPS|9MBVNT
69	52433 13352	 * 	230.93	ACR|DCR|1VULN|1DMG|1AART|1RPLT	1FEWX|2AART|3aRCR|4DMG|5VULN|6RMIN|7BBNT|8RPLT|9MSLFST
70	52433 33352	   	230.93	ACR|DCR|1VULN|1DMG|1AART|1RPLT	1FEWX|2AART|3aRCR|4DMG|5VULN|6ERES|7BBNT|8RPLT|9FLTARM
71	52353 33316	   	230.11	DCR|DCR|1VULN|1AART	1FEWX|2AART|3TBNT|4VULN|5LIT|6BBNT|7CGEN|8aRCR|9ERES
72	23621 33111	   	230.01	DCR|DCR|1VULN|1RPLT	1CGEN|2LIT|3RPLT|4FEWX|5MGNSTR|6TSLFST|7RMIN|89RCR|aVULN
73	22124 42315	   	229.97	DCR|DCR|1VULN|1AART|1ZMB	1CGEN|23BEXP|4AART|5ZMB|6FRZICY|7TBNT|8VULN|9aRCR
74	22124 43315	   	229.97	DCR|DCR|1VULN|1AART|1ZMB	1CGEN|23BEXP|4AART|5ZMB|6FRZICY|7BBNT|8VULN|9aRCR
75	23621 32111	   	229.91	DCR|DCR|1VULN|1RPLT	1CGEN|2LIT|3RPLT|4FEWX|5MGNSTR|6TSLFST|7ERES|89RCR|aVULN
76	22124 22315	   	229.87	DCR|DCR|1VULN|1AART|1ZMB	1CGEN|23BEXP|4AART|5ZMB|6SPLARM|7TBNT|8VULN|9aRCR
77	22124 23315	   	229.87	DCR|DCR|1VULN|1AART|1ZMB	1CGEN|23BEXP|4AART|5ZMB|6SPLARM|7BBNT|8VULN|9aRCR
78	22124 33425	   	229.87	DCR|DCR|1VULN|1AART|1ZMB	1CGEN|23BEXP|4AART|5ZMB|6aRCR|7BBNT|8VULN|9TSLARM
79	22124 52315	   	229.87	DCR|DCR|1VULN|1AART|1ZMB	1CGEN|23BEXP|4AART|5ZMB|6BLASTR|7TBNT|8VULN|9aRCR
80	22124 53315	   	229.87	DCR|DCR|1VULN|1AART|1ZMB	1CGEN|23BEXP|4AART|5ZMB|6BLASTR|7BBNT|8VULN|9aRCR
81	16513 11161	 * 	229.55	DCR|3VULN|2DMG|1SELL	1SELL|2BBNT|37DMG|4DUR|578VULN|67LWND|7BPWR|9MULHEA|aRCR
82	21222 21165	 * 	229.04	ACR|DCR|2VULN|1AART|1ZMB	19CGEN|29DUST|3BASHEA|4aRCR|5ZMB|69VULN|7TBNT|8AART|9BPWR
83	52452 12212	 * 	229.01	ACR|DCR|3MLV|1AART	17FEWX|2AART|39RCR|4DUR|57LWND|678MLV|7BPWR|aNUKE
84	66232 61313	   	228.66	DCR|DCR|1VULN	1DUR|2TLV|3BASHEA|4RCVC|5VULN|6aRCR|7MDPS|89FEWX
85	66232 62211	   	228.66	DCR|DCR|1VULN	1DUR|2TLV|3BASHEA|4RCVC|5VULN|6aRCR|7LHND|8FEWX|9MBVNT
86	52452 12211	   	228.62	ACR|DCR|3MLV|2DUR|1AART	17FEWX|2AART|39RCR|4aDUR|57LWND|678MLV|7BPWR
87	64232 62211	   	228.56	DCR|DCR|1VULN	1DUR|2AME|3BASHEA|4RCVC|5VULN|6aRCR|7LHND|8FEWX|9MBVNT
88	65232 62211	   	228.56	DCR|DCR|1VULN	1DUR|2ERES|3BASHEA|4RCVC|5VULN|6aRCR|7LHND|8FEWX|9MBVNT
89	11634 21533	   	228.43	DCR|DCR|1DMG|1ASPD|1RPLT|1SELL	1SELL|2SPLJET|3AME|4DMG|5RPLT|6ASPD|7aRCR|8BEXP|9DUST
90	64232 63111	   	228.36	DCR|DCR|1VULN	1DUR|27AME|3BASHEA|4RCVC|5VULN|6aRCR|8MDPS|9MBVNT
91	61511 26212	 * 	228.32	DCR|3VULN|1DMG|2DUR|1RPLT	12DUR|3FEWX|4RPLT|5FLTHEA|68aVULN|7RCR|9DMG
92	52123 61253	   	226.96	DCR|2VULN|1DMG|1ASPD|1CDMG|1AART|1RPLT	1FEWX|2AART|3ASPD|4RPLT|5AAC|6DMG|7CDMG|89VULN|aRCR
