0	Index      	 *	Score 	Summary	Detail	
1	52135 11241	 * 	291.20	DCR|DCR|2VULN|3MLV	19VULN|24LWND|346MLV|4BPWR|5BEXP|7BBNT|8aRCR
14	52232 32441	   	269.73	DCR|DCR|2VULN|1MLV	15VULN|2LWND|3LIT|4DUR|69RCR|7MLV|8BEXP|aTLV
15	52232 32443	   	269.63	DCR|DCR|2VULN|1MLV	15VULN|2LWND|3LIT|4DUR|69RCR|7MLV|8BEXP|aAME
16	52232 33641	   	269.63	DCR|DCR|2VULN|1MLV	15VULN|2LWND|3LIT|4DUR|69RCR|7DUST|8MLV|aTLV
17	52232 33643	   	269.53	DCR|DCR|2VULN|1MLV	15VULN|2LWND|3LIT|4DUR|69RCR|7DUST|8MLV|aAME
18	54312 22241	   	265.94	DCR|DCR|3VULN	179VULN|2MDPS|3TBNT|4FEWX|5RMIN|6LHND|8aRCR
19	54322 22241	   	265.84	DCR|DCR|3VULN	179VULN|2MDPS|3TBNT|4DUST|5RMIN|6LHND|8aRCR
20	15163 32311	   	264.80	DCR|DCR|3MLV|1VULN	1FEWX|235MLV|45ERES|5BPWR|69RCR|7VULN|8BELT|aLWND
21	15163 32313	   	264.80	DCR|DCR|3MLV|1VULN	1FEWX|235MLV|45ERES|5BPWR|69RCR|7VULN|8BELT|aDMSP
22	15163 32314	   	264.80	DCR|DCR|3MLV|1VULN	1FEWX|235MLV|45ERES|5BPWR|69RCR|7VULN|8BELT|aTLV
23	55122 33411	   	264.80	DCR|DCR|3MLV|1VULN	1VULN|238MLV|4BEXP|5MDPS|6aRCR|7LWND|9LHND
24	15163 32315	   	264.70	DCR|DCR|3MLV|1VULN	1FEWX|235MLV|45ERES|5BPWR|69RCR|7VULN|8BELT|aLEGI
25	55151 23212	 * 	264.38	DCR|3VULN|3MLV|1DMG|1AART|1RPLT	156VULN|235MLV|4AART|5BPWR|7RCVC|8RPLT|9RCR|aDMG
26	12213 31642	   	263.59	DCR|DCR|1VULN|1DMG|1MLV	1FEWX|2LWND|34LIT|5VULN|69RCR|7DUR|8MLV|aDMG
27	52223 31642	   	263.59	DCR|DCR|1VULN|1DMG|1MLV	1VULN|2LWND|3LIT|4RMIN|5CGEN|69RCR|7DUR|8MLV|aDMG
28	52231 32442	   	263.59	DCR|DCR|1VULN|1DMG|1MLV	1VULN|2LWND|35LIT|4DUR|69RCR|7MLV|8BEXP|aDMG
29	52222 31542	   	263.49	DCR|DCR|1VULN|1DMG|1MLV	1VULN|2LWND|3LIT|4RMIN|5MLV|69RCR|7DUR|8ERES|aDMG
30	52231 33642	   	263.49	DCR|DCR|1VULN|1DMG|1MLV	1VULN|2LWND|35LIT|4DUR|69RCR|7DUST|8MLV|aDMG
31	53381 33226	   	262.33	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1VULN|2CDMG|3MBVNT|4MDPS|57LWND|69RCR|8ASPD|aMLV
32	26632 32316	 * 	261.47	DCR|3VULN|2DMG|1MLV|2DUR|1ASPD	19DMG|2RCVC|3MDPS|4MLV|59DUR|6RCR|789VULN|9BPWR|aASPD
33	51214 12313	   	261.42	DCR|DCR|2VULN|1RPLT|1ZMB	17VULN|2ZMB|3DUST|4DUR|5DLOT|6LIT|89RCR|aRPLT
34	51214 12314	   	261.42	DCR|DCR|2VULN|1AART|1ZMB	17VULN|2ZMB|3DUST|4DUR|5DLOT|6LIT|89RCR|aAART
35	52112 33241	   	261.33	DCR|DCR|2VULN|1MLV	19VULN|278LWND|3MLV|4RCVC|5MDPS|6aRCR
36	52122 33241	   	261.33	DCR|DCR|2VULN|1MLV	19VULN|278LWND|3MLV|4BEXP|5DUST|6aRCR
37	52511 21211	   	261.33	DCR|DCR|2VULN|1MLV	16VULN|29LWND|3MDPS|4MLV|5BEXP|7BBNT|8aRCR
38	52513 21241	   	261.33	DCR|DCR|2VULN|1MLV	19VULN|2LWND|3MDPS|4MLV|5RMIN|6CGEN|7BBNT|8aRCR
39	52514 21211	   	261.33	DCR|DCR|2VULN|1MLV	16VULN|29LWND|3MDPS|4MLV|5FEWX|7BBNT|8aRCR
40	54411 21211	   	261.33	DCR|DCR|2VULN|1MLV	16VULN|2MDPS|39LWND|4MLV|5BEXP|7BBNT|8aRCR
41	52333 63241	   	261.23	DCR|DCR|2VULN|1MLV	19VULN|2LWND|3TBNT|4LEGI|5LHND|6MLV|7DUST|8aRCR
